Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution provide secure bicycle storage (not including office space), shower ...",A brief description of the facilities for bicycle commuters,Does the institution provide short-term bicycle parking (e.g. racks) within 50 ft (15 m) of all ...,A brief description of the bicycle parking and storage facilities,Does the institution have a “complete streets” or bicycle accommodation policy (or adhere to a ...,A brief description of the bicycle/pedestrian policy and/or network,Does the institution have a bicycle-sharing program or participate in a local bicycle-sharing ...,A brief description of the bicycle sharing program,Is the institution certified as a Bicycle Friendly University by the League of American Bicyclists ...,"A brief description of the certification, including date certified and level",Does the institution offer free or reduced price transit passes and/or operate a free campus ...,"A brief description of the mass transit program(s), including availability, participation levels, ...",Does the institution offer a guaranteed return trip (GRT) program to regular users of alternative ...,A brief description of the GRT program,Does the institution participate in a car/vanpool or ride sharing program and/or offer reduced ...,A brief description of the carpool/vanpool program,"Does the institution participate in a car sharing program, such as a commercial car-sharing ...",A brief description of the car sharing program,Does the institution have one or more Level 2 or Level 3 electric vehicle recharging stations that ...,A brief description of the electric vehicle recharging stations,Does the institution offer a telecommuting program for employees as a matter of policy or as ...,A brief description of the telecommuting program,Does the institution offer a condensed work week option for employees as a matter of policy or as ...,A brief description of the condensed work week program,Does the institution have incentives or programs to encourage employees to live close to campus?,A brief description of the incentives or programs to encourage employees to live close to campus,Does the institution have other incentives or programs to encourage more sustainable modes of ...,A brief description of other sustainable transportation initiatives and programs,The website URL where information about the institution’s sustainable transportation program(s) is ...,Public Notes
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:21,sdeleon@umd.edu,2.0,Pursuing,True,The Department of Transportation Services offers secured bicycle and motorized scooter parking space for rental. These group lockers provide parking spaces within a caged area. The Bicycle Commuter Shower pass provides access to locker rooms in campus recreation buildings for registered bicycle commuters. ,--,,True,"The university has sharrows (shared lane markings) throughout campus so bicyclists and vehicle traffic are aware that bikes are allowed to be on the roads and that the road needs to be shared.  There are also several paths on campus that connect to trails, leading to the city of College Park.",True,The City of College Park and the University of Maryland were awarded a state grant in 2012 to establish a bike sharing program. The program has been finalized and established.,True,University of Maryland was recognized as a Gold level Bicycle Friendly University.  ,True,"Shuttle-UM is one of the nation’s largest University transit services. With a fleet of over 60 vehicles, including hybrids and clean diesel models, Shuttle-UM provides transit service on and around the University of Maryland Campus to more than 2.6 million riders a year. ",True,"The Department of Transportation Services promotes the guaranteed ride program run by WMATA.  There is also NITE Ride, after hours bus service provided by Shuttle-UM. ",True,"All faculty, staff and students are eligible for parking discounts if they sign up to carpool. The university will be launching a vanpool program in 2016.",True,"Faculty, staff, and students can take mass transit to campus and have the flexibility of running errands during the day. The ZipCar program allows any member of the campus community to conveniently borrow a car when needed (reservation required). Gas, insurance, and maintenance are included.",True,There are more than 20 EV charging stations on campus. Some of the stations charge two vehicles per station. One port provides 110 volts and takes 8 hours to charge a typical electric vehicle and the other port provides 220 volts and takes 4 hours to charge.,True,"The Division of Student Affairs offers a telework program. Other divisions 
also allow teleworking at the discretion of an employee's supervisor.",True,"The Division of Student Affairs offers a Flextime work program. Flextime pertains to variable daily/weekly start and end times and can include a compressed work week.  Flextime can be applied to certain positions (i.e., those that allow for more variance in their schedules), but not all positions.

Student affairs also provides an option for compressed work schedules, implementing either 4 ten hour days or 4 nine hour days and 1 four hour day. ",True,"Administered by the College Park Housing Authority and the College Park City-University Partnership, the WORK & LIVE COLLEGE PARK program provides affordable home ownership opportunities for people working in College Park while minimizing the number of foreclosed homes in the area. Through this program, buyers may be eligible to receive 10% of the purchase price (up to $35,000) in down payment and closing cost assistance towards a foreclosed home in College Park.",True,"Sustainable transportation initiatives and programs:
http://www.transportation.umd.edu/green.html",http://www.transportation.umd.edu/green.html,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:36,esmall@facil.umass.edu,2.0,Pursuing,True,"Bicycles can be housed securely within many of the dorms or buildings on campus. There is also a student run business, the Bike Co-Op, for bike repair on campus. 

We provide many showers at UMass Amherst, and there are locker facilities in our gym.  Green Building Researchers have mapped out every bike storage facility (bike racks, bike lockers, etc) and all of the available showers for bike commuters on the interactive Campus Sustainability Explorer available on the Sustainable UMass website.",True,"UMass Amherst has bike loops everywhere and continues to install more loops each year.  In 2014 the Sustainable UMass office sent out a bicycle loop survey to ask students where the new bicycle loops should be placed.  There is a bike loop layer (which may be slightly outdated) on our Sustainability Explorer interactive map here: http://maps.umass.edu/apps/sustainability/cse/.
",True,"Complete Streets and Pedestrian spine plans are being implemented through the Campus Master Plan here: http://www.umass.edu/cp/MPFinal.pdf.  See page 105 for pedestrain spine map, and page 111 for ""Think Pedestrian First"" mention of complete streets, bicycle and transit accomodation along roads.",True,"UMass Student Government started the UMass Amherst Bike Share Program in Spring 2011.  Students, faculty, and staff can check out bikes for their use from the Student Government Office from March-November.",--,"UMass Amherst is a ""honorable mention"" campus.
http://www.umass.edu/sustainability/green-campus/bicycle-friendly-university",True,For students and faculty the PVTA Bus system is free during the school year. The on campus shuttles remain free all year to students and faculty. ,--,,True,"The UMass Rideshare Program provides an alternative to single occupancy vehicles by assisting UMass employees and off-campus students in forming carpools. The goals of the UMass Rideshare Program are to reduce commuter traffic on campus, improve the environment and air quality of the region, and offer an alternative to full-cost UMass parking permits.

Rideshare services are offered free of charge to any employee or off-campus student on the Amherst campus. Services offered include carpool matching, Guaranteed Ride Home, and commuter information on transit services and park and ride lots. ",True,"UMass Amherst has ZipCar:  http://www.zipcar.com/umass

",True,"UMass Amherst has the first Level III charging station in the state of Massachusetts at the transit center.  It has 6 total Level II charging stations across campus.
http://www.umass.edu/sustainability/green-campus/electric-vehicles-and-charging-stations",True,"The University recognizes that in order to attract, retain, and develop highly skilled employees and partner with the Union on promoting a clean environment, there may be times when it is in the best interest of both the University and the employee to consider options beyond traditional work locations and schedules. This flexibility must always meet the needs of the individual campus business units. The University’s commitment to this flexibility does not mean that every employee is entitled to a flexible work option. The nature of the work and/or the needs of the University may preclude a flexible work arrangement. Flexibility is appropriate where both the needs of the University and the needs of the employee are met. 

Upon request of a bargaining unit member, the supervisor may grant, for a specific period of time, or for an unspecified time (subject to a cancellation by the supervisor) a flexible personal work schedule, a compressed work week, or an alternative work site/telecommuting schedule, so long as the bargaining unit member can demonstrate to the satisfaction of the supervisor that the proposed schedule will not interfere with or detract from the delivery of services provided or the day to day operation of the department. Such request shall not be unreasonably denied. 
",True,"The University recognizes that in order to attract, retain, and develop highly skilled employees and partner with the Union on promoting a clean environment, there may be times when it is in the best interest of both the University and the employee to consider options beyond traditional work locations and schedules. This flexibility must always meet the needs of the individual campus business units. The University’s commitment to this flexibility does not mean that every employee is entitled to a flexible work option. The nature of the work and/or the needs of the University may preclude a flexible work arrangement. Flexibility is appropriate where both the needs of the University and the needs of the employee are met. 

Upon request of a bargaining unit member, the supervisor may grant, for a specific period of time, or for an unspecified time (subject to a cancellation by the supervisor) a flexible personal work schedule, a compressed work week, or an alternative work site/telecommuting schedule, so long as the bargaining unit member can demonstrate to the satisfaction of the supervisor that the proposed schedule will not interfere with or detract from the delivery of services provided or the day to day operation of the department. Such request shall not be unreasonably denied. 
",True,"UMass Transit operates PVTA buses within a 10-mile radius of campus for the towns of Amherst, Belchertown, Deerfield, Granby, Hadley, Northampton, South Hadley, and Sunderland. These bus routes are fare-free for staff and faculty.",--,,http://www.umass.edu/sustainability/green-campus/transportation,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:12,Tyler_Arrigo@uml.edu,2.0,Pursuing,True,"The UMass Lowell's Recreation Center provides storage for bicycles over the winter.  There are bicycle racks located on every campus and at every dormitory.  Bike racksare at the residence halls, Campus Recreation Center, Hawks Nest Café and are all in close proximity to showers and lockers.",--,"UMass Lowell has great bicycle parking coverage across its campuses, but does not meet the specific distances criteria at all locations.  Bicycle parking (racks) is located on every campus.  They are located at the Recreation Center (East Campus), Costello (North), Health & Social Sciences (South).  There are also bike racks at all of the residential halls and at most campus buildings. ",--,"UMass Lowell is working with the City of Lowell to draft a complete streets policy.  There are some dedicated bike paths (began development in 2012), but they are not contiguous (all are linked except to South Campus). ",True,"UMass Lowell has the Freewheelers bike sharing program. This program provides free bicycles for students, faculty and staff. Once a person is registered, he/she can check out and return a bike at any of the 5 campus check-out stations.  Bicycles are available on a first-come, first-serve basis. 
http://www.uml.edu/CampusRecreation/Bike-Shop/FreeWheelers.aspx
",--,UMass Lowell received “Honorable Mention” status by the League of American Bicyclists regarding the Bicycle Friendly University List.  UMass Lowell will continue to pursue this designation and full certification in the future.  ,True,"UMass Lowell offers free intercampus transportation to all students, faculty and staff.  
http://www.uml.edu/student-services/Transportation-Services/Day-Shuttle/Day-Shuttle.aspx
",True,"University employees who take a sustainable mode of transportation two days per week or more are eligible to sign up for a free Emergency Ride Home program.
http://www.uml.edu/student-services/Transportation-Services/SustainableTransportation/employees.aspx
",True,"UMass Lowell has a carpooling program that allows members to split the costs of parking permits. The NuRide program will provide matches of potential carpoolers.  Preferred parking is an example of one reward offered for carpooling.
http://www.uml.edu/student-services/Transportation-Services/Sustainable-Transportation/carpooling.aspx
",True,"UMass Lowell participates in Zipcar, an on-campus, on-demand car rental service.
http://www.uml.edu/student-services/Transportation-Services/Sustainable-
Transportation/zipcar.aspx
",True,"UMass Lowell has a total of four recharging stations (North, South and East Garage, and the Parking Lot at University Crossing).
http://www.uml.edu/News/stories/2014/Electric-Car-Charging-Stations.aspx",--,NA,--,NA,--,UMass Lowell has a live in faculty program in the Commonwealth Honors College. ,True,UMass Lowell is partnering with Nissan to develop preferred purchasing options for the Nissan Leaf.  UMass Lowell is also in discussions with other vehicle companies to develop preferred agreements for other alternative vehicles.  ,http://www.uml.edu/student-services/Transportation-Services/Sustainable-Transportation/default.aspx,--
University of Michigan,2016-01-11,2016-01-11 15:37:45,ahorning@umich.edu,2.0,Pursuing,True,"There are bicycle lockers that provide covered and secured parking for individual bicycles. Lockers are located at the Medical Campus and Wolverine Tower. The lockers are available for lease at a nominal fee plus a refundable key deposit. For inquiries regarding bike lockers please contact Parking Customer Services at umpark@umich.edu.

Secured, indoor bicycle parking facility is now available - out of the elements and accessible to only those with rented space. Two doors, accessed via programmed Mcards, with a 50-bike capacity - either on floor loops or on wall racks.

The bike storage facility is located on the South side of the Thompson St. Parking Structure and has capacity for 50 bicycles in a combination of wall-mounted racks and floor loops.

Rental of bicycle storage space is $72.00 per parking permit year (July through June at $6.00 per month). The fee must be paid in full at the time of purchase. Payment methods include cash, check (payable to University of Michigan) or credit card (Visa, MasterCard or Discover). To rent space in the facility, please contact Parking Customer Services at 764-8291.",True,"There are over 8,500 bike parking spaces (each hoop provides 2 parking spaces) on U-M's Ann Arbor campus. This translates to about 1 place for every 10 people within an academic, research and office building on campus and 1 place for every 4 people living in a residence hall. These ratios fall within common guidelines from around the country and are the result of a concerted effort over the past ten years to increase the number of bike parking spots on campus.

The majority of the bicycle parking spaces are of the inverted ""U"" design where each hoop accommodates two bicycles. The hoops are typically clustered, placed on hard surfaces and located in the vicinity of building entrances. Some larger bike parking clusters are centrally located to serve numerous buildings. Most of the parking spots are uncovered, but where possible some racks are located under building overhangs and within parking decks. Cyclists should park bikes at designated bike racks and refrain from locking their bikes to fences, sign post or trees.",True,On-line guide maps provide information on common bicycle routes around campus along with the location and the type of bicycle parking available.,True,"As part of the University's mission to provide affordable and green transportation alternatives to the U-M community, Parking & Transportation Services, the Office of Campus Sustainability, the University Planner's Office and Rec Sports have worked together to launch Blue Bikes, a new campus bike rental program. Operated by Outdoor Adventures within Rec Sports, Blue Bikes are now available for rental at Outdoor Adventures (near Elbel Field) and the North Campus Recreation Building (NCRB).
ArborBike
Ann Arbor is getting a new bike share system! Stations will be located at key destinations throughout downtown Ann Arbor and across the University of Michigan. This network of 14 stations will allow you the freedom and fun of accessing downtown and campus quickly while leaving your own bike at home",True,"In March of 2012, The University of Michigan was named a Bike Friendly University (BFU) by the League of American Bicyclists. U-M received a bronze designation.",True,"U-M operates a free campus bus system.  Faculty, staff, and students are able to ride the Ann Arbor Area Transportation Authority (TheRide) free of charge in the greater Ann Arbor-Ypsilanti area.",True,"Register for the Guaranteed Ride Home Program and if you have an emergency and need a ride home from work on a day that you used alternative transportation, call a taxi or the car rental company of your choice. Pay for your ride home and submit the online reimbursement form, print out the form and mail in your form with the receipt. We will mail a reimbursement check up to $55 per use",True,GreenRide Connect is a web-based application that promotes alternative transportation by making it easy to find other individuals to share a carpool or vanpool. We have partnered with AATA to bring you GreenRide Connect. The University of Michigan has it's own portal under the AATA site for University employees only.,--,,True," Electric Vehicle (EV) Charging Stations are available for the University of Michigan community and visitors for ""top-off"" charging. Four campus locations (11 charging spaces in total) are a part of the ChargePoint Network and offer Level 2 chargers",True,"Pre-planning on the part of the supervisor can both meet the required staffing needs of the unit, and the scheduling needs of the employee by using alternative scheduling arrangements or flexible work schedules.   U-M allows flexible work arrangements such as:  Flexible work schedules, compressed work weeks, split schedules, and telecommuting.",True,"Pre-planning on the part of the supervisor can both meet the required staffing needs of the unit, and the scheduling needs of the employee by using alternative scheduling arrangements or flexible work schedules.   U-M allows flexible work arrangements such as:  Flexible work schedules, compressed work weeks, split schedules, and telecommuting.",--,,--,,http://pts.umich.edu/alt-trans/,"https://www.isharearide.org/u-m
http://hr.umich.edu/mhealthy/programs/activity/classes/locations.html
http://www.hr.umich.edu/compclass/flsa/flexibility.html
"
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:20,mgranley@d.umn.edu,2.0,Pursuing,True,"Under the Dining Center, there is covered bike parking, including 6 storage lockers.

The Rec Sports Center provides showers for bicycling commuters.  

In addition, the UPASS program provides free bus rides for all full time students, and staff and faculty can purchase discounted bus passes.  The bus system provides bike racks for bus riders.  ",--,"Bike racks are available outside approximately 85% of our residence halls.

Although we don't have long-term storage within 100m of all residence halls, we do have common areas where this is available for several of our residence halls. ",--,"Our campus consists of almost entirely interconnected tunnels, which means there are very few streets where this is an issue. ",True,"We offer 'Buck a Bike,' where the campus community can check out a bicycle for $1 per day. We have approximately 10 bicycles available, and we check out between 5-10 per month.",--,N/A,True,"UMD students, faculty, and staff can ride DTA buses at extremely discounted rates.  Students are automatically assessed a $10 fee each semester which provides unlimited rides.  Faculty and staff can opt-in for a $50 annual pass, also providing unlimited rides.",--,N/A,True,"Car Pool Discount: Card is stamped once for each individual in the vehicle in addition to driver. A full card of ten (10) stamps is redeemable for one free entry into the pay lot.

",--,"No there isn't a specific program, but students have created a facebook page called ""UMD Ride Share"" this page has been around for over 2 years with 4391 members in the page. So students can post on there asking if anyone is heading towards a location they want to go to. Anybody can be part of this facebook page and helps students promote car pooling.
https://www.facebook.com/groups/5933937915/",True,"UMD Parking Services now offers electric vehicle charging free of charge. With space for two cars to charge simultaneously, EV drivers can now top-off their batteries while studying or working on campus. The charging station is located at the end of the metered parking spaces between Parking Lot B and the Darland Administration Building, and is equipped with one 240V charger and one 120V charger. Anybody can use the charger, including students, staff, faculty, and visitors. Currently, there is no fee for electricity used for charging. Charge time and parking at the charger are limited to four hours. ",True,"The University offers flexible working arrangements, including telecommuting. Employees must obtain their supervisors approval to telecommute, developing a plan that will best fit their needs and the requirements of their position. Two union contracts include telecommuting as an option. The University provides information online about telecommuting to help both the supervisor and employee think about possible benefits and consequences of the arrangement. 
http://www1.umn.edu/ohr/wellness/timeaway/flexwork/index.html
",True,"The UMD Facilities Management department (largest number of staff employed on the campus) started to offer a condensed work-week option in Summer 2008 to most of its employees.  This was offered during the summer months only.  The FM Department also surveyed employees to see if the program should be continued (it continues into 2011)

http://www.d.umn.edu/fm/about/survey.pdf",--,N/A,True,"The Wellness Program and Parking and Transportation Services partnered to offer you an incentive to bike to work. When you bike to work 50 times from September 1, 2014 to August 31, 2015, you will earn 75 wellness points. Bike to work 100 times during the same time period and earn 125 wellness points. You must have an RFID chip installed on your bike for your trip to count. Wellness points can be used to reduce health insurance premiums.",https://umdsustain.wp.d.umn.edu/campus-initiatives/transportation/,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:01,good0044@morris.umn.edu,2.0,Pursuing,True,"The Science building has lockers and secure, covered bicycle storage. Right across the road, pool showers in the Morris P.E. Fitness Center (RFC) are available to all campus bike commuters. Lockers and secure bike storage are available there, as well.",--,,--,,True,"The Morris Regional Fitness Center (part of the Morris campus) has multi-person bike that is used by students to get around the town. We also have a ZAP program, which counts bike trips to campus by University employees and offers insurance discounts for frequent bike commuters.",--,,True,"While we do not have our own shuttle, we have an approach that works for our rural location. The Morris campus is embedded in the city of Morris. The city of Morris offers cheap public transit that the campus community uses routinely. At the Information Desk on campus, reduced-rate punch cards are sold. Punch cards can be purchased at $10 for 22 rides. Between 8AM and 5PM the shuttle stops on campus each hour and you can schedule pickups easily . It is $2.50 without advance notice (at special stops), on weekends and after 6PM. So, it is cheap and easy.",--,,True,"Staff members and students frequently use their listservs to arrange carpools.

Additionally, our campus is part of Zimride.  Zimride is a website that allows students and faculty at UMM to post ride requests and offers.  ",--,,--,We have a regular 110V charging station.,True,"Although there is not a system-wide policy for telecommuting, information and forms to create your own program are available on the website listed below.",True,A simple application is completed by the employee and then approved by his or her supervisor.,--,"Because we are a rural campus, most of our staff already live in Morris. In fact, roughly 70% of faculty/staff live within 3 miles of campus. The campus culture encourages living close to campus, with special social activities for faculty and staff. There are no ""official"" incentives.",True,"Because of our campus's rural location and size, a car sharing program wouldn't work. Instead, the Morris Transit bus service stops frequently on campus and also picks students up outside of their scheduled route. The university also contracts with a local coach bus service to shuttle students to and from the Maple Grove Transit Center every weekend.Because of our campus's rural location and size, a car sharing program wouldn't work. Instead, the Morris Transit bus service stops frequently on campus and also picks students up outside of their scheduled route. The university also contracts with a local coach bus service to shuttle students to and from the Maple Grove Transit Center every weekend.",--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:43,stennes@umn.edu,2.0,Pursuing,True,"We offer bike lockers, secure bike rooms in buildings and parking ramps and showers at the Bike Center and in various buildings.
",True,There are racks available within that distance at all 11 residence halls. There are bike lockers/secure parking available within that distance at 9 of 11 residence halls. ,True,"A map is publically available here:
http://www1.umn.edu/pts/maps/Library/pdf/Bike_2014.pdf",True,"There are 1,550 bikes in the Nice Ride metropolitan system https://www.niceridemn.org/. 15 stations are located on campus. Total capacity of University-only stations 250 - 300 bikes. The University also operates its own daily/semester/year rental system.",True,The University was certified a gold-level institution in 2012 and is currently reapplying to the program.,True,"for students: http://www1.umn.edu/pts/bus/upass.html 20,000 + sold per semester
for staff: http://www1.umn.edu/pts/bus/metropass.html 1,500 + participants
",True,http://www.metrotransit.org/guaranteed-ride-home,True,Carpool has a 4% mode share and carpoolers receive discounted parking fees.,True,The University contracts with a local nonprofit to provide car-sharing services http://www.hourcar.org/,True,The University has 6 Level 2 chargers with the capacity to charge 12 total cars at any one time. We have one Level 3 charger. All of the chargers are available free of charge - parking fees apply - to members of the University community and the public. ,True,"From the Human Resources website:
Telecommuting is a work arrangement in which an employee carries out all or some of the duties of the job at home or another alternate work location. While most positions at the University require staff to report to University locations, some employees can accomplish the duties of their jobs while working off-campus. For example:

An employee works in the office Monday-Thursday and telecommutes from a home office on Friday
An employee works in the office 6:30 a.m.-12:30 p.m. and telecommutes from a home office for two hours each afternoon.

",True,"From the Human Resources website:

This option allows employees to work a 40-hour work week in less than the traditional 8-hour day, 5-day work week. For example:

An employee works four 10-hour days
An employee works four 9-hour days and a half day on Friday",True,http://livenearyourwork.net/,True,"The University operates a biking incentive program(ZAP) that rewards employees who bike reductions in their health insurance premiums. Students in the program are rewarded with gift cards to local businesses. Nearly 3,500 registered participants to date, pretty evenly split between staff and students. https://www.derozap.com/umn/?s=about

As mentioned previously, Metropass and U-Pass and carpool and bike share incentives and discounts.",http://www1.umn.edu/pts/,--
University of Missouri,2015-05-01,2015-05-01 15:34:19,raghavans@missouri.edu,2.0,Pursuing,--,"The campus has multiple covered/secure bike storage locations, as well as an on-campus recreational facility for all full-time students, and paying staff/faculty to utilize that includes shower facilities and lockers.",True,"There are more than 5,000 bicycle spaces on campus. Bicycle parking is not allowed along handrails, fences, buidliings, trees or light poles. Bicycle parking map: http://sustainability.missouri.edu/pdfs/Bike_Map.pdf",True,The University of Missouri collaborates with the City of Columbia to provide designated “green routes” safe streets for bicyclists. https://www.gocolumbiamo.com/PublicWorks/GetAboutColumbia/Biking/documents/2014ColumbiaMissouirBikeMap-Large.pdf  ,True,Mizzou Bike Share is free to students. Bicycles can be checked out at the Mizzou Student Center but must be returned one hour before the student center closes. http://environmentalleadership.missouri.edu/mizzou-bike-share/,--,n/a,True,"Tiger Line is a shuttle service that runs seven days a week when residence halls are open and is funded through student fees. Routes run every 10 minutes between commuter lots and campus during the day and every 30 minutes to campus, shopping and downtown destinations at night and on weekends. http://tigerline.missouri.edu/ 
COMO Connect, Columbia’s bus system, offers $100 student semester passes. http://www.comoconnect.org/
",--,n/a,True,"A 12-passenger shuttle van has transported commuters from Boonville to campus each work day since the mid-1970s. Each passenger pays a fixed rate that is used to supply the vehicle, insurance, maintenance costs and fuel.  ",True,Mizzou participates in the Enterprise Car Share program. http://www.enterprisecarshare.com/car-sharing/program/mizzou,--,n/a,True,Telecommuting is at the discretion of the department. http://www.umsystem.edu/totalrewards/flexible_work_arrangements_overview,True,"A condensed work week is at the discretion of the department and several employees take advantage of this work-life initiative. http://www.umsystem.edu/totalrewards/flexible_work_arrangements_overview
http://www.umsystem.edu/totalrewards/flexible_work_arrangements_specific_types
",--,n/a ,--,n/a ,http://parking.missouri.edu/html/main.cfm,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:28,johnstonrk@umkc.edu,2.0,Pursuing,True,UMKC has 297 parking spaces for bicycles plus indoor bicycle lockers and also has two self-help bicycle repair stations as well as a bicycle mechanic on duty in The Hub.   ,True,"UMKC has bicycle parking at each building and also has bicycle locker storage facilities at the Cherry Street Garage, Johnson Hall, and the Health Sciences Building Also check out our Google bike map to find repair locations and bike racks.
https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=217356382080037927683.0004a0444ba2ea426f742&ll=39.03842,-94.57926&spn=0.011367,0.019205&t=h&z=16&dg=feature",--,,True,"UMKC now has 60 bicycles for the bike commute program. The bikes are loaned out and can be chained to one of the 297 bike parking spaces now installed on campus.

Initially supported through a two-year grant from the Missouri Department of Transportation, UMKC has assumed responsibility with assistance from Bridging the Gap. Click here for the bike and commuter map. Also check out our Google bike map to find repair locations and bike racks.

    Obtained funding through Missouri Department of Transportation
    Added 26 loaner bikes in 2008 to encourage reduced car trips on campus
    Opened The Hub in 2008 with on-site bike mechanic
    Developed bike map and added conveniently located bike racks
    Transitioned to Swinney Recreation Center as a UMKC in-house program in 2010
",True,UMKC was certified Bicycle Friendly University at Silver level ,True,"UMKC students voted to pass the Student Transportation Fee Referendum on Feb. 15-17, 2011.  Beginning in fall 2011, students will pay a $14-per-semester fee for an all-access transit pass on the Kansas City Transportation Authority (KCATA) bus service. There is a cap of $28 annually for the fee.

An all-access bus pass regularly costs individuals $50 a month so this is quite a savings for UMKC students. The all-access bus pass not only offers students an economic advantage, but also has the potential to reduce UMKC’s carbon footprint through increased ridership. Click here for our bus route map.

Below is the final result for the New Student Transportation Fee Referendum:

Yes—1405
No—843
Undecided—19
Total Votes:  2,267",True,"UMKC is a partner of RideShare with Mid-America Regional Council.  When you register for the Guaranteed Ride Home service, you'll receive a pass card — valid until the end of the calendar year — and information about what to do if you need an emergency ride home. Many companies have signed up as participating companies and have onsite coordinators who can help you get an emergency ride home. If your organization is not listed below, the RideShare office will be your contact and can be reached at 816/842-RIDE.",True," RideShare is a publicly funded program that provides commuter resources to individuals and employers in the Kansas City metro area — helping to create transportation options for area workers.

RideShare works in two main ways:

    assisting employers with transportation programs.

    helping individuals find riding opportunities with other commuters.

UMKC is a Ride Share program partner.  
Established in 1980, the program serves commuters from seven counties in Missouri and five counties in Kansas. The program offers a commuter-matching service for anyone who lives, works or attends school in the greater Kansas City area or within 75 miles of downtown Kansas City, Mo.
 ",True,"Zipcar is available to all UMKC students 18+, faculty and staff. Zipcar is wheels when you want them, literally. With Zipcars parked on campus, all you have to do is decide where you want to go and when. Zipcar’s cutting edge technology allows you to reserve cars 24/7, online or on your mobile device. Low hourly and daily rates include gas, insurance, and 180 miles per day. Why deal with having a car on campus? ",True,"As a “Green Parking” option, UMKC’s Parking Operations has installed electrical vehicle charging stations on campus. The stations on both campus operate similarly to parking meters. ",--,,--,,--,,--,,http://info.umkc.edu/sustainability/green-campus/transportation/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:37,mcclauca@mountunion.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"We provide numerous bike racks and some long term bike storage for students, Most of the other credits we do not meet the requirements and many are not even appropriate for the size and location of our campus"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:09,pshrestha3@unl.edu,2.0,Pursuing,True,"The Outdoor Adventures facility will have these amenities, but at this time no building at UNL has all these features present.

Othmer Hall, Facilities Management Shops, and the Jackie Gaughan Multicultural Center, and Mabel Lee Hall  all have showers accessible to bicycle commuters. 
",True,There are short term bike racks either in front of or on the sides of all campus buildings. ,True,"Complete streets have recently become a City of Lincoln policy. The vision outlined in the Physical and Landscape Master Plan is to create complete stress on Vine Street, R Street, and new X Street, and 16th Street. The plan also relocates a large parking from the walkable core of campus to sites that are easily accessible by vehicle at campus gateways, minimizing the overlap of pedestrian and vehicular traffic. The campus’ complete streets work together with the mall system, which provides internal circulation for pedestrians and bikes. North-south campus malls will have dedicated lanes for bikes that connect to the complete streets network. ",True,"Bike rentals are available from UNL Outdoor Adventures Bike Shop on a daily, weekend, weekly and semester long basis. Renters can choose from single speed bikes, mountain bikes, and touring road bikes. All rentals include a helmet and bike lock. 

Rate information can be found at bike.unl.edu ",True,"

UNL was awarded the silver level distinction from the League of American Bicylists. The UNL's new Outdoor Adventure Center is just one of the reasons the Lincoln, Neb., university received the award. It provides bicycle repair opportunities, access to 24-hour end-of-commute shower facilities and bike locker storage. The University is also working on a new master plan, which will include multi-modal transportation priorities and projections for new bike infrastructure.

One of the goals of the Bicycle Transportation Ad Hoc Committee was to evaluate, assess, and execute steps towards becoming recognized as a “Bike Friendly University” according to the recognition process of the League of American Bicyclists (LAB). According to the LAB:

“The Bicycle Friendly University (BFU) program recognizes institutions of higher education for promoting and providing a more bicycle-friendly campus for students, staff and visitors. The BFU program provides the roadmap and technical assistance to create great campuses for cycling.”

The application towards being recognized as a BFU can be found here, and is generally structured around the “5 Es”. http://www.bikeleague.org/bfa

Engineering
Education
Encouragement
Enforcement
Evaluation
",True,"All students receive a free bus pass when they pay their student fees.

Faculty and Staff are given the option of purchasing a pass for $10 a month.",True,"UNL's student-funded service, 475-RIDE offers free taxi rides for UNL students in the case of emergency. Students can access the free rides on Thursday, Friday and Saturday nights from 9pm until 4am.",True," UNL offers special permit rates for carpool groups that consist of a minimum of two (2) members. Additional information can be found at http://parking.unl.edu/carpool-program.


",True,"Four Zipcars parked on campus are available for use by students, and the university community. More information can be found at zipcar.com/UNL",--,,True,UNL policy allows for telecommuting for employees where appropriate and approved by manager. ,--,,--,,True,Bike UNL provides a free Bike Valet services to encourage carbon free travelto home football games. The free service is available  two hours prior to the game and one hour after the final whistle. More information about the program can be found at bike.unl.edu/bikevalet ,http://bike.unl.edu/,--
