Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of the institution’s employees that use more sustainable commuting options,The percentage of the institution's employees that use each of the following modes as their primary ...,The percentage of institution’s employees who commute with only the driver in the vehicle ...,"The percentage of institution’s employees who walk, bicycle, or use other non-motorized means as ...",The percentage of institution’s employees who vanpool or carpool as their primary method of ...,The percentage of institution’s employees who take a campus shuttle or public transportation as ...,"The percentage of institution's employees who use a motorcycle, scooter, or moped as their primary ...",The percentage of institution's employees that telecommute for 50 percent or more of their regular ...,A brief description of the method(s) used to gather data about employee commuting,The website URL where information about sustainable transportation for employees is available,Public Notes
University of British Columbia,2016-02-22,2016-02-22 18:18:39,charlene.ponto@ubc.ca,2.0,Pursuing,71.0,**,28.0,2.5,13.0,55.0,0.2,--,"Data is collected annually at the entry points to the campus to understand how the university population is travelling to and from the campus each year. All modes of travel are counted along with the number of passengers to understand the total number of trips to and from the campus on an average weekday. Note, annual screenline counts indicate % of modal split, but do not differentiate between students and employees. ",http://planning.ubc.ca/vancouver/transportation-planning,"With over 140,000 trips to and from UBC each day, transportation planning plays an important role in ensuring that the community’s transportation needs are met with a wide variety of sustainable transportation options. Since 1997, SOV person trips have decreased by 13% while transit person trips have increased by 312%.

The 2014 UBC Transportation Plan for the Vancouver Point Grey campus is the guiding document for transportation objectives and initiatives on campus, and updates UBC's previous strategic transportation plans: http://planning.ubc.ca/vancouver/transportation-planning/transportation-plans.

The Fall 2013 Transportation Status Report is available online at: http://planning.ubc.ca/vancouver/transportation-planning/research-and-reports/transportation-status-reports."
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:13,lmcneilly@berkeley.edu,2.0,Pursuing,57.3,**,42.5,18.6,6.7,29.2,1.4,--,Every three years the campus conducts a comprehensive transportation survey to determine mode split.  This data is from 2014.  2.8% of the commute is from modes other than those described above.,http://pt.berkeley.edu/,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:25,cmkirk@ucdavis.edu,2.0,Pursuing,39.2,**,60.8,23.4,9.0,6.8,--,3.3,"The UC Davis Campus Travel Survey is a joint effort by the Transportation & Parking Services (TAPS) and the Sustainable Transportation Center, part of the Institute of Transportation Studies at UC Davis. Since 2007 the survey has been administered each fall by a graduate student at the Institute of Transportation Studies. The main purpose of the survey is to collect annual data on how the UC Davis community travels to campus, including mode choice, vehicle occupancy, distances traveled, and carbon emissions. Over the past seven years, the travel survey results have been used to assess awareness and utilization of campus transportation services and estimate demand for new services designed to promote sustainable commuting at UC Davis. Data from the campus travel survey have also provided researchers with valuable insights about the effects of attitudes and perceptions of mobility options on commute mode choice. This year’s survey is the eighth administration of the campus travel survey.

The 2014-15 survey was administered online in October 2014, distributed by email to a stratified random sample of 30,815 students, faculty, and staff (out of an estimated total population of 42,405). About 14 percent (4,224 individuals) of those contacted responded to this year’s survey, with 11.4 percent actually completing it. For the statistics presented throughout this report, we weight the responses by role (freshman, sophomore, junior, senior, Master’s student, PhD student, faculty, and staff) and gender so that the proportion of respondents in each group reflects their proportion in the campus population.",http://goclub.ucdavis.edu/,"Thigpen, Calvin (2015) Results of the 2014-15 Campus Travel Survey. Institute of Transportation Studies, University of California, Davis, Research Report UCD-ITS-RR-15-15; Table 22. ""Share using each mode on an average weekday, including telecommuting."" Accessed at: http://its.ucdavis.edu/campus-travel-surveys/."
"University of California, Irvine",2016-03-23,2016-03-23 10:32:41,khaq@uci.edu,2.0,Pursuing,70.76,**,29.24,45.49,14.44,5.74,0.77,4.32,These numbers are derived from a combination of permit buy-rates and the annual South Coast Air Quality Management District commute survey (based on all employee responses) and represent the commute trip mode split on an average day at UC Irvine.,http://www.parking.uci.edu/AT/,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:14,sustainability@ucla.edu,2.0,Pursuing,46.1,**,53.9,15.1,14.4,13.1,0.6,1.7,,http://www.beagreencommuter.com/,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:23,cmccormick3@ucmerced.edu,2.0,Pursuing,33.0,**,67.0,8.0,14.0,11.0,--,--,Data collected by means of campus wide survey.,http://taps.ucmerced.edu/alternative-transportation,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:31,john.cook@ucr.edu,2.0,Pursuing,30.0,**,70.0,6.0,15.0,2.36,1.0,3.0,Transportation and Parking Services conduct annual surveys using a methodology for AVR calculation approved by the California South Coast Air Quality Management District.,http://parking.ucr.edu/alt_trans/,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:32,smckinstry@ucsd.edu,2.0,Pursuing,57.0,**,43.0,9.0,24.0,23.0,0.4,--,Data is not segmented separately by students or employees. Mode %’s rounded in this report. All commuter mode split data reflects the total population surveyed by physical count of Commuter Vehicle by type and associated Commuter Vehicle people during Winter Quarter of 2013 of campus entrances for commuter people and commuter vehicles. A representative day is created over a multiple day process each year for a data set that allows comparison of mode split calculations year to year.,http://blink.ucsd.edu/facilities/transportation/commuting/solutions/index.html,"http://blink.ucsd.edu/facilities/transportation/commuting/solutions/index.html
http://blink.ucsd.edu/facilities/transportation/commuting/index.html

The data available for campus commute modal split does not distinguish between students, staff, and faculty.  

UC San Diego can best ensure accuracy by reporting metrics currently tracked by Transportation Services, which meticulously documents the total number of commuters during its annual survey of pedestrian and vehicle traffic.
This survey focuses on tracking all commuter data for transportation and greenhouse gas purposes, but it does not distinguish between student, faculty, staff or campus visitors. Over a decade of data has been collected in this manner and demonstrates a significant increase in alternative transportation usage by commuters.  The percentages provided are the most precise representation of UC San Diego commuters currently available.
"
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:14:42,mo@geog.ucsb.edu,2.0,Pursuing,39.0,**,61.0,11.0,18.0,6.0,1.0,3.0,"A survey is administered by the Social Science Survey Center on behalf of the Chancellor's Campus Sustainability Committee and the office of Administrative Services. The survey measures commuter behavior by asking faculty, staff, and students to indicate the mode of transportation they use to travel to campus each day.  ",http://www.tps.ucsb.edu/,"UCSB disseminates an annual mode-split survey for all faculty, staff, and students. "
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:54:49,ekericks@ucsc.edu,2.0,Pursuing,51.9,**,46.1,19.5,11.2,20.7,0.5,--,An on-line Travel Survey was conducted during Spring 2014 to determine the trip-making frequency and mode choice for residential and commuting students and faculty/staff when traveling on/off campus and across campus.,http://taps.ucsc.edu/new-to-campus/new-employee-guide.html,--
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:00,dave.newport@colorado.edu,2.0,Pursuing,54.0,**,45.0,15.0,11.0,27.0,--,--,"A comprehensive transportation survey of 2,049 employees in 2011",http://www.colorado.edu/parking/commuting/index.html,"The question used is: What is the most likely way you would get to campus in a typical week (if more than one mode is used, please indicate the mode used for the longest distance). "
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:27,lkogan@uccs.edu,2.0,Pursuing,12.42,**,88.89,5.9,4.77,0.76,0.99,--,A transportation a survey was sent to all faculty and staff.  The results were analyzed and tabulated.  ,http://www.uccs.edu/~pusafety/sustain/,--
University of Connecticut,2016-03-25,2016-03-25 18:15:10,rich.miller@uconn.edu,2.0,Pursuing,25.88,**,74.0,6.0,9.0,9.0,--,1.88,"This data was estimated by transportation for 2015 using parking pass information and self-reporting. They are working on a transportation survey to provide more up-to-date data and to assess how to improve sustainable transportation options on campus. The information on telecommuters comes from Labor Relations, and only includes employees who have a formal arrangement. The actual number could vary based on informal arrangements employees have with their departments, and faculty schedules.",http://guide.uconn.edu/parking-transportation/,--
University of Denver,2016-02-26,2016-02-26 12:38:06,chad.king@du.edu,2.0,Pursuing,36.5,**,61.0,14.0,5.0,21.0,--,--,A transportation survey is submitted to all campus users every fall.,http://www.du.edu/transcenter/,"
"
University of Florida,2016-03-23,2016-03-23 09:05:58,miwilliams@ufl.edu,2.0,Pursuing,47.73,**,50.66,20.33,8.25,18.96,0.19,--,A survey asking for commute information for a typical week was sent out through e-mail and on social media. Information received was then tallied and compared to surveys done in 2009 for the Campus Master Plan process. Results were fairly consistent between the two surveys. ,http://www.parking.ufl.edu/pages/transcommopt.asp,--
University of Houston,2016-03-23,2016-03-23 17:21:26,smkelly5@central.uh.edu,2.0,Pursuing,47.8,**,52.2,3.61,31.52,12.63,0.04,--,A survey was conducted by our regional transit authority (METRO) along with permit sales data.,http://www.uh.edu/af-auxiliary-services/parking/transportation-options/,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:47,Cindy@uic.edu,2.0,Pursuing,70.15,**,29.85,17.07,5.31,47.77,--,--,We conducted an on-line survey in 2010.,http://sustainability.uic.edu/campus-resources/transportation/,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:10,spauldng@illinois.edu,2.0,Pursuing,37.9,**,62.1,15.4,9.5,9.3,0.4,--,The Champaign County Regional Planning Commission (CCRPC) received a grant from the Illinois Department of Transportation (IDOT) in 2011 to conduct a traffic circulation study for the University of Illinois at Urbana-Champaign’s University District.  The Campus Area Transportation Study (CATS) Technical Advisory Committee is the study steering committee.,http://icap.sustainability.illinois.edu/project/reduce-vehicle-miles-traveled-campus,--
University of Louisville,2016-02-13,2016-02-13 03:02:54,justin.mog@louisville.edu,2.0,Pursuing,18.3,**,81.7,4.9,9.5,3.5,0.36,--,The Sustainability Council conducted a baseline university-wide survey of commuting behaviors and willingness to consider alternatives in 2010 and repeated the survey in 2013 and again in the fall of 2015. A random sample of students and employees were surveyed.,http://louisville.edu/sustainability/operations/transportation.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:57,sdeleon@umd.edu,2.0,Pursuing,47.94,**,52.06,11.58,7.97,27.33,1.06,--,The Department of Transportation Services conducts a biennial survey about transportation behaviors in order to collect this data.,http://transportation.umd.edu/green.html,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:32,esmall@facil.umass.edu,2.0,Pursuing,29.0,**,71.0,8.0,10.0,6.0,2.0,--,Questionnaire,http://parking.umass.edu/index.php/generalinfo/commuteroptionsprogram/,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:08,Tyler_Arrigo@uml.edu,2.0,Pursuing,7.1,**,92.9,3.3,2.6,1.2,--,--,"A commuting survey is issued every other year as part of the MassDEP Rideshare program. The MassDEP Rideshare program survey is completed using a representative portion of the UMass Lowell population that is randomly generated from known commuter employees. 

Additional data, while not the most current, exists in the following:

Transportation Management Plan
http://www.uml.edu/Facilities/Planning/default.aspx

“Registered addresses for parking decal holders were geo-coded to determine where faculty, staff, and students reside off campus. Auto commute distances were then estimated using straight line measurements for each type of decal”.
",http://www.uml.edu/student-services/Transportation-Services/Sustainable-Transportation/employees.aspx,"There is not data available for the percentage of faculty that use a motorcycle, scooter or moped. The number of motorcycle/scooter/moped decals is available but it does not fit with primary method of transportation for entire school year.
"
University of Michigan,2016-01-11,2016-01-11 15:37:40,ahorning@umich.edu,2.0,Pursuing,24.0,**,76.0,10.0,3.5,8.0,0.5,--,"The Sustainability Cultural Indicators Program is a multi-year survey of U-M faculty, staff, and students designed to assess sustainability knowledge, behaviors, and attitudes.  Additional information of the program can be found here:  http://graham.umich.edu/leadership/scip",http://pts.umich.edu/alternative_transportation/,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:15,mgranley@d.umn.edu,2.0,Pursuing,35.0,**,65.0,13.0,12.0,10.0,--,--,"Four different data sets were used in conjunction with one another in order to estimate the most accurate numbers possible for the travel trends of UMD’s students, faculty and staff. The data from the 2007 carbon commuting calculations were used, as well as data from 2009 student survey, though this data was only applied to the students, and not faculty and/or staff. Data from the 2013 MPIRG TRANSITion survey was used to speculate changes in overall trends, and finally recent data based on student, faculty, and staff housing was applied. ",https://umdsustain.wp.d.umn.edu/wp-content/uploads/2012/06/Scope3_Commuting.pdf,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:57,good0044@morris.umn.edu,2.0,Pursuing,36.0,**,64.0,36.0,--,--,--,--,,--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:38,stennes@umn.edu,2.0,Pursuing,36.0,**,64.0,17.0,6.0,13.0,1.0,--,"Department of Parking & Transportation conducted an origin/destination study.
",http://www1.umn.edu/pts/,--
University of Missouri,2015-05-01,2015-05-01 15:34:05,raghavans@missouri.edu,2.0,Pursuing,33.0,**,67.0,30.0,--,1.0,2.0,--,All commuting data is based on parking permits sold.,http://parking.missouri.edu/html/main_bus.cfm,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:23,johnstonrk@umkc.edu,2.0,Pursuing,14.0,**,86.0,1.0,10.0,2.0,1.0,--,,http://info.umkc.edu/sustainability/green-campus/transportation/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:33,mcclauca@mountunion.edu,2.0,Pursuing,1.0,**,95.0,3.0,2.0,--,--,--,estimated based on parking permits and direct observation of parking areas,--,"Data entered by Leah Graham, data received by Ron Crowl Associate Vice President for Business Affairs, Chief Planning Officer"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:04,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:40,slburke@unomaha.edu,2.0,Pursuing,21.6,**,78.4,6.8,5.9,2.0,0.3,6.5,"University-wide survey conducted in April 2014 is the most reliable data. Not much has changed in programming since FY2013, so this data should be relatively reflective of the Performance year.
",--,--
University of New Hampshire,2016-03-25,2016-03-25 21:54:45,colleen.flaherty@unh.edu,2.0,Pursuing,23.0,**,77.0,2.0,2.0,19.0,1.0,--,"Estimated from prior year comprehensive standardized transportation surveys completed by the UNH Survey Center, parking permit applications and logical assumptions for the Durham-based population, the figures above represent the mode split for students in past GHGI reports and this update.

Comprehensive transportation surveys are completed every five years, sponsored by UNH Facilities in partnership with the Transportation Policy Committee and the Energy Task Force. The survey is being completed again this spring (2016).",http://www.sustainableunh.unh.edu/tdm,See also http://www.unh.edu/transportation/tpc/
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:04,cpshea@fac.unc.edu,2.0,Pursuing,39.0,**,61.0,6.0,6.0,23.0,1.0,1.0,"Annual commuter survey is conducted. In 2015, 1,067  employees returned usable data that was used to calculate the above percentages.

Our survey categories were combined as follows:
Vanpool, carpool = vanpool, carpool, dropped off by friend/spouse
Public transportation = bus, park & ride",http://move.unc.edu/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:25,cgcarwei@uncg.edu,2.0,Pursuing,36.0,**,64.0,7.0,11.0,17.0,1.0,--,"Review of employee permit sales data, Greensboro Transit Authority ridership data, and surveys conducted by POCAM (Parking Operations and Campus Access Management). ",http://parking.uncg.edu/sustainable/,"Information received from Suzanne Williams, Associate Director of Campus Access and Travel Demand Management, and the UNCG GHG Audit. Data are for FY 2013-14."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:38,pohlmank@uncw.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:02:51,smital@uoregon.edu,2.0,Pursuing,49.0,**,44.0,27.1,8.0,11.0,3.0,3.0,"These totals come from the 2014 University of Oregon Transportation Survey, which consists of a random sample of faculty and staff. ",https://parking.uoregon.edu/content/transportation-options,--
University of Pittsburgh,2016-03-24,2016-03-24 12:59:48,lwzfm1@pitt.edu,2.0,Pursuing,61.0,**,37.0,12.0,8.0,41.0,2.0,--,"The percentage estimates provided above are based on the Make My Trip Count (MMTC) regional transportation survey results for the University of Pittsburgh main campus in Oakland. These results indicate the primary mode of travel to and from campus, and do not include multi-modal trips or people who use different modes throughout the week (such as someone who usually drives, but takes the bus sometimes). 

Our total population of employees and students at the main campus is 40,894. 2,679 people* (7%) responded to the MMTC survey. This sample size provides us a 95% confidence level** and a 2% margin of error***. The confidence level and margin of error were calculated using SurveyMonkey's Sample Size Calculator: https://www.surveymonkey.com/mp/sample-size-calculator/ 

The University receives total transit trip data from Port Authority of Allegheny County, but at this time cannot distinguish between student and employee travel. We hope that future technology advancements will allow us to distinguish between employee and student ridership counts. 

According to MMTC, the mode split for the University of Pittsburgh main campus is as follows:
Drive Alone: 38.6%
Carpool: 4.8%
Vanpool: 0.9%
Dropped off: 2.6%
Bus: 34.3%
Light Rail: 2.3%
Park and Ride: 3.0%
University Shuttle: 0.7%
Bike: 5.1%
Walk: 7.2%
Telecommute: 0.2%
Other: 0.3%

For the purposes of this reporting, the following adjustments were made to the MMTC category results:
- The ""Take a campus shuttle or public transportation"" category also includes people who use Park and Rides, accounting for approximately 3% of our total campus population.
- The ""Vanpool or carpool"" category also includes people that reported being dropped off at work, approximately 2.6% of our total campus population.
- Our permit records indicate about 2% of our total employee population commutes to campus using a motorcycle, scooter, or moped. Since individuals using these types of vehicles would also most likely be driving alone, we removed 2% from the ""drive alone"" category (originally 39%) to avoid double counting.

The regional MMTC survey results can be found at: http://www.makemytripcount.org/
Main campus population numbers are reported as recorded in the University's 2016 Fact Book: http://www.ir.pitt.edu/factbook/documents/FactBook2016.pdf 

   * MMTC results can not distinguish between student and employee responses.
  ** Confidence Level: The probability that our survey sample accurately reflects the behaviors of the entire population.
 *** Margin of Error: The range, measured as a percentage, that the total population's behaviors might deviate from our sample responses.
",http://pts.pitt.edu/commuting/,--
University of Richmond,2016-02-17,2016-02-17 15:17:43,randreje@richmond.edu,2.0,Pursuing,5.5,**,94.5,2.5,1.1,1.9,--,--,"In the fall of 2015, Transportation Services and the Office for Sustainability sent a survey to faculty, staff, and student commuters. More than 500 people responded to the survey. The data was entered into the Carbon Calculator used to track our GHGs. From there we were able to get the information needed to complete this credit. ",http://www.sustainability.richmond.edu/operations/transportation.html,Data extrapolated from fall 2015 transportation survey.
University of South Carolina,2016-02-29,2016-02-29 17:11:47,KOPPAN@mailbox.sc.edu,2.0,Pursuing,--,**,--,--,--,--,--,--,"No such metrics currently in place to gather data.
 A survey was created and deployed as part of a Parking Study for a Journalism class. This consisted of student focus groups and 12 in-depth faculty/staff interviews regarding parking at the university, as well as a survey that received over 5000 responses from those with a university email address. The survey was conducted to measure satisfaction with the university's parking system and could give an estimate of employees commuting by car. 
",http://sc.edu/green/transportation/,USC's employee commute modal split is not 0%; it has not been assessed yet.
University of South Florida,2016-02-26,2016-02-26 13:29:43,sustainability@usf.edu,2.0,Pursuing,16.4,**,83.6,6.5,6.6,0.8,0.8,--,"The Tampa Campus Transportation Survey developed by the USF Center for Urban Transportation Research was approved by the Office of the Provost, the Office of the Associate Vice President of Human Resources, and the Vice President for Student Affairs for submission to Tampa Campus faculty, staff, students, respectively, under the USF system's ""Mass E-Mail Policy"" found at http://generalcounsel.usf.edu/policies-and-procedures/pdfs/policy-0-520.pdf to ensure a broad response accross campus.
",http://www.usf.edu/administrative-services/parking/transportation/alternative-transportation.aspx,These data are estimates based on the 2012 Parking and Transportation Service (PATS) Survey conducted by CUTR. http://www.cutr.usf.edu/
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:19,davidv@mail.usf.edu,2.0,Pursuing,16.2,**,81.8,10.8,4.7,0.7,--,--,"A survey was sent out to all students in an email from the Office of the Chancellor. It asked how students primarily commuted to and from campus. The answers available were :    
-Commute with only the driver in the vehicle (excluding motorcycles and scooters)
-Walk, bicycle, or use other non-motorized means
-Vanpool or carpool
-public transportation
-Use a motorcycle, scooter or moped
-other",http://www.usfsp.edu/sustainability/transportation/,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:29,prestonj@utk.edu,2.0,Pursuing,8.12,**,91.88,2.32,4.35,1.45,--,--,"A commuter survey was sent out to a representative population of UT students, faculty and staff. This survey had 34 questions, a mixture of qualitative, quantitative, and demographic questions. These numbers come from responses to the question: ""How do you primarily get to campus?""",--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:58,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:33,mtare@uta.edu,2.0,Pursuing,1.0,**,69.4,10.9,17.0,2.7,--,1.0,,http://www.uta.edu/,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:57,jim.walker@austin.utexas.edu,2.0,Pursuing,38.0,**,62.0,9.0,8.0,16.0,1.0,--,Parking & Transportation Services sent a mode survey to the whole campus in 2012. There were 873 employee responses. ,http://www.utexas.edu/parking/transportation/,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:06,thea.junt@utdallas.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,The University has not conducted a thorough analysis of employee commuting habits.
University of Toledo,2016-03-25,2016-03-25 15:21:59,neil.tabor@utoledo.edu,2.0,Pursuing,49.0,**,51.0,24.0,16.0,8.0,1.0,--,Data available here is from a 2013 survey of campus users. Results were extrapolated for the entire campus based by percentages of participant responses.,http://www.utoledo.edu/sustainability/transit/index.html,"This survey did not distinguish between students, faculty and staff and for the purposes of this credit and OP-19: Student Commuter Modal Split, the inputted results will be the same."
University of Virginia,2015-12-11,2015-12-11 14:05:51,art2k@Virginia.edu,2.0,Pursuing,23.0,**,77.0,8.0,10.0,5.0,0.2,--,The Department of Parking and Transportation has partnered with the University's Center for Survey Research to conduct an employee mode split survey every two years.  The most recent survey data collection period was April 2014 to May 2014.  The 2014 survey had a 56% response rate with a margin of error at +/- 4.3%.  The survey also collects additional information that the Department can use to guide outreach efforts and infrastructure improvements.,http://www.virginia.edu/parking/TDM/index.html,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:52,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,76.2,**,23.8,33.0,14.7,28.1,0.4,--,The Campus Sustainability Office hired external consultant Green Action Centre to assist in designing and online transportation survey for students and then faculty and staff. The survey was conducted in January 2015. ,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:51,fermanij@uwgb.edu,2.0,Pursuing,7.0,**,93.0,2.0,5.0,2.0,--,--,"A survey of faculty/staff was conducted requesting information on transportation usage. Motorcycle, scooter/moped was omitted - it's Wisconsin, limited usage. ",--,This survey was conducted in 2012 and will be repeated in Fall 2014. 
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:34,knelson6@uwm.edu,2.0,Pursuing,41.5,**,58.5,19.7,7.1,14.4,0.3,--,"A survey was sent to all faculty and staff in November 2014. Telecommuting data was not compiled, though anecdotally, some faculty and staff do telecommute for 50 percent or more of their regular work hours.",http://www4.uwm.edu/pps/Sustainability/CampusInit/transportation.cfm,Data was supplied by a Transportation Survey conducted in November and December 2014. 
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:26,kermathb@uwosh.edu,2.0,Pursuing,30.0,**,70.0,11.0,10.0,9.0,--,--,"An anonymous survey was sent out to the entire campus community that asked questions on mode of transportation, distance, and frequency. ",http://www.uwosh.edu/parking/alternate-transportation,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:08,seebotha@uwplatt.edu,2.0,Pursuing,27.0,**,71.0,--,--,--,0.03,--,"We obtained parking permit sales for fy15 from campus police. It is nearly impossible to drive to campus without a parking permit as the majority of roads around campus no not allow parking. The parking permits distinguish motorcycle permits, so we have that number.",http://www.uwplatt.edu/transportation,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:56,sjanowsk@uwsp.edu,2.0,Pursuing,21.0,**,79.0,13.0,4.0,4.0,--,--,"An instructor of Geographical Information Systems was contacted for the transportation information. Using his collected data on on-campus and off-campus and faculty's transportation methods, the data was able to be calculated to match AASHE STARS requirements. ",--,"3700 on-campus (100% walk/bike)
5600 off campus (13% walk/bike, 15% bus, 72% drive)
1100 faculty (13% walk/bike, 87% drive)"
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:48:45,rykals@uwstout.edu,2.0,Pursuing,28.0,**,72.0,10.0,17.0,1.0,--,--,"A Qualtrics survey was administered by the Applied Research Center (in tandem with UW-Stout's Greenhouse Gas Inventory) through email to a randomly chosen sample representing the student, staff and faculty population. Three reminders were emailed encouraging participation. 

The data collection is represented by the following: 

1. Of the 857 completed surveys, 320 were by staff (37.4%) while 537 were completed by students (62.6%).

2. Student responses to the survey contributed to 57% of the data points while 43% were provided by faculty/staff. Respondents were asked to provide responses to questions for up to 3 semesters allowing for multiple data points per respondent. ",--,"Information from the UW-Stout Commuter Survey Report for Spring 2015, conducted by the Applied Research Center"
University of the Pacific,2016-03-23,2016-03-23 15:39:02,seller@pacific.edu,2.0,Pursuing,17.0,**,83.0,12.0,4.0,1.0,--,--,Estimates built off of Sightlines FY10 Pacific Transportation Survey.  No study of transportation patterns has been completed since this date.,http://www.commuteconnection.com/default.htm,Estimates built off of Sightlines FY10 Pacific Transportation Survey. No study of transportation patterns has been completed since this date. Same data as AY14-15. 
Vanderbilt University,2016-03-21,2016-03-21 10:46:15,andrea.george@vanderbilt.edu,2.0,Pursuing,15.0,**,85.0,1.0,7.0,7.0,--,--,Assumptions based on 2014 data provided by VUMC Parking and Transportation Services and VU Traffic and Parking  ,http://www.vanderbilt.edu/sustainvu/what-you-can-do/faculty/transportation/,--
Vassar College,2016-03-10,2016-03-10 19:47:32,alihall@vassar.edu,2.0,Pursuing,25.0,**,75.0,21.0,3.0,1.0,--,--,,--,--
Villanova University,2016-03-21,2016-03-21 13:11:35,liesel.schwarz@villanova.edu,2.0,Pursuing,17.0,**,83.0,6.0,--,11.0,--,--,"In 2014, the university surveyed all faculty and staff employees regarding their transportation habits and preferences. From the results we are able to estimate commuting usage. ",--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:15,eestanforth@vcu.edu,2.0,Pursuing,23.0,**,78.0,10.0,9.0,4.0,--,--,,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:07,aclimo@warren-wilson.edu,2.0,Pursuing,35.0,**,65.0,35.0,--,--,--,--,"We used on-campus housing as proxy for low-impact commuting. Our core campus is quite small, allowing for easy walking or biking. ",https://www.warren-wilson.edu/student/housing-and-residence-life,--
Wartburg College,2015-04-27,2015-04-27 09:08:41,anne.duncan@wartburg.edu,2.0,Pursuing,8.8,**,91.2,3.2,5.1,--,0.5,--,"Being a small campus, users are identified based on conversation and observation. ",http://www.wartburg.edu/sustainability/energy.aspx,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:59:34,slkane@wsu.edu,2.0,Pursuing,50.0,**,--,--,--,--,--,--,"Modal survey completed by third party, but was focused on reasons why students do not use alternative forms of transportation.  The top two reasons were the weather and terrain.",http://www.parking.wsu.edu/,WSU does not collect this information.
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:11,valko@wustl.edu,2.0,Pursuing,80.4,**,19.6,--,1.0,64.0,1.0,--,"The percentages indicated above are based upon the number of parking passes and subsidized public transportation passes for employees requested/ distributed throughout the year. 

Alternative option-specific details are as follows:

Car/van pool: The percentage indicated is based on the number of carpool program members among WashU employees on both the Danforth and Medical School campuses.

Public Transportation: The percentage indicated is based on the number of Metro Passes requested/distributed to employees.  Although we have no system in place as of yet to determine how many of these passes are relied upon as a primary means of transport, we assume that they are used on a frequent basis and know that many do rely on St. Louis Metro for their daily commuting needs between campuses and around the city.

Drive alone: The percentage indicated is based on the number of Parking Passes requested/distributed.  Although we have no system in place as of yet to determine how many of these passes are relied upon as a primary means of transport (and how many of these employees also request a Metro pass), we assume that those employees requesting a parking pass will be using their personal vehicle as a primary means of transport.",http://www.parking.wustl.edu/,--
Weber State University,2016-01-13,2016-01-13 14:17:09,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
