Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Title or keywords related to the innovative policy, practice, program, or outcome","A brief description of the innovative policy, practice, program, or outcome ",A brief description of any positive measurable outcomes associated with the innovation (if not ...,Provide affirmation that the following statements are true:,A letter of affirmation from an individual with relevant expertise,"The innovation describes a new, extraordinary, unique, ground-breaking, or uncommon outcome, policy ...","The innovation (program, policy, or outcome) is not already covered by an existing STARS credit or ...",Which of the following STARS subcategories does the innovation most closely relate to? (Select all ...,"The innovative practice, policy, program, or outcome occurred within the past three years",Other topic(s) that the innovation relates to that are not listed above,The website URL where information about the innovation is available ,"The institution has not previously received a STARS innovation credit for this specific practice, ...",Does the innovation relate to Curriculum?,Does the innovation relate to Research?,Does the innovation relate to Campus Engagement?,Does the innovation relate to Public Engagement?,Does the innovation relate to Air & Climate?,Does the innovation relate to Buildings?,Does the innovation relate to Dining Services?,Does the innovation relate to Energy?,Does the innovation relate to Grounds?,Does the innovation relate to Purchasing?,Does the innovation relate to Transportation?,Does the innovation relate to Waste?,Does the innovation relate to Water?,"Does the innovation relate to Coordination, Planning & Governance?",Does the innovation relate to Diversity & Affordability?,"Does the innovation relate to Health, Wellbeing & Work?",Does the innovation relate to Investment?,Public Notes
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:52,Beth.Klein@cortland.edu,2.0,Pursuing,Solar Photovoltaic Development Project,"On May 9th, 2014, SUNY Cortland symbolically threw the switch on more than 3,600 solar panels, highlighting the College’s commitment to becoming one of the greenest campuses in the nation.

The $3 million solar project is the first of its kind in the 64-campus SUNY system and could serve as a blueprint for other public colleges in New York state. It will be used as a renewable energy laboratory for students and produce 1.5 million kilowatt hours of clean solar electricity — enough to power 130 homes.

“This will generate 6 percent of all our electricity in the future,” said SUNY Cortland President Erik J. Bitterbaum, who joined state Sen. James L. Seward and an aide to Assembly Member Barbara Lifton in pulling a ceremonial switch next to one of the sprawling panel arrays. “We are very excited about this.”

The panel project, built and owned by private renewable energy company SolarCity through a New York State grant, is just the most recent SUNY Cortland “first” in the area of energy and environmental sustainability. 

Bitterbaum was one of the original signatories of the American College and University President’s Climate Commitment and the College is the first, and only, SUNY institution welcomed into the federal Environmental Protection Agency’s Green Power Leadership Club. SUNY Cortland pioneered the creation of “Green Reps,” students hired to educate their peers about sustainability, and created a professional science master’s degree program in sustainable energy systems that is unique within SUNY.

Last year, the College became the first SUNY campus to fill all of its electrical needs with green energy, largely by committing to buy renewable energy credits. In March, SUNY Cortland’s newest residence hall became the first campus building in the SUNY system to achieve a platinum rating under the national Leadership in Energy and Environmental Design (LEED) certification system.

“I think the improvements and changes that are being made here on campus really do mirror the innovative thinking of those who are enrolled in classes here at SUNY Cortland,” said Seward, who recently attended the grand opening of the College’s state-of-the-art science building. “By becoming the very first SUNY campus to operate entirely on renewable electrical energy, it sets you apart as a trailblazing campus in all of the right ways.”

The College used an innovative approach toward building commercial-scale solar arrays on campus by taking advantage of a unique state initiative designed to increase the number of solar installations throughout New York. Last year, Gov. Andrew Cuomo named SUNY Cortland as one of 79 project sites for an award by NY-Sun, a solar energy program run by the New York State Energy and Research Development Authority.  

Through the program, SolarCity built three installations with a combined total of 3,604 photovoltaic panels on campus. The project spreads 2,244 panels across a grassy area near the old west campus entrance to SUNY Cortland off Route 281, and added 680 panels each to the roofs of the Park Center Alumni Arena and the new Student Life Center, currently under construction.

Under a 20-year power purchasing agreement with the College, SolarCity will continue to own and operate the panels and SUNY Cortland will buy the power they produce at a set rate that is likely to save about $200,000 over the life of the deal. Although the College had hoped to get to 10 percent solar power by 2050, the scale of the huge solar project has allowed the campus to pull about 6 percent of its electricity from the sun already.

“In light of the most recent report on climate change, the National Climate Assessment, that once again warns us of the dire effects of global warming and the fact that we have to act now and we have to act big, what is happening here at SUNY Cortland makes us all very, very proud of you,” said Linda Smith ’82, Lifton’s chief of staff and a SUNY Cortland graduate. “It’s just another example of SUNY Cortland uniquely training the next generation to go out into the world. It gives us hope that we can face the challenges of global warming.”

The College has already incorporated the new solar installations into the studies of its sustainable energy systems students, according to Brice Smith, chair of SUNY Cortland’s Physics Department.

“Residential-scale systems are important and they are going to continue to expand, but systems of this size have their own unique aspects,” Smith said. “To be able to have a living, working system like this on campus will be an enormous help to our students. It will let them learn and really go into the world with a level of experience that very few others will be able to match.”

The solar installations have not only caught the attention of students, alumni and community residents, but also impressed job candidates brought to campus to fill a new sustainable energy teaching position, Smith said.

“Every single one of our candidates who came and looked at our campus were just amazed at how much we have been able to do, how much we were already doing, and this system was a big part of that,” Smith said. “On campus now we have solar systems at both the residential-scale size on Dragon Hall and at the commercial scale here. We have solar thermal, we have geothermal; the entire campus now is one giant laboratory for renewable energy, and that’s a real remarkable change that has happened in a very short period of time thanks to some very important leadership on campus.”

One key leader behind the push toward sustainability was not able to attend the May 9 ceremony. William Shaut, the vice president of finance and management who presided over the decision to pursue the solar project, commit to 100 percent renewable electricity and SUNY Cortland’s other green initiatives, recently passed away after a long illness. Friday’s ceremony was dedicated to his memory.

“Those who knew Bill will attest to his commitment to sustainability and energy conservation,” said Nasrin Parvizi, associate vice president for facilities management. “He was a financial officer, so he liked energy savings. But that was not why he was such a great advocate: It was because he believed it was the right thing to do.”","Estimated annual energy savings (kWh) would be calculated based on the line loss efficiency of having the on-site electricity production.  The system operating on campus will have an approximate annual production is 1,284 MWh.  The local utility, National Grid, estimates a line loss power conversion factor of about 3.34.  This equals an approximate savings of 3,005 MWh of avoided losses due to off-site power generation.
This savings represents a huge boost to SUNY Cortland achieving a reduction in the Energy Use Intensity for the entire campus, part of Executive Order 88.  The system is a unique example of Public / Private Partnership to increase utility market transition for greater diversity and increased renewable energy produced within New York State.  ",**,http://stars.aashe.org/media/secure/315/6/582/3264/STARS%202015_03_10%20Solar%20PV%20Development%20Project.pdf,True,True,**,True,"Public / Private Partnership related to energy procurement, land use lease, and project financing",http://www2.cortland.edu/news/detail.dot?id=fac1ca4f-28ba-4d31-a875-d0bd98b91748,True,--,True,--,True,--,--,--,True,--,True,--,--,--,--,--,--,--,SUNY Cortland was awarded a BuildSmartNY award in 2014 for innovation of the Public / Private Partnership in on-site energy generation.  
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:09,dezarn@geneseo.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:12,mittenl@newpaltz.edu,2.0,Pursuing,Exemplary Performance: Inclusive Procurement,"In 2010, the New York State Department of Economic Development commissioned NERA Economic Consulting to conduct a state-wide disparity study of minority and women owned businesses in New York State.  The report, entitled the State of Minority-and Women-Owned Business Enterprise concluded ""that there is strong evidence of large, adverse, and frequently statistically significant disparities between minority and female participation in business enterprise activity in New York State’s relevant market area and the actual current availability of those businesses.  We further conclude that these disparities cannot be explained solely, or even mostly, by differences between M/WBE and non-M/WBE business populations in factors untainted by discrimination, and that these differences therefore give rise to a strong inference of the presence of discrimination."" See page 11 of the website below: http://www.esd.ny.gov/MWBE/Data/NERA_NYS_Disparity_Study_Final_NEW.pdf
This report created momentum for increasing M/WBE procurement across NYS public agencies, the SUNY System, and SUNY New Paltz.  The M/WBE procurement goals for SUNY New Paltz for the State Fiscal Year 2013-14 was 19% for commodities, 26% for construction consultants, 16% for construction, and 19% for services/consultants.  SUNY New Paltz achieved an overall M/WBE utilization rate of 35.59% during SFY 2013-14, greatly exceeding SUNY System goals and the STARS goal of 25% outlined in OP-15.

In the fall of 2014, SUNY New Paltz hired Elizabeth Pleva as Contracting Liasion / M/WBE Liaison to further facilitate the SUNY System and the college's M/WBE procurement goals.","During the State Fiscal Year 2013-14, SUNY New Paltz achieved a M/WBE utilization rate of 35.59%.  Out of a total of $6,558,618.56 in discretionary spending, SUNY New Paltz purchased $921,614.30 or 14.05% of goods and services from Minority Business Enterprises and $1,412.658.60 or 21.54% of goods and services from Women Business Enterprises.",**,http://stars.aashe.org/media/secure/776/6/582/3264/M-WBE%20Innovation%20Credit%20Letter.pdf,True,True,**,True,"Minority and Women Owned Business Enterprises, MBE, WBE, MWBE",--,True,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--,--
Sterling College,2016-01-28,2016-01-28 10:04:12,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,Bird-friendly sugarbush recognition,"The Virginia Russell Maple Sugarbush, abutting Sterling College’s campus and managed by its students and faculty, is home to over 200 maple taps and numerous species of birds. Both trees and birds will be able to coexist and thrive, thanks to the Bird-Friendly Maple Project, which just recognized the sugarbush as supporting both bird habitats and sugaring activity.

The Bird-Friendly Maple Project is a partnership among Audubon Vermont, the Vermont Department of Forests, Parks, and Recreation, and the Vermont Maple Sugar Maker’s Association. It seeks to promote bird conservation and maple syrup production.

More than 30 species of birds are known to use maple sugarbushes as nesting habitats, including the wood thrush, the scarlet tanager, and the black-throated blue warbler. Bird-friendly sugarbushes have features that allow birds to successfully raise the next generation, including a diversity of tree species, layers of vegetation, and a plan for invasive plant control.

Sterling College, in partnership with the Russell family, is one of only six maple producers recognized for managing its sugarbush in bird-friendly ways. It is the first college to be so recognized.

“At Sterling College, we are constantly assessing how we steward the land, as well as how the land fits into the broader landscape,” said Farley Brown, Faculty in Ecology. “That includes working with the Russell family to ensure the sugarbush is managed in a way that integrates both our syrup production and bird conservation. ”

She continued, “This is a great example of the connectivity between land management and an ecosystem management approach; a healthy sugarbush is also breeding habitat for Neotropical birds. The forests of Vermont are a globally important nesting habitat for many songbirds. As Vermont’s environmental stewardship college, we are so excited to demonstrate that syrup production and songbird habitats aren’t mutually exclusive.”

“At a time when the maple sugaring industry is rapidly expanding, Audubon Vermont is excited that Sterling College and the Russell family are participating in the Bird-Friendly Maple Project,” said SteveHagenbuch, conservation biologist with Audubon Vermont. “Not only is Sterling the first educational institution to get involved with the project, it is also critical to the long-term health and sustainability of the forest and all its wild inhabitants to think about managing the sugarbush as a natural ecosystem rather than a row crop.”

“By engaging Sterling students in this process, we are educating tomorrow’s maple producers about the importance of diverse structure and composition in the sugarbush,” he continued. “It’s a win-win-win solution for the students, the forest—including birds and other wildlife—and Vermont’s maple industry.”

For a full overview of the Bird-Friendly Maple Project, visit http://vt.audubon.org/bird-friendly-maple-project.",,**,http://stars.aashe.org/media/secure/761/6/582/3264/Sterling%20letter001.pdf,True,True,**,True,wildlife management,http://workinghandsworkingminds.sterlingcollege.edu/sterling-college-put-a-bird-on-it/,True,True,--,--,--,--,--,--,--,True,--,--,--,--,--,--,--,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:20:54,gotham360@stevens.edu,2.0,Pursuing,Low-Flow Liquid Desiccant Air-Conditioning at Stevens Institute of Technology,"Description
Low-flow liquid desiccant air-conditioning (LDAC) avoid problems such as reducing sensible cooling loads, unwanted solar gains and internal heat gains by providing dehumidification. LDAC is a new technology with the innovation design of deeply drying the air before it enters the main cooling system without the need for overcooling and reheating. Some of the main additional benefits it has are: (a) avoids the increased fan energy associated with solid desiccant systems, (b) allows more efficient ways to remove heat of sorption than is possible in solid desiccant systems, (c) eliminates the desiccant carryover problem, thereby reducing maintenance requirements compared to high-flow LDAC systems, etc. Finally LCAC systems offer improved product shelf life from improved humidity control and it has the ability to optimize temperature and humidity to increase worker comfort and productivity.

Building Description
Therefore, an LCAC systems was used in the Schaefer Athletic and Recreation Center at Stevens, which houses a 45 ft x 75 ft swimming pool. The major problem in pools is the maintenance of dry indoor air conditions for comfort, and the elimination of mold and mildew problems from condensation. Then, drier air increases the pool water evaporation rate, which increases the need for pool water heating. The space is conditioned and dehumidified by an air handling unit (AHU) that processes return air and OA and includes chilled water coil supplied by a central plant chiller, and preheat and reheat hot water coil supplied by a central boiler.

Implementation
The LDAC system was installed in Schaefer Center in August 2012. It was designed to condition 100% recirculation air, which was supplied to the air jets along the perimeter windows and it runs continuously because the continuous evaporation of pool water kept the dehumidification loads relatively constant. The LDAC is able to remove latent loads from the air and generate sensible energy that can be directed back to the pool water. This design uses the pool water to remove the heat of absorption in the LDAC conditioner, which reduces the energy to heat the pool and the energy to cool the supply air from the LDAC. Finally, the system can use waste heat or heat generated as part of a combined heat and power gas (CHP) cogeneration system to regenerate the desiccant.","Outcome
The LDAC performed very well at the Schaeffer Center pool. The pool condition and water temperatures were maintained at desirable levels, and more benefits were gained from the relationship between the pool operation and LDAC operation. The system provided all the pool heating (with no auxiliary heating required), space condition were as desired,and the vapor compression AHU was doing minimal dehumidification. while the outdoor conditions were hot and humid. Finally, in August 2012 the facility manager reported the LDAC system was performing better than expected and reports from pool occupants were outstanding.",**,http://stars.aashe.org/media/secure/808/6/582/3264/Innovation%201_1.pdf,True,True,**,True,--,http://www.nrel.gov/docs/fy14osti/60695.pdf,True,--,--,--,--,True,True,--,True,--,--,--,--,True,--,--,True,--,--
Syracuse University,2016-03-25,2016-03-25 15:32:46,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:07,kathleen.grady@temple.edu,2.0,Pursuing,Bird Strike Mitigation Research,"Temple has been conducting research on bird collisions with campus building windows. Philadelphia is situated along the Atlantic Flyway migration route and bird collisions into windows are a major problem. Birds do not perceive glass as a solid object. They see a reflection of their habitat or nothing at all causing the bird to collide with the window and either die from impact or become injured. 

Temple has initiated the following strategies that have fostered research and collaboration among many departments on campus:

Collision Survey: In addition to Temple’s counting efforts, Audubon Pennsylvania and the Philadelphia Zoo organized a survey of bird collisions in the spring of 2009 on Temple’s Main Campus. The buildings that had the most number of collisions on Main Campus are those that use highly reflective glass, buildings with vegetation situated close to windows or buildings with transparent or reflective glass walkways.

Hawk Models:  In the spring of 2010, eight 2-dimensional, life-sized models of bird eating hawks were created from photos and mounted on four collision prone buildings at Temple to see if bird collision rates were reduced in areas where the models were erected. This method of preventing bird collisions had never been tried before anywhere else in the world. This mitigation method was not effective at reducing bird strikes.

Window Film:  Research has shown that birds will avoid flying through spaces that are 2” high or less and 4” wide or less (2x4 rule). Window patterns that follow the 2x4 rule can be an effective means of mitigating bird collisions.

Window film has been tested in a variety of locations on Main Campus though student projects and research, including:

Tyler Graphic Design students designed patterns for window film in a juried competition. The winning design was installed on the Tuttleman-Paley connector walkway windows in partnership with SurfaceCare. The film has been an effective mitigation strategy.

Research project in Beury Hall, first floor west entrance and glass corridor where translucent squares and designs were installed on windows. Click to read more. 
Window Netting:  Window netting has been an effective and low-cost method of mitigating bird deaths and injuries by allowing birds to bounce off a taut net and not strike the window. A 2012 student research project aimed to test the effectiveness of window netting installed on buildings. The netting has been an effective mitigation strategy. 

Fritted Glass:  The installation of high density fritted glass has shown to be an effective method of mitigating bird strikes. Fritted glass has been installed on portions of Morgan Hall which opened in August 2013. Monitoring began in 2014 and has proven to be an effective mitigation strategy.  ","Ongoing monitoring has shown that netting, window film and fritted glass are effective bird-window collision mitigation strategies with a reduction of bird deaths found where strategies have been implemented.",**,http://stars.aashe.org/media/secure/711/6/582/3264/TempleCoolSchoolLetter.pdf,True,True,**,True,Interdisciplinary,http://sustainability.temple.edu/birds,True,True,True,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:47,kwellman@tamu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas Tech University,2016-03-25,2016-03-25 15:46:38,carey.hewett@ttu.edu,2.0,Pursuing,Red Raider Shred,Provide a shredding service to campus departments and organizations.,"Reduced shredding cost on campus by 72% from FY14 to FY15 while still gaining more customers than had used a service previously. Recycled more than 110 tons of paper in our first year, earning over $10,000 to be placed in a scholarship pool for Texas Tech University students. Red Raider Shred was the first and only (in FY15) higher education institute to be a member of the National Association of Information Destruction (NAID).",**,http://stars.aashe.org/media/secure/431/6/582/3264/Letter%20of%20Affirmation%20-%20Red%20Raider%20Shred.docx,True,True,**,True,--,--,True,--,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:46,dial.15@osu.edu,2.0,Pursuing,Student Veteran Mental Health Outreach,"Returning to college or beginning college for the first time after Armed Services deployment can be a stressful and highly frustrating experience for some Veterans. Veterans coming out of extended periods of exposure to severe emotional or mental trauma and highly stressful working and living conditions may find the transition to college life and academic demands a difficult personal challenge.

Ohio State's Mental Health Outreach Program to Student Veteran's offers the support and services that will ease the transition of returning Veterans to college life at Ohio State, and, when necessary, to provide referrals to other Ohio State and community resources. We are committed to helping Veterans identify, prioritize, and implement strategies to address their specific concerns and challenges. The Program partners with the Ohio State Counseling and Consultation Service and the US Department of Veterans Affairs to provide services that fit the unique needs of the individual student veteran.

In addition to assisting students with mental health concerns, the university through the Office of Military & Veterans Services provides educational and academic resources, military and veteran orientations, focused academic counseling, tailored support services and the education of faculty and staff on military student issues. The office ensures Ohio State provides the increasing population of military and veteran students with help accessing their educational benefits and the resources they need for academic success and a rich student experience.

This year, more than 2,400 military and veteran students, and their immediate family members attend The Ohio State University. The increase follows a national trend started by the Post-9/11 GI Bill. The office of Military & Veterans Services ensures we provide our increasing population of military and veteran students with help accessing their educational benefits and the University resources they need for academic success.
",,**,http://stars.aashe.org/media/secure/630/6/582/3264/2015%20AASHE%20STARS%20Letter.pdf,True,True,**,True,--,--,True,--,--,--,True,--,--,--,--,--,--,--,--,--,--,True,True,--,--
Tufts University,2016-02-25,2016-02-25 15:40:21,tina.woolston@tufts.edu,2.0,Pursuing,Tufts University School of Dental Medicine: Diversity Engagement Survey,"Tufts University School of Dental Medicine (TUSDM) has administered its first institutional climate assessment that focuses exclusively on diversity and inclusion. The purpose of the TUSDM DES was to determine the following: 1) degree of engagement by all faculty, students, and staff at TUSDM 2) inclusive characteristics of TUSDM and 3) degree to which diverse groups experience inclusion at TUSDM. The DES is a validated survey instrument that has been used by academic medical centers across the nation. TUSDM is the first dental school to administer the survey.",The results of this survey have resulted in the following: 1) formation of a formalized diversity and inclusion subcommittee at TUSDM 2) evaluation of current inclusion programming and 3) development of TUSDM's first Diversity and Inclusion Strategic Plan. ,**,http://stars.aashe.org/media/secure/127/6/582/3264/IN-1%20Credit%20Letter.pdf,True,True,**,True,--,http://diversityengagementsurvey.info/,True,True,--,True,True,--,--,--,--,--,--,--,--,--,--,True,True,--,--
Tulane University,2016-02-04,2016-02-04 11:03:50,ldavey@tulane.edu,2.0,Pursuing,Tulane University Grand Challenge: Water Innovations ,"Tulane University has sponsored a $1 million prize to be awarded to the team or individual that creates a significant and workable solution to hypoxia, which causes ""dead zones"" in the Gulf of Mexico and other fragile coastal and inland lake ecosystems throughout the world. As of 2014, the University finalized the competition details and began inviting entrepreneurs, researchers and inventors worldwide to participate in the prize competition. This competition is based on the assertion that a market based solution which rewards innovation and risk taking has the potential to create a sustainable and significant new technology for addressing hypoxia.

Hypoxia occurs when excess nutrients flow from rivers to near-shore areas, depleting the oxygen required to support life. This can result in severe impairment of near-shore fisheries, consequently destabilizing the businesses, families and communities sustained by those fisheries. Further, nutrient enrichment can jeopardize the future of estuaries and coastal wetlands that depend on freshwater and sediment delivery for stability and persistence. In short, clean water is critical to the ecological, cultural and economic well-being of Louisiana, the nation and the world.   

Addressing hypoxia is a grand challenge because solutions must meet a suite of simultaneous and sometimes conflicting needs – from protecting water resources and near-shore ecosystems to ensuring the capacity and vitality of agricultural productivity.",,**,http://stars.aashe.org/media/secure/437/6/582/3264/Water_Prize_060515.pdf,True,True,**,True,--,http://tulane.edu/tulaneprize/waterprize/index.cfm,True,--,True,--,True,--,--,--,--,--,--,--,--,True,True,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:23:57,JdeHart@unity.edu,2.0,Pursuing,Chief Sustainability Officer,"To accelerate institutionalization of sustainability decisions into the business process of the organization, the role of Sustainability Director was enhanced and elevated to Chief Sustainability Officer (CSO). The CSO is the first among equals on a team of 8 other chief officers of the college, all of whom report equally to the President of the college. This Leadership in Abundance framework creates the conditions necessary for breaking down silos that often impede truly collaborative leadership. ",The CSO is authorized to lead all decisions that affect institutional sustainability. This has led to incorporation of the sustainability principles into a decision making process that affects all departments. ,**,http://stars.aashe.org/media/secure/98/6/582/3264/CSOsigneddehart.pdf,True,True,**,True,--,http://president.unity.edu/leadership-team/,True,--,--,--,--,--,--,--,--,--,--,--,--,--,True,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:06,mmallia@albany.edu,2.0,Pursuing,"SEED, Small Enterprise Economic Development","The Small Enterprise Economic Development (SEED) is a loan program for entrepreneurs and small business owners that bases the lending decision on the character of the applicant and feasibility of the business model. Maximum Loan is $35,000. The program was implemented in August of 2013 and developed  to address the following needs in the community: 
•Entrepreneurship opportunities for individuals who have indicated an interest 
 in starting a business but lack the credit, capital and/or collateral for traditional 
 funding or for expanding a business where financing is difficult to obtain. 
•Provide economic growth and community revitalization by extending loan funds 
 to projects typically not fundable within current lending formulas. 
•Offer a model program that will evaluate the character of the borrower as well as 
 the Business Model and project feasibility in determining fundability of the business 
 that can be duplicated statewide. 
The Small Enterprise Economic Development program is a collaborative effort between: 
the UAlbany School of Business, School of Social Welfare, Small Business Development Center, and the State Employees Federal Credit Union (SEFCU)
The partnership was developed to provide entrepreneurs that do not meet traditional lending criteria of cash, collateral and credit score with an alternative means to funding the start-up or expansion of their business. It creates a micro-enterprise loan fund that makes lending decision based on the character of the applicant, quality and feasibility of the business model and financial projections. 

","Over $1 million in loans were made in the first two years of the program
Over 40 loans have been made and only 2 defaults have occurred
News and testimonials for the program can be found at:
http://www.albany.edu/seed/seed-news.php
http://www.albany.edu/seed/testimonials.php",**,http://stars.aashe.org/media/secure/362/6/582/3264/SEED%20letter.pdf,True,True,**,True,Social Entrepreneurship,http://www.albany.edu/seed/,True,--,--,--,True,--,--,--,--,--,--,--,--,--,--,--,--,True,--
University at Buffalo,2016-01-19,2016-01-19 10:15:41,jlk47@buffalo.edu,2.0,Pursuing,Solar Strand Mobile Application,In April of 2015 the University at Buffalo unveiled a new mobile application that guides visitors through the campus one of a kind PV Array/Public Park known as the Solar Strand.  For more information on the app see the rollout story: http://www.buffalo.edu/ubreporter/featured-stories.host.html/content/shared/university/news/ub-reporter-articles/stories/2015/04/solar_strand_app.detail.html ,"The app guides visitors to different stations, each with distinct videos, graphics and information on the Solar Strand's design, real-time power production, local wildlife and more.  The app also has a series of metrics that measure users, engagement time and other factors.",**,http://stars.aashe.org/media/secure/409/6/582/3264/Attest%20Letter%20for%20Strand%20App.pdf,True,True,**,True,Education K-12,http://www.buffalo.edu/sustainability/solar-strand.html,True,--,--,True,True,True,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Arizona,2016-03-25,2016-03-25 15:30:52,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Latest update: March 2016
University of British Columbia,2016-02-22,2016-02-22 18:18:28,charlene.ponto@ubc.ca,2.0,Pursuing,UBC 20-YEAR SUSTAINABILITY STRATEGY,"In fall 2014, UBC finalized a 20-year Sustainability Strategy for UBC’s Vancouver campus. The UBC Sustainability Initiative (USI) Steering Committee, an internal governance body that provides strategic guidance and oversight to the Initiative, approved the Strategy on September 8, 2014. Following approval of the USI Steering Committee, the Strategy was presented to the UBC Board of Governors on 2 December, 2014. 

Building on 20 years of sustainability achievements at UBC, the Strategy is a response to a significant academic and operational opportunity to continue being at the forefront of the sustainability transition. The Strategy articulates a bold long-term vision and strategic goals that will catalyze next generation sustainability at UBC’s Vancouver campus, and embed it across teaching, learning and research, operations and infrastructure and the community.

The Strategy will guide institutional innovation and transformation, enabling the University to continue being a global leader that inspires not only a more sustainable campus community, but a more sustainable world. As an overall framework, it will enable UBC to further integrate dispersed sustainability efforts through the lens of regenerative sustainability, leverage the campus as a societal test-bed and create academic, operational and community collaborations and connections. 
The Strategy development process began in September 2013 with the formation of a Steering Committee, tasked with drafting the Strategy and guiding the engagement process. A comprehensive, eight-month campus-wide engagement process involved over 2,000 individuals including the Musqueam First Nations, community partners, students, faculty, and staff.

The Strategy provides an overall strategic direction for sustainability at UBC and a framework through which we operate and evaluate our activities. The 20-year Sustainability Strategy implementation will be ongoing. The Strategy provides long-term direction for sustainability and should be considered a living document to be updated in response to emerging circumstances and in consultation with appropriate stakeholders. Very few universities have such a long-term visionary document.
","The UBC 20-Year Sustainability Strategy represents a significant achievement of working with the UBC community. The development of the Strategy was directed by the 20-year Sustainability Strategy Steering Committee, chaired by the Associate Provost, Sustainability, and composed of 21 community members, including 5 faculty, 4 students and 4 staff, 4 external partners, and the University Neighbourhoods Association and the Musqueam First Nation. Feedback was sought widely from campus constituents, through an online survey and in-person workshop sessions.   

The engagement process was staged in two phases:
Phase 1 engaged the community in the development of a vision for sustainability through online and in-person opportunities for feedback that were communicated widely, including via a broadcast email. A campus wide survey indicated general support for the direction of the vision.

Phase 2 engaged the community in the development of strategic goals across the three pillars of teaching, learning and research, operations and infrastructure and community. Online and in-person opportunities to provide feedback were widely communicated.
Overall, 2,000 people were engaged, including 1,400 via an online survey and 800 through in-person opportunities. Approximately 5,000 people visited the project website. 

ENGAGEMENT ACHIEVEMENTS
- Over 2,000 people directly engaged
- 800 in-person engagement touch-points
- 1368 online survey responses (64% students, 26% staff, 8% faculty, 2% others) indicating overall support for the Strategy
- 3 integrated faculty and staff workshops with total of 100 participants
- Sustainability Coordinators (staff) and Sustainability
- Ambassadors (students) workshops
- 2 open houses for on-campus and neighbourhood communities
- 3 community booths at major campus events
- 10+ presentations to undergraduate and graduate students councils and groups, the UBC staff association, the neighbourhood association, and at several community events, including the UBC Farm Symposium and the Student Leadership Conference	 
- 5,200 website visits",**,http://stars.aashe.org/media/secure/29/6/582/3264/Innovation%20Letter_20YearStrategy.pdf,True,True,**,True,--,http://sustain.ubc.ca/20-year-sustainability-strategy-STARS,True,--,True,True,True,--,--,--,--,--,--,--,--,--,True,True,--,--,--
