Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Level of water risk for the institution’s main campus,Total water use (potable and non-potable combined):,"Total water use, performance year","Total water use, baseline year",Potable water use:,"Potable water use, performance year","Potable water use, baseline year","Figures needed to determine ""Weighted Campus Users"":","Number of residential students, performance year","Number of residential employees, performance year","Number of in-patient hospital beds, performance year","Full-time equivalent enrollment, performance year","Full-time equivalent of employees, performance year","Full-time equivalent of distance education students, performance year","Number of residential students, baseline year","Number of residential employees, baseline year","Number of in-patient hospital beds, baseline year","Full-time equivalent enrollment, baseline year","Full-time equivalent of employees, baseline year","Full-time equivalent of distance education students, baseline year",Gross floor area of building space:,"Gross floor area of building space, performance year","Gross floor area of building space, baseline year",Area of vegetated grounds:,"Area of vegetated grounds, performance year","Area of vegetated grounds, baseline year",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the water use baseline was adopted,"Water recycled/reused on campus, performance year","Recycled/reused water withdrawn from off-campus sources, performance year",A brief description of any water recovery and reuse systems employed by the institution,A brief description of any water metering and management systems employed by the institution,"A brief description of any building retrofit practices employed by the institution, e.g. to install ...","A brief description of any policies or programs employed by the institution to replace appliances, ...",A brief description of any water-efficient landscape design practices employed by the institution ...,A brief description of any weather-informed irrigation technologies employed by the institution,A brief description of other water conservation and efficiency strategies employed by the ...,The website URL where information about the institution’s water conservation and efficiency ...,Public Notes
University of Michigan,2016-01-11,2016-01-11 15:37:28,ahorning@umich.edu,2.0,Pursuing,Low to Medium,**,1218723316.0,1348911444.0,**,1184843968.0,1315767904.0,**,10585.0,--,990.0,43710.0,42277.0,753.0,11256.0,--,990.0,39993.0,35137.0,500.0,**,35472141.0,28619505.0,**,2607.0,2644.0,**,2013-07-01,2014-06-30,2005-07-01,2006-06-30,FY2006 is used by the university to correlate with sustainability goals. ,--,--,,,,,,"Grounds Services is improving the irrigation systems in general fund areas of campus by installing an irrigation management system called Maxicom. Through better management Grounds Services anticipates an annual water savings of 38%. In addition to savings, proper water management also leads to better plant and turf health which can reduce chemical usage for disease control.

Irrigation systems are typically controlled by individual timers that require a trip to the site to adjust. Maxicom utilizes a central computer located in the Grounds Services building on North Campus. This computer communicates with the on site controllers through telephone and radio signals. Adjustments can be made to any system on campus from this computer. The system can detect problems such as breaks or leaks and issue reports on needed maintenance.

A weather station and remote rain gauges will also adjust the system to account for wind, rain, and evapotranspiration rates","The Architecture, Engineering, and Construction Design Guidelines consider energy and water conservation in all aspects of project design.  More information:
http://www.umaec.umich.edu/desguide/3.0-Sustainability/DG3.2.pdf",--,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:03,mgranley@d.umn.edu,2.0,Pursuing,Low to Medium,**,81010.0,99654.0,**,81010.0,99654.0,**,2671.0,--,--,11093.0,1639.0,--,2671.0,--,--,11184.0,1506.0,--,**,3516202.0,3189101.0,**,289.5,291.0,**,2014-01-01,2014-12-31,2007-01-01,2007-12-31,We aligned water baseline with our first greenhouse gas inventory baseline.,--,--,,"Water metering for our newer buildings and our chilled water plants (for air conditioning) have been made a priority in the past.  However, many older buildings do not have separate water meters.  

A priority water meter placement has been identified by students working on a water conservation project:  in the gym/locker rooms of Rec Sports.  This area of multiple showers is not metered separately, but could be used in the future to encourage water conservation by showing water use results to the users of the facility.","UMD utilizes State of Minnesota B3 Guidelines for new construction and remodeling projects, which has provides guidelines on water-conserving fixtures and equipment.",,"Native and adopted species are used in landscapes around the UMD campus, dependent on sites, to reduce the need for irrigation. Certain plant species are chosen for high intensity sunlight areas for their ability to withstand the heat and little water. A large portion of the landscaping around the Swenson Civil Engineering building utilizes many native prairie plants, which are naturally adapted to survive drought conditions. (No irrigation was installed around the Civil Engineering building.)",,,https://umdsustain.wp.d.umn.edu/campus-initiatives/land-and-water/,"Water usage taken from UMD Utility Database.
Baseline year: 1/1/2007 - 12/31/07 
Performance year: 1/1/14 - 12/31/14"
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:45,good0044@morris.umn.edu,2.0,Pursuing,Medium to High,**,26627169.0,40409054.0,**,2014.0,2007.0,**,934.0,7.0,--,1859.0,383.0,--,741.0,--,--,1681.0,366.0,--,**,993166.0,964.452,**,142.0,142.0,**,2013-07-01,2014-06-30,2006-07-01,2007-06-30,,--,--,We made improvements to our heating plant boiler system to use reuse water that was being previously sewered.,A majority all of the buildings on campus have individual water consumption meters. ,Dual-flush toilets.,,"Our grounds crew always prioritizes the use of drought tolerant plants.  Some examples include, a large area of native grasses near our Science building, plantings of black-eyed susan, Russian sage, and trees that are suited to this area.  Whenever designing a new landscape area, our grounds crew carefully considers the precipitation we receive annually, the soil type, amount of sunlight, and how much traffic the area will receive.  This information always guides the plants they choose.","Although there are plans in place to implement a computer-run system, it has not been created yet.  Currently, our grounds crew monitors the weather and makes adjustments accordingly.  ",,--,"Problems with 2005 water data, missing information. Using 2006-2007 data and 2013-2014 data."
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:26,stennes@umn.edu,2.0,Pursuing,Low,**,640160172.0,496309968.0,**,639213872.0,496309968.0,**,6975.0,18.0,1932.0,45291.7,18425.0,596.0,6577.0,18.0,1932.0,44394.2,17053.0,88.0,**,23384200.0,22717135.0,**,749.1,749.1,**,2014-07-01,2015-06-30,2007-07-01,2008-06-30,,946300.0,--,We have a storm water catch system on top of 17th ave res hall and on the land care building.  ,We actively meter potable water consumption.  We bill individual Colleges and departments for their water use.,State of Minnesota Sustainable Building Guidelines (http://www.b3mn.org/guidelines/index.html) specify low flow fixtures.,"PURPOSE AND SCOPE:
The goal is to encourage and increase purchasing that reflects the University's commitment to sustainability. This will further our efforts to promote environmental factors such as:
Conserving natural resources,
Minimizing environmental impacts such as pollution and use of water and energy,
Eliminating or reducing toxics that create hazards to workers and our community,
Supporting strong recycling markets,
Reducing materials that are land-filled,
Increasing the use and availability of environmentally preferable products that protect the environment,
Identifying environmentally preferable products and distribution systems,
Rewarding manufacturers and vendors that offer environmentally preferable products.","The university uses native plantings wherever possible, and irrigation grading and plant material selections are taken into considerations.
","The University has two weather stations that feed data to the computerized central controller. The controller runs all of the irrigation systems. The data is used to calculate evapotranspiration (ET) rates, then the controller sets run times based on the previous day's weather conditions. (This is done on 98% of our systems, our goal is 100%).
The stations also have rain sensors that are set to shut down systems (rain delay) after we receive .25"" of rain (this happens on 100% of our systems).
",N/A,http://italladdsup.umn.edu/water/index.php,--
University of Missouri,2015-05-01,2015-05-01 15:33:28,raghavans@missouri.edu,2.0,Pursuing,Medium to High,**,308520500.0,349950000.0,**,308520500.0,349950000.0,**,6893.0,18.0,5.0,30865.0,9071.9,1786.0,6279.0,18.0,--,25089.0,8665.1,1259.1,**,14178920.0,13146549.0,**,978.0,978.0,**,2012-07-01,2013-06-30,2007-07-01,2008-06-30,,--,--,"The MU Power Plant began using recycled waste water from the plant's water treatment system to supplement the plant's cooling water system.
Also H. Palmer Professor and former chair of the Department of Civil and Environmental Engineering, and Senior Fellow at the Woods Institute for the Environment at Stanford University is teaching and doing research in environmental engineering and water quality with application to water reuse and management of contaminated sediments.",The University of Missouri has a system in place which meters water usage of every building on campus.,,,n/a,n/a,,http://masterplan.missouri.edu/master_plan.html,"2005 Water Consumption obtained from data used on the University of Missouri-Columbia Sustainability Green Report Card:
http://www.greenreportcard.org/report-card-2011/schools/university-of-missouri-columbia/surveys
/campus-survey
**refer to the ""Water Management"" heading located under the ""GREEN BUILDING"" section.**

Performance Year Water Consumption obtained from the Climate Action Plan Update 2013:
http://masterplan.missouri.edu/
Future plan see 06 in : http://masterplan.missouri.edu/master_plan.html
http://masterplan.missouri.edu/archives/Publications/MP/2010s/MP2013_Map_web.pdf

Student Body and Employee information was derived from the Department of Institutional Research: http://ir.missouri.edu/data-set/

The 2005 student figures can be found at: http://ir.missouri.edu/data-set/CDS_0506.pdf
*see pages 2 and 15*

See page 32 of the Climate Action Plan for a description of water reduction. http://www.cf.missouri.edu/masterplan/images/cap/cap_web.pdf"
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:11,johnstonrk@umkc.edu,2.0,Pursuing,Low,**,68334288.0,63250880.0,**,68334288.0,63250880.0,**,1300.0,24.0,--,9744.0,4018.0,1500.0,1200.0,20.0,--,9731.0,3200.0,--,**,2908699.0,2768694.0,**,64.0,75.0,**,2012-07-01,2013-07-01,2008-06-30,2009-06-30,December 2009 as part of the sustainability efforts. ,--,--,,Many buildings on campus have single meters for those buildings and are tracked by our energy and water management staff.  ,,,Best plant species for drought and for the situation,Due to the high costs of irrigation there is very little irrigation on campus except in times of drought or when new trees and plants are initially planted.   ,,http://info.umkc.edu/sustainability/green-campus/energy/,--
University of Mount Union,2016-01-13,2016-01-13 13:05:21,mcclauca@mountunion.edu,2.0,Pursuing,Low,**,34218750.0,25227000.0,**,34218750.0,25227000.0,**,1558.0,8.0,--,2170.0,435.0,--,1337.0,6.0,--,2082.0,406.0,--,**,1167855.0,999990.0,**,123.0,112.0,**,2013-01-01,2013-12-31,2005-01-01,2005-12-31,Started to use STARS 2005,--,--,n/a,n/a,"Yes, we use hig efficiency plumbing fixtures and fittings.  We retrofit when we do a renovation projects or when parts need to be replaced.",During renovation projects or as appliances and equipment need to be replaced.,n/a,n/a,n/a,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:52,pshrestha3@unl.edu,2.0,Pursuing,Low to Medium,**,333699265.0,337716304.0,**,333699265.0,337716304.0,**,8347.0,--,--,22393.0,3803.0,--,8034.0,--,--,25006.0,3372.0,--,**,8474151.67,8073056.65,**,622.374,622.169,**,2015-01-01,2015-12-31,2014-01-01,2014-12-31,,--,--,"19th and Vine Parking Garage is testing a new porous concrete on the parking lot. Its a product that enables water to percolate through the concrete and into the soil.  Water that runs off the top deck of the parking structure drains directly into a landscaping area on the east side of the garage. And, drains from the other three decks funnel water into a specialized device that separates debris from the water.
There are 2 hydrodynamic separator on city campus in the 19th & Vine parking garage and 14th and Avery. 
Morrison Center has a bioswale that recovers water from the parking lot and filters it.
Keim Hall employs 2 bioswale methods to recover and treat stormwater from their roof and Center St.
  
East Memorial Mall and Love Library North both use Silva Cells and permeable pavers to capture runoff.

",Buildings at the University are metered by Lincoln Water System. UNL installed additional meters at seven different campus buildings enabling the Energy and Automation team to review water usage on an hourly basis at those locations. ,,,UNL uses a variety of native and drought-tolerant plants as a practice for reducing water consumption. ,"Landscape Management irrigation team designs, installs, and maintains irrigation system campus wide. Numerous rain data collectors have been installed throughout campus. These collectors are connected to the system’s computers and control the amount of water irrigated based on rain levels.  ",,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:28,slburke@unomaha.edu,2.0,Pursuing,Low to Medium,**,58740626.0,54254196.0,**,58740626.0,54254196.0,**,1319.0,63.0,--,12248.0,1521.0,2928.0,1359.0,63.0,--,11826.0,1460.0,3159.0,**,2899292.0,2685736.0,**,311.29,311.29,**,2012-07-01,2013-06-30,2008-07-01,2011-06-30,Baseline was adopted to be representative of three recent years.,--,--,"a bioretention garden was constructed to capture the first inch of rain from the Welcome Center in rain events and drain completely within 24-48 hours.  This does not result in water being ""extracted,"" but sequestered on site.  It is, therefore, not metered.",,Building renovations and retrofits utilize current code prescribed water saving fixtures at all locations.,,Wide use of native tallgrass plantings have recently been added in place of traditional turf grass installations at most buildings and redeveloped areas.,Rainfall sensitive irrigation controllers are being retrofitted to irrigation systems across campus as funds allow.,,http://www.unomaha.edu/green/landscaping.php,"Acres of vegetated grounds was estimated based on one half of the Dodge and Pacific Campuses (88.79 + 73.79=162.58/2=81.29 + 230 acres of the Glacier Creek Preserve (allowing 3.1 acres for buildings and road: 243.1-3.1=240) for a total of 311.29 vegetated acres.
"
University of New Hampshire,2016-03-25,2016-03-25 21:53:39,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Baseline year is 2005. 

FTE enrollment numbers include credit and non-credit/continuing education students and are accurate as of Fall 2006. 

Employee FTE data for baseline year as of 1/31/2005. HR data for 2005 have some inconsistencies: UNH HR was just beginning to transact HR activity in a new Banner system and there was little consistency in how FTE values were recorded. Headcounts were more accurate than rather than FTE, but this credit calls for FTE. The FTE employee 2005 number listed does not include adjunct staff as those data are suspect.

Water data are for FY2005 (through June 30, 2005) and FY13 (through June 30, 2013).

Potable water use excludes irrigation meters at the UNH Field House, agriculture and recreation fields, and outdoor pool and plant makeup.

UNH's co-generation heat and power plant uses cooling towers that use water as part of the process for generating heat and electricity. Therefore, not all of this water consumption is used by faculty, staff and students on campus directly.

Landscaping/irrigation contacts: Robert Bennett (UNH Facilities, (603) 862-9202, r.bennett@unh.edu) and Ronald Lavoie (UNH Facilities, (603) 608-9207, Ronald.Lavoie@unh.edu)"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:52,cpshea@fac.unc.edu,2.0,Pursuing,Low to Medium,**,673257000.0,760911000.0,**,492726000.0,760911000.0,**,8841.0,18.0,--,26972.0,11768.0,1230.0,6754.0,--,--,21921.67,9591.0,271.5,**,18950654.0,11685234.0,**,565.0,559.5,**,2014-07-01,2015-06-30,1999-07-01,2000-06-30,The campus suffered a severe drought in 2001/2002 and instituted aggressive and ongoing water conservation measures as a result.,--,180531000.0,"UNC uses non-potable water from multiple sources including: reclaimed water from the local water and sewer authority, harvested rainwater stored in cisterns, and collected condensate. 

The Energy Services Chilled Water utility is the largest user of non-potable water at UNC. Non-potable water (primarily reclaimed water) is used for cooling tower make-up water at the five, central chilled water plants on campus.

The FedEx Global Education Center, NC Botanical Garden Visitor Center, Kenan Football Stadium, and Genome Sciences Building have non-potable water toilet and urinal flushing systems.

Both above and below ground cisterns store clean rainwater that is harvested to flush toilets and irrigate landscapes. These include the football practice fields, Fetzer Field, and Boshamer Stadium (baseball). When rainwater is insufficient, reclaimed wastewater from OWASA provides a non-potable backup. 
",Water use is metered in virtually every building on campus. ,"Water saving toilets, sinks, showers, and urinals are specified in new building projects and renovations. During the 2001/2002 and 2007/2008 droughts significant investments were made in a variety of water consuming technologies.

","Closed loop water-based cooling systems transfer waste heat from research and diagnostic equipment to building chilled water systems. Closed loop water distillation systems retrofitted into 7 of the highest water-consuming laboratory facilities on campus save an estimated 47 million gallons of water per year. 

At the Facilities' Service Station, the wash bay recirculates 70% of the wash water and filters out contaminants. 

The new food pulper in Lenoir Dining Hall extracts and reuses 95% of the water removed from  food waste. Also, extraction reduces the weight and cost of shipping the food waste for composting. 

Energy Star washing machines have been installed in residence halls. ","UNC selects drought-tolerant plants whenever possible. 

Several extensive green roofs are planted with drought-tolerant sedum and other groundcover. Water stored under the intensive green roof at Rams Head is used to irrigate this important campus connector.  

Rainwater from the roof of the Genome Sciences Building (GSB) drains into a 350,000 gallon, stone-filled cistern beneath the Bell Tower Amphitheater. Following UV treatment and chlorination, the rainwater is used to flush 1,000 toilets in the GSB and Kenan Stadium and to irrigate Kenan field. ","A centralized weather station electronically monitors 12 variables, including relative humidity and rainfall, and communicates this data via radio to 21 irrigation controllers.  ","Over 200 stormwater control measures capture, slow, and/or filter campus runoff. Traditional measures include ponds, wetlands, underground storage, bioretention, and sand filters. More innovative control measures include green roofs, cisterns, and permeable pavement. ",http://sustainability.unc.edu/initiatives/water-management/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:14,cgcarwei@uncg.edu,2.0,Pursuing,Medium to High,**,123906620.0,175592520.0,**,123906620.0,175592520.0,**,4616.0,14.0,--,16351.7,2557.1,1401.0,3923.0,12.0,--,13798.0,2229.3,754.0,**,6053737.0,4670562.0,**,170.6,162.6,**,2013-07-01,2014-06-30,2005-07-01,2006-06-30,,--,--,Non-potable water wells are used for irrigating campus athletic fields (baseball and soccer)as well as the golf course. Facilities also operates a non-potable water well for washing university vehicles.  Consumption figures from these wells are not available.,"Most buildings have been equipped with water-consumption sub-meters that are manually read and entered into an electronic database. As budget allows, these meters are being converted to be read via the university's building automation system.","Low flow showerheads and toilets have been installed across the campus. Pilot projects for waterless and pint-flush urinals have been conducted, with considerable promise for expanding the pint-flush options.","Energy Star / high efficiency washers have been installed in the residence halls. Plumbing upgrades and water efficient appliances have been included throughout Dining Hall renovation.The UNCG Facilities Operations Dept. maintains a robust leak detection and repair program, and has installed water and energy efficient equipment for the steam system that feeds most of the campus.","Over the past several years the UNCG Grounds Dept. has installed various ornamental grasses which are drought tolerant and require very little maintenance. Ornamental shrub species that have been planted in the past and survived the extreme heat and drought are chosen as the preferred plants to use on new projects. Many lawn areas have been converted to warm season grasses such as low maintenance zoysia, and this practice will be expanded. Zoysia is a drought tolerant turfgrass that requires less maintenance during the growing season and needs minimal irrigation and fertilizing. This reduces labor, water consumption, fuel use, and emissions.",The Grounds Department has installed rain gauges on all irrigation systems to shut off sprinklers during rain. Grounds staff monitor the use of the irrigation systems and base the use of the system on the moisture content of the soil. Irrigation is not conducted during daytime hours to reduce evaporation.,,http://facsustainability.uncg.edu/water-conservation/,Population numbers are available via the Office of Institutional Research. The Fact Book and the Common Data Set reports contain most of the information used here. Also received information from Mark Davenport of the Office of Institutional Research. Water consumption data are from Facilities Operations. Baseline year = 2005-06; performance year = 2013-14.  Note that demographic data have been revised using updated figures from the Office of Institutional Research.
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:27,pohlmank@uncw.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:34,smital@uoregon.edu,2.0,Pursuing,Low to Medium,**,201329381.7,201329381.7,**,201329381.7,201329381.7,**,4125.0,13.0,--,23455.0,4690.0,30.0,4125.0,13.0,--,23455.0,4690.0,30.0,**,8094236.0,8094236.0,**,113.0,113.0,**,2013-07-01,2013-07-01,2014-06-30,2014-06-30,"Hadn't captured before, but thought we should start capturing the data.",450000.0,--,"UO Eugene is guided by the Oregon Model for Sustainable Development and progressive City of Eugene Stormwater ordinances and adds a variety of stormwater mitigation systems each year.  The water recovery and reused systems is project-based.  All new construction is required to be LEED Gold certified.  Many of the buildings are already LEED Certified.  A list of projects include: Student Rec. Center (400,000 gal. pool converted to cistern; water used to flush toilets); 15th Avenue (Flow-Through Planters); Allen Hall (Flow-Through Planter); Global Scholars Hall (Rain Garden + Green Roof); Lewis Integrative Science Building (LISB) (Rain Garden); Johnson Parking Lot (Bioswale); Matt Knight Arena (Flow-Through Planter); Ford Alumni Center (Green Roof + Flow-Through Planter); Northside Parking Area (Bioswale); Jacqui Academic Center (Bioswale); Walnut Station Parking Lot (Bioswales); Frohnmayer Music Building (Green Roof + Permeable Paving); HEDCO Building (Bioswale, Rain Garden, Roof Garden, Filtration Beds + infiltration Basins); Villard Alley (Permeable Paving); Lokey Laboratories (Roof Garden); Lawrence Hall Courtyard (Rain Garden + Permeable Paving); Many Nations Longhouse (Bioswale + Green Roof); Moss Street Children’s Center (Bioswale); Heart of Campus (Flow-Through Planters + Permeable Paving); Jordan Schnitzer Museum of Art Parking Lot (Permeable Paving); Lillis Business Complex (Green Roof); Millrace (Bioswale); Straub Hall Courtyard (Rain Garden); Vivian Olum Child Development Center (Rain Garden); McKenzie Hall Courtyard (Flow-Through Planters). The estimated total stormwater mitigation area is ~ 736,484 Sq.ft. In addition, many of the buildings are equipped with high efficiency fixtures including reverse osmosis reclaimed to flush toilets and urinals and to irrigate.  UO Oregon completed putting all of campus on a centralized computerized irrigation management system.  This system adjusts watering based on atmospheric conditions, rather than a set water time. You may think western Oregon as rainy and wet, but we have quite dry summers. Without irrigation, their turf, plants, and trees would become stressed and vulnerable to pests. Most of campus utilizes automatic irrigation controls, which we are in the process of converting these to computerized, weather-based controls. This system helps us meet their goals to conserve water while promoting plant health. Regarding other satellite locations:  OIMB strategically allows its sandy soil to receive and store most of the water but also have a 15,000 gallon cistern to collect rainwater.  only have drinking fountains in two buildings on campus.  All of toilets are low consumption.  Bladder assisted.  A computer-controlled seawater system pumps high-quality water from the mouth of Coos Bay on incoming tides, and the seawater is fed by gravity into all research and teaching laboratories on campus. The forest reserve is an excellent system to filter and store ground water.  They let rainwater wash off the decks and bikes.  The Shire does not water but does have a well and surface water in a stream and pond.  They allow the floodplain to mitigate stormwater and do not alter the riparian habitat.  UO Portland is LEED Gold certified and has a 15,000 rainwater cistern with high-efficiency appliances.  The Pine Mountain Observatory has to have their water hauled in to fill an onsite cistern, which really forces them to conserve water.","Many individual meters have separate meter, but some buildings.  We know how much rainwater is being used from the Student Rec Center only.","Campus Design Standards Section 22 00 00 – Plumbing (domestic waters; waste; sewer) (Maintenance; Common Work Results; Schedules; Insulation; Instrumentation & Control) UO goals of sustainability, life-cycle costs, maintainability, serviceability, high performance, quality equipment, and efficient campus inventory must be maintained. First costs may be impacted slightly as a result, but a better product will follow. http://cpdc.uoregon.edu/sites/cpdc1.uoregon.edu/files/Campus%20Design%20Standards.pdf  The Oregon Model for Sustainability requires that new construction pay a fee into a fund that supports retrofit projects on older buildings across campus.  The goal is to be net zero energy when new buildings are added. ","The Oregon Model for Sustainable Development Policy dictates the development, repair, maintenance, and operations of the University of Oregon today have an impact on the local environment and the ability of future generations to thrive. All development, redevelopment, and remodeling on the university of Oregon campus shall incorporate sustainable design principles including existing and future land use, landscaping, building, and transportation plans as described in the policy refinement.  All development projects as well as the surrounding landscape improvements within the project boundary shall adhere to the university of Oregon Model for Sustainable Development. All development projects include: 1. New buildings, additions, or renovations of 10,000 square feet (sf) or more of heated or cooled floor area; and 2.Building additions that increase the size of an existing building to 10,000 sf or more of heated or cooled floor area and renovations to buildings of 10,000 sf or more of heated or cooled floor area, which significantly affect: i) The existing mechanical or control systems; or ii) At least two of the following energy systems: interior lighting, building envelope, domestic hot water, or special equipment Note: Only those systems identified in (i) and (ii) that are significantly affected are subject to the OMSD requirements.  All development projects must achieve Leadership in Energy and Environmental Design (LEED) Gold certification. The certification process verifies that the project achieved a nationally recognized sustainability standard (LEED Gold) and demonstrates that the university is committed to sustainable design. http://pages.uoregon.edu/uplan/plandoc/CampusPlan/CampusPlan3/Policy10_CampusPlan3rdEdition2014.pdf","The UO Eugene has been shifting more toward drought-tolerant Texas and California species of plants to mitigate for warming summers and longer periods of drought.  They are experimenting with no watering zones using western wildflower species and bulbs.  In addition they are using species that are less disease prone.  Regarding satellite locations:  OIMB and the Shire replant with native species only and do not water.  Both let nature take its course, trying to leave a minimal impact.    ","UO Oregon completed putting all of campus on a centralized computerized irrigation management system.  This system adjusts watering based on atmospheric conditions, rather than a set water time. Additionally, it employs flow detection to alert us to excessive water use and can shut down lines that are broken/leaking. However, not all zones of campus are fully equipped to take advantage of these features.  Having the system in place is a great step forward, but since we are not able to meter our flow across all of campus we do not have solid baseline data to measure against, only estimates.  Regarding satellite locations:  Neither OIMB, the Shire, UO Portland irrigate extensively relying on appropriate native plant species to naturally receive precipitation in their climate zone.   ",All new buildings are being fitted with water refill stations to reduce bottled water usage. ,http://pages.uoregon.edu/uplan/plandoc/CampusPlan/CampusPlan3/Policy10_CampusPlan3rdEdition2014.pdf,--
University of Pittsburgh,2016-03-24,2016-03-24 12:58:36,lwzfm1@pitt.edu,2.0,Pursuing,Low to Medium,**,275898000.0,303692000.0,**,275898000.0,303692000.0,**,7900.0,--,--,26738.0,11529.0,439.0,7200.0,--,--,26323.0,11825.0,--,**,10038870.0,9447142.0,**,10.0,11.0,**,2014-07-01,2015-06-30,2010-07-01,2011-06-30,The baseline year of 2011 was selected as this was the year of the University's second and most recently completed greenhouse gas inventory (an updated inventory is in the works).  This year also provided a better data set than the prior inventory that was completed for 2008.,--,--,"An underground aquifer was discovered during the construction of Sennott Square in 2001, and designers took advantage of this by installing an access point to collect the water for use on campus. The ""free"" water from the aquifer that runs from Herron Hill to Schenley Park is used by campus grounds personnel to water gardens and hanging baskets around campus as well as for the occasional power washing. This not only saves the University money and reduces the amount of municipal water consumed, but the untreated water from the aquifer has less of an impact on the environment.","All campus buildings are individually metered for water use, and consumption and cost data is tracked and evaluated by building.  Sewage credit meters are installed to quantify water supplied but not released into the City of Pittsburgh's sewage system.    ","Approximately 1,750 faucet aerators have been replaced within the last several years with low-flow aerators that allow a flow of only 0.5 gallons per minute - a reduction of between 50 and 77 percent from previous flows of 1.0 - 2.2 gallons per minute.

All plumbing fixtures installed with new construction and renovation projects are required to be high efficiency, low flow fixtures.  The University is evaluating existing buildings to identify opportunities for both large and small-scale retrofits.","The University has worked to identify and remove most domestic water-cooled process cooling systems on campus, replacing these with systems cooled by the campus central chilled water infrastructure.  Very few domestic water-cooled systems remain.","The University has worked to increase the number of native and drought tolerant plant materials used in campus landscaping.  In addition, any necessary irrigation is performed during optimal time periods to reduce water usage, and untreated water from the Oakland Aquifer is used for watering flower beds and hanging baskets during warmer months.",,,http://sustainable.pitt.edu/node/1206,"The number of distance education students is unknown for the baseline year.  The gross floor area reflects only the buildings for which water consumption data was available.  Certain buildings are tenant occupied and thus data was not available. 

The area of vegetated grounds is a rough estimate.  Specific information on this entry was not readily available."
University of Richmond,2016-02-17,2016-02-17 15:17:30,randreje@richmond.edu,2.0,Pursuing,Low,**,79687743.0,90041996.0,**,79687743.0,90041996.0,**,2700.0,9.0,--,3761.0,1647.0,--,2700.0,9.0,--,3732.0,1460.0,--,**,2594460.0,2370813.0,**,322.5,322.5,**,2014-07-01,2015-06-30,2007-07-01,2008-06-30,Baseline matches 2008 base year for our Climate Action Plan.,--,--,We irrigate the baseball field with water from Westhampton Lake instead of using treated water.,N/A,"Have extensively used low-flow toilets, flush valves, showers/heads, lavatory faucets, pint-flush urinals, in retrofits and new construction (meets LEED Silver or higher).","Every project is scoped out with conserving resources in mind. (e.g., Low-flow shower heads and sink aerators; Energy Star-rated ice machines that use 10% less water.)","The University adheres to weather-informed irrigation and prioritizes the planting of drought tolerant and native species in new plantings. We adopted an active Water Quality Management Plan to improve the quality of Westhampton Lake. This plan includes annual dredging, quality monitoring, and integrated fertilization. Landscaping at several LEED buildings is selected to be drought tolerant and not require watering after the first year.",The University adheres to weather-informed irrigation and does not rely on timed sprinklers on campus.,"Equipped student laundry rooms with new, energy-efficient washers that have reduced our water usage by 1 million gallons per year.
",http://www.sustainability.richmond.edu/conservation/water.html,--
