Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Do all enrolled students, regardless of type or status, have an avenue to participate in one or ...",A brief description of the mechanisms through which students have an avenue to participate in one ...,Is there at least one student representative on the institution’s governing body who was elected by ...,"A brief description of student representation on the governing body, including how the ...",Do students have a formal role in decision-making in regard to the following?,"Do students have a formal role in decision-making in regard to establishing organizational mission, ...","Do students have a formal role in decision-making in regard to establishing new policies, programs, ...",Do students have a formal role in decision-making in regard to strategic and long-term planning?,Do students have a formal role in decision-making in regard to existing or prospective physical ...,"Do students have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do students have a formal role in decision-making in regard to communications processes and ...,Do students have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal student role in regard to each area indicated, including examples ...","Do all staff, regardless of type or status, have an avenue to participate in one or more governance ...",A brief description of the mechanisms through which all staff have an avenue to participate in one ...,Is there at least one non-supervisory staff representative on the institution’s governing body who ...,"A brief description of non-supervisory staff representation on the governing body, including how ...",Do non-supervisory staff have a formal role in decision-making in regard to the following? ,Do non-supervisory staff have a formal role in decision-making in regard to establishing ...,Do non-supervisory staff have a formal role in decision-making in regard to establishing new ...,Do non-supervisory staff have a formal role in decision-making in regard to strategic and long-term ...,Do non-supervisory staff have a formal role in decision-making in regard to existing or prospective ...,"Do non-supervisory staff have a formal role in decision-making in regard to budgeting, staffing and ...",Do non-supervisory staff have a formal role in decision-making in regard to communications ...,Do non-supervisory staff have a formal role in decision-making in regard to prioritization of ...,"A brief description of the formal staff role in regard to each area indicated, including examples ...","Do all faculty, regardless of type or status, have an avenue to participate in one or more ...",A brief description of the mechanisms through which all faculty (including adjunct faculty) have an ...,Is there at least one teaching or research faculty representative on the institution’s governing ...,"A brief description of faculty representation on the governing body, including how the ...",Do faculty have a formal role in decision-making in regard to the following?,"Do faculty have a formal role in decision-making in regard to establishing organizational mission, ...","Do faculty have a formal role in decision-making in regard to establishing new policies, programs, ...",Do faculty have a formal role in decision-making in regard to strategic and long-term planning?,Do faculty have a formal role in decision-making in regard to existing or prospective physical ...,"Do faculty have a formal role in decision-making in regard to budgeting, staffing and financial ...",Do faculty have a formal role in decision-making in regard to communications processes and ...,Do faculty have a formal role in decision-making in regard to prioritization of programs and ...,"A brief description of the formal faculty role in regard to each area indicated, including examples ...",The website URL where information about the institution’s governance structure is available,Public Notes
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:07,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:05,neil.tabor@utoledo.edu,2.0,Pursuing,True,Any student can run to be officers or senators within student government. Qualified students can also be appointed to the senate by officers if needed.,True,Students meeting certain academic criteria are open to apply to serve on the UT Board of Trustees in staggered two year terms. The applicants are selected based on the student government leadership team's recommendations and then voted on by the student senate. ,**,--,--,--,--,--,--,--,,True,"Membership is broken up into three subsets at UT depending on union affiliation. Non-union employees are part of the professional staff association and have a representative from their division of the university on the professional staff council. Staff can be appointed or voted onto the council for a given term.

CWA and AFSCME union workers have a similar body and union representative that are selected from their respective pool of workers. All bodies communicate on issues of importance to their respective employees with higher administration.",--,All non-student board of trustee members are appointed by the governor.,**,--,--,--,--,--,--,--,,True,Faculty are elected to the UT Faculty Senate for up to two three year terms. Colleges are proportionally represented and faculty vote for at large or college representatives to serve in the senate. ,True,All non-student board of trustee members are appointed by the governor.,**,--,--,--,--,--,--,--,,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:52,art2k@Virginia.edu,2.0,Pursuing,True,"Students serve on all University and Presidential Committees. Students run the Honor and University Judiciary Committees, and student self-governance is a key feature of life at UVA. See decision-making descriptions below for more details. ",True,"The Board of Visitors has maintained a position for the Student Member since 1983. The student may be either a graduate or undergraduate student of the University. The term of the Student Member is one year, beginning June 1. More than anything else, the Student Member serves as a soundboard for the Board of Visitors with regard to issues that affect students at the University. Although the Student Member does not have a vote on the Board, full members consider his or her voice equally among the opinions of others. Consequently, the Student Member must actively assess and predict the general student reaction to the Board's decisions.

This student is selected by the Board and is not elected by peers. ",**,True,True,True,True,True,True,True,"One of UVA's most enduring traditions and strengths is the entrustment of much decision-making to students, or student self-governance. The University Judiciary Committee, Honor Committee, Student Council, Lawn Selection Committee, and many others are staffed and governed solely by students.

Establishing organizational mission, vision, and/or goals & Strategic and long-term planning: Three students served on the Steering Committee that crafted the new strategic plan for the University in 2013. 

Establishing new policies, programs, or initiatives & Prioritization of programs and projects: Students are involved in all levels of policy and program management. Students serve on all University and Presidential committees. 

Existing or prospective physical resources: Students serve on the University Master Planning Council, Library, Public Art, and Transportation and Parking Committees, among other physical resource-decision-making bodies. 

Budgeting, staffing, and financial planning: Students serve on many department and administration-level hiring committees, and are involved in Financial Aid Committees. 

Communications processes and transparency practices: Student Council works actively with the media and communications department. During the Hannah Graham tragedy, Student Council and the communications department worked together to coordinate a media response. 

Students also serve on curriculum committees in nearly every department and on the College Foundation board, which makes strategic decisions for the College of Arts and Sciences. Student Council committees, the Honor Committee, and the University Judiciary Committee are also student decision-making bodies that affect university policy. 

The Honor Committee: The University of Virginia's Honor System is one of the school's most venerated traditions. Administered solely by students, the Honor System requires that an individual act honorably in all relations and phases of student life. More specifically, the system rests on the premise that lying, cheating, and stealing are breaches of the spirit of honor and mutual trust and are not to be tolerated within the University community. Students found guilty by a jury of their peers are permanently dismissed from the University. Although a subject of regular discussion among students, expulsion is, and has been, the only sanction for an honor violation. 

University Judiciary Committee: the central governing and operating body of the University Judicial System of the University of Virginia, and is authorized to investigate and adjudicate alleged violations of the University’s Standards of Conduct. It is run solely by students. ",True,"The Staff Senate (http://staffsenate.virginia.edu/) represents all staff personnel who work in the Academic Division, equaling over 5,000 staff.  In the Academic Division's Staff Senate, senators are elected by their represented areas, such as Facilities Management, IM-Rec, etc.. They can submit concerns or questions directly to their senators to be share with the staff senate at monthly meetings, or they can submit an anonymous email online. Additionally, the Medical Center has an Employee Council for staff in the Medical Center (http://www.healthsystem.virginia.edu/pub/mcec/home.html).  The UVA Medical Center Employee Council aims to enhance Health System services by representing the ideas and concerns of Medical Center staff and customers through direct communication and active problem solving with administration and peers.  The Council is comprised of representatives from each area of the Medical Center and related clinics and services. Members meet once a month (the 2nd Thursday of each month) with administration and representatives from various areas of the University to discuss challenges, successes, and ideas for improvement.",--,Non-supervisory staff are not currently represented on the Board of Visitors or its associated subcommittees.,**,--,--,--,--,--,True,True,Non-supervisory staff are not currently represented on the Board of Visitors or its associated subcommittees.,True,"UVA’s Faculty Senate represents the interests of all academic faculty at the University regarding all elements of University governance and advises the President and the Board of Visitors (BOV) concerning educational and operational matters affecting the welfare of the University and its community (see http://www.virginia.edu/facultysenate/index.html for additional details).  All academic faculty including both tenure-eligible and non-tenure-track (NTT) teaching and research faculty who are employed full-time or part-time (50% or greater) are eligible to nominate, vote for, and serve as members of the Faculty Senate.  

In addition, UVA’s General Faculty Council (GFC) represents the interests of full and part-time (50% or greater) NTT faculty and senior professional research staff at the University, advises the University on matters pertaining to these constituents, and provides service to the University (see http://www.virginia.edu/generalfacultycouncil/ for additional details).  All NTT faculty including both academic teaching and research faculty and administrative and professional faculty as well as senior professional research staff who are employed full-time or part-time (50% or greater) are eligible to nominate, vote for, and serve as members of the GFC. 

As described in more detail below, elected representatives of the Senate are appointed to serve on seven BOV committees and elected representatives of both the Senate and the GFC are appointed to serve on numerous University committees and task forces (see for example http://www.virginia.edu/facultysenate/senatereps/ and http://www.virginia.edu/generalfacultycouncil/committees.html).
",True,"The chair of the Faculty Senate is elected annually by senators. There is a non-voting Faculty Senate representative on the Board of Visitors. The Senate chair who served during the preceding academic year represents the Senate on the BOV’s Advancement and Communications Committee, Educational Policy Committee, and Special Committee on Diversity.  Other elected senators are appointed by the Senate Chair to represent the Senate on the BOV’s Audit Committee, Buildings and Grounds Committee, Finance Committee, and Student Affairs and Athletics Committee (see http://www.virginia.edu/facultysenate/senatereps/).",**,True,True,True,True,True,True,True,"The formal faculty roles in the range of University activities listed above is self-evident in the widespread engagement of faculty in University committees and task forces charged with addressing these matters (see web sites cited above).  The following examples illustrate some of these roles. 

Formal approval by the Faculty Senate is required for all proposals to add new academic programs or to terminate existing academic programs across the institution.  On average, the Senate considers several such proposals each year.

All proposals for new University policies or modification of existing University policies are subject to review and comment by Policy Committees of the Faculty Senate and the GFC.  On average, these committees evaluate approximately 30 such proposals each year.

With the endorsements of the Faculty Senate, GFC, Employee Councils, and Student Council, proposals by the University Sustainability Committee to significantly reduce the University’s green-house-gas and nitrogen emissions were adopted by BOV and subsequently implemented by the institution.
",http://www.virginia.edu/facultysenate/,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:53,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,"Governance at the University of Winnipeg is conducted by the Senate, the Board of Regents, the Chancellor and the Indigenous Advisory Circle. Elected student representatives from the University of Winnipeg Students' Association (UWSA) sit on both the Senate and the Board of Regents and the Senate. Students are able to run for the UWSA Executive or Board of Directors every year in student-run elections.

Two elected student representatives from the Aboriginal Student's Centre sit on the Indigenous Advisory Circle.",True,Representatives from the University of Winnipeg Students' Association are elected every year through elections. Representatives from the UWSA sit on both the UWinnipeg's Senate and Board of Regents.,**,True,True,True,True,True,True,True,"The Board of Regents determines overall policy for the University. This includes providing the administration with strategic direction and a broad framework of goals and objectives.

The Senate is responsible for the academic policy and practices of the University, faculty, staff and students. Examples of Senate responsibilities include curriculum development, setting academic standards. student appeals, and conferring of degrees.

-There is a spot reserved for a UWSA representative on the following Senate committees:
Academic Planning, Academic Standards and Misconduct, Budget Review Committee, The Executive Committee, the Graduate Studies Committee, 
-There is a position reserved for a UWSA representative on the Board of Regents Finance Committee and Board Executive Committee.
",True,Staff can elect representation on the Board of Regents. ,True,Two spaces are assigned in the Board of Regents for support staff elected by staff. ,**,True,True,True,True,True,True,True,"There is elected staff representation on the Board of Regents  which determines overall policy for the University. This includes providing the administration with strategic direction and a broad framework of goals and objectives.
Additionally, all faculty and staff were welcome to include written submissions as part of the University's strategic review which wrapped up in January 2013.",True,"Reporting to the Senate, each faculty establishes a faculty council which is composed of the faculty Dean, Associate Dean and all members of the faculty. The council is required to meet at least once every academic year. Faculty councils must submit a report to Senate once a year. ",True,There are faculty members represented on both the Senate and Board of Regents ,**,True,True,True,True,True,True,True,"There is elected faculty representation on the Board of Regents  which determines overall policy for the University. This includes providing the administration with strategic direction and a broad framework of goals and objectives. Members of faculty also sit on Senate which is responsible for the academic policy and practices of the University, faculty, staff and students. Examples of Senate responsibilities include curriculum development, setting academic standards. 
Additionally, all faculty and staff were welcome to include written submissions as part of the University's strategic review which wrapped up in January 2013.",http://www.uwinnipeg.ca/about/administration/index.html,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:52,fermanij@uwgb.edu,2.0,Pursuing,True,"Students have the opportunity to participate in Student Governmental Affairs (SGA), an elected body of student representatives. Students from this body participate in other committees across campus. For example, the SGA Environmental Affairs chairperson also is a member of the University's Sustainability Committee. ",--,,**,--,True,--,True,--,--,True,"Students actively participated in developing the Eco-Rep program launched in Fall 2013. Two interns in the Spring semester worked on developing materials, process and training. 

Students were actively involved in the determination of the development of a new 'Phoenix Park' area on campus, between the housing units and University Union. They participated in all planning meetings and provided input to how they wanted to use this 3 acre greenspace.

Student members of various committees on campus provide input and the student viewpoint on many programs and projects. On the Sustainability Committee, students help prioritize the budget spend and projects tackled during the year. ",True,Faculty and non-academic staff have the opportunity to participate in Faculty Senate as well as on various area/discipline governance committees. ,--,,**,--,--,--,--,--,--,--,,True,Faculty have the opportunity to participate on Faculty Senate.,--,,**,True,True,True,True,True,--,True,"Faculty are included and are often the drivers behind many of the decision making processes that occur on campus. From providing and guiding input on strategic planning, to establishing new programs such as the Engineering Technology degree programs, to managing their respective departmental budgets, faculty provide the heartbeat for the university. ",http://www.uwgb.edu/sofas/,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:40,knelson6@uwm.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:32,kermathb@uwosh.edu,2.0,Pursuing,True,"The Oshkosh Student Association is the student government that represents all students regarding issues and policies relating to academic and non-academic scores. Established in 1959, we are an advocate for the best interests of the students at the University of Wisconsin Oshkosh.  The State of Wisconsin affords all students the opportunity to provide input in all operations of the University of Wisconsin Oshkosh.

OSA is instrumental in voicing the opinions of the student body to University faculty, University of Wisconsin System administration, and the state and federal governments. OSA currently supports and allocates budgets to approximately 150 student organizations at UW Oshkosh.  Along with allocating funds, OSA also oversees approval of new student organizations.",True,"The Senate is one of the two houses of UW Oshkosh's unique student legislature. The membership of the Senate includes twenty-five Senators elected by the student body. These twenty-five Senators are allotted proportionately to the Colleges of Letters and Science, Education and Human Services, Nursing, and Business Administration based on enrollment within those specific collages.

Students interested in becoming a Senator not listed on the OSA election ballot may complete a Senator application on TitanLink, click here, the OSA Office Manager will contact applicants to schedule a meeting with the OSA President and OSA Vice President for an interview.

The Assembly is one of the two houses of UW Oshkosh's unique student legislature. While the Assembly is the ""lower"" house of the OSA legislature, in reality it has just as important and visible a role as the Senate does. Throughout its history, the Assembly has played an important part in student issues and student life.

Every recognized student organization has the right to sit on the Assembly. The Assembly considers and discusses all sorts of campus issues,and serves as a way to distribute information to student organizations across campus.
",**,True,True,True,True,True,True,True,"The OSA President and Vice-President are invited to all planning forums to represent the voice of the students and to be a liaison for the Student Association.

OSA created Differential Tuition in 2004 to help supplement areas where budgets were severely cut by the state.  Differential Tuition helped preserve quality student services such as the writing center, math lab, academic advising, career services, counseling center, reading center, and Oshkosh Scholar.  In addition, OSA is also responsible for the distribution of $9 million in segregated fees that fully fund the Student Recreation and Wellness Center, Reeve Memorial Union, Children’s Learning and Care Center, and athletics.  Other services and programs OSA has brought to the University include the Titan Readership Program, Titan Transit, Student Legal Services and Student Savings Club. They are now working on strategies to continue their commitment to quality student services with the current budget cuts.

An Oshkosh Student Association Initiative, the late night service and extension of current city services, serve to provide students with a safe, convenient, cheaper and greener mode of transportation. As the importance of safety on campuses nationwide increases, this program is one way that will assist students with their own safety, to and from campus. Routes are designed to focus on the campus and the needs of the students, whether their destination is entertainment, employment, necessity, or academics. As gas prices continue to rise; and insurance rates increase; and maintenance costs soar; this program will save the students money by offering a far cheaper alternative than using a personal vehicle. As a university that is committed to the highest of green standards, this initiative aligns with our campus sustainability plan.

https://www.uwosh.edu/osa/transparency-and-accountability",True,All units and employment categories  have governance representation.,True,All units and employment categories  have governance representation.,**,True,True,True,True,True,True,True,All units and employment categories  have governance representation.,True,All units and personnel and employment categories  have governance representation.,True,All units and personnel and employment categories  have governance representation.,**,True,True,True,True,True,True,True,All units and personnel and employment categories  have governance representation.,--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:09,seebotha@uwplatt.edu,2.0,Pursuing,True,"Campus-wide elections are held annual for Student Senate, our student governance body.",True,"Our campus ""governance body"" is a combination of four committee's who each are required to sign off on all major campus decisions. One of these four committee's is Student Senate.",**,True,True,True,True,True,True,True,"Mentioned above, Student Senate is expected to review and approve all major campus decisions. This has included review of their own mission and objectives as well as any made to campus; reviewing major campus-wide policy changes; participating in the campus Master Plan and Strategic Plan; reviewing any major budget cuts (most recently they were extremely active in budget review for campus wide cuts); reviewing budget and plans for any major construction project; reviewing and bringing concerns regarding transparency to the Chancellor's attention; and participating in any project prioritization such as capital improvement planning. ",True,Campus-wide elections are held annually for Academic Senate and Classified Staff Senate. All of campus staff fit into one of these categories. ,True,"Our campus ""governance body"" is a combination of four committee's who each are required to sign off on all major campus decisions. Two of these committees are Academic Senate and Classified Staff Senate. 

",**,True,True,True,True,True,True,True,"As is the case with Student Senate, the two staff committees are expected to review and approve all major campus decisions.This has included review of their own mission and objectives as well as any made to campus; reviewing major campus-wide policy changes; participating in the campus Master Plan and Strategic Plan; reviewing any major budget cuts (most recently they were extremely active in budget review for campus wide cuts); reviewing budget and plans for any major construction project; reviewing and bringing concerns regarding transparency to the Chancellor's attention; and participating in any project prioritization such as capital improvement planning. ",True,Campus-wide elections are held annually for Faculty Senate. ,True,"Our campus ""governance body"" is a combination of four committee's who each are required to sign off on all major campus decisions. One of these committees is the Faculty Senate.",**,True,True,True,True,True,True,True,"As is the case with the other committees, Faculty Senate is expected to review and approve all major campus decisions. This has included review of their own mission and objectives as well as any made to campus; reviewing major campus-wide policy changes; participating in the campus Master Plan and Strategic Plan; reviewing any major budget cuts (most recently they were extremely active in budget review for campus wide cuts); reviewing budget and plans for any major construction project; reviewing and bringing concerns regarding transparency to the Chancellor's attention; and participating in any project prioritization such as capital improvement planning. ",https://www.uwplatt.edu/governance,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:01:57,sjanowsk@uwsp.edu,2.0,Pursuing,True,"All students of the university are members of the Student Government Association.
The Student Government Association is the shared governance representative of the student body on campus under WI State Statute 36.09(5). The mission is to work with faculty, staff, and administration in order to realize the full potential of our university and provide the best environment possible for the student body through the development of student organizations, innovative programs, and student-friendly policies.  Shared governance is the idea that decisions concerning the way the campus is run should be made by those people most affected by the decisions. According to Wisconsin State Law the students, administration, faculty and academic staff may directly participate in, and affect the administration of the campus. Students may run for SGA office or join one of several faculty/student university committees.",True,"As a University ran by shared governance, the students elect their own representative body (Student Government Association), which has the primary roles of evaluating student life policy, segregated fee distribution, and representing the interests of the students on the other campus governing bodies. The SGA President and Vice President are elected by student wide vote, and are active members of the Chancellor’s Cabinet, Faculty Senate, and other governing bodies.",**,True,True,True,True,True,True,True,"1.The University’s mission and vision are relatively unchanging and have specific UW System requirements and guidelines. Students are not formally involved in this process currently, but may have been when the mission and vision were originally created at the formation of the UW System in the 1970s.
2.The Student Government Association has a very formal role in the establishment of new policies and programs related to student life. The organization has initiated a wide variety of these. E.G’s: sexual assault prevention programing; alcohol and other drug abuse prevention programming; gender-inclusive housing and restrooms; the establishment of the Green Fund, a fund for sustainable capital investments; structural improvements to pedestrian safety; all student organization policy; policy and programing for our student center; off campus housing policies and education programming; health and wellness policy; student health services policy; and a long, long list of other examples.    
3.Students have a formal albeit limited role in strategic planning for the university. We have had one seat on the strategic planning advisory committee since 2011, through which we provide input on strategic planning at the University level.  
4.Students are members of the campus planning committee, and other physical resource management committees and groups such as the sustainability task force. We also in the last three years have worked very hard and have recently passed a health and wellness facilities project which will create a new building on campus for health, wellness, recreation, and athletics. 
5.Perhaps the SGA’s biggest input in on the financial planning, fiscal policy, and budgeting of the over $13 million in student segregated fees. These fees pay for everything from the campus cab service, our campus’s nature reserve (Schmeekle Reserve), all student organizations, and athletics, among many others. The SGA is the primary party responsible for the policy and budgeting of these fees. 
6.While the SGA manages its own communications program and transparency, the SGA is not formally involved in the University’s communications, communication plans, website development, or transparency efforts.  Students are members of search and screen committees.
7.Within student life related programs and expenditures, the students, through their SGA, have a very formal role in prioritization of these programs and projects. Outside of this, there is a varying degree of formal input. In 2014 UW-Stevens Point is conducting a program prioritization exercise that will be considered for endorsement by our various shared governance bodies: the Student Government Association, Faculty Senate, and the Classified Staff Advisory Council.  ",True,"The Classified Staff Council (CSC) serves on behalf of all represented and non-represented classified staff employees, limited term employees, and project appointment employees at the University of Wisconsin-Stevens Point.

The purpose of the CSC is to promote active participation in university decision-making, informed communication and a positive professional environment for all classified employees. The organization supports equality, respect and a spirit of collegiality among all members of the university community, including students and employees.

There are thirteen members of CSC, each serving a two-year term. Members are selected by a classified staff election. Any classified staff employee (as defined above) is eligible, and encouraged, to be a CSC member.

CSC meetings are held monthly and are open to all classified employees. If you have any concerns and/or comments that you would like addressed at a CSC meeting, please contact one of the CSC members with your request.

Special meetings (general meetings) are held every spring for the purpose of presenting guest speakers and/or important information affecting all classified staff. All classified employees are invited to attend special meetings.
",True,"Co-chairs represent CSC on the Chancellor's Cabinet and Executive Committee of the Faculty Senate.
The University Affairs Committee is a standing committee with representation of classified staff members who are appointed by the CSC.",**,True,True,True,True,True,True,True,"Organization vision - Reorganization of the Faculty Senate - proposed Senate would have equal representation of classified staff, faculty and academic staff.
University Affairs committee led the initiative for tobacco-free campus in 2013-14.
Classified staff were part of the strategic planning process in 2011-12 resulting in the creation of the campus stategic plan.
The Facility Naming committee has classified staff representation - in 2012 name from demolish Hyer Hall transferred to South hall.
The Budget Review committee has classifed staff representation as part of their job description. Classified staff were members of the Living Wage Task Force in 2013
A classifed staff member is appointed (by CSAC Co-Chairs) to search and screen committees.
In 2014-15 UW-Stevens Point is conducting a program prioritization exercise that will be considered for endorsement by our various shared governance bodies: the Student Government Association, Faculty Senate, and the Classified Staff Advisory Council.  ",True,"The faculty derives its authority from 36.09(4) Wisconsin Statutes, which reads as follows: The faculty of each institution, subject to the responsibilities and powers of the board, the president, and the chancellor of such institution, shall be vested with responsibility for the immediate governance of such institution and shall actively participate in institutional policy development. As such, the faculty shall have the primary responsibility for academic and educational activities and faculty personnel matters. The faculty of each institution shall have the right to determine their (sic) own faculty organizational structure and to select representatives to participate in institutional governance. 
For purposes of those parts of “institutional governance” outlined in this constitution, the faculty is defined in Article I as persons holding at least 50% FTE faculty or academic staff appointments. Whenever the word “faculty” is used, it includes all persons in these categories.",True,"The Chair of the Faculty Senate is a member of the Chancellor's Cabinet.
The University Affairs Committee is a standing committee whose chairs are elected and members appointed.",**,True,True,True,True,True,True,True,"*Strategic Plan - 2011
*General Education Policy Review 2008-2014
*Equity Scorecard
*Inclusive Excellence Strategic Plan 2010-11
*Retention Task Force will make recommendations regarding specific policies and programs aimed at retaining and graduating a larger percentage of our incoming students.  The task force will work between now and the end of the 2012-2013 academic year.
*Faculty are part of the planning committee for construction of the new science center with a goal of LEED Gold rating.  Faculty Senate decides on parking rates which are affected by a potential future parking ramp.
*Salary Initiative
*Transparent budgeting - Part of budgeting transparency is presenting information in a manner easy to understand.  At the bottom of the fact sheet you will find common language and definitions, developed by the Legislative Audit Bureau, we can all use when discussing the balances.
https://mypoint.uwsp.edu/Announcements/OpenAttachment.aspx?id=10002529
*The Partnership for Thriving Communities provides the framework through which the university will become more engaged with area stakeholders, more responsive to local needs, and more relevant to solving regional problems.
*Sustainability Task Force - Carbon Neutrality plan 2012
*In 2014-15 UW-Stevens Point is conducting a program prioritization exercise that will be considered for endorsement by our various shared governance bodies: the Student Government Association, Faculty Senate, and the Classified Staff Advisory Council.  ",--,"In 2014, the Classified Staff Council and Faculty Senate voted to establish a unified governance council called the Common Council, where each employee group (academic staff, classified/university staff and faculty) will have equal representation.  A common Council Planning Committee was created."
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:48:56,rykals@uwstout.edu,2.0,Pursuing,True,Stout Student Association (SSA) holds annual elections to all students to participate on the student governance body.  ,True,One student voted in from the SSA. The Chancellor will also implement a search committee for available students as well. ,**,True,True,True,True,True,True,True,Three students participate in the strategic planning group and are appointed or elected in through the SSA. They are also appointed to various shared governance committees across campus.  The president of the SSA also meets with the Chancellor once a month.  ,True,Elections are available to any staff and is the most common method of participation. Sometimes officials are appointed.  ,True,Elections are available to any staff and is the most common method of participation. Sometimes officials are appointed in.  ,**,True,True,True,True,True,True,True,Multiple sub-groups have been formed off of governance branches. These sub-groups will exchange thoughts and ideas pertaining to the governance material.  ,True,Elections are available to any faculty and is the most common method of participation. Sometimes officials are appointed in. ,True,Elections are available to any faculty and is the most common method of participation. Sometimes officials are appointed in.  ,**,True,True,True,True,True,True,True,Multiple sub-groups have been formed off of governance branches. These sub-groups will exchange thoughts and ideas pertaining to the governance material.  ,http://www.uwstout.edu/governance/,*Data retrieved through the Faculty Senate Chair 
University of the Pacific,2016-03-23,2016-03-23 15:39:09,seller@pacific.edu,2.0,Pursuing,True,Through both direct participation in university committees and electing students representatives. ,True,Student body president serves as a participate observer on the University’s Board of Regents.,**,True,True,True,True,True,True,True,Students serve on committees that make recommendations concerning each of the areas indicated. ,True,"Staff Advisory Council Representatives are elected by their peers and serve constituent groups within their divisions, both exempt and non-exempt staff in grades 1-11, with each representative serving no more than 40 staff members. Representatives serve 2-year terms, and terms are staggered so that only half the council rotates off in a given year. The role of the representative is to communicate with the constituent group regarding staff issues and SAC activities carried out on their behalf, as well as to represent constituent concerns at SAC meetings. 
",--,"Two students from student government (ASUOP), two alumni, and two faculty members from Academic Council serve as liaisons with the Pacific Board of Regents, but are not members.",**,True,True,True,True,True,True,True,"The university’s Staff Advisory Council, comprised of staff members elected by their peers, has opportunities to make recommendations concerning each of the indicated areas.  One example has been participation in discussions about flex policies.",--,"Adjunct faculty do not have voting opportunities on the majority of the faculty governance bodies - the primary vehicles being Academic Council, the Institutional Priorities Committee, the Strategic Planning Committee,  and the Academic Facilities Improvement Committee.

The University of the Pacific Academic Council recommends policy concerning curricular, faculty and other academic issues. Faculty representatives are elected by the faculty in each school or college for three-year terms. All three campuses are represented on the Council. The number of faculty representatives from each unit is determined by the number of full-time faculty in the unit. 
",True,"Two students from student government (ASUOP), two alumni, and two faculty members from Academic Council serve as liaisons with the Pacific Board of Regents, but are not members.",**,True,True,True,True,True,--,--,"Organizational Mission, Vision  - Strategic Planning Committee guided development of Pacific's new strategic plan in AY12-13 and Academic Planning and Alignment Process in AY13-14.

Establishing new policies, programs, or initiatives - Institutional Priorities Committee guided allocation of new Strategic Investment Funds in support of new academic programs in AY14-15.

Strategic and long-term planning - Academic Affairs guided development of Pacific's new academic plan in AY14-15.

Existing or prospective physical resources - Facilities Improvement Committee guided decisions regarding new capital improvement plans for athletics, conservatory, housing, and business school facilities in AY13-14 and AY14-15.

Budgeting, staffing and financial planning - Institutional Priorities sets budget for every fiscal year.

AY14-15: Creation of a Shared Governance Committee, that include: Regents, Administration and Faculty, including non-tenured track. 
",http://pacific.orgsync.com/org/asuop,"http://pacific.orgsync.com/org/asuop

http://www.pacific.edu/About-Pacific/AdministrationOffices/Staff-Advisory-Council.html

http://www.pacific.edu/About-Pacific/AdministrationOffices/Office-of-the-Provost/Shared-Governance.html

http://www.pacific.edu/About-Pacific/AdministrationOffices/Office-of-the-Provost/Shared-Governance/Standing-Committees.html"
Vanderbilt University,2016-03-21,2016-03-21 10:46:16,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:33,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Villanova University,2016-03-21,2016-03-21 13:11:36,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Currently, staff are not represented on any of the 12 Board committees. These are 5 Board committees that are only open to Trustees, they include: Executive Committee, Executive Compensation, Audit & Risk, Finance, Trustee Committee. "
