Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Percentage of total dining services food purchases comprised of conventionally produced animal ...,A brief description of the methodology used to track/inventory expenditures on animal products,"Does the institution offer diverse, complete-protein vegan dining options at all meals in at least ...","Does the institution provide labels and/or signage that distinguishes between vegan, vegetarian ...",Are the vegan options accessible to all members of the campus community?,"A brief description of the vegan dining program, including availability, sample menus, signage and ...",A brief description of other efforts the institution has made to reduce the impact of its ...,The website URL where information about where information about the vegan dining program is ...,Annual dining services expenditures on food,Annual dining services expenditures on conventionally produced animal products,Annual dining services expenditures on sustainably produced animal products,Public Notes
Randolph College,2016-02-26,2016-02-26 14:25:21,llemaitre@randolphcollege.edu,2.0,Pursuing,45.0,,True,True,True,The dining service director and the chef offer vegan options at every single meal because every student living on campus is required to have a meal plan.,,--,--,--,--,--
Rice University,2016-03-25,2016-03-25 16:31:45,rrj@rice.edu,2.0,Pursuing,32.6,"All purchases go through the Housing and Dining office which sets the standards for all purchases. David McDonald, who is the head of Housing and Dining, makes sure that all animals are humane-verified as well as USDA certified if possible. Animal products that are purchased locally are not USDA certified but are instead considered locally grown. ",True,True,True,"Vegetarian and vegan entrees are available at every meal and the entire dining operation is trans-fat free. Over 90 percent of the food served in the campus dining halls is made from scratch on-site. 

Menus can be found at http://dining.rice.edu/  ","Housing and Dining has made a large push to include more alternative protein sources. Some of these include legumes, beans, Swiss shard and roots. In addition, tofu, soy milk and other soy based products are offered at all meals. Most of the yogurt is gelatin-free making it vegetarian and further reducing animal-derived products.",http://dining.rice.edu/sustainabledining/,4600000.0,1500000.0,300000.0,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:45,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Saint Louis University,2016-03-24,2016-03-24 17:16:40,bverhof1@slu.edu,2.0,Pursuing,88.8,"Velocity reports from Aramark's Dining Services' internal accounting system as well as reports from vendors are used to determine sustainable food and beverage purchases.

Fresh Gatherings Cafe uses an informal internal tracking system through invoices. ",True,True,True,"At Fresh Gatherings, vegan and vegetarian options and gluten-free alternatives are available during every meal. The entire menu is designed to feature local and sustainable foods and vegetarian foods receive equal billing.  There are 52 weekly menus designed to reflect seasonal availability; each menu features meat and meat free choices in entrees, soups and side dishes equally. All soup and salad bar options are coded to indicate whether they are Vegetarian (V), Locally Sourced (L) and/or Gluten-Free (GF).  We market our daily menu options via an email to the Doisy College of Health Sciences community, by posting it on the Fresh Gatherings Facebook page, and by writing it on our chalkboard menu.  

Aramark locations: Vegan and vegetarian options are available throughout the all-you-care to eat dining hall facilities, with a designated station highlighting the option(s) at lunch and dinner. These options are distinguished using Just4U(R) nutrition highlight message leafs signage. 
http://slu.campusdish.com/EatWellContent/NutritionHighlights.aspx

""At Fresh Gatherings, vegan and vegetarian options and gluten-free alternatives are available during every meal. The entire menu is designed to feature local and sustainable foods and vegetarian foods receive equal billing. There are 52 weekly menus designed to reflect seasonal availability; each menu features meat and meat free choices in entrees, soups and side dishes equally. All soup and salad bar options are coded to indicate whether they are Vegetarian (V), Locally Sourced (L) and/or Gluten-Free (GF). We market our daily menu options via an email to the Doisy College of Health Sciences community, by posting it on the Fresh Gatherings Facebook page, and by writing it on our chalkboard menu. 
 
Aramark locations: Vegan and vegetarian options are available throughout the all-you-care to eat dining hall facilities, with a designated station highlighting the option(s) at lunch and dinner. At this station, a vegan complete plate solution is available, which includes protein, carbohydrate, and at least one vegan-friendly vegetable. A salad bar, which including fresh fruit, is also provided at lunch and dinner. Students may also view online menus for vegan, vegetarian and other healthier options. Vegan and vegetarian options are distinguished using Just4U(R) nutrition highlight message leafs signage. 
 http://slu.campusdish.com/EatWellContent/NutritionHighlights.aspx
 
Outside of the residential dining halls, national chains and proprietary brands retail locations offer a variety of vegan/vegetarian options. """"Greens to Go"""" propriety brand promotes salads as a healthy lunch alternative. At P.O.D market locations throughout the campus, students can also use Flex dollars to purchase soy milk, fresh produce, and a variety of other Grab n' Go, a local vendor, vegan, vegetarian, and other healthy meal/snacking options. Flex dollars can also be spent at national chain brands locations that offer vegan/vegetarian options (e.g. Panera, Einstein Bagels, Qdoba). Campus dining program (DineSLU) nutritionist is available on campus to help verify information. Contact information can be found on the slu.campusish.com home page.""","One of the dining venues on campus, Fresh Gatherings Cafe, offers fresh and seasonal produce as well as a meat and meatless alternative entree at each breakfast and lunch service. Other venues on campus where meal swipes or flex dollars are accepted offer at least one meatless alternative meal option at serviced meal times. In addition, as of the 2014-2015 school year, Fresh Gatherings began a deli program to produce our own smoked turkey and roast beef in-house.  ",http://slu.campusdish.com/EatWellContent/ViewMenu.aspx,3874471.0,921621.65,115847.49,"Source for students to view menu utilizing Just4U® signage to see vegetarian/vegan options:  
http://slu.campusdish.com/EatWellContent/ViewMenu.aspx"
San Francisco State University,2016-03-25,2016-03-25 17:33:31,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:43,lkalkbrenner@scu.edu,2.0,Pursuing,19.0,The methodology used to track/inventory expenditures on animal products is calculated on both the corporate level through electronically reported item level data and also on the unit level through invoices that are analyzed by the local team.,True,True,True,"Vegan-friendly Dining Choices at Santa Clara University 
We make every effort to label café menu specials with informative icons (seen here) to help you with your meals. Here is a list of common items served in our cafes daily that are vegan. 

Marketplace
California Deli
1. Breads - Sliced potato, marble-rye, gluten-free bread, sweet, sourdough or Dutch crunch rolls are vegan. Tortilla wraps and lavosh (used in grab-n-go wraps) are vegan.
2. Meat & Dairy alternatives - Yves deli slices, soy or rice cheese slices 
3. Spreads - sundried tomato, house-made hummus, avocado, cranberry sauce, vegan mayonnaise, mustard 

La Parrilla
Rice (rice, tomato, salt, canola oil), beans (beans, water, garlic, salt, canola oil, herbs, onion), corn tortillas and shells, and any marinated, grilled vegetables are vegan (however, vegetables are grilled on a shared cook top). 

Bistro
Daily comfort and global vegetarian/ vegan specials are served in addition to entrée sides that can be purchased separately (vegetables, noodles, rice, etc) Asian sauces are made from scratch and bases may contain fish/oyster sauce. 

Sauté
Yves Veggie Chick’n or cubed tofu is available as meat alternative for custom stir-fry, pasta, salad, or hot potato. 

Farmer's Pantry
1. Breads - bagels, sliced sourdough bread, sliced potato, sliced marble rye, English muffins (whole wheat and regular), and dinner rolls are vegan. 
2. Beverages - soy milk is available in a small dispenser near the cereal and/or the coffee machine. 
3. Cereal - Raisin Bran*, Rice Krispies*, Lucky Charms*, Cinnamon Toast*, Special K Red Berries, Heart to Heart, Cheerios, Rice Chex (*these items do not indicate source of Vitamin D). Hot cereals (oatmeal, cream of wheat, grits are all vegan).
4. Whole grains, lentils, beans, seasoned tofu, avocado, nuts, and seeds are provided for alternate protein sources. 

Mission Bakery
Mission Bakery serves vegan smoothie options and assorted vegan donuts. 

The Bronco
540° Pizza & More
House-made local wheat pizza dough and house-made pizza sauce (simply crushed tomatoes and herbs) are vegan. Sautéed vegetables (mushrooms, garlic, etc. are made with olive oil). A cheeseless personal pizza may be ordered anytime.

Tailgaters 
Vegetarian burger: Gardenburger vegetable patty (vegan) - you may request non-dairy cheese. It is not possible to cook items separately from other menu items (fried or grilled). Plain or sesame buns are vegan. 

Fresco
Look for vegan-friendly salads and salad wraps. 

Cellar Market
Our on-campus mini market is a fantastic resource for our vegan/vegetarian guests. Here you will find a wide range of products for preparing in your room or eating on the go. Be sure to request a favorite item—just ask! You can email us at diningservices@scu.edu or 408.554.5411. 

More Resources
Santa Clara University Dining Services by Bon Appètit takes pride in providing sustainable, fresh, unique cuisine and exceptional service for our family at Santa Clara University. ","Bon Appetit’s effort to reduce the impact of its animal-derived food purchases is demonstrated through the Circle of Responsibility (COR) Initiatives. COR highlights the commitment when purchasing: chicken, turkey, ground beef patties, shell eggs, fish and seafood, milk, and yogurt. Between the years 2002-2013, these commitments include the following: 
All seafood purchases are made in accordance with the Monterey Bay Aquarium’s guidelines; 
All of the milk comes from cows not treated with artificial bovine growth hormones (rBGH); 
Chicken and turkey is raised without antibiotics as a routine food or water additive; 
Ground Beef is “natural”, our suppliers committed to using no antibiotics, no added growth hormones, and no animal byproducts in feed; 
Extending our commitment to cage-free shell eggs to liquid eggs by 2015; 
All pork will be produced without gestation crate confinement systems by 2015. 

In addition, since 2008, all of Bon Appetit’s cafés take part in an annual ‘Low Carbon Diet Day’, which is an event that showcases the effort to reduce climate change through food choices. The Low Carbon Diet is Bon Appetit’s program to reduce greenhouse gas emissions from food service operations, and to educate staff and students about how food contributes to climate change. On this one day, the cafés undergo a menu transformation that highlights sustainable items that will help prolong the life of our planet – i.e. serving turkey burgers instead of beef burgers, as beef burgers emit methane gas into our environment. ",http://scudining.cafebonappetit.com/wellness/,5298619.0,1029216.0,586159.0,--
Seattle University,2016-03-23,2016-03-23 11:52:40,thompson@seattleu.edu,2.0,Pursuing,75.0,,True,True,True,"Bon Appétit provides a wide variety of vegan items at every café at every meal period on every day, including many rotating specials. 
Vegan items are clearly labeled, and alternatives made available almost every food station in the dining area.
The Byte, the library cafe, offers only vegetarian/vegan food options. 
We do not currently offer any strictly vegan promotions, but we hold an annual event called Low Carbon Diet Day (LCD). LCD educates our customers on the impact of food on climate change, especially beef and dairy. On that day we eliminate beef from our menus. When customers order a hamburger, for instance, they are told that we are not offering them on that day and why. They are then sold an alternative item (black bean burger, etc.)
On Mondays, the hot food station inside of the cafeteria offer and promote their 'Meatless Mondays' option.
","When Bon Appétit started the Low Carbon Diet program in 2007, it was with specific targets in mind for how much carbon emissions we wanted to reduce over five years. The goal of reductions of the equivalent of approximately 5 million pounds of carbon dioxide each month has been made.

In coming up with dining options, the catering service focuses on these four areas:
--Serving reasonable, clearly defined portions of animal proteins based on U.S. Dietary Guidelines recommendations
--Skewing the menu mix away from beef and cheese
--Emphasizing plant-based proteins
--Tracking the ounces of various proteins we serve per guest per meal period, to make sure we stay on target

When purchasing meats, focus is put on:
--No air-freighted seafood
--Purchasing meat from North American farms and ranches (fed with U.S.-grown crops)
--Serve tuna that comes with a signed statement that no fish aggregating device (FAD) was used.
--All ground beef served in Bon Appétit cafés should be sourced from suppliers that have met the strict standards of one of four independent animal-welfare organizations.
--Requiring that the pork BA serves be produced without gestation crate confinement systems, using higher-welfare group housing systems instead.
--Switching pre-cracked (liquid) eggs from hens confined in barren battery cages to hens living in cage-free farms, as we already do for shell eggs",https://www.seattleu.edu/cejs/sustainability/what-su-is-doing/food/,--,--,--,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:34,mpate@sewanee.edu,2.0,Pursuing,2.0,Analysis of purchases revealed that our local meats from Sequatchie Cove Beef meet the criteria for this category. ,True,True,True,"There is a vegan line in McClurg Dining Hall (the one and only dining hall on campus) that serves a full vegan meal for breakfast, lunch, and dinner. A  few sample vegan meals served in McClurg Dining Hall are Pinto Beans and Local Greens, Local Braised Collard Greens and Orange Spice Tofu, Curried Potatoes and Cauliflower with Coconut Sweet Potatoes, Tofu Bolognese and Miso Soup. Every morning, the executive chef sends out an email to the entire campus community with the day's menu and nutrition facts/history, the social or environmental impact of that food, etc. ""Local Fried Chicken Sunday"" - every Sunday, local, antibiotic-free, cage-free, free-range fried chicken is served in McClurg Dining Hall.",,http://www.sewanee.edu/dining/,--,--,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:14,andre.plante@sheridancollege.ca,2.0,Pursuing,37.0,,True,True,True,"Vegetarian options are made available daily and can be deconstructed into vegan meals by request. Vegan foods, such as whole grains, vegetables, fruits, and beans (which are low in fat, contain no cholesterol, and are rich in fibre and nutrients) are available in many Sheridan/Chartwells food service outlets. Sources of protein such as beans, tofu, rice, corn and pastas are used as menu ingredients. (Additional food ingredients such as broccoli, tofu and fortified juices for calcium, and chickpeas, spinach, pinto beans, and soy products for iron are also added as menu ingredients to provide adequate calories and nutrients in addition to protein.)  As an example, Chartwells’ ‘Whole + Sum’ program at Sheridan includes all grains, beans, legumes, vegetables and fruits and the diverse range of foods made by combining them to accommodate complete-protein vegan diets. Examples include: 
•         Steamed Brown Rice
•         Red Rice Pilaf
•         Lebanese Tabbouleh
•         Cucumber Tomato Parsley Salad
•         Roasted Carrots with Cumin and Mint
•         Broccoli with Sun Dried Tomatoes, Lemon and Garlic
•         Spiced Garbanzo Beans and Eggplant
•         Greens with Herb Salad, Dried Cherries and French Dressing
•         Bulgur Salad with Chickpeas and Lemon
•         Balsamic Butternut Squash with Parsley
•         Grilled Asparagus
•         Shaved Fennel Salad with Oranges, Carrots and Pinenuts
•         Green Beans with Tomato Basil Salsa
•         Mediterranean Greek Salad 
•         Poblano Brown Rice and Beans
•         Red Quinoa with Corn and Tomatoes
•         Farro Salad with Orange Cumin Dressing
•         Cilantro Jicama Slaw
•         Chayote Sauteed with Orange and Ancho Chili
•         Soba Noodles with Vegetables and Tea Sauce
•         Quinoa and Water Chestnut Salad
•         Braised Bok Choy with Sesame Seeds
•         Gingered Broccoli, Shiitake Mushrooms and Tomatoes
•         Roasted Kabocha Squash
•         Chinois Salad with Orange Peanut Dressing
•         Wild Rice Salad with Baby Garbanzo Beans
•         Wheat Berry with Orange Vinaigrette
•         Barilla Plus Penne Pasta with Broccoli and Lemon
•         Barley and Brown Rice Pilaf with Mushrooms
•         Brown Basmati Rice Pilaf
•         Oven Baked Sweet Potatoes with Toasted Pecans
•         Dill Potato and Apple Salad
•         Cauliflower Skordalia
•         Fresh Sugar Snap Peas with Crunchy Peanuts
•         Wedge Salad with Tomato Basil Relish","Compass has established corporate targets for our fresh and frozen seafood purchases to be 100% 3rd party certified by 2016; currently Sheridan is at 77% certified seafood purchased. Compass works with its major suppliers to ensure availability of products for Sheridan locations; it is currently in the process of renewing its relations with Vancouver Aquarium, Ocean Wise certification program. Cage free eggs (free run) are available to Compass' locations that choose to purchase this product, currently Sheridan purchases 21% free range eggs.

http://canada.compass-usa.com/Pages/Home.aspx?ItemID=1
http://eatlearnlive.com/Live_Enhance_the_Quality_of_Life_CHE.cfm",http://canada.compass-usa.com/Pages/Home.aspx?ItemID=1,644742.0,238709.0,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:43,erica_lay@sfu.ca,2.0,Pursuing,41.6,"Using the STARS criteria for conventionally produced animal products the contractor assessed what food purchases were made and whether this criteria was met.  Subsequently, the total expenditures were summed.",True,True,True,"Vegan dining options are available every day-there is a vegan and vegetarian entree station at the main dining halls.   
",,http://www.dineoncampus.ca/sfu/menus-locations,--,--,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:53,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:29:14,dweisbor@smith.edu,2.0,Pursuing,15.3,Vendor Invoices & Reports,True,True,True,"Smith Dining offers vegan and vegetarian meals three meals a day, seven days a week.  One of our dining locations (Gillett) is dedicated to vegan cuisine and provides multiple options every day.

During the Spring 2015 semester we held a series of Meatless Mondays, where several student dining locations across campus go meatless for a meal.  Smith Dining Services also presented a meatless Earth Day 2015 at the majority of dining facilities and is planning to do so for Earth Day 2016 as well.","More pasta, beans, and veggie burgers are being served at various locations across campus and efforts have been made to secure animal-derived food purchases from local farms that have best practices, such as pasturing animals and not using artificial growth hormones or antibiotics.

Dining Services is now purchasing Vermont-raised ground beef, brisket, top round and pork from Black River Produce in North Springfield, Vt. Black River produces meats from pasture-fed animals and does not use hormones or antibiotics.

All liquid dairy products are now being purchased from High Lawn Farm in Lee, MA, and come from pastured Jersey cows that do not receive artificial growth hormones.

In the 2014-2015 school year Dining Services ran a program called Northeast Catch of the Week.  Through this program a local fish dinner was served at our pescetarian dining hall, Morrow-Wilson, on one Friday each month.  These fish were caught off the coast of Massachusetts, or from a riverculture site in Massachusetts, and include hake, cod, barramundi, and haddock.

In 2016 we've continued our sustainable seafood purchasing by purchasing from Sea to Table, a distributor that partners with fishing communities to support small-scale, wild fisheries.",http://www.smith.edu/diningservices/,4142538.37,633963.77,71548.86,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:35,huminskis1@southernct.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:56,glkurtzhals@siu.edu,2.0,Pursuing,32.0,Cbord - our food service network software inventory reports.,True,True,True,We have a vegan entrée menued for every meal as well as hundreds of self prepared option combinations for vegan and vegetarian students.,We serve an all vegetarian and vegan meal once a semester.,http://www.housing.siu.edu/diningmenus,3400000.0,1100000.0,45000.0,--
Southern Oregon University,2016-03-23,2016-03-23 15:38:34,beigelcod@sou.edu,2.0,Pursuing,92.0,SOU Dining is working to develop a methodology to better track expenditures on sustainable food purchases. ,True,True,True,"Vegetarian and vegan options are offered during all meal periods and at both dining halls on campus.  Vegetarian and vegan options are identified by appropriately labeling on menus.  Vegetarians is identified with V and vegan is identified with VG.

Franchised locations and retail locations all offer vegetarian options.  Our coffee locations offer vegan option by substituting with milk alternatives almond and soy milk.   

Vege is a concept that promotes a vegetarian and vegan lifestyle located at our main dining facility for residential students, The Hawk at The Dining Commons.   Vege also offers at least one vegan dessert daily.   
","Umpqua Dairy, our main dairy vendor, provides a lot of information regarding their sustainable practices including but not limited to; maximizing transportation efficiency. participates in Pacific's Blue Sky renewable energy program, minimize energy usage at facilities with energy efficient lighting and windows, recapture and reuse refrigerants.

SOU Dining also sourced free range chicken from Draper Valley Farms, when possible. 
",http://campus-dining.com/sou/the-hawk/dinner/,2066913.14,1901560.08,165353.06,--
Spelman College,2016-02-15,2016-02-15 08:21:29,aefrazier@spelman.edu,2.0,Pursuing,2.0,"We purchase Cage Free eggs, We track inventory via a hand and electronic information system known as PRIMA. This system helps up build recipes and menus to scale based off of production and inventory on hand. 
",True,True,True,"A all vegan with gluten free options create your own stir fry station. Students are able to pick ingredients and season to taste their own made-to-order meal options comprising of over 30 ingredients that are vegetables, legumes, non-meat and no dairy protein, pastas, and gluten/dairy free sauces to sauté for a delicious hot entrée option daily.  
","Each of our 13 dining stations offers both vegetarian or meatless options during every meal period including a sweet potato bar, soups, salad bar, the grill, deli, and omelet station. 
",http://spelman.campusdish.com/Commerce/Catalog/Menus.aspx?LocationId=2175,1200000.0,400000.0,50000.0,--
St. John's University,2016-03-02,2016-03-02 16:31:39,goldsmit@stjohns.edu,2.0,Pursuing,12.0,"- Only Cage-Free eggs are used on campus
- Produce bought locally from American Family Farms
- Serving seafood sourced sustainably by Monterey Bay Watch program sustainability guidelines",True,True,True,"Every week, 14 vegan and vegetarian meals are offered and specifically labeled.  Most student and alumni events offer a vegan and vegetarian option for those who attend.",,http://www.dineoncampus.com/stjohns/show.cfm?cmd=menus2&searchWT=,5300000.0,505000.0,1350000.0,--
Stanford University,2016-03-23,2016-03-23 01:12:21,mbhafer@stanford.edu,2.0,Pursuing,24.0,"R&DE uses an enterprise software called EATEC to order products and to generate reports. EATEC helps manage inventory while lowering food and labor costs and increasing efficiency. We also ask our suppliers for reports that we cross-reference with the EATEC reports to ensure the reporting is correct.

Our Sustainable Food Program Manager runs reports throughout the year to ensure our chefs are complying with our sustainability standards. In R&DE Stanford Dining, those standards for animal products include: organic and local milk from Straus Creamery, grass-fed beef from Australia, antibiotic free chicken, cage free eggs, organic and local produce, humane pork butt from Niman Ranch, Fair Trade coffees and teas, wild Alaskan salmon from Taku River Reds fishery, and Monterey Bay Aquarium Seafood Watch approved seafood.

R&DE has found that through the chef’s menuing efforts and education of students, animal proteins have decreased by 14% and vegetable based proteins have increased by 29%. 
",True,True,True,"R&DE provides vegan meals in all dining halls on all days. The dining halls have “Performance Dining” options that are all vegetarian, with at least one or two vegan options at lunch and dinner. Each Performance Dining area has a bean or tofu dish, whole grain dish, vegetable side, and leafy greens dish (i.e. chard, kale, spinach, etc.). R&DE always provides at least one
vegetarian soup, and many are vegan as well. Each of the 11 dining halls also has a make-your-own salad bar with homemade salad dressings. R&DE Stanford Dining labels all vegetarian and vegan options as well as the top eight allergens for all food. Vegetarian and vegan options are always labeled. R&DE Stanford Dining has a vegan Dining Ambassador who solicits ideas from vegan students and communicates with them about new menu items. 

In 2014-15, Stanford earned an A on Peta2's Vegan Report Card and is currently in contention for Peta2's Favorite Vegan-Friendly College Contest, with a 96% student satisfaction rating.

In addition, R&DE runs free cooking classes for students throughout the year, including vegan classes. Finally, R&DE Stanford Hospitality and Auxiliaries has vegan and vegetarian options in all cafes, catering operations, and concessions on campus. All R&DE dining facilities are open to all members of the campus community and their guests.
","R&DE is committed to reducing the impact of our animal-derived food purchases. We also strive to constantly improve our Sustainable Food Program and continue to minimize our impact on the environment and purchase more humane options.

One of the main principles of the Menus of Change program is to reduce animal proteins and increase plant proteins. Our chefs have been using these principles in menu development, including creating a burger that replaces half of the beef with mushrooms (this is our standard burger in the dining halls). A few years ago, we reduced the number of meat options at each meal from two to one. This year, we removed the daily grill option (chicken, burgers, and hot dogs), and replaced it a few days a week with a plated vegetarian and meat dish that does not focus on meat. 

R&DE partnered with the Stanford Design School and Stanford Medical School to run a study in the dining halls to determine how to get students to reduce meat consumption. We have taken the results from those studies and incorporated them in both the designs of our dining halls and our Performance Dining signage. Additionally, we design our menu to have plenty of delicious entrees
and sides that do not have or do not focus on meat as the center of the plate. 

R&DE Stanford Dining has standards for sustainable animal products (these are products that we always purchase, with no exceptions) including: organic, grass-fed and local milk from Straus Creamery; grass-fed, antibiotic-free beef; antibiotic free and humanely raised pork butt from Niman Ranch, wild Alaskan salmon from Taku River Reds fishery, Monterey Bay Aquarium Seafood Watch approved seafood, antibiotic free chicken, and cage-free eggs. 

R&DE Stanford Hospitality and Auxiliaries buys grass-fed beef from Bartels Farm, Marin Sun Farms, and Painted Hills Natural Beef, local, cage free eggs from Glaum Egg Ranch in Santa Cruz County, seafood approved by Monterey Bay Aquarium’s Seafood Watch and NOAA Fishwatch, and local, free range chickens from Mary’s Chicken and Petaluma Poultry.  The newly opened Forbes Family Café focuses on vegetarian, vegan, and flexetarian menu options.
",https://rde.stanford.edu/dining/vegetarian-vegan-dining,--,--,--,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:49:35,malichte@esf.edu,2.0,Pursuing,16.0,"This included a complete review of all purchases at the main campus dining hall in Syracuse, Trailhead Café (it does not currently include smaller dining halls at the College's satellite campuses). More details are in the attached file (02/15/2016).",True,True,True,Vegan and vegetarian options are offered every day. Items are clearly identified on daily menus for students to see. ,"- 100% of beef and 70% of all pork is from grass fed cows from Gouverneur, NY",--,308400.0,16049.0,14189.0,"With help from: Diana Johnson, Trailhead Dining Director.

ESF's Trailhead Café opened to the public on March 26, 2013. It is a collaborative venture between ESF and Morrisville State College (operated by the Morrisville Auxiliary Corporation (MAC) through an ESF Auxiliary Services Division). The kitchen is outfitted with equipment that meets LEED Platinum certification requirements, as it is situated within ESF's Gateway Center, certified  LEED Platinum (2014). 

Media: see http://dailyorange.com/2013/03/callaghan-esfs-trailhead-cafe-supplies-students-with-local-organic-options/ "
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:55,Beth.Klein@cortland.edu,2.0,Pursuing,95.0,None at this time.   Assembled information based on invoices obtainable at this time.,True,True,True,Vegan options are available in all Campus dining facilities.,"Emphasizing healthier dining which includes more whole grains, fruits and vegetables - reduction in animal proteins.  Vegan/Vegetarian stations and more soy based products.  ",http://cortlandasc.com/menus/,4187500.0,1986172.0,100000.0,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:20,dezarn@geneseo.edu,2.0,Pursuing,20.0,"Approximation. Currently, our systems don’t enable us to separate out and track expenditures on animal products",True,True,True,"Each of our eight restaurants and cafes across campus as well as our food truck offer at least one hot vegan entree at every meal.  Many of our restaurants offer made to order options or offerings that are highly customizable allowing students to choose create a variety of delicious vegan meals.  These stations include but are not limited to pasta sautes, hand tossed salads, stir-fry, sandwiches and grill items.  Non-meat protein options in these areas include Gardein, tofu, beans, portabella and hummus.  Two of our restaurants have vegetarian/vegan stations or complete vegetarian/vegan kitchens that provide foods tailored to students following this lifestyle.  
Vegan and vegetarian lifestyles are promoted throughout the restaurants by dining services.  Nutrition and Wellness boards are present in all restaurants that provide a key for the nutrition icons (including the vegan VG symbol and the vegetarian VT symbol), the nutritionist's name and contact information, and tips for how to eat healthy on campus including how to eat healthy within a vegan lifestyle.  Vegan and vegetarian lifestyles are also promoted from a sustainability standpoint.  Information from the Environmental Working Group is posted in the restaurants, showing the link between eating less meat and cheese and an improvement in health as well as a reduction in environmental impact.  
In addition to this, our full-time on-staff nutritionist meets with a group of vegan and vegetarian students at least once a semester to discuss their specific needs and issues.  These forums provide a lot of insight into the needs, wants and concerns of our vegan and vegetarian students and allows an open channel of communication.  
SUNY Geneseo also received an “A” from PETA on their Vegan Report Card.
","Another effort that has been made by dining services to reduce the impact of its animal-derived food purchases is to alter its recipes to be naturally vegan or vegetarian.  The nutritionist works with the culinary team when creating menus, and offers suggestions on how to replace bases, stocks, and other ingredients that traditionally contain animal-derived products with vegetarian and vegan alternatives.  The chefs incorporate these changes into their menus, allowing for a greater variety of naturally vegetarian and vegan options.  
Another effort involves focusing more on customizable, made-to-order menu items.  In addition to creating greater customer satisfaction by having each dish individually and freshly prepared to the student’s specifications, the pricing of the made-to-order dishes varies depending upon the protein chosen, with vegetarian proteins costing less than animal proteins, causing a financial incentive for students to choose a vegan or vegetarian option.  

The website URL where information about the vegan dining program is available:
http://www.geneseo.edu/cas/vegan-vegetarian



",http://www.geneseo.edu/cas/vegan-vegetarian,3400000.0,--,--,Rebecca Stewart
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:16,mittenl@newpaltz.edu,2.0,Pursuing,100.0,"SUNY New Paltz has not yet conducted this analysis, but is seeking other points in this section.  Because this is a required field, we assumed that 100% of our food purchases are comprised of conventionally produced animal products.",True,True,True,"Hasbrouck Dining Hall is accessible to all students and staff on campus and has a vegan station called the ""Wild Mushroom"", which is 100% vegan and is operational during all open hours at the dining hall. All of the vegan and vegetarian food options in Hasbrouck, both at the ""Wild Mushroom"" and elsewhere, are labeled accordingly. At lunch and dinner there are complete protein options - brown rice is always available, hummus is always available, and the hot entrees almost always involve beans and/or tofu. In addition, there are always different kinds of beans and tofu available on the salad bar.  There is also a vegan soup daily, which varies and is always labeled accordingly.  Three different vegan salads are offered on a daily basis at the Wild Mushroom station.  These salads are often whole grain based salads (quinoa, barley, brown rice, etc), or bean-based salads.  Veggie burgers are available by request and the chef has been working on a homemade version.  There are sunflower seeds on the salad bar and peanut butter for sandwiches, bagels, fruits etc.  For breakfast there is oatmeal and/or cream of wheat, whole grain bread, English muffins, bagels, cereals, and fruits. ",,--,--,--,--,"SUNY New Paltz is committed to serving students with dietary restrictions and has been recognized by PETA for its efforts.  SUNY New Paltz ranks among the top Universities with respect to vegan food options.  (See http://www.peta2.com/feature/vegan-college-ranking/college/suny-new-paltz/ for info).  SUNY New Paltz earned a 100% student satisfactory rate because dining services offers at least one vegan entrée at every meal that comes complete with dietary labels.  Vegan, vegetarian, and gluten free options are available at every location including The Wild Mushroom in Hasbrouck Dining Hall and Café Spice in the Student Union Building."
