Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of employees,"Number of staff and faculty covered by sustainable compensation standards, guidelines, or policies; ...",Does the institution have employees of contractors working on-site as part of regular and ongoing ...,Number of employees of contractors working on campus,"Number of employees of contractors covered by sustainable compensation standards, guidelines, or ...","A brief description of the sustainable compensation standards, guidelines, or policies; and/or ...",Does the institution wish to pursue Part 2 of this credit (assessing employee compensation)?,Number of staff and faculty that receive sustainable compensation,Number of employees of contractors that receive sustainable compensation,A brief description of the standard(s) against which compensation was assessed,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,A brief description of the compensation (wages and benefits) provided to the institution’s lowest ...,The local legal minimum hourly wage for regular employees,"Does the institution have an on-site child care facility, partner with a local facility, and/or ...",Does the institution offer a socially responsible investment option for retirement plans?,The website URL where information about the institution’s sustainable compensation policies and ...,Public Notes
Simon Fraser University,2016-02-08,2016-02-08 23:41:39,erica_lay@sfu.ca,2.0,Pursuing,4942.0,4942.0,True,19.0,--,"All employees are either unionized (APSA, CUPE, Poly Party, TSSU, Faculty) or members of an association which negotiates, with the University, terms and conditions of employment from their members.  On May 15, 2014, the Faculty and Librarians Voted to approve certification as a Union.",True,4942.0,19.0,"Compensation was assessed based on the updated Living Wage For Families Canada, First Call and the Canadian Centre for Policy Alternatives 2014 Report, which sites $20.10/ hour as the living wage for people in the lower mainland. The report can be found here: 
https://www.policyalternatives.ca/sites/default/files/uploads/publications/BC%20Office/2014/04/CCPA-BC_Living_Wage_Update_2014_revJul15.pdf
Alternatively, the report can be accessed through this webpage: https://www.policyalternatives.ca/livingwage2014
Calculations for a Living Wage are outlined in the Living Wage Framework: http://www.livingwagecanada.ca/files/7813/8243/8036/living_wage_full_document.pdf
https://www.policyalternatives.ca/newsroom/news-releases/2013-living-wage-calculation-costs-raising-family-metro-vancouver-rising-fast","The Canadian Union of Public Employees (CUPE) Salary Scale can be found here:
http://www.sfu.ca/content/dam/sfu/human-resources/forms-documents/SalaryScales/CUPE%20Local%203338%20Salary%20Schedule.pdf
 
APSA Salary Scales can be found here: http://www.sfu.ca/content/dam/sfu/human-resources/forms-documents/SalaryScales/APSA%20Salary%20Scales%20Annual.pdf
 
Details on benefits for CUPE employees can be found here:
http://www.sfu.ca/human-resources/cupe/benefits/cupe-benefits-summary.html

Details on benefits for APSA (Continuing and Temporary) employees can be found here:
http://www.sfu.ca/human-resources/apsa/benefits/summary-continuing.html
http://www.sfu.ca/human-resources/apsa/benefits/summary-temp.html
 
Details on benefits for TSSU employees can be found here: 
http://www.sfu.ca/content/dam/sfu/human-resources/forms-documents/forms/TSSU/TSSU%20Benefit%20Summary.pdf","The compensation provided to the institution's lowest paid regular, part-time employees would be to lifeguards and student equipment operators in the gym that would receive less than than $19.14/hr. The student equipment operators for example are members of the Poly Party and may work a few hours a week setting up and tearing down equipment in the gym, particularly for sporting events on the weekends.",Compensation as above.,"The salary scale for Sessional Lecturers can be found here: http://www.sfu.ca/content/dam/sfu/policies/files/academic_policies/20_series/JUL_2013%20Sessional%20Lecturers.pdf

Details on benefits for Faculty Association of Simon Fraser University (SFUFA) employees can be found here: http://www.sfufa.ca/salaries-and-economic-benefits/benefits/",Lowest paid student employees are lifeguards and student equipment operators in the gym.  The Lifeguard Wage Scale can be found here: http://www.sfu.ca/content/dam/sfu/human-resources/forms-documents/SalaryScales/CUPE%20Local%203338%20Salary%20Schedule%20Lifeguards.pdf,10.25,True,--,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:49,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:28:55,dweisbor@smith.edu,2.0,Pursuing,1299.0,1299.0,--,--,--,"Our sustainable compensation standard is based on both market rates and employee performance, and includes the following principles:
-          We maintain internal equality wherein employees are paid similarly for similar work, and in consideration of their relative education or experience..
-          We maintain external competitiveness by comparing the salaries of benchmarked jobs against our labor markets.
-          Our merit increases are linked with standardized guidelines for assessing job performance, and local, regional, and national markets, and to the organizational values of competencies of Smith College.
",True,1040.0,--,"Our analysis indicates that our salary standards ensure employees are paid well over an appropriate poverty guideline.  The institution’s lowest paid regular, full-time employees earned $31,327 in fiscal year 2014.  This is over %125 of the low-income cut-off for a family of four, according to the 2015 Federal Poverty Guidelines.

In addition to their regular earnings, Smith College employees receive a wide range of benefits, including comprehensive health care plans, tuition assistance benefits, and generous retirement contributions.  These benefits are considered highly competitive with local, regional and national job markets.   We periodically survey our benefits for their competitiveness in the higher education marketplace.
","$31,327 annual","$18,274 annual",$12.00/hour,"$6,775 rate per contract","$9.00 per hour up to a maximum of $2,250",9.0,True,True,http://www.smith.edu/hr/handbook_301.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:22,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:39,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,http://policies.siu.edu/personnel_policies/chapter5/comprang.html; http://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=2405&ChapterID=68; http://www.sucss.illinois.gov/documents/srr.pdf
Southern Oregon University,2016-03-23,2016-03-23 15:38:19,beigelcod@sou.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:26,aefrazier@spelman.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:35,goldsmit@stjohns.edu,2.0,Pursuing,1981.0,1981.0,True,200.0,200.0,"The Human Resources Policy Manual States:

""St. John’s University is committed to attracting, motivating and retaining qualified employees through its compensation programs. These programs are designed to evaluate appropriate compensation levels for jobs, encourage growth, and reward those individuals who support and fulfill the University’s Mission. To ensure our commitment to our employees, we continue to design and support competitive pay, performance-based increases, recognition programs and career development. The University complies with all applicable federal and state laws governing the compensation of employees, and administers its compensation programs and pay decisions in accordance with such.""

Source: http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-301-compensation-policy",True,1981.0,200.0,"The Human Resources Policy Manual States:

""Job evaluation determines the grade level for a particular position. In addition to job evaluation, an employee’s pay is influenced by external labor markets, comparisons with other internal positions, employee performance, and the availability of the University’s financial resources. Starting salaries for new employees and employees receiving a promotion are determined by the hiring manager, using the hiring salary range as a guideline, analyzing the candidate’s qualifications, related job experience and salary history. Starting salaries are influenced by comparisons with other internal positions and the desire to offer externally competitive salaries contingent upon available funding. Any salary offers being considered which are not within the hiring salary range must be reviewed and approved by the Compensation Unit in the Office of Human Resources. In addition, the Compensation Unit must review all promotions to ensure promotional salary is within the approved salary range. (For the University’s policy on Employee Promotions and required approvals, refer to policy #123, located in the Employment section.)""

Compensation standards can be found via the link :http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-301-compensation-policy","The Human Resouce Policy Manual States:

""The current rate payable to administrators/staff who teach is 1/36 of the base salary per course credit with a cap of $1,500 per credit and $4,500 per course. Effective with the Fall 2012 semester, administrators/staff who teach the “Discover New York” course during their normal working hours as defined by Item #2 above will receive a stipend of $2,250; those who teach “Discover New York” before or after their normal working hours shall be compensated at the rate of 1/12 of their base salary to a maximum of $4,500. Administrators and staff who teach “Discover New York” for the first time will receive an additional $1,000 development stipend. Part-time staff and administrators who teach are paid at the appropriate Adjunct rate.
Administrators/staff shall not be given approval to teach more than one course, but if, in the rarest of circumstances, a second course is taught there will be no remuneration for the teaching assignment.""

Further compensation standards for both full and part time employees can be found via the link :http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-301-compensation-policy and http://www.stjohns.edu/about/administrative-offices/human-resources/employee-benefits",Compensation standards for both full and part time employees can be found via the link :http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-301-compensation-policy and http://www.stjohns.edu/about/administrative-offices/human-resources/employee-benefits,"Human Resource Policy Manual States:

""Temporary employees should be paid at a rate consistent with the pay for regular employees who perform similar work. Temporary employees are not eligible for any University-sponsored employee benefits, and receive only such benefits as are provided for by law. Due to the temporary nature of work assignments and fluctuating needs of a department, temporary employees are subject to termination at any time.""

Source: http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-112-temporary-employment","Human Resource Policy Manual States:

""Temporary employees should be paid at a rate consistent with the pay for regular employees who perform similar work. Temporary employees are not eligible for any University-sponsored employee benefits, and receive only such benefits as are provided for by law. Due to the temporary nature of work assignments and fluctuating needs of a department, temporary employees are subject to termination at any time.""

Source: http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-112-temporary-employment","Human Resource Policy Manual States:

""Regular student employees are paid with funds that come directly from the employing department’s budget. College Work-Study students are federally funded and receive a specific Work-Study allocation to indicate the total wages they are allowed toearn during the academic year. This individual yearly allocation cannot be exceeded. The duration of a Work-Study student’s employment varies based on the student’s needdetermined work-study allocation or the end of the academic year, which ever comes first. The supervisor of a college Work-Study student, and the student him/herself, should monitor the balance in the grant agreement regularly to ensure uninterrupted employment to the department. In addition, the Office of Student Financial Services forwards monthly reports to the budget managers so that the department can monitor the monies associated with the grant agreement. The student’s employment will cease once federal Work-Study monies are depleted, unless the department has funds in the budget to pay for the student’s continued employment.""

 Source: http://www.stjohns.edu/about/administrative-offices/human-resources/hr-policy-manual/policy-111-student-employment",--,--,True,http://www.stjohns.edu/about/administrative-offices/human-resources/employee-compensation,--
Stanford University,2016-03-23,2016-03-23 01:12:01,mbhafer@stanford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Note 001: Sustainable Compensation at Stanford
Stanford University enacts a sustainable compensation policy for all of the institution’s employees and for employees of contractors who work on campus (described in more detail below). Additionally, all of Stanford’s faculty and staff receive sustainable compensation, which is reviewed on an annual basis. Contractors who meet Stanford's living wage criteria/applicability must also follow the living wage guidelines and policies. The applicability is described online:
http://www.stanford.edu/group/fms/fingate/suppliers/dobusiness/policy_living_wage.html
However, due to shortcomings in the STARS reporting tool, Stanford is not able to earn points for this credit because the university does not centrally track the number of employees of contractors working on campus. Every school/unit could have contractors working on campus at any given time. Because there is no uniform methodology to quantify employees of contractors in Stanford's various departments, the university has been forced to not pursue this credit. In this situation, the absolute requirements of the STARS reporting tool have precluded Stanford from realizing any recognition for its sustainable compensation guidelines and practices. For more information on sustainable compensation at Stanford, please see below.

Note 002: Details on Stanford’s sustainable compensation guidelines and practices
Stanford’s staff compensation philosophy notes:
Stanford University is committed to providing a fair and competitive staff compensation program that will attract, retain and motivate high-performing employees at all levels. The university is also committed to providing a competitive total staff compensation package tied to the application of knowledge and skills, the attainment of individual and group results, and the achievement of organizational goals.  In addition, we recognize that a sound compensation program must comply with all State and Federal laws and regulations governing pay.
The staff compensation program is designed to advance Stanford’s ability to attract and retain top talent and provide maximum flexibility to managers in making compensation decisions that reward performance.  No distinction is made whether an employee is part-time or full-time status.  Lowest paid employees are evaluated to ensure they are not paid below the living wage’s hourly rate. This review is done annually and adjustments are made accordingly if needed.
Stanford University annually assesses its wage and benefits programs for staff and faculty/academic employees using market-based surveys. Stanford’s compensation programs are annually assessed against other higher education institutions, general economic conditions, local pay practices and competitive market survey data as applicable. The university leadership reviews and recommends any adjustments that are to be made to the organizational pay structures and to base pay.  All faculty salaries are approved by the Dean of the School and the Provost.  Salary increases are annually reviewed and are based on performance, applicable compensation policies and budgetary considerations. The two applicable collective bargaining agreements at Stanford are based on negotiations with the respective unions and reflect local competitive pay practices.  
Additionally, since September 1, 2007, Stanford University has recognized the importance of paying a living wage to all service workers at Stanford, whether they are directly employed by Stanford or by contractors.  This consideration is included in the annual staff pay analysis and is reflected in the terms and conditions applicable to vendors doing business with Stanford. Through these guidelines, Stanford seeks to establish minimum pay, access to healthcare benefits, and compensated time off for service workers. These guidelines are not intended to prevent contractors from providing wages and benefits in excess of the minimums created here.
Based on the recommendations of the 2005 Stanford Presidential Advisory Committee on Workplace Policies, University Compensation developed a new classification and pay system for non-academic temporary and casual jobs. The Temporary and Casual (Non-Academic) Employee Compensation System is modeled on the compensation system used for regular staff employees.  The minimum wages are also reviewed annually in keeping with the regular staff employee compensation practices and incorporate the university’s living wage analysis that is utilized for contractors.  Wages are calculated to provide for a higher rate since no benefits are provided to this classification of employee.
Lastly, Stanford maintains an Undergraduate Wage Scale in accordance with the guidelines set forth in Section 24 of Stanford’s Administrative Guide. In keeping with the University’s general budget plan, the recommended wage rates have been increased by approximately 2% from 2012-2013 levels. The rate paid for a specific position should be in accordance with the skills and experience needed to perform the job. The minimum suggested wage is $12.85 per hour for Level 1 undergraduate employees.
For website URLs, please refer to the following:
Staff:
https://adminguide.stanford.edu/chapter-2/subchapter-1/policy-2-1-5
Faculty:
http://facultyhandbook.stanford.edu/ch5.html#appr
Students:
http://www.stanford.edu/dept/finaid/aid/employ/wage_scale.html 
Contractors:
http://www.stanford.edu/group/fms/fingate/suppliers/dobusiness/policy_living_wage.html
"
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:49:16,malichte@esf.edu,2.0,Pursuing,537.0,400.0,True,20.0,20.0,"NUMBERS ABOVE are ESTIMATED ONLY, for now, to preview points. 

The following employees / contractors are covered by collective bargaining agreements:
- Faculty and staff of the United University Professions (UUP)
- Staff of the Civil Service Employees Association (CSEA)
- Graduate Assistants / Teaching Assistants of the Graduate Student Employee Union (GSEU)
",--,--,--,,,,,,,--,True,--,--,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:51,Beth.Klein@cortland.edu,2.0,Pursuing,1432.0,1364.0,True,143.0,143.0,"The majority of employees are considered as part of unions, the classified staff are CSEA, the professional staff and Faculties are UUP, and PEF.  The University Police Staff are PBANYS. The upper administration are Management Confidential(MC).  
The Auxiliary Services Corp. staff who service The Book store and Dining  facilities are also unionized.  ",True,1364.0,143.0,"We have different levels of employees with various bargaining units representing  each group.  The bargaining unit sets the minimum compensation standard and then it is up to the institution to set a specific rate of compensation.  In no case can the institution go below the bargaining unit agreement. In all cases, SUNY Cortland goes above and beyond the minimum requirements of each bargaining unit.  Below is an outline of SUNY Cortland’s approach to complying with a Sustainable Compensation standard in the following ways: 
The classified staff consists of employees in the CSEA, NYSCOPBA, PEF, and PBANYS bargaining units.  Salaries and salary increases for these employees are set by the bargaining unit agreement which establishes the campus’ formal compensation standard or threshold.  A Living Wage Standard is included in the agreement.  
The unclassified service consists of faculty, professionals, management/confidential, and graduate assistants. 
Faculty – we conduct a regression analysis each year of our full-time faculty salaries, comparing their salaries with entry Assistant Professors within the specific discipline based on CUPA data.  Years of service and time in rank are also part of the analysis which then results in a predicted salary for each faculty member.  When possible, money was set aside from discretionary pools to correct inequities.
Professionals and Management/Confidential – SUNY System has a schedule of salary ranges assigned to each salary level within the professional staff and within the management/confidential levels.  In addition to that, about eight years ago SUNY Cortland established a compensation plan within those ranges with the help of a consultant, Astron Corporation.   Using position descriptions and salary surveys, positions were placed in job groups and years in title were used to establish predicted salaries.  When possible, money was set aside discretionary pools to correct inequities.   In 2014, we contracted with a new consultant, HR Performance Solutions, to again analyze our positions using position descriptions and salary surveys.  The national index, SUNY peer institute and job description were the basis for this comparison.
Graduate Assistants – In the Fall of 2014, minimum and maximum salaries were established for campus Graduate Assistants.
","$12.83 per hour/$26,700 annual.  With Health, Dental and vision insurance, Retirement, vacation, sick and personal leave. Tuition assistance, AD&D, etc.","$12.83 per hour, and if greater than 50% FTE, full benefits, if less than 50% then no health, dental or medical, but may accrue vacation, sick and personal leave","$12.83 per hour, no benefits","Equivalent of $2615 per semester for a 3 credit hour course,  retirement and sick leave eligibility.  Must teach 2 course to be eligible for health ","$8.75/hr, no benefits.",8.75,True,True,--,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:05,dezarn@geneseo.edu,2.0,Pursuing,742.0,742.0,--,--,--,All non-exempt employees are members of a union and are covered by collective bargaining agreement between their union and the State of New York.  (Students excluded),True,658.0,--," The living wage for Livingston County NY is   $16.90/hour for family of 4, 2adults 2 children.",These are entry level positions with a union-negotiated starting wage. ,Regular Part time employees are covered under CBA,Non- regular temporary employees are paid in accordance with the starting wage for the similar unionized position.,Salaries for adjuncts and contingents are covered under CBA,Non- regular temporary employees (including students) are paid in accordance with the starting wage for the similar unionized position.,8.0,--,True,--,Kim Truax
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:12,mittenl@newpaltz.edu,2.0,Pursuing,1465.0,1414.0,True,169.0,135.0,"The following employees on campus are not covered by collective bargaining agreements:
- Management Confidential employees (51 people)
- Campus Auxiliary Services employees (11 people)
- Supervisory / Management staff of Sodexo (23 people)

The following employees / contractors are covered by collective bargaining agreements:
- Faculty and staff of the United University Professions (UUP)
- Staff of the Civil Service Employees Association (CSEA)
- Graduate Assistants / Teaching Assistants of the Graduate Student Employee Union (GSEU)
- Non-management / non-supervisory staff of Sodexo (CSEA)

For information about CSEA, visit https://cseany.org/
For information about UUP, visit http://uupinfo.org/
For more information about GSEU, visit http://www.cwa1104gseu.com/",--,--,--,,,,,,,--,True,--,--,"Student employees of SUNY New Paltz, Campus Auxiliary Services, and Sodexo are excluded from this calculation."
Sterling College,2016-01-28,2016-01-28 10:04:12,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,61.0,61.0,--,--,--,"Sterling College does not have formally adopted guidelines or policies, but has recently raised staff pay and benefits. Wages and pay are constantly revised to provide the best work environment for employees. ",--,--,--,,,,,,,--,--,True,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:20:50,gotham360@stevens.edu,2.0,Pursuing,1255.0,982.0,True,41.0,--,"The following text was drawn from the SIT Statement on Compensation Philosophy:

Compensation packages must encourage recruitment and retention of outstanding faculty, staff and administrators. Stevens should be prepared to pay appropriately for outstanding individuals who add to the intellectual vibrancy of our campus and help to propel the University to higher levels of achievement.

The goal for Stevens is to have an average Total Cash Compensation of faculty [and staff] in the 50th to 60th percentile range of a peer group of comparable national universities as carefully selected by an independent compensation consulting firm. As an alternative, the average base salary of faculty [and staff] should be in the 50th to 60th percentile range of the peer group. It is expected that there may be significant variability in the compensation of individual faculty members based on one’s stature in the profession, excellence and productivity in teaching, research and service, as well as length of service to the University and profession. In recruiting new faculty members, every effort will be made to ensure the compensation packages are competitive relative to those at institutions we compete with.

The objectives stated ... above should be reviewed and, if necessary, revised at least once every three years. As the overall stature and productivity of Stevens improves, either (i) the peer group should be reviewed so that Stevens remains within the middle of the peer group in terms of its stature and ranking, or (ii) the expected average base salary and/or Total Cash Compensation should be increased to a level higher that the current suggested 50th to 60th percentile range of the peer group.",True,845.0,--,Employee compensation was assessed against 120 percent of the national poverty guideline for a family of four.,N/A,N/A,N/A,N/A,N/A,8.38,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:32:43,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:06,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:46,kwellman@tamu.edu,2.0,Pursuing,7549.0,7549.0,True,1600.0,1600.0,"Texas A&M University strives to ensure that employees receive sustainable compensation through compensation administration and actions taken to demonstrate support of its lowest-paid employees. There are no collective bargaining agreements at Texas A&M. All requests for newly-created and reclassified staff positions are reviewed in Human Resources for appropriate compensation levels compared with the local or relevant market. All equity requests for staff positions are reviewed by Human Resources. In addition, Texas A&M implemented mandatory pay increases for our lowest-paid workers in 2008 ($.21 per hour increase for employees earning $16.12 per hour or less), in 2010 ($.29 per hour increase for employees earning $11.97 per hour or less) and 2011 ($.29 per hour increase for employees earning $16.53 per hour or less). A project related to compensation practices has been initiated to establish standardized classifications for all Texas A&M System institutions, which will provide the opportunity for further review of pay compared with the external market. These processes, past mandatory increases and the current project further demonstrate commitment to sustainable compensation.",True,7549.0,1600.0,"The minimum pay rates for titles in the Classified Personnel Pay Plan were last reviewed for comparability with relevant markets in 2009. The current lowest minimum hourly rate for Classified Pay Plan positions is $8.58, a 39% increase from 2005 to 2009. This rate is 18% above the current federal minimum wage of $7.25 per hour. Special studies for other titles and career ladders have also been completed as needed for positions that showed a need for special attention to remain competitive in hiring and retention, with rates being raised to match the external market rates.","The current lowest hourly rate for a full-time, benefits-eligible employee is $8.58 per hour. Texas A&M University provides a benefits package to benefits-eligible employees that includes at least 30% additional value in indirect compensation. Benefit programs are in compliance with the Affordable Care Act.","The current lowest hourly rate for a part-time, benefits-eligible employee is $9.00. Texas A&M University provides a benefits package to benefits-eligible employees that includes at least 30% additional value in indirect compensation. Benefit programs are in compliance with the Affordable Care Act.","The lowest actual pay rate for a part-time, non-benefits eligible staff employee is $7.25 per hour.","The lowest actual pay rate for a part-time adjunct faculty is $1,800 for a three-month appointment. Texas A&M University provides a benefits package to benefits-eligible employees that includes at least 30% additional value in indirect compensation. Benefit programs are in compliance with the Affordable Care Act.",The lowest actual pay rate for a student employee is $7.25 per hour.,7.25,True,True,http://employees.tamu.edu/compensation/,--
Texas Tech University,2016-03-25,2016-03-25 15:46:34,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:46,dial.15@osu.edu,2.0,Pursuing,31069.0,31069.0,True,350.0,350.0,"The Ohio State University establishes compensation rates primarily by relevant competitive labor markets, the impact of the position or team on the mission of the unit, and available funding. The university ensures compliance with the guidelines set forth by the Fair Labor Standards Act, which establishes minimum wage, overtime pay, and recordkeeping laws. Also, the university pays at or above the Ohio minimum wage of $8.10/hour, which exceeds the current Federal minimum wage of $7.25/hour.",True,31069.0,350.0,"The Ohio State University believes that competitive pay is a key element in recruiting, retaining, and rewarding the type of employees that are needed to fulfill the University’s mission. Our goal is to pay competitive salaries by using systems that are clearly communicated to employees and readily administered by managers.

In order to fulfill its mission, The Ohio State University must attract and retain an outstanding staff. To meet institutional staffing needs and priorities, the compensation system established in support of this goal includes the following objectives:
1. To establish compensation levels for positions on the basis of their relative internal worth and external competitiveness within relevant labor markets;
2. To reward employees on the basis of work performance;
3. To administer pay equitably and consistently;
4. To establish a compensation policy that is consistent with the judicious expenditures of funds entrusted to the University; and
5. To ensure accountability for compliance with The Ohio State University Board of Regents Rules and Regulations and statutory requirements.
","All Ohio State University employees are compensated at or above the Ohio minimum wage of $8.10 per hour. In addition, they are eligible for a variety of benefits which can be found at hr.osu.edu/benefits.","All Ohio State University employees are compensated at or above the Ohio minimum wage of $8.10 per hour. In addition, they are eligible for a variety of benefits which can be found at hr.osu.edu/benefits/.","All Ohio State University employees are compensated at or above the Ohio minimum wage of $8.10 per hour. In addition, they are eligible for a variety of benefits which can be found at hr.osu.edu/benefits/.","All Ohio State University adjunct faculty are compensated at or above the amount of $1,000 per credit hour taught. In addition, they are eligible for a variety of benefits which can be found athr.osu.edu/benefits/. ","The Ohio State University establishes a minimum stipend for Graduate Assistants. The current minimum stipend is $13,500 for a nine-month 50% GA appointment or $1,500 per month. In addition, Graduate Assistants are eligible for student health insurance, retirement options, and workers’ compensation.",8.1,True,True,http://hr.osu.edu/comp/,--
Tufts University,2016-02-25,2016-02-25 15:40:21,tina.woolston@tufts.edu,2.0,Pursuing,4746.0,124.0,True,200.0,200.0,"The collective  bargaining agreements are between the custodial contractor (DTZ) and their employees. Parties interested in learning details would need to contact the SEIU 32BJ (http://www.seiu32bj.org/districts/new-england-615/). Tufts does encourage our contractors to make sure that all working conditions are comparable to what Tufts own employees experience to the best of our ability and we do know that no-one was paid an hourly rate that would result in a full time custodian earning less than 120% of the federal poverty rate for a family of 4. Custodial personnel share the same holidays and bonus days off, for example, as our staff, and we have in our custodial contract provisos for the company to purchase cleaning products that are green and good value to the optimal extent possible. ",True,3957.0,200.0,Compared to 120% of the 2014 federal poverty rate for a family of 4.,"Hourly Rate:  11.07 + Benefits 3.27 (fringe rate)
Non-exempt position, benefits eligible","Hourly Rate:  12.75 + Benefits 3.76 (fringe rate)
Non-exempt position, benefits eligible",Hourly Rate:  8.00 (increased to 9.00 effective 1/1/15 – not during Fiscal Year 2014),"Semi-Monthly:  125.00
Non-benefit eligible Part Time Clinical Assistant Prof who works one hour a week (0.03 FTE)
","Undergraduate Hourly Rate:  8.00 (in January 2015, rate was changed to $9/hr)
Graduate Semi-monthly rate:  125.00
",8.0,True,True,--,"Please note that the ""Number of employees of contractors working on campus"" and ""Number of employees of contractors covered by sustainable compensation standards, guidelines, or policies and/or collective bargaining agreements"" are approximate.

In January 2015, the MA minimum wage was raised to $9/hr. The minimum wages listed here are based on a reporting period of 2011-2014. "
Tulane University,2016-02-04,2016-02-04 11:03:50,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"http://tulane.edu/wfmo/benefits/open-enrollment.cfm
"
Unity College,2016-03-25,2016-03-25 15:23:54,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
