Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED for Existing Buildings or another ...,"Does the institution have any building space certified under the DGNB system, Green Star ...","Does the institution have any building space certified under BREEAM-In Use, CASBEE for Existing ...",Does the institution have any building space certified under other non-GBC rating systems (e.g. ...,A brief description of the green building rating system(s) used and/or a list or sample of ...,Total floor area of eligible building space (operations and maintenance),Floor area of building space that is certified at each level under a 4-tier rating system for ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for existing buildings,Floor area that is certified at the highest achievable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for existing buildings,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for existing ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that is maintained in accordance with formally adopted sustainable ...,A copy of the sustainable building operations and maintenance guidelines or policies,The date the guidelines or policies were formally adopted,A brief description of the sustainable building operations and maintenance program and/or a list or ...,A brief description of how the institution ensures compliance with sustainable building operation ...,The website URL where information about the institution’s certified buildings and/or sustainable ...,Public Notes
Southern Connecticut State University,2016-03-24,2016-03-24 14:19:54,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:14,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:37:49,beigelcod@sou.edu,2.0,Pursuing,**,--,--,--,--,,1714112.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,1714112.0,http://stars.aashe.org/media/secure/239/2/32/253/Green%20Purchasing%20Policy.pdf,2010-04-21,"All buildings on the SOU campus are operated and maintained in accordance with sustainable operations and maintenance guidelines and policies.

Art Building
Britt Hall
Campbell Center
Campus Public Safety Building
Cascade Complex
Central Hall
Churchill Hall
Computing Services Center
Cox Hall
Deboer Sculpture Building
Digital Media Center
Education/Psychology Building
Facilities Management and Planning Building
Greensprings Residence Hall Complex
Grounds Maintenance and Motorpool Building
Hannon Library
Hawk Dining Commons (excluded from sq. ft. in this credit, as it is LEED Certified NC)
Madrone Residence Hall
Marion Ady Building
McNeal Pavillion
McLoughlin Hall (excluded from sq. ft. in this credit, as it is LEED Certified NC)
Meyer Fitness Center
Music Building
Plunkett Center
Recycling Center
Schneider Museum
Science Hall
Shasta Hall (excluded from sq. ft. in this credit, as it is LEED Certified NC)
Stevenson Union
Student Health and Wellness Center
Susanne Holmes Residence Hall
Taylor Hall
Theatre Arts Building","When furnaces and air conditioners are replaced, Energy Star-certified equipment is installed. Energy-efficient equipment with the most up-to-date energy efficiency functions is purchased. Incandescent and T-12 fluorescent light sources are phased out and replaced with high efficiency lights. When plumbing fixtures are replaced, high-efficiency fixtures are installed. Only Green Seal-certified cleaning products are purchased. An Integrated Pest Management strategy is utilized in dealing with pest problems. Products with low VOC content are specified when purchasing materials.",http://www.sou.edu/sustainable/action.html,--
Spelman College,2016-02-15,2016-02-15 08:21:21,aefrazier@spelman.edu,2.0,Pursuing,**,--,--,--,--,"USGBC's LEED Rating System
The Suites - LEED Silver 
Laura Spelman Hall - LEED Gold",1072971.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,1072971.0,http://stars.aashe.org/media/secure/616/6/474/2700/Sustainable%20Ops%20Manual.pdf,2008-08-15,The Sustainable Operations Plan was first introduced when the LEED Silver Certified Suites opened in August 2008 and has been adopted campus-wide for ALL Spelman facilities. It includes both policies and procedures. ,"All maintenance, custodial and grounds staff have been trained in the policies and procedures of the plan. ",http://www.spelman.edu/about-us/sustainable-spelman,--
St. John's University,2016-03-02,2016-03-02 16:31:29,goldsmit@stjohns.edu,2.0,Pursuing,**,True,--,--,--,"The D’Angelo  Center and the classrooms in St. John's Hall incorporate district cooling, advanced lighting systems and controls, demand control ventilation, displacement HVAC and other sustainable features and practices.  The D'Angelo Center in LEED Certified.",3027007.0,**,112815.0,--,--,--,**,--,--,--,**,--,--,--,--,--,--,2200000.0,http://stars.aashe.org/media/secure/61/6/474/2700/showcase-campus-facilities-services-2011.pdf,2008-01-01,"Donovan Hall, DaSilva Hall, Hollis Hall, Century Hall, Cardinal John O'Connor Hall, Carey Hall, Montgoris Dining Hall, St. Augustine Hall, St. John Hall, Town Houses, Henley Road Residence, St. Albert Hall, Marillac Hall, Alunmi Hall, Newman Hall, Belson Hall, Finley Hall, Taffner Field House, D'Angelo Center, Sullivan Hall.

Link: http://www.greenreportcard.org/report-card-2011/schools/st-john_s-university.html",In house facilities management team works closely with the Director of Sustainability to monitor and maintain high sustainability standards for on campus bulidings.  Research to  update older buildings with new sustainable technology is being considered. (Example: Investigation of 175 KW solar project for roof of Taffner Field House),http://www.stjohns.edu/campuses/sustainability,"Many of St. John's University environmental stewardship reports can be found in Memorandum of Understanding with EPA Environmental Assessments by viewing the link: http://www.epa.gov/region02/greenteam/pdf/stjohns_epa_environmentalassessment_report_jan2014.pdf
"
Stanford University,2016-03-23,2016-03-23 01:11:31,mbhafer@stanford.edu,2.0,Pursuing,**,True,--,--,--,"Yang & Yamazaki Environment & Energy Building, certified LEED-EBOM Platinum
http://www.usgbc.org/projects/stanfords-yang-yamazaki-environment-energy",14919236.0,**,--,--,--,171000.0,**,--,--,--,**,--,--,--,--,--,--,14748236.0,http://stars.aashe.org/media/secure/293/6/474/2700/Zone%20Management%20Project%20Delivery%20Process.pdf,2002-04-17,"Please see the subsequent questions for complete details. All buildings on campus are operated to LEED-EBOM certified-level equivalent standards. For a complete list of campus buildings, please visit: http://campus-map.stanford.edu/.","At Stanford there are three major groups within the Land, Buildings, and Real Estate organization that work together to ensure sustainable building operation and maintenance: Sustainability and Energy Management (http://lbre.stanford.edu/sem/sem_who_we_are), Zone Management (http://bgm.stanford.edu/groups/zones/index), and Buildings & Grounds Maintenance (http://bgm.stanford.edu/).

The following examples showcase the number of relevant programs that contribute to sustainable building operations and align with LEED-EBOM criteria:

SUSTAINABLE SITES:
http://bgm.stanford.edu/groups/grounds/index
http://transportation.stanford.edu/
http://hcp.stanford.edu/

WATER EFFICIENCY:
http://lbre.stanford.edu/sem/water_efficiency
http://sustainable.stanford.edu/water_initiatives

ENERGY & ATMOSPHERE:
http://sustainable.stanford.edu/energy_initiatives
http://lbre.stanford.edu/sem/energy_services_group
http://bgm.stanford.edu/groups/zones/index

MATERIALS & RESOURCES:
http://bgm.stanford.edu/home_pssi_main
http://www.stanford.edu/group/fms/fingate/staff/buypaying/policy_notes/sustainable_purchase.html
http://www.stanford.edu/dept/rde/cgi-bin/drupal/dining/node/213

INDOOR ENVIRONMENTAL QUALITY:
http://www.stanford.edu/dept/EHS/prod/mainrencon/Guide_Proj_Manag.pdf
http://lbre.stanford.edu/sem/energy_mgmt_systems

While Stanford has not formally pursued LEED-EBOM certification for any buildings where it doesn't align with the department's academic mission, a comprehensive LEED-EBOM (2009) equivalency analysis was completed in 2011/2012. The results of that study confirm universal certified-level equivalency with many buildings operating equivalent to a LEED-EBOM silver, gold, or even platinum performance. Stanford has not gone through the certification process for these buildings because this process has not been deemed compatible with the university's academic mission. In addition, in 2012–13, the Office of Sustainability began to develop a campus-wide sustainability Building Rating System. The vision for this project merges best practices from the LEED for Existing Buildings: Operations and Maintenance (EBOM) rating system with Stanford-specific metrics to tell a more complete story of building performance on campus. In 2015, the rating for each building was packaged into a school-level report card that quantifies sustainability performance for academic departments in six topic areas: energy, water, waste, transportation, purchasing, and occupant engagement. It also provides an action plan on how to improve the department’s sustainability performance using existing campus programs, providing a business case for each one. These school-level report cards were launched in early 2016.

",http://sustainable.stanford.edu/buildings,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:48:46,malichte@esf.edu,2.0,Pursuing,**,--,--,--,--,,1290997.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,"The director of the Physical Plant is currently developing campus policies in regard to sustainable operations and maintenance (impacts on the surrounding site, energy consumption, usage of environmentally preferable materials, indoor environmental quality and water consumption).  We are hoping that these policies will go through the sustainability policy review process later this year."
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:46,Beth.Klein@cortland.edu,2.0,Pursuing,**,True,--,--,--,SUNY Cortland has participated in three LEED-NC projects.  We are in the process of starting up a LEED-EB program for one of the older LEED-NC projects.  ,2435970.0,**,120108.0,--,--,64665.0,**,--,--,--,**,--,--,--,--,--,--,804073.0,http://stars.aashe.org/media/secure/315/6/474/2700/2-27-13%20Memo%20re%20EO88.pdf,2012-12-28,"SUNY Cortland has a sustainable building operations and maintenance program that is governed by Executive Order 88, issued December 28, 2012.  This order directs all state agencies, which SUNY Cortland is part of the SUNY agency, to reduce overall energy use intensity by 20% by 2020 when compared to the 2010-2011 baseline year.  While the use of a specific Green Building Council rating system is not mandated, SUNY Cortland has adopted a policy of designing to a common standard for ALL renovation projects to be LEED - NC BD+C of LEED Silver and for ALL new construction to be LEED - NC BD+C of LEED Silver or better.  ","SUNY Cortland complies with the required guidelines through State University Construction Fund Directives, which are the governing prescriptive and guiding documents for implementation of the Sustainable Building Operation and Maintenance Guidelines.  SUNY Cortland also has an Executive Order 88 compliance committee, which utlimately oversees the implementation of the plan.    ",http://www2.cortland.edu/about/sustainability/About-Sustainability/our-green-campus.dot,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:58:37,dezarn@geneseo.edu,2.0,Pursuing,**,--,--,--,--,None currently undergoing renovation,--,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,None currently being renovated,,--,All new building construction must be LEED Silver compliant.
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:06,mittenl@newpaltz.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Sterling College,2016-01-28,2016-01-28 10:04:06,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,**,--,--,--,--,,57076.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,57076.0,http://stars.aashe.org/media/secure/761/6/474/2700/Building%20Operations%20Program.docx,1990-08-01,"Sterling College has a dedicated mission to environmental stewardship. Because of this, we have guidelines and policies around how are buildings are maintained, operated, and renovated that don't particularly fall into LEED and/or other green building councils. 

The buildings owned and operated by Sterling College are mostly an assortment of traditional and classic New England buildings. Because of this, Sterling puts more value in the energy contained within the living structure. By not pursuing LEED and other certifications, Sterling College not only saves money but also is able to reinvest and bring value back into the buildings. For instance, instead of investing in equipment required by LEED certifications, Sterling will invest in local companies to renovate the building to better standards. If a new building were built from the beginning, a large amount of material would have to be used and processed and shipped for the construction. Instead of this, Sterling renovates existing structures to become Net-Zero buildings, or buildings and structures that produce more energy than they expend. 

Net-zero buildings go beyond LEED and other certifications. Not only do they not cost as much to the community and environment with materials, but the energy that they save also saves the community. Overall, this policy has proved most effective and adheres to Sterling College's mission of environmental stewardship. 

Below is a statement from the 2013-2108 Strategic Plan that includes our mission related to Buildings and Maintenance:

""Sterling College will have well-maintained facilities appropriate to the aspirations of our community, our curriculum, and our values including environmental stewardship. To sustain such a campus will require that the College develop adequate funds to maintain and repair its facilities, equipment, tools, and other physical resources. The campus will be integrated into the community of Craftsbury Common and will present an appealing appearance to our neighbors with whom we will seek to share our resources.

Specifically, the College will endeavor to reduce its reliance on fossil fuels and will commit to increasingly live by its commitment to environmental stewardship.

Goal: To restore and renovate the campus so that all buildings are efficient and attractive and serve the needs of the community and a population of approximately 120 students.""","Sterling College adheres compliance with these principles by purchasing only used buildings and renovating them. In the very rare case of building new buildings, Sterling believes that most resources can be had on campus. For instance, wood harvest by the college forestry crews and classes is then processed and turned into lumber for new buildings. A small shed built in the spring of 2014 is an example of this. All lumber was harvest on site and the building was built on site with almost not outside materials needed. The building may not be LEED certified, but is definitely more environmentally sound than most certified buildings. ",--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:20:22,gotham360@stevens.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:32:14,macadwel@syr.edu,2.0,Pursuing,**,--,--,--,--,,--,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
Temple University,2016-02-09,2016-02-09 14:47:01,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:41,kwellman@tamu.edu,2.0,Pursuing,**,True,--,--,--,"LEED: Interdisciplinary Life Sciences Building (ILSB) – LEED Gold Certified, The Mitchell Physics Building – LEED Silver Certified, Emerging Technologies And Economic Development Interdisciplinary Building (ETED) – LEED Silver Certified, Agricultural Headquarters Building - LEED Silver Certified, Memorial Student Center – Designed to LEED Silver, YMCA - Designed to LEED Silver, Texas A&M Transportation Institute – LEED Gold Certified, Cox-McFerrin Center For Aggie Basketball – Designed to LEED Gold",20930965.0,**,--,1104921.0,355000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/287/6/474/2700/Facility%20Design%20Guidelines.pdf,2011-11-30,"Systems and materials incorporated into all buildings should be selected on the basis of
long term operations and maintenance costs. The design should incorporate ease and
efficiency of operation and allow for easy and cost effective maintenance and repair.
Standardization of equipment, parts, and lamps is also the key to reducing maintenance
costs and allows for stocking of common replacement parts. Sample buildings covered: Interdisciplinary Life Sciences Building, Agricultural Headquarters Building, and the Memorial Student Center. Each building is cleaned and maintained according to commonly accepted sustainability practices, and following these principles improves the buildings performance while enhancing the occupant’s health, satisfaction and personal performance. It is an integrated approach in which all phases of the building life cycle are considered.","The university building operation and maintenance support services are continually refining a comprehensive PM Program. By identifying the critical function requirements of building systems, and prioritizing equipment components for inclusion in PM cycles, we will be able to effectively work on reducing equipment life-cycle uncertainty and complexity and systematize the procedures we use, and the overall approach we take to maintaining healthier and more resource efficient structures on campus.",http://universityarchitect.tamu.edu/home.aspx,"The Campus Master Plan can be found at:
http://campusplan.tamu.edu/pdf/MasterPlanFull.pdf

The majority of the information for this section was supplied by SSC Service Solutions, a third-party contractor for Texas A&M Buildings Maintenance."
Texas Tech University,2016-03-25,2016-03-25 15:46:06,carey.hewett@ttu.edu,2.0,Pursuing,**,True,--,--,--,"Certified LEED Buildings: 
Rawls College of Business - Gold
J.T. & Margaret Talkington Residence Hall - Certified
Petroleum Engineering - Certified

Buildings in the Certification Process:
West Village
Research Park",9549907.4733,**,213571.68,--,147905.9,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,"Utilities usage is monitored on a per-building basis. Building performance is reviewed monthly by the Operations Division Energy Committee. Committee recommendations are forwarded to Building Maintenance and Construction and the Assistant Vice President of Operations.  Janitorial services are performed with biodegradeable supplies.  Wherever possible, repairs and replacements are performed using upgraded or up-rated materials.",http://www.depts.ttu.edu/BMC/index.php,"In 2012 Texas Tech was proud to receive its first LEED certification for the Rawls College of Business.  The certification, Gold, was a tribute to the university's dedication to sustainability as everyday practice.  

In 2013 Texas Tech received its second LEED certification for the J.T. & Margaret Talkington Residence Hall.

Existing buildings are being progressively updated and remodeled as time and funds allow.  Infrastructure is being outfitted with unified monitoring and control systems.  Building systems are being retrofitted or upgraded during when the scheduled maintenance, or when unplanned repairs allow an opportunity.

Both the Facilities Planning and Construction (TTU System) and Building Maintenance and Construction (TTU Academic Campus) divisions have wholeheartedly adopted sustainability as a guiding principle, and adoption which enjoys the full support of senior administrative staff."
The Ohio State University,2016-01-26,2016-01-26 15:46:40,dial.15@osu.edu,2.0,Pursuing,**,--,--,--,--,,24221371.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,24221371.0,http://stars.aashe.org/media/secure/630/6/474/2700/GreenBuildandEnergyPolicy3.10.pdf,2008-07-01,"The Green Build policy portion, pertains only to newly constructed buildings, where as the Energy portion within the same policy pertains to any and all operations across the entire campus.",Energy efficiency and conservation guidelines have been established for state institutions of higher education in response to ORC Sec. 3345.69. The university proposed a 15 year strategic energy plan to comply with these guidelines.The plan provides a five percent increase in construction costs and applicable fees to ensure energy efficient design and compliance with the Green Build and Energy policy requirements. The plan will request resources to conduct energy audits and implement energy conservation measures. The overall goal is a 20 percent reduction in energy consumption using fiscal year 2004 as the baseline. ,http://ap.osu.edu/FileStore/Policies/GreenBuildandEnergy.pdf,--
Tufts University,2016-02-25,2016-02-25 15:40:16,tina.woolston@tufts.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Tulane University,2016-02-04,2016-02-04 11:03:44,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:23:26,JdeHart@unity.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:00,mmallia@albany.edu,2.0,Pursuing,**,--,--,--,--,,5806849.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,5806849.0,http://stars.aashe.org/media/secure/362/6/474/2700/UA-MinEESustainabilityGoals-Final.doc,2010-07-12,"A high performance building guideline was developed by Facilities Management under the direction of their Associate VP and Energy Officer.  This document was approved by the President and was updated in November 2010.  In addition the university developed sustainability guidelines in 2009.  These are available at: http://www.albany.edu/gogreen/1.guiding_principles.shtml
There are several policies associated with operations and maintenance including a green cleaning, heating and cooling temperatures, intersession operations and indoor air quality.  Links to formal policies:
Heating and Cooling temperature set points:http://www.albany.edu/gogreen/files/documents/Buildings%20and%20Operations/TempSetPointPolicy.pdf
Intersession operation:http://www.albany.edu/facilities/intersessionenergy/
Indoor air quality: http://www.albany.edu/gogreen/files/documents/IAQ%20Plan.pdf
Green Cleaning:http://www.albany.edu/facilities/uaGreenCleaning.html
Green Guard certification info:
http://www.albany.edu/facilities/awards.html
http://www.albany.edu/facilities/documents/awards/suny_albany_HHPC.pdf
A copy of the internal recycling guidelines for staff (not available on the web) can be provided upon review.","The Energy Office oversees the major building construction and renovation projects and aligns them with the building guidelines. In addition the energy officer is in charge of overseeing building operation in terms of heating, water and electricity usage and ensuring sustainable practices.  Grounds and Janitorial services work in conjunction to implement our waste and recycling processes.  A guideline document has been made for this staff.  The head janitor conducts training and the office of sustainability has made presentations to grounds staff to discuss recycling and waste procedures and concerns.  Janitorial services also sought out and received a Green Guard certification which not only ensures the purchase of green cleaners and supplies (such as microfiber cloths) but also requires a training and educational program.",http://www.albany.edu/gogreen/4.buildings.shtml,--
University at Buffalo,2016-01-19,2016-01-19 10:15:35,jlk47@buffalo.edu,2.0,Pursuing,**,--,--,--,--,,11186689.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,http://buffalo.edu/sustainability,--
University of Arizona,2016-03-25,2016-03-25 15:30:23,bchampion@email.arizona.edu,2.0,Pursuing,**,--,--,--,--,,14721402.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,14721402.0,http://stars.aashe.org/media/secure/272/6/474/2700/ccp_sustainability.pdf,2011-04-06,The University of Arizona Facilities Management is Green Guard Certified for environmentally friendly custodial practices for all buildings on campus.,UA Facilities Management trains all custodial staff using Green Guard Certified methods.,http://www.fm.arizona.edu/se/sustain-home.html,Updated: February 2016
University of British Columbia,2016-02-22,2016-02-22 18:18:22,charlene.ponto@ubc.ca,2.0,Pursuing,**,--,--,--,--,,15440970.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,15440970.0,http://stars.aashe.org/media/secure/29/6/474/2700/Home%20-%20UBC%20Technical%20Guidelines.pdf,2002-01-01,"UBC’s 20-Year Sustainability Strategy (2014) articulates UBC’s long-term vision and outlines strategic goals for Operations & Infrastructure, including applying a sustainability lens to all operational decision-making throughout the built environment (http://sustain.ubc.ca/20-Year-Sustainability-Strategy). 

UBC Building Operations’ Sustainability Framework (2013) defines strategic priorities for improving performance on the campus’ sustainability goals and targets for energy and emissions, water use, and materials and waste. The framework includes unit-specific long-term goals and objectives and short-term priority actions for the next 1-3 years and performance metrics for tracking progress.

Operations and maintenance practices include the following: 

MINIMIZING IMPACTS ON SURROUNDING SITES
•	UBC has suspended the use of all chemical pesticides for 'cosmetic' use across campus, and no chemical pesticides, herbicides, or fungicides are used unless there are extenuating circumstances and all other options have been exhausted http://riskmanagement.ubc.ca/sites/riskmanagement.ubc.ca/files/Integrated-Pest-Management-2015.pdf
•	In 2014, UBC completed an Integrated Stormwater Management Plan to improve the handling of stormwater and rainwater run off on campus http://planning.ubc.ca/vancouver/projects-consultations/consultations-engagement/integrated-stormwater-management-plan-ismp
•	UBC generates its own compost for landscaping by collecting organic waste and processing it in a facility on campus http://www.buildingoperations.ubc.ca/sustainability/zero-waste/composting/

MINIMIZING ENERGY CONSUMPTION
Highlights of UBC's energy conservation tactics include:
•	An Energy Management Plan http://sustain.ubc.ca/campus-initiatives/climate-energy/energy-management
•	Rolling Continuous Optimization program in 72 major buildings (includes energy audits, implementation of energy conservation measures and monitoring) http://sustain.ubc.ca/campus-initiatives/climate-energy/building-tuneup
•	Renewable energy component is provided by Academic District Energy System for over 130 existing buildings http://sustain.ubc.ca/sites/sustain.ubc.ca/files/uploads/CampusSustainability/CS_PDFs/GreenBuildings/UBCLEEDImplementationGuideline_20130424.pdf (page 64)
•	Building Automation System is added/updated during facilities alterations
http://www.technicalguidelines.ubc.ca/Division_15/2015_Division_15_PDFs/15901-2015_BMS.pdf
•	Ozone depleting substances are restricted on campus http://riskmanagement.ubc.ca/sites/riskmanagement.ubc.ca/files/uploads/Documents/Signed%20ODS%20procedure.PDF

BUILDING ENERGY METERING
•	Over 60 buildings across campus are connected to Pulse Energy's energy management software, which collects, analyzes, and communicates real-time energy intelligence to building operators and management, visible on the public dashboard (https://my.pulseenergy.com/ubc/dashboard)
•	Over 100 buildings are metered using ION 7330 meters for electricity, with water and gas/steam also monitored in the majority of these buildings

PROMOTING USAGE OF ENVIRONMENTALLY PREFERABLE MATERIALS
•	UBC Custodial Services operates a High Performance Green Cleaning Program (http://sustain.ubc.ca/campus-initiatives/purchasing/green-cleaning) to complement its Green Cleaning Policy, adopted in 2012 (http://www.buildingoperations.ubc.ca/wp-content/uploads/2011/06/Green-Cleaning-Program1.pdf). The goals of this policy are to reduce exposure of building occupants and maintenance personnel to potentially hazardous chemical, biological, and particulate contaminants, which adversely affect air quality, human health, building finishes and systems, and the environment. 
•	The UBC Technical Guidelines outline requirements and preferences for materials procured for renovations and upgrades, in addition to new construction 
http://www.technicalguidelines.ubc.ca/technical/sustainability.html
•	Facilities alterations are required to accommodate recycling infrastructure:
http://sustain.ubc.ca/files/uploads/CampusSustainability/CS_PDFs/RecyclingWaste/Recycling%20Infrastructure%20Guidelines%20for%20UBC%20Buildings%202015%2003%2002.pdf

PROTECTING INDOOR ENVIRONMENTAL QUALITY 
•	UBC provides Indoor Air Quality information, support and programming through Risk Management Services http://riskmanagement.ubc.ca/health-safety/indoor-air-quality
•	Facilities alterations use low emitting materials based on requirements in the Technical Guidelines http://www.technicalguidelines.ubc.ca/
•	Occupants have a way to provide feedback about facilities by means of an online service request system. After the request is filled, occupants are asked to provide feedback on the quality of the work provided.

MINIMIZING WATER CONSUMPTION 
•	UBC continues to retrofit existing buildings to increase water efficiency in academic buildings, student housing and research labs to enhance water conservation. http://sustain.ubc.ca/campus-initiatives/water/water-conservation

For more information, please visit: http://sustain.ubc.ca/campus-initiatives.
","UBC’s Campus and Community Planning and Energy and Water Services departments work collaboratively with UBC Building Operations to ensure implementation of UBC’s sustainability plans, including the Climate Action Plan, Building Operations Sustainability Framework, Zero Waste Action Plan, Energy Management Plans and water conservation measures. UBC's Technical Guidelines and sustainability requirements are reviewed annually. Regular monitoring and reporting on indicators are reported out annually through UBC’s Carbon Neutral Action Reports, and UBC Annual Sustainability Reports.",http://www.technicalguidelines.ubc.ca/,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:24:31,lmcneilly@berkeley.edu,2.0,Pursuing,**,--,--,--,--,,16337525.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,,--,,,--,--
