Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total number of vehicles in the institution’s fleet ,Number of vehicles in the institution's fleet that are:,"Gasoline-electric, non-plug-in hybrid vehicles in the institution’s fleet ","Diesel-electric, non-plug-in hybrid vehicles in the institution’s fleet ",Plug-in hybrid vehicles in the institution’s fleet ,100 percent electric vehicles in the institution’s fleet ,Vehicles in the institution's fleet that are fueled with Compressed Natural Gas (CNG),Hydrogen fueled vehicles in the institution’s fleet ,Vehicles in the institution’s fleet that are fueled with B20 or higher biofuel for more than 4 ...,"Vehicles in the institution's fleet fueled with locally produced, low-level (e.g. B5) biofuel for ...",A brief description of the institution’s efforts to support alternative fuel and power technology ...,The website URL where information about the institution's support for alternative fuel and power ...,Public Notes
University of British Columbia,2016-02-22,2016-02-22 18:18:25,charlene.ponto@ubc.ca,2.0,Pursuing,359.0,**,6.0,1.0,--,25.0,1.0,--,--,--,"In 2014, UBC’s Building Operations department, which operates the central campus fleet of 240 vehicles, received Canada’s first E3 (Energy, Environment, Excellence) Platinum Certification for sustainable fleet management. Several steps have been taken to better the performance of the fleet:
•	Adopted a green fleet plan
•	Implemented better tracking and analysis of fleet data, including data on fuel use
•	Replaced vehicles when due for replacement, to minimize repair costs and fuel use
•	“Right-sized” the fleet in all vehicle classes (light, medium and heavy duty), by choosing smaller, more efficient vehicles suited to the task
•	Trained staff on fuel management and fuel-efficient driving practices
•	Purchased electric bikes with detachable trailers, used by trades staff on campus
•	Integrated alternative fuel infrastructure including B5 biofuel, electric vehicle charging stations, and a CNG fueling station. 

Between 2011 and 2013, Building Operations cut GHG emissions in its’ fleet by 217 tonnes, or 25%, and increased average fuel efficiency by 16%. More information on fleet initiatives is available online at: http://www.buildingoperations.ubc.ca/sustainability/fleet/.

In 2013, UBC installed 18 new electric vehicle charging stations on campus, enabled through the Provincial Community Charging Infrastructure Fund, including 10 stations at the University Services Building to power the campus fleet and 8 stations at Thunderbird Parkade available for faculty, staff, and the general public to use free of charge. http://news.ubc.ca/2013/06/10/electrifying-campus-drivers/

Sustainable fleet management strategic goals, objectives, and performance metrics were also incorporated into department-level Sustainability Frameworks developed in 2013 for key operational departments on campus, including Building Operations and Student Housing and Hospitality Services. ",http://www.buildingoperations.ubc.ca/sustainability/fleet/,"In addition to the vehicles listed below, purchase orders for two additional heavy duty units fueled by CNG have been issued, with plans to replace two additional heavy duty units with diesel/electric hybrid fueled units in 2015/16FY. Note, the campus fuel pump dispenses B5 Diesel which fuels 49 units and E10 Gas which fuels 276 units; these percentages exceed the regulatory requirements for renewable content.  "
"University of California, Berkeley",2016-03-23,2016-03-23 14:24:43,lmcneilly@berkeley.edu,2.0,Pursuing,537.0,**,33.0,--,3.0,29.0,--,--,7.0,--,,http://property.berkeley.edu/fleet-services,"Over 35% of the campus fleet is considered green and including our flex-fuel gasoline/E85 vehicles (not included above). The campus owns several vehicles that are PZEV (option not included above).  Additionally, electric carts are used on campus but are not considered part of the fleet if they do not require street legal licensing."
"University of California, Davis",2016-03-28,2016-03-28 16:30:01,cmkirk@ucdavis.edu,2.0,Pursuing,987.0,**,65.0,--,22.0,82.0,85.0,--,115.0,--,"The UC Davis Fleet leads the way in many areas of sustainability. This past year, 54% of fuel consumed on the campus was an alternative fuel (409,000 gallons of 759,000 total) and 53% of the entire light to heavy duty fleet vehicle inventory is either hybrid or alternative fuel (524 of 987) vehicles (155 are Flex Fuel Vehicles, which STARS does not count). Of the 150 sedans in the fleet, 20% are plug-in -- or 30 vehicles, 8 of those dedicated battery electric vehicles (BEV), 8% are dedicated compressed natural gas (CNG), 11% operate exclusively on B20 biodiesel, and 30% are flex fuel capable. We started the first fleet biodiesel sedan demonstration 4 years and after gathering data, added another 10 biodiesel sedans this year. We also built upon the existing electric vehicle (EV) charging network by adding 4 Level II EV chargers, bringing the total to 25 Level II shared use chargers and installed a DC Quick Charge EV charger on-site. We pioneered plug-in vehicles used in fleet carshare applications and after adding a third location this year, we now have a total of 4 plug-in vehicles in carshare -- 2 dedicated BEV and 2 plug-in hybrid electric vehicles (PHEV). We are piloting wireless EV charging (also in carshare) with EvaTran and have steadily been reducing the fleet count by increasing utilization of existing assets and making vehicles more available to our customer base through carshare. Adding weekend and holiday shuttle service has almost tripled the number of single occupant trips avoided by going from 14,000 to 20,000 riders. And by switching from diesel to CNG power, that same shuttle bus that travels 66,000 miles/year also displaces consumption of 10,000 gallons of diesel fuel along with the associated emissions. We are out to bid on an E85 station that will support 150 flex fuel vehicles travelling over 1.1 million miles annually. We also developed and created internally an online Green Driving Technique training module.",http://fleet.ucdavis.edu/,--
"University of California, Irvine",2016-03-23,2016-03-23 10:31:15,khaq@uci.edu,2.0,Pursuing,563.0,**,9.0,1.0,17.0,194.0,8.0,18.0,40.0,--,"The UCI Advanced Power and Energy program (APEP) is a world leader in the research, development, and deployment of clean energy systems.  APEP includes the UCI-based National Fuel Cell Research Center, the UCI Combustion Laboratory, and the Pacific Rim Consortium on Energy, Combustion & the Environment; and leads the development of alternative fuel vehicle technologies that are deployed on campus as part of UCI’s focus as a living laboratory for sustainability.  This includes the largest (highest volume) publicly accessible hydrogen fueling station in the United States and a fleet of 17 hydrogen fuel cell vehicles deployed on campus.  In addition, the APEP fleet includes 37 pure EVs and 7 plug-in hybrid vehicles deployed for sustainable energy and transportation research applications on campus and in the local community. 

In addition to the APEP hydrogen vehicle fleet, 49.7% of UCI fleet vehicles are powered by alternative fuels or utilize hybrid technology. This includes all diesel buses in the UCI shuttle bus fleet (29 buses operating on B20 biodiesel), 27 hybrid-electric vehicles (including plug-in hybrids), 194 pure electric vehicles and carts, and 8 CNG or propane vehicles. UCI's propane vehicle count was added to its CNG count as their tailpipe emission rates are most similar.

In partnership with the National Fuel Cell Research Center at UCI, the California Energy Commission, CalStart, Ballard Power Systems, El Dorado National, and BAE Systems, Anteater Express, UCI’s student-operated shuttle service, added its first hydrogen fuel cell bus to its shuttle fleet.

In 2013 UCI established the Fleet Conversion Working Group (FCWG), which includes sustainability, transportation, shuttle, and fleet operations staff to develop a business plan for conversion of the remaining UCI fleet vehicles to low carbon fuel systems.  Supported through FCWG’s planning efforts, the UCI shuttle fleet is preparing for complete replacement of UCI’s campus fleet to electric, hybrid, CNG, or other low-carbon fuel types.",http://www.nfcrc.uci.edu/3/default.aspx,"In partnership with the National Fuel Cell Research Center at UCI, the California Energy Commission, CalStart, Ballard Power Systems, El Dorado National, and BAE Systems, Anteater Express, UCI’s student-operated shuttle service, added its first hydrogen fuel cell bus to its shuttle fleet.

The partnership between UCI's Advanced Power and Energy Program and campus fleet services has made UCI a national leader in the research, development, and deployment of alternative fuel technology in fleet vehicle applications. "
"University of California, Los Angeles",2016-03-24,2016-03-24 13:53:49,sustainability@ucla.edu,2.0,Pursuing,1099.0,**,493.0,--,34.0,288.0,64.0,3.0,--,5.0,"Fleet Alternative fuel vehicle program has, since 1998, introduced hundreds of AFVs to the UCLA fleet. This year we reached our Climate Action Plan target of 50% sustainable fuel vehicles (PZEV or ZEV), and will continue to strive towards 75%.
",https://main.transportation.ucla.edu/campus-vehicle-services/fleet-services,"Recent news story on the fleet: 
http://newsroom.ucla.edu/stories/ucla-s-green-fleet-is-growing
"
"University of California, Merced",2016-02-25,2016-02-25 16:56:10,cmccormick3@ucmerced.edu,2.0,Pursuing,122.0,**,3.0,--,3.0,32.0,--,--,--,--,,--,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:17,john.cook@ucr.edu,2.0,Pursuing,502.0,**,18.0,--,2.0,95.0,12.0,--,--,--,UCR has been working to reduce the GHG and particulate emissions from its Fleet vehicles. UCR has reduced carbon emissions by 18% since 2008 through vehicle replacement and reduced mileage for its campus vehicles.,http://parking.ucr.edu/at/,--
"University of California, San Diego",2016-03-24,2016-03-24 18:50:11,smckinstry@ucsd.edu,2.0,Pursuing,900.0,**,84.0,--,2.0,352.0,43.0,--,55.0,--,"UCSD Fleet Services will provide the highest quality service, while operating the most sustainable and environmentally friendly fleet and repair facility possible.  Fleet Services will strive to achieve climate neutrality by employing best management practices, state-of-the art technology and innovation. 
  Awards and recognition:
 Recognized as a Model Pollution Prevention Shop (2005)
Sustainable Transportation Best Practices Award (2006)
SANDEE Award for Special Achievement in Transportation (2006)
United States Senate Certificate of Commendation for energy efficiency and conservation, renewable energy, and mass transportation (2007)
Member of the EPA’s National Partnership for Environmental Priorities program (2009) and recognized for our successful compliance (2011)
Green Fleet recognized UCSD Fleet Manager as a Sustainability All-Star for reducing emissions and fuel consumption (2011)
Ranked 22nd Government Green Fleet (2010)
Ranked 18th  Government Green Fleet (2011)
Ranked 14th  Government Green Fleet (2012)
Recognized as one of the 100 Best Fleets in the nation (2012)
",http://blink.ucsd.edu/facilities/services/green/vehicles.html,"Total number of vehicles in the institution's fleet: 900+

In 2010, UC San Diego was the first university to have five, all-electric CNG hybrid electric shuttle buses. Transportation and Fleet programs have won awards including: SANDAG Diamond, 3 SANDEE Awards, Model Pollution Prevention and more. A GPS and ETA App for cell phones and PCs tracks shuttles. A student-faculty- admin project created the Greenline shuttle that tests biofuels. (http://blink.ucsd.edu/go/shuttles)

In 2010, UC San Diego commissioned a CNG fueling station in support of the growing CNG fleet.  Since then the station has been made accessible to faculty, students, staff, affiliates, and vendors of the university.   

The campus also has 6 EV charging stations for fleet use and has signed an agreement to install 28 charging stations for public and workplace charging.

The total number of vehicles in the institution’s fleet does not include 52 VPSI vanpool vehicles.

Starting the month of December 2013 UC San Diego is switching the feed stock blend for the B20 bio diesel from soy bean to waste grease that will be collected from the university’s numerous food preparation centers.  This waste grease will be processed by local company New Leaf Bio Fuel and then blended into B20 bio diesel and burnt in the fleet and equipment listed above.  A full circle approach… collect waste grease on campus, process it, and reuse it  in the diesel powered fleet.  
"
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:13:15,mo@geog.ucsb.edu,2.0,Pursuing,371.0,**,16.0,--,--,43.0,16.0,--,6.0,--,UCSB has an Alternative Energy Subcommittee that explores the numerous avenues the University has for reducing its reliance on nonrenewable resources. ,--,"Vehicle counts include all UCSB vehicles, located on or off campus, on 8/31/15."
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:53:17,ekericks@ucsc.edu,2.0,Pursuing,497.0,**,3.0,--,--,46.0,6.0,--,--,--,"UCSC's topography has made the implementation current electric vehicle technology challenging and costly. While we continue to seek & deploy new lithium-ion based battery systems for the campuses many burden/people carrying carts, we have focused on growing our CNG infrastructure to accommodate more heavy-duty CNG vehicles. By concentrating an alternative fuel into a fuel intensive segment of our fleet, we hope to realize significant emissions savings by using our two new CNG refuse trucks and as additional large vehicles are replaced with compressed natural gas versions. ",--,--
University of Colorado Boulder,2016-03-03,2016-03-03 07:49:47,dave.newport@colorado.edu,2.0,Pursuing,383.0,**,17.0,--,--,9.0,--,--,41.0,--,"We are under Federal regulations to acquire 75% of our fleet accusations alternatively fueled. 
",--,We have a  vehicle monitoring program in place.  This device allows us to monitor how the fleet is been operated and how we might gain fuel efficiencies.
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:33:59,lkogan@uccs.edu,2.0,Pursuing,65.0,**,6.0,--,--,6.0,--,--,--,--,"The university uses a number of electric golf carts instead of full size vehicles. In 2014, an electric cart with a solar panel was purchased for the Office of Sustainability and the campus Greenhouse.  Electric carts are used in several Facilities Services' departments. B-5 is used in the shuttle buses for 4-6 months of the year. However it is not locally produced.",--,--
University of Connecticut,2016-03-25,2016-03-25 18:13:48,rich.miller@uconn.edu,2.0,Pursuing,505.0,**,15.0,--,--,12.0,--,--,--,--,"UConn’s motorized fleet is dedicated to becoming more “green.” Recently, the university’s Transportation Services qualified for a grant of $260,000 from the Connecticut Clean Fuel program that will help to cover the cost difference to replace several old vehicles with newer clean-fueled vehicles, rather than with traditional gasoline-powered cars. With this grant money, UConn will be replacing more than 50 gasoline- or diesel-fueled passenger cars and trucks - with ultra-low emissions and zero emissions,, hybrid and electric vehicles.
Approximately 15% of the current light-duty fleet is low emission, and that is expected to increase by at least an additional 5% in the coming years. There are plans to have 25% of the light-duty fleet be low-emissions by the year 2025, however this proposal is still in theworks. We arecurrently committed to 20% by 2020. It is important to note that Department of Energy reporting standards place public safety vehicles in a different category. 

(http://today.uconn.edu/blog/2013/09/uconn-getting-green-for-going-green/)

UConn has also worked to reduce the oil dependency of its fleets through the installation of an electric vehicle charging station at the university’s Motor Pool Lot, where the school charges its heavy-duty electric vehicle van. This station has positive implications for the environment since the fleet’s van, which charges there overnight, has no CO2, NOX, or particulate emissions. The van is used for all campus deliveries, replacing a diesel truck formerly used.
(http://www.ecohusky.uconn.edu/transportation/electric-vehicles.html)
Adding onto UConn’s EV friendliness, this past year the Connecticut Department of Energy and Environmental Protection (DEEP) agreed to fund the installation of two more electric vehicle charging stations on campus. The two additional charging stations are to be installed in both of the parking garages – one in North Parking Garage and another in South Parking Garage – and will be free of charge for all users.

http://uconnoep.wordpress.com/2013/11/06/ev-charging-station/

In addition, UConn continues its efforts to support alternative fuel and power technology in its motorized fleet by encouraging all
departments to choose from the preferred vehicle list whenever they are purchasing or leasing University vehicles (http://ecohusky.uconn.edu/transportation/2008-preferred-purchases.html). The vehicles listed are based off of ranking estimates of EPA fuel economy (city mpg) and emission standards, and aim to reduce
emissions of climate-changing greenhouse gases.

http://today.uconn.edu/blog/2013/09/uconn-getting-green-for-going-green/
",http://ecohusky.uconn.edu/transportation/index.html,"The University does have additional plated vehicles that were not counted above because they are farm equipment (including tractors, horse trailers, etc.), not passenger vehicles. There are approximately 120 farm vehicles used by the University.

Additionally, the University maintains fleet fuel standards in compliance with CT Public Act 2007-242, which requires all vehicles purchased to be in the top third fuel efficiency of their class.

Finally, the University discontinued its longstanding production of ASTM-certified biodiesel made from waste cooking oil collected from the University’s dining facilities.  The biodiesel was produced using a continuous flow reactor in a Chemical Engineering professor’s lab.  This practice had previously resulted in a <5% biodiesel blend used at all times throughout UConn’s diesel fleet.  Unfortunately, after a spill in the lab, the production was discontinued for safety reasons. UConn is evaluating the feasibility of purchasing a commercial biodiesel blend (B20) for use full-time in its diesel fleet and certain emergency generators.

Electric vehicles information: http://www.ecohusky.uconn.edu/transportation/electric-vehicles.html 

Fleet Fuel Standards: http://www.ecohusky.uconn.edu/transportation/fleet-fuel.html
"
University of Denver,2016-02-26,2016-02-26 12:37:51,chad.king@du.edu,2.0,Pursuing,155.0,**,--,--,--,--,9.0,--,--,--,We received a grant to support the conversion of nine vehicles to CNG.  We are exploring grants to add an electric vehicle.,--,--
University of Florida,2016-03-23,2016-03-23 09:04:30,miwilliams@ufl.edu,2.0,Pursuing,1604.0,**,24.0,--,--,11.0,--,--,114.0,--,"The University aims to purchase vehicles with the highest fuel efficiency and therefore lowest greenhouse gas emissions. This includes hybrid and alternative fuel vehicles. Purchasing Services maintains a listing of pre-approved, recommended vehicles, by class, to assist departments with choosing a vehicle for purchase. This directive applies to all automobile and truck vehicle purchases including used vehicles",http://www.purchasing.ufl.edu/contracts/vehicles.asp,--
University of Houston,2016-03-23,2016-03-23 17:19:53,smkelly5@central.uh.edu,2.0,Pursuing,380.0,**,--,--,--,102.0,--,--,--,--,"The University is transitioning is fleet to 100% electric vehicles. The breakdown of the university fleet consists of 210 utility carts (102 of them are electric plug in), 148 licensed vehicles & 22 pieces of equipment. The University is presently finalizing a contract for a CNG Fueling Station on its Energy Research Park property. The process to convert seven of the university trucks to 100% dedicated CNG fuel is also underway.",--,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:33,Cindy@uic.edu,2.0,Pursuing,235.0,**,18.0,--,1.0,--,13.0,--,--,--,,--,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:17:45,spauldng@illinois.edu,2.0,Pursuing,1240.0,**,57.0,--,3.0,2.0,--,--,--,--,,--,--
University of Louisville,2016-02-13,2016-02-13 03:02:39,justin.mog@louisville.edu,2.0,Pursuing,213.0,**,3.0,--,2.0,2.0,--,--,--,--,"> Since 2009, Chemical Engineering faculty and students have been involved in the conversion of waste vegetable oil from UofL Dining services into biodiesel used to fuel our campus shuttle. We began to scale-up this effort in 2011, when UofL Dining began supplying used cooking oil for local conversion into biodiesel. The project began through a partnership with the Louisville Biodiesel Cooperative and now Kelley Green Biofuel of Goshen, KY (5100 Greenhaven Lane), a community-scale, ASTM-certified, National Biodiesel Board registered biodiesel producer with an annual capacity of 75,000 gallons, located just 30 miles from campus. 

> In May 2014, UofL's Grounds crew began a new trial using this locally-produced biodiesel to power their diesel machinery and trucks in a B20 blend.

> Five electric vehicle charging stations are available in the Floyd Street Garage and two are available at the Service Complex.",http://louisville.edu/sustainability/operations/buildings-energy.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:54:30,sdeleon@umd.edu,2.0,Pursuing,1255.0,**,2.0,4.0,--,20.0,--,--,2.0,--,"The university's vehicle fleet must comply with federal and state fleet requirements including the Energy Policy Act of 1992 and 2005 which requires that 75 percent of ""covered"" University fleet purchases (non-emergency vehicle weighing less than 8,500 pounds) be alternative fuel vehicles as defined by the Act. Most of these vehicles are flex-fuel and the university uses ethanol to fuel a number of them.",--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:19,esmall@facil.umass.edu,2.0,Pursuing,485.0,**,14.0,--,--,7.0,--,--,--,112.0,"The Campus Fleet Manager, Bill Watts works to reduce campus fleet, replace with alternative fueled vehicles, increase campus fleet mileage efficiency, and install electric vehicle charging stations on campus, of which we currently have 5, including the states first Level III Charger.",--,"This data comes directly from Bill Watts, Transportation Services Fleet Manager"
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:32:54,Tyler_Arrigo@uml.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,"UMass Lowell has decided not to pursue this credit at this time. UMass Lowell continually looks for opportunities to purchase alternatively fueled and/or powered vehicles.  There are electric vehicles used in research activities on campus, but these are not part of the campus fleet.  "
University of Michigan,2016-01-11,2016-01-11 15:37:27,ahorning@umich.edu,2.0,Pursuing,1077.0,**,53.0,7.0,--,15.0,--,--,78.0,--,"University of Michigan supports alternative fuel use through a diverse fleet.  U-M uses E-85, B-20 biofuels, has full electric and hybrid electric vehicles.  U-M also has two electric car charging stations on campus.",http://pts.umich.edu/alt-trans/,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:01,mgranley@d.umn.edu,2.0,Pursuing,98.0,**,8.0,--,--,7.0,--,--,--,--,"UMD Facilities Management (FM) have been making sustainability a priority in their fleet. Whenever a vehicle is replaced, a request form is required and evaluated to ensure it is the ‘right size.’ By doing so, UMD has downsized many unnecessarily large vehicles (large trucks) to smaller, more fuel-efficient models (small vans). FM and Grounds also have many electric utility carts that can travel around campus sans tailpipe emissions. Vehicles owned by UMD are now equipped with low rolling resistance tires, which further improve fuel efficiency. In-house maintenance of vehicles also has sustainability integrated with everything from petroleum free cleaners to micro-hybrid electric hoists that regenerate electricity when a vehicle is lowered.  Lastly, an Idling Reduction Policy was adopted by FM in December 2013.

The Facilities Management and Business Fleet have purchased 8 hybrid vehicles, and they are popular vehicles for use by university employees.  UMD Departments who dictate that staff should prefer hybrid vehicles for travel get a point towards their Green Office Certification.  

The university uses many all-electric vehicles for grounds and program support.  These 7 vehicles have no tailpipe emissions.
E-Z GO GOLF CART
2005 TORO WORKMAN E2050
2008 CLUB CAR ELEC GOLF CART
2008 CLUB CAR ELEC GOLF CART
2011 POLARIS RANGER EV
2011 POLARIS RANGER EV
2011 POLARIS RANGER, EV",https://umdsustain.wp.d.umn.edu/campus-initiatives/transportation/cars/,"Note: Although 15 vehicles have the ability to burn E85 or higher ethanol, we do not track how often E85 is actually used.  (The availability of E85 or higher ethanol fuels is somewhat limited.)"
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:44,good0044@morris.umn.edu,2.0,Pursuing,20.0,**,7.0,--,--,1.0,--,--,--,--,,--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:24,stennes@umn.edu,2.0,Pursuing,562.0,**,47.0,--,--,--,--,--,--,43.0,"Twin Cities campus units
Total units 562
Gas over electric vehicles 47
Electric vehicles 4 
E-85 vehicles 311
Total percent of “ green “ units on campus  64% 
",http://italladdsup.umn.edu/transportation/,--
University of Missouri,2015-05-01,2015-05-01 15:33:22,raghavans@missouri.edu,2.0,Pursuing,967.0,**,2.0,--,--,--,--,--,80.0,--,,--,Information gathered from Worksheet 2-Missouri State Fleet-Operations filed for the Missouri Department of Natural Resources on 8/29/11 and is available for viewing upon request.  Numbers also include a 100% electric vehicle owned by the Sustainability Office that was not included in the report.  Vehicle was added into the total number of vehicles in the institutions fleet.
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:09,johnstonrk@umkc.edu,2.0,Pursuing,64.0,**,--,--,--,1.0,--,--,--,--,,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:19,mcclauca@mountunion.edu,2.0,Pursuing,52.0,**,--,--,--,--,--,--,--,--,,--,--
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:50,pshrestha3@unl.edu,2.0,Pursuing,345.0,**,340.0,--,1.0,2.0,1.0,1.0,--,--,,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:26,slburke@unomaha.edu,2.0,Pursuing,72.0,**,1.0,--,--,1.0,--,--,--,--,"Although not claimed above, biodiesel is incorporated when possible.  We now have demonstration vehicles for electric and hybrid-electric fuel.   We have entered into agreement with our local utility to purchase or convert at least two vehicles to CNG in this fiscal year.",http://www.unomaha.edu/green/transportation.php,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:27,colleen.flaherty@unh.edu,2.0,Pursuing,319.0,**,5.0,--,4.0,--,35.0,--,40.0,--,"UNH has operated CNG fleet vehicles since 2000. As of November 2015, it operated a fleet of 33 CNG vehicles including transit buses, bi-fuel pickup trucks and passenger cars. In FY 2015, CNG vehicles logged over 260,000 miles and used over 56,000 gas gallon equivalents of CNG (replacing primarily diesel/B20).

The use of CNG in the UNH fleet over the past 15 years has reduced an estimated 1500 tons of CO2 emissions and 125,000 gallons of gas/diesel fuel consumption with an estimated fleet fuel savings of over $250,000
With current market price of CNG, the fuel cost savings for this CNG fleet to UNH was approximately $34,500 in FY 15.
Transit is our biggest CNG user. In FY 15, approx. 36% of UNH transit miles were being run on CNG.
FY 15's CNG utilization was 20% of overall campus fleet fuel share

UNH worked cooperatively with the New Hampshire DOT to coordinate the first ultra-low sulfur B20 fuel supply at any state operated fueling facility. In August 2006, the facility, located at the UNH campus, opened and UNH began a conversion of all of its diesel fleet to year-round B20 operation.

In FY 2007, most diesel transit vehicles switched to B20 and UNH took possession of its first dedicated B20 fueled, California Air Resource Board Certified (CARB) low emission buses. In succeeding years, UNH Transit embarked on balanced fleet procurement - half B20 and half CNG. 

UNH continues a transition of all post-1990 diesel vehicles to B20. As of July 2012, UNH had migrated over 90% of its diesel fleet to year-round B20. This transition has equated to a petroleum diesel consumption reduction of just over 90,000 gallons and estimated emission savings of 2000 tons of CO2 with only minor incremental fuel cost increase. 

CNG and B20 are the focus alternative fleet fuels at UNH. (see attached) The UNH Transit Fleet runs almost 40% on CNG fuel in terms of net miles.  The remaining 60% is virtually all B20 biodiesel year round.   

FY 2013	                                     gge	                   % Total Fleet gge
Total Fleet Fuel 	                   263,878	                    100%
                  CNG 	                     56,188	                      21%
                   B20	                     68,850	                      26%

UNH would be over 50% alternative fuel fleet vehicle miles.",http://www.sustainableunh.unh.edu/sites/sustainableunh.unh.edu/files/media/ETF_Reports/fleetstatsfy2015_0.pdf,AASHE should really track an institutions fleet miles – and not fleet count.
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:50,cpshea@fac.unc.edu,2.0,Pursuing,914.0,**,--,--,--,28.0,--,--,25.0,--,"Hybrids now account for 29 of the 99 fixed route buses in the fleet. The Chapel Hill Transit system also uses a small percentage of biodiesel fuel across the fleet.

E85 (347vehicles) and B20 (25 vehicles) fuel tanks on campus. Alternative fuels, synthetic lubricants, and more efficient vehicles have reduced Carolina's annual petroleum consumption by 23% relative to 2005. 

The first three Level 2 electric vehicle charging stations are installed. The University plans to add 3 more stations in FY 2014. A new fee structure for parking permits covers EV owners seeking access to these spaces. ",https://sustainability.unc.edu/files/2015/10/Sustainability-Report-2013.pdf,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:12,cgcarwei@uncg.edu,2.0,Pursuing,278.0,**,--,--,--,63.0,--,--,23.0,--,,http://facsustainability.uncg.edu/transportation/,"Information received from Tammy Downs, Office of Enterprise Risk Management, and Suzanne Williams, POCAM.


*Note that UNCG has several vehicles that are capable of operating on E85, but UNCG only provides E10 on campus.  Also, though not counted as part of the campus fleet, UNCG has 2 CNG powered lawn mowers."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:24,pohlmank@uncw.edu,2.0,Pursuing,197.0,**,2.0,--,--,10.0,--,--,--,--,,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:22,smital@uoregon.edu,2.0,Pursuing,382.0,**,5.0,1.0,--,26.0,--,--,--,95.0,"In addition to increasing the number of electric vehicles, a Biodiesel fueling station was installed on-site.  Separately, SeQuential Pacific Biodiesel collects spent fryer oil from campus kitchens to create fuel, creating a closed-loop production cycle that yields an environmentally friendly product while also benefiting the local economy.",http://policies.uoregon.edu/policy/by/1/01-administration-and-governance/environmental-comprehensive-policy,The website URL where information about the institution's support for alternative fuel and power technology is available: http://www.biofuelsdigest.com/bdigest/2013/08/29/sequential-pacific-biodiesel-does-deal-with-university-of-oregon/ http://zerowaste.uoregon.edu/StuCom_BioVans_Text.htm
University of Pittsburgh,2016-03-24,2016-03-24 12:58:23,lwzfm1@pitt.edu,2.0,Pursuing,280.0,**,7.0,--,--,1.0,--,--,30.0,--,"The entire University Shuttle fleet operates up to 30 vehicles fueled with biodiesel. 18 are on the road at one given time.

The University of Pittsburgh is one of four universities nationwide that will be testing the Innova Dash University Electric Vehicle (UEV), a tiny electric car, to find out how to make it work better. The endeavor is in collaboration with Internet2, a national consortium of research and education institutions looking to solve common technology challenges.

Pitt researchers will be testing four UEVs and looking into how they could help reduce the campus’ carbon footprint by collecting massive amounts of data from the car’s various sensors.

The Parking, Transportation & Services department will have one car, as will Computing Services and Systems Development. The Swanson School of Engineering will have two.

The University of Pittsburgh has a no idling policy for the entirety of campus.",http://www.news.pitt.edu/news/pitt-drives-electric-car-research,--
University of Richmond,2016-02-17,2016-02-17 15:17:29,randreje@richmond.edu,2.0,Pursuing,176.0,**,2.0,--,--,30.0,--,--,--,--,"Each instance where a vehicle is being purchased, the University looks to see if alternative fuel and powered vehicles are possible options.  ",--,"Fleet includes 90 cars/vans + 86 carts; 2 cars are gas-electric hybrid; 30 carts are 100% electric.

The University operates shuttles with propane fuel and also has two propane fueled carts."
University of South Carolina,2016-02-29,2016-02-29 17:11:33,KOPPAN@mailbox.sc.edu,2.0,Pursuing,429.0,**,5.0,--,7.0,10.0,--,--,--,47.0,"Researching options regarding Propane.
Also actively using E-85 on 164 vehicles 
Propane on 19 Vehicles",http://www.sc.edu/green/transportation/,Institution also owns one propane vehicle.
University of South Florida,2016-02-26,2016-02-26 13:29:29,sustainability@usf.edu,2.0,Pursuing,540.0,**,2.0,--,44.0,45.0,--,--,32.0,--,"The Bullrunner buses use biodiesle generated from waste cooking oil. Recently a student green energy funded project will use an innovative (super critical process) to effectively produce biodiesel from cooking oil that will be used by USF Bull runner buses.

USF in partnership with Hillsborough Environmental Protection Commission and TECO Energy has established the Tampa Bay Clean Cities Coalition (TBCCC) that was recently designated by the Department of Energy. TBCCC works to reduce car fuel consumption  in the region.

USF is installing Electric Vehicle charging stations ",http://psgs.usf.edu/patel-center/clean-cities-tampa-bay/,--
