Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Please enter data in the table below:,"Number of reportable workplace injuries and occupational disease cases, performance year","Number of reportable workplace injuries and occupational disease cases, baseline year","Full-time equivalent of employees, performance year (annualized FTE)","Full-time equivalent of employees, baseline year (annualized FTE)",Start and end dates of the performance year and baseline year (or three-year periods),"Start date, performance year or 3-year period","End date, performance year or 3-year period","Start date, baseline year or 3-year period","End date, baseline year or 3-year period",A brief description of when and why the workplace health and safety baseline was adopted,A brief description of the institution’s workplace health and safety initiatives,The website URL where information about the institution’s workplace health and safety initiatives ...,Public Notes
Smith College,2016-03-23,2016-03-23 08:30:40,dweisbor@smith.edu,2.0,Pursuing,**,46.0,66.0,1170.438,1128.31,**,2013-01-01,2013-12-31,2005-01-01,2005-12-31,We have tried to constantly use 2005 as a baseline year while doing STARS.,"HR hosts monthly meetings with Meadowbrook to review all open claims.  

HR hosted  Desk Ergonomics FY13 with Terry Buckhout, Arden Pierce ( to teach stretching at the desk) and Barbara Pliska (computer aids to avoid injury).  

 Two specific initiatives for safety identified by HR in FY14

Scheduled Dining Services (Kathy Z) to perform training on the Hot boxes that carry food.  Facilities staff are less familiar with these boxes and we had a few injuries. Patrick Diggins assisted in this with Terry Buckhout.

HR recommendation for Dining Services to purchase cut gloves after they had an influx in cuts with knives.  Kathy Z. bought cut gloves as a result and implemented a strict policy for using the gloves.  Almost all the injuries ceased at that point.  Both initiatives were successful.

Ongoing - Desk Ergonomic assessment and needs performed by Terry Buckhout, coordinated by  Avril Russell  

January HR  hosted an all-manager meeting  for 263 and 211 and Meadowbrook 

January - Laura Smiarowski  held a safety meeting for managers of 211 and 263  

On demand meetings with  211/263 directors and Rich Korzenowski on current cases.",--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:22:02,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:07,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:40:07,beigelcod@sou.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:41,aefrazier@spelman.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:52,goldsmit@stjohns.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Stanford University,2016-03-23,2016-03-23 01:13:41,mbhafer@stanford.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:51:00,malichte@esf.edu,2.0,Pursuing,**,6.0,7.0,519.0,535.0,**,2014-01-01,2014-12-30,2012-01-01,2012-12-30,,,--,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:07,Beth.Klein@cortland.edu,2.0,Pursuing,**,32.0,26.0,1110.0,1045.0,**,2013-07-01,2014-06-30,2010-07-01,2011-06-30,SUNY Cortland participated in 2010/11 STARS and therefore has adopted that year as its baseline for this criteria.,"The EH&S Office conducts formal and informal safety inspections throughout the year and corrective action for unsafe situations is promptly implemented.  To encourage employee participation, safety teams have been established to focus on specific areas such as laboratory safety, driver and pedestrian safety, and confined space safety.  The campus also has a formal Off-The-Job Safety Program.  For occupational injuries and illnesses, employees are required to report all incidents in a timely manner.  The EH&S Office promptly investigates all reported injuries and illnesses, and appropriate corrective action is implemented whenever it is necessary.",http://www2.cortland.edu/information/campus-safety/environmental-health/,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:54,dezarn@geneseo.edu,2.0,Pursuing,**,58.0,24.0,895.0,707.0,**,2015-01-01,2015-12-18,2012-01-01,2012-12-31,Three Year Trend Analysis,"Environmental Health and Safety performs ergonomics assessments, including workstation assessments, personal protective equipment assessments, indoor air quality and ergonomic training.

 The college also has an EAP (Employee Assistance Program) call line and distributes EAP newsletters and holds a wellness fair. A personal safety committee is also established. ",http://www.geneseo.edu/ehs,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:34,mittenl@newpaltz.edu,2.0,Pursuing,**,29.0,41.0,1227.0,1274.0,**,2013-01-01,2013-12-31,2009-01-01,2009-12-31,"The year 2009 was chosen as a baseline because it was the first full year under the direction of the present Director of Environmental Health and Safety (EHS) with new ideas, safety promotions, training, and the ""See Something, Say Something Campaign"" to improve the physical environment for staff and students. ","SUNY New Paltz EHS staff provide all required safety training for staff, as well as supplemental Safety, Fire Safety and Environmental training throughout the year. SUNY New Paltz also requires departments to complete self-audits (labs, fine arts, and maintenance departments), as well as on-going inspections and safety campaigns. SUNY New Paltz also has safety committees for staff and students.   ",http://www.newpaltz.edu/ehs/,--
Sterling College,2016-01-28,2016-01-28 10:04:27,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,**,3.0,4.0,45.0,45.0,**,2014-06-30,2015-07-01,2014-01-01,2014-12-31,We adopted the baseline as we started the AASHE assessment. ,"We have both a Wellness Team, consisting of the Dean of Community, a nurse, and a part-time counselor; and a Risk Management committee, consisting of faculty, staff, and students. The Risk Management committee conducts first responder training, van driving training, and tools safety. ",--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:26,gotham360@stevens.edu,2.0,Pursuing,**,15.0,25.0,873.0,861.0,**,2014-01-01,2014-12-31,2013-01-01,2013-12-31,,"Stevens works closely with NJ manufacturers Insurance Worker Compensation division to prevent accidents and investigate accidents when they happen to prevent recurrence.  Stevens EHS performs routine safety training for Facilities Maintenance, Laboratory Personnel, and other groups to train employees to anticipate, identify and correct hazards in the workplace",https://www.stevens.edu/sit/finance/EHS,--
Syracuse University,2016-03-25,2016-03-25 15:34:24,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:22,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:25:02,kwellman@tamu.edu,2.0,Pursuing,**,237.0,493.0,7549.0,8530.0,**,2013-09-01,2014-08-31,2008-09-01,2009-08-31,The amount of injuries had increased and a safety program was adopted to find ways to lower these occurrences.,"Safety teams were established in departments, safety became part of the yearly evaluation process, accident investigation program and near miss program established.  Safety training program set up through hands on, computer based, power point, video, webinar, and quest speakers training safety topics every month for all teams with monthly meetings and safety representative present to help train, guide and give input on safety.  ",http://ehsd.tamu.edu/,--
Texas Tech University,2016-03-25,2016-03-25 15:48:23,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:02,dial.15@osu.edu,2.0,Pursuing,**,278.0,406.0,29146.09,24041.41301,**,2014-07-01,2015-06-01,2006-07-01,2007-06-01,,,--,--
Tufts University,2016-02-25,2016-02-25 15:40:36,tina.woolston@tufts.edu,2.0,Pursuing,**,45.0,54.0,4513.24,4552.0,**,2013-01-01,2013-12-31,2009-01-01,2009-12-31,"The program to adopt baseline health and safety information was brought about in 2009 by the purchase of an online tracking program.  Previous to that all information was collected by hand and documented in Microsoft Excel.
","Tufts Environmental Health and Safety (TEHS) promotes health, safety and environmental protection in teaching, research, public service, and administrative activities by providing training, advice, and other compliance assistance.

TEHS provides leadership in developing and supporting high-quality programs that allow students, faculty, and staff to protect themselves from potential health hazards they encounter at the University. Programs include Laboratory Safety, Ergonomics, Radiation Safety, Bio Safety, and Environmental Management.",http://publicsafety.tufts.edu/ehs/,"2014 Reporting 3 campuses:  Boston 17, Medford 20, Grafton 8
Total FTE 2014: 4,513.24
2009  Reporting 3 campuses:  Boston 20, Medford 23, Grafton,11
Total FTE 2009 (estimate): Boston, 1596, Medford 2464,  Grafton 492 "
Tulane University,2016-02-04,2016-02-04 11:04:06,ldavey@tulane.edu,2.0,Pursuing,**,128.0,135.0,6556.0,6434.0,**,2014-01-01,2014-12-30,2012-01-01,2012-12-31,Data from the Tulane University Campus-Wide OSHA 300A Summary for 2012 were used for the baseline.  ,,http://tulane.edu/oehs/injury-illness.cfm,http://tulane.edu/oehs/injury-illness.cfm#
Unity College,2016-03-25,2016-03-25 15:25:26,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:21,mmallia@albany.edu,2.0,Pursuing,**,80.0,80.0,4075.0,4075.0,**,2014-01-01,2014-12-31,2014-01-01,2014-12-31,"Since this is a new piece of data we are tracking, we are most comfortable using our initial entry as our baseline year going forward.","The University at Albany Office of Environmental Health and Safety is dedicated to providing the expertise, advice, guidelines and current standards of professional practice, to ensure the safety and well being of our students, faculty, staff and visitors. The goal is to prevent injury, illness, and environmental damage through the recognition, evaluation, and control of potential hazards arising from University activities, and to comply with federal, state and local safety and environmental regulations.  The main initiatives of the office include: overseeing lab safety and providing training (which this year included a green chemistry training), oversee the universal waste disposal (batteries, lights, etc), and oversee fire code compliance and trainings",http://www.albany.edu/ehs/index.shtml,--
University at Buffalo,2016-01-19,2016-01-19 10:15:57,jlk47@buffalo.edu,2.0,Pursuing,**,165.0,102.0,7573.0,7653.0,**,2014-01-01,2014-12-31,2013-01-01,2013-12-31,The baseline year of 2013 is the nearest comparative year to the performance year with complete records.,The University and State of New York has a comprehensive workplace health and wellness program that covers all facets of health and safety in the work environment.,http://www.buffalo.edu/facilities/ehs.html,--
University of Arizona,2016-03-25,2016-03-25 15:32:23,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,The University of Arizona Office of Sustainability does not have data for this credit at this time; however we hope to have data to meet the needs of this credit for the next AASHE STARS Report submission sometime in 2015 and 2016.
University of British Columbia,2016-02-22,2016-02-22 18:18:43,charlene.ponto@ubc.ca,2.0,Pursuing,**,189.0,283.0,20341.0,16561.0,**,2013-01-01,2013-12-31,2005-01-01,2007-12-31,Baseline is 3 year average.,"UBC continues to develop and implement workplace health and safety strategies to reduce the frequency of employee injuries, as well as the duration of time loss.  Two UBC departments provide leadership and expertise in this area – Risk Management Services (RMS) and the Workplace Health Services (WHS) unit of Human Resources.
 
RMS identifies, assesses, and manages all types of risks (strategic, academic, operational, financial, hazard, and reputational) across the University (faculty, research, students, and administration).  RMS services include Enterprise Risk Management: Risk Registers (risk identification and assessment), Occupational and Research Safety, Environmental Impact Mitigation, Emergency Preparedness, Continuity Planning, Insurance Placement, Insurance Claims Management, Loss Prevention, Personal Information Security and Governance, and Internal Consulting Assistance. 
 
WHS includes a Return to Work team that assists employees to return to work after illness and injury, including long-term disability, and to remain at work in modified duties when possible.  The Occupational & Preventive Health unit administers targeted medical services to employees whose work involves risk of exposure to biological, chemical, and physical hazards (e.g., immunizations, occupational health screenings, pregnancy planning resources, etc).  The unit’s Ergonomics function assists with the prevention of musculoskeletal injuries. 
 
While health and safety programs apply to the entire University, departments with higher risk have been targeted in recent years.
• In 2009, UBC initiated a successful pilot project in Building Operations, which saw a 30% reduction in time loss injuries in 2009 as compared to 2008.  This downward trend continues, with a 26% reduction of time loss injuries in 2013 compared to 2012.  Some of the measures that contributed to this noteworthy decrease were active investigations of all incidents, including those that did not cause physical injury, comprehensive reporting of incidents through a dedicated first aid system, facilitated intervention at the earliest possible stage of injury, and greater engagement of direct supervisors.  
• The Abilities Management Program (AMP) within Building Operations has also contributed to the reduction of employee time loss through early intervention, where modified duties for ill or injured employees are offered.  
• In 2010 the successful AMP program was rolled out to the Food Services unit of Student Housing and Hospitality Services, and a 30% reduction in time loss injuries was observed in 2011.  This downward trend continues in Food Services, with a 55% reduction in time loss injuries in 2013 compared to 2012.  
• In 2014 AMP is being expanded to the Housing & Conferences unit of Student Housing and Hospitality Services.",http://www.hr.ubc.ca/health/,"Workplace Health Services, Human Resources
http://www.hr.ubc.ca/health/

Risk Management Services
http://riskmanagement.ubc.ca/health-safety

FTE calculations are for UBC Vancouver only and include all paid full-time, part-time, sessional, casual employees, graduate and undergraduate teaching/research assistants, and all paid student appointments as tracked by Human Resources for WorkSafeBC claim reporting."
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:46,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:49,cmkirk@ucdavis.edu,2.0,Pursuing,**,481.0,681.0,14528.0,14934.0,**,2010-07-01,2014-06-30,2006-07-01,2007-06-30,The workplace health and safety baseline was adopted in February 2014 and it was chosen because it was the year that had the most comprehensive data set.,"UCD has a variety of safety initiatives to include the following:
• Be Smart About Safety equipment/training funding.
• Dedicated campus incident investigator.
• Department safety coordinators assigned to each school/department.
• Laboratory audit specialists.
• Financial incentives through department level deductible application.
• On-line unsafe condition reporting.
• On-line training
• Hazard specific safety committees which include; Bio, Rad, Chem, & Animal.
• Department specific safety reviews.",http://safetyservices.ucdavis.edu/,--
"University of California, Irvine",2016-03-23,2016-03-23 10:33:06,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:46,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,"Additional resources: 

http://ergonomics.ucla.edu/
 
http://www.recreation.ucla.edu/rhec
 
http://www.recreation.ucla.edu/fitwell
 
http://www.recreation.ucla.edu/bhip
 
http://www.recreation.ucla.edu/iworkout
 
http://www.wellness.ucla.edu/files/UC%20Reciprocity.pdf
 
http://www.totalwellnessmagazine.org/index.html
 
http://swc.ucla.edu/
 
http://uclivingwell.ucop.edu/
 
http://marc.ucla.edu/
 
http://www.counseling.ucla.edu/
 
http://www.snac.ucla.edu/
 
http://wellness.healthcare.ucla.edu/
 
"
"University of California, Merced",2016-02-25,2016-02-25 16:56:28,cmccormick3@ucmerced.edu,2.0,Pursuing,**,31.0,29.0,1282.0,1088.0,**,2014-01-01,2014-12-31,2012-01-01,2012-12-31,,"The Campus Safety Division is responsible for identifying and developing strategies to minimize the impact of risk, reducing costs, improving safety by executing new ideas and strategic plans in a rapid manner, and for supporting the academic and administrative functions of the university to help ensure a safe and healthful workplace. By strategically managing risk we can reduce the chances of loss, minimize workplace injury and illness, create greater financial stability, and protect our resources in support of UC's mission.",http://risk.ucmerced.edu/,"Additional URL where information about the institution's workplace health and safety initiatives can be found at the following websites. 

http://ehs.ucmerced.edu/
http://www.ucop.edu/risk-services/
"
"University of California, Riverside",2016-03-18,2016-03-18 16:23:35,john.cook@ucr.edu,2.0,Pursuing,**,1.3,2.09,4987.69,4784.022,**,2014-01-01,2014-12-31,2010-01-01,2010-12-31,Earliest data available for reporting.,"Environmental Health and Safety provides training, investigators, and oversees safety committees that focus on injury and illness prevention in the workplace. 
Some health and safety initiatives are :
-the Wellness Program (wellness.ucr.edu)
-the WorkStrong Program
-Tobacco/Smoke Free campus since January, 2014
",http://www.ehs.ucr.edu/safety/IIPP/iipp.html,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:55,smckinstry@ucsd.edu,2.0,Pursuing,**,342.0,403.0,16355.0,15550.0,**,2013-01-01,2013-12-31,2008-01-01,2008-12-31,"Employee injury costs were increasing on the UC San Diego campus so additional safety staff were hired to target high claims areas of campus with additional loss prevention services (training, inspections & personal protective equipment).","UC San Diego maintains a broad-spectrum Environment, Health & Safety Office (EH&S) to advise employees on risks in work environments ranging from laboratories, shops and clinics to offices, dining facilities and housing facilities.  EH&S Staff proactively inspect all high risk work areas and provide training to employees as required by their job duties.  All UC San Diego employees are encouraged to report safety concerns and make suggestions to EH&S via e-mail, telephone, or campus mail, including an anonymous suggestion box if they prefer. ",http://blink.ucsd.edu/sponsor/EHS/index.html,These numbers are being updated in 2015-2016.
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:15:07,mo@geog.ucsb.edu,2.0,Pursuing,**,29.0,92.0,5107.0,4834.0,**,2014-01-01,2014-12-31,2006-01-01,2006-12-31,"The Department of Environmental Health and Safety at UC Santa Barbara provides guidance and services to the campus community to promote the integration of health, safety, and environmental stewardship to all University activities. Programs have been in place for a number of decades, but the baseline of 2006 for STARS was selected to fit within the parameter period that aligned with other categories of reporting.","There are multiple health and safety programs on campus, generally administered through Environmental Health & Safety.  EH&S Divisions include:  Environmental Health; Waste Management; Emergency Management; Radiation Safety; Biological Safety; Laboratory Safety; Fire Marshall; Workers’ Compensation; Ergonomics; Risk Management & Insurance and Industrial Hygiene.   The over-arching worker safety program is the Injury and Illness Prevention Program (IIPP) and  is the most important health and safety regulation/program on campus, and in California.  The IIPP law is administered by the California Occupational Safety and Health Administration (Cal-OSHA).   In short, this law requires employers to establish the following foundation safety program elements that apply to all workers regardless of their particular job duties:

        Ensure that workers are trained in, and comply with, safe work practices
        Inspect for and correct unsafe/unhealthy work conditions as soon as possible
        Maintain documentation of all training and inspections
        Encourage workers to report unsafe conditions (Hazard Reporting Form) without fear of reprisal
        Communicate safety issues in a way that is understandable to all workers
        Report and investigate all occupational injuries

How is the IIPP Implemented at UC Santa Barbara?

As with all campus worker safety programs, the primary implementers of the IIPP are supervisors, faculty and their department administrations (see campus policy #5400).  The role of EH&S is to inform campus administrators of their IIPP responsibilities and to provide them appropriate tools to assist with implementation.  These tools include:

    Each department must have a written IIPP program as required by Cal-OSHA.  Your local written plan should be maintained by your Department Safety Rep within the UCSB Health and Safety Binder.  All employees have the right to see their written program upon request.

    Per Cal-OSHA, each employee must be made aware of their employer's IIPP and their responsibilities under their plan.   The best way to achieve this is to have all employees view the most appropriate online training session:

        Office Supervisors
        Physical Laborer Supervisor
        Non-Supervisor (All employees in non-supervisory role)
        Laboratory Workers (IIPP is covered as part of a broader training module)

Most modules take about 15 minutes to complete and also there is an overview of campus emergency preparedness and response procedures. Within each of the supervisor's modules are the generic forms designed to assist in meeting the training and inspection documentation requirements (IIPP Forms) noted above in #1 - 3.

Injury and Illness Prevention Program Contact:

Hector Acuna, x 8243  (substitute Jesse Bickley, x-8787)
Hector.Acuna@ehs.ucsb.edu  (Jesse.Bickley@ehs.ucsb.edu)

Each dept./unit has a safety bulletin board to post basic health and safety information, including:
A Cal/OSHA ""Safety and Health Protection on the Job"" poster
The UCSB Emergency Information Flip chart (also posted in many rooms on campus)
The “Hazard Reporting Form”
",http://www.ehs.ucsb.edu/units/iipp/iipp.html,"Additional programs under Environmental Health & Safety can be found at: http://ehs.ucsb.edu/
"
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:55:14,ekericks@ucsc.edu,2.0,Pursuing,**,--,--,4544.0,4489.0,**,2014-01-01,2014-12-31,2009-01-01,2009-12-31,This was the furthest back we were able to find records of historical data.,"Monthly injury review, inspections, outreach and training both scheduled and on request, policies and programs reflecting ISEM concepts in various activities, developing new programs meeting changes in regulations or best practices, piloting trials of equipment and providing funding to correct safety hazards, improve working conditions, and ensure safe alternatives are available to employees, unit audits and consulting services, hazard report response and investigation, project review and active intervention when necessary, communication liaison with regulatory agencies.",http://ehs.ucsc.edu/programs/safety-ih/index.html,The FTE figures for this category include BOTH staff and student employees. (Students have been removed in all other categories to avoid double-counting).
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:05,dave.newport@colorado.edu,2.0,Pursuing,**,469.0,508.0,6212.0,5534.0,**,2013-06-30,2013-07-01,2005-06-30,2006-07-01,"The University of Colorado Boulder will comply with all applicable environmental health and safety rules and regulations.  Environmental Health and Safety (EH&S) is a division of the UCB Department of Public Safety and is responsible for implementation and enforcement of the Campus environmental, health and safety program.  Accordingly, the Director of EH&S has been delegated the authority to issue related policies and procedures for the Boulder Campus and, if necessary, to suspend activities and/or close areas that are deemed to be unsafe, to human health or the environment, and/or non-compliant with Federal, State or Local regulations.

EH&S will consult with the respective VC prior to or immediately following the issuance of policies/procedures or curtailment actions taken, based on the circumstances.  In addition, the Director of EH&S will interact directly, on a regular basis , with each VC (as well as the Chancellor, as appropriate) on issues involving safety, health and environmental compliance in their respective division.",Not available,http://www.colorado.edu/ehs/pdf/UCBPolicy.pdf,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:52,lkogan@uccs.edu,2.0,Pursuing,**,30.0,34.0,1421.0,1278.0,**,2012-07-01,2013-06-30,2010-07-01,2011-06-30,"This is the first year for which complete, accurate data is available.
","The University of Colorado provides workers’ compensation coverage, as required by State regulation, for employees who are injured during the course and scope of employment.

University Risk Management offers a variety of services to the campus communities of the University of Colorado. These services provide our employees with the ability to identify and manage risks, know and take the appropriate steps in light of events, and instill a culture of safety in their organizations.

University Risk Management offers assistance in the following areas listed below:

Workers' Compensation

Property Insurance

Automobile Insurance

General Liability

International Travel

Certificates of Insurance

Event and Activity Planning

Camp Activities

Volunteer, Trainee, and Minor Participants
",https://www.cu.edu/risk,--
University of Connecticut,2016-03-25,2016-03-25 18:15:42,rich.miller@uconn.edu,2.0,Pursuing,**,117.0,115.0,5902.79,5352.0,**,2015-01-01,2015-12-31,2014-01-01,2014-12-31,2014 is the first year that a baseline year was formally established for this institution.,"The health and safety policy was adopted in order to provide a safe and healthy environment for University facutly, staff, students and researchers.  The health and safety policy outlines responsibilities and mandates compliance with all applicable federal, state, local, and University regulations, policies, and procedures conerncing workplace safety and public health. http://policy.uconn.edu/2011/05/19/health-and-safety-policy/

The vision of the Environmental Health and Safety department at the University is to promote and maintain a safe and healthful environment by ensuring the highest level of environmental health and safety services for faculty, staff, students, and visitors at the University of Connecticut. Their mission is to provide comprehensive environmental health and safety services for the University community by developing and administering effective policies and procedures that prevent personal injuries and maintain regulatory compliance in the areas of biological, chemical, occupational, and radiation safety, thereby supporting the University's mission of teaching, research, and public service.  Their goals include the following:
•	Ensure that all written policies, procedures, and training materials for applicable regulatory standards are established, current, and delivered to appropriate campus groups
•	Maintain an up-to-date departmental web page to enhance access to health and safety policies, procedures, technical guidance documents, and compliance assistance information.
•	Improve communications with the University community, and stress the importance of adhering to health and safety standards on a campus-wide basis.
•	Promote the department's role as an environmental health and safety information resource ready to meet the needs of the campus community.
http://www.ehs.uconn.edu/information/mission.php

The policies and procedures EHS has developed in order to promote general, biological, chemical, and occupational health and safety, public health and food safety, and radiation safety are found here: http://www.ehs.uconn.edu/ppp/index.php

More information about the various committees that mandates the above policies and procedures, including the Environmental Health and Safety Committee, the Chemical Hygiene Committee, the Laser Safety Committee, the Radiation Safety Committee, and other related University committees, can be found here: http://www.ehs.uconn.edu/information/committees.php

Finally, the EHS requirements for construction, services, and maintenance contractors can be found here: http://www.ehs.uconn.edu/ppp/Contractor_EHS_Manual.pdf
",http://www.ehs.uconn.edu/index.php,--
University of Denver,2016-02-26,2016-02-26 12:38:11,chad.king@du.edu,2.0,Pursuing,**,42.0,65.0,2343.0,2309.0,**,2013-07-01,2014-06-30,2010-07-01,2011-06-30,,"The Environmental Health and Safety Department supports the University's mission by ensuring the health and well-being of University students, faculty, staff, and visitors and by remaining a community leader in environmental stewardship and sustainability.

The Environmental Health and Safety Department assists the University community in reducing risk and injury through hazard recognition, evaluation and remediation. EHS acts as the University liaison to federal, state and local regulatory agencies related to environmental and occupational safety issues.
EHS offers training for University employees covering a number of general safety topics:

    Back and Lifting Safety
    Ergonomics
    Heat Stress
    Ladder Safety
    Winter Safety
",http://www.du.edu/ehs/,--
University of Florida,2016-03-23,2016-03-23 09:06:23,miwilliams@ufl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Houston,2016-03-23,2016-03-23 17:21:51,smkelly5@central.uh.edu,2.0,Pursuing,**,87.0,115.0,4903.0,4932.0,**,2012-09-01,2013-08-31,2011-09-01,2012-08-31,That was the baseline that Environmental Health and Life Safety provided.,"The University of Houston employs a number of health and safety initiatives through various departments and policies. Environmental Health and Life safety handles the majority of these initiatives and safety training including: respiratory protection, chemical hygiene, asbestos, fall protection, ergonomics and many other initiatives.  ",http://www.uh.edu/ehls/general/general-safety/,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:51,Cindy@uic.edu,2.0,Pursuing,**,402.0,522.0,10924.0,10792.0,**,2012-01-01,2012-12-31,2011-01-01,2012-12-31,"In 2011, the Environmental Health and Safety Office (EHSO) and the University Health Services started using data we collected for tracking workplace injuries and illnesses.  In the past we used figures provided by the University’s Worker Compensation group.  Worker’s Comp did not track injuries and illnesses In a way that the figures could be reported to Illinois Department of Labor.  Data before 2011 could not be used to compare UIC to other universities.",,--,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:34,spauldng@illinois.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Louisville,2016-02-13,2016-02-13 03:02:59,justin.mog@louisville.edu,2.0,Pursuing,**,147.0,154.0,6342.0,6211.0,**,2015-01-01,2015-12-31,2014-01-01,2014-12-31,,"The University of Louisville is committed to maintaining a safe and healthy workplace for its faculty, staff and students. To that end, the Industrial Hygiene Section of the Department of Environmental Health and Safety provides services and compliance guidance to the University community for many aspects of workplace health and safety. Some exceptions to this are Biological Safety, Radiation Safety, Laser Safety, and Waste Disposal which are specialized areas with separate professional staff.

Compliance with the regulations of the Kentucky Office of Occupational Safety and Health is the basis for several OSH Programs administered by the Industrial Hygiene Section.

Questions about Workplace Health and Safety at the University of Louisville can be directed to the Industrial Hygiene Manager at 502-852-6670.",http://louisville.edu/dehs/ohs,"In line with IPEDS, we calculate the number of FTE employees by summing the total number of full-time employees and adding one-third of the total number of part-time employees."
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:22,sdeleon@umd.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:37,esmall@facil.umass.edu,2.0,Pursuing,**,525.0,540.0,6271.1,6071.3,**,2013-07-01,2014-07-01,2005-07-01,2006-07-01,2005-6 was the year prior to first year that Sondra S. the Physical Plant/EH&S Safety officer started working and when many of the safety initiatives were initiated.,"The University of Massachusetts Amherst Physical Plant Safety Office implements the campus EHS policies, programs, and practices as applicable to Physical Plant operations, which include Utilities, Grounds, and Building Maintenance.
The primary elements of the Physical Plant program include:
(1)	Training
(2)	Inspections/ Audits 
(3)	Accident Prevention/  Investigation
We take a pro-active stance which includes heavy emphasis on hazard awareness & assessment, as well as worker participation in all three of the above elements. 
Within these general initiatives we may have specific initiatives at any given time. These may be a campus- initiative, or part of a nation-wide (OSHA) campaign. In 2014 these included “Ladder Safety”, “Motor Vehicle Safety”, and “Working in Laboratories”.
",--,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:13,Tyler_Arrigo@uml.edu,2.0,Pursuing,**,32.0,32.0,1726.0,1550.0,**,2012-07-01,2013-06-30,2010-07-01,2011-06-30,NA,Not addressed. ,--,--
University of Michigan,2016-01-11,2016-01-11 15:37:45,ahorning@umich.edu,2.0,Pursuing,**,740.0,678.0,44063.0,46265.0,**,2013-01-01,2013-12-31,2009-01-01,2009-12-31,N/A,,http://www.oseh.umich.edu/,"Data is recorded on a calendar year basis.  2013 is the most recent data available, 2009 was the earliest data available therefore 2009 was chosen as the baseline.
"
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:20,mgranley@d.umn.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:01,good0044@morris.umn.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
