Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Floor area of building space covered by an indoor air quality (IAQ) management program that meets ...,Gross floor area of building space,A brief description of the institution’s indoor air quality program(s) (including information about ...,The website URL where information about the institution’s indoor air quality program(s) is available,Public Notes
San Francisco State University,2016-03-25,2016-03-25 17:34:18,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:49,lkalkbrenner@scu.edu,2.0,Pursuing,2362750.0,2549202.0,"For all conditioned spaces, air is conditioned, filtered, and monitored for fresh air intake and carbon dioxide levels. Occupants may register complaints and/or requests via an online work order system or by calling the Facilities Customer Service Center.",http://university-operations.scu.edu/utilities/provided-services/hvac/,--
Seattle University,2016-03-23,2016-03-23 11:53:33,thompson@seattleu.edu,2.0,Pursuing,2185180.0,2185180.0,"The Manager for Environmental Safety and Health regularly monitors each building's indoor air for potential contamination. Complaints are received and dispatched by the Facilities Response Center. Action plans are based on immediacy of the complaint. An action plan for determination of possible contaminants is available to the Facilities response center.

The Air Quality plan is located on the facilities web site.",https://www.seattleu.edu/facilities/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:41,mpate@sewanee.edu,2.0,Pursuing,1118457.0,1403057.0,"Thirty-seven buildings have their ventilation controlled by a campus-wide Building Automation System.  All these and future buildings (and many others) have ventilation systems designed to meet code via ASHRAE Standard 62.  The practices we use to ensure good indoor air quality  include:  monitoring the temperature and humidity and, in a number of cases, C02 on an ongoing basis; verifying proper operation of fans and dampers; following up any complaints of stuffiness or odors with investigations by Physical Plant Services, and/or the Office of Environmental Health and Safety.  Fume hoods are tested on a regular basis as required by code. ",--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:20,andre.plante@sheridancollege.ca,2.0,Pursuing,1938902.0,1938902.0,"Sheridan operates the buildings air handling system as per the Ontario Building Code and controls the system using the ASHRAE 55 standards governing commercial buildings air quality.

Sheridan’s air handling systems are designed according to the air handling automation system whereas the control sensors installed on the system are designed to provide self-diagnostics and adjust the air controls accordingly. In general, if the return-air sensors detect that the return air from a room has a higher level of CO2 than is mandated by the ASHRAE standards, then the system self-adjusts to allow more fresh-air to be supplied to the air-handling system supplying the room with higher-than-mandated CO2 levels. This ensures that the CO2 levels are well within the acceptable standards for human occupancy.

Green cleaning products are used on campus to eliminate toxic substances and harmful fume discharges in the interior environment.

Designated smoking shelters are provided in certain locations around campus to ensure a smoke-free environment indoors. These shelters are located at a sufficient distance from building entrances.

Air that enters college buildings is filtered through a hospital-grade air filtration system that filters the air twice.

Implementation of living green walls is seen at the HMC and Davis campuses. The living wall acts as a natural bio filter that is fully integrated into the building’s air handling system, designed to remove common indoor contaminants, and improve air quality and energy efficiency.",--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:49,erica_lay@sfu.ca,2.0,Pursuing,4573232.53,4573232.53,"Systems are monitored and controlled through the central DDC systems. Operators use the DDC system daily to control and check indoor air quality.

Concerns related to Indoor Air Quality can be addressed through SFU's Safety and Risk Services: http://www.sfu.ca/srs/ehs/air-quality.html.",--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:59,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:12,dweisbor@smith.edu,2.0,Not Pursuing,--,--,--,--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:28,huminskis1@southernct.edu,2.0,Pursuing,--,2544488.0,"SCSU currently bases indoor air quality practices reactively rather than proactively because of costs associated with testing. Campus community members register concerns or complaints in the Office of Facilities and Operations, with the Environmental Health and Safety Coordinator.

SCSU uses low VOC emitting paints, adhesives, and finishes in all buildings. SCSU utilizes third party certified 100% green cleaning in all buildings, and the Direct Digital Control building automation system enables monitoring of adequate ventilation. Walkoff mats in building entry ways minimize dust and dirt in buildings. ",--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:43,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:39:30,beigelcod@sou.edu,2.0,Pursuing,1934747.0,1934747.0,"All campus buildings are regularly monitored and maintained to ensure proper air quality for building occupants. Air filters are cleaned and replaced according to manufacturer standards. Building occupants are able to register complaints or raise concerns with air quality with their building manager. These complaints may then be entered into FAMIS, our facilities maintenance work order system. All air quality complaints are promptly addressed by the Environmental Health & Safety manager.

The LEED Platinum Higher Education Center features CO2 sensors that control the building ventilation rate based on the levels of CO2 in the building. Occupancy sensors in labs are used to reduce the minimum outside air changes from 10 air changes per hour (ACH) when occupied to four ACH when unoccupied.",http://sou.edu/sustainable/hec.html,--
Spelman College,2016-02-15,2016-02-15 08:21:36,aefrazier@spelman.edu,2.0,Pursuing,1252911.0,1252911.0,"In the context of Spelman College’s Sustainable initiatives, the Indoor Air Quality practices are
undertaken with the commitment to the ideals outlined in the Sustainable Spelman Vision
Statement and Goals.
Spelman College seeks to maintain the best possible air quality within the confines of authorities
having jurisdiction, legal, and fiscal requirements. The selection of products for use on campus
shall minimize or eliminate the exposure to airborne contaminants. The College supports the
concept of fragrance and pollutant free environment on campus and its programs.
Spelman’s Facilities Management & Services, Environmental Health & Safety Compliance, and
Public Safety teams provide training, post guidelines, inspect and maintain air delivery systems,
monitor campus procedures, and address all air quality concerns. The purpose of the
compliance guidelines is to communicate and effect timely resolution of air quality complaints
and concerns. ",http://www.spelman.edu/docs/sustainability/indoor_air_quality_practices.pdf?sfvrsn=2,The College also has a Mold Management Plan
St. John's University,2016-03-02,2016-03-02 16:31:46,goldsmit@stjohns.edu,2.0,Pursuing,3027007.0,3027007.0,"In house maintenance staff perform preventive maintenance on mechanical equipment inlcuding: filter changing, coil cleaning, introduction of outside air, along with building managment system.",--,--
Stanford University,2016-03-23,2016-03-23 01:13:14,mbhafer@stanford.edu,2.0,Pursuing,14562639.0,14562639.0,"A number of organizations work together to ensure IAQ practices at Stanford. In particular, please consider the following:

(1) Smoke-Free Environment Policy 
http://adminguide.stanford.edu/23_4.pdf

(2) IAQ Policies & Requirements During Renovation  Projects
http://www.stanford.edu/dept/EHS/prod/mainrencon/Guide_Proj_Manag.pdf

(3) Facilities Design Guidelines -- See Div. 15 Mechanical
http://maps.stanford.edu/fdg_available

(4) Occupant Complaint System (Work Order Request & Hotline)

(5) Monitoring & Control
http://lbre.stanford.edu/sem/energy_services_group

(6) Preventative Maintenance, Facilities Renewal, and Ongoing Commissioning
http://bgm.stanford.edu/groups/zones/index

(7) On-Site HVAC Shop & Technicians
http://bgm.stanford.edu/groups/build_maint/build_eng_trades",--,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:29,malichte@esf.edu,2.0,Pursuing,--,1290997.0,"
- ",--,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:02,Beth.Klein@cortland.edu,2.0,Pursuing,2435970.0,2435970.0,"The campus is monitoring the air quality through the Computerized Building Management Systems as well as the computerized work order system (TMA) for addressing the users concerns.  The office of EH&S also test and monitors the spaces on complaints basis.


CO2 sensors are in numerous locations throughout many of the buildings and used in the building control systems to maintain proper levels as occupancy changes.
Technicians monitor the levels of CO2, and if the control systems are not performing properly, manual adjustments are made.",http://www.sucf.suny.edu/pdf/dir/15h-9.pdf,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:15,dezarn@geneseo.edu,2.0,Pursuing,2325149.0,2325149.0,"1.	Purpose:  The purpose of this program is to inform the University community about indoor air quality (IAQ).

2.	Scope:   University wide. The University recognizes the impact that indoor air quality has in the workplace.  In an effort to provide the University Community with the optimum level of indoor air quality, Environmental Health and Safety has developed an indoor air quality program.

Symptoms arising from poor indoor air quality often mimic those symptoms commonly associated with a cold, flu or allergies. These symptoms may include upper respiratory irritation, congestion, headaches, nausea, fatigue and itchy or watery eyes. Through our indoor air quality program of occupant interviews, building inspection and air quality testing, Environmental Health and Safety is often able to determine the cause of indoor air quality problems.

The objectives of this program include the following:

➢	To prevent illness and adverse health symptoms associated with poor indoor air quality
➢	To respond to indoor quality complaints effectively and to make recommendations for improvement;
➢	To maintain indoor air quality within acceptable levels according to consensus guidelines.

References: 
(a)	ASHRAE, American Society of Heating and Air Conditioning Engineers, as presented in standard 62-1989.
(b)	General Duty Clause of the OSH Act of 1970, section No. 5

3.	Definitions:

Building Material Contamination:  Building components treated with a variety of chemicals and preservatives are common sources of indoor air quality problems. Glues and adhesives from new carpeting, and formaldehyde from new particleboard and upholstery may off gas and become sources of contamination.


Policy No.: 	Approved by:
Title: Indoor Air Quality	Date: 4-28-08
Revision No.: 	Page 2 of 6
Prepared by: Darlene Necaster	

Carbon Dioxide
Carbon dioxide (CO2), a major product of human respiration, is used as an indicator to evaluate the performance of ventilation systems. Ordinary outside air in urban areas normally contain about 350 to 500 parts per million (ppm). ASHRAE standard 62-1989 (Ventilation for Acceptable Indoor Air Quality) recommends that CO2 levels be maintained below 1,000 ppm.

Contamination From Inside the Building:  Contaminants commonly found inside the building include:
➢	Ozone from copiers
➢	Cleaning agents
➢	New furniture and carpets
➢	Sewer gas from dry traps
➢	Appliances not properly maintained
➢	Pesticides
➢	Cosmetics
➢	Humidification devices

Contamination From Outside the Building:  Contamination commonly found outside of buildings include:
➢	Exhaust from motor vehicles
➢	Fumes from construction or renovation activities

Inadequate Ventilation:  Inadequate ventilation occurs when an insufficient amount of fresh outside air is supplied to the interior environment.

Microbial Contamination:  Microbial Contamination occurs in buildings that are susceptible to water leaks and other sources of moisture. Contaminants can also be introduced into buildings from stagnant water in HVAC air distribution systems and cooling towers. In general, prevention of microbiological contamination is accomplished by eliminating standing water and other sources of moisture ((draft) Mold and Water-Damaged Building Materials Management Policy).

Relative Humidity
Relative humidity levels can affect the release rate of many indoor contaminants, their concentrations in the air, and the potential growth of microbial organisms. Humidity can also have a direct effect on worker comfort. In ASHRAE 55-1981, a “comfort chart” shows an acceptable range of humidity to be from 20 to 60%.


Policy No.: 	Approved by:
Title: Indoor Air Quality	Date: 4-28-08
Revision No.: 	Page 3 of 6
Prepared by: Darlene Necaster	

Temperature
Temperature ranges of 73 degrees F to 79 degrees F during the winter months, and 69 to 75 during the summer months are recommended by ASHRAE. These guidelines are intended to achieve thermal conditions in a given environment that at least 80% of persons who occupy that environment will find it acceptable or “comfortable”.

4.	Related Documents:  (draft) Mold and Water-Damaged Building Materials Management Policy 

5.	Responsibilities:   Environmental Health and Safety investigates indoor air quality complaints and distributes written final reports to affected parties. 

6.	Procedures:  
IAQ Investigation

Phase I Assessment
The first step in a typical IAQ investigation is a Phase I or preliminary assessment. Phase I assessments include interviewing occupants using an employee questionnaire and occupant diary (see appendix) and performing a walk-through inspection of the building or area of complaint. The questionnaire is used to obtain information about the nature of the employee complaints and symptoms and also to determine the magnitude of the problem.

During the walk-through, building ventilation systems are evaluated and potential sources of contamination are identified. If the immediate cause or source cannot be found, a Phase II assessment is required.

Phase II Assessment
During a Phase II assessment, common indoor air quality parameters including temperature, relative humidity, and carbon dioxide levels are measured.

The most commonly cited quantitative measurements of indoor air quality are provided by ASHRAE, American Society of Heating and Air Conditioning Engineers, as presented in standard 62-1989.

Phase III Assessment
A Phase III Assessment is performed when a definitive cause for the symptoms cannot be determined during the Phase II Assessment of the investigation.


Policy No.: 	Approved by:
Title: Indoor Air Quality	Date: 4-28-08
Revision No.: 	Page 4 of 6
Prepared by: Darlene Necaster	

Phase III Assessments consists of extensive and more specific monitoring and sampling for chemical and/or microbial contaminants.  Environmental Health and Safety often contracts Phase III Assessments to Professional Indoor Air Consultants. In our final report for a Phase III investigation, our office will typically recommend that the occupant seek the services of an occupational health physician.
",http://www.geneseo.edu/ehs,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:22,mittenl@newpaltz.edu,2.0,Pursuing,2030244.0,2030244.0,"The State University of New York at New Paltz recognizes the impact that indoor air quality has in the workplace. In an effort to provide the campus community with the optimum level of indoor air quality, the Office of Environmental, Health, and Safety has developed an indoor air quality program available on the Safety Programs Website.
",http://www.newpaltz.edu/ehs/safety_programs.html,"The program was written and implemented this fall, included are the new state guidelines for temperature with the energy savings mandates. 

The following unoccupied buildings are not included in the IAQ plan:
- Pole Barn
- Grounds Shop
- Hazardous Waste Storage Building
- Electric Substation
- Grounds Storage
- Central Heating Plant"
Sterling College,2016-01-28,2016-01-28 10:04:22,cfeuerstein@sterlingcollege.edu,2.0,Not Pursuing,--,--,--,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:59,gotham360@stevens.edu,2.0,Pursuing,1480090.0,1480090.0,"In order to maintain healthy indoor air quality (IAQ), Facilities and Campus Operations has a preventative maintenance program where all HVAC equipment is inspected and maintained on a regular basis.   This preventive maintenance includes cleaning of the air handlers to provide clean air to all spaces served.   Additionally, the Stevens Office of Environmental Health and Safety has the ability to investigate indoor air quality concerns raised by building occupants, including measuring carbon dioxide and carbon monoxide levels.   To ensure healthy indoor air quality in labs, work involving noxious chemicals in carried out under fume hoods.  Stevens also supports and adheres to various furniture and fixture certifications such as the SCS (Scientific Certification Sciences) Indoor Advantage Certification for lab equipment, and GEI (Greenguard Environmental Institute) on products, such as chairs, paints, textiles, window shades, and carpeting.  GEI improves IAQ by certifying products that reduce exposure to chemical pollutants particle emissions and volatile organic compounds (VOCs).  VOCs negatively impact IAQ and have been found to reduce productivity of users in spaces with high VOCs.",--,--
Syracuse University,2016-03-25,2016-03-25 15:33:52,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:17,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:57,kwellman@tamu.edu,2.0,Pursuing,20930965.0,20930965.0,"Mechanical systems will be designed in accordance with the latest editions of the International Mechanical Code, the International Energy Conservation Code, and the latest ASHRAE Standard 62 - Ventilation for Acceptable Indoor Air Quality.

All occupied space on campus is covered under an agreement with a vendor to conduct filter changes at least quarterly.  Many spaces have their filters changed more frequently as needed. ",https://www.tamus.edu/assets/files/fpc/pdf/Facility%20Design%20Guidelines.pdf,"http://agrilifeextension.tamu.edu/
http://fcs.tamu.edu/housing/healthy_homes/indoor_air_quality/air_cleaners/air_cleaning.php
http://tti.tamu.edu/group/airquality/
http://www.tamhsc.edu/ehsm/manual/general/housekeeping.html
http://fcs.tamu.edu/housing/healthy_homes/indoor_air_quality/quick_indoor_air_quality_facts.php

Information for this section was supplied by SSC Service Solutions, a third-party contractor for Texas A&M Buildings Maintenance."
Texas Tech University,2016-03-25,2016-03-25 15:47:43,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:56,dial.15@osu.edu,2.0,Pursuing,24221271.0,24221271.0,"The quality of indoor air within Ohio State buildings should allow employees to work safely at all times. However, there are rare circumstances where hazards, such as elevated particulates (dust, dander, and allergens), volatile chemical vapors, vehicle emissions, and mold may enter workplace air. EHS has the capability to conduct air monitoring for these, and many other, compounds to evaluate breathing air within a building and ensure compliance with ASHRAE, OSHA, and EPA requirements for indoor air. Additionally, EHS conducts annual indoor air quality testing (respirable particles, carbon dioxide, carbon monoxide, temperature and relative humidity) in 116 campus buildings; these records are kept for baseline and comparison purposes.",--,--
Tufts University,2016-02-25,2016-02-25 15:40:31,tina.woolston@tufts.edu,2.0,Pursuing,4777135.0,4777135.0,"Tufts University does not have a written plan specific to Indoor Air Quality (IAQ) issues but has had IAQ procedures in place for at least the last 15 years. Air quality is monitored by the Environmental Health and Safety department. The EH&S website has a URL that allows members of the Tufts community to contact them to register concerns. (http://publicsafety.tufts.edu/ehs/indoor-air-quality/) 

When EH&S receives a concern or complaint, they respond within 24 hours. They then work with other departments such as Facilities to correct the problem. In extreme circumstances, EH&S brings in consultants to assist with complicated air quality problems, although this is very rare.

Tufts also follows both the Massachusetts Building Code requirements (found at http://www.mass.gov/Elwd/docs/dos/iaq/iaq_392_mechanical_vent.pdf), as well as ASHRAE Standards for ventilation (found at http://www.ebtron.com/pdf/general/ASHRAE62_Synopsis_021003.pdf).",http://publicsafety.tufts.edu/ehs/indoor-air-quality/,"Tufts also provides articles that specifically address IAQ in many of their publications for employees, and IAQ is covered at New Hire Orientation."
Tulane University,2016-02-04,2016-02-04 11:04:00,ldavey@tulane.edu,2.0,Pursuing,7209993.0,7209993.0,"In most instances, a building occupant(s) may have an indoor air quality (IAQ) concern because they smell an unusual odor or are experiencing adverse health effects from odors that may be due to one or more of the following conditions/activities: chemicals usage or an uncontrolled chemical spill or release, construction/maintenance or housekeeping activities, inadequate fresh air in the building, work activities or procedures conducted in an area, outdoor pollutants that enter the building through the fresh air intakes, malfunction of building equipment or some other cause. Tulane employees are advised to report odor complaints to Facilities Services initially.  If necessary, Facilities Services will call the Tulane University Office of Environmental Health and Safety (OEHS) to help identify the root cause of the IAQ concern.  The OEHS may also conduct an IAQ investigation based upon a First Report of Occupational Injury (FROI) report, routine inspections, or due diligence/property acquisition. 

The OEHS has established the following investigation  process:

1.	Initial assessment- Gather background information
2.	Initial building walkthrough assessment/survey
3.	Building characterization-Work closely with Facilities Services to gather info on the building’s mechanical systems, recent construction/renovation projects, access building blueprints, diagrams, and HVAC specifications, etc.
4.	Develop initial hypothesis as to cause of IAQ problem and identify possible corrective actions.
5.	Intermediate Assessment (if necessary)
a.	Preliminary Air Sampling - Evaluate comfort factors (temperature, humidity, determination of outside air, carbon dioxide levels, moisture, etc.) Additional  sampling (if deemed necessary) 
b.	Detailed monitoring/sampling for specific contaminants. (May include sampling for biologicals and moisture readings in building materials, if warranted). Will include an interpretation of results, and hypothesis development.
6.	Control Strategy-Includes one or more of the following: remediate or control all known and potential sources of chemical and microbial contamination, correct building problems, correct HVAC problems, and prevent future pollutant issues.
7.	Follow-up assessment-May include air sampling/testing after remediation and/or an additional assessment of occupant complaints after the problem has been corrected to ensure the problem has effectively been remediated.
 
",--,--
Unity College,2016-03-25,2016-03-25 15:25:00,JdeHart@unity.edu,2.0,Not Pursuing,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:15,mmallia@albany.edu,2.0,Pursuing,5337508.0,5337508.0,"The university's IAQ plan includes an IAQ management policy for new construction, use of low emitting materials, a regular HVAC maintenance plan, and a complaint system through the Office of Environmental Health and Safety",http://www.albany.edu/gogreen/files/documents/IAQ%20Plan.pdf,--
University at Buffalo,2016-01-19,2016-01-19 10:15:51,jlk47@buffalo.edu,2.0,Pursuing,11050340.0,11050340.0,"Acceptable indoor air quality for University at Buffalo buildings has been defined as air in which there are no known contaminants at harmful levels, and with which 80% or more of the occupants do not suffer systematic discomfort. Indoor air quality is monitored both electronically via building control systems, and anecdotally through the Environment, Health, and Safety Department of the University.",http://www.buffalo.edu/facilities/ehs/safety-industrial-hygiene/indoor-air-quality.html,"Buildings not included in total were Triads 111,342 and Townsend 25,007 for a total deduction from grand total 11,186,689 of 136,349. These buildings are closed."
University of Arizona,2016-03-25,2016-03-25 15:31:56,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,"Occupied Building Space data was compiled from the UA Real Estate Administration Physical Campus Inventory reports for buildings that fall within the institutional boundary outlined at the beginning of this report.

Figures may not reflect UA Factbook sources due to subtle differences between the institutional boundary and the boundary reported by the UA Factbook."
University of British Columbia,2016-02-22,2016-02-22 18:18:38,charlene.ponto@ubc.ca,2.0,Pursuing,15440970.0,15440970.0,"The University of British Columbia is committed to ensuring its employees have a healthy and safe work environment which includes all campus buildings having an optimal level of Indoor Air Quality (IAQ). The UBC program on IAQ provides an organized approach on how to prevent and resolve IAQ concerns within building offices and other non-industrial work spaces occupied by UBC staff so that the quality of air is in compliance with provincial regulations and federal guidelines. The IAQ program is applicable to all buildings owned and/or maintained by UBC. 

As described in the IAQ program, to avoid the occurrence of poor IAQ, preventative maintenance checks are carried out on building HVAC systems, heating and cooling pumps, as well as other mechanical systems by UBC Building Operations. These audits are used to identify and correct potential mechanical deficiencies that may lead to poor IAQ. 

In cases where an IAQ issue still arises, the occupants experiencing symptoms or concerns are asked to inform their supervisor, building administrator, and/or local health and safety committee and complete an IAQ Referral Form so that an investigation can be initiated. The IAQ Referral Form is used to gather more background information and can help narrow down potential causes/pollutants leading to poor IAQ. Once the IAQ Referral Form is completed, either the Facilities Manager or Risk Management Services should be notified depending on the parameter that requires further investigation. For example, concerns about temperature levels, relative humidity, and drafts from diffusers are investigated by the Facilities Manager while concerns regarding chemicals, mold, and unusual odors will be looked after by Risk Management Services. A general walk-through and evaluation of the area of concern is then carried out where appropriate observations are noted, interviews are conducted, and measurements are made. Building drawings and plans, especially for the HVAC system, may also be consulted for additional information. Upon completion of the investigation, the source causing poor IAQ will be identified and the necessary controls will be developed and implemented to resolve the issue. 

Additional information on Building Operations and how to enter a maintenance service request can be found at http://www.buildingoperations.ubc.ca/.",http://riskmanagement.ubc.ca/health-safety/indoor-air-quality,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:12,lmcneilly@berkeley.edu,2.0,Pursuing,16299587.0,16299587.0,EH&S provides technical assistance in evaluating and mitigating indoor air quality issues on the entire campus.  ,http://ehs.berkeley.edu/,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:24,cmkirk@ucdavis.edu,2.0,Pursuing,12237663.0,12237663.0,"UC Davis utilizes an IAQ Response Guide to ensure the faculty, staff, students, and visitors occupy indoor environments that do not endanger their health and safety. Environmental Health & Safety has staff specifically available (on-call) to answer or respond to any concerns about the indoor environment. A ""SafetyNet"" (information sheet) is available to the campus community to learn more about how to maintain and improve indoor air quality. ",http://safetyservices.ucdavis.edu/snfn/safetynets/snml/sn99/sn99,--
"University of California, Irvine",2016-03-23,2016-03-23 10:32:39,khaq@uci.edu,2.0,Pursuing,5826553.0,5826553.0,"All maintained buildings are equipped with MERV 14 filters. Regular monitoring of filter performance is provided by a third-party contract service and includes visual inspection, and pressure drop readings.
 
Complaints regarding indoor air quality are reported to the Facilities Management Service Desk. There they are electronically logged and archived. Facilities Management HVAC staff investigate and correct issues as they come up. 337,510 square feet are monitored for real-time IAQ with ventilation adjustment for TVOC, Particles, CO2, CO, humidity, and temperature using the Aircuity Optinet system. 

An additional 36,000 square feet of the new Business Unit 2 building makes use of the Aircuity Optinet system for CO2 monitoring, optimizing the fresh air intake economizer and saving energy. 
",--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:13,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:23,cmccormick3@ucmerced.edu,2.0,Not Pursuing,--,--,--,--,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:30,john.cook@ucr.edu,2.0,Pursuing,7273618.34,7273618.34,"UCR Department of  Environmental Health and Safety provide auditing, take periodic measurements and provide training for indoor air quality. The Office has specialist that can work with any environment, including laboratories, to ensure a healthy and safe working environment.
",http://www.ehs.ucr.edu/safety/Indoor_Air_Quality/indoor_air_quality.html,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:31,smckinstry@ucsd.edu,2.0,Pursuing,15349749.0,15349749.0,"Indoor environment concerns include odors, air temperature and ventilation problems, floods, leaks, sewage backups, mold, and other general safety issues. The campus’s policy ensures heating, ventilation and air conditioning meet ASHRAE standards for ventilation and thermal comfort. The policies addresses design guidelines and general safety issues related to indoor air quality. It is the responsibility of all employees to inform supervisors of any IAQ issues and if necessary, Environment, Health & Safety and/or Facilities Management will resolve any possible issues.",http://blink.ucsd.edu/safety/environment/indoor/#Indoor-air-quality,"15,349,749 (Estimated at 90% of maintained gross square feet (MGSF))

Occupied building space covered by an indoor air quality plan, policy, and/or practices that include regular auditing or monitoring and a mechanism for occupants to register complaints (square feet).

Other contact: UCSD Environmental Health & Safety"
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:14:40,mo@geog.ucsb.edu,2.0,Pursuing,7937666.0,7937666.0,"The University of California, Santa Barbara's Indoor Air Quality (IAQ) program is comprised of industrial hygienists and safety professionals from UC campuses and UC National Laboratories.  At UCSB, the IAQ program covers the entire campus and all buildings and strives to investigate and correct any discomfort or adverse health effects suffered by building occupants. ",http://ehs.ucsb.edu/units/ih/ihrsc/iaq.html,--
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:54:48,ekericks@ucsc.edu,2.0,Pursuing,5541682.0,5541682.0,"Inspections, monitoring, investigations, preventing and resolving IAQ issues, construction project support, HVAC cleaning, factsheets and guidance documents, project support, mold mitigation, and smoking policy.

The UC Indoor Air Quality (IAQ) Tools document is the primary written procedures related to monitoring and auditing and is available at: http://ucih.ucdavis.edu/docs/iaqtools2010.pdf.   Chapter 1 outlines processes and procedures for responding to IAQ complaints. This chapter also provides various form templates that can be used when gathering information. Chapter 2 and 3 lists HVAC Design, Construction and Maintenance routine procedures for preventing IAQ problems. Chapter 4 provides details on Sampling for Microbial Contamination.

Indoor Air Quality monitoring is performed on an as needed basis based on the concerns of the occupant. EH&S has IAQ monitoring equipment and staff expertise to perform a variety of services in this area. If necessary, the campus will hire specialty consultants to follow up with specific requests that are beyond the scope of the campus EH&S office.  Occupants can register concerns through several mechanisms: 1) the Main EH&S webpage button for reporting a hazard; 2) The campus Injury and Illness Prevention Program provides forms and information for submitting a Hazard Alert notice. These can submitted electronically or by hard copy and also allow for anonymous complaints to be filed. Although not specific to IAQ complaints, the form is generic and has been used for IAQ concern reporting many times; 3) by calling the main EH&S phone number and; 4) by sending an email to ehs@ucsc.edu.

Indoor air quality has become a matter of increased concern in the UCSC campus community. This is not surprising since most of us spend 80 to 90 percent of our time indoors. The Environmental Health and Safety Office (EH&S) is routinely asked to address IAQ concerns and has gathered several informative documents available via links on their website.",http://ehs.ucsc.edu/programs/safety-ih/indoor-air.html,"The square footage is based on the University of California's ""Outside Gross Square Feet"" (OGSF) definition and includes buildings at 1156 High Street, 2300 Delaware, and 100 Shaffer Road. Unoccupied support structures under 100 sf were not included."
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:00,dave.newport@colorado.edu,2.0,Not Pursuing,--,--,--,--,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:25,lkogan@uccs.edu,2.0,Pursuing,366436.0,1832183.0,"In our LEED Gold buildings, we monitor air quality, including carbon dioxide levels, and provide fresh air to spaces as needed. Lab spaces are designed to ensure safety and air quality in positive-pressure and negative-pressure rooms.

As well, we have preventative maintenance programs to ensure that filters and other equipment are replaced or cleaned to maintain air quality.  Occupants can register complaints and other issues to Facilities Services via the work request system.",http://www.uccs.edu/~facsrvs/,--
