Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an ongoing incentives program or programs that meet the criteria for this ...,"A brief description of the program(s), including positive outcomes during the previous three years",A brief description of the incentives that faculty members who participate in the program(s) receive,The website URL where information about the incentive program(s) is available,Public Notes
Portland State University,2016-03-24,2016-03-24 17:21:27,jenny.mcnamara@pdx.edu,2.0,Pursuing,True,"The Institute for Sustainable Solutions offers funding for faculty and staff for sustainability curriculum development. Outcomes include new course development, integration of sustainability into existing courses, and expanded sustainability content including guest speakers and travel to community partners for existing sustainability courses.","Faculty may apply for funding for course buy-outs, summer term salaries, graduate assistants, speakers, travel, supplies, and other services. ",http://www.pdx.edu/sustainability/funding-criteria,--
Princeton University,2016-01-20,2016-01-20 17:01:12,kristiw@princeton.edu,2.0,Pursuing,True,"Through its Grand Challenges Program (GC), Princeton provides seed research grants to faculty seeking to redirect their research to address historically intractable problems in energy and climate, global health and infectious disease, and sustainable development in Africa. Priority for funding new research projects as part of the GC Program is given to faculty proposals that demonstrate solid commitments to involving undergraduates in the research enterprise and to expanding the undergraduate curriculum to address issues of environment and sustainability.

A few Grand Challenges courses that were held between 2012-2014 include: “FRS 111: Water: Keystone for Natural Development,” “ENV 340: Environmental Challenges and Sustainable Solutions,” and “EGR 498: Special Topics in Social Entrepreneurship: Ventures to Address Global Challenges.” 

The High Meadows Foundation Sustainability Fund provides start-up funding for sustainability initiatives using the campus as a living laboratory. All disciplinary approaches are encouraged, especially those that combine the sciences, humanities, and social sciences in creative ways. Between 2012-2014, the High Meadows Foundation contributing to funding for the development of the courses, “Food, Agriculture, and the Environment” and “Art of Sustainability.” ","Faculty selected by competitive application for New Investigator and/or seed grants from the Grand Challenges Program receive two years of funding support (averaging $100,000 per year) to refocus their research and to implement innovations in undergraduate teaching to address topics in energy and climate, sustainable development, and global health and infectious disease. A campus-wide Grand Challenges Call for Proposals are held annually.

For more information about the Grand Challenges Program and its incentives: http://www.princeton.edu/grandchallenges/education/

High Meadows Foundation Sustainability Fund awards may be used to support course development, redesign, or enhancement.

For more information about the High Meadows Foundation Sustainability Fund: http://sustain.princeton.edu/lead/funding",--,--
Principia College,2016-01-30,2016-01-30 21:54:43,karen.eckert@principia.edu,2.0,Pursuing,True,"In furtherance of the Principia Center for Sustainability’s mission “to educate, promote, and inspire Principia College’s students, faculty and staff to become more responsible local and global environmental citizens”, one of the Center’s stated objectives is to “Be a resource for faculty development aimed at infusing sustainable concepts and content into courses.” To this end, the Center provides enrichment grants for faculty to pursue professional training in sustainability. The primary purpose of these grants is to enrich the quality of student education, improve teacher effectiveness, contribute to Principia’s educational program, and benefit the academic community. An example is the support provided to a member of the Business Administration faculty in 2013 to complete a Professional Certificate in Sustainable Business Practices at the University of Vermont, which led to the successful development of a new course: BUAD 270 Business, Society, & Sustainability. ","Incentives are financial through the Center for Sustainability's ""Faculty/Staff Sustainability Enrichment Grant"" program, as described above.
",--,--
Purdue University,2016-02-26,2016-02-26 16:45:25,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:36,llemaitre@randolphcollege.edu,2.0,Pursuing,True,"Professional development funds for course enhancement are available to all full-time, tenured faculty, and may include (but are not limited to) sustainability courses.","Summer stipend or course release time, depending on the nature of the request",--,--
Rice University,2016-03-25,2016-03-25 16:33:21,rrj@rice.edu,2.0,Pursuing,True,"The Shell Center for Sustainability provides two formal processes to incentivize the development of sustainability courses. The broad definition of sustainable development allows for a multi-disciplinary focus that encompasses combined social, economic, and environmental perspectives.
1. Through the formal RFP process for education initiatives. This bi-annual process allows for funding of a new education initiative for one year. This could include a new course. The course is seeded through these funds and is expected to demonstrate success to be considered for adoption by a School. Courses can also be cross-listed and split between more than one School.
2. The formal research RFP allows for the inclusion of course development as part of the funded research. This annual process allows for the creation of synergy between research, teaching, and the inclusion of students on the research team.
3. Courses have also been used to launch new minors in areas of sustainability. 
",Faculty receive funding and the opportunity to support new and creative initiatives through ‘internal’ seed funds. They develop students that are committed to support the research the project entails in their area of study. Faculty can find sustainability within their area of research to qualify for the funds.,--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:54:18,elcpro@rit.edu,2.0,Pursuing,True,"RIT offers sustainability training for faculty and staff. There are currently two sections to the sustainability training provided by RIT's Senior Sustainability Adviser. 

Sustainability 101 :
As the world’s population grows and consumption rises, human and natural systems are becoming increasingly stressed, some on the verge of collapse. Solving this crisis requires a change in perception. No longer can sustainability be viewed as an add-on, rather it must become an integral consideration in every discipline and within our daily lives. This workshop will explore different models and definitions of sustainability, its role in the university curriculum, and introduce techniques to integrate it into new and existing classes. Faculty from all disciplines are encouraged to participate. 

Project-Based Learning for Sustainability: Identifying Teachable Moments on Campus
This workshop focuses on the RIT campus and how it can be used as a living and learning laboratory for sustainability.  Participants will gain a wider understanding of sustainability efforts at RIT and opportunities to integrate campus-based sustainability content, assignments and projects into classes.  Though not necessary, participants are encouraged to come with ideas of possible projects they are interested in exploring further. ","The programs are offered on-campus and during intersession so that faculty and staff are able to attend. It is expected that the faculty and staff will learn and integrate new sustainability techniques into their curriculum, furthering the knowledge of the students. Participants of the programs are encouraged use the campus as a living laboratory to help teach themselves and their students. ",http://www.rit.edu/academicaffairs/destinationintersession/schedule,--
Saint Louis University,2016-03-24,2016-03-24 17:18:21,bverhof1@slu.edu,2.0,Pursuing,True,"The Center for Sustainability funded the development of all core courses and electives in its new Master of Sustainability graduate degree program, which launched in August of 2010. A multi-disciplinary task-force, including faculty members from Parks College of Aviation and Engineering, the School of Social Work, and John Cook School of Business, worked together to develop the unique, inter-disciplinary curriculum offered through the Center. 

In 2012 the Center expanded its program offerings when it became the new home for SLU's Urban Planning and Real Estate Development (now just Urban Planning and Development) masters program and the University's graduate certificate program in Advanced Remote Sensing and Geographic Systems.

Beginning in 2013 the Center partnered with the Business School and the Law School to develop two new dual degree programs: (1) Master of Business Administration & Master of Science in Sustainability and (2) Juris Doctor and Master of Arts in Urban Planning and Development. Both programs went online in the Fall of 2014. The Center is currently working with the business school on plans for a dual degree in Sustainability and Supply Chain Management.

Expansion and enhancement of the Center's academic offerings have provided unique opportunities for interdisciplinary collaboration across the University. Center have faculty and staff have worked closely with colleagues in other schools to develop unique curricula that serve the various dual degree programs.","The core, interdisciplinary task force that developed the Center's initial curriculum received significant financial bonuses, outside of typical university pay grades, as an incentive to work outside of their primary schools to help launch the new degree program. The Center continues to offer competitive financial contracts to faculty members across the University who are interested and able to develop and teach courses for the Center.

Center faculty members also collaborate with faculty members in other departments and at other University's on research and interdisciplinary grant proposals.To solve complex sustainability problems, requires teams of experts both within the university, across disciplines, and outside of the university across sectors. For example, the collaborative research that Dr. Damon Hall is involved with integrates biophysical research with social science for the purposes of applying knowledge to decision making that fosters transitions towards sustainability. These efforts have united faculty from biology, earth and atmospheric sciences, sustainability, sociology, communication, ecology, geography, natural resources, forestry, anthropology, and information sciences departments around the country for the purpose of addressing society's most pressing problems. These problems include managing urban streams, urban sustainability design, crowd sourced hydrologic models for predictive decision making, floodplain management, drought impacts on water quality and its mitigation, and public-private partnerships for urban pollinator conservation throughout North America. The aim is collaborative contribution to methods that help shape transformational sustainability science.  

The Center for Sustainability established a research innovation fund and community development fund to provide additional financial support to faculty members who pursue externally-funded, sustainability-related research and community development projects.",--,--
San Francisco State University,2016-03-25,2016-03-25 17:35:05,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:45:02,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:54:25,thompson@seattleu.edu,2.0,Pursuing,True,"The Center for Environmental Justice and Sustainability’s (CEJS) annual fellowship program supports student and faculty scholarship in environmental justice and sustainability. This fellowship program is available to support scholarly research by faculty in all disciplines on topics related to environmental justice or sustainability. Proposals are encouraged in all types of scholarship, and projects that include collaboration across disciplines or schools/colleges are highly encouraged. The program provides support for new projects, for extending previous work, or for moving projects in a new direction. CEJS faculty fellows are expected to produce a tangible scholarly product, such as a grant proposal, journal article, peer-reviewed artistic presentation, a publishable project as a result of their participation in this program, incorporation of sustainability into existing courses, or the development of new courses.  

Example: 
CEJS Fellow Dr. Trileigh Tucker created the “Environmental Justice Teaching Resources” (EJTR) inventory which can be used by faculty at SU or elsewhere to incorporate EJ into their course offerings.","Each Fellowship Award is one-course release or a stipend during the academic year.
",http://www.seattleu.edu/cejs/fellowships/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:49,mpate@sewanee.edu,2.0,Pursuing,True,"The Collaborative for Southern Appalachian and Place-Based Studies is ""a partnership between Sewanee and Yale—[that] seeks to bring together long-standing, more recent, and yet-to-be-imagined efforts of numerous Sewanee and Yale faculty, students, and community partners to build a transformative and replicable model of public scholarship fundamentally grounded by humanistic inquiry and a focus on place. Insofar as meaningful understanding of and engagement with a place—whether Southern Appalachia or some other locale—demands multiple perspectives, varied methodologies, and real-world application, place-based inquiry can catalyze innovative collaborations that transcend traditional disciplinary, institutional, and academy-community boundaries. Such collaborations and the approaches emerging from them are likely to be especially valuable in addressing the complex array of challenges and opportunities facing local and global communities.""
There is a Call for Proposals, which ""is an invitation to think creatively to develop and strengthen collaborative, interdisciplinary place-based approaches with a focus on humanistic questions and themes.""",Funding can be received for courses and/or public scholarship. ,http://collaborative.sewanee.edu/funding/,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:29,andre.plante@sheridancollege.ca,2.0,Not Pursuing,--,--,--,--,Incentives that are given specifically for incorporating sustainability into the curriculum do not exist.
Simon Fraser University,2016-02-08,2016-02-08 23:41:58,erica_lay@sfu.ca,2.0,Pursuing,--,,,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:08,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:31:05,dweisbor@smith.edu,2.0,Pursuing,True,"Smith professors are a world-class group of scholars who are deeply committed to student learning. To increase the environmental literacy of all Smith students, CEEDS (Center for Environment, Ecological Design and Sustainability) supports the faculty in bringing environmental concepts and context to a wide variety of courses. Every spring CEEDS invites proposals from faculty (and teams of faculty) for modification and enhancement of existing courses. Each academic year CEEDS brings together faculty from across the disciplines to discuss and explore a current environmental topic. Structured as informal lunchtime gatherings, these conversations foster a collaborative atmosphere where faculty can critically examine a topic from a variety of perspectives. 
","The CEEDS curricular enhancement grant program is intended to support faculty who wish to modify, revise, and enhance their existing courses. Activities might include development of new lectures or discussion topics, design of new assignments and projects, and incorporation of field trips and experiences. CEEDS can provide expertise, infrastructure, supplemental course funds, and summer stipends (up to $1,000) in support of these efforts. The staff and Environmental Fellows at CEEDS have expertise in astronomy, conservation, ecology, geochemistry, water resources, landscape studies, and campus sustainability. CEEDS manages the 240-acre Ada and Archibald MacLeish Field Station in West Whately, MA and can also coordinate access to equipment, instrumentation, and transportation. Course funds can be used for the purchase of books, materials, and supplies.
",http://www.smith.edu/ceeds/faculty.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:22:11,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:23:30,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:40:16,beigelcod@sou.edu,2.0,In Progress,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:45,aefrazier@spelman.edu,2.0,Not Pursuing,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:56,goldsmit@stjohns.edu,2.0,Pursuing,True,"One of the major programs that is at the heart of the University and makes St. John's unique is its work in the Bread and Life Program.  This program, along with Academic Service Learning, allows professors to incorporate real world sustainability lessons in their courses.  Many professors use this program to engage students in areas such as social justice, sustainable economics, and resource management.  

The Bread and Life Program not only provides over 2,500 meals daily to needy New Yorkers, but with spiritual and social services including technology, medical, and legal services. 

Further information about the Bread and Life's work can be found online at https://www.breadandlife.org/programs.",Faculty are encouraged to participate in the Bread and Life program and incorporate it as a resource for teaching foundational values to University students. Faculty are responsible for implementing Vincentian teachings into their lessons and evolving their curriculum to meet the needs of students in a rapidly changing environment.,--,More information about the Bread for Life Soup Kitchen can be found at: https://www.breadandlife.org/
Stanford University,2016-03-23,2016-03-23 01:14:07,mbhafer@stanford.edu,2.0,Pursuing,True,"Stanford provides incentives for developing sustainability classes through multiple departments and institutes, including the Stanford Woods Institute for the Environment, Precourt Institute for Energy, and School of Earth Sciences. Affiliation with these organizations offers faculty who teach sustainability courses numerous professional development and other incentives.

The Stanford Woods Institute was founded in 2004 as part of The Stanford Challenge, a university-wide initiative to address the world’s most pressing problems of the modern era, including the Initiative on the Environment and Sustainability.  The Woods Institute supports environmental research, teaching, and learning at all levels of the university.

The Precourt Institute for Energy (PIE) serves as a hub for a number of centers, programs, and projects related to interdisciplinary energy research and learning at Stanford.  PIE provides funding and associated support for cutting-edge energy research, creates and maintains avenues for effective communication and intellectual exchange among scholars and others seeking energy solutions, and develops energy-literate leaders and communities through educational programs and the dissemination of research results.

Stanford’s School of Earth Sciences houses two of the university’s largest interdisciplinary sustainability programs: the Earth Systems program and the Emmett Interdisciplinary Program in Environment and Resources.  Both of these programs seek to educate the next generation of environmental leaders and scholars.
","The Stanford Woods Institute and PIE have the ability to appoint their own faculty fellows. Faculty who accept affiliation with one of these programs have access to a range of resources and incentives for creating sustainability courses, including complimentary TAs for sustainability courses and professional development. PIE administers the ongoing Energy Seminar, a weekly lecture series in which professors and researchers are invited to speak about sustainability issues. Through the weekly Environmental Forum series, the Woods Institute holds  academic interdisciplinary talks for Woods Faculty and Woods Affiliated Faculty throughout the academic year on a weekly basis.

The Woods Institute recently standardized the teaching of sustainability courses by creating its own course catalog designation, ENVRINST.  Now, sustainability courses at Stanford need not be confined by the designation of a particular department, but instead can be taught under the Woods Institute designation.  This enables and incentivizes non-traditional faculty, such as staff and Institute Fellows, to teach sustainability courses.

Throughout 2010 and 2011, the university launched the Study of Undergraduate Education at Stanford, which sought to re-evaluate how the undergraduate curriculum and requirements are determined.  The full text of the report, which addresses sustainability courses, can be found online: http://www.stanford.edu/dept/undergrad/sues/SUES_Report.pdf. 

Over the past three years, Stanford has created university-wide momentum for teaching more sustainability courses.  As stated in President Hennessy's 2011 Annual Report, ""the Stanford Challenge also provided essential facilities to support groundbreaking research and teaching.  By the campaign’s conclusion, 26 new buildings — including 10 that support multidisciplinary research and teaching — had been constructed. Many replaced buildings that were more than 50 years old and completely unable to support modern research or teaching."" An opportunity to teach in a world-class facility has incentivized faculty members to develop sustainability and other multidisciplinary courses.

Finally, faculty members who develop and teach classes above and beyond the typical schedule are financially compensated for their additional effort. Therefore, there is a financial incentive to develop and offer new courses at Stanford, and some faculty have developed sustainability courses in order to take advantage of this incentive. For example, two new Thinking Matters courses, ""Sustainability and Collapse,"" and ""A Transition Towards Sustainability"" qualified for this financial incentive.

For more information, please visit:
http://annualreport.stanford.edu/2011/
http://woods.stanford.edu/
http://pie.stanford.edu/
http://www.stanford.edu/dept/undergrad/sues/
https://undergrad.stanford.edu/programs/thinking-matters/teach/propose-new-course


",--,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:51:26,malichte@esf.edu,2.0,Pursuing,True,"SUNY-ESF was established over 100 years ago on the principles of sustainable management and conservation of natural resources and the protection of the environment for future generations. All courses and programs at ESF, existing and under-development, are influenced by general principles of sustainability. Over time, the College has adapted and adjusted its courses and programs with the changing needs of society and with the advancements of science. Periodic reviews of courses and programs are made by the department chairs and assessed by the Office of the Provost and Academic Affairs. 

Example of recent positive outcome: development was the creation of a new program (B.Sc.) in Sustainable Energy Management. (http://www.esf.edu/fnrm/sem/ and http://www.esf.edu/catalog/fnrm.asp#sem). 
","(From ESF's Middle States Re-accreditation self-study report: http://www.esf.edu/middlestates/documents/selfstudy.pdf, p.73) 
SUNY-ESF was established on the principles of sustainability and protection of the environment, regardless of the terms to describe this concept over the past 100 years. Therefore, sustainability is a theme that runs through many courses even when not explicitly indicated in the course title or description:  It is part of the basic structure of the College. In addition, the faculty are hired on the basis of their expertise, which provides the foundation to effectively teach sustainability as part of all the educational programs on campus. 
A faculty survey conducted at ESF indicates that approximately 88% of 88 responding faculty members have been involved in teaching, research, or service related to at least one of ESF’s three Principles of Sustainability since June, 2009. 
SUNY ESF’s policies regarding promotion and tenure also require a demonstration of “continued growth” for all faculty during reviews and promotion consideration. ",http://www.esf.edu/assessment/institutional.htm,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:11,Beth.Klein@cortland.edu,2.0,Pursuing,True,"The College does not offer incentives that are  specific to curriculum development of sustainability courses.  However, general funding for faculty is available via Individual Development Grants, Faculty Development Grants, College Assessment Grants and the President's Haines Discretionary Fund.

www2.cortland.edu/offices/rspo/internal-grants.dot
","Faculty members receive seed funding ($100-2500) toward curriculum development, research, travel, professional development and assessment.",http://www2.cortland.edu/offices/rspo/internal-grants.dot,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:01:04,dezarn@geneseo.edu,2.0,Pursuing,True,"Departments and programs are invited to apply for funding in amounts up to $20,000 to engage in curricular innovation in the period from June 15, 2013 to August 15, 2014.  (Some proposed activities may extend into the 2014-2015 academic year if justified.)  Up to $20,000 of this funding is designated for assessment projects. ","Faculty are funded during the summer months for work involving new curriculum based on the following guidelines:

           Which of the following will play a key role in the project? (Check all that apply.)

            ____4-credit course model; realignment of teaching resources

            ____High-impact educational practices

            ____Bringing Theory to Practice

            ____Global and intercultural learning

            ____Interdisciplinary or integrative learning

            ____Sustainability

            ____Assessment

            ____Support for greater depth of student learning

            ____Expanded instructional delivery and digital learning",--,Barb Welker
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:38,mittenl@newpaltz.edu,2.0,Not Pursuing,--,--,--,--,--
Sterling College,2016-01-28,2016-01-28 10:04:31,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,True,"The college received a grant from the USDA to develop and deliver a course for veterans, women, and minorities for low-impact forestry. ",Faculty members received release time for this purpose. ,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:50,gotham360@stevens.edu,2.0,In Progress,--,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:34:33,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:24,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:25:06,kwellman@tamu.edu,2.0,Pursuing,--,,,--,--
Texas Tech University,2016-03-25,2016-03-25 15:48:32,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:06,dial.15@osu.edu,2.0,Pursuing,True,"The OSTEP Learning Communities (Mid-career and Senior Faculty, Lecturer, Globalization, and Course Design fellows — see http://ucat.osu.edu/professional-development/learning-communities/) provide ongoing incentive programs for faculty and staff to develop new courses, or to revise current offerings, including courses that have a sustainability focus.  The OSTEP Faculty/Professional Learning Communities offer faculty and staff a year-long opportunity to focus on making data driven improvements to a particular course as part of a community of peers.  As part of the incentives program, participants are provided funding support to attend conferences, including conferences focused on sustainability.  A specific three year program called OSTEP Community on Sustainability Across the Curriculum was developed to provide faculty with opportunities to focus on infusing sustainability issues into an existing class or designing a new class to focus on those issues. Participants worked on their target classes as part of a community of peers. The program was designed to expand the inventory of classes at Ohio State that focus on sustainability as a lens through which students will examine and act upon our shared world systems, including but not limited to energy, environment, food systems, economic justice, and globalization.  Participants were supported in developing course content, student activities, and appropriate pedagogies by establishing collegial relationships across disciplines and reinforcing a faculty culture that brings the scholarship of teaching and research together. For instance, one of the many conferences the faculty could attend included the 2015 Annual Meeting of Liberal Education, Global Flourishing, and the Equity Imperative Conference. At this conference, participants probed “… higher education’s role in engaging students with the world’s “grand challenges” and “wicked problems” and in helping to create a more just and sustainable future for the United States and for societies around the globe.”","Each participant receives $1000 for teaching enhancement activities (e.g., attending a teaching conference; purchasing books on teaching; et al.).",http://ucat.osu.edu/participate/learning-communities/ostep/sustain,--
Tufts University,2016-02-25,2016-02-25 15:40:40,tina.woolston@tufts.edu,2.0,Pursuing,True,"TELI, the Tufts Environmental Literacy Institute, is an annual multi-day faculty development workshop that is intended to enhance faculty environmental literacy, with a goal of assisting participants to incorporate these themes into existing or new courses. The ultimate goal of the TELI program is to increase the exposure and knowledge of all Tufts students to enable them to effectively engage with the issues that will shape their generation. Emphasis is placed on recruiting faculty participants from a wide range of disciplines. Past workshops have included interactive presentations by a variety of experts in the field of environmental science and policy, field-based learning experiences, access to a range of resources for course development, and opportunities to share creative teaching experiences with other faculty.

TELI is advertised to all of Tufts' campuses and is open to any Tufts faculty or teaching graduate student. The intention is to make teachers more familiar with environmental issues and to give them the tools to integrate them into their curriculum - irrespective of which department or school they teach in. The participants apply through a registration form, and to date we have never turned anyone away. 

The Tufts Institute of the Environment (TIE) funds the faculty facilitators' stipends, participant stipends, and other course needs. TIE also provides logistical support of the program: TIE staff organize the rooms, the food, coordinate the people who oversee each day, etc.

TIE specifically allocates $10,000 - $15,000 towards the development of new content and curriculum for courses related to sustainability.

The WSSS program, Water: Systems, Science and Society, an interdisciplinary certificate program for graduate students, is given money every year to further develop their program and courses.

The university provides funds and resources for the development of new sustainability courses and programs. For example, over the last 5 years:

A masters program in conservation medicine was created with $100,000.
An engineering course in water resource management was created with $8,000.
A course on climate change and health remote sensing was created with $15,000.
50% of the Tufts University Seminars were in the area of environmental sustainability ($85,000 in the last five years).
Three Experimental College (http://www.excollege.tufts.edu/) courses have been funded ($24,000).

Faculty can apply for grants to develop university seminar courses through the Office of the Provost. Because these courses are focused on topics that cross disciplines, sustainability courses have been selected, including:

-One Health: Interdisciplinary Approaches to People, Animals, & the Environment (Spring 2011) 
This Seminar will draw graduate and upper-level undergraduate students together to develop interdisciplinary perspectives on one of three pressing global health issues: the emergence of infectious disease, the pursuit of sustainable agriculture, and the loss of biodiversity.  Faculty from all three campuses will provide expertise and guidance for individual and group teaching and learning. Students will examine and represent their discipline's  perspective and tools to other group members; learn and incorporate other disciplines into their own thinking; and collaborate with others on the development of new, synthesized solutions. The course will prepare students and faculty to address complex global health challenges from an interdisciplinary team-oriented approach and set a framework for similar cross-school collaborative learning and teaching experiences at Tufts. Topic for 2011 Seminar: Anticipating disease outbreaks in a globalized world. 

-CIS 201-01/BIO 185-01/NUTR 241-01: Food for all: Ecology, biotechnology & sustainability (Spring 2013 and Spring 2015)
With the human population expected to exceed 9 billion by 2050, how will we meet the increasing demand for food in an ecologically sustainable way? Historically, rapid increases in yield have been a result of advances in three main technologies: (1) genetic improvement; (2) use of synthetic pesticides and fertilizers; and (3) expanded irrigation. Each of these technological advances, however, has limitations or has led to significant environmental degradation. There is an urgent need for new approaches to food production without destroying the environment. In this interdisciplinary course, we will examine the pros and cons of divergent approaches to meeting this food demand.  Using crops grown in developing and industrialized countries as case studies, we will evaluate: (1) how ecological knowledge makes food production more sustainable; (2) what existing and emerging approaches can, in the face of climate change, contribute to a reliable supply of nutritious food; and (3) the political and economic drivers that shape who has access to these technologies. We will also explore stakeholder-specific perspectives (growers, advocacy groups, industry, governmental agencies), as well as develop important communication skills for negotiating these different perspectives.  
","Participants in TELI receive a stipend (funded by the Tufts Institute of the Environment) which varies from year to year. Participants also have access to course development resources through an internal website.

Faculty who develop and teach new classes related to environmental sustainability can apply for funding to be 'bought out' of their usual teaching responsibilities for a semester.

The Tufts Innovates program (http://provost.tufts.edu/celt/tufts-innovates/) compensates faculty for their time spent on course development.",http://environment.tufts.edu/education/tufts-environmental-literacy-institute-teli/,--
Tulane University,2016-02-04,2016-02-04 11:04:09,ldavey@tulane.edu,2.0,Pursuing,True,"Public Service Course Development
Tulane’s core curriculum requirements provide a common academic experience and a breadth of knowledge to every undergraduate student’s program of study. The public service graduation requirement is included as part of the core curriculum to foster a commitment to civic responsibility and leadership. (http://tulane.edu/college/upload/General-Education.pdf)   The Center for Public Service (CPS) administers the public service requirement of the undergraduate core curriculum.  It offers numerous incentive and support programs to encourage the development of public service courses across the curriculum. ","Public Service Course Activity Fund
The Center for Public Service (CPS) offers a Course Activity Fund to individual faculty members teaching a service learning course. Faculty teaching service learning courses will have at their disposal $250 per semester to enhance successful outcomes of planned service activities. Faculty will receive reimbursement of their expenses after the submission of receipts.

Have Coffee on Us!
CPS provides a $10 gift card toward a mid-semester meeting between individual Service Learning instructors and their community partners. Simply getting together to discuss successes, challenges, and to review plans toward the successful completion of a semester-long service learning partnership often improves outcomes. 

Upper-Level Course Development Grant
The Center for Public Service facilitates a grant competition to support the development of service-learning courses designed to serve students at the upper course levels (3000-6000).

Public Service Capstone Course Development Grant
The Center for Public Service facilitates a grant competition to support the development of service-learning courses designed as capstone experiences in various disciplines.

The Felson Public Service Course Development Grant
The Center for Public Service facilitates a grant competition to support the development of service-learning courses designed to serve students at the upper level (3000 and above) in various disciplines. 

Community-Based Research Grant
The Center for Public Service facilitates a grant competition to support faculty conducting community-based research. CPS defines community-based research as collaborative, change-oriented research that engages faculty members, students, and community members in projects that address community needs.

Community-Based Research Participatory Grant
The Center for Public Service (CPS) facilitates a grant competition to support our community partner organizations in their efforts to research topics of importance in the community with the aim of creating knowledge that ""contributes to making a concrete and constructive difference in the world."" CPS defines Community-Based Participatory Research (CBPR) as a collaborative approach to research that promotes positive change with and within the community. It involves an equitable relationship between community organizations and university researchers that is reflected in all levels of project design and dissemination.





",http://tulane.edu/cps/faculty/internal-grants.cfm,--
Unity College,2016-03-25,2016-03-25 15:25:52,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,"There is release time and professional development funding for developing new courses, including in sustainability science."
University at Albany,2016-02-23,2016-02-23 17:54:23,mmallia@albany.edu,2.0,Pursuing,--,,,--,--
University at Buffalo,2016-01-19,2016-01-19 10:16:01,jlk47@buffalo.edu,2.0,Pursuing,--,"Though we do not currently have a formal incentive program for developing courses, it is something we are planning to establish as part of the key priorities going forward. 

In addition, education is a large component of the newly established Research and Education in eNergy, Environment and Water and going forward it is expected that faculty will be able to tap into support for creating new courses or augmenting existing courses to include sustainability. 

In partnership with the the Dean of Undergraduate Education, we're working to do a curriculum mapping exercise to identify where there are opportunities to further include sustainability along with recommendations of best ways to support faculty in integrating more sustainability into their existing courses. ",,--,--
University of Arizona,2016-03-25,2016-03-25 15:32:47,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--
University of British Columbia,2016-02-22,2016-02-22 18:18:47,charlene.ponto@ubc.ca,2.0,Pursuing,True,"UBC Spotlight Program
The UBC Sustainability Initiative (USI) Spotlight Program provides funding to faculty who wish to integrate sustainability content, innovative pedagogies, and/or sustainability research into an existing undergraduate course. An award of $5000 is available, with up to four spotlight awards funded annually. The Spotlight Program is open to all UBC faculty members who have a demonstrated interest in sustainability and are teaching an undergraduate course.","In addition to an award of $5000 for the course revision, the 2014-2015 Spotlight grant recipients also participate as a USI Fellow for a one-year term. Fellows receive an additional $5,000 stipend that can be taken as an honorarium or applied to project costs or research programs. The fellows’ cohort meets regularly throughout the academic year to review project updates and discuss shared challenges and opportunities with their peers.",http://sustain.ubc.ca/courses-teaching/support-educators/spotlight-program,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:56,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--
