Institution,Date Submitted,Last Updated,Liason Email,Version,Status,The percentage of entering students that are provided an opportunity to participate in orientation ...,A brief description of how sustainability is included prominently in new student orientation,The website URL where information about sustainability in student orientation is available,Public Notes
Slippery Rock University,2016-02-29,2016-02-29 14:18:58,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:00,dweisbor@smith.edu,2.0,Pursuing,100.0,"The Office of Campus Sustainability offers two sessions that are open to all new students that focus on sustainability on Smith's campus.  The sessions consist of an introduction from the sustainability director and coordinator, and then a scavenger hunt across campus that teaches students where things like bike racks, ZipCars, the co-generation plant, and compost bins are.  

Two orientation groups are also offered that prominently feature sustainability.  These are longer programs, taking place over the weekend and led by the chair of Environmental Science and  Policy department, and the assistant director of the Center for Environment, Ecological Design, and Sustainability.  

Adventures at the MacLeish Field Station:
This program is designed to give you a taste of some of the many activities you can engage in at Smith's 240-acre Ada and Archibald MacLeish Field Station. Join us for a day and a half off campus to learn a little history, learn how to read the New England landscape, and make new friends and build relationships on our low ropes challenge course. Depending on the weather we may do some solar cooking, build habitat for native pollinators and more. Participants should be prepared to spend the day outside and be willing to try new things. This group can accommodate up to 20 students.

Sustainability and an Ecological sense of place:
Perhaps the key issue facing humanity now is how to live in an environmentally sustainable, socially just way. According to one calculation, the average U.S. citizen has an ecological footprint that is five times greater than the planet can support. We need to - and can - do better than that! This program will help you: (1) learn how to live more sustainably at Smith and (2) develop an ecological sense of place in your new home.

Questions that will be asked - and, to some extent, answered - include the following: Where does my food at Smith come from? How and what can I recycle? What powers our campus and how can I save kilowatts and BTUs? Are there green spaces nearby? How can I get to them and to other places without a car? What kinds of environmental majors, minors, and resources are available? Are there active student environmental organizations on campus? And most importantly, how can I make a difference environmentally while at Smith?

Short excursions and activities will give you an ecological sense of place, whether we visit a shady riverside trail or a steamy power plant. You will learn what Smith College is doing well and where there is room for improvement (this is where you come in during your next four years). Professor L. David Smith, Director of the Environmental Science and Policy Program, leads this orientation.",http://www.smith.edu/firstyear/orientation_groups.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:30,huminskis1@southernct.edu,2.0,Pursuing,100.0,"Sustainability is included prominently in New Student Orientation, with plans for this role to expand in 2013. Starting in 2012, all students at New Student Orientation received a complementary durable water bottle, with a one-page insert describing a variety of sustainability initiatives and opportunities on campus throughout the year.

In 2014, New Student Orientation also features an introduction to the Sustainable Living Learning Community in Hickerson Hall (one of our residence halls), and the Environmental Learning Community (academic) in the First Year Experience Program. In the Incoming Freshmen Survey distributed to students before attending New Student Orientation, all incoming freshmen are given the option to choose living in a Sustainable Living Learning Community with other first year students. 

Additionally, the Office of Sustainability offers information about campus sustainability opportunities at SCSU at the Student Resource Fair during New Student Orientation.

The Office of Sustainability also hosts a table at the Student Services Information Fair during ""Accepted Student Day"" each April.",http://www.southernct.edu/residencelife/on-campushousing/livinglearningcommunities/,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:37,glkurtzhals@siu.edu,2.0,Not Pursuing,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:38:28,beigelcod@sou.edu,2.0,Pursuing,100.0,"As part of the opening session of New Student Orientation, sustainability as a core campus value is addressed to all new students. RAs incorporate sustainability information (primarily focusing on recycling/waste reduction) into presentations made to all new and returning residents in the residence halls. The civic engagement component of New Student Orientation provides students with opportunities to become engaged in sustainability-related issues--from work in Lithia Park to the campus garden, from trail maintenance to watershed issues (these have all been options during one or more of the last four years). Meals at New Student Orientation highlight local and organic farms/providers.",--,--
Spelman College,2016-02-15,2016-02-15 08:21:34,aefrazier@spelman.edu,2.0,Pursuing,100.0,"In 2011 Spelman started conducting a 4 hour sustainability orientation for new students. The program outlines the history of sustainability at Spelman, promotes resource conservation and teaches new students how to practice sustainability as a way of life.",--,--
St. John's University,2016-03-02,2016-03-02 16:31:45,goldsmit@stjohns.edu,2.0,Pursuing,100.0,"Sustainability was highlighted through lectures lead by orientation leaders to instill the Univirsity's mission and sustainable practices during the freshman orientation, reaching all students over 3 sessions. Also information pamphlets were provided to all incoming students and new sustainability signage was displayed on campus.",http://www.stjohns.edu/student-life/queens-campus-life/residence-life/move-survival-guide/move-reminders,"*Student Orientation materials were not available via download, but the link provided sums up major points presented to new students."
Stanford University,2016-03-23,2016-03-23 01:13:07,mbhafer@stanford.edu,2.0,Pursuing,100.0,"Prior to arriving on campus, all incoming and transfer students are introduced to campus sustainability through a series of articles in New Student Orientation’s weekly e-newsletter. Articles include campus sustainability information and digital resources, such as the ""Student Sustainable Living Guide” and “Sustainable Living Video."" These resources provide a helpful overview of Stanford's sustainability programs and practical advice on how to save energy and water and reduce waste on campus. The guide and video include remarks from university leadership describing why Stanford considers sustainability to be a key component of the university’s mission and the overall Stanford experience. Hard copies of the Sustainable Living Guide are also offered to all incoming students on move-in day.  

All freshmen participate in a zero waste lunch during New Student Orientation. Boxed lunches that include only compostable and recyclable materials are prepared for all students. At the zero waste lunch students learn details about waste reduction efforts at Stanford, including how to compost and recycle successfully on campus. Student volunteers station themselves at each compost and recycle bin to ensure waste is sorted and disposed of properly. Volunteers also solicit pledges from attendees to live sustainably on campus. In addition, informational signage displayed throughout the event  provides information about sustainability on campus. All sustainability staff members attend the event and are available for student questions.An article detailing the academic year 2015-16 Zero Waste Lunch can be found here: http://www.stanforddaily.com/2015/09/20/nsos-zero-waste-lunch-reduces-its-waste-this-year. 

Partnerships with multiple student affairs organizations allow sustainability to be included in other campus events during New Student Orientation. A sustainability information table is present during bike registration. Sustainability interns participate in the student activities informational panel. A tour of the new Central Energy Facility is offered to all incoming graduate students by the Graduate Life Office. Residential Living displays sustainability signage throughout their staff training location.

Sustainability is even further integrated into New Student Orientation through green event practices at all events. Vegetarian and vegan dishes are included in all meals. Plastic water bottles are avoided by using compostable cups. Recycling bins, compost bins, and compostable service ware are provided for all campus sponsored events during the week. In addition, orientation staff are trained to help the incoming students sort their waste during the entire week of orientation.
",http://www.stanford.edu/dept/rde/cgi-bin/drupal/housing/sites/default/files/SLG.pdf,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:22,malichte@esf.edu,2.0,Pursuing,100.0,"1. At Orientation Check-In, all new undergraduate students are given a worksheet on sustainability and sustainability efforts at ESF. The Sustainability Coordinator at ESF also speaks to all new students during an Orientation session.
2. Students are also given a free, collapsible plate to use at all events at ESF to be waste free, sponsored by the Undergraduate Student Association (the student government); thus, the concept of bringing your mug, cups, utensils, etc. is instilled right away at ESF.  
3. During Orientation, all new students are required to participate in the ""Saturday of Service,"" and faculty and staff are invited to attend as well. Throughout the day, participants hear from a speaker on sustainability, perform outdoor cleanup, move invasive species at parks around Syracuse, etc.",http://www.esf.edu/orientation,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:00,Beth.Klein@cortland.edu,2.0,Pursuing,100.0,"Every year, for Freshman/New Student Orientation, the Assistant Director of Residence Life for facilities provides a presentation for Students and Parents on Sustainability on Campus, including the Green Rep Program, recycling, Cortaca Climate Challenge and other sustainability efforts at the College.

The Director of Physical Plant provides a presentation on sustainability that covers these same topics to new International Students.

In addition, the Dining hall service provides detailed information to new students on sustainable practices.",--,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:14,dezarn@geneseo.edu,2.0,Pursuing,--, Office of Sustainability presence during Orientation is being implemented summer of 2016,http://www.geneseo.edu/sustainability,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:20,mittenl@newpaltz.edu,2.0,Pursuing,67.3,"2013 Orientation Activities
- Campus Sustainability Coordinator Lisa Mitten, Sociology professor Brian Obach, and former sustainability committee co-chair kt Tobin presented to all of the incoming freshmen during summer orientation about campus sustainability initiatives.  
- At the welcome back BBQ, Campus Sustainability Coordinator Lisa Mitten, Campus Auxiliary Services, Sodexo, and Facilities worked together to pilot zero waste stations featuring landfill, recycling, and composting bins.  Compostable serving ware was used at the event.

2014 Orientation Activities
- Campus Sustainability Coordinator Lisa Mitten introduced past, present, and future sustainability initiatives during ""Jump Start Your Semester,"" an event that all incoming freshman were required to attend.  
- As part of the Farm-to-SUNY initiative, local, seasonal watermelon was served at the Welcome Back BBQ for on campus residents.  Watermelon was the local food of the month for August.
- Sustainability Student Worker Erika Popolla and Residence Hall Student Association President Kristina Virgil worked together to educate on campus residents about the new water bottle refill stations across campus during the RHSA-sponsored welcome back BBQ.  ",--,"In August of 2014, SUNY New Paltz had a total of 1767 incoming students.  Of these students, 1079 or 61% of the total incoming students, were required to attend the ""Jump Start Your Semester"" event.  Transfers, 668 students, did not attend this particular event.  A total of 110 transfer students, or 6% of the total incoming population moved into the residence halls on campus, so those students were exposed to the other residence life-oriented activities described above.  Thus, 67% of incoming students were exposed to sustainability during their orientation activities and programming."
Sterling College,2016-01-28,2016-01-28 10:04:21,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,100.0,"Sterling College orientation includes two parts: a two week intensive class that is required for all new students known as A Sense of Place, and a one week orientation known as Community Week. 

A Sense of Place is described below from the school website.

First year students begin their Sterling career with a two-week intensive called A Sense of Place. The course is an introduction to the ecology, society, and culture of northern New England. Classes include botany, human history, land- use practices, and visits to local artists and farms. Students participate in outdoor challenge activities and small group work, learn about establishing norms of social conduct, build community, and initiate conversations about what it means to live sustainably.

Community week includes. . .",http://www.sterlingcollege.edu/community/a-sense-of-place/,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:52,gotham360@stevens.edu,2.0,Pursuing,100.0,"All students receive orientation materials about campus sustainability efforts and how they can create positive change on campus.  Additionally, all Graduate Orientation Advisors and Resident Advisors receive training on campus sustainability during their training, with information being passed onto their students.  All information is included in student handbooks.",--,--
Syracuse University,2016-03-25,2016-03-25 15:32:51,macadwel@syr.edu,2.0,Pursuing,100.0,"Sustainability information is distributed to all new matriculated students as part of pre-arrival materials sent by mail.  Additionally, all on-campus students (SU has a 2-year on-campus housing requirement) receive sustainability information as part of their residence hall orientation process.  All new students (on- and off-campus) receive additional sustainability information at SU's ""Taking Care of Business"" event which provides local logistical, services and support information.",http://orientation.syr.edu/fye/envirosustain.html,--
Temple University,2016-02-09,2016-02-09 14:47:08,kathleen.grady@temple.edu,2.0,Pursuing,100.0,"Temple utilizes several strategies to incorporate sustainability in new student orientation. The Office of Sustainability welcomes each new student to orientation. At check in during Orientation, new students are welcomed by the Office of Sustainability, given a reusable water bottle with the sustainability website on it and a fact sheet about how they can live sustainably at Temple.  The Office of Sustainability is an active participant in Temple University’s Welcome Week, including participating in the new student orientation fair, engaging parents at the Parent Orientation, and sponsoring an expanded Welcome Week program for the Sustainability Living and Learning Community. The Office of Sustainability also provides a “Sustainability 101” training to Owl Ambassadors, who serve as the guides during new student orientation. They are also given an urban riding basics course and complete a sustainable community service project at a local urban farm during their training.  The Office of Sustainability provides a formal orientation to the five professional schools, which includes a “Sustainability 101” training. ",http://sustainability.temple.edu/node/1160,Updated to reflect FY 14.
Texas A&M University,2016-01-15,2016-01-15 14:24:55,kwellman@tamu.edu,2.0,Pursuing,100.0,"The Office of Sustainability hosts resource tables at both New Student and Transfer Conferences. These programs are designed to help students transition to life on campus.  We share information about the mission and vision of the Office of Sustainability, as well as explain past and current projects and identify opportunities where they can become involved in campus sustainability. We encourage all students to take the Sustainability Pledge, join the Sustainability Coalition, and stay in touch with the Office of Sustainability through social media. Additionally, at Fish Camp, an immersive experience for students at A&M, we distribute our sustainability flyer to all students in attendance.   ",http://sustainability.tamu.edu/Data/Sites/1/downloads/sustainabilityflyer.pdf,--
Texas Tech University,2016-03-25,2016-03-25 15:46:43,carey.hewett@ttu.edu,2.0,Pursuing,100.0,"Students are made aware of Texas Tech's recent advances in efficiency, waste reduction, and commitment to sustainability at the senior administrative level.  One example of this is the showcasing of Texas Tech's multiple LEED certified buildings during the orientation tour.  They are also made aware of the Texas Tech Campus Recycling Center and invited to participate in student groups that volunteer in the recycling effort.",http://www.depts.ttu.edu/redraiderorientation/,--
The Ohio State University,2016-01-26,2016-01-26 15:46:55,dial.15@osu.edu,2.0,Pursuing,100.0,"For the 2015 Buckeye Book Community (BBC), first-year students were given a sustainability themed reading selection (“The Good Food Revolution” by Will Allen) during orientation and are asked to complete the reading before they return to campus to be prepared to discuss and analyze what they have read. The experience culminates with a visit from Allen. The BBC connects the first-year class through a shared experience and introduces the expectation that college students cultivate a life of learning both in and outside the classroom.",--,--
Tufts University,2016-02-25,2016-02-25 15:40:30,tina.woolston@tufts.edu,2.0,Pursuing,58.0,"Sustainability is included prominently in the new student orientations for many of the university’s schools and programs and varies slightly from year to year.  

The Tufts Eco-Reps organize a wide variety of orientation events for undergraduate students.  Their efforts include some training of the freshman orientation leaders and residential advisers on campus sustainability, overseeing composting at the matriculation lunch and dinner, and running a “Get Green: Environmentalism at Tufts” event (Academic year 2012 - 2014) available to all incoming undergraduates.  

Some years the Office of Sustainability staff has also provided training and information to incoming graduate students at Tufts, including those at the Dental School, Cumming School of Veterinary Medicine, Fletcher School of Law and Diplomacy, and Urban and Environmental Policy and Planning. These efforts have included: holding an environmental brunch/open house with the Tufts Institute of the Environment (TIE) and the Environmental Studies program; distributing green maps, green living guides, and commuting brochures to students; running recycling games; and speaking and tabling at various events and orientation programs. 

During the Fall of 2014, a ""sustainability week"" was included in the 6-week long extended orientation programming for undergraduate students - http://tuftsdaily.com/news/2014/10/23/sustainability-week-offers-first-years-extended-look-activism-campus/

Sustainability is also a fundamental tenet of the optional pre-orientations that Tufts offers, specifically TWO (a backpacking program) and FOCUS (a community service program). In TWO (http://www.tuftswildernessorientation.com/#Info), students spend 5 days in the woods and have to live completely without waste, so everything that goes into the woods must come out. Multiple FOCUS trips (http://tuftsfocus.org/trips/) are dedicated to helping the environment.  ",http://sites.tufts.edu/tuftsgetsgreen/event/get-green-environmentalism-at-tufts/,--
Tulane University,2016-02-04,2016-02-04 11:03:58,ldavey@tulane.edu,2.0,Pursuing,70.0,"1. Outreach Tulane is ""an open house for service,"" held on the first Saturday of the new academic year.  It is Tulane's largest and oldest community service event, hosting over 1,000 volunteers throughout the greater New Orleans area. The event provides an opportunity to learn about New Orleans and its communities, and to work on a service project during their first week at Tulane.  

2,  There is a special section during student orientation that is presented by TheWELL staff/faculty members. They cover resources on where to seek health and counseling services as well as alcohol/sexual assault education.   Students are required to do an alcohol and sexual assault educational course online before the start of classes. In addition, students will be required to complete an online suicide prevention and gatekeeper education course online.

3. NOLA Experience is an optional pre-orientation program that offers five day programs introducing students to resources, issues and leadership opportunities on campus and in New Orleans.  The program offers multiple tracks focusing on different topics, including  “tracks” that focus on public service, social entrepreneurship, the environment, and community health.  http://tulane.edu/studentaffairs/orientation/explore/program-descriptions.cfm#nolaexperience

",http://tulane.edu/studentaffairs/orientation/nola/track.cfm,"http://tulane.edu/studentaffairs/orientation/explore/program-descriptions.cfm#nolaexperience
"
Unity College,2016-03-25,2016-03-25 15:24:53,JdeHart@unity.edu,2.0,Pursuing,100.0,"New Student Orientation is one program of the first-year experience that includes our wilderness orientation trips (NOVA), new student orientation (NSO), and first-year seminar (Unity Experience). New Student Orientation often adopts a sustainability theme (recently, ""Got Green?"" and ""Local Living""), and emphasizes the theme through programming and messaging.  Campus ambassadors are trained to support and design sustainability activities for New Student Orientation.  The Sustainability Office has a strong presence at orientation activities.

2010 ""Got Green?"" New Student Orientation schedule here:
http://www.unity.edu/uploadedFiles/wwwunityedu/Student_Life/StudentResources/NSO%202010%20schedule%20for%20web%282%29.pdf
",https://www.unity.edu/admissions/accepted_students/orientationx,"Sustainability orientation for new students includes our wilderness orientation trips (NOVA), new student orientation (NSO), and first-year seminar (Unity Experience).  Campus ambassadors are trained to support and design sustainability activities for New Student Orientation. 
"
University at Albany,2016-02-23,2016-02-23 17:54:07,mmallia@albany.edu,2.0,Pursuing,100.0,"There are multiple ways in which sustainability is highlighted in new student orientation. The primary way it is highlighted is during Summer Orientation, when all students receive a packet which includes a guide to sustainability on campus. The Office of Environmental Sustainability has a table during the informational section of orientation that provides information about sustainable practices on campus and also about student involvement in sustainability and programs targeted towards students. The Orientation Assistants receive a briefing on sustainability practices and initiatives which they can communicate to new students. Also, when new residents move in, they are provided with either a reusable canvas bag, water bottle, coffee mug or other sustainable item from our University Auxiliary Services as a welcoming gift. CFL light bulbs are also available to all students through the Office of Environmental Sustainability's move in program. The Office of Environmental Sustainability also attends a transfer student and graduate student orientation at the beginning of each semester. These students are also provided with essential guides to sustainable practices, programs and student involvement on campus.",http://www.albany.edu/gogreen/8.fliers.shtml,--
University at Buffalo,2016-01-19,2016-01-19 10:15:50,jlk47@buffalo.edu,2.0,Pursuing,100.0,"Although environmental sustainability is not a stand-alone session at new student orientation, incoming UB students learn about UB’s commitment to environmental sustainability and their role in contributing to these efforts throughout the orientation process.  Examples include:
·         Print publications produced and distributed to new students prior to and at orientation have been minimized, taking advantage of electronic communication capabilities.  All print publications meet FSC standards.

·         “Disposable” giveaway items have been eliminated and replaced with more sustainable products such as reusable drawstring tote bags and reusable water bottles.

·         At meals served during orientation, students are encouraged to minimize waste, and recycling and composting efforts at UB are showcased.

·         Several orientation workshops include environmental sustainability as an integrated theme:

o   Getting around UB (focusing on buses, shuttles, biking, Zipcar, etc.)

o   Meal Plans & Campus Cash (focusing on reducing waste/composting as related to food services)

o   Career Services (focusing on resources for those interested in exploring “green” careers)

o   Living On Campus (focusing on recycling and LEED certified housing options)

·         When travel between campuses is required at orientation, students utilize UB Stampede inter-campus buses, learning how to navigate the system, and the benefits of utilizing the transportation system.

·         When leading campus tours, Orientation Leaders point out recycling receptacles and water bottle re-fill stations.

·         Involvement fairs include student organizations that focus on environmental sustainability (e.g., Environmental Network, Engineers for a Sustainable World)",http://orientation.buffalo.edu/,--
University of Arizona,2016-03-25,2016-03-25 15:31:50,bchampion@email.arizona.edu,2.0,Pursuing,100.0,"The UA Office of Sustainability staffed a booth at summer 2015 new and transfer student orientations. The booth was part of the University Business Services Fair, which is designed to familiarize new students with different departments and procedures at the University. The Office of Sustainability's booth was featured prominently near the main door and provided information and materials to students about sustainability programming at the University. All new and transfer students are strongly encouraged to attend the Business Services Fair. The Office of Sustainability plans to continue this activity at future orientations and hopefully develop more activities to further their exposure. ",--,Latest update: February 2016
University of British Columbia,2016-02-22,2016-02-22 18:18:36,charlene.ponto@ubc.ca,2.0,Pursuing,100.0,"Incoming UBC students have the opportunity to learn about sustainability at all new student orientation events. Key departments that coordinate this effort are UBC’s Centre for Student Involvement and Careers and the Faculty of Graduate and Postdoctoral Studies, with support from several other departments and student groups on campus including the UBC Sustainability Initiative, Campus and Community Planning, the Centre for Sustainable Food Systems at UBC Farm and Common Energy UBC. 

At the annual Jump Start orientation for all new international and Aboriginal students, sustainability is integrated into the core program. Initiatives in 2014 included a herb planting night where students learned about how to make everyday items more sustainable and learned about basic recycling methods on campus through trivia questions. At all four Jump Start communal meals, zero waste student volunteers managed the recycling, compost, and garbage bins and helped educate Jump Start students about how to recycle at UBC.

UBC’s IMAGINE orientation event targets all new-to-UBC incoming undergraduate students. Undergraduate domestic, visiting, international, transfer and exchange students are all invited to this event. Each year since 2011, the IMAGINE day Eco-Team, coordinated by the Centre for Student Involvement and Careers, organizes sustainability initiatives that take place during the Main Event. During the event, at least 10 UBC departments and student groups host outreach booths, showcasing how UBC is activity integrating both social and environmental sustainability into all aspects of the University, from operations and engagement programs to research, teaching and learning. In 2014, the Eco-Team developed a Sustainability Passport, which encouraged students to visit a minimum of three sustainability booths to get stamps and the chance to win a prize. In addition, recycling games and recycling and composting stations at the Main Event help new students learn how to recycle on campus.

Finally, sustainability is also included in the Graduate Student Orientations. For both the 2013/14 and 2014/15 orientations, the Faculty of Graduate and Postdoctoral Studies coordinated a Green Team, who helped incoming graduate students learn how to recycle and compost on campus. In addition, sustainability-related booths by a number of UBC departments were at the orientation event both years, informing graduate students about research and graduate sustainability program opportunities as well as information on energy conservation, zero waste and sustainable food systems.",--,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:25:10,lmcneilly@berkeley.edu,2.0,Pursuing,80.0,"Campus Recycling and Refuse Services (CRRS) has provided the Cal Student Orientation (CalSO) with zero waste breakfasts and lunches throughout the entire orientation. CRRS has also provided information about sustainable food systems during the first meal of the week so that students could learn about sustainable food while enjoying it. This service benefited over 10,000 students and orientation staff. 

Along with a focus on local food, CalSO also had the opportunity to promote sustainability through the groups like the ASUC Sustainability Team (STeam) video that the club created for both CalSO and the international student orientation. ",http://calso.berkeley.edu/,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:18,cmkirk@ucdavis.edu,2.0,Pursuing,100.0,"Fall Welcome events begin once the new students have moved into the residence halls (a few days before academic instruction begins) and continue until early October. The events are designed to introduce new and current students to UC Davis. Several events at the Fall Welcome prominently promote sustainability. The Campus Resource Fair is where all new students are invited. Annual participants include the sustainability staff from Dining Services, Student Housing, Environmental Stewardship & Sustainability, and Transportation & Parking Services. For example, the Student Housing Sustainability Interns conducted a water taste test and operate a sustainability trivia wheel.
http://fallwelcome.ucdavis.edu/
 
During the first few weeks at UC Davis, new students are exposed to the campus sustainability website, the weekly Student Housing newsletter featuring sustainability information, sustainable food systems signage, the alternative transportation guide, and some of the green building signage on campus.

Transportation and Parking Services (TAPS) makes an effort to reach every new student through Orientation, pre-orientation events, and Welcome Week events. Additionally all new students living in the campus residence halls are educated about sustainable transportation options available to them, as they are not permitted to park a vehicle on campus. Sustainable transportation is prominently built in to the orientation and student housing experience, in part due to the parking limitations for campus residents and the robust bicycle programs at UC Davis. Each year more than 4,000 new bicycle licenses are sold, many to new students. 
Bicycle program information for all students: http://taps.ucdavis.edu/bicycle
Student guide to getting home: http://taps.ucdavis.edu/transportation/getting_home_guide

Incoming students are given the opportunity to participate in a half-hour to an hour-long Resident Garden tour, including safety training and gardening experience (planting, picking). 

Students and their families receive a basic introduction to Sustainability and Nutrition Services in Dining Services in a presentation given by the Student Housing Director and Dining Services General Manager. Dining Services also posts bulletin board, chalk board and table tent signage throughout the three Dining Commons that focus on sustainable food and sustainability and nutrition programs. 

All incoming students and their family members have an opportunity to participate in Transfer, First-Year and International and National Orientation. Sustainability, while not a formal aspect in the multiple Orientation programs, is informally used throughout. (http://orientation.ucdavis.edu/first-year/)
*Participants are encouraged to bring their own reusable water bottles and fill them at the Hydration Stations in Student Housing.
*Participants choosing to stay overnight on campus have access to the sustainable features of the Tercero Residence Halls.
*Participants have access to all of the sustainable features of the Dining Commons, including composting,  the use of campus and locally grown food and tray-less features available there.
*Student participants will this year, only use online features and resources with their Orientation Leaders to search for classes, as the General Catalog is no longer being printed.
*Family participants receive a presentation from Administrative and Resource Management that includes information about sustainable features and building across campus as well as cutting edge sustainable research happening on campus.
*When campus catering is organized for the program, participants are served using reusable and compostable items.  ",--,--
"University of California, Irvine",2016-03-23,2016-03-23 10:32:33,khaq@uci.edu,2.0,Pursuing,100.0,"The Student Housing Sustainability Session for paraprofessional staff was offered in 2014 and 2015. The 2.5 hour session was held to educate, connect and excite our student leaders about sustainability. The session included the following: ""The Story of Stuff,"" Eco Footprint, zero waste in Housing & Dining, ways to get involved, and student commitments to make change. The session ended with an open table discussion hosted by the leaders in sustainability from the following organizations, departments and programs: Global Sustainability Resource Center, Housing, Facilities, Dining, the Costa Rica program, and more.

The student orientation added a request for the students to “go green” and bring their own linen. This request was made to increase the program’s sustainability. As a result, the campus did not have to purchase new linen for this event. The paraprofessional student staff orientation enables sustainability information to reach incoming students via residence halls, dining halls, and other programming by Student Housing.

In 2015, the Sustainability Initiative provided training to the Academic Counselors from each academic school in preparation for their sessions with incoming undergraduate students during UCI's summer orientation program. The training included detailed information about sustainability-related academic options, including the Global Sustainability Minor and the year-long freshman course sequence on sustainability. Incoming students meet with academic counselors during the orientation; the Sustainability Initiative's training enabled the counselors to offer sustainability-related counseling.

In 2015, the website that incoming students and parents of incoming students visit in order to register for orientation featured an invitation to apply for UCI's Summer Institute for Sustainability Leadership (SISL).  SISL is a multi-day residential leadership training program for incoming UCI students, described elsewhere in this submission.
 
Incoming students who are shopping for meal plans find information about sustainable and “Fresh & Healthy” dining options on the website for UCI Hospitality and Dining. Menu information includes information on kosher, vegan, vegetarian, and gluten-free food choices. See: http://uci.campusdish.com/",--,The percentage of incoming students afforded the opportunity to participate in orientation activities that prominently feature sustainability refers to incoming freshmen.
"University of California, Los Angeles",2016-03-24,2016-03-24 13:54:14,sustainability@ucla.edu,2.0,Pursuing,100.0,"Undergraduate/transfer orientation - In Fall 2010 orientation, a “Green Guide to Life at UCLA” was given to all incoming on-campus residents, most of whom are the new undergraduate students. This publication was co-created by the Education for Sustainable Living Program (ESLP), UCLA Sustainability, Office of Residential Life, and Housing & Hospitality Services. It orients students to the resources the campus offers in sustainability. This document is updated as needed and provided to new students during orientation each fall. There is an annual Activities Fair held during zero week (prior to the Fall quarter starting) for all student groups/clubs on campus to promote themselves. There are over 30 sustainability related student groups, such as E3 and ESLP, who participate in the Fair and recruit new student members. 

UCLA Orientation Counselors are also provided with information for the incoming and transfer students on UCLA’s sustainable practices on campus and in the residence halls.

UCLA has also created a sustainability-focused campus tour for prospective students and the community. The tour is given during orientations and other events, and is also available online as a self-guided tour. Features of the tour include LuValle Commons, an eatery that was the location of a pilot greening program, La Kretz Hall, our first LEED Certified building, the Cogeneration Plant, and a green roof demonstration on the Public Affairs Building.  In addition, the UCLA Sustainability team also trains the campus tour leaders to integrate sustainability into the standard campus tours. 
                                                                                                             
Graduate orientation - At new graduate orientation, the Graduate Students Association (GSA) passes out fliers about sustainability and has a panel on sustainability resources on the UCLA campus. Additionally, there is a panel during graduate orientation that explains what UCLA is doing for sustainability. Faculty, administration, and grad students address how you can get involved in sustainability at UCLA.",http://www.housing.ucla.edu/greenguide,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:21,cmccormick3@ucmerced.edu,2.0,Pursuing,100.0,"Each fall new students attend the Ascend New Student Success Conference which includes a number of sustainability-related topics, such as Rethink Recycling and The Benefits of Joining a Professional Engineering Organization (including Engineers for a Sustainable World). Campus leaders at other presentations throughout the day reference sustainability in the context of wellness and its importance to our campus. Sustainability leaders from campus such as the Recycling Coordinator guide a sustainable lunch experience.  All the food is locally sourced and sustainably grown.  All of the waste is diverted to compost or recycling, and the attendees play an active role in making this happen.  

Additionally, the campus began the Transcend student transfer program last year, which is a student orientation program designed for transfer students. Prior to Transcend, transfer students participated in the Ascend program.   
",http://orientation.ucmerced.edu/,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:29,john.cook@ucr.edu,2.0,Pursuing,90.0,"The sustainability officers provide the Highlander Orientation Leaders with lectures as a part of their training. In addition, there is a section in the orientation new student handbook.",--,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:25,smckinstry@ucsd.edu,2.0,Pursuing,50.0,"The Resident Advisors (RA’s) for Freshman and Sophomores living on campus are educated about campus sustainability and conservation during their training process lead by UC San Diego’s Housing, Dining and Hospitality. The RA’s are then able to pass on sustainability information to new students living on campus during orientation and throughout the year. UC San Diego hosts “First Friday,” an annual event for new and returning students which highlights campus features, including sustainability efforts. Students can visit the Sustainability Resource Center as part of this annual event and partake in fun sustainable activities and win sustainable prizes. 
",http://welcomeweek.ucsd.edu/index.php?go=allcolleges&p=all,--
