Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have strategies in place to safely dispose of all hazardous, special (e.g. ...","A brief description of steps taken to reduce hazardous, special (e.g. coal ash), universal, and ...","A brief description of how the institution safely disposes of hazardous, universal, and ...",A brief description of any significant hazardous material release incidents during the previous ...,A brief description of any inventory system employed by the institution to facilitate the reuse or ...,"Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...","Does the institution have or participate in a program to responsibly recycle, reuse, and/or ...",A brief description of the electronic waste recycling program(s),"A brief description of steps taken to ensure that e-waste is recycled responsibly, workers’ basic ...",The website URL where information about the institution’s hazardous and electronic-waste recycling ...,Public Notes
University of South Carolina,2016-02-29,2016-02-29 17:11:52,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,"USC collects, recycles, reuses, and repurposes waste materials where possible. This includes hazardous waste, non hazardous waste, universal waste, infectious waste, and electronic wastes.  ","A vendor picks up and recycles or provides assistance in reusing non hazardous materials. This can involve reusing materials with a BTU factor for fuels. In addition, USC has a licensed infectious waste vendor who picks up our infectious waste, transports it to a licensed incinerator, and disposes of this waste by incineration. Universal wastes are collected and recycled through licensed vendors. E-waste is recycled using standards for safe recycling and disposal meeting Responsible Recycling Practices (R2) and e-Steward certification programs that define responsible and effective e-waste management.",USC has not experienced any hazardous material releases during the previous 3 years. ,"USC uses a chemical inventory system which keeps record of the chemical waste collected and the location where it is stored. This system can also provide useful data for police and fire departments if the stored chemical waste is part of an emergency situation. All of the hazardous waste generated from the Columbia campus is disposed of through our vendor Tradebe.  Through a collaborative effort, we have identified many waste streams that can be stabilized and reused in other industries.  This allows us to minimize how much of our waste is sent to the landfills or incineration while complying with RCRA standards for proper disposal.  A majority of our waste can be blended for fuel and reused by a cement company located near Tradebe’s treatment and disposal facility in Chicago.  ",True,True,Workplace e-waste is managed by our central inventory warehouse and is either reused in offices or recycled by relevant vendors.,All employees are instructed on what to do with their electronic waste on campus.,http://ehs.sc.edu/HazWaste.htm,--
University of South Florida,2016-02-26,2016-02-26 13:29:47,sustainability@usf.edu,2.0,Pursuing,True,"1) The Division of Environmental Health and Safety (EH&S) has created a waste minimization guidelines document to provide the USF community with recommendations and techniques for reducing hazardous wastes.  

2) HITS (Hazardous Inventory Tracking System) is a web-based chemical inventory system that assists USF laboratories with the reduction of chemical waste through inventory control. Laboratories can order the chemicals they need and avoid duplication of purchases by first consulting their on-hand inventory.

The chemical surplus program, available through HITS, facilitates the redistribution of unneeded and unwanted chemicals for reuse by others thereby reducing the total volume of hazardous waste disposed.","1) EH&S manages the hazardous, biohazardous, and universal pharmaceutical waste disposal programs including compliant shipment and disposal of waste collected from campus satellite accumulation areas.  Licensed vendors are contracted to provide shipping and final disposal of these wastes.

2) EH&S provides training to affected faculty, staff, and students on the proper handling and disposal of hazardous wastes and methods to reduce the potential for release of wastes to the environment.

3) The USF Physical Plant recycling program manages the recycling of fluorescent bulbs, fixture ballasts, batteries, and electronic equipment.  Please see links:",None,"The USF Hazardous Inventory Tracking System (HITS) is a web-based chemical inventory system used by USF System research and teaching laboratories to stores and track chemical inventories.

The chemical surplus program, available through HITS, facilitates the redistribution of unneeded and unwanted chemicals for reuse by others thereby reducing the total volume of hazardous waste disposed.  Laboratories with a chemical surplus notify EH&S and the containers are moved to a chemical surplus inventory in the HITS System.  All laboratory staff members have the ability to search the surplus and request that surplus chemicals be transferred to their inventory. The chemical(s) is delivered to the requesting lab by EH&S staff.",True,True,"Creative Recycling Systems is an industry leader in asset management and the recycling and reuse of a vast array of end-of-life and obsolete computers, computer monitors and other electronic equipment. In their continuing effort to offset the rapidly increasing burden on the environment, CRS addresses these issues through innovation and integration of the latest state-of-the-art recycling systems into our processing facility in Tampa, Florida.","USF has contractors who take away electronic waste for the purpose of recycling and disposal. The licensed contractors that USF uses are required to follow environmental guidelines for recycling and disposal as per the EPA.
",http://www.usf.edu/administrative-services/environmental-health-safety/hazardous-waste/index.aspx,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:00:42,davidv@mail.usf.edu,2.0,Pursuing,True,"Policy 8.1.3. USFSP shall minimize emissions of air pollutants from and within
buildings on campus through the installation of appropriate filtering
devices on fume hoods and by minimizing the storage and use of
volatile and hazardous materials in campus buildings

Policy 8.7.1. USFSP shall prepare an on-going evaluation of monitoring and
disposing of chemical and research wastes. Opportunities for new
technologies to assist in transporting and disposing of such wastes
shall be continuously evaluated. 
","Policy 7.16.1. USFSP shall meet all Local, State and Federal regulations in the
collection and transportation of its hazardous wastes and materials. 

(1)(A) 11. Chemical and hazardous waste disposal systems;
The campus has made arrangements to transfer hazardous waste
generated by the Marine Science Laboratory and the USFSP Research
Lab (KRC) on an as-needed basis by outside vendors, which includes
chemical, nuclear, and other hazardous wastes. Engine oil and fuel oil
that is associated with the boat operations is removed by outside vendors
on a monthly basis and disposed of at a processing plant in Tampa",None,,True,--,"
Campus Computing does the Following:
-Battery disposal at local battery recycling centers.
-Disposal of computer parts at local recycling centers.
-Mobile phone, battery and print cartridge recycling.",Any items that do not have an appropriate recycling bin can be brought to the Campus Computing Help Desk (BAY 226) for recycling or for direction on how to recycle.,http://www.usfsp.edu/computing/standards-policies/computer-disposal/,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:34,prestonj@utk.edu,2.0,Pursuing,True,"The University of Tennessee adopted a Hazardous Waste Minimization Policy in 2012. This policy can be found here: http://web.utk.edu/~ehss/safety%20manual/smpdf/Haz%20Waste%20minimization%20plan%202012.pdf

Additionally, the Environmental Health and Safety Office at UT has developed a Hazardous Waste Reduction Plan. They have also published a list called 101 Ways to Reduce Hazardous Waste in the Laboratory (http://web.utk.edu/~ehss/pdf/101wrhwl.pdf), as well as other guides and resources, which can be found on their website (http://web.utk.edu/~ehss/Hazardous%20Waste%20Management/hwm.html).","All hazardous waste created on campus is disposed of through the EHS. The waste must be labeled with UT hazardous waste labels and stored properly prior to collection. Management of hazardous waste on campus by EHS includes waste characterization, record keeping and report, liaison with regulators, preparation and submittal of the annual report, maintenance of the Hazardous Waste Reduction Plan, including metrics, schedule waste pickup.",There have been no significant hazardous material release incidents during the previous three years.,"EHS maintains a Chemical Exchange program, in which people can exchange unwanted chemicals with others on campus. The chemicals or products must be unopened, unused, and not have expired. If someone has chemicals they no longer need, they can contact EHS to pick up the items. The EHS website also has a list of chemicals that are available via this program.",True,True,"UT recycling collects cell phones, small batteries, laptop batteries, personal printer and toner cartridges, calculators, MP3 players, CDs and DVDs, power cords and accessory cases at electronic waste stations around campus. Working calculators are donated to Calculators To Classrooms. Larger items that cannot fit in the bins can be picked up via a service request form.","UT's electronic waste is disposed of by Arrow Value Recovery. Arrow makes every effort to extend the life of electronic assets, including repairing, refurbishing, redeploying, remarketing, donating and harvesting usable parts. But when electronics have no further reuse opportunity, their recycling processes exceed the norm. Arrow’s environmental policies are not only consistent with R2, RIOS, and ISO 14001 standards, but additionally require due diligence beyond just focus materials, all the way downstream and across all geographies to keep materials out of the waste stream. ",http://web.utk.edu/~ehss/Hazardous%20Waste%20Management/hwm.html,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:02,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:38,mtare@uta.edu,2.0,Pursuing,True,"UT Arlington strives to reduce hazardous, universal, and non-regulated chemical waste through educating researchers and minimizing the amount of chemical reagent that are purchased by departments. There is also a project ongoing to design a Chemical Inventory for all the chemicals used on campus (using a software application)","UT Arlington manages the hazardous, universal, and non-regulated chemical waste through the UT System approved hazardous waste contractor, in compliance with all local, state and federal regulations.  ",None,"UT Arlington is in the process of implementing  a chemical inventory system using the Chemical Environmental Management System (CEMS). CEMS will be used to record the quantity, type, location of chemicals stored in laboratories and offer surplus chemicals or chemical reuse inventory to researchers at UT Arlington. ",True,True,"Being a State University, some e-waste items are to be disposed of in accordance with state requirements.  Senate Bill 1105, Section 2175.126(a) and (b) of the 76th Legislative Session mandates that surplus data processing equipment should be sent to the Texas Department of Criminal Justice to become part of the “TDCJ Computer Recovery Program”.  Technotrash is small computer ware such as CDs, DVDs, diskettes, audio/video tapes, and small computer components such as mother boards, hard drives, disk drives, etc. You can contact the Office of Sustainability at ext. 20199 and request these items be picked up. They will be picked up at the same time cartridges are picked up. If you have a small quantity that will fit in an envelope, you can put them in campus mail to Office of Sustainability Box 19333. We do not recycle the mouse, the keyboard, cords, speakers, etc.

","Being a State University, some e-waste items are to be disposed of in accordance with state requirements.  Senate Bill 1105, Section 2175.126(a) and (b) of the 76th Legislative Session mandates that surplus data processing equipment should be sent to the Texas Department of Criminal Justice to become part of the “TDCJ Computer Recovery Program”.  Technotrash is small computer ware such as CDs, DVDs, diskettes, audio/video tapes, and small computer components such as mother boards, hard drives, disk drives, etc. You can contact the Office of Sustainability at ext. 20199 and request these items be picked up. They will be picked up at the same time cartridges are picked up. If you have a small quantity that will fit in an envelope, you can put them in campus mail to Office of Sustainability Box 19333. We do not recycle the mouse, the keyboard, cords, speakers, etc.

",http://www.uta.edu/policy/forms/ehs/uta_lab_safety_manual.pdf,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:02,jim.walker@austin.utexas.edu,2.0,Pursuing,True,"UT Austin has a robust and well established Hazardous Waste Management program with an emphasis on waste minimization. The office of Environmental Health and Safety (EHS) has five technicians and specialists working in the Hazardous Materials Program. This staff is dedicated to the proper management and disposal of all the hazardous waste (chemical and biological) and universal waste generated by the University including all off site locations not just the Main Campus in Austin. There is an online training program in place for the proper handling and disposal of hazardous waste which includes promoting waste minimization. 

EHS has a written Waste Minimization Plan and the university is pursuing a variety of initiatives including:
•	Green labs
•	Small-scale recycling in labs
•	Chemical exchange programs
•	Chemical container recycling
•	Mercury thermometer exchange
•	Glove recycling

Last calendar year (2013) UT-Austin’s volume of hazardous (RCRA) waste was reduced by 17% from the previous year 2012.
","Sharps and biological waste are picked up throughout campus, following receipt of a Biological Waste and Sharps Form. Supplies, such as sharp containers and cardboard bio boxes, are delivered as they are needed.
An extended description of chemical waste handling procedures is online at:
http://www.utexas.edu/safety/ehs/disposal/procedures/

Training program: 
http://www.utexas.edu/safety/ehs/train/

The website URL where information about hazardous materials management is available: 
http://www.utexas.edu/safety/ehs/disposal/ 

EHS recycles rechargeable batteries through it hazardous waste vendor.
",N/A, ,True,True,"University Surplus gathers all institution-generated e-waste and disburses it through allowed disposal channels (no landfill): Texas educational insitutions, Surplus auctions, and Texas Correctional Industries. 

Prior to Surplus, we offer a hard drive destruction service for staff and faculty that includes extraction of recyclable materials. This service is available through Information Technology Services (ITS). ","Facilities Services Surplus Properties Section collects all University-owned electronic waste to include computers and monitors.  Every effort is made to handle these commodities in a safe manner as not to create any personal injury to the employees and to ensure the items are not sent to any unauthorized disposal facility or landfill.  Once collected, these assets are transferred to the Texas Correctional Industries where they are reused and not sent to a landfill for disposal.  These excess computers and associated equipment are also made available to Texas educational institutions such as Elementary Schools and High Schools.   ",http://www.utexas.edu/safety/ehs/disposal/,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:11,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:22,neil.tabor@utoledo.edu,2.0,Pursuing,True,"•	Individual high throughput waste streams are identified  and analyzed to determine:
o	Opportunities for substitution with a less hazardous substance (chlorinated to non-chlorinated solvent substitution)
o	Opportunities for reuse (solvent reuse and solvent recycling)
o	Discussing reduction in solvent use with researchers
o	Conducting infectious waste audits to ensure excessive amounts of trash/recyclables are not being disposed of in infectious waste.
","Hazardous waste is identified by (trained) Principal Investigators and research support staff (laboratory managers).  Hazardous wastes are then listed onto an internal hazardous waste manifest, which is transmitted to Environmental Health and Radiation Safety (EHRS).  EHRS utilizes a 3rd party contractor to lab-pack, manifest and ship all identified hazardous waste materials to several licensed Treatment, Storage and Disposal Facilities (depending on what types of wastes are generated and what treatment is necessary).  Universal wastes are collected by trained facilities and construction employees where they are transported to a centralized location on campus (Westwood Facility).  After appropriate packaging and labeling, UW materials are bulked at this location for shipment to a UW handler approximately 2x/year.  Non-regulated chemicals are disposed, with permission, to the City of Toledo POTW via a “Unusual Discharge Procedure”.  When permission is not granted (or is prohibited due to Sanitary Effluent Discharge Permitting restrictions) Non-regulated chemicals are collected and shipped to UT’s Hazardous Waste Handlers.","In 2014 sewage was discovered to be running from a manhole into two storm sewers at about 5 gpm. The city was notified and sewage overflow was diverted by pumping from the overflowing sanitary sewer into another past the blockage. Sanitary drains were also pumped. 

In 2015 a fire was observed in a chemistry laboratory. The building was evacuated and the chemical in question was determined to be Tantalum pentachloride. The fire department and other relevant parties were called and the fire was ceased using kitty-litter. Afterward damaged ceiling tiles, cabinetry and other damaged items were removed.
",The University of Toledo Chemical Stockroom operates a “Marvel” chemical stock of organic and inorganics.  These chemicals are donated (primarily from chemistry and biochemistry) laboratories when they are no longer used in that laboratories research.  The chemicals then are available to other laboratories within those departments for reuse at no cost.  Additionally – the Marvel stock is available to other departments on campus for purchase at a fair-market value as determined by the Chemical Stockroom.,True,True,UT collects electronic waste and stages materials at various places on campus for occasional collection with an outside vendor. Student-produced electronic waste is accepted upon request and as part of any of the community electronics recycling drives that occur each year.,The University of Toledo contracts with AIM eCycling to electronic waste recycling. AIM is R2 certified and meets these rigorous standards.,http://www.utoledo.edu/facilities/recycling/electronics.html,--
University of Virginia,2015-12-11,2015-12-11 14:05:56,art2k@Virginia.edu,2.0,Pursuing,True,"UVa's Environmental Health and Safety Office (EHS) has implemented a variety of programs to minimize the amount of hazardous, special, universal, and non-regulated chemical waste from UVa.  Materials such as batteries, light bulbs, and certain chemicals are also collected throughout the University by EHS for recycling. The batteries are sent for processing to recover the metals. Fluorescent light bulbs are shipped to a facility where the mercury can be recovered and reused and the glass is recycled. The oil and antifreeze collected from from vehicles is recycled through Parking and Transportation. EHS also has a mercury thermometer replacement program and works with labs and departments to replace mercury-containing equipment. Solvents, including xylene and acetone, are recycled through EHS for reuse in other departments.  In addition, EHS examines large generators of waste and works with them where possible to reduce their usage or switch to less hazardous chemicals.  One example of this program involved working with the undergraduate chemistry labs to scale down the size of their experiments to reduce the quantity of waste generated from the large number of lab classes every semester.    
","EHS has protocols, procedures, and policies for safely labeling, collecting and disposing of chemical, radioactive, biohazardous, and other universal hazardous waste.  Anyone who works in a laboratory/area where chemicals are used, or who generates Hazardous (Chemical) Waste, must be trained by Environmental Health & Safety (EHS). All wastes are disposed of in accordance with Federal, State, and local regulations.  ","10-17-2013 Power washing was conducted at Scott Stadium without proper capture of the resulting runoff.  The runoff resulted in a white discharge, which was detected in Lodge Creek nearby.  The exact volume of runoff is unknown.   Upon detecting the discharge, the appropriate parties were contacted and they were able to determine that power washing had taken place.  All future power washing was ceased until an appropriate plan for runoff capture was in place.  Now all power washing runoff is vacuumed up before it reaches the storm sewer, with appropriate controls at storm sewer inlets.

11-3-2014 During the startup of Boiler 2R at the Main Heat Plant, at most 150 gallons of lime and water slurry were released from the pollution control system.  Much of the spill was contained, but some entered the storm system.  An air bladder was used to block the affected storm drain.  The University’s vacuum truck was used to flush the affected storm drain. The pH of the closest outfall of the storm system was monitored and it stayed within a normal 6.5-7, indicating that the spill was contained.  The exact quantity released is unknown, but the theoretical maximum was 150 gallons based on the data recorded by the plant control system.  The failsafe, which failed and did not prevent the flow of lime slurry, was repaired.  A runoff study and a project to control storm water contamination was already underway.  Heat plant staff was immediately retrained on the operation of the inflatable air bladder.

12-24-2014 During the afternoon of December 24, the line from the lime slurry pump failed, causing the lime slurry to drain from the tank.  Because it was raining, a storm drain that is normally blocked was opened to prevent flooding at the Main Heat Plant.  The exact volume of slurry released is not known.  The University’s vacuum truck was called in and the affected storm sewer was flushed with 2000 gallons of water.  The next morning, it was discovered that some of the affected storm water reached a nearby stream.  The affected outfall was intercepted and pumped to an adjacent retaining BMP.  Elevated pH levels of 8.5 to 9 were found in the stream initially, which dropped upon intercept of the outfall.  Some dead worms and minnows were observed in the stream.  As mentioned, a larger contamination control project was already underway.  The initial storm sewer inlet, which is normally closed, must now be visually monitored whenever it is open.
",,True,True,"Computers and related parallels are recycled through a recycling company contracted by the UVA. Cell phones, pagers, small electronics, batteries and media related materials (CDs, DVDs, audio and or video tapes) are sent to recyclers for proper refurbishments or recycling.","Computers and related parallels are recycled through a recycling company contracted by the UVA and coordinated through Procurement and Diversity Services. Cell phones, pagers, small electronics, batteries and media related materials (CDs, DVDs, audio and or video tapes) are sent to recyclers for proper refurbishments or recycling. Our contract requires zero landfill for all electronic components and a recycling policy for packaging/logistics by-products.  The supplier is certified under the EPA R2 program and the e-steward program.

Fluorescent lamps, ballasts and other lamps are collected by trained electrical mechanics and packaged for proper recycling practices.",http://ehs.virginia.edu/ehs/ehs.chemicalsafety/chemicalsafety.cwc.html,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:56,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,True,"At present, hazardous waste reduction and inventory management is the responsibility of individual departments, while hazardous waste disposal is managed by the University's Health and Safety Office.

The most significant users of hazardous chemicals for academic purposes are the departments of Biology and Chemistry.  Both departments have implemented several hazardous-waste reduction procedures and practices.  These include: moving from macro to micro scale reactions in teaching labs, saving the chemicals produced in one lab to be used in others where possible, eliminating the use of formaldehyde for specimen preservation, taking efforts to substitute the use of especially toxic reagents with less toxic reagents when possible, purchasing chemicals in a manner that does not exceed anticipated needs, and designing teaching labs that minimize the use of hazardous materials.
","Those with hazardous waste to dispose of reports it to the Lab Safety Officer. Employees are instructed not to move hazerdous waste. Disposals are scheduled throughout the year. The principal chemical disposals occur during the February ""Reading Week"" and again in August. Various companies are contacted to pick up and safely dispose of various waste materials, eg. Miller Environmental",Radioactive material during decommissioning of the main campus lab.  Volume is unknown.  The radioactive material was removed as hazardous waste.,,True,--,"When there is e-wast to be disposed of, a staff member fills out an Asset Disposal Form and the product is sent to shipping and receiving. From there it is collected and dropped off at an e-waste recycling facility in the city. ","E-Waste is sent to a local recycler which is a member of the Canadian Association of Recycling Industries. 

 Each member company of CARI commits to the following guiding principles:

-Protecting people and the environment together with economic development: sustainable development.
-Ensuring all employees understand and are able to fulfill their safety and environmental responsibilities.
-Designing and operating operations based on the efficient use of energy, resources, and materials.
-Complying with all legal requirements that affect its operations and products.
-Refraining from making false or misleading statements about its products.
-Working actively, directly or through the association, with governments and the public to develop equitable and attainable standards. ",--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:55,fermanij@uwgb.edu,2.0,Pursuing,True,"Basic waste minimization options include:

waste stream segregation 
good housekeeping 
inventory control/ordering chemicals in smaller containers 
material substitution 
using smaller scale 
modifying specific experiments 
","UW – Green Bay complies with U.S.EPA and WDNR rules for small quantity generators.  Management practices are outlined in the UWGB Hazardous Waste Disposal Guide.  UW – Green Bay has and continues to make efforts to minimize the production of hazardous waste.  All hazardous waste is stored in a locked, limited access storage room.  Hazardous waste disposal is managed under a mandatory hazardous waste contract and is currently shipped off-campus twice per year.  Lithium containing batteries are collected and disposed of with UW – Green Bay’s hazardous waste shipments.  All rechargeable batteries are recycled with Call2Recycle.  Universal waste lamps are stored in structurally sound, closed, properly labeled containers until they are shipped with a contracted lamp recycler.",None.,"UW – Green Bay has a chemical inventory system in place which monitors the location and amount of chemicals present on campus. When faculty need a particular chemical for class or research, they check with the laboratory management team to assess chemical availability prior to making any new purchases.  ",True,True,"The e-waste recycling ""Round-up"" program will be run on a yearly basis. All departments and staff are notified via e-mail and flyers are posted providing the drop-off location as well as the details of what is acceptable for recycling. In the first year, Spring 2011, 15 skids of electronic waste were collecting, nearly filling a 50-foot semi trailer. The campus partnered with Fox Valley Technical College's Driving School (semi-truck driving) to transport the e-Waste to UW-Madison's SWAP program for proper recycling.  ",It is now state law in Wisconsin to properly recycle e-waste through an accredited and state-certified recycling partner. The state certification program sets the criteria for becoming a state vendor of e-waste recycling services. ,http://www.uwgb.edu/busfin/safetyrisk/Policy/hazardous_waste,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:34:58,knelson6@uwm.edu,2.0,Pursuing,True,"Source reduction steps include: 
1. Substitute non-hazardous chemicals for more hazardous chemicals in classroom labs.
2. Re-engineer chemical activities to use less chemicals. One chemistry lab stopped performing a mercury lab, which created a lot of hazardous waste. 
3. Order smaller quantities of chemicals to match needs.
4. Give surplus chemicals to campus redistribution program for reuse elsewhere on campus, this includes chemicals, paints, cleaners, gas cylinders, and even lab glassware.","Hazardous waste is disposed of through Veolia Environmental Services. Some waste is sent for incineration or treatment, depending on Veolia’s procedures. 

Universal Waste:
Batteries are  recycled through “Call2Recycle”, and the Environmental Protection department tracks the amounts we send to them. Pesticides are disposed of through Veolia Environmental Services. Mercury Containing Devices are recycled through Veolia Environmental Services
Lamps are recycled through Veolia Special Services (through PPS).

Non-regulated chemical waste:
Depending on the chemical, some can go down the sanitary sewer, trashed in the regular garbage, or sent with Veolia Environmental so it can be incinerated.

Neutralization of Acid and Caustic Waste Chemicals: 
UWM follows proper procedures to neutralize uncontaminated acidic or caustic waste- streams. Geosciences labs neutralize waste steams. Environmental Protection tracks the amounts neutralized in our hazardous waste facility.
",UW-Milwaukee has not had any significant hazardous materials releases in the past three years.,"Surplus chemicals are given to UWM's campus redistribution program for reuse elsewhere on campus. This includes chemicals, paints, cleaners, gas cylinders, and even lab glassware. Departments will also check the surplus chemical redistribution inventory before ordering new chemicals.
",True,True,"Electronic waste on campus is managed through the surplus program.  Campus community declares it a surplus and it is picked at their door and sorted at the Facility Services off campus location.  UW-Milwaukee generated 7,000-10,000 lbs of electronic waste/month.  The primary end life is through recycling, but some machines are also refurbished and sold to the public at a reasonable rate.",Electronic waste is handled through a state contract.  Universal Recycling Technology has several physical and software means to destroy all data.  A certificate of destruction is supplied to our university.  URT maintains a $5 million liability coverage to ensure all data destruction.  URT supplies an EHS systems manual.  URT is qualified as an E-Steward.,http://www4.uwm.edu/usa/ep/disposalguide.cfm,"Examples of Waste Minimization at UWM:
•	Campus Preventative Maintenance reduces ethylene glycol usage by 80%.
•	Fleet Garage and Maintenance Mechanics recycle all ethylene glycol, oil, oil filters, oil-dri, oil sorbent pads (Recycled by Future Environmental)
•	Campus recycles:
o	Lithium Ion, Nickel Metal-Hydride, Nickel Cadmium, and small Lead Gel Cell batteries (through “Call2Recycle”-Environmental Protection tracks the weights), 
o	mercury (through Veolia Environmental Services), 
o	fluorescent lamps (through Veolia Special Services – managed by PPS)
o	ballasts (through our Metal Scrap Recycler), 
o	toner cartridges (through Cartridge World), 
o	Large Lead Acid Batteries (through our Metal Scrap Recycler) 
o	E-Waste (through Surplus)
o	Aerosol cans (through Environmental Protection, either as surplus chemicals for redistribution, or once can is properly punctured and empty-as scrap metal)

•	Chemistry teaching labs convert from mercury thermometers to red liquid thermometers.  
•	Environmental Protection checks for mercury instruments during lab inspections around Campus, and tries to find alternatives to replace them.
•	Environmental Protection re-distills mineral spirits for the art department (and tracks the amounts redistributed)
•	Custodial Services reduces chemical usage through dispensing systems.
•	Biosciences replaces formaldehyde-based preservatives.
•	Fine Arts Intaglio classes replace solvents with oil and citrus cleaner for brush and equipment clean-up.
•	Environmental Protection receives solvent waste from labs across campus.  If the constituents of the wastes are compatible, and not contaminated with toxic chemicals, we bulk the solvents in 55-gallon drums.  We recycle these drums with Veolia Environmental, and the drums are used as “fuel” for incinerators or cement kilns."
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:41:48,kermathb@uwosh.edu,2.0,Pursuing,True,"Because UWO is a Small Quantity Generator (SQG), there are two pickups of the hazardous waste per year which cannot exceed 1 kilogram (2.2 pounds) per pickup. The waste from the university is sent to Veolia Environmental Services. In order to be a SQG, the institution cannot dispose more than 13,000 pounds per year.
	Although UWO does not have a specific program in place to reduce the amount of hazardous waste that is used, the university is working to discourage certain types of chemicals as well as avoiding going beyond a certain amount. A list of the P-Listed Materials (Toxins) is given to those who work with hazardous waste (Chemistry, Biology, and Art Departments) to limit the use of the listed materials. 
	There is discussion about providing incentives for these departments to limit their purchases of these hazardous materials. One of the potential methods would be to charge the buyer a certain amount per pound of toxic matter. Another suggestion was to split the budget of $11,500 between the departments, and the money that they do not use on hazardous material purchases they get to keep. While this would likely be an incentive to limit waste, there is concern about the potential negative consequence of pouring the waste down the drains.
Lamps and ballasts are removed by qualified personnel, held on site in appropriate containers and collected annually by a lamp recycling vendor. The campus replaces spent lamps with low mercury alternatives.
Non-alkaline batteries are collected from academic departments and business units for recycling. (not sure about res-life)
The campus is committed to replacing mercury containing devices and reagents whenever possible.  Over the last two years we have removed more than 30 kg of mercury and mercury containing products from campus laboratories.
","The University has a permit to transport and dump all coal ash at the Outagamie County Landfill. Coal ash from our plant does not meet the criteria for beneficial reuse. Universal and non-regulated chemical waste is packaged and processed by our hazardous waste vendor.
Non-regulated chemical wastes are disposed of in accordance with the regulations provided by the City of Oshkosh POTW if aqueous based or via the Outagamie county landfill if in solid form.",There have been no release incidents in the past year.,"Many experiments in our general chemistry lab courses have been redesigned to eliminate hazardous materials.  Several of our organic chemistry lab courses have been designed around green chemistry principles.
Hazardous wastes generated in laboratories may be treated/neutralized in lab, collected by qualified personnel and co-mingled for use in fuels blending or and picked up by a certified vendor.  Unwanted chemicals that are still useful are collected and redistributed whenever possible.  Furthermore, the campus uses chemical inventory management software to minimize extraneous purchases and bulk buying.",True,True,"During the summer, UWO participates in the free Apple Recycling Program. At other times, the university works with State of Wisconsin Corrections Computer Recycling Program which is $15 per monitor; the materials sent here are either sold or scrapped. Although computers and other electronic equipment may not meet the standards set by the university, it could still be used by others off-campus. UWO sends information about what is available to area non-profits, schools, and churches. Overall, academic computing promotes the reuse of electronic materials to extend its electronic life.","As hardware ages, it becomes more difficult to find replacement parts, newer applications will no longer run, and it becomes necessary to remove this old hardware from our support services. A list of processors that will no longer be supported is available by contacting the Help Desk. A request for the replacement of an old computer can be addressed to campus surplus by contacting the Help Desk (acshelp@uwosh.edu or (920) 424-3020). In this way, the university limits unnecessary consumption and ultimately waste by finding adequate computers on campus before resorting to outside sources. 
Electronics waste is collected from campus departments and business units by facilities personnel.  It is then collected for recycling by our vendor Universal Recycling Technologies
Electronic waste is collected by trained facilities personnel using appropriate personal protective equipment and is collected by a e-stweards certified vendor.

 
",--,--
