Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution offer continuing education courses that address sustainability?,Number of continuing education courses offered that address sustainability,Total number of continuing education courses offered,A copy of the list and brief descriptions of the continuing education courses that address ...,A list and brief descriptions of the continuing education courses that address sustainability,Does the institution have at least one sustainability-themed certificate program through its ...,A brief description of the certificate program,Year the certificate program was created,The website URL where information about sustainability in continuing education courses is available ,Public Notes
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:17,gotham360@stevens.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:33:52,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:17,kathleen.grady@temple.edu,2.0,Pursuing,True,3.0,170.0,http://stars.aashe.org/media/secure/711/6/574/3583/Sustainability%20Related%20Non-Credit%20Courses%202.8.15.pdf,,--,,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:25:00,kwellman@tamu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Texas Tech University,2016-03-25,2016-03-25 15:47:43,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:00,dial.15@osu.edu,2.0,Pursuing,True,19.0,22.0,http://stars.aashe.org/media/secure/630/6/574/3583/Continuing%20Education%20Courses%20Final%20Listing.xlsx,,True,"Executive Certificate in Energy

Course Objectives: Solidify a broad and diverse understanding of the Energy industry. Review current worldwide demand and projected demand through 2035. Explore how coal, gas, nuclear and renewable energy are poised to meet this demand. Utilize the energy industry to demonstrate how business leaders must understand global trends of supply, demand, technology, and their financial implications in order to generate value.",2012.0,--,--
Tufts University,2016-02-25,2016-02-25 15:40:34,tina.woolston@tufts.edu,2.0,Pursuing,True,2.0,438.0,,"1.	A Casino on the Mystic? Current and Future Development, Issues, and 
Vision Along the Mystic River and Its Tributaries

The proposals for a casino in Everett and East Boston will serve as our starting point as we examine a wide variety of current and potential changes for communities on the Mystic River and its tributaries, from Winchester to Chelsea. We'll explore residential and commercial development, bike paths and other recreational opportunities, infrastructure improvements, and environmental concerns. What is the area now? What might the vision be for its future? While not required, the text for the class, Mystic River: A Natural & Human History & Recreation Guide (available online and through local bookstores), is strongly recommended to set the stage. We'll allow ample time for discussion, guided at times by guest speakers. Participation in our earlier class on the Mystic River would be helpful but is not required. Links to additional resources will be provided by your study group leader. 


2.	Drawing a Line in the Tar Sands

In 2012, President Obama’s administration delayed a permit for the Keystone XL pipeline, a $7 billion conduit that would carry tars and oil from Canada to the gulf ports of Texas. The President stated that he would approve the 1,200-mile pipeline from Morgan, Montana to Steele City, Nebraska if it would not significantly exacerbate the problem of greenhouse gas emissions. Recently, the State Department released its long-awaited Environmental Impact Statement on the pipeline to Secretary Kerry, who will review it before he advises the President. What are the political, economic, and environmental effects of the pipeline? Will it provide jobs, energy independence, cheaper and more secure energy? Or will the pipeline usher in a climate change Armageddon? If passed, will civil disobedience take center stage? A line in the sand has been drawn by both sides. Join us as we discuss this explosive and polarizing issue.",--,,--,http://www.ase.tufts.edu/lli/,"The number of continuing education courses offered varies from year to year, and sustainability-related classes are not necessarily offered every term."
Tulane University,2016-02-04,2016-02-04 11:04:04,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:25:18,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:15,mmallia@albany.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--
University at Buffalo,2016-01-19,2016-01-19 10:15:55,jlk47@buffalo.edu,2.0,Pursuing,True,19.0,808.0,http://stars.aashe.org/media/secure/409/6/574/3583/SUNY%20Noncredit%20Instruction%20Report%202011-12.xlsx,"Adirondack Adventure -- field experience for adults	
Business of Energy Series: Sustainable Transportation
Advocacy in the Community: Environment
Be an LGBTQ Ally
Be an LGBTQ Ally (A)
Be an LGBTQ Ally (B)
Be an LGBTQ Ally (C)
Eating Vegetarian
Global Competency Series: Adopting a Global Perspective
Global Competency Series: Reseponsible Global Citizenship
Global Competency Series: Adopting a Global Perspective (A)
Global Competency: Responsible Global Citizenship (A)
How to Cope Without the Smoke: A Smoking Cessation Workshop
How to Support UB's Smoke-Free Campus (Fall)
How to Support UB's Smoke-Free Campus (Spring)
Leadership: What's Gender Got to Do with It?
LGBTQ 101
Plan Your Quit: A Smoking Cessation Workshop
Plan Your Quit: A Smoking Cessation Workshop (A)
Plan Your Quit: A Smoking Cessation Workshop (B) 



",--,,--,http://www.student-affairs.buffalo.edu/shs/wes/,--
University of Arizona,2016-03-25,2016-03-25 15:32:14,bchampion@email.arizona.edu,2.0,Pursuing,True,30.0,190.0,,"The inventory can be found at:
https://ce.arizona.edu/non-credit-courses 

Green Jobs Training subject area: 26 courses
Sustainability subject area: 4 courses

",True,"There are three certificate programs/classes available: Greenhouse/High Tunnel Management for Food Production, Growing Food in a Hotter, Drier Land, AND Strategies, Permits and Regulations for Direct-Marketing Farm and Garden Products. 

All of these courses apply toward the Rural Development Certificate. Links here: https://ce.arizona.edu/certificate-programs and https://ce.arizona.edu/rural-development-and-local-food-production 

A certificate in RURAL DEVELOPMENT AND LOCAL FOOD PRODUCTION has been developed for those interested in gaining a broad understanding of the desert in relation to the global economy and an appreciation for sustainable development strategies.
",2014.0,https://ce.arizona.edu/non-credit-courses,Latest update: February 2016
University of British Columbia,2016-02-22,2016-02-22 18:18:41,charlene.ponto@ubc.ca,2.0,Pursuing,True,52.0,594.0,,"Introduction to Sustainability 	
Sustainable Communities 
Summer Institute in Sustainability Leadership		
Sustainability Leadership 
Greening the Supply Chain: Responsible Business Practices 
Organizational Sustainability 
Sustainable Energy Systems: Understanding Renewable and Clean Energy		
Sustainability Planning and Measurement 	
Climate Literacy: Navigating Climate Conversations 
Introduction to Energy Modelling in the Built Environment 		
Energy Modelling Processes and Methodology for the Built Environment 
Meeting the Code: Energy Modelling Workshop		
Introduction to Greenhouse Gas Accounting and Reporting 	
Building Green with LEED®: LEED Canada for New Construction		
LEED® Green Building Strategies and Green Associate Exam Preparation 
LEED® Green Associate Exam Prep Workshop
Life Cycle Assessment	
Passive House Design: An Introduction
Passive House Design and Construction
Culture, Communication and Development 
Dimensions of International Development   
Education and Development 
Evaluating International Development Work  
Introduction to International Health and Development 
Issues in International Health Delivery 
Migration and Displacement
Project Planning and Proposal Writing 
Field Study Thailand: Buddhist Economics, Sufficiency Economy, and Sustainable Livelihood 
Field Study Brazil: Collaborative Arrangements, Strategies and Projects for Sustainable Development and Citizenry in Northeastern Brazil  
Milton K Wong Lecture: The Global Eco-Crisis: Diversity, Resilience and Adaptability, by David Suzuki  
The Emerging BRICs: Brazil, Russia, India, China and South Africa 
Introduction to Sustainability (Japanese High School students)
Edible Landscape Design 
Living Roofs: A to Z 
Urban Design and Cities 
International Law and Diplomacy 
World Heritage 
False Creek: 45 Years of Planning Innovation 
Heritage in Vancouver 
International Scene: Perspectives on World Events and Politics 
Creative Collaboration 
Culture and Sustainable Development 
Intangible Cultural Heritage 
Resourceful Design Innovation by Re-imagining Existing Urban Assets
Cultural Planning and Processes of Urban Change
Creative Economy and Cultural Planning - The Smaller City Perspective
Cultural Tourism: Impacting Communities Worldwide 
Creating Culture Plans 
Festivals, Events and Eventful Communities 
Foundations of Cultural Planning 
English for the Global Citizen: Part-Time Option
English for the Global Citizen: Full-Time Option",True,"UBC Certificate in Watershed Management

The Certificate in Watershed Management program is offered by UBC's Institute for Resources, Environment and Sustainability. This program familiarizes practicing professionals with the interdisciplinary nature inherent in watershed management while also providing a more detailed understanding of particular aspects. It will increase participants’ understanding of the ways in which knowledge from a number of disciplinary areas must be linked, and the collaboration required to resolve the escalating number of water resource conflicts. Elective courses allow participants to focus on specific aspects of watershed management that relate to their area of interest.

Health & Wellness Education Certificate Program

The Health & Wellness Education Certificate Program is offered by UBC’s Faculty of Education, External Programs and Learning Technologies. This program aligns with the education movement that recognizes that healthy children and youth are better able to learn and that schools are well suited to influence students’ health.  Given initiatives such as HealthySchools and ActNowBC, this program contributes to the ongoing development of knowledge and skills in the area of Health Education for current educators.",2008.0,https://cstudies.ubc.ca/study-topic/sustainability,"Additional Continuing Studies websites with sustainability courses:

https://cstudies.ubc.ca/about-us/program-units/centre-intercultural-communication

https://cstudies.ubc.ca/about-us/program-units/community-programs

https://cstudies.ubc.ca/about-us/program-units/centre-cultural-planning-development

http://www.eli.ubc.ca/"
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:12,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:41,cmkirk@ucdavis.edu,2.0,Pursuing,True,48.0,1262.0,http://stars.aashe.org/media/secure/551/6/574/3583/STARS%20Continuing%20Education%20Courses%20_1.docx,"Environmental Auditing: Learn the key concepts involved in conducting an environmental audit. Topics include the purposes of audits and assessments, audit planning and program design, and pre-audit activities. Examine how to conduct audit interviews and inspections, evaluate management systems and learn techniques for reporting your audit findings.

Environmental Management and Sustainability: Gain a solid foundation in the principles of environmental management and sustainability. The main elements of environmental management will be discussed, including “ISO 14001 Guidelines,” program design and execution, gaining leadership and organizational participation, stakeholder involvement and performance assessment.  Discuss sustainability standards, such as the UL Interim Sustainability Requirements 880, and management of environmental elements, such as water conservation, energy conservation and greenhouse gas reduction.

Building Efficiencies: Low Carbon and Renewable Energies: Examine the energy issue from the macro perspective of the built environment to the micro approach of how heat flows throughout a building. Using the ""whole building"" perspective, discover some of the natural and mechanical means of heating, cooling and ventilation for improved indoor air quality and cost savings. The breakdown of how energy is used in its final stage is a critical component of a successful sustainable environment. Examine how conservation and the effectiveness of renewable energy sources, such as solar and solar thermal power, biomass, wind power, hydroelectric and photovoltaic are key elements to achieving energy efficiency. Learn to analyze energy use as an effective strategy to promote energy conservation in the built environment, including solar panels, exterior shades, lighting a space, painting a roof white, and the issues and technology of bio fuels. 

Sustainability and the Built Environment: An Overview: In this comprehensive course, examine sustainability principles as they apply to the built environment—from the economic, environmental and social-equity perspectives. Learn how researchers and analysts define sustainability, and how they measure and track progress. Explore historical precursors of the current sustainability movement, and how they translate into planning, engineering, architecture, landscape architecture, construction and other fields. Examine planning, design and building problems holistically, and learn about life-cycle analyses. Analyze numerous case studies, specific projects and emerging technologies and planning approaches from around the world. Students are encouraged to pursue their own passions and interests in sustainability and to work on real-world problem solving requiring multiple disciplines and perspectives. 

California Bioresources Alliance Symposium: The ninth annual California Bioresources Alliance Symposium will be held June 3-4 at UC Davis and will be geared toward students and researchers who work on organic residuals issues.
Sessions will include legislative and policy developments on organic residuals in California, impacts of mandatory recycling and landfill closures, waste-to-energy issues, biogas issues including clustering dairies and use for vehicle fuel, and local initiatives. The symposium brings together industry professionals, municipalities, regulators, legislators, state and federal agencies, students, researchers, financiers and others involved in California organic residuals. 

Solar Energy Systems Design: Learn the basics of solar photovoltaic power systems for both residential and commercial use, as well as solar system physics and technology, design and implementation. Examine energy conservation, the economics of solar power systems, passive solar heating systems, the California Solar Initiative and LEED review. Gain the practical skills to design a solar power system and work in teams to design a solar energy system for residential and commercial purposes.

Cogeneration and District Solutions: It has been estimated that about 20 percent of U.S. electricity could be made with heat that is currently wasted by industry. Gain an overview of micro-cogeneration and district energy solutions for commercial and district applications. Learn about cogeneration system selection and sizing, preliminary feasibility study approaches, heat to power ratios, computer programs, economic and environmental issues, emerging technologies and regulations. Explore the economics of micro-cogeneration life cycle assessment, breakeven analysis, incentive programs, heat and electricity supply scenarios, and interconnecting with your local utility. Examine environmental impacts such as co-products, impact assessments and pollutant emissions. 

Bioenergy Systems Design: Rising fuel prices, environmental concerns and pressures for oil independence are creating a strong market for renewable energy. Bioenergy is renewable energy derived from biological sources to be used for heat, electricity or vehicle fuel. Gain an understanding of biomass technologies and characteristics, engineering bioenergy feedstocks, biochemical conversion, anaerobic digestions, thermochemical and physicochemical conversions, biomass production systems and feedstock logistics. Explore the environmental, economic and social impacts. Learn about emerging bioenergy technologies, legislation and regulations. Work in teams to design and site a bioenergy system for a commercial or agricultural application.

Business of Sustainability: Making the business case is a key piece for advancing a sustainability initiative in any type of organization, and knowing how to develop the financial rationale for the business case is a key component of gaining support for the initiative. This course will examine and apply the tools, models and approaches that students can use to develop the business and financial rationale for a sustainability initiative. Because the business case for sustainability often involves identifying and measuring impacts to communities and the environment, students will learn how to frame these impacts into an approach that communicates a return on the investment. The main deliverable for the course will be creation of a real business case for a sustainability initiative of the students’ selection.

Green Building Materials and Construction Methods: Learn to implement green building practices into homes, apartments, business complexes and office buildings. Utilize materials and techniques that promote healthy, durable and environmentally-responsible construction. Increase your understanding of helpful tools and resources, including green building rating systems. Hands-on exercises provide innovative solutions you can put to immediate use.

Discover the latest and best green construction methods changing the landscape of the building industry. Explore life-cycle assessment methods of materials and be a better-informed designer or builder when selecting materials.
Examine sustainable construction methods used in today's green commercial and residential buildings in relation to their energy and environmental impacts and benefits. 

LEED Building Certification: Gain an in-depth understanding of the LEED Building, Design and Construction (BD&C) rating systems for new construction projects, schools, and core and shell projects as well as the process to document and obtain certification. Learn how to register, document and certify LEED BD&C projects. Review case studies, local project examples and take an optional tour of a LEED-certified building. This course will help prepare you to take LEED accreditation exams and better understand how to achieve LEED certification for buildings.

Sustainable Water Management and Landscape Design: Learn about the fundamentals of water resources management from a sustainable perspective, and how to incorporate a sustainable water resources approach into various types of urban development and infrastructure at the policy, planning, and design. 

Green Architecture: The average American house is 2,400 square-feet and uses more than 13,000 board-feet of lumber, 6,000 square-feet of sheathing and 2,000 square-feet of flooring—putting a strain on our natural resources. Rising energy costs, a shortage of building materials, growing consumer demand and environmental awareness are forcing architects, designers and building professionals to seek better and more efficient ways to design our buildings. 
This course explores the issues, challenges and opportunities associated with green building and sustainable design. Examine innovative residential, commercial, industrial, mixed-use, and low- and high-density specialty buildings. Evaluate the micro- and macro-economic issues associated with green buildings.
Focus on the holistic and geometric aspects of green design, and discuss how comprehensive building design can respond to the needs of occupants and environmental circumstances. Look at specific building technologies and how to use them. Examine thermal, water and lighting control systems.

Sustainable Planning, Environmental Site Design and Development: Learn about fundamental planning issues and sustainability processes as they apply to community planning and design situations. Identify key challenges in incorporating sustainability into planning strategies, policies and site design. Examine technical and environmental factors including different planning models in policy, planning and design. Acquire techniques for site assessment to better plan for and incorporate sustainable practices into policy and design. Explore ways that policies, codes and standards can be modified to encourage sustainable planning and design practices.

Environmental and Toxics Laws and Regulations: Examine the key federal, state and local environmental regulatory programs that environmental managers, consultants, planners, citizen activists and regulators need to know to remain compliant. This overview provides insight into the major environmental programs and permitting requirements governing industrial processes and activities.  Learn about the specific regulations pertaining to air and water quality, climate change, toxic materials, hazardous wastes, the California Environmental Quality Act (CEQA) and green chemistry. Significant emphasis is given to the key elements of the regulatory programs from compliance and auditing perspectives.

Introduction to Energy Resource Management: Examine the four major components of energy management—supply, demand, regulation and environment—and the concepts and principles behind successful energy management. 

Energy Resource Management: Regulatory: Learn the difference between regulations, tariffs and standards pertaining to electrical generation, transmission and distribution and those pertaining to gas production, transmission and distribution. Explore the nexus between water and energy use. Examine emerging state and federal laws and policies, in anticipation of potential changes to incumbent regulations, tariffs and standards.

Energy Resource Management: Environment: Explore the range of environmental issues affected by energy use. Gain perspectives on current trends and technologies. Examine the environmental fundamentals—planning, development and implementation—of WAGES (water, air, gas, electricity and steam) and renewable energy systems, purchasing/trading carbon offsets, the Climate Change Action Plan and best practices and methodologies for financing ""green"" investments.

Energy Resource Management: Demand: Learn how to conduct energy audits, a function in a conservation-conscious energy community. The audits integrate: energy economics, metering, performance contracting and financing with demand response, measurement, verification, equipment applications and systems. Discover the quantitative analysis of WAGES—water, air, gas, electricity and steam—and familiarize yourself with an overview of Leadership in Energy and Environmental Design (LEED). 

Energy Resource Management: Supply: Learn to conduct market assessments and to develop sourcing and procurement strategies. Topics include energy management control systems, natural gas purchasing opportunities in the spot market, thermal energy storage, alternative energy supplies, energy security and energy trading. Explore reliability and risk analysis methods, financing projects and tax considerations as well as strategic planning, cogeneration and the options, costs, benefits and constraints of ""green sourcing."" 

Energy Resource Management: Leadership: Examine the leadership issues involved in managing energy from organizational behavior and change management to project management and communication skills. Gain insight into how to develop your own leadership style. Learn how to successfully move your organization ahead by creating effective strategies for energy management, including your most important asset—people.

Climate Change: Causes, Consequences and Solutions: Climate Change, a topic that includes Global Warming, refers to the relatively abrupt shift in weather patterns that has occurred during the last few decades. In this course, we present the scientific data on the earth’s climate in the short and long term and we examine the potential impacts of further climate change.  We encourage students to use data to draw their own conclusions and we explore the variability in climate predictions.  Students will interact directly with other students through scheduled interactive online discussions.  Students will display their understanding of topics through assignments, essays, and online presentations.

Planning and Environmental Law: Gain a general understanding of planning and environmental law, policy and institutions at both the micro and macro levels. Learn to read and “brief” a judicial opinion, work with lawyers and develop an integrated land use/environmental permitting strategy. 
Students will receive both the knowledge and practical skills to successfully navigate the legal framework in their chosen planning and environmental careers. The course first reviews the various sources of planning and environmental law, including common law, statutes and regulations, the public trust doctrine and judicial case law.
Environmental Planning and Site Analysis: Examine the major components of physical planning and site design as they relate to achieving planning objectives. Review regional landscape analysis, physical and man-made factor analysis, and watershed and program analysis. Special focus is given to analyzing site suitability and sensitivity for development, site selection and feasibility studies and conceptual design that responds to site conditions.

Updating Transportation Analysis in CEQA: How to Effectively Implement SB 743: Senate Bill 743 required OPR to develop revisions to the CEQA Guidelines establishing criteria for determining the significance of transportation project impacts within transit priority areas. This course will discuss:
The changes to the CEQA Guidelines for analyzing transportation impacts that focus on the use of vehicle miles traveled (“VMT”) and trip generation as impact thresholds, rather than level of service (“LOS”).
A comparison of traffic impact analysis for various types of residential development utilizing LOS thresholds as well as the proposed VMT and trip generation thresholds.
A discussion of the planning, legal and other considerations and implications of utilizing this new threshold analysis rather than the traditional LOS model, including the potential for unintended consequences.

Introduction to UrbanFootprint: Learn how to use UrbanFootprint the new generation of land use scenario creation and analysis tools. Gain hands-on experience with creating, editing and analyzing scenarios. Learn how the tool treats land use, and how it analyzes the scenarios to better understand how land use and transportation interact and how the land use decisions made now will impact natural resources, energy use, and fiscal health in and around communities.

Using GIS to Manage, Analyze and Promote Sustainability: This course will identify opportunities to promote, implement and manage sustainability projects through the use of GIS. Students will review real-world case studies of GIS application in solving energy reduction mandates. Students will learn how to match GIS tools to specific sustainability challenges, including site selection, preservation efficiency evaluation, land use compatibility analysis and green marketing techniques. In addition to structured hands-on exercises, students will be able to complete a small GIS sustainability project of their own choice. Attention will be given to local and global efforts, including the application of GIS in monitoring California Senate Bill SB 375 and Assembly Bill AB32.

Complete Streets: From Adoption to Implementation: Local jurisdictions are increasingly recognizing the economic, social and environmental benefits of planning, designing and building Complete Streets, streets that accommodate a wide range of community transportation needs and all users. In-class and field exercises will be used to define Complete Streets design policies and practices and suggest methods for shifting agency procedures so as to incorporate Complete Streets design strategies into land development, maintenance, and capital improvement projects.

Community Involvement and Communication in Planning: Understand the theoretical background and the hands-on practice of involving stakeholders in urban planning and design decisions and natural resources policy. Practice selected communication and facilitation techniques that create mutually beneficial solutions. Examine how to assess a case situation and determine what type of public process is right for each situation. Discuss the strengths and weaknesses of techniques used in public involvement. Explore different approaches to communicating complex and technical planning information to community groups. Using several simulated negotiations, engage as stakeholders or facilitators to resolve complex public policy problems in urban planning. Examine case studies and analyze what went well, what went wrong and why.

Caltrans Nuts and Bolts of Environmental Document Review: Caltrans Environmental Compliance Program for Local Agency Partners and Consultants is a new program that Caltrans is developing in partnership with UC Davis Extension to provide local agency partners and consultants with environmental compliance training that would aid them in navigating Caltrans' environmental process. Course content will emphasize Caltrans' requirements, procedures and document formats.
The second course to be presented in this series is Nuts and Bolts of Environmental Document Review. This course is an interactive workshop that presents tips for reviewing environmental documents that have been prepared for Caltrans approval. The course teaches participants the appropriate forms to use when reviewing an environmental document, including the Environmental Document Quality Control Reviews form and the Environmental Document Review Checklist. Participants also learn other valuable tools for environmental document review, including the Caltrans Environmental Document Annotated Outlines, comment matrices and other tools available on the Caltrans Standard Environmental Reference (SER).

The Intersection Between Transportation and Land Use: Land use and transportation planning fields have been rapidly evolving due to new legislation on sustainable communities and climate change and an increased emphasis on complete streets and multi-modal analysis. Explore the inextricable link between transportation and land use in the development of general plans, community plans, site plans and environmental impact analyses. Learn best practices, examine case studies and gain practical knowledge and skills to put to use in your community.

Advanced NEPA Roundtable: Solutions for Addressing Challenging Issues: National Environmental Policy Act (NEPA) practice is constantly evolving through new federal agency and Council on Environmental Quality (CEQ) guidance and federal court decisions. This intensive one-day roundtable session will feature leading NEPA experts discussing some of the most challenging and complex issues facing practitioners today.

Regional Planning and Sustainable Communities Strategies: SB 375 has been hailed as a new standard in planning for transportation, housing, land use and climate change. This course will present a nuts-and-bolts approach to the implementation and application of the law. Focus on key requirements, review the relationship between modeling and planning, and consider opportunities and constraints going forward.

Mitigation and Conservation Banking: Learn about the exciting new field of wetland mitigation banking and species conservation banking with an intensive one-day workshop on the legal, technical and financial aspects of habitat banking, which includes a tour of the award winning Cosumnes Floodplain Mitigation Bank. Learn about the regulatory and legal history establishing mitigation banks and the current rules and practices that govern their operation. Explore the technical aspects such as site selection, watershed and species planning, project permitting, construction planning, credit evaluations and maintenance and monitoring issues. Gain an understanding of the business of banking including the financial assessments, market assessments and demand projections, and the how-tos of sales and marketing. The class will then spend the last part of the class at an actual mitigation bank site touring the site and learning about project implementation from the people who built the project. 

",True,"UC Davis Extension offers four certificate programs and one professional concentration in topics related to sustainability. The programs are:

Green Building and Sustainable Design Certificate Program
Sustainability and the Built Environment Online Certificate Program
Energy Resource Management Online Certificate Program
Renewable Energy Certificate Program
Professional Concentration in Solar Energy Systems and Design

Green Building and Sustainable Design Certificate Program: addresses the trend of developing healthier communities by defining effective ways to utilize energy and promote water efficiency. The program combines elements from architecture, civil engineering, landscape architecture, environmental and land use planning, and construction management. Develop successful strategies for implementation of green building and sustainable design into site planning and design, building design and construction, and building management practices.

Sustainability and the Built Environment Online Certificate Program: this completely online program offers a comprehensive curriculum on how to plan, design, construct and manage communities from a more sustainable perspective. Learn about the latest planning approaches and policy/regulatory requirement; green architecture, sustainable site design and landscapes; renewable energy and energy efficiency; sustainable water resources management; and green infrastructure. Acquire the skills necessary to integrate sustainable design principles into long-range visions and the day-to-day development and management of the built environment. 

Energy Resource Management Online Certificate Program: a completely online program designed specifically for those leaders—professional engineers, construction planners and designers, facility or plant managers, energy analysts, architects, agency managers, and other who wish to expand their expertise in this critical area. This certificate program addresses the entire range of issues involved in understanding and managing energy in any industry, from heavy to light energy users. The six courses of the program provide the information you need to distinguish yourself as an expert in the energy resource management field. The curriculum of this program aligns with the Association of Energy Engineers requirements for CEM and BEP certifications. This program has also been recognized by the California Energy Commission.

Renewable Energy Certificate Program: Renewable energy and energy efficiency technologies are key to creating a clean energy future not just for our nation but for the world. Gain in-depth technical training in the treatment of renewable energy systems design with the Renewable Energy Certificate Program. This program combines elements from architecture, civil engineering, landscape architecture, environmental and land use planning, construction management and renewable energy systems design.

Professional Concentration in Solar Energy Systems and Design: The California Solar initiative and ongoing municipal solar incentive programs continue to fuel the need for photovoltaic and thermal solar designers. Take advantage of these opportunities and acquire a fundamental understanding and application of solar energy systems design. You will receive valuable information about solar resources in California and government initiatives for promoting solar energy, including the California Solar Initiative.
",2006.0,https://extension.ucdavis.edu/areas-study/environment-and-sustainability,--
"University of California, Irvine",2016-03-23,2016-03-23 10:32:57,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:12,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:26,cmccormick3@ucmerced.edu,2.0,Pursuing,True,2.0,4.0,,"UC Merced Vernal Pools and Grasslands Reserve and the Merced County UC Cooperative Extension Office and Upper Merced River Watershed Council has a California Naturalist Certification Program that is a 10-week training which combines science instruction with guest speakers, field trips, and project-based learning to explore the unique ecology and natural history of the San Joaquin Valley and central Sierra Nevada foothills region. The course covers basic ecology, watershed concepts, geology, wildlife, plant communities, and global environmental issues, as well as tools for collaborative conservation and communication. 

UC Agriculture and Natural Resources has a Master Gardener program in Merced that trains and advises home gardeners on programs, pests and general plant and garden culture. Classes include information and training on Home Garden Water Management, Sustainable Landscaping, Composting and Vermiculture, as well as Soils and Fertilizers. 
",True,"UC Merced Vernal Pools and Grasslands Reserve and the Merced County UC Cooperative Extension Office and Upper Merced River Watershed Council has a California Naturalist Certification Program that is a 10-week training which combines science instruction with guest speakers, field trips, and project-based learning to explore the unique ecology and natural history of the San Joaquin Valley and central Sierra Nevada foothills region. The course covers basic ecology, watershed concepts, geology, wildlife, plant communities, and global environmental issues, as well as tools for collaborative conservation and communication. 

",2013.0,http://calnat.ucanr.edu/Take_a_class/UC_Merced/,--
