Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution make counseling, referral, and wellbeing services available to all staff?","Does the institution make counseling, referral, and wellbeing services available to all members of ...",A brief description of the institution’s wellness and/or employee assistance program(s),The website URL where information about the institution's wellness program(s) is available,"Does the institution make counseling, referral, and wellbeing services available to all students?","Does the institution make counseling, referral, and wellbeing services available to all faculty?",Public Notes
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:42,mpate@sewanee.edu,2.0,Pursuing,--,**,"The University Wellness Center is a campus resource which offers integrated and holistic health care, comprehensive wellness outreach, and peer health education for students.  
We are student health, we are counseling and psychological services, we are wellness.",http://www.sewanee.edu/student-life/support/university-wellness-center/,True,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:22,andre.plante@sheridancollege.ca,2.0,Pursuing,True,**,"All full-time Sheridan College employees and their families are entitled to participate in the Employee Assistance Program (EAP). This is a voluntary, confidential counselling and information service for employees and their families. The service provides access to short-term counselling, away from the workplace, where an environment of understanding and strict privacy provides assistance for problems such as:
- family and marital relationships;
- anxiety and stress;
- substance abuse;
- personal and emotional difficulties;
- grief and loss (job loss, divorce, death);
- life transitions;
- parenting issues;
- family violence;
- critical / traumatic incident stress;
- legal and financial information;
- childcare and eldercare information.

Only the employee’s counsellor is aware of their use of this service.  Counselling offices are off-campus in a variety of locations. The counselling process focuses on results and helping employees to use their strengths to deal with whatever they are facing. EAP services, administered by Morneau Shepell, are accessible to employees by phone and online.

Information about Sheridan’s EAP services, which are available to all employees through Morneau Shepell, can be found at: http://www.shepell.com/en-ca/

Websites:
Counselling services for students:  https://www.sheridancollege.ca/life-at-sheridan/student-services/counselling-services/about.aspx

Health services for students:
https://www.sheridancollege.ca/life-at-sheridan/student-services/health/services.aspx

Counselling services for full-time faculty and staff are provided by Morneau Shepell (Sheridan’s “Employee Assistance Program”):
http://www.shepell.com/en-ca/

All faculty and staff who are covered by a collective bargaining agreement are eligible for health benefits:
Support Staff Collective Agreement (https://www.sheridancollege.ca/~/media/Files/Sheridan%20College/Working%20at%20Sheridan/Human%20Resources%20and%20Organizational%20Development/Employee%20Information/ss%20coll%20agree_%202011%202014.pdf)
Academic Collective Agreement (https://www.sheridancollege.ca/~/media/Files/Sheridan%20College/Working%20at%20Sheridan/Careers%20at%20Sheridan/New%20Hires/AcadCollectiveAgreementCurrent_E.pdf)

Health benefit summaries for faculty and staff:
Support (https://www.sheridancollege.ca/~/media/Files/Sheridan%20College/Working%20at%20Sheridan/Careers%20at%20Sheridan/New%20Hires/benefits%20at%20a%20glance%20%20%20support.pdf)
Faculty (https://www.sheridancollege.ca/~/media/Files/Sheridan%20College/Working%20at%20Sheridan/Careers%20at%20Sheridan/New%20Hires/benefits%20at%20a%20glance%20%20%20academic%202010.pdf)
Administrative (https://www.sheridancollege.ca/~/media/Files/Sheridan%20College/Working%20at%20Sheridan/Careers%20at%20Sheridan/New%20Hires/benefits%20at%20a%20glance%20%20%20admin.pdf)",https://www.sheridancollege.ca/life-at-sheridan/student-services/counselling-services.aspx,True,True,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:51,erica_lay@sfu.ca,2.0,Pursuing,True,**,"All students have access to SFU's health and counselling services.  
https://www.sfu.ca/students/health/

These services including: two Health Clinics, Counselling Services, Vaccinations, Physiotherapy Services, Sexual Health, Chiropractic Services and online services addressing Wellness and Balance (Wellness Wheel), Nutrition ('The Dish', Nutrition Blog), Sexual Health, Healthy Minds, and Internet Use (on internet addiction).

SFU has mental health and wellness services available free of charge to all continuing employees (employee and family assistance program).
http://www.sfu.ca/human-resources/excluded/benefits/efap.html
http://www.sfu.ca/human-resources/faculty/benefits/efap.html",--,True,True,--
Slippery Rock University,2016-02-29,2016-02-29 14:19:01,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:30:21,dweisbor@smith.edu,2.0,Pursuing,True,**,"Smith College's Employee Assistance program, offered through a company called LifeScope, is a confidential and voluntary counseling referral service provided free of charge to employees and members of their family household. Employees and their dependents are each eligible for six sessions, per issue, per calendar year. The EAP can help with a variety of issues including: anxiety, grief, communication problems, drinking or drug use, domestic violence, marital/family concerns, mood swings, depression, parenting, stress (at work or home, or financial), work issues, suicidal thoughts, etc.",http://www.smith.edu/hr/benefits_eap.php,True,True,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:36,huminskis1@southernct.edu,2.0,Pursuing,True,**,"SCSU has counseling service available to the campus community, as well as a Health and Wellness center and a compassion university initiative managed by the Social Work department. In addition to year-long programming and offerings throughout campus, the Health and Wellness Center offers a week of wellness annually in mid-March.",http://www.southernct.edu/news/campus-wellness.html,True,True,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:51,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:39:39,beigelcod@sou.edu,2.0,In Progress,--,--,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:37,aefrazier@spelman.edu,2.0,Pursuing,True,**,"Benefits At A Glance
SpelCare our comprehensive benefits program captures the true purpose of our benefits program, which is Spelman cares about its employees.  At Spelman College, you’re not just an employee- you and your family are members of the Spelman community, and Spelman cares about its community. All of our benefits are a valuable part of our employees’ total compensation. Domestic partner coverage is available on most plans.  All benefits are offered in accordance with benefit plan documents and policy guidelines. The College's Employee Assistance Program is administered by Magellan Behavioral Health.",http://www.magellanassist.com/,True,True,"http://www.spelman.edu/career-center/human-resources/benefits-at-a-glance, "
St. John's University,2016-03-02,2016-03-02 16:31:48,goldsmit@stjohns.edu,2.0,Pursuing,True,**,"University Wellness Mission:
St. John’s University brings you an integrated wellness program that leverages campus resources (Pharmacy Care Service, Campus Recreation) and University partners (Chartwells, Oxford and Employee Assistance Program). The mission of the Wellness Program is to contribute to a healthier work environment by providing St. John’s Faculty, Staff, and with the programs, services and educational opportunities that effectively promote and support healthy lifestyle choices.Services can be found via: http://www.stjohns.edu/student-life/health-and-wellness

Wellness services are promoted through the Wellness Fair: http://www.stjohns.edu/about/events/wellness-fair-0
",http://www.stjohns.edu/student-life/health-and-wellness,True,True,--
Stanford University,2016-03-23,2016-03-23 01:13:22,mbhafer@stanford.edu,2.0,Pursuing,True,**,"BeWell @ Stanford serves as the overarching health and wellness resource for Stanford University students, faculty, staff and retirees. By facilitating a culture of wellness at Stanford, BeWell encourage individuals to adopt and maintain healthy lifestyle behaviors and to improve their health, well-being and quality of life.

For details on the faculty and staff program and resources, please visit:
http://bewell.stanford.edu/ppl/staff

For details on the student program and resources, please visit:
http://bewell.stanford.edu/ppl/students",http://bewell.stanford.edu/,True,True,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:42,malichte@esf.edu,2.0,Pursuing,True,**,"ESF has an employee assistance or wellness program that provides counseling, referral, and well-being services to employees. The NYS Employee Assistance Program is a peer assistance program jointly sponsored by labor and management. NYS EAP provides confidential information, assessment and referral services to NYS employees, their family members and retirees. It also provides orientations and training for all employees, managers, supervisors and union representatives on benefits and use of EAP. ",http://worklife.ny.gov/eap/,True,True,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:03,Beth.Klein@cortland.edu,2.0,Pursuing,True,**,SUNY Cortland has an Employee Assistance Program(EAP)and a NYS Balance resource and referral program. The College Provides free memberships to all employees for campus fitness facilities through the office of Recreation and Intermural Sports.,http://www.worklife.ny.gov/eap,True,True,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:28,dezarn@geneseo.edu,2.0,Pursuing,True,**,"The employee wellness programs are developed by the Employee Assistance Program at SUNY Geneseo. There is a wellness newsletter that circulates for employees, and a series of support hotlines and websites to help employees maintain a healthy balance between their work and domestic responsibilities. 

EAP has two volunteer coordinators who meet with employees confidentally and referrals based on specific needs",http://www.geneseo.edu/hr/eap#news,True,True,Students receive support from the Health and Counseling Department.
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:31,mittenl@newpaltz.edu,2.0,Pursuing,True,**,"The campus Psychological Counseling Center (PCC) is open to all students and provides preventative and clinical services to the New Paltz campus community to enhance students' abilities to succeed academically and participate fully in the college experience.  Group and individual psychotherapy, referral assistance, and emergency services are available for all currently-enrolled students. There is no charge for PCC services.  Students who utilize the college's psychotherapy services may discuss in confidence any worries, distressing feelings, or difficult situations they are experiencing. The goal is to assist students as they navigate life's challenges within the context of a rigorous and demanding academic environment. http://www.newpaltz.edu/counseling/

SUNY New Paltz operates an Employee Assistance Program for all employees of the State of New York (CSEA, PEF, UUP, Council 82, NYSCOPBA, GSEU), Research Foundation, Management/Confidential and FSA.  The mission of the Employee Assistance Program is to provide a comprehensive worksite-based program to assist faculty and staff in the prevention, early intervention and resolution of problems that may impact job performance.  These include but are not limited to: emotional, family, work stress, legal, financial, grief, change, marital/relationship, alcohol/drug or domestic violence. http://sites.newpaltz.edu/eap/about-us/",http://sites.newpaltz.edu/eap/about-us/,True,True,--
Sterling College,2016-01-28,2016-01-28 10:04:24,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,True,**,"The Wellness Team ensures a safe, welcoming, and vibrant community by providing services that assist students in identifying, clarifying, and achieving their personal, wellness, and educational goals. In addition to direct assistance to students, the Wellness Team develops programs that improve the quality of life and learning in our community. Wellness programming promotes and sustains diversity of culture, history, and lifestyle, fosters respect for the campus environment and ecological systems, and facilitates a productive and transformative exchange of ideas.

The Wellness Team offers support to students around issues of stress, transition, general mental health, and crisis response. Acute mental health issues are referred to a licensed psychologist or emergency services, if necessary.

The College Nurse is available during scheduled hours to consult on matters of general, physical, or mental health and to assist with insurance claim forms for accidents. If a doctor’s examination is required, the Wellness Center staff will assist with appointments and transportation. Excellent facilities are available in Hardwick, 10 miles from campus, and at Copley Hospital in Morrisville, 20 miles away.",http://www.sterlingcollege.edu/community/health-and-wellness/,True,True,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:07,gotham360@stevens.edu,2.0,Pursuing,True,**,"•	Student Fitness and Physical Education: All undergrads must take 4 physical education classes to graduate. There is a very strong intramural program available to all undergraduate and graduate students. Over 60 unique physical education classes are offered through the University Athletics department, from sports such as men’s and women’s soccer, basketball, and squash to activities such as scuba diving, tai chi, and various martial arts. Students can choose classes that they feel best suit their personal athletic needs. In addition to the 60 physical education classes offered, Stevens has 24 varsity sports offered through the University Athletics Department. 
•	Student Health Services: The Health Center is open Monday through Friday, from 9 to 4 pm and on Thursdays until 7 pm. There is a RN on duty from 9 to 4 pm every day and a LPN from 4 to 7 pm on Thursdays. For care by an MD, the Health Center refers students to two local offices: Riverside Medical and Aster Care.
•	Student Wellness Fair: The Student Counseling and Disability Services hosted an inaugural annual Wellness Fair in Fall 2015 to offer resources for and promote healthy lifestyle practices among students. The Wellness Fair featured yoga sessions, healthy food sampling, massage therapy, hypnotherapy, and nutrition guidance. 
•	Promoting Healthy Lifestyles for Staff: All employees have free access to the on campus Stevens Athletic Facilities. 
•	Nutrition: Stevens Dining’s Nutrition Program and Services are designed to broaden the university community’s knowledge of health and nutrition, while expanding the palates of students and improving their food choices. The Stevens Institute of Technology Campus Dietitian helps to provide students with the tools essential for a healthy diet. The Dietitian also works one-on-one with students on a daily basis to assist them in meeting individual dietary needs, such as managing food allergies to fueling workouts.

o	The Nutrition Services provided by Stevens Dining are designed to have a broad impact on the campus community by providing services free of charge to students, groups, faculty and staff, and athletic teams, coaches, and directors. The services at Stevens Institute of Technology are led by a nationally accredited Registered Dietitian, Alexa McDonald, and provide a wide-range of nutrition and health-related services, including:
	Individual & Group Nutrition Coaching/Counseling
•	Table Events in the Dining Hall and throughout the Campus
•	Guest Presentations and Lectures
•	Yearly Weight Loss Challenge (Spring Semester)
•	Dietary Advisory Boards
•	Diet & Menu Analysis
	Weekly table events about the campus Superfood of the month, Food Allergy Awareness Month, Meatless Mondays featuring plant-based protein sources, and Antioxidant Health for Disease Prevention.
	Group presentations about ""The Sports Nutrition Diet"" (to the wrestling team), ""Quick & Easy Tips for a Fueled Lifestyle"", ""Dorm Room Snacking Done Right"", and ""Healthy Mocktails"" for Alcohol Awareness Week with the Peer Educators.
	A weekly column in the school newsletter about healthy foods, diet, and nutrition.

Stevens offers support to all employees who have questions or need of counseling and help in overcoming personal problems. The Employee Assistance Program (EAP) services are offered through CIGNA; many services are available 24 hours a day, 7 days a week. You can speak with a licensed clinician and/or arrange for up to three face-to-face sessions with local counselors. In addition, CIGNA’s EAP website and toll-free number gives you access to research issues on your own.",http://www.cignabehavioral.com/cgi,True,True,--
Syracuse University,2016-03-25,2016-03-25 15:34:00,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:19,kathleen.grady@temple.edu,2.0,Pursuing,True,**,"Human Resources provides a wellness program that embraces a multi-dimensional approach to wellness, including preventative health screenings, a healthy rewards program, nutrition counseling, mental health services via the employee assistance program, and reduced membership fees for access to the university's fitness centers. The Tuttleman Counseling Center and Wellness Resource Center provide wellness resources to the student population, which include individual counseling, group counseling, trainings, self help resources, peer education, individual health education, nutrition counseling, and sexual health resources. ",http://www.temple.edu/hr/departments/benefits/wellness.htm,True,True,"http://www.temple.edu/studentaffairs/heart/
http://www.temple.edu/studentaffairs/counseling/"
Texas A&M University,2016-01-15,2016-01-15 14:24:59,kwellman@tamu.edu,2.0,Pursuing,True,**,"The Texas A&M University Employee Assistance Program (EAP) provides a variety of services for employees including personal counseling, mediation, and crisis intervention. In addition, management consultation is available which includes consultations with supervisors, management, and faculty on issues such as employee job productivity concerns, conflict in the work environment, team building, and the referral process to the EAP. Crisis intervention services are provided to faculty, staff, and eligible dependents when emergency situations arise. Critical incident stress debriefing is available.  This is a process designed specifically to prevent or mitigate the development of post stress related issues. The EAP also offers educational workshops on a variety of topics.       

Texas A&M University Wellness Works is a program designed to encourage employees to live healthier lifestyles, to support a healthy workplace and to create a culture of wellness throughout the campus community. It incorporates existing campus resources, as well as new programs, focused on Physical, Financial, and Interpersonal Health. Wellness Works is designed to focus on the “whole” individual to increase awareness and provide resources and activities to empower faculty and staff to be healthy in all aspects of their life. This will benefit them, their family and the university community.  Past programs included Retirement and Financial Planning Fair, flu vaccines, Health and Wellness Fair and 5K Fun Runs/3K Walks. 

The goal of the Texas A&M University Student Counseling Service (SCS) is to help students achieve as much success as possible while at Texas A&M University. The SCS provides short-term counseling and crisis intervention services to the largest number of students possible within the limits of its resources. SCS counseling staff incorporate into practice awareness, respect, and valuing of cultural differences. We offer a wide variety of counseling services such as Career Counseling, Crisis Intervention, Learning Disability and ADD/ADHD Screenings, Personal Counseling, Psychiatric Services, Self-Help, Outreach, and Consultation, Stress Management & Biofeedback Training and Testing Services. ",http://employees.tamu.edu/eap/,True,True,"http://employees.tamu.edu/benefits/wellness/
http://scs.tamu.edu/"
Texas Tech University,2016-03-25,2016-03-25 15:47:57,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:58,dial.15@osu.edu,2.0,Pursuing,True,**,"The Ohio State University’s faculty and staff wellness program, Your Plan for Health, rewards employees for improving their health and well-being. Faculty and staff have access to an online wellness web-portal, various programs such as health coaching, biometric screenings, 24/7 nurseline, the employee assistant program, disease management, weight management classes, annual health fair, physical activity and nutrition programs, and educational programming. Faculty and staff can elect to be a part of the university’s wellness team, the Buckeye Wellness Innovators, and be spotlighted as a wellness champion. ",http://yourplanforhealth.com/,True,True,--
Tufts University,2016-02-25,2016-02-25 15:40:33,tina.woolston@tufts.edu,2.0,Pursuing,True,**,"Tufts’ current faculty and staff wellness program, Healthy Tufts: Experience Wellness, includes the onsite Wellness Center located on the Medford/Somerville campus and health coaching services on Tufts' three campuses.  The Wellness Center provides acute care and preventive care services as well as personal health coaching and disease management for faculty, staff, spouses and qualified same-sex domestic partners at no charge.  

Healthy Tufts: Experience Wellness collaborates with various partners to offer well-rounded and engaging wellness programming, which includes biometric health screenings, health risk assessments, lunch and learns, and fitness and mental health programs.  In addition to the Wellness Center, our partners include the university’s health insurance provider, the Employee Assistance Program (EAP) and various schools and departments across the university.

The Tufts University Employee Assistance Program (EAP) is for all faculty and staff, their dependents, and household members. The EAP offers help to those who may be experiencing problems related to life changes and personal stress. These services include counseling, legal and financial advice and are a wonderful enhanced benefit of being able to work with a professional to locate day care and elder care resources. (http://hr.tufts.edu/benefits/employee-assistance-program/) 

Tufts’ Counseling & Mental Health Service (CMHS) provides individual counseling, groups and workshops, consultations and training, psychiatric medication evaluation, and testing services to students.  CMHS is staffed by professionally trained counselors who have special expertise in working with college students, take a holistic approach to each student, and value each person's unique identity. (http://ase.tufts.edu/counseling/)

The Department of Health Education fully supports a continuum of education and prevention, early intervention, and access to services and promotes a culture of recovery and healthy life choices for all.  Balance Your Life is a Healthy Lifestyle campaign from the Department of Health Education focused on the goals of helping students eat well and getting students active. (http://ase.tufts.edu/healthEd/Default.htm)",http://hr.tufts.edu/healthandwellness/,True,True,--
Tulane University,2016-02-04,2016-02-04 11:04:02,ldavey@tulane.edu,2.0,Pursuing,True,**,"Student Resources & Support Services was created to give students in need of support a single place to go for assistance. The office uses an individualized approach to help students connect to the resources that they may need on campus and in the New Orleans community. The office offers problem resolution assistance, case management services, victim support services and referral services. Additionally the Offices of Student Conduct and Disability Services are part of the team.

The Center for Wellness & Health Promotion, known as theWELL, promotes the health and safety of the Tulane community through the delivery of inclusive, quality, public health practice. theWELL provides comprehensive health promotion services and programs to help students live health lives. Specialty areas include   alcohol & drugs, stress management, sexual health, tobacco education and suicide outreach and support.
Tulane Counseling and Psychological Services (CAPS) offer to students mental health assessments, psychotherapy, and psychiatric treatment, and serves as consultants to staff and faculty in addressing mental health issues in the academic community. 

The employee wellness program, TUWellness, is a joint project of theWELL and the Workforce Management Organization.  TUWellness offers and promotes wellness programs that include the  Live Healthy Tulane physical activity challenge, tobacco cessation programs, flu vaccines, Weight Watchers at work, and group exercise classes. In collaboration with TUWellness, the Reily Recreation Center offers all employees free membership for a month over the Winter Break. 
 ",http://tulane.edu/tuwellness/,True,True,"http://tulane.edu/tuwellness/ 
https://tulane.edu/studentaffairs/support/ "
Unity College,2016-03-25,2016-03-25 15:25:08,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:17,mmallia@albany.edu,2.0,Pursuing,True,**,"Students are able to take advantage of services available through the Counseling Center.  The employee assistance program is committed to providing UAlbany employees with various opportunities to enhance their health and well-being. In addition to the Assessment and Referral Service, EAP sponsors an array of wellness programs designed to meet the needs and interests of the university community. Most of the programs are free of charge unless otherwise specified. Free lunchtime wellness programs occur on the Uptown,
Downtown, and East Campuses. EAP searches for presenters from the community who can provide valuable information and resources
that will enhance the participants' welll-being. Employees are invited to bring their ""brown bag"" lunches to these one hour events. EAP coordinates various programs to enhance one's physical health. Walking, yoga, and Tai Chi are just a few exercise and movement workshops or classes that are offered throughout the year.",http://www.albany.edu/eap/wellness.htm,True,True,--
University at Buffalo,2016-01-19,2016-01-19 10:15:53,jlk47@buffalo.edu,2.0,Pursuing,True,**,"The mission of the UB Employee Assistance Program is to provide expert confidential & timely problem identification/assessment and referral services to individual employees (family member & retirees) with personal concerns that may affect them on or off the job, as well as consultation services to department leadership seeking to manage troubled employees, enhance the work environment & improve employee job performance.

The UB EAP has partnerships with Wellness and Work/Life Balance, Organizational Development and Training, the Emergency Oversight Planning Group, Professional Staff Senate, the HR Advisory Group and other campus initiatives that share a common philosophy of maintaining and encouraging a productive work/life balance.

In addition to the great work that the Employee Assistance Program provides to staff and faculty, the Wellness Education Services (WES) initiative works to improve the health of students in the broadest sense:
-To reduce risk for injury and illness
-To increase academic success and personal satisfaction
-To work toward the genuine health of the whole campus community

The following topic areas are the main focus for campus health promotion efforts:
-Alcohol and other drugs
-Nutrition and physical activity
-Rape, sexual assault and violence prevention
-Stress management
-Smoking cessation
-LGBTQ resources

",http://eap.buffalo.edu/,True,True,"The two key links that provide information on campus wellness can be found here:

http://www.student-affairs.buffalo.edu/shs/wes/

http://eap.buffalo.edu/vision.html"
University of Arizona,2016-03-25,2016-03-25 15:32:05,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--
University of British Columbia,2016-02-22,2016-02-22 18:18:40,charlene.ponto@ubc.ca,2.0,Pursuing,True,**,"EMPLOYEE AND FAMILY ASSISTANCE PROGRAM
http://www.hr.ubc.ca/benefits/efap/
The UBC Employee and Family Assistance Program (EFAP) offers support to staff and faculty members through the provision of confidential counseling services, as well as resources and preventive services in areas such as parenting, elder care, financial, legal, health, and nutrition.

HEALTH PROMOTION PROGRAM
http://www.hr.ubc.ca/health/
UBC's Health Promotion program supports the University’s goal to create an outstanding work environment, as outlined in the UBC Strategic Plan, as well as the UBC Focus on People strategy to develop a sustainable, healthy workplace. 

UBC THRIVE
http://thrive.ubc.ca/
UBC Thrive, UBC’s predominant mental health promotion and stigma reduction initiative, reaches faculty, staff, and students through large and small scale events. This annual awareness week encourages staff, faculty, and students to build positive mental health.

HEALTHY WORKPLACE INITIATIVE PROGRAM
http://www.hr.ubc.ca/health/healthy-ubc-initiatives/healthy-workplace-initiatives-program-fund/
The Healthy Workplace Initiative Program (HWIP) grants funding each year to sustainable, healthy workplace initiatives at the department and unit level.  

ERGONOMICS PROGRAM
http://www.hr.ubc.ca/health/ergonomics/
UBC’s Ergonomics Program works to optimize human wellbeing and system performance, thereby promoting a healthy work environment.

CROSS-CAMPUS PARTNERSHIPS
UBC emphasizes cross-campus partnerships with accomplished faculty members, graduate students, and community members to promote faculty and staff wellbeing, while simultaneously showcasing faculty research.  Partnerships include the Men’s Health Research Program, Department of Psychology, Cancer Prevention Centre, School of Kinesiology, and Student Health Services.

CANADIAN MENTAL HEALTH ASSOCIATION
UBC works with the Canadian Mental Health Association (CMHA) on mental health prevention and early intervention programs, with the goal of increasing mental health literacy along a learning continuum.

STUDENT HEALTH AND WELLBEING
http://students.ubc.ca/livewell
Like faculty and staff, students have access to a variety of health and wellbeing initiatives to assist them to take care of their mental and physical health, and manage their personal safety. ",http://www.hr.ubc.ca/health/,True,True,"More information about UBC’s health and wellness programs is available online at:
http://www.hr.ubc.ca/health/ 
http://students.ubc.ca/livewell 
"
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:20,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:32,cmkirk@ucdavis.edu,2.0,Pursuing,True,**,"UC Davis WorkLife and Wellness provides programs, policies, referrals and education that enable employees and students to be effective at work, school and home. WorkLife encompasses dependent care and family services, health and wellness, financial support, career flexibility and community involvement.

UC Davis offers an annual Wellness Challenge program (http://wellnesschallenge.ucdavis.edu/events.html), and incorporates environmental sustainability as one of 7 components of wellness. Examples of Environmental Wellness activities include eating ""greener"" meals, or food that is local, seasonal, and organic, and planting and tending a garden.

The WorkLife program uses different means to reach employees, including activities and presentations. Example of a WorkLife and Wellness Brown Bag Series: ""Slow Food and Buying Locally"" 
""Learn practical and fun ways to introduce the philosophy of Slow Food into your kitchen and garden. Instruction includes principles of year round gardening and the glass pantry, how to express yourself seasonally through garden and glass pantry gift giving, how to shop and cook seasonally, and a primer on Slow Food Yolo and how it fits into the international slow food philosophy.""

The Mind Body Wellness Group created the Wellness Portal to assist students, staff and faculty in locating resources related to the various aspects of wellness. Campus resources, as well as those in Davis and the larger web community, are included, as the intent is to be a “one stop shop” for wellness. There are many interrelated dimensions of wellness: physical, emotional, intellectual, spiritual, social, environmental and occupational.

WorkLife and Wellness also provides the Breastfeeding Support Program.",http://worklife-wellness.ucdavis.edu/,True,True,--
"University of California, Irvine",2016-03-23,2016-03-23 10:32:48,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:21,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:25,cmccormick3@ucmerced.edu,2.0,Pursuing,True,**,"UC Merced’s wellness program sponsored by Human Resources provides faculty and staff with wellness programs to encourage healthy lifestyle choices that improve overall health. These programs include faculty and staff fitness classes, weight watchers at work, UC walks/wellness fair events, and lactation accommodation support. Human Resources also sponsors the Employee Assistance Program which provides confidential and professional EAP services to employees and their families. 

UC Merced also provides a Wellness Program for students, housed under the Division of Student Health and Wellness, a division within Student Affairs. The vision of the program is to provide a balanced and proactive wellness program of the highest quality that empowers students to impact their individuals health behavior patterns and produce tangible improvements in their use of wellness services, enhance their well-being, and fulfill their personal and academic goals. As a student-centered team, the program utilizes the seven dimensions of wellness (Physical, Emotional, Social, Spiritual, Intellectual, Occupational, and Environmental) to guide services.  These dimensions promote a more holistic approach to wellness and each dimension is equally important in supporting academic and personal success. ",http://studentwellness.ucmerced.edu/,True,True,"Faculty and Staff Wellness Program website: http://choosewell.ucmerced.edu/
"
"University of California, Riverside",2016-03-18,2016-03-18 16:23:32,john.cook@ucr.edu,2.0,Pursuing,True,**,"UC Riverside cares about the health of its entire campus community. The University offers a variety of programs, policies & guidelines, and services to assist faculty and staff on their wellness journey.The Wellness Center offers exercise, behavioral change, healthy eating, health assessment and ergonomic programs in person, online or through telephone.",http://wellness.ucr.edu/wellness_programs.html,True,True,"The Well is a student program and space providing mentors, support groups, community service opportunities and comprehensive wellness programs at UCR. http://well.ucr.edu/Pages/default.aspx"
"University of California, San Diego",2016-03-24,2016-03-24 18:51:38,smckinstry@ucsd.edu,2.0,Pursuing,True,**,"UC San Diego has an Employee Assistance Program called Faculty Staff Assistance Program (FSAP), which provides free, confidential, short-term counseling to all faculty and staff. We offer a variety of programs and services such as Walk UCSD, activity-related behavior change programs, a health and wellness lecture series, Instructor led courses in meditation and stress reduction, flexible work arrangements, financial planning, FitLife Occupational, Work Strong and safety training.  UC Eats Real promotes sustainable, healthy food options as part of National Food Day.
",http://blink.ucsd.edu/HR/benefits/work-life/health.html,True,True,http://blink.ucsd.edu/HR/services/support/health/
