Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution assessed diversity and equity in terms of campus climate?,A brief description of the campus climate assessment(s) ,Has the institution assessed student diversity and educational equity?,A brief description of the student diversity and educational equity assessment(s),Has the institution assessed employee diversity and employment equity?,A brief description of the employee diversity and employment equity assessment(s),Has the institution assessed diversity and equity in terms of governance and public engagement?,A brief description of the governance and public engagement assessment(s),The website URL where information about the assessment(s) is available,Public Notes
San Francisco State University,2016-03-25,2016-03-25 17:34:06,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:46,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:53:20,thompson@seattleu.edu,2.0,Pursuing,True,"Achieving and engaging diversity has provided the focus for the university’s Task Force on Diversity and Inclusive Excellence. The task force, appointed in September 2013, was charged with assessing the current state of equity and inclusion on campus and recommending further steps for the university to move forward with enhancing our core value of diversity.
In order to better understand the campus climate, the task force and university leaders recognized the need for a comprehensive tool that would provide campus climate metrics for students, faculty, and staff. To that end, the university appointed the Climate Study Working Group (CSWG) in 2014. The CSWG was comprised of faculty, staff, students, and administrators. Ultimately, Seattle University contracted with Rankin & Associates Consulting (R&A) to conduct a campus-wide study entitled, “Seattle University Assessment for Learning, Living, and Working.” Data gathering focused on the experiences and perceptions of various constituent groups. Based on the findings, the Task Force on Diversity and Inclusive Excellence will develop recommendations to share with the university community.

In September 2015, the University published the results of the 2015 academic year's Campus Climate Report. Seattle University community members completed 2,634 surveys for an overall response rate of 29%. Only surveys that were at least 50% completed were included in the final data set for analyses. Response rates by constituent group varied: 24% (n = 1,081) for Undergraduate Students, 18% (n = 362) for Graduate Students, 36% (n = 285) for Law Students, 49% (n = 566) for Staff/Administrators, and 46% (n = 340) for Faculty. 

Areas of strength identified by the assessment are: high levels of comfort with the climate at Seattle University; Positive attitudes about workplace climate (by employees); Positive attitudes about faculty work (by faculty respondents); Positive attitudes about academic experiences (by students); Intent to Persist (by students respondents).

But certain areas of improvement were also identified. As a response, in the January 2016 Final Report, The Task Force for Diversity and Inclusive Excellence identified six goals, each supported by several initiatives, that will propel the university’s commitment to equity, access, and community.
1. Realize an organizational infrastructure that embeds inclusive excellence in all aspects of the Seattle University experience
2. Integrate inclusive excellence across curricular and co-curricular offerings
3. Build and sustain the capacity of students, staff, and faculty to engage, teach, and lead through an inclusive excellence lens
4. Meet the challenges and opportunities of recruiting and graduating a diverse student body
5. Meet the challenges and opportunities of recruiting and retaining talented faculty and staff
6. Maximize the university’s capacity for social change in the local community",True,"One of the three suggestions that emerged from the September 2015 Campus Climate survey was related to the diversity at Seattle University. These respondents indicated that they would like to see an increase in diversity and to have it be truly practiced rather than simply spoken about.

In response, the January 2016 final report emphasizes heavily the University's goals to address the affordability of Seattle University and the impact of financial distress on students by developing and expanding strategies for assisting low-income students and students experiencing financial hardship. Furthermore, large efforts are to be made to adequately prepare students for engagement in a diverse society and ensure the infusion of diversity and inclusion into the curriculum and disciplines across all schools and colleges by exploring the development of enhanced inclusive excellence curricular offering(s) and the adaptation of existing courses and programs.",True,"On the Institutional Research page, a breakdown of the demographics of the employees on campus is available. This is conducted annually. See: http://www.seattleu.edu/ir/facts/",True,"Achieving and engaging diversity has provided the focus for the university’s Task Force on Diversity and Inclusive Excellence. The task force, appointed in September 2013, was charged with assessing the current state of equity and inclusion on campus and recommending further steps for the university to move forward with enhancing our core value of diversity.
In order to better understand the campus climate, the task force and university leaders recognized the need for a comprehensive tool that would provide campus climate metrics for students, faculty, and staff. To that end, the university appointed the Climate Study Working Group (CSWG) in 2014. The CSWG was comprised of faculty, staff, students, and administrators.",https://www.seattleu.edu/diversity/Survey/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:38,mpate@sewanee.edu,2.0,Pursuing,True,Sewanee has conducted two surveys regarding campus climate of diversity and equity in the past few years. ,True,Sewanee has conducted two surveys regarding campus climate of diversity and equity in the past few years. ,True,Sewanee has conducted two surveys regarding campus climate of diversity and equity in the past few years. ,--,,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:17,andre.plante@sheridancollege.ca,2.0,Pursuing,True,"A Gender and Sexual Diversity Survey was launched on January 26, 2015 and was available to all employees and students until February 6, 2015. The anonymous and voluntary survey was created as part of Sheridan’s commitment in its Strategic Plan to provide an inclusive place to work and learn.

This is the first time Sheridan has conducted this type of survey. It was initiated and organized by Sheridan’s Gender and Sexual Diversity Taskforce (GSDT), a voluntary advisory committee with members representing various campus stakeholders, particularly those with LGBTQ+ experience.

The survey will act as a campus climate assessment to: gather information about attitudes and experiences; identify existing gaps in initiatives on gender and sexual diversity; and inform decision-making for further work related to creating an inclusive and respectful workplace and learning environment.",--,N/A,--,N/A,--,N/A,http://insider.sheridancollege.ca/2015/01/26/gender-and-sexual-diversity-survey-launches-today/,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:46,erica_lay@sfu.ca,2.0,Pursuing,--,,--,,True,"The university reports employee equity and diversity (self identified by employees) statistics to Human Resources and Skills Development Canada annually.  This information is compiled and submitted by the Director, Human Rights and Equity.  The Director, Human Rights and Equity, makes use of the knowledge of employee equity and diversity based on the annual reporting when making Human Rights and Equity program planning decisions for the university.  

Information about employment equity at SFU is available at: http://www.sfu.ca/avppolicy/equity.html",--,,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:56,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:29:54,dweisbor@smith.edu,2.0,Pursuing,True,"A Cycle Survey which is administered every year covers measurements of student self reported satisfaction on diversity and equity on campus, among other topics relevant to overall campus satisfaction. The survey is given to incoming first year students as well as graduating seniors to assess their overall satisfaction with the undergraduate experience.  

Topics presented in the survey include perceptions, experiences, self-reported progress and attitudes on different philosophies, cultures, racial and ethnic diversity, religious affiliation, and sexual orientation.  ",True,Several studies have been conducted by Instituional Research,--,"As far as we know, this has not been assessed.",--,"As far as we know, this has not been assessed.",http://www.smith.edu/ir/studentsurvey.php,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:12,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:31,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:39:13,beigelcod@sou.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Information on the assessments is not available on the web at this point, but hard copies can be made available, if necessary."
Spelman College,2016-02-15,2016-02-15 08:21:33,aefrazier@spelman.edu,2.0,Pursuing,--,,--,,--,,--,,--,"Spelman is a minority serving institution and the majority of our students, faculty & staff are minorities"
St. John's University,2016-03-02,2016-03-02 16:31:43,goldsmit@stjohns.edu,2.0,Pursuing,True,"In 2011,the University administered the Educational Benchmarking Inc’s (EBI) Climate Assessment survey to a representative sample of its student body across all levels and campuses.  The Assessment was comprised of 175 items categorized under 23 diversity related factors. These included: Students’ prior experience with diversity (race/ethnicity, gender, religious identification; political/social ideology, and financial standing); academic achievement and personal development; peer relationships; diversity programs and policies; and classroom environment.  There were also five additional diversity questions specific to St. John’s. This project was spearheaded by the Director of Multicultural Affairs and administered by the Office of Institutional Research.

The Results and Survey can be found at: http://www.stjohns.edu/about/administrative-offices/institutional-research/educational-benchmarking-inc-climate-ebi-climate",True,"The Office of Institutional Research had created an Enrollment Report in their 2015 ""Fact Book"".  The Fact Book can be accessed via the following link: http://www.stjohns.edu/sites/default/files/documents/ir/enroll-reports/combined_spring_2015_12_pages.pdf.  This report is used to understand the distribution of cultural backgrounds on campus and promote a learning environment/recruitment plan that is welcoming of under registered populations. ",True,"The Office of Institutional Research has researched the current diversity among 2015 employees and have reported their findings in the following pamphlet: http://www.stjohns.edu/sites/default/files/documents/ir/130618_faculty_info_brochure.pdf.
The results have been used to understand the faculty's effectiveness of promoting a diverse learning environment and plan for future growth.",--,,--,--
Stanford University,2016-03-23,2016-03-23 01:13:01,mbhafer@stanford.edu,2.0,Pursuing,True,"Stanford has been conducting regular assessments of its climate vis-à-vis diversity for many years.  In 2012-2013, the University completed a comprehensive formal review of all of its community centers, which are housed under the Vice Provost for Student Affairs.  

With respect to faculty, in 2008, the University conducted a campus-wide survey on the Quality of Life of Stanford Faculty. The survey finds that faculty satisfaction is high and that the overall satisfaction at Stanford is similar, and in some cases higher, than at several peer private research universities. The survey also examines work climate, perceived workload, opportunities for advancement, sense of inclusion, and perceptions of opportunities for women and faculty of color, and shows improvement in these areas over time. As a follow up to the survey, an interview study with underrepresented minority faculty examines their experience of collegiality, recognition, mentoring and voice in decision-making. The first report on the findings with accompanying recommendations was released in 2013. The second report is due for release in May 2014.  

https://diversityandaccess.stanford.edu/diversity



",True,"Stanford sends out an exit survey to all graduating seniors every other year. Items in the survey specifically address diversity issues, including assessing student satisfaction with the level of diversity on campus, student participation in racial/cultural awareness programs, and the extent to which students have interacted with those of different backgrounds from themselves while at Stanford. Stanford also compiles annual reports of student (and faculty) demographic profiles as part of our Common Data Set and Stanford Facts.",True,"The University compiles annual reports of employee demographic profiles, including a breakdown of the gender and race/ethnicity of all staff along with a separate breakdown of just Stanford Faculty. The ensuing conversations engage the school’s most senior leader (dean) and other officers with decision-making responsibilities related to hiring and compensation.",True,"The University compiles annual reports of faculty in leadership positions, with gender and race/ethnicity breakdowns. The Faculty Senate discussed the leadership pipeline for women at the University in Spring 2014, with goals to monitor and develop the opportunities for growing Stanford leaders, with particular attention to gender.  
http://.facultydevelopment.stanford.edu/data-reports ",https://diversityandaccess.stanford.edu/diversity,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:15,malichte@esf.edu,2.0,Pursuing,--,The Chief Diversity Officer and Director of Student Diversity and Inclusion are convening a College Diversity Committee in spring 2016 which will investigate and develop such an instrument for dissemination.,--,The Director of Student Diversity and Inclusion and Student Diversity Advisory Council are developing such an instrument for early Spring 2016.,--,The Chief Diversity Officer and Director of Student Diversity and Inclusion are convening a College Diversity Committee in spring 2016 which will investigate and develop such a instrument.,--,,--,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:59,Beth.Klein@cortland.edu,2.0,Pursuing,True,"The campus regularly assesses gender equity via the Gender Climate Survey, which is administered every 5 years.  Also, the Title IX survey is administered campus-wide every 5 years.  (See www2.cortland.edu/offices/presidents-office )The Human Resources Office regularly assesses equity in faculty salaries. (Note:  2005/6 of both documents available on the President's website; 2011/12 are in progress.)",True,Admissions information as well as the above information.,True,Affirmative Action Plan from HR assesses and monitors the diversity and equal opportunity for faculty and staff.,--,,http://www.cortland.edu/president,"jobs--ADA/Equal Opportunity, etc.--"
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:59,dezarn@geneseo.edu,2.0,Pursuing,True,"Geneseo's Diversity Commission contains an assessment subcommittee whose responsibilities are:
 
• This subcommittee should work in conjunction with the Diversity Plan 
Subcommittee on identifying measurable outcomes that can be used to 
assess the College’s progress regarding the goals and objectives outlined 
in the Diversity Plan.  
 
• In addition to providing support to the Diversity Plan Subcommittee, this 
subcommittee should continue to analyze the existing student data 
regarding diversity-related issues that are already being collected by the 
College.  This includes: 
 
- Continuing to develop and administer the incoming student survey   
                   every year (to have direct access to information pertaining to    
                   diversity among the entering students). 
-  Developing and presenting a report on the incoming class profile    
     for the Faculty Senate and SA. ",--,,--,,--,,https://www.geneseo.edu/webfm_send/2900,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:19,mittenl@newpaltz.edu,2.0,Pursuing,True,"In the Fall 2011 semester, the LGBTQ task force conducted a campus climate assessment to evaluate the attitudes and campus experiences of students and employees at the State University of New York at New Paltz related to lesbian, gay, bisexual, transgender, and queer (LGBTQ) people and issues. The final survey results were released in October 2012.  The LGBTQ Task Force has been charged with making recommendations for improvement of the campus climate for lesbian, gay, bisexual, transgender, and queer students, faculty, and staff at SUNY New Paltz. The report was released to the campus community in January 2014.  http://www.newpaltz.edu/lgbtq/  The LGBTQ Task Force developed a guide of campus services, policies, and organizations that serve LGBTQ students.  http://www.newpaltz.edu/lgbtq/lgbtq_campus_resources.pdf",True,"We monitor and evaluate graduation and retention rates for diverse groups of students and for programs that support our students. Two examples of such programs are the Education Opportunity Program (EOP) which supports students who have the potential to be academically successful, but come from a variety of circumstances that may present barriers to academic success and the Scholars Mentors Program (SMP), a networking initiative for students of color. In our most recent first year retention rates both of these groups, EOP and SMP, had retention rates that were higher than retention rate for all first-year students. Also, our first year retention rate for students from underrepresented minority groups is higher than our retention rate for white students.  Staff from EOP and SMP constantly analyze retention and graduation rate data from the Office of Institutional Research as well as internal data collected by programs that directly serve diverse students.

EOP, SMP, the Center for Student Resources & Academic Support, Louis Stokes Alliance for Minority Participation (LS-AMP), and Collegiate Science and Technology Entry Program (C-STEP) are constantly analyzing data not only from the Office of Institutional Research, but their own internal data as well. 
",--,,--,,http://www.newpaltz.edu/lgbtq/,--
Sterling College,2016-01-28,2016-01-28 10:04:20,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,True,Sterling College assessed diversity and equity in both the National Survey of Student Engagement (NSSE) and also in a Noel Levitz student satisfaction survey. ,True,Sterling College assessed diversity and equity in both the National Survey of Student Engagement (NSSE) and also in a Noel Levitz student satisfaction survey. ,--,,True,Sterling College assessed diversity and equity in both the National Survey of Student Engagement (NSSE) and also in a Noel Levitz student satisfaction survey. ,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:46,gotham360@stevens.edu,2.0,Pursuing,True,"Under the auspices of the National Science Foundation (NSF) funded ADVANCE grant, the institution has assessed diversity and equity in terms of campus climate, specifically as it relates to faculty in areas of Teaching, Mentoring, Service Activities, Work Attitudes, and Climate, which encompasses Department Climate Perceptions, University Climate Perceptions, Work-Family Integration, Mentoring, and Promotion and Tenure. The climate assessment was done in 2014 via a survey  assessing the experiences of men and women of all ranks and disciplines including tenured, tenure-track (TT), and full time non-tenure track (NTT) faculty at Stevens. The survey was designed based on similar efforts that have been conducted at other major universities such as MIT, Harvard, Stanford, University of Michigan, and Rice and was adapted based on discussions with a diverse group of Stevens faculty and the ADVANCE leadership team to appropriately capture the unique experiences of faculty at Stevens. The survey was distributed and results analyzed by external evaluators Dr. Kristen Jones and Dr. Eden King.1)	Significant results of the Climate Survey show: 1) there is tension between T/TT and NTT faculty; 2) women faculty are less satisfied than men faculty in the work place; 3) the quality of faculty mentoring needs to be improved for all faculty; 4) service expectations and assignments vary by gender; 5) department climate perceptions vary by gender; 6) work-family integration varies by gender; and 7) the perception that taking leave hinders advancement varies by gender.2)	Based on the outcomes of the Climate Survey, ADVANCE Stevens will focus on the following key areas that map to the two major goals.  These key areas focused on improving the academic culture and strengthening relationships/collaboration between T/TT and NTT faculty  include: awareness of the value of diversity; faculty mentoring and professional development; family-friendly culture; building faculty community with emphasis on women who are T/TT faculty and NTT faculty and balanced faculty service responsibilities. ",--,,--,,True,"In 2013, the Office of Diversity & Inclusion was established by the Board of Trustees and university leadership in an effort to further engage women and under-represented groups in university governance and decision making. Currently, the chair of the Board of Trustees is a woman. The Office of Diversity & Inclusion works to promote an environment at Stevens that is collaborative and respectful of individual differences. The Office of Diversity & Inclusion facilitates collaboration with administrators and faculty to develop effective strategies, practices, and policies to create a more diverse and inclusive culture that benefits all members of the Stevens community. Specific initiatives focus on areas that align with the Strategic Plan: increasing recruitment and retention of students from underrepresented groups; and increasing recruitment, retention and advancement of faculty from underrepresented groups.",http://www.stevens.edu/sit/diversity-and-inclusion,--
Syracuse University,2016-03-25,2016-03-25 15:33:37,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:14,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:54,kwellman@tamu.edu,2.0,Pursuing,True,"There have been climate assessments of students, faculty, staff, and administrators.  Each of these assessments asked questions about diversity, equity, access to resources, and the climate for diversity at Texas A&M University.

The university-wide campus surveys are on three year cycles:
• Faculty (whole population) - Assessed Spring 2013 – Due next in Spring 2016
• Undergraduate Students (sample stratified by ethnicity and classification) - Assessed Spring 2013 – Due next in Spring 2016
• Graduate Students (whole population) - Assessed Spring 2012 – Due next in Spring 2015
• Staff (whole population) - Assessed Phase 1 Fall 2012; Phase 2 Spring 2013 – Due next in Spring 2016
",True,"• Undergraduate Students (sample stratified by ethnicity and classification) - Assessed Spring 2013 – Due next in Spring 2016
• Graduate Students (whole population) - Assessed Spring 2012 – Due next in Spring 2015
Summary of Graduate Student Campus Climate Survey - Spring 2012
 1) What can we do to change the experiences of graduate students from different demographic groups to foster a good climate for all graduate students? Graduate student groups such as Blacks, Hispanics, doctoral, and self‐reported historically underrepresented students generally report less satisfaction with the campus climate based on their overall impression of campus climate, their academic experience at Texas A&M, and perceptions related to faculty, staff, graduate and undergraduate students; at the university level, in the department, and in the research space/lab/group.
2) How can the University help graduate students see the value of diversity while promoting a more visible institutional commitment to diversity? While some graduate students perceive a lack of commitment to diversity, other graduate students question the need for promoting diversity altogether.
3) What can the University do to help graduate students engage in respectful interactions?
Tensions and cliques are prevalent on campus relating to: University traditions; undergraduate and graduate students; race/nationality and political and religious beliefs.
4) How can we address quality of life concerns? Graduate students report concerns related to quality of life: balancing home, coursework, employment, and research; managing transportation challenges; dealing with stress related to the Texas A&M environment and financial situations; and, maintaining good health and emotional well‐being.

Summary of Undergraduate Campus Climate Findings 2013
1) What can we do about the persistent finding that Texas A&M is friendly on the surface, but can be intolerant of differences?
2) How can we identify and/or alleviate the issues in the campus climate that contribute to students feeling the need to minimize characteristics of identity (e.g. language, dress, beliefs, etc.) to fit in in student organizations and with classmates?
3) How can we encourage involvement of all undergraduate in student organizations, traditions, and high impact learning practices? 
4) How can we teach the personal and institutional benefits of diversity to the undergraduate student body?",True,"Summary of Faculty Campus Climate Findings -  Spring 2013
(1) Faculty composition: Changes are encouraging, but what can we do to continue to increase the numbers of people who are historically underrepresented in some disciplines?
(2) Declining job satisfaction: What can we do to improve job satisfaction for faculty?
(3) Turnover intentions: What can we do to address retention and promotion concerns in all faculty ranks?

Summary of Staff Campus Climate Findings - Spring 2013
(1) How can we support and encourage staff during
times of institutional change?
(2) How can we identify and/or alleviate the issues in
the campus climate that contribute to lower job
satisfaction?
(3) What steps can be taken to encourage and reinforce
an inclusive environment?
(4) What steps can be taken to encourage
political/religious acceptance?",--,,http://diversity.tamu.edu/CampusClimate/CampusClimateStudies.aspx,Campus Climate Presentations - http://diversity.tamu.edu/CampusClimate/Presentations.aspx
Texas Tech University,2016-03-25,2016-03-25 15:47:27,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:54,dial.15@osu.edu,2.0,Pursuing,True,"Since 2008, the Office of Human Resources and Institutional Research & Planning have partnered in to administer surveys of all faculty and staff about their work environments. Each survey, including the most recent from 2014, is used to compare the responses across the years, which allows the Office of Human Resources to build on strengths and address opportunities for improvement as identified in the reports.  Following the release of the overall institutional results, Senior Human Resource Professionals in each of the colleges and vice presidential units attend a workshop to review and discuss the results for their units.  Each is given a report that compares their unit’s results to those of similar units in order to determine where to find best practices.  Units with poor performance receive coaching from staff in the Office of Human Resources.  The results are also used as part of academic program review and in deans’ and other leaders’ reviews.  ",True,"Ohio State’s Undergraduate and Master's/Professional Graduation Survey have been administered at the end of each term by the Office of Student Life since 2011. These surveys are designed by several offices at the university, and are used to gather information about the career and education plans of potential graduates, as well as students’ satisfaction with Ohio State and permanent contact information. The most recent survey covers the combined results for the 2014-2015 academic year and includes demographic information about students who were invited to take the surveys, as well as the survey-takers.  Highlights from the results found that over 85% of all students were satisfied or somewhat satisfied with their experience at Ohio State.  The Graduation Survey is administered, analyzed, and reported on at the end of each term by the Center for the Study of Student Life. The findings are then reported to the appropriate Dean of each college for their review, and the data are used to inform college-level decision making regarding curriculum and the student learning experience in the coming year.

The Office of Enrollment Services provides data each semester on the diversity of our students, including data on enrollment, retention and graduation rates by gender and ethnicity.  Over the years, data on retention and graduation rates for minority students have prompted new programming to better support students at a higher risk of not completing college.  Several of these datasets were used in the formation and implementation of a Student Retention Committee, charged with reviewing and making recommendations regarding the undergraduate retention at Ohio State. In this project, data were used to inform explicit recommendations about access and retention initiatives for students from underrepresented populations.  
",True,"Ohio State’s Affirmative Action, Equal Employment Opportunity, Anti-Discrimination/Harassment policy, revised in October of 2015, outlines the university’s equal opportunity to all persons without regard to race, color, sex, gender identity, sexual orientation, transgender status, religion, national origin, age, disability, Protected Veteran Status, or other bases protected by applicable law. University policy prohibits harassment of applicants or employees related to these bases. The university’s Affirmative Action Program (AAP) assures equal employment opportunity in all policy decisions affecting recruitment, selection, assignment, promotion, training, and all other terms and conditions of employment. The university uses an audit and reporting system to measure the effectiveness of our AAPs. Additionally, all academic and service units are required report diversity of their faculty and staff across ranks, including hires and separations, and a description of plans to address recruitment and retention of faculty and staff.",True,"The Ohio State University surveys its students, faculty, staff, and alumni on a regular basis.  Faculty and staff surveys include items about institutional leadership, the respondents’ feelings of belonging and fit, and support provided to accomplish their work and personal goals.  Results are analyzed by gender, race/ethnicity, position within the organization, as well as by academic or business department.  Comparisons can be made to other units so that high performing units can share best practices.  Student surveys, including the National Survey of Student Engagement, the AAU Climate Survey, and OSU’s own Graduate and Professional Student Survey, collect information on campus and program engagement, relationships with other students and with faculty, and support provided to accomplish personal goals.  Alumni surveys provide information about post-graduation outcomes that can be analyzed by department and help us to understand the practices that support happy, successful lives for our graduates.

Survey instruments and institution level results reports can be found online at http://oaa.osu.edu/irp/reports.php.
",--,--
Tufts University,2016-02-25,2016-02-25 15:40:28,tina.woolston@tufts.edu,2.0,Pursuing,True,"Regular assessments of the undergraduate students like the Senior Survey and Sophomore Survey are administered through the Office of Institutional Research & Evaluation. Questions focus on students' perceptions of campus life and campus diversity and equity. These surveys continually have a response rate greater than 90%.

In 2013, the university-wide Council on Diversity administered a first-ever diversity and inclusion climate survey to all graduate and professional students. Questions included:
Did you experience challenges in becoming a part of the community at your school?
Is the climate at Tufts comfortable for you to interact with: graduate/professional students in your school? What about Tufts graduate/professional students outside your school?
Is the climate of your graduate or professional school at Tufts supportive of diversity and inclusion?
My specific academic needs were accommodated.
My unique background has been respected.
I have received encouragement and support.",True,"Regular assessments like the Senior Survey and Sophomore Survey are administered through the Office of Institutional Research & Evaluation. Questions focus on students’ perceptions of campus life and campus diversity and equity. These surveys continually have a response rate greater than 90%. Questions include: 
Please rate your satisfaction with the following aspects of the campus environment:
Cultural life on campus
Social life on campus
Climate for ethnic/racial minority students on campus
Degree of ethnic/racial diversity on campus
Sense of community on campus
Sense of community where you live
Feeling of security on campus

Please indicate your level of agreement with each of the statements below:
The Tufts curriculum prepared me to function well in a multicultural society.
My extra-curricular activities at Tufts prepared me to function well in a multicultural society.
Sexual harassment is a campus problem.
Racism is a campus problem.
Homophobia is a campus problem.

In 2013, the university-wide Council on Diversity administered a diversity and inclusion climate survey to all graduate and professional students. Questions included:
Someone has been accessible to help me.
Do you currently have a mentor?
How did you identify your mentor?
Does your mentor share your background and/or values?
Do you believe that your relationship with your mentor is likely to continue after you leave Tufts?
During your graduate or professional studies, how often have you: Participated in any career preparation workshops? Attended any conferences? Received tips on how to network? Received tips on how to construct your CV, cover letter, etc.?",True,"There are many ways that Tufts assesses employee diversity and educational equity, including the annual Tufts Fact Book administered by the Office of Institutional Research and Evaluation. The Fact Book is a compilation of basic information including statistics related to underrepresented groups and people of color. In addition, our University Dashboard shows two indicators: proportion of female faculty and the number of faculty of color.

As an Affirmative Action employer, Tufts is required by law to file a yearly Affirmative Action Plan (AAP). The AAP, based on US Census data, provides a benchmark for comparison with similarly situated peer institutions and provides milestones for tracking and measuring our efforts in areas such as candidate pool diversity and diversity of Tufts’ employee population versus the census data.

The Excellence At-Work Survey, administered to employees in 2011-2012, was undertaken to identify and address areas that employees consider important to improving the quality of their work life.

Tisch College undertook a survey of staff and students with regard to diversity and inclusion in 2013.",True,"There are many ways that Tufts assesses governance and public engagement, including:
•	The 2013 T10 Strategic Plan, approved by the Board of Trustees in November 2013, provides a foundation for a more interconnected university. After reports from 12 working groups and committees, “Engaging and Celebrating Commonalities and Differences” was identified as one of four main themes for Tufts in the next ten years. 
•	Also as part of the strategic planning assessment, Tufts’ mission statement was revised and voted on by the Board of Trustees to convey a more contemporary approach to diversity issues and articulating a strong commitment to inclusion.
•	The Board of Trustees program and the Committee on Trusteeship nominates new membership and takes responsibility for ensuring that the Board of Trustees program continues to serve Tufts along its institutional mission and goals.
•	Tisch College is a catalyst for active citizenship at Tufts and is the only university-wide program of its kind. By continuously developing and introducing new active citizenship programming in collaboration with Tufts’ schools, departments, and student groups, Tisch College builds a culture of active citizenship throughout the university as well as local host communities and global partners. This entrepreneurial approach grows the university’s capacity for engagement and allows the college to reach every student at all of Tufts’ schools. 
•	Annually for the past 10 years, the Tufts president has hosted a Presidential Symposium on Community Partnerships, engaging students, faculty, staff, and community partners in a conversation about how we can improve the quality and impact of our work together.
•	Annually, Tisch College’s Lincoln Filene Center for Community Partnerships conducts a survey of community partners to understand what benefits they realize from their partnerships with Tufts and what Tufts could do better or differently to strengthen the mutual value of those partnerships.",http://provost.tufts.edu/institutionalresearch/fact-book/,--
Tulane University,2016-02-04,2016-02-04 11:03:57,ldavey@tulane.edu,2.0,Pursuing,True,Tulane University Conducted a university-wide campus climate study in 2002.  The Office of Multicultural Affairs conducts an undergraduate student campus climate survey every three years. The last student campus climate study was conducted in 2014.  Results and recommendations  from the 2014 survey are still being analyzed and developed.,True,"The last assessment was completed in 2013. 

Based on Tulane's diversity and inclusion work the focus will be on the student experience itself, including the impact of race and ethnicity and the influence of physical ability, sexual orientation, gender expression, socioeconomic background, deferential preparedness, and first-generation status on learning experiences.

Tulane's five diversity and inclusive excellence strategic imperatives are:  
1.	Sustain a diverse and inclusive Tulane community through successful recruitment and retention of faculty, students, and staff;
2.	Embed D&IE in research, teaching, and service;
3.	Strengthen the cultural competence of Tulane’s community;
4.	Examine institutional policies and practices to ensure that they sustain Diversity and Inclusive Excellence;
5.	Ensure sustained and committed leadership in Diversity and Inclusive Excellence.
",True,"The last assessment was completed in 2013.  

The assessment identified several areas where progress had been made and areas where challenges still exist.  For example, the assessment noted that Tulane was making substantial gains in the recruitment and employment of women and underrepresented faculty at the assistant professor and professor of the practice levels. In addition, the assessment found that Tulane continued to have challenges recruiting and retaining hiring ladder-rank faculty of color and administrators of color.  

Tulane's five diversity and inclusive excellence strategic imperatives are:  
1.	Sustain a diverse and inclusive Tulane community through successful recruitment and retention of faculty, students, and staff;
2.	Embed D&IE in research, teaching, and service;
3.	Strengthen the cultural competence of Tulane’s community;
4.	Examine institutional policies and practices to ensure that they sustain Diversity and Inclusive Excellence;
5.	Ensure sustained and committed leadership in Diversity and Inclusive Excellence.
",--,,https://gibson.tulane.edu/tulane/legacy/strategic_planning_docs,--
Unity College,2016-03-25,2016-03-25 15:24:47,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
