Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of students engaged in community service,Total number of students ,Does the institution wish to pursue Part 2 of this credit (community service hours)?,Total number of student community service hours contributed during a one-year period,Does the institution include community service achievements on student transcripts?,"A brief description of the practice of including community service on transcripts, if applicable",Does the institution provide incentives for employees to participate in community service (on- or ...,A brief description of the institution’s employee community service initiatives,The website URL where information about the institution’s community service initiatives is available,Public Notes
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:09,Beth.Klein@cortland.edu,2.0,Pursuing,6840.0,7110.0,True,414766.0,--,The College is currently discussing the possibility of including community service and other co-curricular activities on student transcripts.,True,"The college presents service awards for employees engaged in outstanding service to the profession and community

Faculty: Outstanding Achievement in Service Award 
Professional Staff: Excellence in Professional Service
Classified Staff: Excellence in Classified Service ",http://www2.cortland.edu/dotAsset/0c6e9117-5b77-41fe-831c-96cfa9ce7223.pdf,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:48,dezarn@geneseo.edu,2.0,Pursuing,4172.0,5467.0,True,247301.0,True,"We have a Cocurricular Involvement Transcript that students may create and record their community service activities. The transcript does not include the number of hours served but rather a description of the involvement. 

We have also recently added the national President's Volunteer Service Awards and the College is now a Certifying Organization for local organizations and the community. Later this year, we will be developing some promotional pieces and will be giving out the code for students to use to record their hours. This is very new and it will permit the students to record volunteer hours. the tasks performed and the agency for whom they did the service.  ",True,"F.O.R.C.E.S had two dozen volunteers log more than 300 hours in Letchworth State Park removing invasive species, improving trails, and picking up litter. 

The college requires members of teams, clubs and greek organizations to perform community service projects of varying degrees.",http://www.geneseo.edu/volunteer_center/,Jim Kernan
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:36,mittenl@newpaltz.edu,2.0,Pursuing,1583.0,7429.0,True,21042.0,True,"Some community service such as planning committee memberships and participation in campus volunteer events (such as Make a Difference Day, Alternative Spring Break, Saturdays of Service, and Clean Sweep) may be added to a student's co-curricular transcript, which is separate from the academic transcript.  The total number of hours served is not reported on the co-curricular transcript at this time. ",--,,http://www.newpaltz.edu/careers/volunteer.html,--
Sterling College,2016-01-28,2016-01-28 10:04:29,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,120.0,120.0,True,22244.0,--,,--,,http://www.sterlingcollege.edu/work-college/,"Sterling College is  one of only seven federally recognized work colleges. Every student on campus has a job that either directly benefits the community at Sterling or the local area. In addition, there is an all college work day set aside each semester for work on building community. There is also an all college service day set aside. In addition, most students are required to complete an internship, called a Practicum in Environmental Stewardship, as a graduation requirement. Below are how the above total number of hours are broken down by category for easy reference. All are from the year 2014.

Internship Hours: 8114 from 15 students
Hours In Work Program That are Off-Campus and based in the local community: 2902 hours for 45 students 
Work Program Total Hours: 16905
Additional Outside Community Service Hours: 147

"
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:44,gotham360@stevens.edu,2.0,Pursuing,2480.0,6019.0,True,31570.0,--,,--,"The Office of Academics’ Staff Development Committee at Stevens has initiated a Week of Service in honor of Martin Luther King, Jr. Day. All week, from January 25-29, 2016, staff in the Office of Academics are invited to participate in any or all of the following activities: All week, staff were encouraged to donate clothing, food, toiletries, and other items to the Hoboken Shelter; on Wednesday, January 27, staff participated in sandwich making for the Hoboken Shelter; and on Thursday, January 28, staff gathered at the St. Matthew Trinity Lutheran Church’s Lunch Time Ministry to help clean and organize the kitchen and pantry areas.",--,--
Syracuse University,2016-03-25,2016-03-25 15:34:19,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:21,kathleen.grady@temple.edu,2.0,Pursuing,13379.0,37788.0,True,65000.0,True,The university has a designation on transcripts for community based learning courses. Community based learning is coursework that combines academic knowledge and community work for deeper learning and community benefit.,--,,http://www.temple.edu/community/service_community.htm,Information provided by Beverly Coleman in the University Office of Community Relations Department. Data is for FY14.
Texas A&M University,2016-01-15,2016-01-15 14:25:04,kwellman@tamu.edu,2.0,Pursuing,23000.0,50227.0,True,2187059.0,--,,--,,--,"The data supplied here comes from the President's Higher Education Community Service Honor Roll. The reporting period was from June 2012 to July 2013, as a result the total number of students does not match that of IC-3.

Texas A&M is firmly committed to community service, so much so that one of our six core values is Selfless Service.  Our score for this category does not accurately reflect the investment our students make every year in community service because at this time we are unable to capture the total number of volunteers and the hours they dedicate to selfless service.   
The numbers for this credit come from two sources we were able to capture.  First, a unique one day service event our students organize called The Big Event.  Through service-oriented activities, The Big Event promotes campus and community unity as students come together for one day to express their gratitude for the support from the surrounding community.  The Big Event is the largest one-day, student-run service project in the nation.  Recently, The Big Event has expanded to over 75 other schools across the nation.  The second avenue we were able to capture community service numbers was from self-evaluation reports from Greek organizations.  

For more information on some of our bigger community service projects/organizations see the following websites:    
http://bigevent.tamu.edu/
http://aggierelay.tamu.edu/
http://fish.tamu.edu/
http://hospitality.tamu.edu/"
Texas Tech University,2016-03-25,2016-03-25 15:48:18,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,"The number of students engaged in community service is an approximation.  It includes an estimated 3700 fraternity and sorority members with community service membership requirements, plus a significant number of students involved in various service and community organizations.  It also includes students in academic programs which have a community service requirement.

Fraternity and sorority information can be found at http://www.depts.ttu.edu/centerforcampuslife/greeklife/.  For information on a particular academic program's community service requirements, please contact the department directly."
The Ohio State University,2016-01-26,2016-01-26 15:47:04,dial.15@osu.edu,2.0,Pursuing,29688.0,55663.0,True,1273956.0,--,,True,"The university encourages staff and faculty to participate in community service activities organized by the university during work hours, for example large single day serve events in the fall and spring.  The university also organizes an annual community service campaign for employees called Bucks for Charity ",--,--
Tufts University,2016-02-25,2016-02-25 15:40:38,tina.woolston@tufts.edu,2.0,Pursuing,6511.0,10461.5,True,322596.0,True,"Inclusion of community service on transcripts varies across the university's schools. Students at the Cummings School of Veterinary Medicine are engaged in a number of community programs. Because of the flexibility of the selectives system, students can receive academic credit for their participation. In general, a student can receive ½ credit for each 40 hours of participation. If students are formally enrolled in the selective and successfully complete the requirements, their participation will be noted on their transcript. 

The School of Medicine, amplifying their commitment to active citizenship and community service as the signature values of their education, requires each student to complete a community service experience comprised of at least 50 hours as a condition of graduation.  ",--,The Jonathan M. Tisch College of Citizenship and Public Service maintains an outreach web portal that provides information about outreach and community opportunities available to Tufts staff and faculty (as well as students and community partners). ,http://activecitizen.tufts.edu/?pid=4&c=87,"Within the university, there are many departments that offer courses that incorporate community experience or service learning with active citizenship. In the Schools of Arts, Sciences & Engineering, this includes American studies, anthropology, biology, community health, chemistry, child development, civil and environmental engineering, drama and dance, English, education, geology, history, Judaic studies, peace and justice studies, sociology, urban and environmental planning, among others. Tisch College inventories these courses annually to help students connect and navigate their interests.  

Among the professional schools, internships with a community-engaged focus are an essential component to accelerate and apply learning. The School of Dental Medicine, for example, requires a five-week externship in one of 25 facilities across the country including community health centers, military bases, and veterans’ facilities from its students.  Students are supervised to provide high-quality care to individuals whose access is limited.    

The School of Medicine integrates community engagement into its curriculum by requiring at least 50 hours of community service into its MD degree requirements.   Likewise, an Applied Learning Experience (ALE) is a requirement of the Masters in Public Health Program.  

Community engagement is a critical dimension of the Master of Science in Conservation Medicine Program of the Cummings School of Veterinary Medicine.  Its commitment to the community is expressed in a One Health approach to address health issues facing animals and humans alike and the ecosystems they share. 

The Department of Food and Nutrition Policy of the School of Nutrition and its associated program tracks (Nutrition Communication; Food Policy and Applied Nutrition; Agriculture Food and Environment) require community-based internships as part of their degree requirements. 

The School of Dental Medicine demonstrates its commitment to engagement and service for vulnerable populations with a requirement of a clinical rotation in the community.  

Additionally, many graduate programs within Arts & Sciences integrate community engagement into their curricular frameworks.  Masters candidates within the Urban and Environmental Policy and Planning Program are required to complete field projects for community partners such as Aida Refugee Camp and Dudley Street Neighborhood Initiative.  
 "
Tulane University,2016-02-04,2016-02-04 11:04:07,ldavey@tulane.edu,2.0,Pursuing,6600.0,10688.0,True,540514.0,True,"Students enrolled in a service learning course register for the academic course and the service-learning component. The University Registrar has created a unique course designation for the service component. Courses ending in -89 are recognized as a service component and fulfill the public service graduation requirement.  All service learning opportunities- courses, public service internships, and the public service fellows program- are recorded on a student’s transcript. Students who have successfully completed an -890 course have engaged with the community for 20-80 hours in that semester.  ",True,"Wave of Green: The University President joins approximately 500 staff and faculty members for an annual Day of Service. As Tulanians, we consistently demonstrate our active citizenship and commitment to our community’s prosperity through our work at the university, and we take part in a meaningful community service day together annually. Last year we volunteered with several organizations in one neighborhood, closest to the university with the greatest needed,  Central City Neighborhood.

  ",http://tulane.edu/wave-of-green/,See Honor Roll Application
Unity College,2016-03-25,2016-03-25 15:25:45,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,The College supports many service-learning and community service efforts for both staff and students with an Office of Community Based Learning staffed by two full time employees.
University at Albany,2016-02-23,2016-02-23 17:54:19,mmallia@albany.edu,2.0,Pursuing,7126.0,17338.0,True,766917.0,--,The University does not offer an official notification of community service on transcripts at this time. Students can obtain a co-curricular transcript through a self-reported system.  Course codes will document experiential and engaged learning opportunities beginning in Spring 2016.,True,The University has established an awards program honoring those that have engaged in exemplary community service and research.  Faculty and staff report their community service hours via the end of year Faculty Research reports and self reporting system for staff.,http://www.albany.edu/outreach,The University was named to the President's Higher Education Community Service Honor Roll
University at Buffalo,2016-01-19,2016-01-19 10:15:59,jlk47@buffalo.edu,2.0,Pursuing,5309.0,24515.0,True,41644.5,--,,True,"At UB, we focus on creating and sustaining a healthy mix of work, personal life and academic pursuits — all in an effort to support each person’s need for work-life effectiveness. UB's workforce is engaged in opportunities to promote pride and camaraderie.  

Wellness & Work/Life Balance's Community OutReach for Employees (CORE) program, 
provides UB employees an easy way to volunteer and make an impact on UB’s surrounding communities and become part of a unified force of volunteers.  Employees who join CORE are notified by email of opportunities to participate
 ",http://www.buffalo.edu/administrative-services/wellness-work-life-balance.html,--
University of Arizona,2016-03-25,2016-03-25 15:32:41,bchampion@email.arizona.edu,2.0,Pursuing,6549.0,42236.0,True,40045.0,True,"The University of Arizona has created a new ""Engaged Learning"" notation on transcripts as of fall 2015.  This is based on the new UA 100% Engagement Initiative, and is orchestrated through the Office of Student Engagement (ose.arizona.edu).  This initiative emphasizes and gives students credit for experiential learning of a variety of types.  Within the typology of ""engagement"", community engagement and service are key themes and ways of obtaining the engaged learning notation on the transcript.  ",--,,http://volunteer.asua.arizona.edu/VolnteerUA/VolunteerUA.html,"Student community service data were obtained for the 2014-15 school year.  Statistics were assembled gathering data from VolunteerUA (a clearinghouse for student volunteer opportunities) as well as Athletics and Greek community contacts which also maintain statistics on levels of volunteerism among their members.  

These sources are not comprehensive, but are the best direct accounting of student volunteerism that currently exist at UA.  As a result, these numbers are substantially lower than our 2012 submission.  However, the 2012 submission merely extrapolated from national survey data and assumed UA students volunteer at similar levels to the national average.  Even though this results in a lower score for our 2016 submission, we felt it would be a good idea to rely on direct data rather than extrapolations and assumptions.  

Latest update: February 2016"
University of British Columbia,2016-02-22,2016-02-22 18:18:45,charlene.ponto@ubc.ca,2.0,Pursuing,5274.0,44054.0,True,415094.0,--,,True,"The Community Leadership Program provides training for staff and graduate students from the University, employees from UBC corporate partners, and professional staff from community non-profit organizations to prepare them to lead a group of UBC undergraduate students through a three-day community-service learning project in a school or non-profit organization during the UBC Reading Week break in February.  Please see the website here for more details.  http://clp.ubc.ca/",http://students.ubc.ca/about/centre-community-engaged-learning,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:41,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:32:07,cmkirk@ucdavis.edu,2.0,Pursuing,14486.0,27457.0,True,716500.0,True,"The Internship & Career Center offers Transcript Notation to any student who works a minimum of 40 hours per quarter at an approved and supervised internship. With just a bit of paperwork and 40 hours spent working as an intern, students can have an internship title, location and quarter taken noted on their official UC Davis transcript.  ",True,"The Worklife and Wellness Office, a branch of UC Davis Human Resources, has a volunteer opportunities webpage that strongly encourages all staff and faculty to participate in community service. There are numerous volunteer opportunities to accomadate all schedules and interests as well as reasons why staff and faculty should volunteer. (http://worklife-wellness.ucdavis.edu/community/volunteeropportunities.html)

The UC Davis Community Service Resource Center is dedicated to provide service opportunities to campus faculty, staff, and students. There are numerous opportunities for the campus community, ranging from tutoring programs, habitat restoration and food drives. One of the many ways that  the CSRC does this is through the Weekend of Service (http://icc.ucdavis.edu/cs/volunteers/weos.htm), which is a is a quarterly event which provides members of the Davis community volunteer undertakings to aid non-profit organizations in need. A few of the community service initiatives are listed below.

Fall 2014: Putah Creek Council is dedicated to the protection and enhancement of Putah Creek and its tributaries through advocacy, education and community-based stewardship. Forty students and staff helped establish a field nursery. Volunteers installed nursery-grown plants at a site along the creek so they can grow larger in field conditions. They plan to transplant them as need arises for use at restoration sites. 

Fall 2014: Society for the Blind's mission includes providing life and job skills training, mentorship, and access to tools to maintain independence for thousands of youth, adults and seniors in Sacramento and the surrounding areas experiencing vision loss. Twelve students and staff cleaned the student training kitchen, break rooms and training room furniture . The kitchen has three separate bays that are used throughout the week by the Daily Living Skills Instructors and their students. This busy classroom is a vital space providing their students with the necessary skills and techniques to cook confidently and independently at home. Volunteers deep cleaned the appliances, cabinets, and work spaces and tidied  break rooms, training room chairs, and tables. 

Winter 2015: Community Harvest of Davis (formerly Village Harvest Davis) is a 501(c)3 nonprofit organization, run entirely by volunteers, that harvests fruit from residential trees and donates it to agencies that feed people in need. Their mission is to provide food for people who need it, promote sustainable use of urban resources, and contribute to a stronger community. Twenty seven volunteers helped harvest 100 tangelo trees. They will donate the fruit (around 4,000 to 6,000 pounds) to Yolo Food Bank.

In addition, the CSRC recognizes the varied and generous dedication to community service by UC Davis students, staff, faculty, and student organizations, through its Annual UC Davis Community Service Awards (http://icc.ucdavis.edu/cs/CSA/). The recipients all receive certificates under different categories based upon dedicated service to others as well as breadth, quality, and time committed to community service. The categories are Outstanding, Gold, Silver, and Bronze. 

The Outstanding and Gold Recipients are invited to attend a reception with distinguished members from UC Davis administration. They may also be eligible for the President's Volunteer Service Award and the Chancellor's Civic Engagement Award. ",http://iccweb.ucdavis.edu/cs/,"UC Davis was named to the 2012 President’s Higher Education Community Service Honor Roll from the 14,486 number of UC Davis students, staff, and faculty members contributing approximately 716,500 hours of community service from July 1, 2010 to June 30, 2011. These figures do not include all volunteers and hours contributed by the UC Davis community, the figures are conservative and verifiable, and at least 90-95% of the volunteers are students."
"University of California, Irvine",2016-03-23,2016-03-23 10:33:24,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:41,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"Additional community service programs and information:
UCLA USAC Community Service Commission: http://www.communityservicecommission.org/
UCLA Community Programs Office: http://uclacommunityprograms.org/
UCLA Center for Community Learning: http://www.uei.ucla.edu/communitylearning.htm
UCLA in the Community: http://www.ucla.edu/ucla-in-the-community/
"
"University of California, Merced",2016-02-25,2016-02-25 16:56:30,cmccormick3@ucmerced.edu,2.0,Pursuing,4944.0,6300.0,True,6063.0,--,"UC Merced does not include community service on student transcripts at this time. The campus uses an academic transcript model, but has plans to develop an extra-curricular transcript which would serve as a record of students’ participation in service organizations, athletics and student government.",--,"The campus does not have a formal incentive program but many departments offer compensatory time for their employees who participate in particular community service opportunities.

Employees serve on various non-profit boards, participate in the Food Pantry distribution, volunteer with various sport organizations, and many participate in the 2 National Days of Service opportunities that UC Merced sponsors in our local community.
",http://studentlife.ucmerced.edu/content/what-civic-leadership,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:37,john.cook@ucr.edu,2.0,Pursuing,12785.0,21651.0,True,4213733.0,--,Students can include service hours on their co-curricular transcripts ,--,https://hr.ucr.edu/worklife/personal/volunteer_opportunities.html,http://ucrtoday.ucr.edu/2361,UCR was recognized by President of the United States of America for its commitment to Community Service by being placed on the President's Higher Education Community Service Honor Roll
"University of California, San Diego",2016-03-24,2016-03-24 18:52:13,smckinstry@ucsd.edu,2.0,Pursuing,17234.0,31052.0,True,3110520.0,--,N/A,True,"Volunteer50 challenges student, staff, faculty, and community members to perform 50 hours or more of community service per year. Volunteers register online for the challenge, then search for volunteer opportunities and track their service. Each month a service theme will be featured and we’ll showcase one local All-Star community organizations that fit the month’s theme. Volunteers may perform their service anywhere, and incentives will be offered for individuals and groups who reach a high level of service. Volunteer 50 at UCSD hosts an end of the year recognition ceremony celebration for all employees that have performed community service during the year. A certificate is given to any employee that participated in service during that year.",http://v50.ucsd.edu/,"Data are from the UCSD Center for Student Involvement, who uses these data for external reporting to the President Higher Education Community Service Honor Roll. The total hours were calculated using the September 2014 University of California Undergraduate Experience Survey (UCUES), which represents data from the 2013-2014 academic year. The survey was delivered to a random sample of UC San Diego students, and garnered 7,415 respondents. Students reported the time they spent in a typical week performing community service or volunteer activities. The data from the student responses was extrapolated to represent the total number of undergraduate and graduate student populations (31,052) at UC San Diego for the 2013-14 academic year. It is our understanding that there are limitations to this data because survey respondents tend to be more involved than non-survey respondents."
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:15:25,mo@geog.ucsb.edu,2.0,Pursuing,9598.0,17980.0,True,1457360.3,--,,True,"UCSB strives to develop and enhance relationships with its neighbors by providing community access to its resources. The UCSB campus hosts a variety of sporting, artistic, and educational events. It offers immense libraries and specialized research labs. UCSB also provides recreational programs and facilities for people of all ages. 

UCSB's relationship with its community extends beyond the campus. Many faculty, staff, students, and graduates actively volunteer for local organizations. Their public service includes food drives, professional training, and health education. Members of the UCSB community also contribute to local social programs through Santa Barbara County United Way's Network for Caring. The list below is only a small portion of the total community service initiatives on campus.

Here are a few of UCSB's employee Community service initiatives: 
UCSB’s United Way Campaign
Since 1923, the United Way of Santa Barbara County has been committed to making a difference in our community and working hard to ensure that contributions help local friends and neighbors in need. United Way of Santa Barbara County and its partners work to achieve community-driven 10-year goals, with a focus on the ""United 2020 Goals"": Education, Financial Stability, and Health. 
UC Santa Barbara employees raised over $111,000 for the local community, as part of the campus's 2013 United Way campaign. Taking advantage of the opportunity to contribute to their community, hundreds of UCSB's volunteers and donors gave money, made presentations that convinced others to join or make donations, and raised funds with candy grams and special events. UCSB's campaign is one of the largest in Santa Barbara County. http://www.ia.ucsb.edu/uw/partnering.aspxhttp 

K-12 Outreach
The campus sponsors an extensive program of classroom presentations, tours, demonstrations, field trips, musical and dance performances, and other educational outreach efforts for K-12 schools.
For example, the Kids In Nature is an innovative and highly regarded program designed to enrich the learning experiences of underrepresented and underserved youth in our community with a yearlong dynamic combination of hands-on, inquiry-based, classroom activities, interactive custom-designed computer simulations, and field trips. 
Inquiries: Cheadle Center for Biodiversity and Ecological Restoration, 805-893-2506
Web Site: http://ccber.ucsb.edu/education/kin/ 


Educating Future Leaders
The Educating Leaders for the Future (ELF) Program inspires youth to pursue sustainable academic and career pathways.  We do this through classroom presentations in local high schools and through after school programs.  Sustainability is being integrated into every sector of our economy and every major in higher education, and yet not enough programs are preparing our youth for this shift.   More youth will also be inspired to go to college when they learn how their studies can be relevant to their own lives. Sustainability is a great way to highlight this link. Our focus is on youth and families who have limited access to sustainability-based or environmental education. http://www.sustainability.ucsb.edu/elf/ 

College Preparation
UCSB offers an array of programs designed to enhance students' awareness and preparedness for higher education. For example, the Santa Barbara Mathematics, Engineering, and Science Achievement Center (MESA) School Program addresses the historically low numbers of disadvantaged and low income students pursuing math- based majors in college. MESA provides academic/career awareness and preparation services for secondary students with high interests in math and science. The goal is for every participant to complete four years of college preparatory math and English, along with chemistry and physics, and to take the PSAT and SAT I&II before high school graduation. Functions involving students, their families, teachers, and staff include school site meetings and activities, field trips to college campuses, MESA day competitions, Academies, scholarships, and summer programs. Currently, more than 400 senior high school students and nearly 500 junior high school students are enrolled in the Santa Barbara and Ventura County Schools.http://www.ia.ucsb.edu/ps/college.aspx 
 
Community Service  
http://www.ia.ucsb.edu/ps/community.aspx



",http://www.ia.ucsb.edu/ps/index.aspx,"On page 9 of Appointment and Advancement policies and procedures on page 9 of this document there is a descriptive paragraph that reads:

“The bio-bibliographic update should include a list of the candidate's service (with dates) in departmental, Senate, and administrative capacities (including committee service), and of his/her formal service to the community or to public agencies. Evaluation of the quality of his/her service in these areas is important. Recognition should be accorded to faculty for able administration of faculty governance; it should also be accorded for able service to the community, state or nation. Contributions to student welfare, mentorship and to affirmative action efforts should be recognized. Periods of service on various committees should be dated.”
https://ap.ucsb.edu/policies.and.procedures/red.binder/sections/%5B1_75%5D%20Appointment%20and%20Advancement.pdf  



 

"
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:55:31,ekericks@ucsc.edu,2.0,Pursuing,1605.0,17544.0,True,23848.0,True,"The transcript will include information if you took any service learning related courses but it will not recognize your year long internship with an NGO, for example.  
",True,,http://shr.ucsc.edu/procedures/volunteers/index.html,"Reflects service performed by students through the following service-based programs and organizations:

Colleges Nine & Ten (non-service learning programs)
Colleges Nine & Ten: Praxis, Alternative Spring Break, and Esprit de Corps programs
Rotaract Club of Santa Cruz County
Kresge College Transformative Action class
Kresge-64
College 8 Core Class community service
UCSC Student Volunteer Center
Sustainability Office / SUA Campus Cleanup Day
Alumni Engagement: Slug to Slug and Senior Class Council"
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:07,dave.newport@colorado.edu,2.0,Pursuing,11877.0,29325.0,True,3461017.0,--,Not Included,True,"Volunteer Administrative Leave

All classified employees are eligible for administrative leave. Effective January 1, 2000, the State Personnel Rules and Procedures requiring that administrative leave be granted for participation in tests and interviews for state positions were revised to provide appointing authorities the discretion to grant this type of administrative leave. The Department of Human Resources (HR) recommends that employees be given administrative leave to participate in assessment activities and interviews.

http://hr.colorado.edu/lr/leave/Pages/AdministrativeLeave.aspx",http://outreach.colorado.edu/,"The University of Colorado Boulder will earn a total of 3.2 out of 5 possible points for the two-part Community Service credit (EN 12). Part 1 requires 100% participation from students engaging in community service to receive full credit. CU is currently at 40.5% participation. This high standard is preventing CU from achieving a higher score in this credit section. Part 2 requires an average of 20 hours of community service per student annually. CU is currently receiving 118 hours of community service per student annually. Full points for Part 2 are achieved.

The data was extrapolated from the 2013 Frequencies and Statistical Comparisons survey conducted by the NSSE (national survey of student engagement).

http://www.colorado.edu/pba/surveys/NSSE/13/
http://volunteer.colorado.edu"
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:36:11,lkogan@uccs.edu,2.0,Pursuing,5525.0,11321.0,True,27625.0,--,,--,,--,--
University of Connecticut,2016-03-25,2016-03-25 18:15:37,rich.miller@uconn.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"UConn service initiatives engaged more than 17,500 student participants, including more than 8,000 who contributed over 20 hours per semester. About 62 percent of UConn’s student participation was through academic service-learning and service-oriented internships.

http://www.uconn.edu/students.php

figure from Office of Community Outreach
enrollemnt figure for Storrs campus from fall 2011 total undergrad + grads"
University of Denver,2016-02-26,2016-02-26 12:38:13,chad.king@du.edu,2.0,Pursuing,1891.0,11579.0,True,563755.0,--,,True,"Employees are encouraged to contribute to the public good vision of the university. For example, the university's Center for Community Engagement & Service Learning (CCESL) provides opportunities for students and employees to engage in meaningful service (http://www.du.edu/ccesl/service/) - employees are able to search and sign-up for volunteer opportunities listed on the database that CCESL manages (http://volunteer.du.edu/), all members of the DU community including faculty and staff were encouraged to contribute to the 1864 Service Challenge (http://sesquicentennial.du.edu/1864challenge/) to celebrate the university's sesquicentennial, the Staff Advisory Council (http://www.du.edu/staff/) provides opportunities to engage in service and philanthropy, the Faculty Senate recognizes one faculty member each year with the Faculty Service Award (http://www.du.edu/facsen/awards/) and many of the University's affinity groups provide opportunities for faculty and staff to engage in service and philanthropic activities (e.g. Women's Coalition: http://www.du.edu/duwomen/). Employees are also encouraged to participate in an annual Day of Action (http://www.du.edu/cme/programs-services/access/action-day.html) by facilitating demonstrations for elementary-age students and their families as they learn more about college and access to higher education.",http://volunteer.du.edu/,"CCESL's Service Initiative: http://www.du.edu/ccesl/service; Volunteer Opportunities Database (CCESL manages): http://volunteer.du.edu/; CCESL End-of-Year Reports with Data: http://www.du.edu/ccesl/about, DU's 1864 Service Challenge: http://sesquicentennial.du.edu/1864challenge/
"
University of Florida,2016-03-23,2016-03-23 09:06:40,miwilliams@ufl.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,"The Center for Leadership and Service (CLS) tracks most campus-coordinated community service efforts, but individuals or groups may also participate in service not reported to the CLS."
University of Houston,2016-03-23,2016-03-23 17:22:09,smkelly5@central.uh.edu,2.0,Pursuing,21953.0,39599.0,True,2000000.0,--,,True,"Service to the Community or Public is part of the tenure process. The Faculty Handbook states that tenure seeking faculty are encouraged to: ""Document public involvement that is related to the candidate's area of expertise, including speeches, expert advice to community organizations, donations of creative or scholarly efforts to public institutions, consultations with private organizations, etc."" Among many examples is ""Other Evidence of Teaching, Student Learning, and the Scholarship of Teaching: Candidates may submit evidence that they have facilitated students' success. Examples may include contributions to students who have won awards, letters from community members who have benefited from student projects or internships, and other evidence that the candidate contributed to student learning."" The Community Advancement (community service) benchmark on the UH Progress Card also shows a campus-wide assessment of community service. UH faculty and staff awards increased their funded community-service oriented activities over the last five years. In 2014-2015 there were 217 funded research awards with “community emphasis.”

Three among the 600 outreach programs in the UH System stand out as signature programs that represent our progress are the Center for Mexican American Studies, Mobile Eye Institute, and the Leadership Academy. These represent how we sustained, expanded and added new programs in response to the 2008 recession. Each is led with the expertise of faculty and staff with the outstanding support of our student body.

The Academic Achievers Program (AAP) is sponsored by the Center for Mexican American Studies and the Office of the President. It was established in the fall of 1994 and is designed to retain and propel more students to graduation. The mission of the AAP at the University of Houston is to recruit underrepresented students. About 300 students from one high school alone participated in the program in 2012-2013. Ninety-five percent graduated from high school and 90% enrolled in college, most choosing to attend UH. AAP students are significantly more likely to graduate in six years compared with other Hispanic students who enroll at UH at the same time. This program has helped UH to obtain the Department of Education's designation as a Hispanic-Serving Institution in 2012 because 25% of undergraduate enrollment is Latino. Only three institutions in the country had the Tier One and Hispanic Serving Institution classification.

The Mobile Eye Institute (MEI) provides outreach and training opportunities for 500 students every year and 75 4th year optometry students. Service populations whose lack of mobility denies them access to eye care have been targeted since 2006. This program has expanded significantly after 2008. In 2012-2013 services were provided to over 50 schools, 10 juvenile detention facilities, FQHCs and other agencies including women and homeless shelters. Since 2008, MEI has provided 458 excursions by bringing quality eye care training opportunities out of the clinic walls and into streets. Over 8000 exams have generated over 5000 eye glass prescriptions.

The UH Leadership Academy is a new program for our NCAA Student-Athletes and the community, which started in 2008. The Leadership Academy ""develops, challenges, and supports student-athletes and coaches in their continual quest to become world-class leaders in athletics, academics, and life; the Academy functions to equip participants at every level with skillset necessary to be a confident, cooperative, critical decision maker and ethical contributor in a competitive and ever-changing world. ""This mission is executed in part by community outreach activities. Approximately 400 athletes now participate in outreach as coordinated through the Leadership Academy. Special Olympics, community beautification, visits to children's hospitals are now organized through the Leadership Academy. In 2012-2013 the Intercollegiate Athletics, American Red Cross, Houston Fire Department, and HOPE worldwide partnered to scale up fire prevention efforts for the CNCS MLK and September 11th Days of Service and Remembrance. To date, over 50,000 people have benefited from the door-to-door canvassing and fire prevention message to Houston's most vulnerable populations. At one event, the entire men's basketball team, including staff and coaches partnered with the stakeholders in the largest door-to-door fire prevention and smoke alarm distribution campaign in Houston.
",http://www.uh.edu/about/community/,"For the second year in a row, UH was named to the President’s Higher Education Community Service Honor Roll: http://www.uh.edu/news-events/stories/2015/March/0318CommunityServiceHonorRoll.php.

Employee Incentives: http://issuu.com/uhmagazine/docs/uhs_performancereport2014/1"
