Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Number of academic divisions,Number of academic departments (or the equivalent),Full-time equivalent enrollment,Full-time equivalent of employees,Full-time equivalent of distance education students,Total number of undergraduate students,Total number of graduate students,Number of degree-seeking students,Number of non-credit students,Number of employees,Number of residential students,Number of residential employees,Number of in-patient hospital beds,Public Notes
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:18,eestanforth@vcu.edu,2.0,Pursuing,15.0,118.0,28715.0,7848.0,1444.0,23962.0,5483.0,31163.0,1873.0,11683.0,5857.0,12.0,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:10,aclimo@warren-wilson.edu,2.0,Pursuing,4.0,26.0,916.0,232.0,--,882.0,84.0,755.0,--,280.0,742.0,70.0,--,--
Wartburg College,2015-04-27,2015-04-27 09:08:54,anne.duncan@wartburg.edu,2.0,Pursuing,3.0,14.0,1708.0,387.0,--,1747.0,--,1673.0,--,462.0,1376.0,6.0,--,Based on IPEDS most recent report (2013) or internal report covering the same period.
"Washington State University, Pullman",2016-03-25,2016-03-25 18:59:24,slkane@wsu.edu,2.0,Pursuing,13.0,61.0,26543.3,6323.8,1729.0,24470.0,5216.0,29040.0,--,6751.0,6851.0,--,--,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:14,valko@wustl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Weber State University,2016-01-13,2016-01-13 14:17:12,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:40,pwilloug@wellesley.edu,2.0,Pursuing,1.0,56.0,2177.0,1083.0,--,2323.0,--,2172.0,151.0,1083.0,2069.0,15.0,--,--
Wells College,2016-02-26,2016-02-26 16:59:44,mbrown@wells.edu,2.0,Pursuing,3.0,18.0,543.0,175.0,--,550.0,--,550.0,--,202.0,510.0,1.0,--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:45,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,7.0,54.0,20725.0,2898.0,2210.0,19198.0,5096.0,23349.0,945.0,3370.0,5598.0,12.0,--,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:19,bmoran@western.edu,2.0,Pursuing,3.0,10.0,2096.0,295.0,223.0,2341.0,290.0,2138.0,446.0,331.0,942.0,7.0,4.0,"#s are from 2015-2016

While not a hospital, the Health Clinic is a satellite of  Gunnison Valley Health Family Medicine."
Western Washington University,2016-02-29,2016-02-29 19:39:24,seth.vidana@wwu.edu,2.0,Pursuing,8.0,46.0,13050.0,1623.11,--,14152.0,908.0,14152.0,--,2364.0,13693.0,--,--,--
Westminster College,2016-02-25,2016-02-25 14:15:52,kcase@westminstercollege.edu,2.0,Pursuing,4.0,61.0,2078.0,254.0,--,2233.0,758.0,2936.0,55.0,1026.0,697.0,6.0,--,"Westminster does not have a hospital within its institutional boundary, nor any distance education students. "
Wilfrid Laurier University,2015-12-22,2015-12-22 11:30:59,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Williams College,2016-03-23,2016-03-23 08:24:00,mae3@williams.edu,2.0,Pursuing,3.0,26.0,2079.0,1064.0,--,2045.0,54.0,2068.0,--,1232.0,1973.0,136.0,--,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:51,ltomasz@wpi.edu,2.0,Pursuing,3.0,17.0,5582.0,950.0,238.0,4177.0,1962.0,6139.0,--,1050.0,2002.0,6.0,--,--
