Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have any building space certified under the following green building rating ...,Does the institution have any building space certified under LEED or another 4-tier rating system ...,"Does the institution have any new building space certified under the DGNB system, Green Star, or ...","Does the institution have any building space certified under BREEAM, CASBEE, or another 5-tier GBC ...",Does the institution have any building space certified under the Living Building Challenge?,Does the institution have any building space certified under other non-GBC rating systems for new ...,A brief description of the green building rating system(s) used and/or a list of certified ...,Total floor area of eligible building space (design and construction),Floor area of building space that is certified at each level under a 4-tier rating system for new ...,Floor area that is certified at minimum level under a 4-tier GBC rating system for new construction ...,Floor area that is certified at the 3rd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the 2nd highest level under a 4-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 4-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 3-tier rating system for new ...,Floor area that is certified at minimum level under a 3-tier GBC rating system for new construction ...,Floor area that is certified at mid-level under a 3-tier GBC rating system for new construction and ...,Floor area that is certified at the highest achieveable level under a 3-tier GBC rating system for ...,Floor area of building space that is certified at each level under a 5-tier rating system for new ...,Floor area that is certified at minimum level under a 5-tier GBC rating system for new construction ...,Floor area that is certified at the 4th highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at mid-level under a 5-tier GBC rating system for new construction and ...,Floor area that is certified at the 2nd highest level under a 5-tier GBC rating system for new ...,Floor area that is certified at the highest achievable level under a 5-tier GBC rating system for ...,Floor area of building space certified Living under the Living Building Challenge,Floor area of building space that is certified at any level under other green building rating ...,Floor area of building space that was designed and constructed in accordance with green building ...,A copy of the guidelines or policies ,The date the guidelines or policies were adopted,A brief description of the green building guidelines or policies and/or a list or sample of ...,A brief description of how the institution ensures compliance with green building design and ...,The website URL where information about the institution’s certified buildings and/or green building ...,Public Notes
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:49:35,malichte@esf.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED
- Gateway Center. LEED Platinum. (64,022 GSF). Date opened: Fall 2013
- Centennial Hall. LEED Gold. (168025 GSF). Date opened: Fall 2011. Extension Fall 2014",217332.0,**,--,--,153310.0,64022.0,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/220/6/475/2712/New-gateway-Fact-Sheet.pdf,2010-11-01,"ESF has several separate policies that serve as green buildings guidelines
<http://www.esf.edu/au/sustainability.htm>

These include:

- Space Churn Renovation Plan and Policy 
- Low-Impact Site and Green Building Exterior Management Plan 
- Erosion & Sedimentation Policy 
- College Solid Waste Reduction and Recycling Policy 
- Sustainable Materials and Supplies Purchasing Policy  (adopted Jan.11,2011)","See Gateway Center features <http://www.esf.edu/sustainability/gatewaybuilding.pdf>

The Governor of the State of New York has issued an Executive Order that requires all new building construction and major renovations to be designed and constructed, at a minimum, to be certifiable at a LEED ""silver"" level. The State University Construction Fund is given construction authority for the State University of New York's campuses. In selecting design and construction management consultants for a major project experience and success with LEED is included among qualifications. LEED status and compliance is actively tracked during design and during construction. Systems are monitored, post-construction, to make certain that they are operating as intended.",http://www.esf.edu/au/sustainability.htm,"ESF's new Gateway Center building was designed to achieve LEED Platinum certification. The building officially opened in the Fall of 2013, and received LEED Platinum certification in the Spring/Summer of 2014. <http://www.esf.edu/sustainability/gatewaybuilding.pdf>

Also, Centennial Hall residences were certified LEED Gold. It was first opened in Fall 2011. Its new Extension opened in the Fall of 2014. "
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:55,Beth.Klein@cortland.edu,2.0,Pursuing,**,True,--,--,--,--,SUNY Cortland has governing policies which require all renovated facilities to be LEED-NC Silver certifiable and all NEW facilities to be LEED-NC silver certified buildings.  ,657733.0,**,--,--,147000.0,64665.0,**,--,--,--,**,--,--,--,--,--,--,--,554241.0,http://stars.aashe.org/media/secure/315/6/475/2712/2-27-13%20Memo%20re%20EO88.pdf,2012-12-28,"SUNY Cortland has a sustainable building operations and maintenance program that is governed by Executive Order 88, issued December 28, 2012.  This order directs all state agencies, which SUNY Cortland is part of the SUNY agency, to reduce overall energy use intensity by 20% by 2020 when compared to the 2010-2011 baseline year.  While the use of a specific Green Building Council rating system is not mandated, SUNY Cortland has adopted a policy of designing to a common standard for ALL renovation projects to be LEED - NC BD+C of LEED Silver and for ALL new construction to be LEED - NC BD+C of LEED Silver or better.  ","Both campus and the State University Construction Fund oversee any construction on the campus and an independent Commissioning Consultant are retained on the larger projects to assure compliance.  The Certificate of Occupancy are held if is not in compliance.

",http://www2.cortland.edu/about/sustainability/About-Sustainability/our-green-campus.dot,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:19,dezarn@geneseo.edu,2.0,Pursuing,**,True,--,--,--,--,https://www.usgreenbuildingcouncil.org/LEED/Project/RegisteredProjectList.aspx?CMSPageID=243&RadGridProjectsChangePage=681,258481.0,**,--,122072.0,52024.0,--,**,--,--,--,**,--,--,--,--,--,--,--,84385.0,http://stars.aashe.org/media/secure/264/6/475/2712/Silver%20LEED%20Rating%20in%20Capital%20Construction.pdf,2007-10-26,"-SUNY Geneseo Monroe Hall
-SUNY Geneseo Letchworth Dining Hall Rennovations
-SUNY Geneseo Doty Hall Renovations
-SUNY Geneseo Bailey Hall Renovations


https://www.usgreenbuildingcouncil.org/LEED/Project/RegisteredProjectList.aspx?CMSPageID=243&RadGridProjectsChangePage=681

http://www.geneseo.edu/node/6545",Geneseo fulfilled this part of the Climate Action Commitment by establishing a policy that all new campus construction will be built to at least the equivalent of the U.S. Green Building Council’s LEED Silver standard.,http://www.geneseo.edu/facplan,"Dave Norton,George Stooks"
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:15,mittenl@newpaltz.edu,2.0,Pursuing,**,True,--,--,--,--,"SUNY New Paltz uses the US Green Building Council's LEED Rating System for new construction and major renovation projects.  The following new construction and major renovation projects have been completed in the past 5 years:
Old Main - LEED Silver - 88,670 SF - Completed Spring 2012
Crispell Hall - LEED Gold - 56,394 SF - Completed Summer 2010
Student Union Atrium Addition - ~15,000 SF - Completed Summer 2010
Student Union Renovation - ~12,000 SF - Completed Summer 2010

For information about the LEED-inspired features of the Student Union renovation and expansion project, visit this website:
http://sites.newpaltz.edu/sustainability/topic-areas/leed-buildings/atrium/
",172064.0,**,--,88670.0,56394.0,--,**,--,--,--,**,--,--,--,--,--,--,--,27000.0,http://stars.aashe.org/media/secure/776/6/475/2712/Memo%20on%20Student%20Union%20Renovation%20and%20Atrium%20Expansion%20Sustainable%20Design%20Guide,2009-08-26,"On August 26, 2009, Article 4-C of New York State's Public Buildings Law was passed mandating that the construction and substantial renovation of state buildings comply with “green” building standards. The New York State Office of General Services (OGS) is obligated to promulgate rules and regulations establishing the construction requirements and procedures necessary to implement Article 4-C. While the Act took effect immediately, the agency green building construction requirements took effect on August 26, 2010. http://www.ogs.ny.gov/EO/GBCA/Default.asp
The State University Construction Fund (SUCF) manages the majority of non-residential major construction and renovation projects on campus.  SUCF Directive I1B issued in December 2013 includes the following LEED requirements:
a) Design and construct the project to comply with the criteria for a Silver rating per the USGBC LEED for Building Design and Construction (BD+C) rating system. At the request of the SUCF a higher rating of Gold or Platinum may be required.
b) Register the project with USGBC, and allow the SUCF and the Campus access.
c) Certification of the project by USGBC may be required and will be decided by the SUCF based on the request of the Campus. http://www.sucf.suny.edu/pdf/dir/1B-7.pdf
The Dormitory Authority of the State of New York (DASNY) manages all major renovation and new construction residence hall projects.  DASNY promotes and supports sustainable design approaches and construction practices.  Initial programming meetings for every project shall define specific sustainable goals which will be included in all discussions, including those determining budget and scheduling.  In addition, as of January 1, 2008, all projects that are new construction, addition, or significant renovation shall include a goal of LEED Silver and shall be fully submitted to the US Green Building Council (USGBC) for a rating review. http://www.dasny.org/About/DASNYProfessionalExpertise/Sustainability/GreenPolicyforConstruction.aspx","Since the green building construction requirements took effect on August 26, 2010, all projects led by the SUCF and DASNY that have entered design following that date have registered as LEED projects.  All SUCF and DASNY projects are expected to be designed at minimum to LEED Silver standards.

Please note that the Sojourner Truth Library Renovation project design began prior to August 26, 2010 and was not registered as a LEED project.  Due to the limited scope of the STL renovation, it did not qualify under the LEED 2009 New Construction and Major Renovations program.  STL is a partial building renovations and includes limited HVAC upgrades.  Learn more about the LEED-inspired features of the STL building renovation at this website: http://sites.newpaltz.edu/sustainability/topic-areas/leed-buildings/sojourner-truth-library/",http://sites.newpaltz.edu/sustainability/topic-areas/leed-buildings/,"SUNY New Paltz has several LEED-registered major renovation and new construction projects that are under construction and/or are in the process of becoming certified:
- Ridgeview Hall
- LeFevre Hall
- Wooster Building
- New Science Building
All of these projects have a LEED target of Silver or Gold."
Sterling College,2016-01-28,2016-01-28 10:04:15,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,**,--,--,--,--,--,,57076.0,**,--,--,--,--,**,--,--,--,**,--,--,--,--,--,--,--,57076.0,http://stars.aashe.org/media/secure/761/6/475/2712/Building%20Operations%20Program.docx,1990-08-01,"As with building operations and maintenance, Sterling College believes in obtaining and renovating structures and maintaining the energy and value contained within them. As environmental stewards, Sterling believes that renovated structures and building very few new structures with only locally harvested materials is more beneficial to the environment and community than obtaining third party verification and certification. 

Sterling College has committed to this practices in it's strategic plan. Included below are statements from the 2013-2018 Strategic Plan:

""Sterling College will have well-maintained facilities appropriate to the aspirations of our community, our curriculum, and our values including environmental stewardship. To sustain such a campus will require that the College develop adequate funds to maintain and repair its facilities, equipment, tools, and other physical resources. The campus will be integrated into the community of Craftsbury Common and will present an appealing appearance to our neighbors with whom we will seek to share our resources.

Specifically, the College will endeavor to reduce its reliance on fossil fuels and will commit to increasingly live by its commitment to environmental stewardship.

Goal: To restore and renovate the campus so that all buildings are efficient and attractive and serve the needs of the community and a population of approximately 120 students.""","As with building operations and maintenance, Sterling College's governance mostly purchases used buildings and renovates them. When new buildings are constructed, materials are harvested on site and planned so that the least amount of non-local resources are used as possible. ",--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:08,gotham360@stevens.edu,2.0,Not Applicable,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:33:00,macadwel@syr.edu,2.0,Pursuing,**,True,--,--,--,--,"Ernie Davis Hall 
Center of Excellence 
Carmelo K. Anthony Center 
Green Data Center - 
Bowne Hall
Lawrinson Hall
Dineen Hall",612466.0,**,437430.0,--,125047.0,49989.0,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,http://supolicies.syr.edu/facilities/leed.htm,--
Temple University,2016-02-09,2016-02-09 14:47:10,kathleen.grady@temple.edu,2.0,Pursuing,**,True,--,--,--,--,"As of FY 15, the following building are LEED Certified: MERB 8th and 9th floor (LEED CI) and Architecture Building (LEED NC). The following buildings are registered LEED projects and are pending review by USGBC: Morgan Hall, Montgomery Avenue Parking Structure and the Science Education Research Center.",588261.0,**,538261.0,50000.0,--,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"The aforementioned building projects have been submitted to the USGBC for LEED certification. The USGBC provides for an independent, third party verification of green building design and construction guidelines and policies.",http://sustainability.temple.edu/temples-green-buildings,--
Texas A&M University,2016-01-15,2016-01-15 14:24:50,kwellman@tamu.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED: Interdisciplinary Life Sciences Building (ILSB) – LEED Gold Certified, Mitchell Physics Building – LEED Silver Certified, Emerging Technologies Building (ETB) – LEED Silver Certified, Agricultural Headquarters Building - LEED Silver Certified, Memorial Student Center – Designed to LEED Silver, YMCA - Designed to LEED Silver, Texas A&M Transportation Institute – LEED Gold Certified, Cox-McFerrin Center For Aggie Basketball – Designed to LEED Gold",3080386.0,**,113000.0,88853.0,512154.0,--,**,--,--,--,**,--,--,--,--,--,--,--,1912418.0,http://stars.aashe.org/media/secure/287/6/475/2712/Facility%20Design%20Guidelines.pdf,2011-11-30,"The Facility Design Guidelines (FDG) pdf at the bottom of the page of the provided website (http://www.tamus.edu/offices/fpc/forms/) indicates that ""All buildings shall be designed to achieve LEED 2009 Silver requirements."" You can find this on Section A- Page 6 of 24 under Environmental Practices, Sustainable Design.

","The University Council for the Built Environment (CBE) provides recommendations to the President on all aspects of the campus built environment. To support the Council, there are four sub-councils, one of which is the Design Review Sub-Council (DRSC). During the review process, the DRSC reviews all building projects against a design checklist which one aspect ensures compliance that all new buildings must be designed to LEED Silver standards. Specifically, the Texas A&M University requirements are found under:  PLANNING REQUIREMENTS: Sustainability, Accessibility & Net-To-Gross Ratio, section B2.  The checklist can be found at: http://cbe.tamu.edu/Data/Sites/1/allouruploads/DRSCMaterial/designchecklistfornewbuildingsoct2010.pdf  ",http://www.tamus.edu/offices/fpc/forms/,"Information for this section was supplied by SSC Service Solutions, a third-party contractor for Texas A&M Buildings Maintenance."
Texas Tech University,2016-03-25,2016-03-25 15:46:48,carey.hewett@ttu.edu,2.0,Pursuing,**,True,--,--,--,--,"Certified LEED Buildings: 
Rawls College of Business - Gold
J.T. & Margaret Talkington Residence Hall - Certified
Petroleum Engineering - Certified

Buildings in the Certification Process:
West Village
Research Park",859767.462,**,213571.68,--,147905.9,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,LEED guidelines are integrated into the design criteria for remodels and new construction.,http://www.depts.ttu.edu/BMC/index.php,--
The Ohio State University,2016-01-26,2016-01-26 15:46:49,dial.15@osu.edu,2.0,Pursuing,**,True,--,--,--,--,"Biomedical Research Tower
East Regional Chilled Water Plant
Indoor Golf Practice Facility
Schottenstein Center Basketball Practice Facility
Hopkins and Hayes Hall
Mason Hall
Rhodes Hall Main Kitchen
Gowdy Fields
South Campus Central Chiller
Residence on 10th
Prior Health Sciences Library
South High-Rise
James Cancer Hospital and Solove Research Institute",1937489.0,**,350684.0,473300.0,1113505.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,http://busfin.osu.edu/FileStore/PDFs/310_InterimGreenBuildandEnergy.pdf,--
Tufts University,2016-02-25,2016-02-25 15:40:24,tina.woolston@tufts.edu,2.0,Pursuing,**,True,--,--,--,--,"Sophia Gordon Residence Hall - LEED-NC v2.1 (Gold)
TUSDM Vertical Expansion - LEED-NC v2.2 (Silver)
TUSDM Level 2 Renovation - LEED-CI v2009 (Gold)
Biology Department Collaborative Cluster - LEED-CI v2009 (Gold)
Tufts University Sackler Center - LEED-CI v2.0 (Certified)
574 Boston Avenue Redevelopment - LEED-NC v2009	(In process)
HP Science and Engineering Complex - LEED-NC v2009 (In process)
",750000.0,**,136192.0,330486.0,20000.0,--,**,--,--,--,**,--,--,--,--,--,--,--,79000.0,http://stars.aashe.org/media/secure/127/6/475/2712/Tufts%20Guidelines%20Updated%20pre-final%20draft_18July2014.pdf,2014-07-30,"To date, these are about the capital project delivery process. They are in the process of being developed and implemented. A draft is attached. They include, among other things, stating goals for sustainability from the outset, in the procurement process; having a collaborative process; life cycle costing; doing an energy/carbon budget; collecting energy and greenhouse gas data in the planning phase.",Still in the process of being adopted. The July 2014 version is still a draft.,http://sustainability.tufts.edu/leed-certified-buildings/,"June 10, 2015
19,000 sf = Central Energy Plant was added to the space that is being (in process) designed and constructed in accordance with green building policies. Therefore the 19,000 + 60,220 from Tisch and 520 Boston Ave. = 79,000 in the ""Floor area of building space that was designed and constructed in accordance with green building policies or guidelines but NOT certified"" field.

60,220.0 SF = floor area of building space that was designed and constructed in accordance with green building policies or guidelines, but NOT certified.

Steve Tisch Sports and Fitness Center, built in 2012. LEED checklist maintained throughout
Facilities Services, 520 Boston Avenue, renovated in 2011, energy efficiency and reuse of existing materials featured.

The design team was instructed to maintain a LEED checklist throughout design and construction.  

"
Tulane University,2016-02-04,2016-02-04 11:03:53,ldavey@tulane.edu,2.0,Pursuing,**,True,--,--,--,--,"Tulane's ""Green Building Design and Construction Standards & Guidelines,"" which includes a goal of achieving the U.S. Green Building Council's LEED certification at a Silver level for all major construction and renovation projects, is posted at http://tulane.edu/oua/policies-and-plans.cfm",476712.0,**,--,25525.0,327683.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,,--,--
Unity College,2016-03-25,2016-03-25 15:24:10,JdeHart@unity.edu,2.0,Pursuing,**,True,--,--,--,True,LEED and the European Passive House Standard,40500.0,**,--,--,--,1937.0,**,--,--,--,**,--,--,--,--,--,--,2200.0,36300.0,http://stars.aashe.org/media/secure/98/6/475/2712/Strategic%20Plan%20Goal%204_1.docx,2014-02-10,"The campus strategic plan calls for net zero carbon by 2020 and the energy plan has criteria and strategies to meet the criteria and deadline, including a building energy bid checklist for contractors and architects","The College's administration and the Planning Committee of the Board of Trustees takes sustainability in campus planning seriously and has emphasized green building practices in the campus Master Plan adopted in 2014.

The chief sustainability officer is a member of Senior Staff and the budget committee to ensure sustainability implications are considered in any major building or renovation project.The chief officer is also a LEED AP.",http://www.unity.edu/about_unity/sustainability,--
University at Albany,2016-02-23,2016-02-23 17:54:08,mmallia@albany.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED Rating System 
NC v2.1	Husted Building Rehabilitation	 - Silver certification, 44,336	SF	
NC v2.2	SUNY Albany Liberty Terrace - Gold certification, 191,468 SF	
NC v2.2	UAlbany New School of Business Building - Gold certification, 105,449 SF
NC v2.2	University Data Center -	Gold certification, 42,742 SF
NC v2009	SUNY Albany Service Building A/Annex - Silver certification, 22,400 SF
NC v2009	SUNY University at Albany Mohawk Tower, awaiting Gold, 102,760 SF
NC v 2.2   SUNY RNA Institute Life Science building - Silver Certification, 12,908 SF
",522063.0,**,--,79644.0,442419.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,All new construction and major renovation projects on Campus must meet the UAlbany High Performance Design Guidelines found at http://www.albany.edu/facilities/energy/documents/UA-MinEESustainabilityGoals.pdf. ,"The UA High Performance Guidelines are shared with design team early in the process. Each phase of design is reviewed by University personnel to ensure compliance with guidelines. Submittals, change orders and substitution requests are reviewed by University personnel during construction to ensure changes do not adversely impact compliance. ",http://www.albany.edu/facilities/energy/documents/UA-MinEESustainabilityGoals.pdf,--
University at Buffalo,2016-01-19,2016-01-19 10:15:44,jlk47@buffalo.edu,2.0,Pursuing,**,True,--,--,--,--,"University at Buffalo utilizes the LEED Rating System, a product of the USGBC. Qualifying buildings during the reporting period include; Arthur Eve Equal Opportunity Center, Greiner Hall, Davis Hall, Crossroads Culinary Center, Clinical Translational Research Center ",706646.0,**,--,25000.0,681646.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"The University at Buffalo Comprehensive Physical Plan has set LEED Gold as the floor of new building construction.  In addition, the UB Senior leadership has committed that all new University at Buffalo buildings will be certified at minimum to  LEED Gold under the LEED Rating System.",http://buffalo.edu/sustainability,--
University of Arizona,2016-03-25,2016-03-25 15:31:06,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"This response is an update in spring 2015 of data through the end of 2014, with data from UA Planning, Design, and Construction department.  Information is still being compiled regarding 2015 and early 2016 building projects."
University of British Columbia,2016-02-22,2016-02-22 18:18:31,charlene.ponto@ubc.ca,2.0,Pursuing,**,True,--,--,--,--,"UBC has five buildings that have been constructed and occupied  in the last five years  and are LEED certified: Bioenergy Research and Demonstration Facility (Gold), Biological Sciences Complex- Renew (Gold), Buchanan Complex-Renew (Gold), Centre for Interactive Research on Sustainability (Platinum) and Earth Science Building (Gold). 

One building, Ponderosa Phase 1, is registered for LEED certification but is not yet certified, and consequently has been omitted from the calculations since construction was completed less than 2 years ago (as per the definition of Eligible Building Space). 

Two buildings, Allard Hall and Pharmaceutical Sciences, have been constructed and occupied in the last five years and are targeting LEED Gold (certification pending) and since construction was completed more than 2 years ago are included in the not certified floor area.
",2489177.0,**,--,--,500372.0,61063.0,**,--,--,--,**,--,--,--,--,--,--,--,1927742.0,http://stars.aashe.org/media/secure/29/6/475/2712/UBCLEEDImplementationGuideline_20130424.pdf,2012-03-01,"INSTITUTIONAL CONSTRUCTION:

TECHNICAL GUIDELINES
http://technicalguidelines.ubc.ca/technical/sustainability.html
UBC started incorporating green building requirements into its Technical Guidelines, which are mandatory for all institutional new construction and major renovations, in 2002. The Guidelines are improved for sustainable design annually. 

LEED IMPLEMENTATION GUIDE
http://sustain.ubc.ca/sites/sustain.ubc.ca/files/uploads/CampusSustainability/CS_PDFs/GreenBuildings/UBCLEEDImplementationGuideline_20130424.pdf
Since 2008, the Province of BC has required all public sector new construction and major renovations to be certified LEED Gold. In 2013 UBC developed a LEED Implementation Guide which aims to help project teams achieve certification on campus and mandates certain LEED credits that align well with UBC policy. One of the most important mandatory LEED credits is achieving a minimum energy performance threshold (42% below Canada's Model National Energy Code for Buildings). 

UBC SUSTAINABILITY PROCESS
http://sustain.ubc.ca/sites/sustain.ubc.ca/files/uploads/CampusSustainability/CS_PDFs/GreenBuildings/Green-building_Enhanced-sustainability-process_Jan2015.pdf
To encourage sustainable and integrated green building design, UBC requires that design teams follow the UBC Sustainability Process for major academic projects.  Key aspects of the process are the development of project social, economic and environmental sustainability goals with stakeholders (including an energy use intensity target).  UBC also holds a series of sustainability workshops for each project to ensure the sustainability goals are fully explored in the building design.

RESIDENTIAL CONSTRUCTION:

RESIDENTIAL ENVIRONMENTAL ASSESSMENT PROGRAM (REAP)
http://sustain.ubc.ca/campus-initiatives/green-buildings/reap
UBC created its own Residential Environmental Assessment Program (REAP) in 2006. REAP is a green building rating system that is mandatory for all multifamily units built in the neighbourhoods at UBC. 
","UBC is the owner, developer and regulator for buildings on campus and uses this unique circumstance to help ensure compliance with green building design and construction guidelines. The department of Sustainability and Engineering (Campus + Community Planning) provides clearance prior to the issuance of each development, building or occupancy permit, providing check-in points to ensure compliance with green building standards. 

The Development Review Committee meets with the project developers and designers prior to the project’s development permit submission to help them understand the green building policies in place and the specific requirements in effect for each project.
",http://sustain.ubc.ca/campus-initiatives/green-buildings,"UBC completed construction or underwent major renovations of 16 buildings totaling 2,489,177 square feet during the previous 5 years (2010-2014). Five of these buildings have been LEED certified and are included in the certified floor space total.  Three more buildings are LEED registered and pending certification.

In total, UBC has 10 LEED certified buildings, constructed between 2004-2014. An additional 8 buildings are LEED registered and under construction, expected to be complete between 2015 and 2017. These buildings are all targeting LEED Gold or Platinum. 

UBC’s Green Building Directory is available online at: http://sustain.ubc.ca/campus-initiatives/buildings/green-building-directory.
"
"University of California, Berkeley",2016-03-23,2016-03-23 14:25:15,lmcneilly@berkeley.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED certifications completed within last five years (2010-2015)			
Campbell Hall Replacement			
Anna Head West Student Housing/Martinez Commons			
Energy Biosciences Institute Building 				
Clark Kerr Campus (CKC) Phase I			
Clark Kerr Campus (CKC) Phase 2			
Morgan Hall Laboratory renovation			
Durant Hall Renovation			
Blum Hall/Naval Architecture			
School of Law Renovations			
Li Ka Shing Biomedical Building			
Pat Brown's Grill Renovation			
School of Law Addition			
California Memorial Stadium Renovation			
	
",1141157.0,**,--,279891.0,861266.0,--,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,,"For all major projects, the green building design and construction requirements are posted in the department’s construction and contract requirements website and incorporated into design and construction and contract documents, see below. Regular sustainability meetings/charettes with the entire project team and campus staff are held during project design phases.",http://sustainability.berkeley.edu/built-environment,--
"University of California, Davis",2016-03-28,2016-03-28 16:30:34,cmkirk@ucdavis.edu,2.0,Pursuing,**,True,--,--,--,--,"LEED Platinum
Gallagher Hall/Conference Center
RMI Brewery, Winery, and Food Pilot Facility
Segundo Services Center
Student Community Center
Tercero Student Housing Phase 3
Veterinary Medicine Instructional Facility
 
LEED Gold
King Hall Expansion
Student Health and Wellness Center
Tercero Student Housing Phase 2 (Wall, Campbell, and Potter Halls)
Cuarto Dining Commons Renovation
Coffee House Renovation
Robbins Hall Renovations Phase I

The following projects have been constructed or renovated recently and are still pursuing certification. These projects are not included in the eligible building space for this credit, per Technical Manual guidance. 
Veterinary Medicine 3B
Jess S. Jackson Sustainable Winery
 
Additional LEED Platinum buildings that are older than the period covered in this credit (2010-2014) are:
Tahoe Environmental Research Center",974917.0,**,--,--,339053.0,540710.0,**,--,--,--,**,--,--,--,--,--,--,--,--,,--,"The following projects have been constructed or renovated recently and are still pursuing LEED certification. These projects are not included in the eligible building space for this credit, per Technical Manual guidance.

Veterinary Medicine 3B
Jess S. Jackson Sustainable Winery

Additional LEED Platinum buildings that are older than the three year period covered in this credit (September 2009-2012) are:
Tahoe Environmental Research Center
Gladys Valley Hall","Projects are required to meet rigorous campus standards for new construction, such as exceeding energy efficiency standards of California Energy Code (Title 24) by at least 20 percent, striving for 30 percent or more.",http://sustainability.ucdavis.edu/progress/commitment/index.html,UC Davis has posted information about our green buildings at: http://sustainability.ucdavis.edu/progress/buildings/index.html
"University of California, Irvine",2016-03-23,2016-03-23 10:31:49,khaq@uci.edu,2.0,Pursuing,**,True,--,--,--,--,"UC Irvine participates in the Leadership in Energy and Environmental Design (LEED) certification program of the U.S. Green Building Council. The following buildings have been certified between 2007 and 2015:

LEED PLATINUM (New Construction)
1. Alumni Center (2015)
2. Contemporary Arts Center (2014)
3. Social & Behavioral Sciences Gateway (2013)
4. Biological Sciences III (2013)
5. Verano Place Infant Toddler Center (2013)
6. Verano Place student housing complex – Cedar Unit (2013)
7. Verano Place student housing complex – Aspen unit (2013)
8. Verano Place student housing complex – Poplar unit (2013)
9. Verano Place student housing complex – Alder unit (2013)
10. Engineering Hall (2012)
11. Medical Education Building (2012)
12. Sue & Bill Gross Hall – A CIRM Institute (2011)
13. Humanities Gateway (2011)

LEED GOLD (New Construction)
1. Clinical Laboratory Building at UC Irvine Medical Center (2011)
2. Puerta del Sol student housing complex* (2011)
3. Camino del Sol student housing complex* (2011)
4. Anteater Recreation Center expansion (2009)
5. Donald Bren Hall (2009)
6. Student Center expansion (2009)
7. Anteater Instruction and Research Building (2008)
8. Palo Verde student housing complex expansion (2007)

* Privately owned and managed by American Campus Communities (not included in eligible building space but built to LEED specifications in accordance with campus requirements)",1361843.0,**,--,--,380313.0,981530.0,**,--,--,--,**,--,--,--,--,--,--,--,--,http://stars.aashe.org/media/secure/446/6/475/2712/UC-CR-15-0270_SustainablePractices.pdf,2004-07-01,"Green building at UC Irvine is guided by the UC Sustainable Practices Policy. The Policy requires new building projects to achieve a minimum of LEED 'Silver' certification through the USGBC LEED program.  All UC Irvine buildings completed within the scope of this policy have well exceeded these requirements with the most recent 13 buildings completed achieving LEED 'Platinum' certification. 

","UC Irvine uses a systems approach to green building design which involves a partnership and collaboration between the UCI Offices of Design and Construction Services, Environmental Planning & Sustainability, and the project design/build team.  Green building guidelines, policies and objectives are identified at project inception and tracked throughout project implementation and certification by the project team.  ",http://policy.ucop.edu/doc/3100155/Sustainable%20Practices,"UC Irvine is a national leader in green building design and implementation with 13 LEED NC Platinum Buildings and 8 LEED NC Gold Buildings currently on campus totaling more than 2,920,981 gross square feet of building space.  UCI worked collaboratively with the US Green Building Council over the last decade to develop a campuswide systems approach to green building certification and that general model has contributed to the successful certification of this large portfolio of green buildings. "
