Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Has the institution conducted an employee satisfaction and engagement survey or other evaluation ...,"The percentage of employees (staff and faculty) assessed, directly or by representative sample",A brief description of the institution’s methodology for evaluating employee satisfaction and ...,A brief description of the mechanism(s) by which the institution addresses issues raised by the ...,The year the employee satisfaction and engagement evaluation was last administered,The website URL where information about the institution’s employee satisfaction and engagement ...,Public Notes
Rice University,2016-03-25,2016-03-25 16:32:22,rrj@rice.edu,2.0,Pursuing,True,100.0,"Rice participates in the Houston Business Journal’s annual survey that asks questions evaluating a variety of workplace topics, including teamwork, retention risk, alignment with goals, trust with co-workers, individual contribution, manager effectiveness, trust in senior leaders, feeling valued, job satisfaction and benefits. The assessment is completely anonymous, but Rice’s Human Resources Department receives a summary of the results, including comments.

Employees can also provide feedback about working at Rice during two town hall meetings hosted each year by the president of the university. They are welcome to submit questions prior to or during these meetings.","Rice analyzes the data and responds as necessary.  For example, the Human Resources department developed a management development plan called TEAMS (Training Enables a Manager's Success), which is designed to promote and encourage leadership and development.  TEAMS consists of both operational and leadership-focused sessions with engaged coaching and mentoring to participants by their supervisors and other leaders at the university. The program’s inception was in response to survey results.   ",2014.0,--,"We reach out to all faculty and staff and encourage them to participate in the Houston Business Journal’s Best Places To Work survey administered by Quantum Workplace Inc.  For 2014, 14.9 percent of faculty and staff participated in the survey.

The results for 2014 have not yet been publicly announced, but Rice has been informed that we will be named a Best Place to Work in Houston for the 9th year in a row. "
Rochester Institute of Technology,2016-03-25,2016-03-25 15:53:21,elcpro@rit.edu,2.0,In Progress,--,--,--,--,--,--,"Background and results from the 2009-2010 employee survey can be found at:

https://www.rit.edu/president/protected/2009EmployeeSatisfactionSurveySummary.pdf 
"
Saint Louis University,2016-03-24,2016-03-24 17:17:18,bverhof1@slu.edu,2.0,Pursuing,True,45.0,The methodology for the University climate survey was based on recommendation from a third party professional organizational and effectiveness consultant.,"The results of the Climate Survey was shared with the University in several campus open forums which were facilitated by the third party consulting agency.  Following the open forums, the climate assessment taskforce facilitated focus groups to dig deeper into the areas for improvement.  Each Vice President is working with the taskforce to develop action plans to address concerns or opportunities in their division.",2014.0,https://sites.google.com/a/slu.edu/university-climate-survey/home?pli=1,--
San Francisco State University,2016-03-25,2016-03-25 17:34:06,kordesch@sfsu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:46,lkalkbrenner@scu.edu,2.0,In Progress,--,--,--,--,--,--,--
Seattle University,2016-03-23,2016-03-23 11:53:20,thompson@seattleu.edu,2.0,Pursuing,True,100.0,"The university appointed the Climate Study Working Group (CSWG) in 2014. The CSWG was comprised of faculty, staff, students, and administrators. Seattle University contracted with Rankin & Associates Consulting (R&A) to conduct a campus-wide study entitled, “Seattle University Assessment for Learning, Living, and Working.” Data gathering focused on the experiences and perceptions of various constituent groups. 

In September 2015, the University published the results of the 2015 academic year's Campus Climate Report. Seattle University community members completed 2,634 surveys for an overall response rate of 29%. Only surveys that were at least 50% completed were included in the final data set for analyses. Response rates by constituent group varied: 24% (n = 1,081) for Undergraduate Students, 18% (n = 362) for Graduate Students, 36% (n = 285) for Law Students, 49% (n = 566) for Staff/Administrators, and 46% (n = 340) for Faculty.

The findings of this survey were published in the 2015 Campus Climate Final Report. https://www.seattleu.edu/survey/","As a response to the results of the findings depicted in the Campus Climate Final Report, the University's Task Force on Diversity and Inclusive Excellence identified six goals, each supported by several initiatives, that will propel the university’s commitment to equity, access, and community:

1. Realize an organizational infrastructure that embeds inclusive excellence in all aspects of the Seattle University experience
2. Integrate inclusive excellence across curricular and co-curricular offerings
3. Build and sustain the capacity of students, staff, and faculty to engage, teach, and lead through an inclusive excellence lens
4. Meet the challenges and opportunities of recruiting and graduating a diverse student body
5. Meet the challenges and opportunities of recruiting and retaining talented faculty and staff
6. Maximize the university’s capacity for social change in the local community",2015.0,https://www.seattleu.edu/diversity/Survey/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:38,mpate@sewanee.edu,2.0,Pursuing,True,100.0,"The Employee Advisory Committee sends out an annual email survey asking various questions regarding employee satisfaction, workplace satisfaction, etc. These surveys can be done either online (confidentially) or on a paper survey conducted at the school's dining hall. ","Although the specific issues that have been raised from surveying is confidential, the Employee Advisory Committee takes the information obtained from the survey to the Board of Trustees to use in decision making for the University. ",2015.0,--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:18,andre.plante@sheridancollege.ca,2.0,Pursuing,True,12.0,"While Sheridan College does not provide employee with and annual survey, it launched in 2011 a project called ""Development of the Sheridan People Plan - Employee Survey Work phase.""

As part of this project, over 300 employees of Sheridan, across all employee types, had the opportunity to attend focus groups to provide input on current state and desired state programs and practices that impact their employment relationship. A further 100 employees had a similar opportunity in a second phase of the project. This data will inform the outcome of the report and future work that will be done at the college.

Subject to this information, the Sheridan People Plan was launched in 2012 which includes plans for an employee engagement strategy. As such, the 2015/16 approved business plan for Sheridan College includes funding for an employee engagement survey and follow up process. The Sheridan leadership institute will also provide training to leaders in how to effectively debrief results of the employee survey and build a collaborative practice of workplace improvement processes.","The priorities identified in the People Plan are reviewed by the People Plan Engagement Team. The Team is working on the following objectives:
- Communication and transformational change
- Total rewards review
- Management development
- Leadership effectiveness",2012.0,http://journey.sheridancollege.ca/?p=teamspage_people_plan,"About 12% of employees were represented by the sample based on 400 out of 3,319 employees (headcount of full-time and part-time faculty and staff)."
Simon Fraser University,2016-02-08,2016-02-08 23:41:46,erica_lay@sfu.ca,2.0,Not Pursuing,--,--,--,--,--,--,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:57,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,"The University participates annually in The Chronicle of Higher Education’s Best Places to Work For employee survey. Data from this survey is used by Human Resources and other groups to develop programs, activities and services that address areas of concern. For the past three years, SRU has been named to the Chronicle’s Best Places to Work listing based upon employee feedback. In addition to the national survey, the University also participates in a regional survey conducted on behalf of the Pittsburgh Post Gazette by a third party research firm. This regional survey also measures employee satisfaction and is used to identify organizations in western Pennsylvania that employees consider “great places to work.”"
Smith College,2016-03-23,2016-03-23 08:29:54,dweisbor@smith.edu,2.0,Pursuing,--,--,,,--,--,--
Southern Connecticut State University,2016-03-24,2016-03-24 14:21:13,huminskis1@southernct.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:31,glkurtzhals@siu.edu,2.0,In Progress,--,--,--,--,--,--,--
Southern Oregon University,2016-03-23,2016-03-23 15:39:14,beigelcod@sou.edu,2.0,In Progress,--,--,--,--,--,--,--
Spelman College,2016-02-15,2016-02-15 08:21:33,aefrazier@spelman.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
St. John's University,2016-03-02,2016-03-02 16:31:43,goldsmit@stjohns.edu,2.0,Pursuing,True,36.0,St. John's University Human Resources Department and Office of Institutional Research is committed to helping the University's leaders better manage the performance of their employees and improve leadership effectiveness. These departments collect data about the experiences of employees and uses results to better the academic environment as a whole.,"Use of the HERI Faculty Survey.  Information about the past HERI Faculty Surveyscame be found via: http://www.stjohns.edu/about/administrative-offices/institutional-research/heri-faculty-survey.
The results of the most recent survey can be found at : http://www.stjohns.edu/sites/default/files/documents/ir/surveys/heri_faculty_suvey_2014_report05_0.pdf",2014.0,http://www.stjohns.edu/sites/default/files/documents/ir/surveys/heri_faculty_suvey_2014_report05_0.pdf,* All full-time and part-time employees were invited to take the survey and were sent the survey.  Only 36% of the faculty participated.
Stanford University,2016-03-23,2016-03-23 01:13:01,mbhafer@stanford.edu,2.0,Pursuing,True,100.0,"The last broad employee satisfaction and engagement survey was done in 2010. Random sampling surveying was done in 2013 and will be done in 2014 as part of the university’s application to workplace awards processes. Another university-wide employee survey is scheduled to be conducted in 2015; all results from that survey will be shared with the university’s highest levels of leadership and individual managers with five or more responses from their employees will receive a report and be expected to conduct action planning to identify actionable items that would improve employee satisfaction or engagement in their areas.

In 2013, however, the university participated in several workplace award processes that included a random sampling of employees for an online satisfaction survey. The awards were: Fortune 100 and the Chronicle of Higher Education. In both cases, results were shared with the President, Provost, and their direct reports. Because those surveys were a random sampling only, managers did not receive reports or conduct action planning. The results, though, have been used in strategic planning by the Vice President for Human Resources when identifying programs, services and institutional priorities for Stanford’s workforce.

For university-wide surveying, a vendor is hired to customize and administer the survey. Employee email addresses and organization hierarchy (needed for accurate reporting) is given to the vendor to load into their system. Broad communication is conducted from University Human Resources (UHR) to alert employees to the email they should have received that includes a link to the survey. The key point of contact for UHR is each school or unit’s HR manager, who supports the effort with local communication.

Planning is already underway for the 2015 university-wide employee survey, to ensure its success, and starts with a Request for Proposal to qualified vendors, with a Steering Committee evaluating proposals to select the most qualified vendor.

Once the survey period has closed, the vendor generates reports for managers with five or more responses, and for the leaders in each school/unit, and then an aggregate summary of results for university leaders. Debriefings are held with school/unit leaders as well as university leaders.  Then, the VP for Human Resources has a separate meeting with university leaders to discuss the results and identify actionable items.
","Depending on the nature of the issue that is raised, various leaders may be involved; for example, the Faculty Affairs office might be involved to address an issue raised by faculty who responded, where University Human Resources would be involved to address an issue for staff.

In the 2010 survey process, one of the lowest rated categories was Feedback and Coaching, which garnered a 53% satisfaction level. As a result of that finding, the President and Provost funded two large scale initiatives:

1.	An initiative to develop a comprehensive “Manager Academy” for all managers that would include training to develop skills in providing feedback and coaching for managers and their staff.

2.	A pilot program was initiated to form a cohesive performance management approach at Stanford. The goal is to simplify the process and provide tools and the business process that facilitates managers’ ability to give meaningful and constructive feedback to staff, as well as to coach them to develop further. In addition, tools for employees to support their communication with their managers are included. This pilot, called Performance Management @ Stanford, now includes close to 3,000 employees and is scheduled to be launched in the remaining schools and units within the next four years, culminating in adoption by all schools and units. 

For both of these university-wide initiatives, UHR was responsible to plan, develop, implement, and measure effectiveness after university leaders approved funding. Leaders will be looking at the next set of survey results to identify if improvements have been made in the area of feedback and coaching.

At the local level, managers who receive individual reports are responsible to have discussions with their staff to share the results, and to collectively brainstorm options to make improvements in areas that are weak, and to identify how to maintain or further excel in areas rated highly. Each school or unit is responsible to identify the mechanism by which managers are held accountable for their action planning; typically, this is included in their performance goals for the fiscal year in which the results are shared.

Within the university, the seven schools and 20 academic and administrative units have the discretion to administer local employee satisfaction and engagement surveys as they wish. For example, the Graduate School of Business designed such a survey over 10 years ago, and administers it without fail at the same time each year. The Residential & Dining Enterprises unit administered a survey in fall 2013 and is still working on action planning based on the results. Other schools and units may conduct their own survey processes at any time, with the results used by their Dean, Vice President, Vice Provost, and local managers.
",2013.0,--,"The results of the survey in 2010 were posted online for a year, but that webpage is no longer public. Results from workplace awards processes were not posted online since they were a random sampling of employees. The plan for the results from the 2015 university-wide survey is to post them on the UHR website and broadly share the link to the results throughout the community. "
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:16,malichte@esf.edu,2.0,Pursuing,--,--,,,--,--,ESF will be gauging employee satisfaction in 2016.
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:59,Beth.Klein@cortland.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:59,dezarn@geneseo.edu,2.0,Pursuing,True,17.0,"There is no campus-wide survey but there is an Employee Satisfaction Survey for members of the Facilities Services Department. Each of these employees are represented by CSEA, the group's bargaining local. ",Facilities Services: established work groups by internal departments to work with a facilitator. Work groups developed an action plan currently in implementation phase. Ongoing pulse surveys measuring satisfaction are implemented annually. ,2014.0,https://wikigeneseo.edu/display/ir/higher+education+research+institute+%28herl/%+faculty+survey,--
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:19,mittenl@newpaltz.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Sterling College,2016-01-28,2016-01-28 10:04:20,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,True,44.0,"The faculty, in conjunction with the Board of Trustees, have decided to look at faculty workload and benefits. They have been charged by the Board of Trustees and the President to conduct a study of the workload & compensation of fulltime Sterling College faculty. ","After this survey results are tabulated, the Workload & Compensation Task Force will make recommendations to the President based upon benchmarked goals from a cohort of other colleges that are similar in size and mission. ",2015.0,--,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:46,gotham360@stevens.edu,2.0,In Progress,--,--,--,--,--,--,--
Syracuse University,2016-03-25,2016-03-25 15:33:37,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:14,kathleen.grady@temple.edu,2.0,Pursuing,True,54.0,"Temple University is always interested in the satisfaction and engagement of its faculty and staff.  Periodically, the university surveys its employees to gauge satisfaction level.  In addition, at strategic times, focus groups of specific groups are convened to solicit feedback on a particular issue.  Finally, there is a continual open line of communication within the university that encourages employees to provide their opinions to the appropriate senior leader in schools, colleges and departments.  In 2013, the university completed the Modern Think Great Colleges to Work for Survey, and had a 25% response rate (2400 staff/faculty). In 2014, 54% of staff and full time faculty participated in the Workplace Dynamics Top Workplaces Survey. ","While Human Resources administers the survey, each school, college and department are responsible for following up on the results. ",2014.0,--,--
Texas A&M University,2016-01-15,2016-01-15 14:24:54,kwellman@tamu.edu,2.0,Pursuing,True,100.0,"An Employee Climate Survey was administered in 2012 and 2013. This survey was designed to understand employee attitudes and concerns to help the university partner with employees to install positive changes, as appropriate.  It was conducted in two phases (November 2012 and January 2013). The survey responses were compared to the previous survey conducted in 2009 which assessed employee job attitudes and behaviors.","Emails inviting participation in the survey were sent to 4,746 employees with approximately 80 returned as undeliverable. In total, 1,113 Phase 1 surveys were returned representing a 24% response rate, and 808 Phase 2 surveys were returned representing a 17% response rate. A total of 689 employees responded to both Phase 1 and Phase 2 surveys, representing a 15% response rate with complete data available.

Results are presented at a Presidential Briefing to President Bowen Loftin and distributed to the Office of the Vice President for Diversity, the University Staff Council, and the University Work Life Committee. In 2013, Human Resources partnered with the University Staff council to sponsor the first annual Staff Appreciation Week.  ",2012.0,http://employees.tamu.edu/resources/facts/,--
Texas Tech University,2016-03-25,2016-03-25 15:47:28,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:54,dial.15@osu.edu,2.0,Pursuing,True,100.0,Ohio State’s Office of Institutional Research & Planning conducts a survey of faculty and staff every three years.  The survey is administered to a sample of OSU Hospital staff and a census of all faculty and all non-Hospital staff.  A separate survey is also administered to OSU Hospital staff by the Hospital itself.  Survey results are made available to all administrative units within the university.," Staff from Institutional Research and Planning collaborate with Human Resources leadership to present results to human resource professionals throughout the institution.  Where comparisons with other units on campus show a particular department to be performing below average, Human Resources provides advice and support for improvement. IRP conducts follow up surveys in the off-cycle years to provide targeted information to determine whether strategies implemented are really working.

One example of addressing issues is our current focus on academic advisors.  Survey results confirmed the common belief among advisors that they do not have a career path and that they receive little professional development.  OSU determined that for its upcoming reaffirmation of accreditation, academic advising would be the focus of its Academic Quality Initiative.  Advisors are being trained to use a new software that uses predictive analytics to inform advising, and they are being drawn into more high level conversations about student success.  We are engaging them in a conversation about how the institution can best support their careers in higher education.
",2014.0,https://oaa.osu.edu/irp/culturesurvey/culturesurvey_reports.php,--
Tufts University,2016-02-25,2016-02-25 15:40:28,tina.woolston@tufts.edu,2.0,Pursuing,True,100.0,"An outside consultant was retained to develop a custom survey for the University.  The consultant, an external project manager, the Executive Vice President, and members of Human Resources met with senior leadership to talk about their goals for the survey.  Focus groups, open forums, and various methods of communication were used to customize the survey questions for each school and division to identify University-wide and school/division-specific issues to be addressed in the survey.  Surveys were sent to all employees with a period of time allowed for responding.  Multiple email reminders were sent to potential respondents reminding them to participate.  Overall the University averaged a participation rate of approximately 60%","Survey results were provided in detailed, summary, and executive summary formats for various audiences.  Key areas for improvement were identified based on two tiers: University-wide issues and School-wide issues.  Action planning committees were convened in each school to develop action plans to address issues and further engage employees in improving work culture",2010.0,http://evp.tufts.edu/administrative-initiatives/excellence-at-work/,--
Tulane University,2016-02-04,2016-02-04 11:03:57,ldavey@tulane.edu,2.0,Pursuing,True,100.0,"Tulane has conducted two surveys to gauge employee satisfaction in recent years.  The first was a survey distributed to all benefits eligible staff members in 2012.  The second survey conducted is a survey developed by the Workforce Management organization beginning in 2014 to evaluate how satisfied employees are with the hiring process and onboarding experience after their first 30 and 180 days of employment with the university.

2012 Survey - The university hired an outside consulting agency, the Olinger Group, to conduct the survey. The population for the study was all benefits-eligible staff employees or 3,083 employees. The survey was anonymous and results were compiled by the Olinger Group and reported to Tulane. Approximately 46% of employees completed the survey.

2014 30 & 180 day surveys to new hires - The method used to collect responses was the online survey tool, Qualtrics.  A link to the survey was emailed to staff employees who reached 30 days of employment and 180 days of employment beginning November of 2014. Results are compiled by the Workforce Management Organization. Approximately 37% and 23% of those surveyed completed the 30 & 180 day surveys respectively.
","The mechanisms used to address issues that were identified by the 2012 survey include discussions with our consultants and providers of healthcare benefits to formulate the most effective and cost sustainable solutions for our employees, yearly review and alignment of pay practices with the market, supervisor training on the performance review tool, increased activities to educate staff on their benefits and more opportunities for employees to engage in healthy living at work.

The mechanisms used to address issues that were identified by the 2014 new hire surveys include sharing results with the compensation department who is developing an onboarding checklist to assist managers in providing a more complete and meaningful onboarding process, sharing results with our strategic initiatives department who is using the results to identify possible training opportunities for our employees.  We are also using the feedback to make improvements to our orientation process.
",2014.0,--,--
Unity College,2016-03-25,2016-03-25 15:24:47,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:12,mmallia@albany.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University at Buffalo,2016-01-19,2016-01-19 10:15:49,jlk47@buffalo.edu,2.0,Pursuing,True,100.0,"The survey is administered to faculty/staff and is based on the ModernThink Insight Survey. This is an evaluation tool that has been used with more than 4,000 organizations, in over 55 “Best Place to Work” programs. The survey was created by analyzing and speaking with organizations that have successfully built workplace cultures and improved performance. The survey measures employee engagement and in the organization and therefore the quality of the workplace.  

The survey collects demographic data, and then capture’s faculty/staff opinions on topics such as compensation, benefits, policies, practices, communication techniques, training and development. This provides us with information on the benefits and programs which are most effective, recognizing best practices and creating benchmark data based on different categories.
                      ","The survey provides UB with information on the concerns raised by and broken out by Administration, Faculty, Exempt Professional Staff, and Non-Exempt Professional Staff for each of the 15 themes.  We then take those concerns and try to address them through our internal work life services offices which is comprised of Wellness and Work/Life Balance, the Employee Assistance Program, and Organizational Development & Training.  

We continue year round to make efforts to improve UB’s workplace climate based on the feedback we receive through the survey.  We have discovered that our institution as a whole needs to be more mindful of faculty concerns and faculty engagement.  In an effort to address these issues we have taken the following actions: developed a comprehensive presentation from Human Resources to present at faculty orientation, established a new lunch and learn series directed towards faculty, and are in the process of creating a brochure for new faculty to make them aware of the services available to them.  
",2014.0,http://www.buffalo.edu/administrative-services/wellness-work-life-balance/for-your-unit/assessing-your-workplace-climate.html,--
University of Arizona,2016-03-25,2016-03-25 15:31:44,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,The University of Arizona committed a campus wide Faculty Survey in 2006 using the COACE framework. Results of this survey can be found at http://oirps.arizona.edu/UACOACHEFacultySurvey.asp.
University of British Columbia,2016-02-22,2016-02-22 18:18:35,charlene.ponto@ubc.ca,2.0,Pursuing,True,100.0,"Every 3 years, UBC invites faculty and staff to participate in its confidential and anonymous Workplace Experiences Survey. The last survey was conducted in November 2011, and the next survey will be run in November 2014 (currently taking place at the writing of this submission). 

UBC’s survey partner is Ipsos Reid (both 2011 and 2014). Ipsos Reid administers the survey and conducts the data analysis. In the 2011 survey report, they presented UBC with a factor analysis showing the drivers of engagement (by theme) for staff and faculty, including the key areas in which the university can focus to improve engagement.","Three focus areas that emerged in the 2011 survey analysis were: 1) Career Navigation (staff); 2) Internal Communications  and 3) Orientations. 

UBC has taken action in these areas as follows: 1) Career Navigation: Human Resources spearheaded an initiative to create a model for Career Navigation at UBC. As a result of this work, tools (career categories) and resources (a Career Navigation & Transition Consultant) were introduced on the new UBC Careers website (http://hr.ubc.ca/careers). 2) Internal Communications: UBC completed a comprehensive Internal Communications Audit, Strategy, and Action Plan. A Director, Internal Communications was hired summer 2014 to lead the implementation and evolvement of this plan. 3) Orientations: UBC completed a comprehensive review of Orientations for faculty and staff and a set of recommendations were developed. Work is now underway to secure funding to implement the recommendations. 

Key findings from the 2011 survey as well as a summary of the report are available at http://www.focusonpeople.ubc.ca/workplace-experiences-survey/.",2014.0,http://www.focusonpeople.ubc.ca/workplace-experiences-survey/,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:25:55,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:12,cmkirk@ucdavis.edu,2.0,Pursuing,True,100.0,"University of California, Office of the President (UCOP), selected Professor Susan ""Sue"" Rankin, of Rankin & Associates Consulting as consultant for this project. She developed and utilizes the Transformational Tapestry model as a research design for campus climate studies. 

Faculty members, administrators and staff members are significantly impacted by campus climate. According to workplace studies, the personal and professional development of professionals is greatly enhanced through a healthy working environment. Research suggests that faculty members who consider their campus climate healthy and inclusive are more likely to feel personally and professionally supported. Research also indicates that there is a direct relationship between workplace discrimination and negative job and career attitudes. 

To assist in contextualizing the survey for UC and to capitalize on the many campus climate assessment efforts some campuses already have undertaken, a systemwide work team was formed in September 2011 which consisted of representatives from each of the campuses, UCOP, the Division of Agriculture and Natural Resources and Lawrence Berkeley National Laboratory, plus organization appointees from the Academic Senate, Council of UC Staff Assemblies, UC Students Association, unions and others.

The systemwide work team was responsible for developing core survey questions that would be asked of all locations.  The team selected survey questions from the consultant's tested collection, and included questions that previously have been asked in campus-specific or population-specific surveys at UC.  By adding questions for which some data is already available, UC campuses will be able to conduct longitudinal analysis and obtain consistent data for all populations.

Campus representatives to the systemwide work team formed local work teams at each location with additional participants, who also provided feedback on survey questions. The local work teams were responsible for contextualizing the core survey questions and creating campus specific questions that were added to the survey.

The survey was administered to all 235,000 students and 185,000 faculty and staff at UC.","The study was divided into two phases. Phase 1 was conducting the survey. Phase 2 includes development of strategic initiatives and action plans based on the survey findings. The goal of this important study is to build on institutional successes, address institutional climate challenges and promote institutional change.

Campuses will construct action plans based on survey results – identifying two or three areas for targeted campus attention. Campus, location and systemwide reports were made public in spring 2014.",2013.0,http://campusclimate.ucop.edu/index.html,"Additional URLs:
(summary, UC Davis) http://campusclimate.ucop.edu/_common/files/pdf-climate/ucd-summary.pdf
(full report, UC Davis) http://campusclimate.ucop.edu/_common/files/pdf-climate/ucd-full-report.pdf"
"University of California, Irvine",2016-03-23,2016-03-23 10:32:26,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:54:57,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:20,cmccormick3@ucmerced.edu,2.0,Pursuing,True,40.0,"The staff engagement survey was a system-wide survey administered by Towers Watson.  About 20,000 of UC’s roughly 50,000 non-represented staff were randomly selected to participate in the UC Staff Engagement Survey.  

The survey aims to help UC better understand the views, experiences, and needs of non-represented staff on topics related to working at UC including, career development, performance management, and workplace collaboration.



","The survey took place March of 2015. As a result the Chancellor added a new category in the Chancellors innovation awards for innovative new practices that invite staff innovation proposals in the areas of the survey where the campus expressed concerns.

Additionally, the first engagement survey (campus climate survey) was conducted in 2012.  The results were released March 19, 2014. From the survey the institution developed a campus climate committee to help evaluate the results and put an action plan in place.  The committee was comprised of several diverse constituents, including, but not limited to: undergraduates, graduates, staff, faculty, and senior administrators.  This committee group met regularly to evaluate the campus results and focused on identifying an action plan to address the most critical concerns.  To view the report and recent efforts as a result of the 2012 survey, please follow this link http://campusclimate.ucop.edu/results/. 
",2015.0,--,"For more information on the March 2015 assessment please visit link below. 
http://ucnet.universityofcalifornia.edu/news/2015/07/the-survey-shows-uc-employees-have-high-regard-for-uc-as-employer.html "
"University of California, Riverside",2016-03-18,2016-03-18 16:23:27,john.cook@ucr.edu,2.0,Pursuing,True,20.0,"In Spring 2015, Towers Watson sent surveys to 791 randomly selected non-represented career staff via email.  Of those 408 responded.  There were 33 questions asked in the categories of 
- Working Relationships
-Organizational Change
-Engagement
-Image/Brand
-Supervision
-Communication
-Performance Management
-Career Development

This was the 2nd administration of the same survey tool. The 1st was in 2012.  The next administration is planned for 2017.","The survey is jointly sponsored by UC Human Resources and the Council of UC Staff Assemblies (CUCSA).  
At the Riverside campus, HR & CUCSA have identified the most significant drivers of satisfaction, and have an action plan to address each of the critical issues.",2015.0,http://www.ucop.edu/human-resources/staff/employee-relations-staff/engagement-survey.html,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:19,smckinstry@ucsd.edu,2.0,Pursuing,True,54.0,"An annual survey measures employee satisfaction, and is used to help to ensure a positive and productive work environment.","Survey results are assessed and incorporated into department business plans for action. For example, employee recognition, improved communication, and heightening employee engagement have all been a focus of actions plans during the last three years.",2013.0,http://blink.ucsd.edu/sponsor/hr/org-chart/assistant-vc.html,"Results from the 2013 Campus Climate Survey are available here: 
http://diversity.ucsd.edu/policies-and-initiatives/campusclimatesurvey.html"
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:14:28,mo@geog.ucsb.edu,2.0,Pursuing,True,100.0,"The University of California Staff Engagement Survey was first conducted in 2012.  A second survey was conducted again in April 2015.  It is aimed (a) to understand the current state of engagement of the UC workforce system-wide and how it differs according to key organizational segments and demographics; (b) determine what drives engagement at UC; (c) identify strengths to build on and opportunities to address, that is, be able to create a shortlist of actions to respond to these issues and improve employee engagement across the system; and (d) facilitate Involvement and communication with leaders and employees throughout the process.  The survey was developed and administered in consultation with Towers Watson.   ","The first University of California Staff Engagement Survey was conducted in 2012.  Following the compilation of the survey results, an open meeting was held to share the results.  Three key engagement drivers were identified in which the UC Santa Barbara campus should focus attention and activities on:  Career Development, Communication, and Performance Management.  Over the next three years between 2012 and early 2015, a number of programs, improvements, and activities were focused in these three areas including but not limited to new career development programs, staff communication publications, an updated website for Human Resources, and new performance evaluation forms and training.  In January 2016, a large town hall was held to share the results of the 2015 University of California Staff Engagement Survey. An estimated 400+ employees attended this town hall event.  The three key engagement drivers identified from the 2015 survey include Career Development, Performance Management, and Working Relationships.  An action list and next steps are in development as a result of the feedback received during the town hall event which will be acted upon in the course of the next several years.


",2015.0,http://www.ucop.edu/staff-assembly/resources/2015-staff-engagement-survey-results.html,--
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:54:35,ekericks@ucsc.edu,2.0,Pursuing,True,100.0,"A University of California system-wide Campus Climate survey administrered to all faculty, staff, and students included surveying 430,000 individuals.  The study involved two major phases.  The first involved gathering data gathering from a population survey, phase two will include development of a strategic initiatives and action plans.","The University will use the study findings to inform strategic initiatives and action plans, and to enhance policies and programs that foster a more welcoming, inclusive, and healthy campus climate.",2013.0,http://survey.ucsc.edu/,--
