Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution offer at least one sustainability-focused major, degree program, or the ...","The name of the sustainability-focused, graduate-level degree program (1st program)",A brief description of the graduate degree program (1st program),The website URL for the graduate degree program (1st program) ,"The name of the sustainability-focused, graduate-level degree program (2nd program)",A brief description of the graduate degree program (2nd program),The website URL for the graduate degree program (2nd program),"The name of the sustainability-focused, graduate-level degree program (3rd program)",A brief description of the graduate degree program (3rd program),The website URL for the graduate degree program (3rd program),"The name and website URLs of all other sustainability-focused, graduate-level degree program(s)","Does the institution offer one or more graduate-level sustainability-focused minors, concentrations ...","The name of the graduate-level sustainability-focused minor, concentration or certificate (1st ...","A brief description of the graduate minor, concentration or certificate (1st program)","The website URL for the graduate minor, concentration or certificate (1st program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (2nd ...","A brief description of the graduate minor, concentration or certificate (2nd program)","The website URL for the graduate minor, concentration or certificate (2nd program)","The name of the graduate-level sustainability-focused minor, concentration or certificate (3rd ...","A brief description of the graduate minor, concentration or certificate (3rd program)","The website URL for the graduate minor, concentration or certificate (3rd program)","The name and website URLs of all other graduate-level, sustainability-focused minors, ...",Public Notes
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:26,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:44,cmkirk@ucdavis.edu,2.0,Pursuing,True,Agricultural and Resource Economics,"The M.S. and joint M.S./M.B.A. programs provide advanced training in economic analysis, statistical methods, and elective fields such as agricultural marketing, international trade, natural resources and environmental economics, economic development, financial management, and managerial economics. The Ph.D. program emphasizes rigorous training in microeconomic theory and applications, quantitative methods, and applied public policy analysis combined with production economics, industrial organization, international economics, labor economics, development economics, and environment and natural resource economics.",http://agecon.ucdavis.edu/,Ecology,"Students gain advanced knowledge in one of the following areas: agricultural ecology; conservation ecology; ecosystems and landscape ecology; ecotoxicology; environmental policy analysis; human ecology; integrative ecology; marine ecology; physiological ecology; or restoration ecology. Students graduate with the qualitative and quantitative skills necessary for professional research and teaching in ecological theory and its applications.
The group's diverse and dynamic collection of 180 students and 130 faculty come from 24 different departments/ units on campus.  Offering both Master's and Ph.D. degrees, the Graduate Group is organized into nine areas of emphasis that include both basic and applied ecology. The GGE defines ecology broadly to span scales from genes to landscapes and explicitly includes human ecology and policy. GGE members become the professionals best trained to protect our natural resources. They strive to develop basic ecological theory as well as work with resource management agencies to help solve ecological problems.",http://ecology.ucdavis.edu/,International Agricultural Development,"The UC Davis Masters program in International Agricultural Development (IAD prepares students for careers in global agricultural and rural development. This interdisciplinary program is designed to provide students with knowledge and skills that enable them to implement, facilitate and manage programs that enhance agricultural development and rural life. Students are prepared to accomplish diverse improvements, facilitate innovation in agricultural, natural, social and economic systems, and make a meaningful difference in the world.

The program includes both breadth and depth components. Breadth components, which comprise core courses required of all M.S. students, aim to establish an understanding of the issues in international agricultural development. These include the history and theory of development, project development and management, fundamentals of farming systems, and agricultural economics. In the depth component, students pursue an area of specialization within the agricultural and social sciences. The areas include, but are not limited to, agricultural and resource economics, agricultural engineering, agronomy, animal science, anthropology, aquaculture, avian science, community development, ecology, economics, entomology, environmental design, environmental toxicology, food science, gender, geography, horticulture, hydrologic science, human nutrition, plant pathology, plant biology, plant protection and pest management, political science, pomology, preventive veterinary medicine, range science, sociology, soils and biogeochemistry, sustainable agriculture, vegetable crops, and viticulture.",http://iad.ucdavis.edu/,"Transportation Technology and Policy: The education programs at the Institute of Transportation Studies at UC Davis (ITS-Davis) are designed to meet the world’s growing needs for highly qualified, thoughtful and dedicated leaders in sustainable transportation. In addition to coursework and research, students interact with researchers and leaders from industry, government, public interest groups, and academia through seminars, internships, and visiting lectures. Our interdisciplinary approach transcends the boundaries of traditional engineering-based studies to include social and behavioral sciences, ecology, and management. Students gain advanced knowledge of civil, mechanical and environmental engineering; economics; policy studies; statistics; travel behavior; management; technology assessment; and environmental studies. Students graduate with the qualitative and quantitative skills necessary for professional administration, research, and teaching in transportation technology or planning, policy and management. 

URL: http://www.its.ucdavis.edu/students/
",True,Conservation Management,"The Conservation Management Program promotes four tenets for successful conservation decision making:
(1)  A basic foundation in ecology is fundamental to developing the management and decision-making skills required to effectively manage ecosystems. This ecological foundation includes skills in statistics, experimental design and quantitative ecology.
(2)  Training in the social sciences of human ecology and environmental policy are required for conservation within the context of complex human cultures and stakeholder groups.
(3) Practical skills for decision-making, planning and communication are essential for enabling scientists to step into leadership roles.
(4) Integration and application of these various skills toward real conservation problems should be part of the graduate school experience.
Our goal is to provide graduate training opportunities around these four tenets for students desiring careers in conservation.",http://conservationmanagement.ucdavis.edu/,Environmental Law Certificate,The certificate program provides students with broad and deep exposure to environmental and natural resources law. The program was initiated as part of the school's commitment to quality environmental legal education. The certificate is awarded upon successful completion of two core courses - Environmental Law and Administrative Law; a substantial research paper on an environmental or natural resources topic; and 11 units of elective environmental law classes.,http://www.law.ucdavis.edu/academics-clinicals/environmental-law-certificate.html,"Climate Change, Water, and Society Certificate","Climate change and related water problems pose some of the most formidable challenges to science and society today. The IGERT in Climate Change, Water and Society (CCWAS) at UC Davis is designed to provide a new generation of scientists with the disciplinary depth and the multidisciplinary breadth to address effects of climate change on water resources, including unification of hydrologic and climate science toward a more advanced understanding of hydroclimatology and better translation of science into action.

In partnership with our cooperating institutions – the Colorado School of Mines, California State University, Fresno, the Centre for Advanced Studies in Arid Zones(CEAZA; University of La Serena, Chile), and University of Concepción, Chile - the CCWAS IGERT will provide transformative interdisciplinary training spanning: atmospheric science, computer science, ecology, engineering, geology, hydrologic science, political science, resource economics, and other disciplines related to climate change, water, and society.

Students who complete the CCWAS IGERT curriculum will receive the Climate Change, Water, and Society certificate.",http://ccwas.ucdavis.edu/,,--
"University of California, Irvine",2016-03-23,2016-03-23 10:33:01,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:26,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:27,cmccormick3@ucmerced.edu,2.0,Pursuing,True,Environmental Systems Graduate Program,"The Environmental Systems Graduate Program trains students to tackle the most challenging problems facing our planet – water, soil, climate, energy and resources.

Through understanding the Earth as an integrated system of atmosphere, hydrosphere, lithosphere and biosphere that intersects human society, ES students are uniquely poised to address critical research needs of the environment and its sustainability. Graduates are prepared for careers in academia, research, government, and industry, that integrate expertise from across engineering, natural sciences, and social sciences.",http://es.ucmerced.edu/,--,,--,--,,--,"http://graduatedivision.ucmerced.edu/academic-studies#exactline""",--,--,,--,--,,--,--,,--,,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:34,john.cook@ucr.edu,2.0,Pursuing,True,Global Climate and Environmental Change,"""The Earth Science Department is excited to announce its new Graduate Program in Global Climate and Environmental Change. Graduate students in this program will be broadly trained in Geological perspectives of climate change including:

    Using the excellent climate record preserved in the Sierra Nevada's glaciers, moraines and lakes to decipher the pattern of local climate change and the relationship to Cenozoic glacial cycles
    Global and regional drivers for climate change and associated feedback mechanisms: from changes in tectonic regimes to  fluctuations in the jet stream
    Isotopic studies of modern glacial lakes, Quaternary lake cores and alpine soils
    Sedimentolgy of glacial deposits and stratigraphic relations with associated units
    Evidence of gas hydrate destabilization and impact on both recent and ancient global climate change""
",http://earthscience.ucr.edu/gcec.html,Environmental Sciences,"This interdepartmental program provides students with broad training and exposure to the many facets of environmental science, as well as the specialized study of a specific research topic. Administered by nearly 50 UCR faculty from different environmentally related disciplines, research and course offerings are diverse, ranging from fundamental soil, aquatic, and atmospheric chemistry through resource and environmental management, economics and policy, to a host of other areas within both the natural and social sciences.",http://envisci.ucr.edu/,Chemical and Environmental Engineering,"Offered by the Department of Chemical and Environmental Engineering in the Bourns College of Engineering. The program features both M.S. and Ph.D. degrees. Fields of specialization include:

    Biochemical engineering
    Environmental biotechnology
    Advanced materials and nanotechnology
    Electrochemical engineering
    Molecular theory and simulation
    Air quality systems engineering
    Water quality systems engineering
",http://www.cee.ucr.edu/,Environmental Chemistry: http://chem.ucr.edu/research/environmental_chemistry.html,True,Public Policy - Environmetal Policy Focus,"The School of Public Policy offers an Environmental Policy focus in the new MA program addressing sustainability and environmental regulations and justice at the local, regional, state and national level. Areas of concentration are energy, water, food security, air and water pollution and transportation.",http://spp.ucr.edu/mpp/index.html,--,,--,--,,--,,"Environmental Chemistry Graduate Program learning outcome: Environmental chemistry research focuses on chemical processes that affect the sources, composition, reactions, transport, and fates of chemicals species in natural environments (air, water, and soil), the impacts of human activities on these environments, and chemical aspects of pollution prevention and contaminant remediation. "
"University of California, San Diego",2016-03-24,2016-03-24 18:51:50,smckinstry@ucsd.edu,2.0,Pursuing,True,Master of Advanced Studies in Marine Biodiversity and Conservation (MAS-MBC),"The program is a one-year full-time program that equips current and future professionals with the knowledge they need about marine ecosystems from the scientific, economic, and policy perspectives, as well as provide important cultural and communications skills. Scripps Institution of Oceanography manages the curriculum for this professional graduate degree.",https://scripps.ucsd.edu/masters/mas,The Master of Advanced Studies in Climate Science and Policy (MAS-CSP).,"The program is a one-year full-time program designed to provide advanced training in climate science and policy for working professionals in the fields of government, industry and education.  Scripps Institution of Oceanography will manage the curriculum for this professional graduate degree.",https://scripps.ucsd.edu/masters,PhD. Scripps Institution of Oceanography,"The Scripps PhD program is organized into three separate academic programs: the Climate-Ocean-Atmosphere Program; Geosciences of the Earth, Oceans, and Planets; and the Ocean Biosciences Program.  Each of these programs is responsible for all graduate educational activities in its area, including teaching, advising, and examining.  Prospective PhD students will apply directly to one or more of the academic programs.",http://scrippseducation.ucsd.edu/,"Additional graduate degrees at Scripps include: Earth Sciences, BS/MS, terminal MS degrees in Oceanography and Marine Biology, and Joint Doctoral Program with San Diego State University in Geophysics.  More info here:  https://scripps.ucsd.edu/masters 

In addition to Scripps Institution of Oceanography, the Rady School of Management and the School of International Relations and Pacific Studies have sustainability graduate degrees.  More info here:  http://rady.ucsd.edu and http://irps.ucsd.edu/programs",--,--,,--,--,,--,--,,--,,--
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:15:02,mo@geog.ucsb.edu,2.0,Pursuing,True,Master of Environmental Science and Management (MESM),"The program focuses on application and problem-solving and has three parts: the first-year core curriculum, the second-year work in one of seven specializations, and the Group Project or Eco-Entrepreneurship Project. The Bren School MESM degree involves core curriculum that provides a solid foundation in coupled human and environmental systems. The specializations offered by Bren School include Coastal Marine Resources Management, Conservation Planning, Corporate Environmental Management, Economics and Politics of the Environment, Energy and Climate, Pollution Prevention and Remediation, and Water Resources Management. Lastly, students complete a Group Project or Eco-Entrepreneurship Project focused around coursework that develops skills and experiences that help them pursue new technologies and strategies for addressing society's environmental and resource challenges.",http://www.sustainability.ucsb.edu/graduate-program/,PhD in Environmental Science and Management,"The Bren School’s PhD program is designed to develop the broad knowledge, analytical powers, technical skills, and creative thinking demanded of leaders in Environmental Science & Management. The program is also designed to accommodate a wide range of research interests, from those highly focused in a particular discipline to strongly interdisciplinary ones. All courses offered by the Bren School are open to PhD students. Courses are also available in such other departments as Geography, Earth Science, Economics, Political Science, and Ecology, Evolution & Marine Biology, as well as others. PhD research topics can be as focused or interdisciplinary as the courses. Current research projects include ""Economics of water management, including markets, pricing, auctions, and payments for ecosystem services;"" "" Using computational numerical methods to develop a better understanding of energy and material resource management problems that are dynamic over space and time;"" and ""Environmental impacts of energy technologies and agricultural systems, approaches for regionalizing life cycle inventory, and China's environmental issues.""",http://www.sustainability.ucsb.edu/graduate-program/,--,,--,,True,PhD emphasis in Economics and Environmental Science (EES),"The Economics and Environmental Science (EES) emphasis at UCSB instills the ability to use economic tools in developing environmental approaches and policies. The program's goal is to develop environmental economists who are able to conceptualize economic problems related to environmental issues, then apply appropriate quantitative and qualitative techniques to design and implement appropriate research methods.",http://www.sustainability.ucsb.edu/graduate-program/,Interdepartmental PhD Emphasis in Environment and Society,"The Interdepartmental PhD Emphasis in Environment and Society (IEES) launched in 2014 with the goal of providing UCSB doctoral students an opportunity to receive training and mentorship in interdisciplinary environmental studies and sciences beyond the scope of their normal degree programs. Analogous to a minor at the PhD level, the goal of the emphasis is to facilitate a deep understanding of how the environment is changing, how those changes affect human societies, and how political, economic and cultural forces in turn affect the environment. The emphasis creates a means for UCSB doctoral students to develop the integrative thinking and problem-solving skills necessary to lead the next generation of environmental scholars.
",--,--,,--,,--
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:55:08,ekericks@ucsc.edu,2.0,Pursuing,True,Doctoral program in the Department of Environmental Studies,"""Established in 1994, the Doctoral program* in the Department of Environmental Studies at UCSC emphasizes close faculty-student interactions, department-wide intellectual exchange, and cross-discipline innovation. The goal of our Ph.D. program is to develop exceptional individuals with strong foundations in their own fields, and the ability to work with those in other relevant specialties.

The program draws from two main areas: ecology and social science. These are historically independent fields and UCSC's Environmental Studies program is one of the first to link them.

Graduates of the Environmental Studies Doctoral Program at UC Santa Cruz are expected to be informed in conservation biology, global change ecology, agroecology, environmental policy, and political economy of the environment. Our students have deep intellectual strength in their area of specialty, and make substantial contributions toward the understanding of an environmental problem.\""",http://envs.ucsc.edu/graduate/,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,"Established in 1994, the Doctoral program* in the Department of Environmental Studies at UCSC emphasizes close faculty-student interactions, department-wide intellectual exchange, and the flexibility for continued innovation. The goal of our Ph.D. program is to develop exceptional individuals with strong foundations in their own fields, and the ability to work with those in other relevant disciplines.

Our faculty and students are deeply involved in ongoing environmental debates, and our program's structure is based on the belief that effective and useful environmental practice must be informed by interdisciplinary perspectives.

The program draws from two main areas: ecology and social science.These all are historically independent fields and UCSC's Environmental Studies program is one of the first to link them!

Our interests in ecology include:

    * Conservation biology and global change ecology - the maintenance of biodiversity and ecosystem processes, and reducing human impacts on other species
    * Agroecology - where ecological knowledge is used to inform human management of nature for the production of natural products for human use in ways that minimize environmental impacts.

Our interests in social science bridges the dimension between:

    *  Environmental policy analysis - which looks for the best management strategies within the frame of existing social institutions and practices
    
    *  And Political economy of the environment - which examines the deeper social processes through which the institutions that structure our social and ecological agendas have been constructed.

Environmental Studies graduates are expected to be informed in all of these fields, to have deep intellectual strength in their area of specialty, and to have made substantial contributions toward the understanding of an environmental problem. 

Credit: Ben Ditto"
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:04,dave.newport@colorado.edu,2.0,Pursuing,True,Environmental Studies,"The Environmental Studies graduate program is an interdisciplinary program with specializations (secondary core areas) in Sciences, Policy and Values & Theory. 

Meeting environmental challenges of the 21st century requires research, education and training that spans traditional disciplinary boundaries and emphasizes the interconnections of science and decision making. Drawing on the resources of the entire University of Colorado system, we have designed a truly interdisciplinary Graduate Program in Environmental Studies that awards two degrees: Master of Science and Doctor of Philosophy.  Two dual degree programs with other departments are offered. ENVS offers an interdisciplinary Certificate in Environment, Policy and Society for non-ENVS graduate students. The university offers many other certificate programs suitable to ENVS graduate students.",http://www.colorado.edu/envs/prospective-students/graduate-students,N/A,N/A,--,N/A,N/A,--,N/A,--,N/A,N/A,--,N/A,N/A,--,N/A,N/A,--,N/A,"ENVS graduate studies offers a robust sustainability education with all faculty co-rostered in other academic departments thus grounding the training in interdisciplinary and systems-thinking perspectives. This is consistent with CU's approach to sustainability--that of a interdisciplinary education that trains in systems thinking and all sustainability elements.
"
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:47,lkogan@uccs.edu,2.0,Pursuing,True,Master of Arts in Applied Geography,"The goal of the program is to provide graduate level education that enables students to address community concerns through applied geographic research. Graduates with an MA in Applied Geography will have integrative skills that link human activity to natural systems, and that apply a spatial perspective to human and natural processes.

Areas of Emphasis

The MA provides students with specific scientific and communication skills necessary to be community leaders in their area of expertise. Graduates of this MA program will have the following skills and competencies to work on community issues:

Understanding of and appreciation for the interactions between the human and natural world
Skills to synthesize, analyze, and evaluate diverse social and physical information
Ability to conceptualize spatial relationships for problem solving
Communication skills to clearly present solutions or recommendations",http://www.uccs.edu/geography/ma-program.html,--,,--,--,,--,,--,--,,--,--,,--,--,,--,,--
University of Connecticut,2016-03-25,2016-03-25 18:15:22,rich.miller@uconn.edu,2.0,Pursuing,True,Agricultural and Resource Economics,"At this time the Department has over 75 graduate students. Graduate students have opportunities to work closely with faculty in three general areas: Food Marketing and Industrial Organization, Environmental and Resource Economics, and International Agricultural Development. 

The Department takes particular pride in its research program and recognizes that research permits graduate students to demonstrate their creative ability and to attain academic maturity. Students usually begin thinking about their thesis or dissertation project early in their program, with formal planning beginning during the second semester of an M.S. program and at the end of the second semester of a Ph.D. program. Examples of possible research topics are: econometric analysis of food demand and supply, measurement of economic efficiency in agricultural enterprises, market power and industrial concentration, interregional competition, analysis of entry barriers in the food manufacturing industries, evaluating alternative promotion strategies for a commodity marketing board, analysis of public policies to protect open space, efficient design of policies for environmental protection, evaluating the impact of alternative groundwater contamination regulations upon agricultural activity and public welfare, and identifying the determinants of rural-urban migration patterns in less developed countries.",http://www.are.uconn.edu/grad.php,Ecology and Evolutionary Biology,"Research in the department covers a wide range of fields, including behavioral ecology of vertebrates and invertebrates, systematics and evolution of plants and animals, population and community ecology, functional morphology and development, and conservation biology. Faculty members and graduate students work on nearly all of the major groups of organisms, including algae, mosses and lichens, aquatic plants, desert plants, tropical and temperate forest trees, the parasites of sharks and rays, insects, spiders, fishes, amphibians, reptiles, birds, and mammals. Current research projects span the globe, with investigators working throughout North America, Costa Rica, Panama, Nicaragua, Brazil, Borneo, Madagascar, South Africa, Australia, New Zealand, Japan, and many other countries.

Our strong research program has given national recognition to Ecology and Evolutionary Biology at the University of Connecticut . Federal grant support for research in systematic biology over the past decade places the University of Connecticut among the top 10 in the country. Many of our faculty members serve or have served as officers of major scientific societies, including several presidents of national or international scientific societies, as National Science Foundation panel directors or members, and as editors of over two dozen science journals. Recent graduate students have won prizes for best papers at national meetings in fields such as botany, ecology, entomology, evolution, herpetology, ichthyology, marine biology, parasitology, and plant systematics.",http://www.eeb.uconn.edu/eebwww/about-eeb/,Environmental Engineering,"The Environmental Engineering Program's mission is to provide a state of the art and multidisciplinary learning environment supported by cutting-edge research in three core areas (tracks):
(i) Biogeochemical processes (BGC);(ii) Air pollution and atmospheric processes (ATM);and (iii) Bydrogeosciences and engineering (HGS). These three tracks reflect the scope and interdisciplinary nature of Environmental Engineering. Peavy et al. (Environmental Engineering, 1985) provide the following definition: “that branch of engineering that is concerned with protecting the environment from the potentially deleterious effects of human activity, protecting human populations from the effects of adverse environmental factors and improving the environmental quality for human health and well-being“.

The faculty is committed to your academic and professional success. We offer challenging and rigorous courses; exciting and relevant research opportunities; and individualized mentoring and guidance.",http://www.engr.uconn.edu/environ/,,--,--,,--,--,,--,--,,--,,"For this submission, we selected our three most interdisciplinary programs where graduate students predominantly work on issues related to sustainability, ecosystem maintenance, food systems, and social responsibility. "
University of Denver,2016-02-26,2016-02-26 12:38:10,chad.king@du.edu,2.0,Pursuing,True,Geography," Areas of emphasis at the doctorate level include biogeography, climatology, cultural geography, economic geography, geographic information science, geomorphology, global change, human environment interaction, Latin America, population, remote sensing, Quaternary studies, transportation geography, urban geography. ",http://www.du.edu/nsm/departments/geography/degreeprograms/graduateprograms/phdgeography/index.html,Environmental Policy and Management,"In the Environmental Policy and Management program, you will expand or acquire knowledge in natural resources, health and safety, renewable energies, and policy and management as each relates to the environment. As the environmental field continues to grow and develop in emerging areas, industry professionals are tasked with crafting sound environmental practices, applying practical knowledge, and developing ethical management philosophies to better meet the needs of the environmental industry.

You will develop a strategic approach while learning the fundamental interconnections among the environment, technology, markets, law, and policy. Be equipped to solve the environmental challenges in our local and global communities through innovative thinking, analysis, and in-depth knowledge of environmental policy and management.",http://universitycollege.du.edu/epm/,Environmental and Natural Resources Law Program,"No other law school in the United States offers a specialized program in environmental and natural resources law with the breadth, scope and opportunities provided at the University of Denver Sturm College of Law.

Our program is unique in terms of the number and variety of domestic and international course offerings. The curriculum emphasizes both theoretical and experiential knowledge and students can explore practical and ethical contributions to current and future environmental and natural resource issues. ",http://www.law.du.edu/index.php/enrlp,,True,"Graduate School of Social Work, Sustainable Development   and   Global   Practice concentration","Humans  need  an  ecological  understanding  of  their  place  in  the  natural  environment  to  promote  personal  health  and  well-being, environmental awareness, sense of belonging in a community, sustainability, resilience and advocacy. Students will develop practice behaviors   in   assessment,   community   engagement,   education, health   promotion,   mobilization,   organizing,   poverty   reduction, environmental   preservation   and   capacity   building   strategies.   Students   in   the   Sustainable Development   and   Global   Practice concentration will learn about local and global  policies and laws relevant to humane treatment of human and animals, human security, 
sustainable  development  strategies  in  countries  emerging  from  conflict, conservation  of  nature,  biodiversity  and  sustainability,  land use, and water use. ",http://www.du.edu/socialwork/media/documents/handbook_msw.pdf,Energy and Sustainability certificate,"For this certificate, study how non-renewable and renewable energy sources are developed, used, regulated, and financed. Learn strategies, sustainability concepts, and energy systems throughout your experience in the graduate certificate program for Energy and Sustainability. You will learn how to:


    Recognize and assess trends in renewable energy

    Craft sustainability plans and reports

    Develop environmental policies

    Advocate for the use of sustainable practices",http://universitycollege.du.edu/epm/degree/certificate/energy-and-sustainability-online/degreeid/363,Natural Resource Management certificate,"For organizations that plan or regulate the use of natural resources, they require leaders who understand the nuances of these resources and the impact they have on the quality of life for both present and future generations.

Expand and enhance your knowledge of natural resources, water management, zoning, forestry, mining, and land use in this concentration designed to advance your managerial career in the area of natural resources. You will learn:


    Ecological impact and environmental issues

    Organizational leadership and management

    Technology

    Communication techniques

    Protection and use of natural resources",http://universitycollege.du.edu/epm/degree/certificate/natural-resource-management-online/degreeid/30,"Environmental Management Certificate
Environmental Policy Certificate
Environmental Health and Safety Certificate
http://universitycollege.du.edu/epm
",--
University of Florida,2016-03-23,2016-03-23 09:06:17,miwilliams@ufl.edu,2.0,Pursuing,True,"Master's in Sustainable Design - College of Design, Construction, and Planning","The College's Masters of Science in Sustainable Design degree (MSD) is taught by faculty from all six of our college's programs, namely Architecture, Building Construction, Historic Preservation, Interior Design, Landscape Architecture and Urban and Regional Planning. We use the latest e-Learning tools to enhance collaborative learning between faculty, students and visiting experts along with weekly video conferences and three intensive workshops delivered on the UF campus, and international locations to create a dynamic and highly charged learning environment.
",http://sustainable.dcp.ufl.edu/pages/welcome.html,Master of Urban and Regional Planning (Sustainability Specialization) ,"As our world addresses the depletion of natural resources and the need to protect our environment, sustainability has become a major component of all development plans. The Sustainability specialization will help you extend the positive impact you can have as a planner and diversify your skill set through classes in environmental land use planning, international development, sustainable communities, and more. The specialization in Sustainability is one of two tracks within the Master of Urban and Regional Planning. Sustainability is an integral part of the graduate curriculum for this degree, and as such, we have included it as a separate degree program rather than as a concentration.
",http://www.urbanplanningmasters.distance.ufl.edu/online-master-of-urban-regional-planning-specialization-in-sustainability,LL.M. in Environmental & Land Use Law,"Florida’s sensitive, varied and beautiful natural environment makes the University of Florida a natural choice for students who want to focus on the national and global issues of land use and environmental law. Florida provides a perfect setting to study first-hand the efforts to reconcile growth and conservation. The Environmental and Land Use Law Program educates future lawyers through an innovative approach that combines the study of land use law with environmental law. Many environmental problems result from inappropriate uses of land. Air and water pollution, toxic and hazardous waste, endangered species protection and balancing public health and environmental values against the protection of private property interests are challenges that face every community.
",http://www.law.ufl.edu/academics/degree-programs/ll-m-environmental-land-use-law,"Interdisciplinary Ecology Graduate Program - School of Natural Resources and the Environment - http://snre.ufl.edu/graduate/ - The Interdisciplinary Ecology graduate degree program considers the Social-Ecological System the proper conceptual framework for understanding the full scope of complex, adaptive systems comprising humans in the natural world. The degree program challenges students to understand both natural and human dynamics to obtain a holistic view and to foster integration of human activities with natural resources and the environment. The master's and doctoral degrees in Interdisciplinary Ecology promote interdisciplinary thinking in natural resources and the environment by combining (1) coursework in the basic and applied science of ecology, related social sciences, and sustainability with (2) competence in an approved program in a traditional field of study.

Masters and PhD Programs - Engineering School of Sustainable Infrastructure and the Environment - http://www.essie.ufl.edu/student_resources/admissions/graduate/ - The Engineering School of Sustainable Infrastructure and Environment (ESSIE) is comprised of two departments - the Department of Civil, Coastal and Oceanographic Engineering and Environmental Engineering Sciences. Research areas include air resources, coastal and oceanographic engineering, construction engineering, environmental nanotechnology, geosystems engineering, materials and pavements, public works, structural engineering, systems ecology and ecological engineering, transportation engineering, and water systems.

Master’s in Sustainable Development Practice - Center for Latin American Studies, Center for African Studies - http://mdp.africa.ufl.edu/ - Although tropical and sub-tropical countries contain some of the most diverse and resource rich environments, they also face the most significant development challenges. Achieving sustainable development in these countries will require major advances against hunger, poverty and disease while ensuring the protection of natural resources. Increasingly, making these advances will depend on practitioners who are able to address development challenges holistically. The University of Florida MDP program is part of the Global MDP Association, which consists of 26 MDP programs in 19 countries around the world. Initiated with the generous support from the John D. and Catherine T. MacArthur Foundation, the MDP degree is focused on training development practitioners who are able to address development challenges facing poor, resource rich communities in innovative ways. The UF MDP bridges the Natural, Social and Health sciences and Management skills.
",True,"Interdisciplinary Concentration and Certificate in Sustainable Design (ICCSD) - College of Design, Construction, and Planning","The Interdisciplinary Concentration and Certificate in Sustainable Design (ICCSD) was created to integrate existing sustainable design resources across the College of Design, Construction and Planning in response to broadening interest in sustainable design. The ICCSD is offered to students seeking graduate degrees in DCP. The ICCSD allows masters students in architecture, building construction, historic preservation, interior design, landscape architecture, and urban and regional planning, to extend their educational experience and become more proficient in one or more of the following areas: sustainable architecture, sustainable construction, sustainable interior design, sustainable landscape architecture or sustainable urban planning. 
",http://www.dcp.ufl.edu/sustainability/iccsd,Certificate in Sustainable Construction - Rinker School of Construction Management,"By achieving a Certificate in Sustainable Construction, students will earn a credential that indicates that they have accomplished specialized, high quality study in the field of International Construction Management. Courses include: Principles of International Sustainable Construction, Construction Ecology and Metabolism, and High Performance Green Building. Applicants for the certificate program are required to have a bachelor’s degree and construction experience.
",http://www.bcn.ufl.edu/academics/certificates/international-construction-management-certificates/,Concentration and Certificate in Sustainable Architecture - Graduate School of Architecture ,"G|SoA is one of the first accredited architecture programs in the US to formalize this initiative in the form a Concentration and Certificate in Sustainable Architecture. This program runs parallel with the Master of Architecture with addition of 12 credits from 34 pre-selected courses within and outside the GSoA that engage current sustainable issues. Students will also work with their faculty advisor to synthesize these issues within their Masters Thesis projects
",http://gsoa.dcp.ufl.edu/degrees/concentrations-certificates/,"Certificate in Environmental and Land Use Law - http://www.law.ufl.edu/academics/concentration/elul/elul-certificate - Florida’s sensitive, varied and beautiful natural environment makes the University of Florida a natural choice for students who want to focus on the national and global issues of land use and environmental law. Florida provides a perfect setting to study first-hand the efforts to reconcile growth and conservation. The Environmental and Land Use Law Program educates future lawyers through an innovative approach that combines the study of land use law with environmental law. Many environmental problems result from inappropriate uses of land. Air and water pollution, toxic and hazardous waste, endangered species protection and balancing public health and environmental values against the protection of private property interests are challenges that face every community.
",--
