Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Total percentage of students that use more sustainable commuting options,The percentage of students that use each of the following modes as their primary means of ...,The percentage of the institution's students that commute with only the driver in the vehicle ...,"The percentage of the institution’s students that walk, bicycle, or use other non-motorized means ...",The percentage of the institution’s students that vanpool or carpool as their primary method of ...,The percentage of the institution’s students that take a campus shuttle or public transportation as ...,"The percentage of the institution’s students that use a motorcycle, scooter or moped as their ...",A brief description of the method(s) used to gather data about student commuting,The website URL where information about sustainable transportation for students is available,Public Notes
University at Albany,2016-02-23,2016-02-23 17:54:09,mmallia@albany.edu,2.0,Pursuing,65.0,**,35.0,18.0,3.0,43.0,--,"The Office of Environmental Sustainability, the Office of Institutional Research, Planning and Effectiveness and Urban Planning Directors created the “UAlbany Student Transportation Survey: Fall 2013 based off of a similar survey conducted in the 2006-2007 school year. Nelson/Nygaard Consulting Associates completed that study, which was conducted at the Harriman Campus. The 2013 survey was conducted in a similar manner, with additional questions added that were more up-to-date and tailored to the UAlbany population specifically. There were 1036 students who completed the survey. Twenty-five percent of the students live in one of the four on-campus quads (Indian, Dutch, Colonial and State), 12% live in one of the campus apartments (Empire Commons, Liberty Terrace and Freedom Apartments), 4% live downtown on Alumni Quad and 58% live off-campus.  ",http://www.albany.edu/gogreen/4.transportation.shtml,--
University at Buffalo,2016-01-19,2016-01-19 10:15:45,jlk47@buffalo.edu,2.0,Pursuing,57.7,**,42.4,18.8,3.9,35.0,--,A Survey was conducted by the University Parking and Transportation Office at UB in order to study student commuting habits. ,https://www.buffalo.edu/sustainability/working-green/greening-our-operations.html,--
University of Arizona,2016-03-25,2016-03-25 15:31:09,bchampion@email.arizona.edu,2.0,Pursuing,65.5,**,35.7,49.1,8.8,6.6,1.0,"The information comes from an online survey of the entire student body for the main campus (excluding online students).  The questions were very similar to those conducted in 2009 by the Pima Association of Governments for the UA that was used in previous mode share reporting and STARS submissions.  Unfortunately, the survey did not include a question about motorcycle, scooter, or moped usage, so this number is replicated from our 2009 data (although it causes our sum of all percentages to exceed 100%).

The survey had a response rate of 1,336 to these questions, and was found to be demographically representative of the student body by our Student Affairs Office of Assessment which regularly conducts online surveys of this nature, allowing a 95% confidence, and with a +/- 3% margin of error.  

Students were asked to answer how many times per week on average the used the following forms of transportation to get to campus:  driving alone, carpool, bicycle, walking (including skateboards and foot scooters), SunTran (city bus), Streetcar (public transit), CatTran (university shuttle), and apartment shuttle.

Responses were then analyzed to determine the mode that was each student's primary mode of transit (greater than or equal to 50% of all their trips, or greater than 40% of all trips if they did not have a single mode with more than 50% of all trips).",https://parking.arizona.edu/sustainability/,These figures have been updated in January 2016 based on data from a survey of the UA student body in December 2015.
University of British Columbia,2016-02-22,2016-02-22 18:18:32,charlene.ponto@ubc.ca,2.0,Pursuing,71.0,**,28.0,2.5,13.0,55.0,0.2,"Data is collected annually at the entry points to the campus to understand how the university population is travelling to and from the campus each year. All modes of travel are counted along with the number of passengers to understand the total number of trips to and from the campus on an average weekday. Note, annual screenline counts indicate % of modal split, but do not differentiate between students and employees. ",http://planning.ubc.ca/vancouver/transportation-planning,"With over 140,000 trips to and from UBC each day, transportation planning plays an important role in ensuring that the community’s transportation needs are met with a wide variety of sustainable transportation options. Since 1997, SOV person trips have decreased by 13% while transit person trips have increased by 312%.

The 2014 UBC Transportation Plan for the Vancouver Point Grey campus is the guiding document for transportation objectives and initiatives on campus, and updates UBC's previous strategic transportation plans: http://planning.ubc.ca/vancouver/transportation-planning/transportation-plans.

The Fall 2013 Transportation Status Report is available online at: http://planning.ubc.ca/vancouver/transportation-planning/research-and-reports/transportation-status-reports."
"University of California, Berkeley",2016-03-23,2016-03-23 14:25:18,lmcneilly@berkeley.edu,2.0,Pursuing,94.2,**,5.8,67.0,1.6,23.8,1.1,Every three years the campus conducts a comprehensive transportation survey that includes determining mode split.,http://pt.berkeley.edu/,--
"University of California, Davis",2016-03-28,2016-03-28 16:30:37,cmkirk@ucdavis.edu,2.0,Pursuing,87.4,**,12.6,61.8,3.7,21.9,--,"The UC Davis Campus Travel Survey is a joint effort by the Transportation & Parking Services (TAPS) and the Sustainable Transportation Center, part of the Institute of Transportation Studies at UC Davis. Since 2007 the survey has been administered each fall by a graduate student at the Institute of Transportation Studies. The main purpose of the survey is to collect annual data on how the UC Davis community travels to campus, including mode choice, vehicle occupancy, distances traveled, and carbon emissions. Over the past seven years, the travel survey results have been used to assess awareness and utilization of campus transportation services and estimate demand for new services designed to promote sustainable commuting at UC Davis. Data from the campus travel survey have also provided researchers with valuable insights about the effects of attitudes and perceptions of mobility options on commute mode choice. This year’s survey is the eighth administration of the campus travel survey.

The 2014-15 survey was administered online in October 2014, distributed by email to a stratified random sample of 30,815 students, faculty, and staff (out of an estimated total population of 42,405). About 14 percent (4,224 individuals) of those contacted responded to this year’s survey, with 11.4 percent actually completing it. For the statistics presented throughout this report, we weight the responses by role (freshman, sophomore, junior, senior, Master’s student, PhD student, faculty, and staff) and gender so that the proportion of respondents in each group reflects their proportion in the campus population.",http://goclub.ucdavis.edu/,"Thigpen, Calvin (2015) Results of the 2014-15 Campus Travel Survey. Institute of Transportation Studies, University of California, Davis, Research Report UCD-ITS-RR-15-15; Table 22. ""Share using each mode on an average weekday, including telecommuting."" Accessed at: http://its.ucdavis.edu/campus-travel-surveys/."
"University of California, Irvine",2016-03-23,2016-03-23 10:31:51,khaq@uci.edu,2.0,Pursuing,82.4,**,17.6,44.0,6.1,26.3,1.0,The campus population was surveyed via an online tool as part of a graduate professional report. Respondents selected which modes of transportation they used as part of their commutes to campus and surrounding destinations during a normal week.,http://www.parking.uci.edu/AT/,"These numbers are taken from the 2012 UCI Transportation Habits Survey (representing undergraduate students) and describe the mode split for the average day at UC Irvine. This is an academic survey that was administered through a partnership involving the UCI Institute for Transportation Studies, the Anteater Express (campus shuttle), and Transportation and Distribution Services."
"University of California, Los Angeles",2016-03-24,2016-03-24 13:54:22,sustainability@ucla.edu,2.0,Pursuing,73.9,**,26.1,39.1,6.2,25.4,1.2,,http://www.beagreencommuter.com/,"
"
"University of California, Merced",2016-02-25,2016-02-25 16:56:18,cmccormick3@ucmerced.edu,2.0,Pursuing,67.0,**,33.0,6.0,10.0,50.0,1.0,"Data collected by means of a campus wide survey.
",http://taps.ucmerced.edu/alternative-transportation,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:24,john.cook@ucr.edu,2.0,Pursuing,55.0,**,46.0,36.0,10.0,7.0,1.0,Annual Modal Split Survey performed by Transportation and Parking Services,http://parking.ucr.edu/alt_trans/,--
"University of California, San Diego",2016-03-24,2016-03-24 18:50:45,smckinstry@ucsd.edu,2.0,Pursuing,57.0,**,43.0,9.0,24.0,23.0,0.4,Data is not segmented separately by students or employees. Mode %’s rounded in this report. All commuter mode split data reflects the total population surveyed by physical count of Commuter Vehicle by type and associated Commuter Vehicle people during Winter Quarter of 2013 of campus entrances for commuter people and commuter vehicles. A representative day is created over a multiple day process each year for a data set that allows comparison of mode split calculations year to year.,http://blink.ucsd.edu/facilities/transportation/commuting/solutions/index.html,"http://iride.ucsd.edu
http://blink.ucsd.edu/facilities/transportation/commuting/solutions/index.html
http://blink.ucsd.edu/facilities/transportation/commuting/index.html

The data available for campus commute modal split does not distinguish between students, staff, and faculty.

All commuter mode split data reflects the total population surveyed by physical count in 2012. Data is not segmented separately by students or employees. Mode %’s rounded.

UC San Diego can best ensure accuracy by reporting metrics currently tracked by Transportation Services, which meticulously documents the total number of commuters during its annual survey of pedestrian and vehicle traffic.
This survey focuses on tracking all commuter data for transportation and greenhouse gas purposes, but it does not distinguish between student, faculty, staff or campus visitors. Over a decade of data has been collected in this manner and demonstrates a significant increase in alternative transportation usage by commuters.  The percentages provided are the most precise representation of UC San Diego commuters currently available.
"
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:13:52,mo@geog.ucsb.edu,2.0,Pursuing,93.0,**,7.0,81.0,3.0,8.0,0.6,"A survey is administered by the Social Science Survey Center on behalf of the Chancellor's Campus Sustainability Committee and the office of Administrative Services. The survey measures commuter behavior by asking faculty, staff, and students to indicate the mode of transportation they use to travel to campus each day.  ",http://www.tps.ucsb.edu/,"UCSB disseminates an annual mode-split survey for all faculty, staff, and students. We also capture AVR as part of this data set. "
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:53:55,ekericks@ucsc.edu,2.0,Pursuing,92.8,**,7.2,53.0,7.1,32.4,0.3,An on-line Travel Survey was conducted during Spring 2014 to determine the trip-making frequency and mode choice for residential and commuting students and faculty/staff when traveling on/off campus and across campus.,http://taps.ucsc.edu/new-to-campus/new-enrolled-students.html,--
University of Colorado Boulder,2016-03-03,2016-03-03 07:49:54,dave.newport@colorado.edu,2.0,Pursuing,90.0,**,10.0,54.0,1.0,35.0,--,"Comprehensive web based survey of 1,272 students on April-May 2014. ",http://ecenter.colorado.edu/transportation,"This combines survey responses of both on and off-campus students. 

The survey question used is: What is the most likely way you would get to campus (or get around and off campus) in a typical week (if more than one mode is used, please indicate the mode used for the longest distance). "
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:34:37,lkogan@uccs.edu,2.0,Pursuing,17.15,**,83.03,7.28,6.63,2.6,0.64,A survey was sent to students and the data was compiled and analyzed.,http://www.uccs.edu/~pusafety/sustain/,--
University of Connecticut,2016-03-25,2016-03-25 18:14:19,rich.miller@uconn.edu,2.0,Pursuing,75.0,**,25.0,60.0,4.0,10.0,1.0,"These numbers were estimated by the transportation department in 2012. Currently, they are working on a transportation study to provide more up-to-date numbers.  Most on campus students walk or bicycle to class from their dorms. We have numbers from the University sponsored carpool parking pass option. It's hard to tell exactly how many students use the shuttle or public transit as the primary method of transportation, but this is a conservative estimate based on the 1.3 million passengers that take UConn shuttle annually.  Mopeds, motorcycles, and scooters require registration and a parking pass on campus.",http://ecohusky.uconn.edu/transportation/index.html,--
University of Denver,2016-02-26,2016-02-26 12:38:00,chad.king@du.edu,2.0,Pursuing,62.0,**,38.0,35.0,5.0,22.0,--,A transportation survey is submitted to all campus users every fall.,http://www.du.edu/transcenter/,--
University of Florida,2016-03-23,2016-03-23 09:05:08,miwilliams@ufl.edu,2.0,Pursuing,78.73,**,21.27,49.66,2.02,25.17,1.88, A survey asking for commute information for a typical week was sent out through e-mail and on social media. Information received was then tallied and compared to surveys done in 2009 for the Campus Master Plan process. Results were fairly consistent between the two surveys. ,http://www.parking.ufl.edu/pages/transcommopt.asp,--
University of Houston,2016-03-23,2016-03-23 17:20:31,smkelly5@central.uh.edu,2.0,Pursuing,38.0,**,62.0,16.1,10.0,11.4,0.5,A survey was conducted by our regional transit authority (METRO) along with permit sales data.,http://www.uh.edu/af-auxiliary-services/parking/transportation-options/,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:41,Cindy@uic.edu,2.0,Pursuing,86.64,**,13.36,28.55,3.11,54.98,--,An on-line commuter survey conducted in 2010.,http://www.uic.edu/sustainability/reports/CCSE_TransGrounds2009Report.pdf,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:18:22,spauldng@illinois.edu,2.0,Pursuing,90.3,**,9.7,54.8,1.1,33.2,0.4,The Champaign County Regional Planning Commission (CCRPC) received a grant from the Illinois Department of Transportation (IDOT) in 2011 to conduct a traffic circulation study for the University of Illinois at Urbana-Champaign’s University District.  The Campus Area Transportation Study (CATS) Technical Advisory Committee is the study steering committee.,http://www.fs.uiuc.edu/campusservices/tdm/tdm.cfm,--
University of Louisville,2016-02-13,2016-02-13 03:02:48,justin.mog@louisville.edu,2.0,Pursuing,43.4,**,56.6,29.3,8.6,5.0,0.43,The Sustainability Council conducted a baseline university-wide survey of commuting behaviors and willingness to consider alternatives in 2010 and repeated the survey in 2013 and again in the fall of 2015. A random sample of students and employees were surveyed.,http://louisville.edu/sustainability/operations/transportation.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:55:06,sdeleon@umd.edu,2.0,Pursuing,60.5,**,39.5,23.4,6.3,29.7,1.1,The Department of Transportation Services conducts a biennial survey about transportation behaviors in order to collect this data.,http://transportation.umd.edu/green.html,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:26,esmall@facil.umass.edu,2.0,Pursuing,67.0,**,33.0,14.0,9.0,36.0,2.0,Online questionnaire ,http://parking.umass.edu/index.php/generalinfo/commuteroptionsprogram/,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:02,Tyler_Arrigo@uml.edu,2.0,Pursuing,51.0,**,66.74,13.6,5.16,14.5,--,"A commuting survey is issued every other year as part of the MassDEP Rideshare program. Data was collected using the MassDEP Rideshare Report Random Sample method. The MassDEP Rideshare program survey is completed using a representative portion of the UMass Lowell population that is randomly generated from known commuter students. Results showed that 35% of students live on campus, resident students use sustainable transportation options to get to locations on campus. 33.26% of commuter students use sustainable transportation. Therefore, 7,334 or 51% of total students use more sustainable commuting options.

Additional data, while not the most current, exists in the following:
Transportation Management Plan
http://www.uml.edu/Facilities/Planning/default.aspx

“Registered addresses for parking decal holders were geo-coded to determine where faculty, staff, and students reside off campus. Auto commute distances were then estimated using straight line measurements for each type of decal.”",http://www.uml.edu/student-services/Transportation-Services/Sustainable-Transportation/default.aspx,"There is not data available for the percentage of students that use a motorcycle, scooter or moped. The number of motorcycle/scooter/moped decals is available but it does not fit with primary method of transportation for entire school year.


"
University of Michigan,2016-01-11,2016-01-11 15:37:34,ahorning@umich.edu,2.0,Pursuing,87.0,**,13.0,55.0,2.0,29.0,1.0,"The Sustainability Cultural Indicators Program is a multi-year survey of U-M faculty, staff, and students designed to assess sustainability knowledge, behaviors, and attitudes.  Additional information of the program can be found here:  http://graham.umich.edu/leadership/scip",http://pts.umich.edu/alternative_transportation/,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:09,mgranley@d.umn.edu,2.0,Pursuing,70.0,**,30.0,31.5,10.5,28.0,--,"Four different data sets were used in conjunction with one another in order to estimate the most accurate numbers possible for the travel trends of UMD’s students, faculty and staff. The data from the 2007 carbon commuting calculations were used, as well as data from 2009 student survey, though this data was only applied to the students, and not faculty and/or staff. Data from the 2013 MPIRG TRANSITion survey was used to speculate changes in overall trends, and finally recent data based on student, faculty, and staff housing was applied. ",https://umdsustain.wp.d.umn.edu/wp-content/uploads/2012/06/Scope3_Commuting.pdf,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:28:51,good0044@morris.umn.edu,2.0,Pursuing,75.0,**,25.0,75.0,--,--,--,"We employed a conservative method of analysis that looked a parking permit data and on-campus housing data to estimate commuting patterns. It is likely that if this analysis was done using campus addresses, we would be closer to 90%, because Morris is a residential campus and most students live near campus.",--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:32,stennes@umn.edu,2.0,Pursuing,77.0,**,23.0,32.0,3.0,42.0,1.0,"Department of Parking & Transportation conducted an origin/destination study.
",http://www1.umn.edu/pts/,--
University of Missouri,2015-05-01,2015-05-01 15:33:44,raghavans@missouri.edu,2.0,Pursuing,56.0,**,44.0,13.0,--,42.0,0.5,"Student commuting data is gathered based on the number of parking permits sold. The MUPD registered 450 bikes for the 2013-2014 academic year, and their officer estimates that represents about 20 percent of student riders on campus. ",http://parking.missouri.edu/html/main_bus.cfm,Student scooters and mopeds do not require a permit and are harder to track.  
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:17,johnstonrk@umkc.edu,2.0,Pursuing,15.0,**,85.0,1.0,1.0,12.0,1.0,,http://www.umkc.edu/transportation/metro.asp,--
University of Mount Union,2016-01-13,2016-01-13 13:05:27,mcclauca@mountunion.edu,2.0,Pursuing,76.0,**,22.0,76.0,1.0,--,1.0,"Estimated based on number of students who live on campus, 76%.",--,"Data entered by Leah Graham, data provided by Ron Crowl, Associate Vice President for Business Affairs, Chief Planning Officer"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:44:58,pshrestha3@unl.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:34,slburke@unomaha.edu,2.0,Pursuing,18.5,**,81.5,6.8,7.2,3.8,0.7,"University-wide survey conducted in April 2014 is the most reliable data. Not much has changed in programming since FY2013, so this data should be relatively reflective of the Performance year.
",--,--
University of New Hampshire,2016-03-25,2016-03-25 21:53:57,colleen.flaherty@unh.edu,2.0,Pursuing,81.0,**,19.0,45.0,6.0,25.0,5.0,"Estimated from prior year comprehensive standardized transportation surveys completed by the UNH Survey Center, parking permit applications and logical assumptions for the Durham-based population, the figures above represent the mode split for students in past GHGI reports and this update.
Comprehensive transportation surveys are completed every five years, sponsored by UNH Facilities in partnership with the Transportation Policy Committee and the Energy Task Force. The survey is being completed again this spring (2016).",http://www.sustainableunh.unh.edu/tdm,"Primary data from 2011 Transportation Survey was vupdated to reflect increase in Durham off-campus housing, and parking permit sales.   
In 2014:
UNH undergrad student on-campus pop is approx. 55% (these students walk/bike or take UNH campus Connector) so we start at that for base level

Of the remaining 45%, which are ‘off-campus students’ A few realities:

In 2013, UNH sold only 2,434 commuter parking permits (approx. 10% of combined grad and undergrad population) 

That leaves approximately 35% that come to campus by non SOV modes on a typical day…this is primarily Wildcat Transit, Campus Connector (off campus housing), walk, bike and carpool

Grad students (2,500) live predominantly off campus and likely split 50% SOV and 50% (walk, bike, transit, carpool)

See also http://www.unh.edu/transportation/tpc/"
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:57:57,cpshea@fac.unc.edu,2.0,Pursuing,82.0,**,18.0,18.0,3.0,57.0,1.0,"Annual commuter survey is conducted. In 2015, 511 students returned usable data that was used to calculate the above percentages. 

Our survey categories were combined as follows:
Walk, bicycle, or use other non-motorized means = walk and bicycle
Vanpool, carpool = vanpool, carpool, dropped off by friend/spouse
Public transport = bus, park & ride",http://move.unc.edu/,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:20,cgcarwei@uncg.edu,2.0,Pursuing,85.0,**,14.0,49.0,7.0,29.0,1.0,"Review of permit sales data, Greensboro Transit Authority ridership data, and surveys conducted by POCAM (Parking Operations and Campus Access Management).",http://parking.uncg.edu/sustainable/,"Information received from Suzanne Williams, Associate Director of Campus Access and Travel Demand Management and from the UNCG GHG Audit. Data are for FY 2013-14."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:32,pohlmank@uncw.edu,2.0,Pursuing,38.13,**,--,--,--,--,--,This is the percentage of students who did not buy a parking pass.,--,--
University of Oregon,2016-03-23,2016-03-23 11:01:59,smital@uoregon.edu,2.0,Pursuing,85.0,**,12.0,62.8,3.0,19.0,2.0,"These totals come from the 2014 University of Oregon Transportation Survey, which consists of a random sample of students. ",https://parking.uoregon.edu/content/transportation-options,--
University of Pittsburgh,2016-03-24,2016-03-24 12:58:56,lwzfm1@pitt.edu,2.0,Pursuing,88.0,**,11.0,36.0,3.0,49.0,1.0,"The percentage estimates provided above are based on three sources: our permit records, student housing availability on and near campus, and the Make My Trip Count (MMTC) regional transportation survey results for the University of Pittsburgh main campus in Oakland. The MMTC results indicate the primary mode of travel to and from campus, and do not include multi-modal trips or people who use different modes throughout the week (such as someone who usually drives, but takes the bus sometimes). 

Our total population of employees and students at the main campus is 40,894. 2,679 people* (7%) responded to the MMTC survey. This sample size provides us a 95% confidence level** and a 2% margin of error***. The confidence level and margin of error were calculated using SurveyMonkey's Sample Size Calculator: https://www.surveymonkey.com/mp/sample-size-calculator/

The University receives total transit trip data from Port Authority of Allegheny County, but at this time cannot distinguish between student and employee travel. We hope that future technology advancements will allow us to distinguish between employee and student ridership counts. 

According to MMTC, the mode split for the University of Pittsburgh main campus (for employees and students combined) is as follows:
Drive Alone: 38.6%
Carpool: 4.8%
Vanpool: 0.9%
Dropped off: 2.6%
Bus: 34.3%
Light Rail: 2.3%
Park and Ride: 3.0%
University Shuttle: 0.7%
Bike: 5.1%
Walk: 7.2%
Telecommute: 0.2%
Other: 0.3%

For the purposes of this reporting, the following adjustments were made to the MMTC category results:
- It is assumed that all students residing in campus housing on or near campus either walk or bicycle as their primary means of transportation.
- Resident students with a parking permit are not included in the ""commute with only the driver in the vehicle"" category estimates. This is because resident students are already on campus and would not need to use their vehicle to commute to campus.
- Due to changing class schedules, it is assumed that students typically do not carpool or vanpool for their commute to campus. However, it is reasonable to assume that some students may be dropped off or picked up from campus by a parent that lives or works near the Oakland area. About 3% of the people from Pitt that responded to the MMTC survey did indicate that they are dropped off. Thus, we assumed that 3% of students commuting to campus are dropped off by someone else. We included that 3% estimate in the ""vanpool or carpool"" category. 
- The MMTC results indicate that about 41% of the total Pitt population (students and employees) take the bus, light rail, university shuttle, or use park and rides. It was assumed that at least this percentage of students use some type of transit service as their primary mode of transportation to and from campus.
- 16% of the student population could not be accounted for using the above methods. This remaining percentage was applied equally to the ""commute with only the driver in the vehicle"" and ""take a campus shuttle or public transportation"" categories (8% each). This is assumed to account for students who drive alone but don't have permits and pay per day or at meters. It also assumes a higher percentage of students using public transit and campus shuttles than faculty or staff members.

The regional MMTC survey results can be found at: http://www.makemytripcount.org/
Main campus population numbers are reported as recorded in the University's 2016 Fact Book: http://www.ir.pitt.edu/factbook/documents/FactBook2016.pdf 

   * MMTC results can not distinguish between student and employee responses.
  ** Confidence Level: The probability that our survey sample accurately reflects the behaviors of the entire population.
 *** Margin of Error: The range, measured as a percentage, that the total population's behaviors might deviate from our sample responses.
",http://www.pc.pitt.edu/transportation/,--
University of Richmond,2016-02-17,2016-02-17 15:17:36,randreje@richmond.edu,2.0,Pursuing,67.4,**,32.6,66.1,1.3,--,--,"In the fall of 2015, Transportation Services and the Office for Sustainability sent a survey to faculty, staff, and student commuters. More than 500 people responded to the survey. The data was entered into the Carbon Calculator used to track our GHGs. From there we were able to get the information needed to complete this credit. ",http://www.sustainability.richmond.edu/operations/transportation.html,"Data extrapolated from fall 2015 transportation survey and campus residential information.

Residential students were listed as ""Walk, bicycle, or use other non-motorized means."" Commuting students who walk, bicycle, or use other non-motorized means make up 1.5% of the total."
University of South Carolina,2016-02-29,2016-02-29 17:11:41,KOPPAN@mailbox.sc.edu,2.0,Pursuing,--,**,--,--,--,--,--,"No such metrics currently in place to gather data.
A survey was created and deployed as part of a Parking Study for a Journalism class. This consisted of student focus groups and 12 in-depth faculty/staff interviews regarding parking at the university, as well as a survey that received over 5000 responses from those with a university email address. The survey was conducted to measure satisfaction with the university's parking system and could give an estimate of students commuting by car. 
",http://sc.edu/green/transportation/,USC's actual percentage of student commuters is not 0%; it has not been assessed yet. 
University of South Florida,2016-02-26,2016-02-26 13:29:37,sustainability@usf.edu,2.0,Pursuing,40.0,**,60.0,21.1,6.2,12.0,0.7,"Methodology
Online survey link distributed by USF IT to faculty, staff and students
Limitations: No incentive provided to increase response rate, Single email sent to official USF email account, Minority populations underrepresented slightly, Open-ended responses yet to be analyzed",http://usfweb2.usf.edu/parking_services/transportchoices.asp,These data are estimates based on the 2012 Parking and Transportation Service (PATS) Survey conducted by CUTR. http://www.cutr.usf.edu/
University of South Florida St. Petersburg,2016-03-25,2016-03-25 22:59:33,davidv@mail.usf.edu,2.0,Pursuing,24.9,**,72.2,13.9,4.1,5.7,1.2,"A survey was sent out to all students in an email from the Office of the Chancellor. It asked how students primarily commuted to and from campus. The answers available were :    
-Commute with only the driver in the vehicle (excluding motorcycles and scooters)
-Walk, bicycle, or use other non-motorized means
-Vanpool or carpool
-public transportation
-Use a motorcycle, scooter or moped
-other",http://www.usfsp.edu/sustainability/transportation/,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:23,prestonj@utk.edu,2.0,Pursuing,22.57,**,77.43,15.93,3.1,3.54,--,"A commuter survey was sent out to a representative population of UT students, faculty and staff. This survey had 34 questions, a mixture of qualitative, quantitative, and demographic questions. These numbers come from responses to the question: ""How do you primarily get to campus?""",--,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:02:52,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:27,mtare@uta.edu,2.0,Pursuing,5.0,**,69.4,11.0,17.0,2.7,--,,http://www.uta.edu/,--
University of Texas at Austin,2016-03-21,2016-03-21 16:14:51,jim.walker@austin.utexas.edu,2.0,Pursuing,68.0,**,29.0,37.0,3.0,26.0,2.0,The data is from a 2012 mode survey administered to the whole campus via email invitation. Response rate was low (834 students) but this is currently the only modal survey available to the campus. ,http://www.utexas.edu/parking/transportation/,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:00,thea.junt@utdallas.edu,2.0,Pursuing,19.0,**,--,19.0,--,--,--,"Students receive a free DART pass that opens the opportunity for no cost travel by means of bus and rail systems in the DFW area.
The Comet Cab is a free, domestically based service that transports student, staff, and faculty all across the university to reduce the need for driving individual vehicles to different locations on-campus.
To calculate the percentage of students with alternative commutes, the following data were used:
 The total number of students living in on-campus housing, as these students have no commute to school.

-Total number of riders of our bus system in October 2015.
-Daily, weekly, and monthly ridership numbers are provided by busing contractor.
-Daily numbers were averaged to determine the number of students who commute via bus.

UT Dallas has not conducted a commute survey for students, staff, and/or faculty.",http://www.utdallas.edu/parking,A full student commute survey has not been conducted.
University of Toledo,2016-03-25,2016-03-25 15:21:11,neil.tabor@utoledo.edu,2.0,Pursuing,49.0,**,51.0,24.0,16.0,8.0,1.0,Data available here is from a 2013 survey of campus users. Results were extrapolated for the entire campus based by percentages of participant responses.,http://www.utoledo.edu/sustainability/transit/index.html,"This survey did not distinguish between students, faculty and staff and for the purposes of this credit and OP-20: Employee Commuter Modal Split, the inputted results will be the same."
University of Virginia,2015-12-11,2015-12-11 14:05:45,art2k@Virginia.edu,2.0,Pursuing,95.2,**,4.9,64.0,5.4,24.9,0.8,Student mode split are based of research assumptions made by a third party consulting firm in the development of the University's Transportation Demand Management Plan (Phase 2).  Student residence geocode data shows that approximately 94.9% of students live within 5 miles of Grounds.,http://www.virginia.edu/parking/TDM/index.html,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:46,a.lajoie-omalley@uwinnipeg.ca,2.0,Pursuing,79.3,**,20.7,17.5,11.5,50.1,0.2,The Campus Sustainability Office hired external consultant Green Action Centre to assist in designing and online transportation survey for students and then faculty and staff. The survey was conducted in January 2015. ,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:44,fermanij@uwgb.edu,2.0,Pursuing,50.0,**,50.0,35.0,10.0,5.0,--,An all-student survey was conducted to request information on transportation habits.  ,--,This survey was conducted in Fall 2014. 
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:33:39,knelson6@uwm.edu,2.0,Pursuing,54.2,**,45.8,16.1,4.2,33.6,0.3,"A survey was sent to all students in November 2014. 3,720 student respondents completed the survey.",https://www4.uwm.edu/parking/trans_options/student-upass.cfm,Data was supplied by a Transportation Survey conducted in November and December 2014.
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:40:40,kermathb@uwosh.edu,2.0,Pursuing,30.0,**,70.0,21.0,6.0,3.0,--,"An anonymous survey was sent out to the entire campus community that asked questions on mode of transportation, distance, and frequency. ",http://www.uwosh.edu/parking/alternate-transportation,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:01,seebotha@uwplatt.edu,2.0,Pursuing,83.0,**,17.0,69.5,7.5,6.5,--,"We completed an online survey of students in spring of 2015. The survey was administered to a representative sampling of our student body based upon sex and enrollment year (1507 students). We had 305 respondents for a 20.23% response rate. Answers were kept anonymous. 
",http://www.uwplatt.edu/transportation,--
