Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Total energy consumption (all sources, transportation fuels excluded), performance year",Total clean and renewable electricity generated on site during the performance year and for which ...,Clean and renewable energy from the following sources:,A brief description of on-site renewable electricity generating devices ,"Non-electric renewable energy generated on-site, performance year (Option 2)",A brief description of on-site renewable non-electric energy devices,Total clean and renewable electricity generated by off-site projects that the institution catalyzed ...,"A brief description of off-site, institution-catalyzed, renewable electricity generating devices",Total third-party certified RECs and similar renewable energy products purchased during the ...,A brief description of the RECs and/or similar renewable energy products,The website URL where information about the institution's renewable energy sources is available,Public Notes
Oberlin College,2016-03-21,2016-03-21 16:09:43,bflynn@oberlin.edu,2.0,Pursuing,364509.0,585.273,**,"In 2014, we added a 40KWh PV soar array on the top of a Kahn Hall residence hall.

Additionally, the Adam Joseph Lewis Center and its associated parking pavilion combine to form 160 kW solar PV array. The Athletic and Physical Education Department installed a 175 W solar panel on the Savage Stadium scoreboard. ",--,,12325.605,"In 2012, a 2.27 MW solar array was installed on about 10 acres of Oberlin College property.  This was a collaboration with the municipal utility provider for power.  This ground-mounted tracking array produces approximately 12% of the College's current electricity needs.",21737.0,Green-E certifiable Hydro RECs purchased from local municlpal utility. Oberlin College retains the RECs from the 2.27 MW solar array and sells these solar RECs for wind RECs on the open market.,http://www.oberlin.edu/dormenergy,"Additionally, through joint commitments between the College and the City of Oberlin and the Oberlin Project, Oberlin has secured agreements to generate and purchase renewable energy to the tune of 89% by 2017. This year in 2015, our grid is approximately 85% renewable."
Ohio University,2016-03-23,2016-03-23 07:57:21,goetze@ohio.edu,2.0,Pursuing,1361385.0,483.0,**,One 61.1 kW photovoltaic array on the Lausche storage shed; one 41.1 kW of photovoltaic panels at the Compost Facility; one 2.4 kW photovoltaic array on the EcoHouse.,2.7,Solar thermal systems at the compost facility and on the EcoHouse; biomass (wood pellet) furnace at the EcoHouse,--,,52820.0,"As of Dec. 1, 2015, Ohio University is purchasing 50% of its electricity (approximately 60,000,000 kilowatt-hours (kWh)) through wind renewable energy certificates (RECs) annually.  A 4-year REC purchase has been approved, and a contract has been signed through the end of 2016. ",http://www.ohio.edu/sustainability/programs/Energy.cfm,"Ohio University is a US EPA Green Power Partnership Top 30 College and University Partners for the annual purchase, beginning in Dec, 2015, of 60,000,000 kWh of electrical power from RECs.  The data entered above for REC purchases is an estimate for Dec 2015 through March 21, 2016 using electricity usage from the Ohio University Lucid dashboard. 

Non-electric (solar thermal) renewable energy data is from FY14; other data is from FY15."
Onondaga Community College,2016-02-26,2016-02-26 16:33:55,vormwals@sunyocc.edu,2.0,Pursuing,92538.01,90.48045666,**,Onondaga has a 21.16 kw solar array on the roof of the Whitney Applied Technology Center and a 5.3 kw solar array on the roof of the Furnace Brook Center.,--,Onondaga has a geothermal heating and cooling system installed at the Furnace Brook Center.,--,,12949.46,Onondaga purchases Green-e certified RECs for 30% of campus electricity.,--,--
Oregon State University,2016-03-30,2016-03-30 14:49:56,brandon.trelstad@oregonstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania State University,2016-03-21,2016-03-21 11:48:44,mme2@psu.edu,2.0,Pursuing,3221565.0,51.0,**,"Penn State has four different solar arrays on campus:
The first is a 2 KW array that was installed in 2001. This array is thin film panels with a grid-tied inverter and is fixed roof mounted on our Physical Plant Building. 
The second system is a 1.75 KW pole mounted array and uses passive tracking. It is installed on our Center for Sustainability greenhouse and is mono-crystalline silicon panels with a grid-tied inverter. 
The third system is an 8 KW array which is roof mounted onto our MorningStar home, which was PSU's 2007 entry into the Solar Decathlon. This array is mono-crystalline silicon panels with a grid-tied inverter. 
The fourth is a 5 KW system located at the Physical Plant Building roof to offset a vehicle charging station for electric cars purchased as part of a Reinvention Fund grant through the Sustainability Institute. ",--,not applicable,57079.0,"In 2013, Penn State entered into a 10-year power purchase agreement with Mahoning Creek Hydroelectric Company. This new 6MW hydroelectric generating plant was built in 2013 at the existing USACE dam on Mahoning Creek located in Armstrong County, PA.  Penn State will purchase all of the net electric output from the facility and retain the environmental attributes. This is approximately 8% of the University Park campus’ electric purchase.  ",--,not applicable,http://sustainability.psu.edu/live/what-penn-state-can-do/energy-environment/energy-environment-strategies-projects,--
Pittsburg State University,2016-03-24,2016-03-24 14:47:16,bpeery@pittstate.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Pitzer College,2016-02-22,2016-02-22 14:38:46,warren_biggins@pitzer.edu,2.0,Pursuing,17268.0,395.87,**,"70.3 kW solar system
17.0 kW solar system",--,,--,,--,,--,--
Plymouth State University,2016-02-29,2016-02-29 11:42:31,bweisenhauer@plymouth.edu,2.0,Pursuing,268801.0,--,**,,--,,--,,--,,--,--
Pomona College,2016-01-11,2016-01-11 17:28:30,alexis.reyes@pomona.edu,2.0,Pursuing,165288.255,1256.29,**,"The College currently has seven solar photovoltaic arrays that together total 362 kW including a teaching solar laboratory on the roof of Pomona Hall, one of our LEED Platinum residence halls.  The solar PV arrays are on the following buildings: Richard C. Seaver Biology Building (2.5 kW), Lincoln-Edmunds Buildings (88.2 kW), two North Campus Residence Halls (81.7 kW), South Campus Athletic Facility/Parking structure (81 kW), and the Grounds Facility (109 kW).",1157.54,"In 2013-2014, 14,326 kBTU of solar thermal hot water heating was produced by Sontag residence hall for two North Campus residence halls, and the Pendleton Pool heating system produced 1,143,217 kBTU.",--,,--,,http://www.pomona.edu/administration/sustainability/action-plan/initiatives/energy/,--
Portland State University,2016-03-24,2016-03-24 17:19:48,jenny.mcnamara@pdx.edu,2.0,Pursuing,281211.0,160.22,**,"Lincoln Hall Solar PV Array installed in 2011. 234 panel array with peak capacity of 54kW, equivalent to about 2.9% of building’s energy demand. Dashboard: http://live.deckmonitoring.com/?id=psu_lincoln_hall. This is the only source counted in above figure.

“Living Laboratory” project in 2010 on Science Research & Teaching Center’s (SRTC) 3rd floor patio integrates green roof technology with PV at a 4.9 kW peak output. Monitoring of the various functions of green roofs and the output of the solar arrays will test the hypotheses that plants grow better with partial shade and solar panels perform better with a cooler under layer. Dashboard:http://solar.pdx.edu/home/visualizations/

PV Test Facility installed in 2008 at Cramer Hall includes five different types of solar arrays representing different technology and inverters with a 5 kW peak output. Annually, this could generate about 5,000 kWh, which is estimated to save $330 in annual utility costs. Dashboard: http://solar.pdx.edu/home/visualizations/",--,,--,,--,,http://www.pdx.edu/sustainability/energy,"Performance year FY 2015 (7/1/14-6/30/15)

"
Princeton University,2016-01-20,2016-01-20 17:00:56,kristiw@princeton.edu,2.0,Pursuing,1487000.0,--,**,"Princeton owns a 4.5 megawatt AC solar photovoltaic system. The system is comprised of 16,528 panels and 9 500kW inverters. Although the system provides approximately 5.5% of the annual electricity to campus, Princeton is selling all SRECs associated with our solar photovoltaic system until at least 2020. 

Additionally, Princeton owns a system of solar panels that sit on top of Frick Chemistry Laboratory. The system's designed capacity is between 70-75 megawatts, and the system produces on average the equivalent of 2% of the building's power demand. This represents less than 1% of total campus energy use.",--,,--,,--,,http://www.princeton.edu/facilities/info/energy/solar_field/,--
Principia College,2016-01-30,2016-01-30 21:54:28,karen.eckert@principia.edu,2.0,Pursuing,34833.0,--,**,---,--,---,--,---,34833.0,"Integrys Energy Services, Inc. provided 100% of campus electric use (National Wind, 9200 RECs) during the performance year (2014). Contracts are signed on an annual basis, vendors are competitively selected.",http://www.integrysenergy.com/,--
Purdue University,2016-02-26,2016-02-26 16:45:10,mgulich@purdue.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Randolph College,2016-02-26,2016-02-26 14:25:21,llemaitre@randolphcollege.edu,2.0,Pursuing,64352.0,--,**,,--,,--,,3500.0,Randolph College is purchasing most of its electricity from a competitive service  company producing electricity generated from landfill gas (Ingenco) ,--,--
Rice University,2016-03-25,2016-03-25 16:31:46,rrj@rice.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Rochester Institute of Technology,2016-03-25,2016-03-25 15:52:46,elcpro@rit.edu,2.0,Pursuing,682185.0,1507.94,**,The University owns 4 roof top solar installations and a small ground mounted array at the Presidents house. Last year the University entered into a PPA for a 2MW array that was installed on the south side of campus.,--,,--,,35632.17,15% of the Institute’s purchased electricity is 'Green-E' certified.  ,http://www.rit.edu/sustainability/energy-and-climate,--
Saint Louis University,2016-03-24,2016-03-24 17:16:41,bverhof1@slu.edu,2.0,Pursuing,741869.0,43.44,**,SLU finalized the leasing of 9 solar arrays on 9 designated campus buildings through the Ameren rebate incentive program. The University began investigating the option of leasing the panels and utilization of the state-rebates as part of the Energy & Utilities Strategies Action Team. Facilities Services submitted a total of thirteen applications to secure the approvals necessary for placing the solar panels. Final installation of the arrays was completed in FY15.,--,n/a,--,n/a,--,n/a,http://www.slu.edu/facilities-services-home/sustainability/campus-operations/utilities/solar,"SLU finalized a leasing option to strategically place solar powered panels on 6 designated buildings around campus through an Ameren rebate incentive program   The University plans to have panels installed at the approved locations prior to February 27, 2015.

SLU is investigating a leasing option to strategically place solar panels on additional designated buildings around campus, optimizing the ability to utilize state-rebates. Facilities Services submitted a thirteen applications this past year to secure the approvals necessary for placing solar powered panels on buildings around campus through an Ameren rebate incentive program. The University plans to have the approved locations installed during the 2014-2015 fiscal year.
"
San Francisco State University,2016-03-25,2016-03-25 17:33:31,kordesch@sfsu.edu,2.0,Pursuing,59843.0,--,**,"SF State hosts 3 demonstration fuel cells on campus. Our local utility operates the fuel cells and uses the electricity generated, while SF State uses the heat and water produced by the process. ",--,,--,,--,,--,--
Santa Clara University,2016-02-26,2016-02-26 20:44:43,lkalkbrenner@scu.edu,2.0,Pursuing,204073.62,336.26,**,"50 kW PV on the roof of the facilities building.
1 mW PV on the roof of Pat Malley Fitness and Recreation Center, Leavey Event Center, and the Parking Structure. 
25 kW PV on the roof of St. Clare Residence Hall. 
7 kW PV on the roof of the Katharine and George Alexander Community Law Center. 
7.3 kW PV on 2007 Solar Decathlon house. 
10.8 kW PV on the 2009 Solar Decathlon house.
10 kw wind turbine",4138.104,60-collector solar thermal system on the rooftop of Benson Memorial Center as well as solar thermal panels on the rooftops of several residence halls.,--,,77138.496,"SCU purchased 22,608,000 kWh of green power from Silicon Valley Power in FY2014/2015.",https://www.scu.edu/sustainability/operations/energy-climate/renewable/,--
Seattle University,2016-03-23,2016-03-23 11:52:41,thompson@seattleu.edu,2.0,Pursuing,136255.0,0.04,**,"Photovoltaic solar panels on the Admissions and Alumni building roof generate 5,600 kWh of electricity per year and solar photovoltaic panels installed near the Student Center generate 5,500 kWh of electricity annually.",--,,--,,1238.0,RECs are purchased from our local electric utility's REC program annually.,http://www.seattleu.edu/cejs/sustainability/what-su-is-doing/energy/,--
Sewanee - The University of the South,2016-02-10,2016-02-10 09:31:35,mpate@sewanee.edu,2.0,Pursuing,48653.819,156.35,**,"Snowden Hall, a LEED- Gold Building, has a large array of solar panels on its newest addition. These panels provide up to 25% of the energy for the building. ",--,None,--,None,3040.0," During the previous year we have purchased 747,000 kWh of RECs through the TVA (our supplier) Green Power Switch program.  This is done on a monthly basis (not a long-term contract).  We have made these purchases continuously since 2006.  TVA generates green power mainly with wind, solar, and methane recovery.",--,--
Sheridan Institute of Technology and Advanced Learning,2016-01-15,2016-01-15 16:30:14,andre.plante@sheridancollege.ca,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Simon Fraser University,2016-02-08,2016-02-08 23:41:43,erica_lay@sfu.ca,2.0,Pursuing,490896.456778,34.1,**,"Solar Photovoltaic Panels
In the summer of 2008, SFU installed 54 solar photovoltaic panels on the south face of the Facilities Management Building to convert sunlight to electricity. It is a demonstration project and the purpose is to collect data to determine the efficiency of the solar photovoltaic array.

The panels can generate up to 10 kilowatts of power, and about 10,000 kilowatt hours of electricity annually. On average, a typical household in the Lower Mainland consumes 8,900 kilowatt hours of electricity.

The project allows SFU to offset 250 kg of greenhouse gas annually.

Interested in finding out how much electricity the panels are generating? Visit our website for live data: http://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=1486548f-a496-4ea0-bed5-48dd50e90b7c&plant=4afcfd2b-1d53-46d7-b8f4-21348f09fc1d&splang=en-US",37.9,"Solar Hot Water Panels

In the summer of 2008, SFU installed 2 sets of solar collectors on the roof of the Facilities Management Building.
The solar hot water system utilizes the energy from the sunlight to heat the water. It is designed to work with the domestic hot water heater in the building. In the system, a heating fluid (Glycol) is pumped into the solar collectors where it is heated. The heated fluid is then pumped into a heat exchanger where the heat is transferred to the water.

The solar hot water system not only provides domestic hot water to the building, but it also helps SFU reduce natural gas consumption and greenhouse gas emissions. The system allows SFU to reduce about 40 GJ of natural gas and offset about 2,000 kg of greenhouse gas annually.",--,,--,,http://www.sfu.ca/fs/Green-Services/Case-Studies/Renewable-Energy.html,--
Slippery Rock University,2016-02-29,2016-02-29 14:18:53,paul.scanlon@sru.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--
Smith College,2016-03-23,2016-03-23 08:29:15,dweisbor@smith.edu,2.0,Pursuing,425773.37,44.5,**,"There are four solar panel installations on Smith College Buildings. 

Three are on Smith's main campus (Ford Hall, Indoor Track & Tennis (ITT) facility, and the campus Center) which were financed through PPAs.  For the second half of the twenty year contract Smith will purchase the green attributes of the power as well.  At this time these are not included in the total MMBtu's of clean and renewable electricity generated on-site. 

The forth installation is at the Archibald MacLeish Field Station. The College has retired the RECs for this project, a 9.4kW array.  This array is the only one included in the above total MMBtu's. The Field Station solar data is collected on a calendar year basis.  Because of this, the data reflected here is from January 1, 2014, through December 31, 2014.  ",--,,--,,--,,http://www.smith.edu/green/energy_solar.php,"The Field Station solar data is collected on a calendar year basis.  Because of this, the data reflected here is from January 1, 2014, through December 31, 2014.  

Campus Center:
http://www.smith.edu/newsoffice/releases/NewsOffice09-056.html

Indoor Track & Tennis (ITT) facility and Ford Hall:
http://www.smith.edu/newsoffice/releases/NewsOffice13-048.html

Field Station:
http://solartoday.org/2014/03/smith-college-accepts-the-living-building-challenge/"
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:36,huminskis1@southernct.edu,2.0,Pursuing,1979643.3,15.8,**,"The reported total for the performance year reflects a partial year's worth of power generated during the fiscal year 2012. Our first P/V installation (50 KW) became operational in October, 2011, and reporting extends to June 30, 2012.

SCSU purchased and owns a second rooftop P/V solar installation, also 50 KW. The second installation is on the roof of the School of Business, and became active July, 2012.

SCSU is in planning stage for developing up to 1MW on site P/V solar in Parking lot 9 on Farnham Ave.  The RFP is in final stages of review, and is projected to be released 4/1/2016. ",--,,--,,12470.4,"SCSU was awarded 200 RECs by Sterling Planet, Inc. as a prize for placing fourth in Campus Conservation Nationals, 2012. The contract time frame ended 12/31/2012.

We also have a contract with our utility company to purchase 15% of our electricity from renewable energy sources as part of the Connecticut Clean Energy Fund.",http://www.solrenview.com/SolrenView/mainFr.php?siteId=943,--
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:21:56,glkurtzhals@siu.edu,2.0,Pursuing,1573902.0,111.14,**,"28.2 kW-peak fixed solar PV array, grid-tied",--,n/a,--,n/a,--,n/a,http://www.pso.siu.edu/physicalplant/utilities/index.html,--
Southern Oregon University,2016-03-23,2016-03-23 15:38:34,beigelcod@sou.edu,2.0,Pursuing,98991.06,1157.15,**,"SOU has a 56 kW solar photovoltaic system on the roof of the Higher Education Center in Medford. The system consists of 319 Solarworld crystalline silicon photovoltaic modules (each with 175-watt maximum power) and a SatCon 50-kW inverter.  The photovoltaic modules were installed in twenty-nine strings of eleven modules.  The modules were installed at a 20-degree tilt on a rack system.  The solar photovoltaic system was designed to meet the “Solar Electric System Requirements” developed by the Energy Trust of Oregon.  The annual useful energy produced by the solar photovoltaic system is approximately 70,741 kilowatt-hours per year, and the STC rating is 55,825 watts. 

SOU also has a 6kw solar array atop the Hannon Library on campus. The Hannon Array consists of 24 solar panels connected together to send its output direct current electricity through a power conversion device (inverter) that feeds directly into the City of Ashland's 3-phase power grid, at 220 volts AC. This system has been faithfully producing its peak 6 kw since installation. http://www.sou.edu/sustainable/librarysolararray.html

SOU installed our third solar photovoltaic system on our student union building in August 2013. The 32 kW system is the largest on the Ashland campus. The university is also recently installed two larger systems, 72 kW and 81 kW, on the recently completed LEED Gold residence halls. Generation of solar energy from one of these systems is not included in this report as it was not operational during the time frame covered in this report.",354.51,"SOU's Dining Hall and McLoughlin Residence Hall each have solar hot water systems installed to augment the natural gas domestic water heating.  The system on McLoughlin Hall consists of an array of 16 flat plate solar collectors mounted on the roof, facing due south with a tilt of approximately 15 degrees from horizontal.  Each solar collector is 48""x122"".  Total solar collector absorber area is 597.3 square feet.  Efficiency of the collectors is 60.7%.  The collectors are piped together on a glycol loop piped to a heat exchanger. The system has two 500 gallon solar preheat storage tanks. 

The solar hot water system on the Dining Hall consists of an array of 8 flat plate solar collectors mounted on the roof, facing due south with a tilt of approximately 15 degrees from horizontal.  Each solar collector is 48""x122"".  Total solar collector absorber area is 321.2 square feet.  Efficiency of the collectors is 66.2%.  The collectors are piped together on a glycol loop piped to a heat exchanger.",--,,--,"Through the student-initiated Green Fund, SOU formerly purchased RECs to offset 100% of the electricity consumed on campus and carbon offsets to offset 100% of the natural gas consumed on campus from the Bonneville Environmental Foundation. The RECS and carbon offsets purchased by B-E-F for SOU were from Green-e Energy certified wind energy facilities located in North America. In 2013, students voted to modify use of the Green Fund to offset 100% of the university's water use and fund renewable energy projects on campus, discontinuing purchase of RECs and carbon offsets in an effort to make our efforts more localized.",http://live.deckmonitoring.com/?id=highereducationcenter,"http://www.solar4rschools.org/schools/sou-stevenson-union
http://www.solar4rschools.org/schools/sou-hannon-library
http://www.solar4rschools.org/schools/sou-mcloughlin-residence-hall
http://www.solar4rschools.org/schools/sou-shasta-residence-hall
http://www.kdrv.com/sou-installs-solar-panels-on-roof/"
Spelman College,2016-02-15,2016-02-15 08:21:30,aefrazier@spelman.edu,2.0,Pursuing,68190.21,--,**,NA,--,NA,--,NA,289.13,"RENEWABLE ENERGY FOR LAURA SPELMAN HALL 35% OF TOTAL 
USAGE FOR 2-YEARS",--,--
St. John's University,2016-03-02,2016-03-02 16:31:39,goldsmit@stjohns.edu,2.0,Pursuing,430273.9,--,**,,--,,10814.93,SJU won 500KW of power through Re-Charge NY program which is the supply of electricity from hydro power. This award is good for the 7-year period 2014 through 2021.,--,,--,--
Stanford University,2016-03-23,2016-03-23 01:12:22,mbhafer@stanford.edu,2.0,Pursuing,336406.672,3071.25,**,"The following installations are included in this credit:
Y2E2 #1, #2, & #3, Huang, Spilker, Knight, Synergy, Hoover, Res2, Jasper Ridge

By the end of 2016, Stanford will procure 65% of its electricity from renewable sources, 78.5 MW of which will be owned by Stanford and 5.5 MW of which will be located on-site. This transition to renewable sources, along with the efficiencies gained from Stanford's new Central Energy Facility and the conversion from steam to hot water, will reduce Stanford’s greenhouse gas emissions by 68%. 

Please see the Renewable Energy Fact Sheet for additional information:
https://sustainable.stanford.edu/sites/default/files/Renewable%20Energy.pdf

",--,n/a,--,"By the end of 2016, Stanford will procure 65% of its electricity from renewable sources, 78.5 MW of which will be owned by Stanford and 73 MW of which will be located off-site. This transition to renewable sources, along with the efficiencies gained from the new CEF and the conversion from steam to hot water, will reduce Stanford’s greenhouse gas emissions by 68%. 

Please see the Renewable Energy Fact Sheet for additional information:
https://sustainable.stanford.edu/sites/default/files/Renewable%20Energy.pdf
",--,n/a,http://lbre.stanford.edu/sem/renewable_energy,--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:49:36,malichte@esf.edu,2.0,Pursuing,121106.0,333.0,**,ESF has five photovoltaic arrays (114 kw total) on its main campus and research/experiment properties. ,983.0,"ESF has biomass boilers at two of its satellite properties (Ranger School, Adirondacks; Heiberg, Tully).",--,,3849.0,100% of electricity delivered to ESF's Residence Hall is PPA for electricity from a New York State wind farm. ,http://www.esf.edu/sustainability/action/default.htm,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:55,Beth.Klein@cortland.edu,2.0,Pursuing,463991.0,78387.1,**,We have one smaller system with a much larger Solar Photovoltaic system coming on line in the very near future.  The smaller system is a 34 kW capacity solar PV array on the Dragon Hall residence hall.  ,2364.8,"Geothermal Installation in the Professional Studies Building for heating and cooling-approximately 70,000 Sq. Ft.",--,,302202.0,SUNY Cortland was the first SUNY Campus to purchase 100% of the electricity needs through Renewable Energy Credits.  ,--,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:20,dezarn@geneseo.edu,2.0,Pursuing,260015.0,--,**,The eGarden is an on-campus field station that operates a wind turbine and a small solar array for research at the the site.,--,The campus employs 2 large geo thermal fields for heating and cooling some buildings,--,Currently none but the college is in negotiations for a power purchase agreement from a solar energy developer.,--,none currently,--,The college is in negotiations for a power purchase agreement from a solar energy developer.
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:16,mittenl@newpaltz.edu,2.0,Pursuing,232084.0,189.0,**,"SUNY New Paltz has four separate solar photovoltaic arrays, three roof-mounted, and one ground-mounted system:

48 KW array on the roof of the Athletics and Wellness Center.
10 KW array on the roof of Resnick Engineering Building
7 KW array on the roof of Elting Gym
5 KW ground-mounted array powering the GEM Cars (the white golf cart-type looking vehicles that facilities staff drive around during the spring, summer, and fall)",--,Not applicable.,--,Not applicable.,--,Not applicable.,http://sites.newpaltz.edu/sustainability/energy/renewable-energy/,"The 7 KW array on the roof of Elting Gym is not set up to send electricity generation data to an online server, so we did not include the electricity generated from the Elting Gym array in calculations for this credit.  The 5K Gem Car array has been on line for a number of years, but it was not connected to the tracking system until November of 2013.  For the Gem Car array, the College used data from November of 2013 to October of 2014 to calculate this credit.  The College used data for 2013 for the Athletic and Wellness Center and the Resnick Engineering Building array."
Sterling College,2016-01-28,2016-01-28 10:04:16,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,575.0,40.338,**,"Sterling College has two 4kW solar panels that move with the sun. This maximizes the amount of sunlight reaching the panels, which in turn maximizes the amount of electricity they generate for the campus.

The barns are also powered by their own solar panels and a wind turbine.",--,,222.525,"According to Hardwick Electric, our utility for electricity, 45% of their energy needs come from green and renewable energy facilities utilizing solar, biomass, and hydro generating technologies.",--,,http://www.allearthrenewables.com/energy-production-report/detail/294#view=yearly&date=2014-01-01,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:09,gotham360@stevens.edu,2.0,Pursuing,173954.0,998.0,**,Onsite Solar PV Panels.,--,,--,,--,,--,--
Syracuse University,2016-03-25,2016-03-25 15:33:01,macadwel@syr.edu,2.0,Pursuing,1684082.0,--,**,Negligible (pilot/demo only).,--,,--,,13989.77,"Syracuse University has voluntarily purchased green power since 2005, but this is just one component of the University’s integrated Climate Action Plan (CAP). In 2014 the University increased its purchase of green energy from 20% to 35%.",--,--
Temple University,2016-02-09,2016-02-09 14:47:10,kathleen.grady@temple.edu,2.0,Pursuing,1736831.0,162417.12,**,"Temple installed a 4,500 SF, 63-kilowatt solar array on the south-facing roof of Temple’s
Edberg-Olson Hall.",--,,--,,71945.0,"The university  purchased 21,086 MWh of national wind energy. ",http://sustainability.temple.edu/solar-panels-edberg-olson-roof,--
Texas A&M University,2016-01-15,2016-01-15 14:24:51,kwellman@tamu.edu,2.0,Pursuing,3865519.0,--,**,,--,,--,,--,,--,--
Texas Tech University,2016-03-25,2016-03-25 15:46:49,carey.hewett@ttu.edu,2.0,Pursuing,1353612.0,11757.0,**,"We have a small amount of solar panels, but we do not meter their output and it would amount to less than 1% of consumption. The energy identified here as renewable comes from the back-pressure turbine where steam pressure is reduced by powering a turbine.  The steam pressure must be reduced before sending it to campus.",--,"We have several wind turbines, at our wind energy museum, SWiFT research station, Juntion,TX campus, but at this time their generation is not compiled.",--,,--,,--,--
The Ohio State University,2016-01-26,2016-01-26 15:46:50,dial.15@osu.edu,2.0,Pursuing,5231718.0,--,**,,--,,--,,431317.0,"Ohio State University purchased a total of 126,411,724 kWh Wind Power and the accompanying Renewable Energy Certificates (REC’s) from the wind power producer.   Additionally, 10,839,795 kWh of RECS were purchased through third party verified firms to fulfill the associated LEED credit requirements for a total of 3 university building and construction projects.",--,--
Tufts University,2016-02-25,2016-02-25 15:40:25,tina.woolston@tufts.edu,2.0,Pursuing,754600.0,87.7,**,"23.8 kW photovoltaic system on Sophia Gordon Hall
2 250 Watt photovoltaic panels on Fairmont House
99 kW photovoltaic system on Dowling Hall

",--,"Sophia Gordon Hall hosts a roof mounted solar thermal system to supplement the gas-fired domestic hot water system used in the residence hall.

Schmalz House has two solar thermal panels for supplemental domestic hot water and a small photovoltaic panel to run the system pump.",--,,--,Purchased RECs from 3 Degrees on 8/17/2009 for LEED projects.,http://operations.tufts.edu/facilities/utilities-conservation/,Performance year is FY14
Tulane University,2016-02-04,2016-02-04 11:03:54,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:24:12,JdeHart@unity.edu,2.0,Pursuing,10575.2,12.0,**,"A 5.4 kW photovoltaic array is integrated into the net-zero energy, LEED Platinum Unity House -- our former president's on-campus home.  Other solar PV generation on campus are from PPAs so we cannot claim the REC credits.
",1173.0,"Six wood pellet boilers are operating on campus to provide heat and hot water.  
An evacuated-tube solar thermal array heats domestic hot water for our ten-student TerraHaus residence.  BTUs from that production have not been included here.  Two solar thermal panels provide much of the hot water needed for the Unity House.  ",--,,3412.0,"99% of electricity emissions are offset by the purchase of 1,000 (1 million kWh) green-e certified RECs provided by our energy supplier through a cooperative electricity purchasing agreement. ",http://www.unity.edu/news/unity-college-and-revision-energy-partnership-leads-affordable-renewable-energy,--
University at Albany,2016-02-23,2016-02-23 17:54:09,mmallia@albany.edu,2.0,Pursuing,791400.0,190.0,**,The University has a 49.8 kW solar photovoltaic system on the Social Science building roof.,--,none,--,none,9010.0,"The University purchased 3,234,027 kwh of Green-e Energy certified clean source and American wind RECS for University Hall, Business Building, Service Building A and Liberty Terrace from Renewable Choice. 
In FY 14-15, we purchased 2-years’ worth of RECS for the Business Building, SBA, Mohawk Tower and Liberty Terrace. In FY 13-14, we purchased 3-years worth of REC's for University Hall.",http://www.albany.edu/gogreen/4.renewable_energy.shtml,--
University at Buffalo,2016-01-19,2016-01-19 10:15:45,jlk47@buffalo.edu,2.0,Pursuing,1450208.0,3146.0,**,"750,000KWH ground mounted PV Array and a 75KWH roof mounted PV array.",--,,6.82,"Steel Winds Site - Lackawanna, NY - lakeside property that is currently an unremediated brownfield site.",254433.0,Approximately 35% of the University's purchased electrical needs are accommodated through RECs largely associated with solar energy  production. ,http://www.buffalo.edu/sustainability/working-green/greening-our-operations.html,--
