Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
The Ohio State University,2016-01-26,2016-01-26 15:46:48,dial.15@osu.edu,2.0,Pursuing,True," 

The University complies with applicable regulations for identifying, and maintaining an inventory of significant air emission sources.",True,The University complies with applicable regulations and follows the terms of its Title V operating permit for air emissions.,**,41.06,0.8,66.45,7.46,--,0.5,--,--,--,Emission source specifications and emission monitoring vs. regulatory requirements.,--,--
Tufts University,2016-02-25,2016-02-25 15:40:23,tina.woolston@tufts.edu,2.0,Pursuing,True,Tufts is required to submit a MassDEP Rideshare Report which is a plan to reduce commuter drive-alone trips by 25%.,True,Tufts maintains MassDEP minor source air permits on each campus. These permits require annual compliance reporting called source registration. The source registration report reports fuel usage on each campus and converts fuel usage to emissions factors.,**,80.0,80.0,5.0,5.0,5.0,5.0,15.0,--,--,"Tufts is planning a new central energy plant to replace a plant built in 1955. The new plant is expected to lower Tufts' air pollution.

Tufts has reduced the use of fuel oil by switching to natural gas where possible. 40,000 gallons of oil capacity have been permanently removed.",http://publicsafety.tufts.edu/ehs/environmental-management/air-emissions/,"Air emissions estimates from source registration and restricted emissions status permits.

FY14 information."
Tulane University,2016-02-04,2016-02-04 11:03:52,ldavey@tulane.edu,2.0,Pursuing,--,"Tulane complies with EPA’s New Source Performance Standards (NSPS) IIII and NESHAP ZZZZ for stationary engines.  The air permit does not include mobile sources.

Tulane's Shuttles and Transportation program purchases Apollo buses  that have low emission diesel engines.  They use a DPF (Diesel particulate filter), SCR (selective catlaytic reduction) and DEF (diesel exhaust fluid) to reduce air pollutant emissions.  The buses are also California Clean Idle Certified, having an auto idle shutdown which shuts down the engine after 5 minutes of idling.  ",True,The air emissions inventory is addressed in the state air permit. Emissions factors were derived from vendors or EPA’s AP-42.,**,82.52,15.54,63.97,25.57,--,--,--,11.81,--,"The Tulane University uptown campus maintains Louisiana Department of Environmental Quality (LDEQ) Synthetic Minor Air Permit No. 2140-00146-03.  The uptown campus operates a cogeneration facility which consists of a 5 Megawatt gas turbine with a heat recovery steam-generating unit that produces steam to heat the campus and run the chillers.  The cogen unit can be operated using either natural gas or diesel fuel.  Diesel usage is limited to 960 hours per year and fuel usage reports are submitted to LDEQ annually.  Stack testing of the cogen unit is conducted as specified in the air permit.  The co-gen unit and boilers comply with the EPA’s New Source Performance Standards (NSPS) to ensure that emissions are within federal standards.  All cooling towers are equipped with high efficiency drift eliminators to minimize PM emissions.

Tulane strives to utilize emergency generators, boilers, and other air emission sources that are energy efficient and produce low level air emissions. In many cases, Tulane has purchased dual fuel use generators that can operate with either natural gas or No. 2 diesel fuel. Use of natural gas is more efficient and has less of an impact on overall outdoor air quality; the use of No. 2 diesel fuel is for emergencies.
",http://edms.deq.louisiana.gov/app/doc/view.aspx?doc=9220858&ob=yes&child=yes,--
Unity College,2016-03-25,2016-03-25 15:24:07,JdeHart@unity.edu,2.0,Pursuing,True,"We have installed 'no-idling' signage on campus to encourage reductions in air pollution, especially adjacent to office buildings and student residences.  ",--,,**,--,--,--,--,--,--,--,--,--,,--,--
University at Albany,2016-02-23,2016-02-23 17:54:08,mmallia@albany.edu,2.0,Pursuing,True,University at Albany complies with GNYCRR 248: Use of Ultra Low Sulfur Diesel Fuel and Best Available Retrofit Technology for Heavy Duty Vehicles (HDV).,True,University at Albany used EPA published emission factors (AP-42) and fuel consumption of the individual stationary sources.,**,21.75,0.14,18.64,1.68,--,--,--,--,--,The university works with a consultant who helps to monitor the emissions from our power plant and fill any relevant reports to the EPA.  The university has been pursuing several strategies to reduce our footprint and emissions from the power plant including green building  strategies and LEED certifications.,--,--
University at Buffalo,2016-01-19,2016-01-19 10:15:43,jlk47@buffalo.edu,2.0,Pursuing,True,The University has a no idling policy for its fleet. The University deploys a fleet of Natural Gas buses for mass transit on and between campuses.,--,,**,--,--,--,--,--,--,--,--,--,,--,Other responsible party - Director of Parking and Transportation (currently Maria Wallace)
University of Arizona,2016-03-25,2016-03-25 15:31:02,bchampion@email.arizona.edu,2.0,Pursuing,True,"The University of Arizona has a no-idling policy for specific areas of campus. Additionally, the UA has adopted a full ""no tobacco"" policy that covers the entire campus and university-owned vehicles.",True,"The University of Arizona uses the Mass Balance methodology to report its yearly Facility Level GHG emissions to the EPA. The University reports Carbon Dioxide, Methane, and Nitrous Oxide emissions.",**,49.63,2.68,37.15,11.54,--,--,1.14,--,77173.0,"Three new automatic boilers were installed at the CHRP plant to handle variations in steam load. The boilers automatically start and stop and vary production, which minimizes the need to keep a larger boiler on low fire to handle load variations.  The new boilers handle load variation more efficiently in terms of steam output versus gas consumption, and respond more quickly to demand fluctuations to maintain more consistent distribution system temperature and pressure.

A systematic re-insulation of steam lines, valves, and other system appurtenances over the past 3 years has significantly decreased thermal losses in buildings and in the distribution system.  Identification of missing or deficient insulation was one result of an extensive survey of campus utility tunnels to support creation of a Utility-tunnel BIM model.

Two utility-tunnel runs were refurbished or reconstructed to replace deteriorated structure; another run was replaced with direct-bury, highly insulated utility lines.  The deteriorated tunnels were endangering exisitng utilties, which were replaced with new, better-insultated supply lines.

The HVAC systems in about 9 buildings have been upgraded in the past three years to replace older, less efficient equipment, address control issues, better match equipment with current building needs, and increase reliability.

The remaining 4,160-volt distribution circuits on campus were replaced with 13.8-kilovolt circuits.  At the higher voltage, line losses are lower due to lower current.

An ongoing cooling/heating plant energy management system project is centralizing controls on the three plants, which will allow more effective monitoring, equipment dispatch and optimization of total plant operation.  The new system will automate many of the decisions as to what equipment is started and stopped and operational parameters to ensure best use of purchased electricity and natural gas.  By allowing tighter control of system tuning, distributed steam and chilled-water temperatures, and pressures will allow more efficient operation of building HVAC systems.",http://ghgdata.epa.gov/ghgp/main.do,"Latest update: February 2016 to cover FY15 information

Tonnage for ""other standard categories"" represents CO2 emissions from stationary sources reported to EPA on the website URL above."
University of British Columbia,2016-02-22,2016-02-22 18:18:30,charlene.ponto@ubc.ca,2.0,Pursuing,True,"The only applicable regulatory requirement relevant to mobile sources at UBC is the BC Ozone Depleting Substances And Other Halocarbon Regulations sections related to vehicle refrigeration systems. UBC fully complies with these requirements which are:
•	Covered by University specific procedures
•	Verified and reinforced through environmental audits
•	Ensured through training and certification of responsible personnel

UBC has also included Metro Vancouver Non-Road Diesel Engine Emission Regulations bylaw in its Air Quality Management Procedure, and relevant responsible persons are alerted and trained to identify such equipment and verify compliance when relevant.

UBC’s Building Operations fleet, which operates 240 vehicles or approximately half the campus fleet, received Canada’s first E3 Platinum Certification in 2014 for sustainable fleet management. As part of the certification process, The UBC Anti-Idling policy was formally approved and distributed in 2012. This policy’s purpose is to protect public health and improve the environment by reducing greenhouse gas (GHG) emissions and urban noise while conserving fuel. The policy states that an operator of a motor vehicle must not leave engine idling for longer than three consecutive minutes in a sixty minute period. Further, an operator of a motor vehicle must not leave engine idling while vehicle is unattended and unlocked. 

In the context of the E3 program, an idling baseline was completed for calendar year 2012. The results approximated that idling wastes 35,611L of fuel each year, equivalent to 43 tons of GHG emissions. UBC Building Operations’ target is to achieve a 15% reduction in idling occurrences by 2015; this will be accomplished through a combination of training, monitoring and enforcement of the policy. Between 2011 and 2013, Building Operations cut GHG emissions in its’ fleet by 217 tonnes, or 25%, and increased average fuel efficiency by 16%, achieved through initiatives such as replacing vehicles with more fuel efficient units, exploring alternative fuels, anti-idling policy, and fuel efficient driver training. More information on fleet initiatives is available online at: http://www.buildingoperations.ubc.ca/sustainability/fleet/.",True,"UBC submits annual reports through the Environment Canada National Pollutant Report Inventory (NPRI) on several Criteria Air Contaminants of two stationary sources: a) UBC Power House boilers using natural gas and b) UBC Bioenergy Research and Demonstration Facility (BRDF), fueled by biomass, which creates synthesis (syn) gas that is then burned to produce steam and used to generate electricity. 

The BRDF is also controlled by air quality permits issued by Metro Vancouver. Engineering calculations based on monthly natural gas consumption are used to complete emissions inventory of the Power House boilers. Emissions monitoring in conjunction with engineering calculations are used to determine the emissions inventory of the BRDF.
",**,60.63,3.63,34.5,1.7,--,--,--,--,2.92,"Routine maintenance and detailed operating procedures are in place at both the Power House and BRDF and responsible persons receive relevant Environmental Management training.

For stationary refrigeration units, the BC Ozone Depleting Substances And Other Halocarbon Regulations are followed:
•	Institution specific procedures are in place
•	Detailed requirements for service contractors were developed and implemented
•	Requirements are verified and reinforced through environmental audits

UBC is currently converting its aging steam system to hot water and replacing its 1960’s era boilers with modern day hot water boilers. Improved efficiency from this project alone is expected to save 24% of the natural gas currently consumed by the existing Power House, approximately 240,000 GJ/yr of natural gas. The new boilers will also meet more stringent ultra-low NOx air emissions standards.

UBC also developed a unique standardized assessment and mitigation protocol to allow for risk assessment, upgrade of emission controls, and re-evaluation to demonstrate risk mitigation for design standards of residential buildings located near research buildings to ensure higher air quality controls and measures are in place.",http://www.riskmanagement.ubc.ca/environment/national-pollutant-release-inventory-0,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:25:11,lmcneilly@berkeley.edu,2.0,Pursuing,True,"We have policies in place at UC Berkeley such as the “Off-Road Diesel Powered Equipment Idling Standard Operating Procedure” and “Statement of our Commitment to the Environment” policy.  In addition, UC Berkeley is regulated by California Air Resources Board regulations for mobile sources (Off Road Diesel Equipment, Fleet Rule for Public and Utilities, etc.).  Retirement or upgrade of vehicles required by Off Road Diesel regulation reduces overall fleet emissions.  Garbage trucks have been upgraded with diesel particulate filters.",True,"UC Berkeley follows methodologies as required by Bay Area Air Quality Management District's regulatory permit conditions to complete its air emissions inventory (example:  AP-42 factors, manufacturer specifications or emissions testing reports).  In addition, California Air Resources Board methodologies are used as described in various regulations such as the Regulation for the Mandatory Reporting of Greenhouse Gas Emissions.",**,5.674943,--,6.511454,--,--,--,5.13,--,0.997684,"Outreach program for laboratory users was implemented in campus laboratories.  Fume hoods stickers required by Bay Area Air Quality Management District were posted in all laboratory fume hoods  to reduce toxic air contaminants.  Air pollution emissions are regulated by local, state and federal regulations, including the installation of diesel particulate filters, and permitting only new emergency generators to comply with Tier III emission standards etc.",http://ehs.berkeley.edu/,--
"University of California, Davis",2016-03-28,2016-03-28 16:30:31,cmkirk@ucdavis.edu,2.0,Pursuing,True,"The UC Davis 2003 Long Range Development Plan Environmental Impact Report provides a number of mitigation measures that improve outdoor air quality and minimize air pollutant emissions from mobile sources: Such measures include transportation demand management, provision of pedestrian-, bicycle-, transit-, and alternative fueled vehicle-enhancing infrastructure; enforcement of diesel vehicle idling plans and limits on heavy duty diesel vehicles; use of passive solar design, low-emission or solar water heaters, increased wall and attic insulation, and provision of electric-powered landscape maintenance equipment as feasible; stabilization of dust emissions and erosion control at construction sites; minimization of idling time for construction equipment and use of alternative fuels. During regional air quality impairment ""Spare the Air Days,"" free rides are offered on the campus-city Unitrans bus system and the Grounds Department limits the use of landscape equipment that combusts fuel. UC Davis has purchasing controls in place to insure that only low emitting/California emissions compliant vehicles are purchased.",True,"Every year UC Davis reports its annual emissions from permitted stationary sources to the Yolo-Solano Air Quality Management District as ""Throughput Reports."" The annual criteria pollutant inventory is calculated based on these Throughput Reports. The total emissions/fuel usage in the ""Throughput Reports"" are added together to get the total facility emissions inventory per criteria pollutant. The emission tons provided in the table below are per year for the 2013 calendar year for the following emission types: NOx, SOx, CO, PM(10), VOCs (reported in the box for other standard categories of air emissions identified in permits and/or regulations). The emissions tons provided in the table below are per year emission estimates from the AB2588 Air Toxics Reporting 2009 calendar year for lead and hazardous air pollutants. Ozone emissions are not available, nor required by regulations that UC Davis is subject to. UC Davis has a program in place to collect, recycle and appropriately dispose of any extra ozone depleting substances; in addition, the campus tracks refrigerant use, recycling and disposal for the State of California and the USEPA.",**,23.62,0.44,43.41,4.72,--,0.059,8.81,--,4.05,"Among the various efforts, the campus has reduced emergency generator maintenance/testing to one hour a month run times per unit, and replaced several boilers and emergency generators with high efficiency, low polluting units. The UC Davis Central Heating and Cooling Plant is operated in a manner which seeks to base-load the most efficient/lowest emitting boiler for campus steam production.",--,--
"University of California, Irvine",2016-03-23,2016-03-23 10:31:45,khaq@uci.edu,2.0,Pursuing,True,"Clean Air Program:
UC Irvine's Environmental Health and Safety Air Quality Program assists the campus in air pollution prevention and provides compliance assistance on South Coast air Quality Management District (SCAQMD) and other Clean Air Act laws and regulations.

Diesel Powered Equipment Idling Policy:
No diesel engine or diesel powered equipment shall be idled on UCI property or by UCI personnel or an agent of UCI for more that five (5) minutes unless one or more of the following conditions exist:
1.idling required when queuing,
2.idling to verify the vehicle or equipment is in safe operating condition,
3.idling to provide services in the event of an emergency specifically for protection of human health, safety, or the environment,
4.idling required for engine or equipment testing, servicing, repairing, or diagnostics,
5.idling to accomplish work for which the vehicle or equipment was designed (lifting,power generation, mixing, pumping, etc.),
6.idling required to bring the diesel powered system to a predetermined minimum operating temperature per manufacturers requirements, or
7.idling to ensure the health and safety of the equipment operator. ",True,"The methods used to complete the air emissions inventory include: 
1.  Continuous monitoring to measure actual emissions;
2.  Extrapolating the results from source emissions tests; 
3.  Combining published emission factors with known activity levels;
4.  And using emission factor to estimate emissions when actual emission data is not available.
",**,12.64,0.14,7.0,9.46,--,--,1.58,0.96,--,"By removing small boilers in three buildings from regular service and using the high-temperature water system instead, UC Irvine has eliminated the use of a significant amount of natural gas and associated pollutants.",http://www.ehs.uci.edu/programs/enviro/cleanairprog.html,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:54:15,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:16,cmccormick3@ucmerced.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,"UC Merced is in the San Joaquin Valley Air Pollution Control district and thus is required to use the Best Available Control Technology in all its stationary sources.

",--,"Note: UC Merced is located in an area with relatively high air pollution and thus the Best Control Technology is required in all equipment.

Fuel usage is submitted to local air district that estimate emissions for the San Joaquin Valley as a whole."
"University of California, Riverside",2016-03-18,2016-03-18 16:23:22,john.cook@ucr.edu,2.0,Pursuing,True,UC Sustainable Practices Policy contains a set of policies and best practices for improving air quality.,True,UCR reports to the Southern Coast Air Quality Management District and to the California Air Resources Board on all stationary and mobile emissions.,**,5.06,0.23,13.97,1.39,--,--,--,3.1575,--,"UCR recently replaced one of its steam plant boilers with a high efficiency boiler, greatly reducing air pollutants. All boilers have been equipped with NOx reduction devices.",http://www.ehs.ucr.edu/,--
"University of California, San Diego",2016-03-24,2016-03-24 18:50:39,smckinstry@ucsd.edu,2.0,Pursuing,True,"Idling policies for diesel vehicles and equipment, investigating alternative fuel solutions for equipment replacements, and retrofitting older equipment with emission control technology. ",True,"Local air district toxic emission inventory factors, source test data for some stationary sources and manufacturers’ emission factors when available. ",**,21.0,6.14,11.94,18.04,--,12.45,3526.03,158.1,--,Energy efficiency projects to reduce consumption and emissions from cogeneration power plant on UC San Diego campus. Investigating CNG solutions for emergency power when possible. ,http://blink.ucsd.edu/safety/environment/outdoor/air-pollution.html,Diesel emissions calculated from estimated 1500 gallons per year for standard testing and maintenance (less power outages).
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:13:45,mo@geog.ucsb.edu,2.0,Pursuing,True,"As a move to improve outdoor air quality and reduce emissions, 95% of the vehicles purchased for light duty work should be alternate fuel and/or ultra efficient vehicles (35.5 mpg or higher) by 2016. The department making the purchase of the vehicle will choose a vehicle that has the lowest CO2 impact (preferably all electric), while meeting performance and budgetary constraints. With bicycles, all new buildings have to have a plan to incorporate bike paths and bike racks to encourage a more sustainable form of transportation. The UC subsidizes public transportation passes for faculty and includes the fee in tuition for students, and there is a Carpool Match Service that is available twenty-four hours per day as well. Diesel exhaust from idling engines can accumulate in and around the emission source and pose an exposure risk to the community at large. UCSB’s Off-Road Diesel Powered Equipment Idling Standard Operating Procedure prohibits all off-road diesel engine or diesel powered equipment to be idled on UCSB property or by UCSB personnel or an agent of UCSB for more than five minutes.
",True,"UCSB reports annually to the Santa Barbara County Air Pollution Control District. All diesel emergency generators and some natural gas boilers are metered and calculations are based on fuel consumption and generator run hours. For those sources that were not metered we calculate emissions based on the equipment rated potential to emit, this approach estimates emissions by using a worst-case scenario approach. Reported emissions from permitted stationary sources are listed below in units of tons per year.
",**,63.623136,9.926015,--,5.037465,--,--,--,--,--,,--,--
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:53:48,ekericks@ucsc.edu,2.0,Pursuing,True,"UCSC maintains about 60 air permits from the Monterey Bay Unified Air Pollution Control District (MBUAPCD). Equipment required to have an air permit to regulate emissions include: Cogeneration engines, hot water boilers, dust collection systems, emergency generator engines, spray paint booths gasoline dispensing pumps, and fume exhaust systems, including science laboratory fume hood exhaust systems.  In addition, there are campus standards for internal combustion engines that include certifications for >bhp25 engines, dust collection, gasoline dispensing, generator use, parts washers, paint spray booths, solvent dispensing, fume hoods, and more.",True,"In most cases, equipment specifications, EPA emissions factors and fuel consumption are use to estimate emission potential.  In other cases, actual emissions are calculated from emission factors based on use.",**,7.0,0.1,17.0,0.8,--,0.0005,0.0012,0.27,--,New equipment must meet Best Available Control Technology (BACT) for emissions mitigation. Older equipment is systematically replaced with new equipment.,http://ehs.ucsc.edu/programs/environmental/emissions.html,--
University of Colorado Boulder,2016-03-03,2016-03-03 07:49:52,dave.newport@colorado.edu,2.0,Pursuing,True,"We are under Federal regulations to acquire 75% of our fleet accusations alternatively fueled. We have a  vehicle monitoring program in place.  This device allows us to monitor how the fleet is been operated and how we might gain fuel efficiencies, and in turn, mitigate the damage of air pollution from our mobile sources.",True,"As per our title V permit we are required to keep a database or spreadsheet with an inventory of all the emissions CU cogen plant produces.
We test, calculate and monitor the following pollutants; CO, NOx, PM10, SO2, CO2, VOC. We also report to the state’s Air Pollution Control Division in Denver, a regulatory state agency.",**,92.41,0.32,26.84,2.6,--,--,--,--,1.77,N/A,--,"In the 'Other standard categories of air emissions identified in permits and/or regulations' section, VOC was reported."
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:34:30,lkogan@uccs.edu,2.0,Pursuing,True,"UCCS is in the final stage of approving this no-idling procedures. The language is as follows:

I. Procedures
The University’s “General Procedures regarding Idling on Campus"" sets certain guidelines and restrictions for the idling of a vehicle by any member of the university community be they faculty, retired faculty, administrator, professional exempt staff, classified staff, temporary employee, student, contractor or any individual or company using university property, equipment or resources. These procedures are consistent with Colorado House Bill 11-1275 and Colorado Revised Statutes 42-4-1206.
III. PURPOSE 
The purpose of this procedure is to establish guidelines to reduce resource consumption and emissions release through the reduction of unnecessary vehicular idling, to improve the air quality on campus and reduce vehicle theft.
V. PROCEDURES 
 	A. Idling Reduction: 

The following limitations are to be followed for any vehicle operating on the UCCS campus and for any UCCS fleet vehicle whenever in operation. 
1. No person shall allow a vehicle to idle for more than five (5) minutes in any one-hour period unless:
(1) The ambient outside air temperature has been less than twenty (20) degrees Fahrenheit for each hour of the previous twenty-four (24) hour period; or 
(2) The latest hourly ambient outside air temperature is less than ten (10) degrees Fahrenheit

2. Vehicles shall never be left idling when unattended. Colorado Revised Statute 42-4-1206, more commonly known as the ""puffer"" law, allows law enforcement officers across the state to immediately ticket individuals who have left a vehicle running unattended for any period of time.

B. Idling Exceptions: 

Exceptions to this guideline have been identified for the following circumstances: 

a) When idling for up to twenty minutes in any sixty-minute period if the ambient temperature is less than ten degrees.
b) When it remains motionless because of highway traffic, an official traffic control device or signal, or at the direction of a law enforcement officer;
c) When the driver is operating defrosters, heaters, or air conditioners or is installing equipment only to prevent a safety or health emergency, and not for rest periods;
d) In the case of a law enforcement, emergency, public safety, or military vehicle, or any other vehicle used to respond to an emergency, when it is responding to an emergency or being used for training for an emergency, and not for the convenience of the vehicle operator;
e) When necessary for required maintenance, servicing, or repair of the vehicle;
f) During a local, state, or federal inspection verifying that the equipment is in good working order if required for the inspection;
g) During the operation of power take-off equipment if necessary for operating work-related mechanical or electrical equipment;
h) In the case of an armored vehicle, when a person is inside the vehicle to guard its contents or during the loading or unloading of the vehicle;
i) University shuttle buses. See Attachment C

",--,,**,--,--,--,--,--,--,--,--,--,,--,--
University of Connecticut,2016-03-25,2016-03-25 18:14:13,rich.miller@uconn.edu,2.0,Pursuing,True,"1. The University complies with the State of Connecticut’s Anti-Idling regulations. Under Connecticut law, all vehicles are prohibited from unnecessary idling for more than 3 minutes.  In addition, the University does outreach work for anti-idling through the Office of Environmental Policy’s website.

http://www.ct.gov/deep/lib/deep/air/regulations/mainregs/sec18.pdf
(section b, number 3, letter c)

http://ecohusky.uconn.edu/transportation/no-idling.html

2. Grants have allowed the University to install 5 electric vehicle charging stations across campus. These stations are free of charge to the public for the first 5 years of operation. Additionally, in February 2015, UConn signed the U.S. Department of Energy’s Workplace Charging Challenge which requires the University to develop plans to assess and promote electric vehicle use on campus. As the electric vehicle infrastructure at UConn develops, outdoor air quality can be improved by reducing the number of fuel burning cars on campus.

http://ecohusky.uconn.edu/transportation/electric-vehicles.html

3. The University also works to promote alternative forms of transportation other than personal vehicles. UConn has an extensive public transportation network and a new bike sharing program. A transportation fee is included in student’s fee bills that funds the operation of UConn’s fleet of shuttle buses. The Windham Region Transit District also offers buses that travel from UConn to Willimantic free of charge and large bus companies like Peter Pan and Greyhound serve UConn. Furthermore, UConn Recreation deployed UConn Cycle Share last semester that enables students to rent a bike for a week or the entire semester for free. All of these options help to reduce outdoor air pollutants by reducing the number of cars in use on campus.

http://ecohusky.uconn.edu/transportation/biking.html

http://www.wrtd.net/

http://web2.uconn.edu/transportation/#home

4. UConn has developed a commuter carpool tool to help facilitate carpooling for commuting faculty, staff, and students. This tool allows people in the surrounding areas to connect with each other to coordinate ride sharing.

5. The University received a $260,000 grant from the Connecticut Department of Transportation to purchase electric vehicles to replace the older vehicles in UConn’s transportation fleet. Furthermore, UConn’s light duty fleet is now 15% Alternative Fuel Vehicles (27 of 184 total vehicles). It is expected that this will increase to 18% in May of 2016 and 25% by 2025. Currently, UConn has 12 electric vehicles and 15 hybrids. These new vehicles help to further reduce outdoor air pollution at the Storrs campus.
http://today.uconn.edu/blog/2013/09/uconn-getting-green-for-going-green/

6. As part of the Green Campus Academic Network (a program to engage new faculty members in campus sustainability), Dr. Kristina Wagstrom had students enrolled in her Transport and Transportation of Air Pollutants class in the fall semester of 2015 assess and monitor air pollution on campus.

7. A Sustainability Framework Plan accompanied UConn’s Campus Master Plan in 2015 and it sets specific sustainability goals related to the movement of people (expansion of bike-sharing program, alternative fuel vehicles, reducing single occupancy vehicles, etc. (pp 13)

http://ecohusky.uconn.edu/docs/development/Sustainability%20Framework%20Plan.pdf",True,"The University uses a combination of methodologies to track emissions from our fuel burning sources of emissions. For most sources, UConn tracks fuel use and/or hours of operation and applies a standard emissions factor (EPA AP-42, manufacturer’s guarantee, or from stack test results) with worst case assumptions. For one particular boiler, the University uses actual continuous emission monitoring data for NOx. Every month a new 12-month rolling total is calculated for the emissions categories to demonstrate permit compliance.

UConn Design Guidelines and Performance Standards (pp 19, 3.10 Air Emissions)

http://paes.uconn.edu/DesignGuides/Design_Guidelines_and_Performance_Standards_May2015.pdf

UConn Office of Environmental Policy, Air Compliance:

http://envpolicy.uconn.edu/air/",**,43.58,2.59,32.39,28.32,--,0.0016,1.426,--,10.65,"The University has decreased air emissions from stationary sources primarily through energy efficiency initiatives designed to reduce demand for electricity, heating and cooling in our buildings, which is derived mostly from fossil-fuel sources, such as gas turbines, boilers and diesel emergency generators. All new buildings and renovations over $5 million are required to meet LEED Silver certification. It is expected by the end of the spring 2016 semester that the University will adopt a new policy that will make LEED Gold the minimum standard.

We have also reduced emissions by centralizing more buildings on our highly-efficient, 25MW campus cogeneration facility, which powers around 90% of our main campus.  This reduces use of electricity, heating and cooling from less efficient stationary sources. We have also reduced emissions by installing renewable and clean energy sources when and where feasible.  For example our 400 kW fuel cell installed in 2012, reduces CO2 by more than 800 tons per year and also reduces other forms of pollutants (NOx, SOx, VOCs, HAPs) from conventional generating or fuel-burning CHP sources. We also use more conventional sources of air pollution control technologies pursuant to state and federal air permits and regulations, including SCR at the co-gen power plant and other technologies needed to comply with LAER, BACT, and RACT. UConn also uses only ultra-low sulfur fuel in its diesel-fired emergency generators.

As a signatory of Second Nature’s Carbon Commitment the University has pledged to be a net-zero carbon emitter by 2050. Despite, the expected growth of the campus through the $1.5 billion Next Generation Connecticut program, UConn is still on track to meet its 20% interim reduction goal by 2020. This is being achieved primarily through on-going LED re-lamping projects in buildings, parking lots, and walkways and with the replacement of old, inefficient steam pipes. These projects are expected to be completed between 2015 and 2020 and will yield an annual 13,265 ton reduction in carbon dioxide emissions. ",http://envpolicy.uconn.edu/air/,Ozone and ODCs are not tracked (difficult to measure)
University of Denver,2016-02-26,2016-02-26 12:37:57,chad.king@du.edu,2.0,Pursuing,--,,True,"Annual reports from billing records indicate total on campus consumption of natural gas for heating, which were used to determine the contributions to air emissions.",**,0.0565,0.053,--,0.673,--,4.5e-05,--,0.1575,--,"Our goal has been to focus new construction efforts toward creating a building envelop which minimizes heat loss while including heat recovery HVAC options where feasible and specifying and installing high efficiency boiler and heat recovery systems. We have utilized our local utilities Energy Design Assist program, to identify and model efficiency options prior to construction, and then selected the options which maximize the benefit of available capital resource after accounting for modeled energy savings and the applicable rebate associated with the bundle.
We also perform annual combustion analysis prior to the start of the heating season to assure our heating systems are optimized. We then monitor and alarm our airside economizer operation in an effort to minimize the instance of additional loads introduced on our campus heating systems as a result of the malfunction of our air handling unit outside air intakes.
",--,--
University of Florida,2016-03-23,2016-03-23 09:05:01,miwilliams@ufl.edu,2.0,Pursuing,True,"UF's Transportation and Parking Services has issued guidelines designed to minimize outdoor air pollution from university-owned and/or operated vehicles by minimizing fuel consumption: http://sustainable.ufl.edu/wp-content/docs/IdlingGuidelines.doc 

UF has also issued purchasing directives favoring vehicles with high fuel efficiencies that thereby minimize emissions. 
http://purchasing.ufl.edu/contracts/vehicles.asp

",True,"UF updated its greenhouse gas emissions inventory in 2015. Included in that inventory are stationary sources of significant air emissions, which at UF are the natural gas boilers used to produce supplemental steam and hot water. 

The emissions factors for criteria pollutants from the US EPA (Table 1.4-2 http://www.epa.gov/ttnchie1/ap42/ch01/final/c01s04.pdf) were used to calculate the weight of emissions in metric tons from UF's FY 13-14 natural gas consumption.",**,0.197,0.054,--,0.681,--,4e-05,--,--,--,,--,--
