Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Materials diverted from the solid waste landfill or incinerator,Materials disposed in a solid waste landfill or incinerator ,"A brief description of programs, policies, infrastructure investments, outreach efforts, and/or ...",A brief description of any food donation programs employed by the institution,A brief description of any pre-consumer food waste composting program employed by the institution,A brief description of any post-consumer food waste composting program employed by the institution,Does the institution include the following materials in its waste diversion efforts?,"Does the institution include paper, plastics, glass, metals, and other recyclable containers in its ...",Does the institution include food donations in its waste diversion efforts?,Does the institution include food for animals in its waste diversion efforts?,Does the institution include food composting in its waste diversion efforts?,Does the institution include cooking oil in its waste diversion efforts?,Does the institution include plant material composting in its waste diversion efforts?,Does the institution include animal bedding composting in its waste diversion efforts?,Does the institution include batteries in its waste diversion efforts?,Does the institution include light bulbs in its waste diversion efforts?,Does the institution include toner/ink-jet cartridges in its waste diversion efforts?,Does the institution include white goods (i.e. appliances) in its waste diversion efforts?,Does the institution include laboratory equipment in its waste diversion efforts?,Does the institution include furniture in its waste diversion efforts?,Does the institution include residence hall move-in/move-out waste in its waste diversion efforts?,Does the institution include scrap metal in its waste diversion efforts?,Does the institution include pallets in its waste diversion efforts?,Does the institution include motor oil in its waste diversion efforts?,Does the institution include tires in its waste diversion efforts?,Other materials that the institution includes in its waste diversion efforts,Public Notes
Southern Connecticut State University,2016-03-24,2016-03-24 14:20:41,huminskis1@southernct.edu,2.0,Pursuing,1215.64,739.5,"The following is a summary of the materials we recycled in FY 2015:
- Single stream recyclable consumer waste (bottles, cans, paper, cardboard, plastics #1 through #7)  271.84 tons
- Construction and demolition materials (on campus construction/building projects)  83.8 tons
-lamps (fluorescent): 2.11, ballasts: 1.81
-Ink and toner: 1.17
Mattresses: 3.23
 - Wood and brush  121.15 tons
- E-waste (electronics, computers, copiers, camcorders, VCR’s, monitors, TV’s, etc)  15.24 tons
- Donations (including Goodwill donations and surplus donations i.e. computers, laptops, furniture, vehicles, copiers, ink, etc)  26.3 tons

We achieve this rate of waste diversion through extensive policies at the Facilities level with staff members, as well as multiple initiatives aimed at students and faculty throughout the year including annual participation in Recyclemania, increased numbers of containers to deposit recyclable materials across campus, and awareness campaigns throughout the year.  

We also prioritize waste reduction rather than simply recycling in awareness programs and campus initiatives. In 2015 we also included plastic bag recycling in residence halls to test the feasibility of extending the program across the entire campus.
","The SCSU Campus Community Garden donates a large majority of it's yield (vegetables, fruits and herbs) to local non-profit soup kitchens. During 2015, just under 200 pounds of fresh produce was donated.
For the 2015-16 academic year, SCSU students established the Food Recovery Network with management support from the sustainability office. Students collect excess food from campus retail locations and starting in the spring at the dining hall. They deliver the food to local soup kitchens and the CT Food Bank. To date, the program has donated more than 750 lbs. of fresh food to soup kitchens.",,"In 2013-14, SCSU began piloting a small, student-run composting effort. Students from various departments, mainly Geography Club members, have been collecting compostable food scraps from eleven offices and departments on campus (who volunteered to participate) and are composting the materials in aerated rotating bins near the campus community garden. The compost is then used in the community garden in the spring and summer. This resulted in the best yield the garden has ever had, and the pilot program is still running due to it's great success.

In April, 2014, the Office of Sustainability, Chartwells Catering, and the SCSU Womens Studies program completed a Composting feasibility pilot project during the Womens Studies annual conference ""Ecology, Spirituality, Sustainability."" We are using the feasibility study to complete a benefit cost analysis, and to evaluate the best way to encourage attendee participation in composting, effective signage, staff practices, and logistics during university catered events.",**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,True,True,"Electronics, cell phones, oil, solvents, soil and construction and demolition materials.

SCSU now offers a program for students with demonstrated need to offer at no cost a refurbished computer. The desktops and laptops the students receive are recovered from faculty and staff after they receive new computers on a 3-year rotating basis, and refurbished by IT. The program is called The SMART Initiative, and is a collaboration of the SCSU Foundation, the Student Government Association, and Information Technology. For more information: http://www.southernct.edu/student-life/activities/officeofstudentlife/smartinitiative.html ","Information for this credit provided by Heather Stearns, SCSU Recycling Coordinator"
Southern Illinois University Carbondale,2016-03-25,2016-03-25 17:22:00,glkurtzhals@siu.edu,2.0,Pursuing,633.28,2864.81,"- Recycle-Mania: Over an 8-week period each spring, our campus participated in Recycle Mania which is a friendly competition to promote waste reduction activities,
- Earth-day: Students conducted special one-day "" Waste audit"", sort through trash and separate it into recyclable, compostable or landfill waste piles.
- Dawgs Nite Out: Zero waste stations were set up to educate participants about recycling and composting options.
- Give and Go: The office collected clothing and bedding, shoes, purses, bags, housewares, small electronics, cleaning products and unopened food items at university housing from students who are moving and donated it to various organizations.",,"Pre- and post-consumer food waste from our dining halls is being diverted from the landfill to our newly opened forced-aeration composting facility. This food waste diversion started in January 2016, so the data above does not yet include these values.
Pre-consumer food waste such as food trimmings, are diverted to our vermicomposting facility where worms compost everything from vegetable waste to coffee grounds.","Pre- and post-consumer food waste from our dining halls is being diverted from the landfill to our newly opened forced-aeration composting facility. This food waste diversion started in January 2016, so the data above does not yet include these values.",**,True,--,--,True,True,True,True,True,True,True,--,True,True,True,True,True,True,True,,"We are very pleased to share that we have opened a new Forced Aeration Composting Facility, which is the largest of its kind in the Midwest. This composting facility, a collaboration between our dining halls and School of Agriculture, started accepting food waste from our dining halls this January. As a result, we have already diverted thousands of pounds of food waste from the landfill to the composting facility and have been able to remove at least 2 garbage compactors from campus due to this change."
Southern Oregon University,2016-03-23,2016-03-23 15:38:39,beigelcod@sou.edu,2.0,Pursuing,583.3,300.4,"Recycling receptacles are located in all campus buildings and along high-traffic pathways throughout campus. In 2011, students successfully obtained funding to purchase new uniform recycling receptacles for all campus buildings and to develop an on-campus recycling sorting facility, where all campus recycling is sorted by hand, resulting in a clean recycling stream. The students have also developed an education program to help students become more accountable for their actions relating to waste and recycling. SOU has also hired a full-time Sustainability & Recycling Coordinator to oversee SOU's recycling operations, develop waste reduction programs, and organize education and outreach efforts to improve the campus waste diversion rate.

SOU's recycling program also hosts an annual waste diversion event during the residence hall move out. This event diverts tons of items from the landfill to local nonprofits. The recycling program also collects plastics that are not accepted in the local recycling stream, which are picked up regularly by a company in Grants Pass, Oregon.","SOU Dining makes donations to Food Angels, a local non-profit organization that collects and distributes food to over a dozen organizations such as Head Start, the Senior Center, and the Emergency Food Bank. SOU Dining also makes bulk food donations each quarter to ACCESS, a local non-profit organization that provides food assistance to needy families and individuals. Non-perishable food items are donated to the university food pantry, which makes food available to students in need.","In order to contribute to the ever-momentous sustainability programs occurring at Southern Oregon University, the Landscape Services Department recently undertook a large-scale composting project in which pre-consumer waste is collected from the two dining facilities on campus. The project was designed to reduce the amount of solid food waste being sent to the landfill, to create onsite cycling of this waste into a rich, organic and usable soil supplement and to reduce facilities’ dependence on external providers of compost soil; all are efforts to better understand alternatives to current fertilizing practices and to improve the sustainability outlooks for campus as a whole.
 
So far, the project has collected an average of 1,350 pounds of food waste per week (collectively from the two dining facilities).

Expansion of the project to include post-consumer food waste is on the horizon for the team pending consistently high temperatures of the compost. ",,**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,True,True,"Southern Oregon University makes every effort to divert as much waste as possible from the landfill. While local access to recycling markets is limited, we have forged community partnerships to divert waste streams that would otherwise be headed to the landfill. While we divert many waste streams, such as tires, motor oil, surplus furniture, appliances, light bulbs, batteries, etc., there is no process in place to track weight or volume of these materials. ",http://www.sou.edu/sustainable/recycling.html
Spelman College,2016-02-15,2016-02-15 08:21:31,aefrazier@spelman.edu,2.0,Pursuing,121.0,380.0,"Spelman supports environmental awareness by encouraging recycling and regulated waste management in its business practices and operating procedures. This support includes a commitment to the purchase, use, and disposal of products and materials in a manner that will best utilize natural resources and minimize any negative impact on the earth's environment. Many of the items we discard fall into regulated waste or recyclable categories and need to be separated. When disposing of all waste Spelman employees are encouraged to make recycling the first choice and trash cans the second choice.

In the Fall of 2014 we conducted a zero-waste, zero-power homecoming concert

The Recycling and Regulated Waste Disposal policy is available at
http://www.spelman.edu/docs/sustainability/hr802_recycle_and_waste_disposal.pdf?sfvrsn=2",NA,composting bins are located in the kitchens for pre-consumer food waste ,composting bins are provided on a select basis for composting of event post-consumer food waste,**,True,--,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,construction debris,--
St. John's University,2016-03-02,2016-03-02 16:31:40,goldsmit@stjohns.edu,2.0,Pursuing,1026.0,480.0,Queens Campus: Single Stream Recycling; Large-scale food waste on-site composting; Yard waste fall leaf and grass clipping recovery for on-site composting; Food Recovery for Mid-night Runs twice weekly; Tree pruning wood chip as feedstock for composting. ,"St.John's donated food to St. John's Bread & Life, which is a food bank and pantry for the homeless in Brooklyn, NY.",A composting program using pre-consumer has been implemented since Spring 2009.,The recent purchase and use of a food pulper will help the University make its goal of 0% food waste diversion in the near future.,**,True,True,--,True,--,True,True,True,True,True,True,True,True,True,True,True,--,--,,--
Stanford University,2016-03-23,2016-03-23 01:12:27,mbhafer@stanford.edu,2.0,Pursuing,16328.43,8581.79,"Stanford University's Waste Reduction and Recycling Program was established exactly 40 years ago and reaches all areas of campus. Over 5000 carefully-signed recycling bins are in place on campus including in each building, all residence halls, and numerous outdoor gathering points. Food waste is collected from all dining halls, cafes, and housing areas. Stanford established a special event recycling and composting program. Yard trimmings are collected from the Grounds Department. Numerous outreach and educational opportunities are provided to all stakeholders on campus. Staff work with students on special projects and Stanford has participated in the nationwide RecycleMania competition each year since 2007.

Stanford bases new waste programs off of the 28 waste audits that have been performed. For example, Stanford identified that 17% of the material being sent to the landfill was paper, so the university established a uniform desk-side recycling program to be deployed across campus. After a pilot project in operations buildings, this program was fully launched in summer 2014. As of February 2016, over 7,500 sets of bins (each set includes one paper recycling bin and one mini trash can) have been deployed in a total of 82 buildings on campus. 

Secondly, Stanford continues its endeavors to make sure all recycling and composting bins are labeled uniformly. Stanford has re-labeled over half the bins on campus and will steadily continue to re-label the remaining bins. These labels clearly show what types of products should be put in which bins, and their consistency across campus will translate to higher levels of recognition among individuals and, in turn, improved individual recycling habits. 

Additionally, Stanford has recently expanded its composting program, since waste audits have shown that organic waste comprises 31% of material sent to the landfill. For instance, Student Housing has expanded its paper towel composting program and has formal plans to make some of their residences Zero Waste. This program was rolled out in 2015 and began with several of the high-profile row houses. Also in 2015, Stanford launched an interior composting program for the first time, where Stanford's waste management contractor will set up and service compost bins inside academic buildings at a minor cost to each department. As of February 2016, 50 buildings are participating in this program, and the waste composted through this program increased from 1,140 pounds in July 2015 to 2,560 pounds in November 2015. The university also operates a voluntary composting program and continues to strategically add shared compost dumpsters across campus to make it easier for building occupants to discard organic waste from the small compost bins that they individually maintain. 

For more information, please visit the following websites:
http://bgm.stanford.edu/home_pssi_main
http://sustainable.stanford.edu/waste
http://sustainable.stanford.edu/be_cardinal_green_recyclemania
","R&DE has partnered with a student group and local non-profits to divert excess food to those who need it. We partner with the Ecumenical Hunger Program, Second Harvest Food Bank, and East Palo Alto Live in Peace to provide extra food that we cannot re-serve to those who need it. Groups pick up from our dining halls five days a week and the food goes to families and students in East Palo Alto and San Mateo County. ","All dining halls collect pre- and post-production food waste, which is sent to an off-site composting facility. The finished compost is then returned to campus for use in one of seven Dining Hall Gardens, on the Stanford Educational Farm, and for various landscaping needs. In 2015, Stanford composted 1,671 tons of food waste from its dining halls and other campus eateries.","Stanford annually composts over 1,671.45 tons of food waste from its dining halls and other campus eateries. A major focus of the Sustainable Food Program is to reduce the impact of Stanford Dining’s operations through efficiency measures, education of our staff and customers, collaborative efforts with our partners across campus and creative design solutions to complex behavioral challenges. The pre and post-consumer composting program is an ideal example of these initiatives. 
",**,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"Plastic film, grasscycling material, brush to mulch program material, logs to chips program material, wood waste (in addition to pallets).",--
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:49:41,malichte@esf.edu,2.0,Pursuing,100.75,67.96,"- http://www.esf.edu/physicalplant/recycling.htm 
- http://www.esf.edu/sustainability/materials.htm ","- ESF students operate an award winning food recovery and donation program, in partnership with Syracuse University students. Both ESF and Syracuse University dining halls are involved.

See Videos:

ESF Students Establish Food Recovery Network
- https://www.youtube.com/watch?v=R-U1Xq3ors4 
SU and ESF Food Recovery Network
- https://www.youtube.com/watch?v=OIkJHPbSy3c 
Going Green: Food Recovery Network
- http://www.esf.edu/includes/video/show.aspx?videoId=hazQK7y2FU2jXVqEA4eJ0w
- Also see 2015 Honors student thesis: http://digitalcommons.esf.edu/cgi/viewcontent.cgi?article=1078&context=honors ","- ESF's Trailhead Cafe (the only cafeteria on campus) sets aside pre-consumer waste (mostly vegetable peels and coffee grinds), which is then picked up by a work study student working with ESF's Physical Plant and Facilities team. The food scraps are now (as of fall 2015) mixed in with grounds' residues (leaves, grass clippings), which settle on site for a period, and eventually are transported to a local award-winning, industrial-size composting facility (OCRRA). 
- Previously, composting at ESF was carried on by students, who over the years tested two different on-site composting techniques: active aeration and passive aeration. Since the summer of 2015, ESF has decided to institutionalize composting, working as a partnership between its students, dining hall, grounds' team and an external  organization for final processing. 
- in return, ESF acquires finished mulch and compost from OCRRA, closing the cycle. ","Each building on campus has at least one indoor bin, for post-consumer composting. 
Location of bins highlighted here: 
http://www.esf.edu/sustainability/documents/compostingmap.pdf ",**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,--,,"ESF provides surplus appliances, furniture via New York State Surplus.

Motor oil is mandatory for recovery in New York State."
State University of New York at Cortland,2015-10-09,2015-10-09 13:15:57,Beth.Klein@cortland.edu,2.0,Pursuing,243.0,628.0,"http://www2.cortland.edu/about/sustainability/recycling.dot
",We donate unused perishables to the local food bank over extended breaks in the academic calendar.,Pre-Consumer food scraps are collected daily for composting by a local farmer.,Waste is collected on a daily basis and composted by a local farmer.,**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,True,,--
State University of New York at Geneseo,2016-03-24,2016-03-24 10:59:25,dezarn@geneseo.edu,2.0,Pursuing,607.31,498.3,"Geneseo Gives Back: items that are left in dorm buildings at the end of the academic school year are repurposed and resold by the Geneseo Interfaith Center. All monetary proceeds from the sale are used to fund the Interfaith Center facility.

http://www.geneseo.edu/residence_life/geneseo-gives-back-program

","CAS currently donates surplus food twice per year at the end of each semester to FoodLink of Rochester. The most recent food donation took place in December 2012, when the dining halls closed for winter intersession. The amount of the donation was approximately 318 pounds.","Campus Auxiliary Services coordinates with grounds to compost all of its pre-consumer waste. CAS and grounds are continuing to look for uses for the compost as well as ways to refine it. 

*Though CAS is unable to measure its pre-consumer waste in terms of percentage, CAS estimates that 14,400 pounds of pre-consumer food waste is composted each academic year.","Though not currently operational, CAS is working with the upcoming Geneseo e-Garden on a bioconversion waste program, where post-consumer products are turned into compostable soil through the use of soldier-fly larvae.",**,True,True,--,True,True,True,--,True,True,True,--,--,--,True,True,--,True,True,,"http://www.geneseo.edu/%7Eehs/Waste%20Management/Recycling/recycling%20trifold2005.pdf

http://www.geneseo.edu/%7Eehs/Waste%20Management/Spreadsheetsucf2.PDF"
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:17,mittenl@newpaltz.edu,2.0,Pursuing,479.4,738.4,"SUNY New Paltz recycles single stream materials (including paper, cardboard, plastic, metal, and glass), metal, electronics, lighting, antifreeze, used oil, tires, vehicle and household batteries, yard debris, textiles (through Planet Aid) and composts food waste, napkins and 3D printing material made of PLA at Hasbrouck Dining Hall.  Printer cartridge recycling began in 2014.  Used cooking oil is recycled by a local company for several years, but the College has not been tracking this data.",,All pre-consumer waste generated at the Student Union and Hasbrouck Dining Hall is collected and picked up six days per week during the academic year and sent to a local compost facility.,All post-consumer food waste generated at Hasbrouck Dining Hall is separated by dining services staff in the dish room and sent to a local compost facility.,**,True,--,--,True,True,True,--,True,True,True,True,--,True,True,True,--,True,True,,--
Sterling College,2016-01-28,2016-01-28 10:04:17,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,38.0,36.98,"We have a student Work position, ""Captain Compost,"" who would focus on a more efficient composting and food waste program. We also added a Director of Community Outreach to partner with food gleaning and food donation programs. Additionally, as part of the Rian Fried Center for Sustainable Agriculture & Food Systems, we built a new 400 square foot composting facility. ","We participate with Salvation Farms in food gleaning; managing agricultural surplus more efficiently across communities in Vermont. We also participate in the local Meals on Wheels and ""Pies for People,"" which turn surplus agriculture into delicious pies that go to the Hardwick Food Bank. ","Our composting covers both pre- and post-consumer food waste. We have a full-time position, ""Captain Compost,"" who only manages food waste on campus. ","Our composting covers both pre- and post-consumer food waste. We have a full-time position, ""Captain Compost,"" who only manages food waste on campus. ",**,True,True,True,True,--,--,--,True,True,True,--,True,True,True,True,True,--,True,,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:21:14,gotham360@stevens.edu,2.0,Pursuing,617.51,931.6,,,,,**,True,--,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,--,,--
Syracuse University,2016-03-25,2016-03-25 15:33:06,macadwel@syr.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2870,47 is just tonnage recycled or composted.  SU has aggressive programs to encourage/facilitate/enable material reuse, donation and resale (e.g. our ""Ten Tons of Love"" program at the end of each semester and our partnership with BetterWorld Books, as well as our excess property program), but tonnage data is simply unavailable.  Truth be told, I don't know how tonnage data on such activities could ever be collected in any practical sense."
Temple University,2016-02-09,2016-02-09 14:47:12,kathleen.grady@temple.edu,2.0,Pursuing,2385.09,3163.85,"From 2006 through 2014, Temple reduced its waste by 29% and increased its recycling by 74%. As of FY 2014, Temple boasted a recycling rate of 44%.  Programs to reduce waste and increase recycling include: the residence halls’ annual Give and Go Green program where students donate items for donation to charities; an EPA award winning electronics recycling program; recycling glass from artists’ studios; reduction of student paper allocation at the Tech center; installation of water bottle filling stations to reduce the number of single use bottles; donation of surplus furniture and clinical equipment.   Since FY 2009, Temple implemented construction waste recycling. In FY 2014, the university diverted over 90% of materials from new construction activities from landfills.","In spring 2013, the university's food provider Sodexo launched a food donation program at the Diamond Club, a faculty and staff dining facility. Sodexo donates leftover meals to the Boys and Girls Club in North Philadelphia, All of the donations are weighed and incorporated into the university's Recycling and Trash report. ","Temple composts pre-consumer food waste in the student cafeteria as well as at the retail dining locations at the Howard Gittis Student Center. Picked up daily, the pre-consumer food waste is composted at a commercial composting facility.","Temple composts all post-consumer food waste generated in the student dining cafeteria. The food waste is picked up daily and transferred to a commercial composting facility. In FY 2014, approximately 186 tons of food waste was composted from the student dining center and the university's basketball arena. ",**,True,True,--,True,True,True,--,True,True,True,True,True,True,True,True,True,True,--,"Tyler School of Art glass, office supplies, construction waste, theater sets and unwanted installation projects from the Tyler School of Art (via Revolution Recovery). ",Figures updated as of FY14. 
Texas A&M University,2016-01-15,2016-01-15 14:24:52,kwellman@tamu.edu,2.0,Pursuing,15817.0,9975.0,"Partnership with local commercial recycler and composter,
Grants for recycling containers,
LEED construction,
Development of Sustainability Office,
Education and community outreach","	Food Recovery Network – Dining Services has partnered with a student organization called Food Recovery Network to donate excess food to local church programs to then be distributed. We are currently at 8,352 pounds recovered since Fall 2013.
	At the end of each week, local food banks collect all of our sandwiches that were made that morning for dinner service in the local communities.  ","	Clean Plate is a campaign that helps students to set food waste reduction goals in the dining hall on campus and provides proven cause-and-effect solutions. Communications materials in the dining hall speak to students about portion control, and their part in addressing the problem of food waste. Food waste from students is collected in the dining hall, weighed on a scale, and is assigned a value.","	We help support efforts to establish capture systems by partnering with sustainable waste management and/or recycling service companies. Units must properly identify receptacle so that the compostable disposables are properly disposed of for collection for composting.
	Clean Plate is a campaign that helps students to set food waste reduction goals in the dining hall on campus and provides proven cause-and-effect solutions. Communications materials in the dining hall speak to students about portion control, and their part in addressing the problem of food waste. Food waste from students is collected in the dining hall, weighed on a scale, and is assigned a value.
	One program in practice is coined ‘operation clean plate’. We educate our consumers in our all-you-care-to-eat facilities on the impact of putting more on their plate than they can consume.  If each person puts less food on their plate they do not eat, less food is wasted.  Also, less food is then produced as the kitchen is not replenishing the taken food.  Dining facilities also implemented a tool where they weighed post-consumer waste in the dish room and posted the weight of food thrown away each night to create a ‘challenge’ for the community diners to reduce the number.  This process produced amazing results of 27% reduction in dish room waste over the measured period.
",**,True,--,--,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Sewer sludge from the wastewater treatment plant operations is land applied to adjacent properties where costal rye grass is grown and cut for hay.,--
Texas Tech University,2016-03-25,2016-03-25 15:46:54,carey.hewett@ttu.edu,2.0,Pursuing,607.0,3820.0,"http://housing.ttu.edu/gogreen/
http://www.depts.ttu.edu/services/OfficeofSustainability.php
","When possible, Texas Tech University donates surplus food products to local charities and service organizations for redistribution.",,,**,True,True,--,--,True,True,--,True,True,True,True,True,True,True,True,True,--,True,"Bicycles, clothing, and Styrofoam.",--
The Ohio State University,2016-01-26,2016-01-26 15:46:51,dial.15@osu.edu,2.0,Pursuing,5299.19,12111.2,,,,,**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--
Tufts University,2016-02-25,2016-02-25 15:40:26,tina.woolston@tufts.edu,2.0,Pursuing,1627.32,1962.5,"Recycling is part of Tufts culture; all staff, faculty, and students are expected to participate. Everyone has bins available to them. 

Beginning in the fall of 2014, office recycling and trash collection has changed to the ""trash buddy"" system.  Each office or cubicle is equipped with a desk-side recycling bin and a small hanging waste basket known as the trash buddy.  Office occupants are expected to empty their trash buddies into central waste stations.  The custodians empty recycling from employee’s desks once each week.  Central waste stations are serviced daily.  

Students receive bins for their dorm rooms. We participate in RecycleMania. Recycling and trash weights are tracked. Periodic waste sorts and bin inspections allow us to monitor our progress. New students receive recycling information when they matriculate. Every floor of every dorm has central recycling stations with instructions posted. New employees receive recycling instructions during their employee orientation. Every shift (1st, 2nd, 3rd & weekend) of custodians on each campus receives an annual recycling review and retraining. Most student publications include a ""recycle me"" logo, including The Daily newspaper. We have a large move-out recycling program where we collect electronics, carpets, food, clothing, paper, and commingled recyclables. We have abundant outdoor recycling bins in our greenspaces. We have extensive battery recycling receptacles. We have a shoe/sneaker recycling bin in the athletics center. Our largest science complex recycles Styrofoam coolers and plastic bags.  We have an interactive reverse vending machine on campus that is meant to attract fraternities and offers potentially uninterested or unmotivated students a financial incentive to recycle. ","Collection boxes for unopened food are placed in residence halls during spring move-out.  Donated food is brought to a local food pantry.

An undergraduate student community service club, the Leonard Carmichael Society, has a group called ""Food Rescue"" that works with Dining services and area businesses to donate left-over but unserved food to local food pantries and shelters. More info at http://sites.tufts.edu/tuftslcs/programs/food-rescue/   For large campus events such as Commencement we donate un-served food to the Veteran's Homeless Shelter in Boston.","On the Medford/Somerville campus, pre-consumer food waste is composted in six out of eight eateries.  We do not have a breakdown of our food waste composting totals by pre or post, but the total tonnage of food waste composted in 2013 was 325 tons.  In 2014, 306 tons of food waste was composted. ","Post-consumer waste is composted in three out of eight dining facilities, and we have fifteen central collection bins where any member of Tufts community can bring food scraps from their kitchens or special events.  

Student ""Eco-Reps"" manage compost bins in all staffed dorms where residents can deposit vegetable and compostable paper waste. Students living in unstaffed dorms and employees can collect their own compost (no animal products) and deposit them in one of the many ""public"" compost bins located around the campus. 

Many events on the Medford/Somerville and Grafton campuses now have post-consumer composting bins available, including the undergraduate matriculation lunch and dinner and the commencement luncheon located on the Medford/Somerville campus. 

For more information go to http://operations.tufts.edu/tuftsrecycles/composting/ 
",**,True,True,--,True,True,True,True,True,True,True,True,True,True,True,True,--,True,True,"Clothing and home goods from move-out. We have freecycle stations in four residence halls. Shoe/sneaker recycling is available at the gym. Ink and toner cartridges are recycled. Mattresses that are not donatable are recycled. Tennis ball recycling is available on both the indoor and outdoor tennis courts. We also offer a Terracycle program for energy bar and granola bar wrappers (chip bags were also collected through FY14).  Most recently, due to the trash buddy deployment, hundreds of trash cans were collected.  Some of the trash cans have been recycled, some have been repurposed, and others will become available for donation to local schools.

The Cummings School of Veterinary Medicine composts animal bedding. The Farm, Hospital for Large Animals, and LAMS units produce 3,000 – 4,000 cubic yards of compostable bedding annually, and there are 180,000 gallons of swine slurry produced annually. The slurry and composted bedding are spread on the farm fields as fertilizer, preventing their disposal in the solid or liquid waste stream.

Clothing is collected and distributed for free during annual student-run clothing swaps at the Medford/Somerville and Grafton campuses. 

Various student-led initiatives have collected plastic grocery bags for recycling and clothing for donation during the year (separate from move-out). A resident of the Green House collected simple dorm supplies from move-out in 2014 and 'freecycled' them to the incoming students in the Fall.  

For many years the Tufts Institute of the Environment (TIE) would collect non-wire coat hangers from move-out, package them into groups of 5, and give them out to incoming students. ",--
Tulane University,2016-02-04,2016-02-04 11:03:55,ldavey@tulane.edu,2.0,Pursuing,273.5,1812.0,,,,,**,True,True,--,True,True,--,--,True,True,True,True,--,True,True,True,True,True,True,,"Numbers are for a 6 month period, 2/8-8/8/15

In January 2014, a contract with a new waste hauler enabled us to obtain weights for the trash emptied daily from uptown campus dumpsters.  In past years, we had only received weights for compactors pulled from campus, and we had estimated the overall weight of waste collected daily from dumpsters.  This data collection began February 8.  In September 2014 the company reported data collection problems.  Therefore, we chose to use a six-month period, 2/8-8/8/2014, for calculation of the recycling diversion rate.  "
Unity College,2016-03-25,2016-03-25 15:24:16,JdeHart@unity.edu,2.0,Pursuing,39.74,72.876,"Unity College has a robust recycling and compost program that employs a full-time, year round recycling coordinator and up to a dozen student workers.  In addition to daily recycling and compost collection, salvage programs divert waste for donation and reuse at the end of each semester. Our recycling coordinator and student assistants have developed outreach materials and programs that reach every new student and employee.
",Veggies for All grows food on campus on about 2 acres for donation to the needy.,"Pre-consumer and post-consumer food waste is collected by work-study students from the Cafeteria and the Student Center several times a day.

Food waste is processed and re-used on campus fields and gardens.  We also use some food waste to feed animals in our on-campus animal barn that houses animals for the captive wildlife program.

","Pre-consumer and post-consumer food waste is collected by work-study students. Finished compost is used on campus gardens.

",**,True,--,True,True,True,True,True,True,True,--,True,True,True,True,True,--,True,--,We use Goodwill for move out material/furniture diversion.  Electronics are recycled at the local recycling center.  Lab waste and toxic waste is collected by a recycling company.,Unity College has a robust recycling and compost program.
University at Albany,2016-02-23,2016-02-23 17:54:10,mmallia@albany.edu,2.0,Pursuing,883.0,1967.0,"The university has begun to institute a composting program, targeting dining hall and office food waste.","Swipe With A Purpose - Student group on campus allows students to donate unused meal trades. The purpose of the group is to provide students with the tools to spread knowledge and awareness of hunger in our local community; To provide food to local non-profit food banks/kitchens by encouraging students to donate their “meal trades,” and university designated “munch money,” and “podium money” throughout the academic year.","The dining hall staff are taught to minimize pre-food waste and and compost. The university contracts with Sodexo, which has a waste management initiative called Lean Path where pre-consumer food waste is weighed. ","The dining hall staff are taught how to sort and correctly compost student-produced food waste. In addition, Sodexo teamed with the Office of Environmental Sustainability to conduct a weigh the waste event on World Food Day for the past two years.",**,True,True,--,True,True,True,--,True,True,True,True,--,True,True,True,True,True,True,,--
