Institution,Date Submitted,Last Updated,Liason Email,Version,Status,"Does the institution have an institution-wide stated intent to support disadvantaged businesses, ...","A copy of the policy, guidelines or directive governing inclusive and local purchasing","The policy, guidelines or directive governing inclusive and local purchasing",Does the institution wish to pursue Part 2 of this credit (inclusive and local expenditures)?,"The percentage of total purchases from disadvantaged businesses, social enterprises and/or local ...",The website URL where information about the institution’s inclusive and local purchasing policies ...,Public Notes
Stanford University,2016-03-23,2016-03-23 01:13:35,mbhafer@stanford.edu,2.0,Pursuing,True,,"Stanford University is committed to increasing opportunities for small and disadvantaged businesses. A relevant excerpt from Stanford's policy is pasted below for reference.

For complete policy details, please visit: 
https://adminguide.stanford.edu/chapter-5/subchapter-5/policy-5-5-1 . 

Stanford University is committed to increasing significantly the opportunities for minority, women and disabled people to engage in business with the University.

a. Purpose
This policy statement supports a long-range plan to enhance Stanford's external affirmative action. The plan serves to promote diversity through the judicious use of the University's financial and other resources to increase opportunities for small businesses and businesses owned by targeted concerns to participate in economic opportunities arising from University business activities.

b. Scope
The classes covered by this policy, as defined by the Federal Government, include Asian, Black, Latino/Hispanic and Native American, women of all racial/ethnic background, people who are disabled or physically challenged, veterans, and other targeted concerns.

c. Implementation
The President and Provost will provide the leadership for promulgating this policy; however, responsibility for its implementation rests with individual vice presidents, deans, directors of major institutions and centers, the Chief Executive Officer of the Stanford Management Company, and the heads of other organizations not covered above.",True,11.0,http://www.stanford.edu/group/fms/fingate/suppliers/dobusiness/policy_initiative.html#diversity_smallBus,"Stanford's current inclusive and local purchasing spend--including the categories Minority Owned, Minority Owned and Small Business Owned, Small Business Owned, Women Owned, Women Owned and Minority Owned, Women owned and Small Business Owned, Women Owned, Minority Owned, and Small Business Owned--is $236,543,852.00, which equates to a percentage total of spend of 11%.  This is based upon calendar year 2013."
State University of New York College of Environmental Science and Forestry,2016-03-23,2016-03-23 01:50:55,malichte@esf.edu,2.0,Pursuing,True,,"SUNY has a overarching policy called ""Procurement Opportunities for New York State Certified Minority- and Women-Owned Businesses""
https://www.suny.edu/sunypp/documents.cfm?doc_id=610
SUNY’s policy is to take affirmative action to ensure that NYS certified minority- and women-owned business enterprises are given the opportunity to demonstrate their ability to provide the University with commodities and services at competitive prices.

http://www.governor.ny.gov/news/no-8-removing-barriers-minority-and-women-business-enterprises-participation-state-contracting
",True,30.0,http://www.suny.edu/sunypp/documents.cfm?doc_id=610,--
State University of New York at Cortland,2015-10-09,2015-10-09 13:16:06,Beth.Klein@cortland.edu,2.0,Pursuing,True,,"By Executive Order, all New York State Agencies are required to take affirmative steps to utilize minority and women businesses for agency purchases. The intent is to give those targeted businesses an opportunity to benefit from the massive purchasing activity of the State, on the assumption that those targeted businesses have been historically excluded from participation and often as developing small businesses have not had an equal chance to compete. The College is given M/WBE goals expressed as percentages of total purchasing volume and is instructed to take special outreach measures and in some cases extend competitive price advantages to M/WBE's.

While attainment of goals is expected by the University, Cortland College continues its program on a voluntary basis, recommending M/WBE utilization where feasible and in the interest of the institution, attempting to strike a balance between the principle of best value vs. affirmative opportunity.
",True,30.0,http://www2.cortland.edu/offices/business/purchasing-office/purchasing-information-pages/minoritywomen-business-enterprise-(mwbe).dot,--
State University of New York at Geneseo,2016-03-24,2016-03-24 11:00:49,dezarn@geneseo.edu,2.0,Pursuing,--,,"Geneseo seeks to purchase materials from Preferred Sources that include disabled veterans, minority, women-owned  and businesses. ",True,56.15,http://www.geneseo.edu/sites/default/files/isu/purchasing/Policy%20P110.pdf,Rebecca Anchor
State University of New York at New Paltz,2016-01-11,2016-01-11 09:08:33,mittenl@newpaltz.edu,2.0,Pursuing,True,,"SUNY M/WBE Utilization Policy 
Procurement Opportunities for New York State Certified Minority- and Women-Owned Businesses http://www.suny.edu/sunypp/documents.cfm?doc_id=610

SUNY M/WBE Utilization Procedures
Participation by Minority Group Members and Women (MWBEs) with Respect to State University of New York Contracts http://www.suny.edu/sunypp/documents.cfm?doc_id=611",True,35.56,http://www.suny.edu/meansbusiness/mwbe/,--
Sterling College,2016-01-28,2016-01-28 10:04:26,cfeuerstein@sterlingcollege.edu,2.0,Pursuing,--,,,True,33.0,http://www.sterlingcollege.edu/about-sterling/economic-impact/,--
Stevens Institute of Technology,2016-03-24,2016-03-24 15:22:20,gotham360@stevens.edu,2.0,Pursuing,True,,"Inclusive and Local Purchasing 

Stevens, as an institution, will demonstrate a purchasing preference from businesses deemed as disadvantaged*/social enterprises, or community-based** in order to benefit the local economy and contribute to the inclusive nature of purchasing power. Support for these businesses can take the form of preference during the Request for Proposal (RFP) process, targeted outreach to these businesses about opportunities for work within the institution, and increased purchased from said businesses. 

Stevens is already committed to local purchasing in the Hudson County area including Hoboken. University spending directly and indirectly accounted for an output of $107.4 million in Hoboken. Students of Stevens directly and indirectly spent an output of $8.4 million, while visitors of Stevens spent an output of $1.3 million. Giving a total economic impact of $117.2 million to Hoboken alone. As for the impact in Hudson County, Stevens spent $165.1 million in 2014. 

This policy will show the Stevens commitment to local purchasing in the region. Including values of committed local purchasing and the percentage of total purchasing will set a benchmark for future in-area procurement.  The first part of this policy states the institution-wide intent to support disadvantaged businesses, social enterprises, and/or local community based businesses.  Following this intent, Stevens will continue to support the local economy through purchasing of goods and services from either social enterprises, disadvantaged businesses, or community based local businesses. 
",True,54.0,--,--
Syracuse University,2016-03-25,2016-03-25 15:34:20,macadwel@syr.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Temple University,2016-02-09,2016-02-09 14:47:21,kathleen.grady@temple.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Texas A&M University,2016-01-15,2016-01-15 14:25:01,kwellman@tamu.edu,2.0,Pursuing,True,,"Since 1994, Texas A&M University has had an established Historically Underutilized Business (HUB) Program Office staffed with professional procurement and business diversity personnel committed to making a good faith effort in identifying, recruiting, educating and enhancing the business opportunities for HUB suppliers in a fair and open business environment.",True,22.67,http://finance.tamu.edu/HUB/,--
Texas Tech University,2016-03-25,2016-03-25 15:48:18,carey.hewett@ttu.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
The Ohio State University,2016-01-26,2016-01-26 15:47:01,dial.15@osu.edu,2.0,Pursuing,True,,"The university issues a quarterly report on purchases made from State of Ohio MBE and EDGE businesses.  Departments can access the reporting system and see how they are doing with these type of purchases.  We have a membership in an organization that will work with departments to increase these purchases.  Departments can access a web site to find certified MBE and EDGE companies.  We issue some bids as set-aside for these companies, and have some contracts that require an historically underutilized business component.  All bids state our goal is to utilize these companies and ask bidders to tell us how they are going to help us do this. ",True,5.9,http://busfin.osu.edu/FileStore/PDFs/221_Purchasing.pdf,--
Tufts University,2016-02-25,2016-02-25 15:40:35,tina.woolston@tufts.edu,2.0,Pursuing,True,,"Tufts' Minority Business Enterprise Program seeks to promote economic development for minority, women, and economically disadvantaged businesses through quality referral and providing information to procurement opportunities that improve the economy and the quality of life for minority, women and the economically disadvantaged. Tufts University makes a significant effort to promote diversity throughout the student and employee populations but understands that efforts to increase the level of minority business enterprise participation in the purchasing process are needed. The minority business community does not expect special considerations, but it does expect equal access. The website includes a list of local minority, women-owned & small business suppliers.",True,33.27,http://finance.tufts.edu/purchasing/minority-business-enterprise-program/,--
Tulane University,2016-02-04,2016-02-04 11:04:04,ldavey@tulane.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
Unity College,2016-03-25,2016-03-25 15:25:21,JdeHart@unity.edu,2.0,In Progress,--,--,--,--,--,--,--
University at Albany,2016-02-23,2016-02-23 17:54:20,mmallia@albany.edu,2.0,Pursuing,True,,"The State University of NY system has a M/WBE Utilization Policy for Procurement Opportunities for New York State Certified Minority- and Women-Owned Businesses 
http://www.suny.edu/sunypp/documents.cfm?doc_id=610
The state MWBE goal of 30% is the highest in the nation.  https://www.k2intelligence.com/en/new-yorks-30-mwbe-state-contracting-goal-is-the-highest-in-the-nation/

SUNY has issued Utilization Procedures for Participation by Minority Group Members and Women (MWBEs) with Respect to State University of New York Contracts and can be found at:
http://www.suny.edu/sunypp/documents.cfm?doc_id=611

The University at Albany follows this directive and provides guidance on their purchasing webpage.  In addition, it promotes the use of MWBE vendors via an annual purchasing fair.  http://www.albany.edu/institutionalservices/media/MWBEMemo1.30.14.pdf
",True,20.7,http://www.suny.edu/sunypp/documents.cfm?doc_id=610,--
University at Buffalo,2016-01-19,2016-01-19 10:15:56,jlk47@buffalo.edu,2.0,Pursuing,True,,"Minority & Woman Owned Business and Preferred Sources – The University encourages the purchase of supplies and equipment from MWBE's and Preferred Sources (Corcraft, Industries for the Blind, etc). No competition is required for Preferred Sources.

SUNY M/WBE Utilization Policy 
Procurement Opportunities for New York State Certified Minority- and Women-Owned Businesses http://www.suny.edu/sunypp/documents.cfm?doc_id=610

SUNY M/WBE Utilization Procedures
Participation by Minority Group Members and Women (MWBEs) with Respect to State University of New York Contracts  http://www.suny.edu/sunypp/documents.cfm?doc_id=611
",True,24.6,http://www.buffalo.edu/administrative-services/policy1/ub-policy-lib/supplier-diversity-program.html,--
University of Arizona,2016-03-25,2016-03-25 15:32:18,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,As of this writing the UA Office of Sustainability does not have numbers that state the number of local or under-utilized businesses that UA purchasers have used.
University of British Columbia,2016-02-22,2016-02-22 18:18:42,charlene.ponto@ubc.ca,2.0,Pursuing,--,,,--,--,--,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:26:41,lmcneilly@berkeley.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"University of California, Davis",2016-03-28,2016-03-28 16:31:44,cmkirk@ucdavis.edu,2.0,Pursuing,True,,"UC Davis Policy and Procedures Manual, Chapter 350, Supplies and Equipment; Section 10, Procurement Authority 
http://manuals.ucdavis.edu/ppm/350/350-10.pdf

Small Business Support:  The University of California supports California’s small businesses through a variety of ways at the individual location levels.  Small business outreach programs exist at most UC locations and small business supplier fairs are held annually on our campuses and at our National Labs.  Strategic sourcing supports small businesses by giving small businesses credit towards their bid point score and by encouraging small businesses to participate in the bidding process.  Contract compliance for strategically sourced contracts is targeted at eighty percent in an effort to dedicate significant percentage of UC’s business to our small and local business providers. http://www.ucop.edu/purchserv/documents/ssfacts.pdf

Disabled Veteran Business Enterprises
The Disabled Veteran Business Enterprise (DVBE) Participation Program was established to acknowledge disabled veterans for their service and to further their participation in California state contracting, promote competition and encourage greater economic opportunity. Some state contracts may require the formal consideration of DVBE vendors.
http://purchasing.ucdavis.edu/b4ubuy/vendors.cfm

Small Business Program
The university is subject to the rules and regulations of the Small Business Administration which facilitates equal opportunity in business contracting. Some federally-funded accounts (contracts) require the university to purchase from small disadvantaged and women-owned businesses. If you have any questions or concerns, please contact the Strategic Sourcing & Small Business Program. The university Small Business Program satisfies State, Federal and other publicly funded program requirements. Click here for a current list of certified California small businesses.
http://purchasing.ucdavis.edu/b4ubuy/vendors.cfm

Small business enterprises 
1. University commitment 
The University is committed to a program that seeks out and encourages small business 
enterprises, particularly small disadvantaged, women-owned, and disabled veteran 
business enterprises, to become suppliers of the University when in the public interest and 
to the extent consistent with basic University materiel management principles that, 
especially as they pertain to purchasing activities, include: 
a. Recognition that the basic purpose of materiel management is to support the 
teaching, research, and public service missions of the University in a cost-effective 
manner that best serves the interests of the people of the State of California. 
b. Full compliance with obligations undertaken by the University as set forth in the 
specific terms, conditions, and provisions of Federal contracts and grants and other 
similar extramural sponsor agreements.
2. Federal contracts and grants 
a. Federal agencies are required by statute, Executive Order, or regulation to 
implement certain public policies through their procurement process. Current 
policies that have an impact on educational institutions in their purchases of goods 
and services require that small, disadvantaged, women-owned, and disabled 
veteran business enterprises shall have the maximum practicable opportunity to 
participate in the performance of Federally funded contracts let by the University. 
b. The University is obligated to carry out these Federal policies to the fullest extent 
consistent with the efficient performance of any contract and grant work undertaken 
by the University.
http://manuals.ucdavis.edu/ppm/350/350-10.pdf
",True,5.46,http://manuals.ucdavis.edu/ppm/350/350-10.pdf,Additional URL: http://purchasing.ucdavis.edu/b4ubuy/vendors.cfm
"University of California, Irvine",2016-03-23,2016-03-23 10:33:01,khaq@uci.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
"University of California, Los Angeles",2016-03-24,2016-03-24 13:55:41,sustainability@ucla.edu,2.0,In Progress,--,--,--,--,--,--,--
"University of California, Merced",2016-02-25,2016-02-25 16:56:27,cmccormick3@ucmerced.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/102/6/610/3797/UC-PS-15-0274_BFB-BUS-43%20Material%20Management.pdf,"Please see the attached UC BFB BUS-43 Material Management Policy 

Please also visit: http://policy.ucop.edu/doc/3400173/EqualOppContracting)",True,17.0,http://policy.ucop.edu/doc/3220485/BFB-BUS-43,--
"University of California, Riverside",2016-03-18,2016-03-18 16:23:34,john.cook@ucr.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/385/6/610/3797/ucr_bif.pdf,"Purchasing's vendor business information forms provides a space for historically underutilized businesses, minority-owned businesses, and women owned-businesses to identify themselves.",True,30.75,http://fboapps.ucr.edu/policies/index.php?path=viewPolicies.php&policy=750-78,--
"University of California, San Diego",2016-03-24,2016-03-24 18:51:51,smckinstry@ucsd.edu,2.0,Pursuing,True,,http://www-bfs.ucsd.edu/sbo/,True,48.0,http://www-bfs.ucsd.edu/sbo/,"The above information pertains to Small Businesses and all of its subsets, which may or may not be local."
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:15:02,mo@geog.ucsb.edu,2.0,In Progress,--,--,--,--,--,--,"In 2013 the total expenditures for Small Business Utilization were $174,133,693. Out of that $45,568,873 went to Small Business. 
 
Disadvantaged business received $2,140,482, Women owned businesses received $510,128, and Disabled Veterans received $17,000.
"
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:55:08,ekericks@ucsc.edu,2.0,Pursuing,True,,"It is the policy of the University of California, consistent with State and Federal Law, to provide opportunities for business contracting with small business enterprises in the areas of purchasing and other professional services provided to the University. See UCOP Business Finance Bulletin BUS-43 Material Management, Part 3: Supplier Diversity and Federal Planning and Reporting, Page 33, linked here: http://policy.ucop.edu/doc/3220485/BFB-BUS-43",True,14.85,https://financial.ucsc.edu/Pages/PS_Supplier_Guide.aspx#ovr_sbd,--
University of Colorado Boulder,2016-03-03,2016-03-03 07:50:04,dave.newport@colorado.edu,2.0,Pursuing,True,,"The Procurement Service Center's (PSC) efforts in support of the Small Business Program include:
	Educating campus departments and Purchasing Agents on the SBP, providing them with potential small- and disadvantaged-vendor sources, and training them on the use of CCR/Pro-Net; 
	Circulating small- and disadvantaged-company brochures, as applicable, to appropriate purchasing personnel, including campus department staff; 
	Attending small- and disadvantaged-business fairs, trade shows, and seminars; 
	Informing/reporting to various levels of CU management regarding the University's efforts in the SBP area; 
	Receiving visits from small- and disadvantaged-business representatives; 
	Encouraging small- and disadvantaged-businesses to register with BIDS and CCR/Pro-Net; 
	Advising small- and disadvantaged-business officials about University procurement procedures; and, 
	Monitoring applicable statutes and regulations to keep apprised of all relevant developments. 
",--,--,https://www.cusys.edu/psc/purchasing/smallbusiness.htm,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:35:47,lkogan@uccs.edu,2.0,Pursuing,True,,"The CU Procurement Services Center (PSC) is committed to supporting the goals and mission of the University's Small Business Program. Accordingly, within the policies and procedures of the University of Colorado, the PSC will:

- Increase awareness of the Small Business Program throughout the University.

- Maximize opportunities for CU departments to procure goods and services from small business concerns, including:
--Small Business Concerns;
--Women-Owned Small Business Concerns;
--Small Disadvantaged Business Concerns;
--Historically Black Colleges/Universities and Minority Institutions;
--HUBZone Small Business Concerns;
--Veteran-Owned Small Business Concerns; and,
Service-Disabled Veteran-Owned Small Business Concerns.

-Inform small and disadvantaged businesses about how to conduct business with the University of Colorado, as well as about the various procurement opportunities available at the University.",--,--,https://www.cu.edu/psc/purchasing/smallbusiness_commitment.htm,"The university is encouraged to maximize opportunities  to procure goods and services from small business concerns, including:
Small Business Concerns;
Women-Owned Small Business Concerns;
Small Disadvantaged Business Concerns;
Historically Black Colleges/Universities and Minority Institutions;
HUBZone Small Business Concerns;
Veteran-Owned Small Business Concerns; and,
Service-Disabled Veteran-Owned Small Business Concerns.

However, we do not have specific dollar figures to determine a percentage of purchases from these sources."
University of Connecticut,2016-03-25,2016-03-25 18:15:37,rich.miller@uconn.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Denver,2016-02-26,2016-02-26 12:38:10,chad.king@du.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Florida,2016-03-23,2016-03-23 09:06:18,miwilliams@ufl.edu,2.0,Pursuing,True,,"The Small Business & Vendor Diversity Relations Division is responsible for overseeing the University's Supplier Diversity Program which focuses on ensuring equal access for Small/HUB Zone/Minority/Small Disadvantaged/Veteran/Service-Disabled Veteran/& Women-Owned businesses, by providing them equal opportunity to compete for procurement and contracting opportunities at the University. The division works with the various colleges and departments at the University to increase awareness and to help identify opportunities for small businesses. We endeavor to seek out, identify and utilize a diverse supply of qualified vendors interested in providing the many services and products required by the University.",True,26.0,http://sbvdr.admin.ufl.edu/,--
University of Houston,2016-03-23,2016-03-23 17:21:46,smkelly5@central.uh.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/38/6/610/3797/HUB%20Purchasing%20Guidelines.pdf,"The Purchasing Department of each component university shall actively assist HUBs in learning how to conduct business with the UH System. Each component university shall attempt to increase the participation of HUBs in the purchasing process by selecting bids or proposals submitted by such businesses whenever those bids or proposals are comparable to other bids or proposals received, and whenever such a selection does not conflict with state or federal law.",True,23.72,http://www.uh.edu/af/universityservices/policies/sam/3FicsalAffairs/3B2.pdf,--
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:50,Cindy@uic.edu,2.0,Pursuing,True,,"The Minority and Female Business Enterprise Program (MAFBE) is a University initiative committed to vendor diversification by ensuring that businesses with ownership meeting the definitions of “minority,” “female,” and “persons with disabilities,” are included in the University procurement process.   The MAFBE Program provides access to procurement opportunities by creating an equitable and competitive business environment through encouraging campus departments to proactively consider qualified certified businesses owned by minorities, females and persons with disabilities for their contracting needs. 
The State of Illinois declares that it is the public policy of the State to promote and encourage the continuing economic development of minority, female and persons with disabilities owned businesses and are provided the opportunity to participate in the State’s procurement process as both prime and subcontractors. 
Designed to encourage state agencies and universities to purchase needed goods and services from businesses owned and controlled minorities, females and persons with disabilities, the Business Enterprise for Minorities, Females, and Person with Disabilities Act (30 ILCS575) became effective 8/28/94.
To comply with guidelines established by BEP, the University has set goals of allocating a certain percentage of its purchasing contracts to qualifying businesses.",True,25.0,http://www.obfs.uillinois.edu/cms/one.aspx?objectId=912105,--
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:19:29,spauldng@illinois.edu,2.0,In Progress,--,--,--,--,--,--,--
University of Louisville,2016-02-13,2016-02-13 03:02:58,justin.mog@louisville.edu,2.0,Pursuing,True,,"The Department of Purchasing actively promotes and documents small, minority, handicapped, and women-owned business purchases. The Department of Purchasing is responsible for maintaining and soliciting from a bid list of small, minority, handicapped, and women-owned businesses and should include at least one minority vendor per bid.

Additionally, UofL has established 25% of total procurement cost, as a goal for participation by Minority Owned and Women Owned businesses on all construction and renovation projects. Bidders not meeting this goal are required to submit documentation of their ""Good Faith Efforts"" in soliciting pricing as further defined by the University’s Instructions to Bidders, Article 18. Award of contract shall be conditioned upon the bidders satisfaction of these requirements.

The Purchasing Department is a member of the Tri-State Minority Supplier Development Council and frequently hosts on-campus events in conjunction with TSMSDC. In addition, our stated support of such businesses is listed on our web site.",--,--,http://louisville.edu/purchasing/policies/purchasing-5.00.html,--
"University of Maryland, College Park",2016-03-23,2016-03-23 15:56:17,sdeleon@umd.edu,2.0,Not Pursuing,--,--,--,--,--,--,--
University of Massachusetts Amherst,2015-12-17,2015-12-17 14:45:36,esmall@facil.umass.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/93/6/610/3797/purchasing_policy.pdf,"From page 2 of the UMass System policy under ""General Bid Requirements"":

The University’s commitment to the principles of Affirmative Action shall be applied to purchasing with the objective of achieving and fostering greater minority and women-owned business enterprise participation in University procurement activity and encouraging socially or economically disadvantaged business owners to respond to invitations to bid on University business.",--,--,http://media.umassp.edu/massedu/policy/purchasing_policy.pdf,--
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:12,Tyler_Arrigo@uml.edu,2.0,Pursuing,--,,NA,--,--,--,--
University of Michigan,2016-01-11,2016-01-11 15:37:44,ahorning@umich.edu,2.0,Pursuing,True,,"The website URL where information about the institution’s inclusive and local purchasing policies and/or program is available  http://www.finance.umich.edu/procurement/howtobuy/made

http://www.vpcomm.umich.edu/pa/key/pdf/VendorCode.pdf
",--,--,--,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:19,mgranley@d.umn.edu,2.0,Pursuing,True,,"The University of Minnesota's Regent's Policy regarding Targeted Business, Urban Community Economic Development, and Small Business Programs states:

""Subd. 1. Targeted Businesses. The Board of Regents (Board) supports the use of the purchasing power of the University of Minnesota (University) to enhance equal employment and business opportunities for minorities, women, and disabled
persons. Consistent with the Board’s long-standing policies and achievements in advancing diversity, equal employment opportunity, and affirmative action, the University is committed to promote actively the utilization of businesses owned and operated by minorities, women, and disabled persons (targeted businesses) and to prevent discriminatory practices against such businesses.""",--,--,http://regents.umn.edu/sites/regents.umn.edu/files/policies/TargetedBusiness.pdf,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:00,good0044@morris.umn.edu,2.0,Pursuing,True,,"The University of Minnesota's Regent's Policy regarding Targeted Business, Urban Community Economic Development, and Small Business Programs states:

""Subd. 1. Targeted Businesses. The Board of Regents (Board) supports the use of the purchasing power of the University of Minnesota (University) to enhance equal employment and business opportunities for minorities, women, and disabled
persons. Consistent with the Board’s long-standing policies and achievements in advancing diversity, equal employment opportunity, and affirmative action, the University is committed to promote actively the utilization of businesses owned and operated by minorities, women, and disabled persons (targeted businesses) and to prevent discriminatory practices against such businesses.""
",--,--,http://www1.umn.edu/regents/policies/administrative/TargetedBusiness.pdf,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:42,stennes@umn.edu,2.0,Pursuing,True,,"The University of Minnesota's Regent's Policy regarding Targeted Business, Urban Community Economic Development, and Small Business Programs states:
""Subd. 1. Targeted Businesses. The Board of Regents (Board) supports the use of the purchasing power of the University of Minnesota (University) to enhance equal employment and business opportunities for minorities, women, and disabled persons. Consistent with the Board’s long-standing policies and achievements in advancing diversity, equal employment opportunity, and affirmative action, the University is committed to promote actively the utilization of businesses owned and operated by minorities, women, and disabled persons (targeted businesses) and to prevent discriminatory practices against such businesses.""
",--,--,http://regents.umn.edu/sites/regents.umn.edu/files/policies/TargetedBusiness.pdf,--
University of Missouri,2015-05-01,2015-05-01 15:34:17,raghavans@missouri.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/125/6/610/3797/Purchasing%20-%20BPM-304%20Preferential%20Consideration.docx,"Minority and Women Business Enterprise Participation: 
It is the policy of the University of Missouri to ensure full and equitable economic opportunities to persons and businesses that compete for business with the University, including Minority and Women Business Enterprises (M/WBEs). To this end, the University has established participation goals for MBEs and WBEs of the total value of contracts for goods and services.
The University expects participation in contracts for goods and services by firms that are certified as Minority and Women Business Enterprises (M/WBEs). This may either be by the primary contractor being a qualified M/WBE or by the
utilization of M/WBE suppliers by the primary contractor (second tier purchases).  Contractors are required to make a ""best effort"" in support of the University's policy and documentation demonstrating this effort is required. Upon request of the University, the contractor shall provide semi-annual or annual reports of the financial participation of M/WBEs, either as the primary contractor or as second tier purchases. The report shall include the name(s) and address (es) of the qualified M/WBEs, products or services provided and the total dollar amount or percentage of utilization.",True,2.17,http://www.umsystem.edu/ums/fa/management/minbusdev/about,Business Policy Manual section 304 -- http://www.umsystem.edu/ums/rules/bpm/bpm300/manual_304 has information on preferential consideration given to these businesses.
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:27,johnstonrk@umkc.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/427/6/610/3797/FY12-Participation-Report.pdf,"It is the policy of the University of Missouri to ensure full and equitable economic opportunities to persons and businesses that compete for business with the University. The University expects participation in contracts for goods and services by firms that are certified as Minority and Women Business Enterprises (M/WBE). This may either be by the primary contractor being a qualified M/WBE or by the utilization of M/WBE suppliers by the primary contractor. Contractors are required to make a ""best effort"" in support of the University's policy.",True,62.0,http://www.umsystem.edu/ums/fa/management/sdsbd/documents,--
University of Mount Union,2016-01-13,2016-01-13 13:05:36,mcclauca@mountunion.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/48/6/610/3797/SUPPLIER%20DIVERSITY%20PROGRAM%20(1).pdf,"http://portal.mountunion.edu/CampusOffice/Business%20Office/polices_procedures/Documents/SUPPLIER%20DIVERSITY%20PROGRAM.pdf
University of Mount Union
Supplier Diversity Program
1.0 Purpose
1.1 The purpose of this policy is to enhance the successful business
relationships between Minority, Woman and Physically-Challenged
Owned Business Enterprises (M/W/DBE’s), and the University of
Mount Union.
1.2 Mount Union is committed to actively seeking goods and services
from minority, women, and physically-challenged owned businesses.
We strive to increase the visibility of the Supplier Diversity Program
within the University supply base.
2.0 Minority/Women-Owned Business Classifications Definitions
2.1 Minority Business Enterprise – An enterprise that is at least 51%
owned, operated, or controlled by a minority or a group of minority
members, or, in the case of a publicly owned business, at least 51% of
the stock is owned by a minority or a group of minority members.
Minority Group Members – African Americans, Hispanic Americans,
Native Americans, Asian/Pacific Americans and Asian/Indian
Americans.
2.2 Physically-Challenged – An enterprise that, regardless of ethnic
background, is at least 51% owned, operated, or controlled by an
individual who has a physical or mental impairment that substantially
limits one or more major life activities; there is a record of such
impairment; or is regarded as having such an impairment.
2.3 Women-Owned Business Enterprise (WBE) – An enterprise that,
regardless of ethnic background, is at least 51% owned, operated, or
controlled by a woman, or a group of women, or, in the case of a
publicly-owned business, at least 51% of the stock is owned by a
woman or group of women.
2.4 Certification Requirements – Validation of a supplier’s diverse status
is preferred for participation in the Mount Union Supplier Diversity
Program. Certification documents from the following qualified
agencies are acceptable:
National Minority Supplier Development Council (NMSDC)
National Assoc. of Women Business Owners (NAWBO)
Women’s Business Enterprise Council (WBENC)
City, State, or Federal Certification Agencies
3.0 Policy
3.1 It is the Policy of Mount Union, through it’s Supplier Diversity
Program, to increase the business opportunities for Minority, Women
and Physically-Challenged Business Enterprises (M/W/DBE’s). The
University’s commitment is to maximize M/W/DBE participation
through the development of mutually beneficial business relationships
with such firms. The effort is University-wide and includes traditional
procurement and contracted services as well as subcontracting and
joint venture activities.
3.2 It is the responsibility of all University departments, along with the
Purchasing Department, to seek out these diverse businesses and take
the steps necessary to assure that these businesses receive a fair
opportunity in the economic prospects available.
3.3 The program is intended to build an awareness of the University’s
Supplier Diversity efforts and to provide opportunities for Minority,
Women and Physically-Challenged Business Enterprises. While the
University does not practice set asides, it makes every effort to
provide opportunities and assistance to M/W/DBE suppliers to do
business with the Universtiy.
3.4 This program is developed, not as a response to outside regulatory
agencies or mandatory requirements, but as an effort to recognize and
support programs which can enhance the minority communities.
4.0 Function/Evaluation/Assessment
4.1 In support of this initiative Mount Union will:
Increase departmental awareness of the University
supplier diversity objectives and opportunities.
Educate potential diversity suppliers about how to
conduct business with the University.
Provide reasonable business opportunity to minorityowned,
women-owned, and physically-challenged
business enterprises (M/W/DBE) to participate as
suppliers, contractors and subcontractors for the
University.
Educate the University Community so that all
departments will become fully aware of this policy and
participate in increasing purchases from M/W/DBE’s
Monitor and record all expenditures with M/W/DBE and
report results on annual basis.
The Purchasing Department directs and supports the University’s ongoing
commitment to encourage business opportunities and diversity among it’s
suppliers.
",--,--,--,"Data received from Shawn Bagley, Purchasing Agent, entered by Leah Graham"
