Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have an institution-wide stated preference to purchase computers and/or other ...,"A copy of the electronics purchasing policy, directive, or guidelines","The electronics purchasing policy, directive, or guidelines ","A brief description of steps the institution has taken to ensure that the purchasing policy, ...",Does the institution wish to pursue to pursue Part 2 of this credit (expenditures on EPEAT ...,"Expenditures on EPEAT registered desktop and laptop computers, displays, thin clients, televisions, ...","Expenditures on EPEAT Bronze desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Silver desktop and laptop computers, displays, thin clients, televisions, and ...","Expenditures on EPEAT Gold desktop and laptop computers, displays, thin clients, televisions, and ...","Total expenditures on desktop and laptop computers, displays, thin clients, televisions, and ...","The website URL where information about the institution's electronics purchasing policy, directive, ...",Public Notes
University of Arizona,2016-03-25,2016-03-25 15:30:33,bchampion@email.arizona.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,"Expenditure data is based on information provided by Procurement and Contracting Services on the vendors that the University of Arizona utilizes for office and computer equipment purchases. The majority of this data is from the Arizona BuyWays Program, Purchase Orders information, and P-Card purchases made from July 2010 until February 3, 2012.  UA will seek to provide more current data in its next full STARS submission in mid 2016."
University of British Columbia,2016-02-22,2016-02-22 18:18:24,charlene.ponto@ubc.ca,2.0,Pursuing,--,,"While it is the University’s intent, and generally a stated requirement within computer-based competitive tenders, to purchase equipment that meets/exceeds standard certifications there is not an institution-wide published (stated) directive or guideline document.

A working committee – Information Technology Procurement Advisory Committee (ITPAC) – was formed and held its inaugural meeting February 20, 2012; scheduled to meet on a quarterly basis.

Additionally, this has been identified as a defined metric in the Payment & Procurement Services Sustainability Framework 2014-2017, stating the following goal for Office Equipment and IT to ""Maximize energy efficiency, recovered material content and environmentally preferable products for purchases of electronic office equipment, computers and peripherals (i.e. establish purchasing standards such as EPEAT and ‘ENERGY STAR Most Efficient’).""
",,--,**,--,--,--,--,--,--
"University of California, Berkeley",2016-03-23,2016-03-23 14:24:43,lmcneilly@berkeley.edu,2.0,Pursuing,True,,http://policy.ucop.edu/doc/3100155/Sustainable%20Practices,"With the institution of a new, centralized purchasing software system, the campus has also designated a limited list of computers that are the campus standard -- all of which are EPEAT Gold or Silver.  The Joint Administrative Computing Standardization (JACS) Program establishes standard configurations and purchasing agreements for Windows and Apple personal computers that will provide our campuses with professional/business quality personal computers while achieving considerable cost and time savings.  These standards also comply with the Sustainable Practices Policy (http://www.ucop.edu/ucophome/coordrev/policy/sustainable-practices-policy.pdf) that requires all computer purchases achieve a minimum of EPEAT Bronze.

The JACS program is for all staff computing purchases that do not involve the direct performance of academic research.  When purchasing new computers, departments are required to select from the menu of Windows and Apple standard configurations. ",--,**,--,--,--,--,http://businessservices.berkeley.edu/computers,--
"University of California, Davis",2016-03-28,2016-03-28 16:30:00,cmkirk@ucdavis.edu,2.0,Pursuing,True,,"UCOP Sustainable Practices Policy, http://policy.ucop.edu/doc/3100155/Sustainable%20Practices, Section V.G.:
24. All desktop computers, laptops, and computer monitors purchased by the University are required to have achieved a minimum Bronze-level registration or higher under the Electronic Products Environmental Assessment Tool (EPEAT®), where applicable.

25. Preference will be given for electronics products that have achieved EPEAT® Silver or EPEAT® Gold registration. The registration criteria and a list of all registered equipment are provided at http://www.epeat.net.","University of California PC agreements require that sellers strive to provide products that meet or exceed EPEAT Silver Level or higher products. A systemwide agreement has been established for use by campus departments with Dell Computers, which includes EPEAT criteria. This is the only agreement that is available through the campus e-procurement system. The majority of campus desktop computers are purchased through this agreement. ",True,**,21744.0,50720.0,2514856.0,3714174.0,http://policy.ucop.edu/doc/3100155/Sustainable%20Practices,--
"University of California, Irvine",2016-03-23,2016-03-23 10:31:14,khaq@uci.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/446/6/506/3784/SustainablePracticesPolicy%20June%202015.pdf,"The University of California's Sustainable Practices Policy, originally issued in July 2004 and updated on June 22, 2015, contains an entire section on Environmentally Preferable Purchasing Practices. The sections referencing EPEAT are shown below. UC Irvine primarily purchases equipment with the ""gold"" registration by identifying preferred equipment packages. 

Electronics Equipment
24. All desktop computers, laptops, and computer monitors purchased by the University are required to have achieved a minimum Bronze-level registration or higher under the Electronic Products Environmental Assessment Tool (EPEAT®), where applicable.
25. Preference will be given for electronics products that have achieved EPEAT® Silver or EPEAT® Gold registration. The registration criteria and a list of all registered equipment are provided at http://www.epeat.net.
26. All recyclers of the University's electronic equipment must be e-Steward certified by the Basel Action Network (BAN) (www.ban.org). In cases where the University has established take-back programs with a manufacturer, the University will encourage the manufacturer to become a BAN-certified e-Steward Enterprise (http://e-stewards.org/recycle-responsibly/enterprises/).",UC Irvine has computer support professionals who help identify needs and select packaged computer selections to meet our needs and advise customers. ,True,**,--,--,1547500.0,1547500.0,http://policy.ucop.edu/doc/3100155/SustainablePractices,Orders represent computers purchased for administrative operations through Procurement and OIT during the current reporting period. Sampling was done and most all purchases are through Dell or Hewlett Packard with EPEAT Gold products. 
"University of California, Los Angeles",2016-03-24,2016-03-24 13:53:48,sustainability@ucla.edu,2.0,Pursuing,True,,"Electronics Equipment 
24. All desktop computers, laptops, and computer monitors purchased by the 
University are required to have achieved a minimum Bronze-level registration or 
higher under the Electronic Products Environmental Assessment Tool 
(EPEAT®), where applicable.
25. Preference will be given for electronics products that have achieved EPEAT® 
Silver or EPEAT® Gold registration.  The registration criteria and a list of all 
registered equipment are provided at http://www.epeat.net. 
 
26. All recyclers of the University’s electronic equipment must be e-Steward certified 
by the Basel Action Network (BAN) (www.ban.org). In cases where the 
University has established take-back programs with a manufacturer, the 
University will encourage the manufacturer to become a BAN-certified e-Steward Enterprise (http://e-stewards.org/recycle-responsibly/enterprises/)","UCLA maintains a minimum EPEAT requirement of Silver in order for the product to be promoted through one of our approved procurement channels. (i.e.) ACER the 2nd largest PC OEM does not meet our UCLA EPEAT requirements and as a result their hugely popular desktops/laptops  are not available through any of the existing UCLA contracts or UCLA approved procurement channels. 

UCLA Strategic Sourcing has taken measures that shipping materials be styrofoam-free. HP Bulk Packaging has also been endorsed. When orders are received for 8+ units, Bulk Packaging is automatically initiated without the need to consult the end-user.

Additional links:
http://ucop.edu/sustainability/programs-initiatives/purchasing/index.html
http://www.sustain.ucla.edu/campus/article.asp?parentid=44",True,**,8461.22,7879403.04,159712.25,9480435.81,http://policy.ucop.edu/doc/3100155/Sustainable%20Practices,  
"University of California, Merced",2016-02-25,2016-02-25 16:56:10,cmccormick3@ucmerced.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/102/6/506/3784/UC-CR-15-0270_SustainablePractices.pdf,"EPEAT - The Electronic Product Environmental Assessment Tool is a
method for consumers to evaluate the effect of a product on the
environment. It ranks products as gold, silver or bronze based on a set
of environmental performance criteria. It is managed by the Green
Electronics Council. Please see attached UC Sustainable Practices Policy.  

Please also see Sustainable purchasing policy addressed in BFB BUS-43 at: http://policy.ucop.edu/doc/3220485/BFB-BUS-43
","The University Strategic Sourcing contracts for computer products require manufacturers/suppliers to provide sustainable products and services that are in accordance with and/or exceed the university policy requirements.

UC Sustainable Practices Policy:  All desktop computers, laptops, and computer monitors purchased by the University are required to have achieved a minimum Bronze-level registration or higher under the Electronic Products Environmental Assessment Tool (EPEAT), where applicable.",True,**,--,33192.0,1107985.0,1996096.0,http://ucop.edu/sustainability/,URL website reference http://policy.ucop.edu/doc/3100155/SustainablePractices 
"University of California, Riverside",2016-03-18,2016-03-18 16:23:17,john.cook@ucr.edu,2.0,Pursuing,True,,UCR requires EPEAT Silver or above for all computing purchases where possible. Specialized computing needs are exempt when an EPEAT equivalent system is not available.,Almost 100% of computers are purchased through the online computer store or the campus computer store. Only EPEAT Silver or above products are available.,True,**,--,22448.0,983767.0,1320491.0,http://www.ucop.edu/ucophome/coordrev/policy/sustainable-practices-policy.pdf,--
"University of California, San Diego",2016-03-24,2016-03-24 18:50:10,smckinstry@ucsd.edu,2.0,Pursuing,True,,http://blink.ucsd.edu/buy-pay/responsible/environment,"The University of California has a system wide policy that was adopted in March 2008 by the Regents; this policy requires a Bronze registration. It reads as follows: “All desktop computers, laptops, and computer monitors purchased by the University are required to have achieved Bronze registration or higher under the Electronic Products Environmental Assessment Tool (EPEAT).” However, UC San Diego exceeds this policy requirement. Through negotiated contracts with both Dell and Apple, who provide the vast majority of computers to UC San Diego, most of the systems that are available to UC San Diego are EPEAT Gold, with only a few being EPEAT Silver and none EPEAT Bronze. By purchasing from these negotiated contracts, campus procurement ensures that UC San Diego exceeds the policy requirements set forth by the Regents. For example, at UC San Diego Facilities Management, all computer and peripheral purchases are routed through the IT group for action. This group has an internal operating procedure to purchase energy efficient systems whenever possible.",True,**,--,--,743902.0,3790785.0,http://blink.ucsd.edu/buy-pay/responsible/environment/epp.html,--
"University of California, Santa Barbara",2016-03-23,2016-03-23 16:13:14,mo@geog.ucsb.edu,2.0,Pursuing,True,,"Per UC Policy on Sustainable Practices (please see http://policy.ucop.edu/doc/3100155/Sustainable%20Practices)
ENERGY STAR ® - Energy Star is a standard for energy efficient consumer products administered by the U.S. Environmental Protection Agency and the U.S. Department of Energy.

EPEAT ® - The Electronic Product Environmental Assessment Tool is a method for consumers to evaluate the effect of a product on the environment. It ranks products as gold, silver or bronze based on a set of environmental performance criteria. It is managed by the Green Electronics Council.","UC Systemwide has a policy requiring purchase of EPEAT certified Bronze or higher computers (please see the UC Policy on Sustainable Practices, page 14).  In addition to requiring EPEAT Bronze, the policy states: “Preference will be given for electronics products that have achieved EPEAT® Silver or EPEAT® Gold registration.” While a policy is in place, it is not fully at the level required by STARS and we are working to improve our tracking systems.  We are not currently able to report spend in these areas as our procurement system does not capture the ""punch-out"" expenditures.",--,**,--,--,--,--,http://www.ucop.edu/ucophome/coordrev/policy/sustainable-practices-policy.pdf,"UCSB has implemented an on-line procurement system (SciQuest), which we had hoped would allow for tracking, prioritizing, and capturing spend data.  Unfortunately, we have found that items purchased via a ""punch-out"" (log-through directly to vendor's websites) does not allow us to capture or direct spend as planned.  This unintended consequence has resulted in our efforts to host more catalogs, in partnership with other UC campuses, in order to help us in achieving sustainability goals.  At this time, we are not able to direct spend to the specific EPEAT levels, nor are we able to adequately capture the expenditures within the various EPEAT categories."
"University of California, Santa Cruz",2016-03-23,2016-03-23 11:53:17,ekericks@ucsc.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/301/6/506/3784/UC-CR-13-0213_SustainablePractice-2.pdf,See attached,UC Santa Cruz includes EPP training with training offered for its ecommerce tool.  Any competitive bid includes gradable product and business sustainability criteria.  We also have a green guide on our website as a reference and offer a greenwashing training through our online learning center.,True,**,955.0,3783.0,1042823.0,1271470.0,http://policy.ucop.edu/doc/3100155/Sustainable%20Practices,Numbers do not include purchases made with a pro-card (university credit card).
University of Colorado Boulder,2016-03-03,2016-03-03 07:49:47,dave.newport@colorado.edu,2.0,Pursuing,True,,https://www.cusys.edu/psc/purchasing/sustainable_purchasing_guidelines.htm,"Institution has an institution‐wide stated preference to purchase Electronic Product Environmental
Assessment Tool (EPEAT) Silver or higher products. This can take the form of purchasing policies,
guidelines, or directives. This credit does not include specialized computers for which no EPEAT certified
products are available.
 
In addition We receive a yearly report from Dell which lists all equipment purchased and which equipment has EPEAT certification and at what level.
Also, Dell is now preparing to sell the model 3020 which is made from recycled materials. The administration is considering whether to designate this model as the system standard model for purchase.",--,**,--,--,--,--,http://www.gssa.state.co.us/,--
University of Colorado Colorado Springs,2016-03-23,2016-03-23 11:33:59,lkogan@uccs.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/90/6/506/3784/UCCS%20Energy%20Star%20policy%202-05-08.doc,"As part of our commitment to reduce the impact of our carbon emissions, the University of Colorado at Colorado Springs has decided to issue guidance for the procurement of products that are Energy Star rated.  
Whenever available, UCCS energy consuming product purchases should be Energy Star rated. If there is no Energy Star rating for a desired product, those making procurement decisions are encouraged to purchase products with the highest energy efficiency available.

The purchase of Energy Star-rated equipment will improve the University’s energy and financial performance while further distinguishing our institution as an environmental leader.
The University of Colorado Procurement Service Center has agreed to support this guiding statement. 
","In 2010, the CU system conducted a strategic purchasing RFP for computer purchases for the entire 4-campus system. The language in the RFP regarding EPEAT is as follows:
The University wishes to purchase Computer Hardware that is Electronic Products Environmental Assessment Tool (EPEAT) Silver and/or Gold certified.  Offerors are encouraged to propose EPEAT certified Computer Hardware. 
While strategic purchasing agreements are not mandatory, they are effective in highlighting desired environmental attributes and providing chosen equipment or services at reduced costs, which makes them attractive to campus purchasers. In 2013 the UCCS IT department chose all EPEAT Gold level computers for the campus computer refresh for a total of 832 computers.",True,**,15000.0,--,800000.0,830000.0,http://www.uccs.edu/sustain/operations/purchasing.html,"2013 computer purchase, the HP EliteOne 800, is EPEAT Gold. 
2013 computer purchase, iMac 27"" is EPEAT Gold
"
University of Connecticut,2016-03-25,2016-03-25 18:13:47,rich.miller@uconn.edu,2.0,Pursuing,True,,"The University of Connecticut requires that, where possible, only ENERGY STAR certified appliances, A/V equipment, copiers, printers, fax machines, scanners, coffee makers, and refrigerators, and electronics must be rated EPEAT Silver or higher. UConn also offers a standard personal computer known as the HuskyPC to faculty and staff. HuskyPCs include all of the UConn standard supported software. 

http://huskypc.uconn.edu/index.html
http://ecohusky.uconn.edu/docs/about/2014%20Sustainability%20Progress%20Report.pdf
","HuskyPC is the program that faculty and staff use in order to procure computers for University use. All computers provided, known as ""HuskyPCs"" are EPEAT Gold computers. ",True,**,2223.66,98952.87,31131.34,132629.85,http://purchasing.uconn.edu/resources/,"87% of electronics purchased are Energy Star products.

Information regarding the University’s electronics purchasing policy, directive, or guidelines can be found on the University of Connecticut Procurement Services Purchasing Department Resources website.

http://purchasing.uconn.edu/resources/.  

The University, in conjunction with OfficeMax, has recently implemented a Sustainable Toner Program.  The program schedules pick-ups of empty toner cartridges through Central Stores and offers a more environmentally friendly toner option that consumes fewer materials, natural resources, energy, and its impact on the environment. 

http://media.procurement.uconn.edu/ucount/images_announcements/Sustainable%20Toner%20Program.pdf
"
University of Denver,2016-02-26,2016-02-26 12:37:51,chad.king@du.edu,2.0,Pursuing,True,,"http://www.du.edu/purchasing/policy/7_D.html
",Computer purchases must be approved centrally and follow purchasing policies posted on the web at http://www.du.edu/purchasing/policy/7_D.html; ,--,**,--,--,1046437.0,1046437.0,http://www.du.edu/purchasing/policy/7_D.html,"We purchase desktop, laptop, and monitors from Dell business class, which is EPEAT Gold level, as well as our secondary manufacturer, Apple, all of their products are Gold too (per Cindy Crouch, Interim Vice Chancellor for Technology)."
University of Florida,2016-03-23,2016-03-23 09:04:29,miwilliams@ufl.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/30/6/506/3784/1.pdf,"16. Sustainable Purchasing
• Purpose
• The purpose of this policy is to support campus sustainability at the
University of Florida and to provide guidelines, information, and
resources in procuring products that will minimize negative impacts on
society and the environment to the greatest extent practicable.
• Responsibilities of Departments
• Develop and maintain information about environmentally and socially
preferable products. Departments should use the list composed in this
document as a guideline and may add or modify the list as needed.
• Inform employees of their responsibilities under this policy; provide
them with information about sustainable procurement opportunities.
Check the Purchasing web page for frequent updates on vendor
commitments to sustainability, including new annual contracts and
participation in vendor shows.
• Submit new ideas, problems or concerns to Purchasing (352) 392-1331
or e-mail purchasing@ufl.edu.
• Best Practices and Procurement Strategies
• Reduce waste at the point of purchase.
Faculty, staff and students can help achieve the university's waste
reduction goals by practicing the three R's: reducing, reusing, and
recycling. Priority should be given to reducing waste upstream by
purchasing products made from recycled material that can be reused or
recycled.  • Office paper, letterhead stationery, envelopes, and business cards
made from recycled paper
 • Office supplies
 • Recycled, remanufactured, or re-filled toner cartridges
 • Furniture made with a percentage of postconsumer or postindustrial
material and/or FSC 50% certified wood
To reduce disposal costs and waste, choose items that can be
remanufactured, recycled, or composted. Many products made from
recycled materials are available and are being included in the University
of Florida contracts.
Contract information is available from the Purchasing website under
contracts and UF Pricing.
• Purchase durable and reusable goods.
Using life-cycle cost analysis, rather than automatically choosing goods
with the lowest purchase price, can help departments identify the best
long-term value. Factor in a product's estimated life span as well as its
energy, maintenance, consumable supplies and disposal costs.
 • Consider durability and reparability of products prior to purchase.
 • Invest in goods with extended warranties. Conduct routine
maintenance on products/equipment.
 • Save money and minimize waste by eliminating single-use items,
such as non rechargeable batteries, in favor of rechargeable batteries.
Use rechargeable cartridges.
• Lease and rent when appropriate.
Consider an operating lease or rental rather than a purchase or capital
lease. Lease and rental contracts give vendors the responsibility for the
upkeep of goods such as computers and copiers, and for managing
them at the end of their useful life. Businesses that lease equipment
tend to manufacture more durable items, salvage reusable parts,
refurbish, recycle, or donate used equipment that can no longer be
leased. Renting is a cost-effective option for short-term equipment
needs.
• Specify product and packaging take-back.
 • Increasingly, product vendors are offering to take back the products
they sell when they become obsolete. By utilizing vendors who offer an
Extended Product Responsibility (EPR) program, especially take-back,
recycle, and disposal programs, departments are ensured equipment
and products are disposed of properly whether recycled, donated,
refurbished or disposed of without the added cost.
 • Other vendors will take back used items, such as carpeting and
toner cartridges, when purchasers buy new products. For example, several carpet manufacturers have invested in sophisticated recycling
facilities that turn old carpet into new carpet or other goods and toner
cartridges are disposed of properly or sent to be recharged and sold at
a lower cost.
 • Departments should require vendors to assume responsibility for
some of their shipping materials, such as wooden pallets and excess
packaging materials. When ordering large furniture or computer
shipments request products ship blanket-wrapped or using reduced
packing material.
• Buy goods in bulk or concentrated form.
This practice can significantly reduce the packaging associated with
lower product quantities and save costs. Carefully estimate demand
when purchasing in bulk; purchasing more than is needed can create
excess that becomes waste.
• Manage surplus effectively.
The University of Florida can reduce waste by eliminating excess
purchases. Reviewing past needs can minimize the procurement of
unneeded items. Clean out your office supply cabinet and post reusable
items for UF Departments on GatorList.net or donate to local
non-profit organizations such as Alachua County's Tools for Schools.
Departments should utilize Asset Management Services for disposing of
unwanted, out-dated property. Asset Management will effectively
redistribute, recycle, or dispose of surplus property by bidding it out
over the Internet through surplus on-line bids, police auctions, property
warehouse, or federal warehouse. For more information see Asset
Management Services Web Site: http://fa.ufl.edu/am/surplus/.
• Procure commodities that are certified to meet sustainability
standards.
Paper and Forest Products:
 • Forest Stewardship Council - www.fsc.org
 • Chlorine Free Products Association - www.chlorinefreeproducts.org
Electronics and Appliances:
 • Energy Star - www.energystar.gov/purchasing
 • Electronic Product Environmental Assessment Tool (EPEAT) -
www.epeat.net
EPEAT has tiers of environmental performance. UF's bundled
computers will meet at least the EPEAT silver standard. UF's preference
is that when the certification is available on the products being
purchased, all purchases of computers and monitors meet or exceed
the silver EPEAT certification. Cross-sector: (examples: cleaning supplies)
 • Environmental Choice - www.environmentalchoice.com
 • Green Guard - www.greenguard.org
 • Ecologo - www.ecologo.org
 • Green Seal - www.greenseal.org
 • Scientific Certification Systems - www.scscertified.com
Carpet, Adhesives and Cushion:
 • CRI Green Seal and Green Seal Plus - www.carpet-rug.org
Renewable Energy:
 • Green-e - www.green-e.org
Building Practices and Indoor Air Quality:
 • Green Building Council (LEED) - www.usgbc.org/leed
Food:
 • USDA Organic, Food Alliance Certified, Ranforest Alliance Certified,
Protected Harvest Certified, Fair TrADE OR Marine Stewardship
Council's Blue Eco-Label
• Procure remanufactured goods and use refurbishing services.
It is generally much less expensive to buy remanufactured goods such
as remanufactured toner cartridges, or to use refurbishing services for
computer upgrades, carpet repair, and furniture reupholster, than to
buy new items. ""Recharged"" toner cartridges typically save
departments 30 to 50 percent per sheet of paper. Remanufactured
items should require no sacrifice in performance. Check with
Purchasing for current contracts in place for remanufactured products.
• Purchase goods containing fewer toxic constituents.
By procuring goods with fewer or no toxic chemicals, departments can
reduce their hazardous waste disposal, future liability concerns, and the
risk of occupational exposure and spills. Low-toxicity products such as
mercury-free medical supplies, low mercury light bulbs/lamps with a
content of 90 picograms per lumen-hour or less, printing ink low in
volatile organic compounds (VOCs), and chrome and chlorine free
cleaning supplies are increasingly available and cost-competitive. See
the Cross-sector certifications to help selecting products. The University
prefers all cleaning products purchased are either Green Seal or
EcoLogo certified.
• Reduce paper use.
 • Set all printers, copiers, and fax machines to the default duplex
mode if the function is available.
 • Purchase office equipment that has duplex capability.  • Purchase paper with recycled content
 • Utilize technology to send and store information electronically.
 • Utilize internet fax when available.
 • E-mail document files instead of faxing hardcopies.
 • Instead of having forms preprinted and stored, fill out forms online
and print as needed when available and feasible.
 • Store documents electronically instead of storing hard copies.
• Current Guidelines in Place
• All University of Florida personnel will purchase recycled and
environmentally preferable products whenever practicable.
• University of Florida Departments will purchase hybrid or alternative
fuel vehicles.
• The University of Florida will have a recycle container available within a
reasonable distance of soda machines and in all dining establishments
where canned or bottled drinks are served:
http://www.ppd.ufl.edu/grndrr.htm. Contact Physical Plant's Solid
Waste Coordinator at 392-7396 or 392-1148 x 301.
• University of Florida should promote the use of recycled and other
environmentally preferable products by publicizing its sustainable
procurement program. Materials produced for advertising,
conferences, trade fairs, press releases, and other communications with
clients and citizens can make reference to the University of Florida's
commitment and leadership in the use of recycled and
environmentally/socially preferable products.
• The University Purchasing and Disbursements Department will make
every effort to secure contracts with vendors that are socially and
environmentally conscientious, and certified green whenever
practicable.
• Purchasing and UF's Zero Waste by 2015 Goal
• Purchasing recyclable or products made out of recycled material is only
part of the life cycle, you must recycle whenever possible. If you are not
sure about the different recycling programs on campus, visit the
Physical Plant Division, Grounds Department website
http://www.ppd.ufl.edu/grounds-refuse.html or call (352) 392-7396.
• Environmentally Preferable Purchasing (EPP) Resources
• Resources:
 • Center for a New American Dream's Procurement Strategies
(www.newdream.org/procure)
 • EPA's EPP Web Site (www.epa.gov/oppt/epp)
 • EPPNet (www.nerc.org/eppnet.html)  • INFORM (www.informinc.org)
 • Office of the Federal Environmental Executive (www.ofee.gov)
• Examples of environmentally preferred products:
 • Recycled paper and paper products
 • Remanufactured laser printer toner cartridges
 • Energy Star Rated computers and appliances
 • Rechargeable batteries
 • Re-refined lubrication, hydraulic oils, and antifreeze
 • Recycled plastic outdoor-wood substitutes including plastic lumber,
benches, fencing, signs and posts
 • Recycled content construction, building and maintenance products,
including plastic lumber, carpet, tiles and insulation
 • Re-crushed cement concrete aggregate and asphalt
 • Cement and asphalt concrete containing glass cullet, recycled fiber,
plastic, tire rubber, or fly ash
 • Compost, mulch, and other organics including recycled biosolid
products
 • Re-manufactured and/or low or VOC-free paint
 • Cleaning products with lowered toxicity
 • Energy saving products
 • Waste-reducing products
 • Water-saving products
• Socially Responsible/Ethical Purchasing Standards
• In demonstrating a commitment to sustainability and seeking to ensure
safe and healthy workplaces for the people who make products for the
University of Florida, purchasers should strive to ensure that the
products they purchase meet International Labor Organization (ILO)
manufacturing standards and Fair Trade Labeling standards.
Learn more about the importance of ethical purchasing:
 • Verité (www.verite.org)
 • Workers Rights Consortium (www.workersrights.org)
 • Silicon Valley Toxics Coalition (svtc.igc.org/svtc/)
• Glossary
• Environmentally Preferable Products are products that have a lesser
impact on human health and the environment when compared with
competing products. This comparison may consider raw materials
acquisition, production, manufacturing, packaging, distribution, reuse,
operation, maintenance, or disposal of the product.
• Green Purchasing means purchasers take into consideration the
environmental impact of products when making purchasing decisions, giving preference to more environmentally friendly products when
quality and price are equal or superior.
• Recycled Products are products manufactured with waste material that
has been recovered or diverted from solid waste. Recycled material
may be derived from post-consumer waste (material that has served its
intended end-use and been discarded by a final consumer), industrial
scrap, manufacturing waste, or other waste that would otherwise have
been wasted.
• Sustainability means meeting today's needs without compromising the
ability of future generations to satisfy their needs.
• Waste Prevention means any action undertaken by an individual or
organization to eliminate or reduce the amount or toxicity of materials
before they enter the municipal solid waste stream. This action is
intended to conserve resources, promote efficiency, and reduce
pollution.
• Reuse means repairing what is broken or giving it to someone who can
repair it or use it in its current state.
• Reduce means using less of products and utilizing other means of doing
business when available to reduce the amount and toxicity of trash
discarded.
• Recycle means to reprocess and reuse used material.
• Life Cycle Evaluation is an evaluation of the major environmental
impacts in each life-cycle stage of a product category including resource
extraction, production, distribution, use, and eventual disposal or
recycling. The evaluation considers energy, resource use, and emissions
to air, water, and land, as well as other environmental and health
impacts. The purpose of this evaluation is to identify significant lifecycle
stages to be addressed.
• Life Cycle Cost Analysis is an economic evaluation technique that
determines the total cost of owning and operating a building or
equipment.
• Rechargeable means to replenish the amount of electric power in
something, especially a battery.
• Extended Producer Responsibility (EPR) is vendors taking on the
responsibility for the environmental impacts of their products through
the entire product's life cycle; especially the take-back, recycle, and
disposal programs.
• Leasing is a legal rental contract allowing somebody exclusive
possession of another's property for a specific time in return for a
payment. • Certification an official document or seal providing evidence and details
of something that is authentic and verified by a third party.
• Exemptions
• Nothing in this directive should be construed as requiring the purchase ","UF has a Sustainable Purchasing directive encouraging the purchase of EnergyStar and EPEAT computers.

UF's bundled computers will meet at least the EPEAT silver standard. UF's preference is that when the certification is available on the products being purchased, all purchases of computers and monitors meet or exceed the silver EPEAT certification.",True,**,--,38796.45,1503477.01,1542273.46,http://www.purchasing.ufl.edu/departments/directives-procedures.asp,--
University of Houston,2016-03-23,2016-03-23 17:19:53,smkelly5@central.uh.edu,2.0,Pursuing,True,http://stars.aashe.org/media/secure/38/6/506/3784/UHS_Purchasing_Guidelines.pdf,,"The institution-wide Finance Policy directs purchasers to buy EPEAT certified equipment
and then provides links to manufacturers of this equipment. Purchasing officers cite the EPEAT policy page directly.",True,**,--,--,219073.91,219073.91,http://www.uh.edu/finance/Departments/HUB/store/dell/,"EPEAT Policy: http://www.epeat.net/resources/criteria/
Additional UH electronics purchasing link: http://www.uh.edu/finance/Departments/HUB/store/gateway/"
University of Illinois at Chicago,2016-02-12,2016-02-12 17:23:33,Cindy@uic.edu,2.0,Pursuing,True,,"While there is no institution-wide stated preference to purchase electronic products that are EPEAT registered, the University's Administrative Information Technology Services (AITS) offers guidelines on sustainability efforts for technology resources.  AITS provides descriptions on why environmentally friendly electronic products are important, referring to effective power management, energy consumption, eco-friendly disposal of e-waste, and the virtualization of servers and applications to reduce power consumption.  Their website lists vendors that have established green initiatives (or Energy Star certifications) that they take advantage of purchasing through University or state contracts.  These include: Apple, Dell, EMC, Hewlett-Packard, and SUN/Oracle.  AITS also utilizes planned refresh cycles where they can take advantage of technology improvements, lowering prices and lowering energy consumption. 
","All of Office of Business and Finance solicitation documents follow the State Procurement Code and include specifications which outline the requirements for sustainability, required certifications, or green products.  We provide the vehicle agreement/contract) for the Universities to purchase from. 

The State does have Preferences/Special Programs for Environmentally Preferable Supplies (30 ILCS 500/45-26) located at:

http://www.ilga.gov/legislation/ilcs/ilcs4.asp?DocName=003005000HArt%2E+45&ActID=532&ChapterID=7&SeqStart=14700000&SeqEnd=16700000

The Universities purchase off of these agreements / University Contracts within the scope, within their budgets, and at the guidelines set by the University.  

We want the best and greenest products or services for our University.  Included in the microcomputer IFB are:
* take-back programs (at the end of life the microcomputers are sent back to be re-used as parts or whole)
* swap-outs (microcomputers are swapped out for the same or newer models when there is a problem)
* vendor trained computer technicians (eliminates the need for the vendor to provide a technician to drive to campus to fix/upgrade computers in-house

",True,**,3326.0,21675.0,1757531.0,2088988.0,http://www.aits.uillinois.edu/services/network_and_desktop_services/sustainability_initiatives/,Does not include purchases of Apple computers.
"University of Illinois, Urbana-Champaign",2016-03-23,2016-03-23 09:17:45,spauldng@illinois.edu,2.0,Pursuing,--,,,"At this time, University policy requires Energy Star computer purchases.  ",--,**,--,--,--,--,http://cam.illinois.edu/vii/VII-b-13.htm,--
