Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the the institution employ Life Cycle Cost Analysis (LCCA) as a matter of policy and practice ...,Does the institution employ LCCA as a matter of policy and practice across the operations of the ...,A brief description of the LCCA policy(ies) and practice(s),The website URL where information about the institution’s LCCA policies and practices is available,Public Notes
University of Massachusetts Lowell,2016-02-04,2016-02-04 11:33:15,Tyler_Arrigo@uml.edu,2.0,Pursuing,True,--,"LCCA is considered for projects that involve design/purchase of equipment that uses energy and/or water.  LCCA is not required as part of the Request for Proposal (RFP) process but is considered along with project budget requirements.  For example, when purchasing computers the life cycle cost associated with the energy consumption of various computer models is considered along with other purchasing criteria such as memory, screen size, industry reviews, etc.",--,--
University of Michigan,2016-01-11,2016-01-11 15:37:47,ahorning@umich.edu,2.0,Pursuing,--,--,,--,--
"University of Minnesota, Duluth",2016-02-26,2016-02-26 14:48:22,mgranley@d.umn.edu,2.0,Not Pursuing,--,--,--,--,--
"University of Minnesota, Morris",2016-02-24,2016-02-24 11:29:04,good0044@morris.umn.edu,2.0,Pursuing,--,--,,--,--
"University of Minnesota, Twin Cities",2016-03-03,2016-03-03 17:48:45,stennes@umn.edu,2.0,Pursuing,True,True,"The policy for the entire University of Minnesota is applied practice Life Cycle Cost Analysis.  Life-cycle cost analysis is a tool to determine the most cost-effective option among different competing alternatives to purchase, own, operate, maintain and, finally, dispose of an object or process.  Life Cycle Costing (LCC) is an important economic analysis used in the selection of alternatives that impact both pending and future costs. It compares initial investment options and identifies the least cost alternatives for the estimated life of the asset. ",--,--
University of Missouri,2015-05-01,2015-05-01 15:34:24,raghavans@missouri.edu,2.0,Pursuing,--,--,,--,--
"University of Missouri, Kansas City",2016-02-17,2016-02-17 12:08:30,johnstonrk@umkc.edu,2.0,Not Pursuing,--,--,--,--,--
University of Mount Union,2016-01-13,2016-01-13 13:05:39,mcclauca@mountunion.edu,2.0,Pursuing,--,--,N/A,--,"Data received from Shawn Bagley, entered by Leah Graham"
University of Nebraska - Lincoln,2016-02-25,2016-02-25 15:45:11,pshrestha3@unl.edu,2.0,Pursuing,True,--," 
Life Cycle Cost: Each design decision that significantly impacts long term energy use shall be based on a life cycle cost (LCC) analysis incorporating construction, energy and operating and maintenance costs. 
",http://unlcms.unl.edu/businessandfinance/fmp/designguidelines/energy-conservation-narratives,--
University of Nebraska at Omaha,2016-02-19,2016-02-19 11:12:47,slburke@unomaha.edu,2.0,Not Pursuing,--,--,--,--,--
University of New Hampshire,2016-03-25,2016-03-25 21:55:19,colleen.flaherty@unh.edu,2.0,In Progress,--,--,--,--,Energy efficiency contact: Matt O'Keefe
University of North Carolina at Chapel Hill,2016-03-14,2016-03-14 14:58:10,cpshea@fac.unc.edu,2.0,Pursuing,True,True,"Our electrical and mechanical engineers conduct a life cycle cost analysis when specifying products to use in energy and water efficiency upgrade projects, renovation projects, and capital projects. ",http://www.nc-sco.com/documents/guidelines/lcca/LCCA%20Manual.doc‎,--
"University of North Carolina, Greensboro",2016-01-26,2016-01-26 15:33:32,cgcarwei@uncg.edu,2.0,Pursuing,True,--,"The State of North Carolina requires that all facilities constructed or renovated for the State, 20,000 GSF in area or larger, shall be designed on the basis of life-cycle cost. The goal of the legislation was to ensure that designers maximize the long-term benefits to the State, within the confines of a specific capital appropriation, since it is obvious that the cost imposed on the State over the life of a building far exceeds the initial construction investment. Further, under SB668, All construction projects with approved budgets of $2M must select building systems (from building envelope, to mechanical and electrical systems) based on life cycle cost analysis.",http://www.ncleg.net/sessions/2007/bills/senate/html/s668v6.html,"Information for this credit was received from Jorge Quintal, AVC for Facilities and Chief Sustainability Officer at UNCG."
"University of North Carolina, Wilmington",2016-02-29,2016-02-29 14:29:44,pohlmank@uncw.edu,2.0,Pursuing,True,--,"A LCCA is mostly utilized for any new construction and any project done through Ameresco. For all other projects the cost, future savings, maintenance, and environmental impact are also considered in the purchasing decision. ",--,--
University of Oregon,2016-03-23,2016-03-23 11:03:35,smital@uoregon.edu,2.0,In Progress,--,--,--,--,--
University of Pittsburgh,2016-03-24,2016-03-24 13:00:26,lwzfm1@pitt.edu,2.0,Not Pursuing,--,--,--,--,--
University of Richmond,2016-02-17,2016-02-17 15:17:49,randreje@richmond.edu,2.0,Pursuing,True,--,"During the design stage of any new construction or major renovation project various HVAC systems are evaluated taking into account the purchase/installation of the system, the annual maintenance costs, and the expected useful life of the system.   ",--,--
University of South Carolina,2016-02-29,2016-02-29 17:11:54,KOPPAN@mailbox.sc.edu,2.0,Pursuing,True,True,"Any Energy Conservation Measure implemented that is above $100,000 includes a Life Cycle Cost Analysis by a third party firm that would provide all pertinent LCCA information (i.e. Capital Costs, Discount Rate, inflation rate, Fuel Price indices, etc.) All this information along with a feasibility report is required.",http://www.facilities.sc.edu/,--
University of South Florida,2016-02-26,2016-02-26 13:29:50,sustainability@usf.edu,2.0,Pursuing,True,True,"255.254 No facility constructed or leased without life-cycle costs.—
(1) A state agency may not lease, construct, or have constructed, within limits prescribed in this section, a facility without having secured from the department an evaluation of life-cycle costs based on sustainable building ratings.",http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0200-0299/0255/Sections/0255.254.html,--
University of South Florida St. Petersburg,2016-03-25,2016-03-25 23:01:00,davidv@mail.usf.edu,2.0,Not Pursuing,--,--,--,--,--
University of Tennessee at Knoxville,2016-02-23,2016-02-23 11:20:36,prestonj@utk.edu,2.0,Pursuing,True,True,"The state chief procurement officer will determine which commodities and products may be bought according to energy efficiency standards. The state must adopt rules and regulations relative to energy efficiency standards for major energy-consuming products. Life cycle costs are to be used in contracting for major energy-consuming products. In determining life cycle costs, the state may consider:

-Acquisition cost of the product,
-Energy consumption and projected cost of energy over the useful life of the product, and
-The expected re-sale or salvage value of the product.

Except where prohibited by private act or state law, the municipality must adopt the energy efficiency standards and life cycle costing employed by the state. The municipality may develop and adopt its own energy efficiency standards, provided they are more stringent than the state standards.",https://mtasresource.mtas.tennessee.edu/reference/life-cycle-cost-and-procurement-act-summary,--
University of Texas Rio Grande Valley,2016-01-25,2016-01-25 15:03:04,Marianella.Franklin@utrgv.edu,2.0,In Progress,--,--,--,--,--
University of Texas at Arlington,2016-02-26,2016-02-26 12:36:40,mtare@uta.edu,2.0,Not Pursuing,--,--,--,--,--
University of Texas at Austin,2016-03-21,2016-03-21 16:15:04,jim.walker@austin.utexas.edu,2.0,Pursuing,--,--,,--,--
University of Texas at Dallas,2016-02-29,2016-02-29 18:13:13,thea.junt@utdallas.edu,2.0,Not Pursuing,--,--,--,--,--
University of Toledo,2016-03-25,2016-03-25 15:22:42,neil.tabor@utoledo.edu,2.0,Not Pursuing,--,--,--,--,--
University of Virginia,2015-12-11,2015-12-11 14:05:58,art2k@Virginia.edu,2.0,Pursuing,True,True,"The U.Va. Facility Design Guidelines are requirements for all projects on Grounds.  They state:  ""University buildings shall be designed for at least a 40-year life with minimum life cycle cost rather than low first cost. All building components should be new and the most current model with readily available replacement parts for the expected life of each item.""  To support decision-making, U.Va. has developed an internal life cycle cost calculator, using standard LCCA methodology and U.Va.-specific numbers for utility rates and escalation, a discount rate, and a study period.",http://ubo.virginia.edu/Documents/2014FacilityDesignGuidelines.pdf,--
University of Winnipeg,2016-01-13,2016-01-13 14:36:58,a.lajoie-omalley@uwinnipeg.ca,2.0,Not Pursuing,--,--,--,--,--
University of Wisconsin-Green Bay,2016-01-07,2016-01-07 17:22:57,fermanij@uwgb.edu,2.0,Not Pursuing,--,--,--,--,--
University of Wisconsin-Milwaukee,2016-03-23,2016-03-23 09:35:18,knelson6@uwm.edu,2.0,Not Pursuing,--,--,--,--,--
University of Wisconsin-Oshkosh,2016-03-25,2016-03-25 23:42:05,kermathb@uwosh.edu,2.0,Pursuing,True,True,"In making a sustainable purchasing decision, the entire life
cycle costs (financial, environmental, and social) of the product are taken
into consideration. The life cycle takes into account extraction, production, manufacturing, distribution, operation, maintenance and disposal. Many “green” products are competitively priced with their conventional counterparts, are of comparable quality, and have one or more of the following attributes:

• High Content from Post-Consumer Recycled Materials
• Low Embodied Energy (consumed to extract, manufacture, distribute and dispose)
• Recyclable
• Non-toxic
• Energy Efficient
• Durable and/or Repairable
• Produced in an Environmentally- and Socially-Sustainable Manner

Energy Star:
The State encourages the use of equipment which meets the Environmental Protection Agency (EPA) Energy Star™ requirements.  The Energy Star Program is a voluntary contract between an Original Equipment Manufacturer (OEM) and the EPA.  It is not mandatory that every device offered under this bid meet Energy Star requirements but the bulk of the product line should be energy efficient.  Bidder should identify those items which meet the Energy Star requirements on the Bidder Response Sheet.",--,--
University of Wisconsin-Platteville,2016-02-29,2016-02-29 14:16:15,seebotha@uwplatt.edu,2.0,Not Pursuing,--,--,--,--,--
University of Wisconsin-Stevens Point,2016-01-28,2016-01-28 12:02:04,sjanowsk@uwsp.edu,2.0,Pursuing,--,--,,--,--
University of Wisconsin-Stout,2016-03-25,2016-03-25 10:49:31,rykals@uwstout.edu,2.0,Pursuing,--,--,UW-Stout does not employ any LCCA policy or practice.,--,Information provided by Physical Plant and Physical Plant Purchasing
University of the Pacific,2016-03-23,2016-03-23 15:39:42,seller@pacific.edu,2.0,Pursuing,--,--,,--,--
Vanderbilt University,2016-03-21,2016-03-21 10:46:22,andrea.george@vanderbilt.edu,2.0,Not Pursuing,--,--,--,--,--
Vassar College,2016-03-10,2016-03-10 19:47:38,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--
Villanova University,2016-03-21,2016-03-21 13:11:42,liesel.schwarz@villanova.edu,2.0,In Progress,--,--,--,--,--
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:22,eestanforth@vcu.edu,2.0,Pursuing,--,--,,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:30:14,aclimo@warren-wilson.edu,2.0,Not Pursuing,--,--,--,--,--
Wartburg College,2015-04-27,2015-04-27 09:09:09,anne.duncan@wartburg.edu,2.0,Pursuing,True,True,"It is not in a written policy, although it is a matter of practice to consider the LCCA of all large purchases. We consider future/prolonged maintenance, operation costs, and future/unrealized savings in the LCCA.

Being a small college, all major purchases of equipment go through the physical plant and fall under the purview of the physical plant director. Having a sole position in charge ensures these best practices are followed.",--,--
"Washington State University, Pullman",2016-03-25,2016-03-25 19:00:09,slkane@wsu.edu,2.0,Pursuing,--,--,,--,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:17,valko@wustl.edu,2.0,Not Pursuing,--,--,--,--,--
Weber State University,2016-01-13,2016-01-13 14:17:15,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:44,pwilloug@wellesley.edu,2.0,Not Pursuing,--,--,--,--,--
Wells College,2016-02-26,2016-02-26 16:59:47,mbrown@wells.edu,2.0,Pursuing,--,--,,--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:49,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,True,--,"The LCCA policies seek to minimize building life cycle costs, direct and indirect, relating to energy use, maintenance, waste disposal and occupant health & productivity. LCCA policies also aim to minimize environmental impacts throughout the building life cycle, including product manufacturing, construction, use/occupancy, and demolition or renovation/reuse as well as optimize indoor environmental quality. See the attached link for LCCA policy details.",http://www.fm.wmich.edu/ap/sg/guidelines/Admin_Guidelines_Life%20Cycle%20Design__current.pdf,--
Western State Colorado University,2016-02-16,2016-02-16 19:23:22,bmoran@western.edu,2.0,Not Pursuing,--,--,--,--,--
Western Washington University,2016-02-29,2016-02-29 19:39:28,seth.vidana@wwu.edu,2.0,Not Pursuing,--,--,--,--,--
Westminster College,2016-02-25,2016-02-25 14:15:55,kcase@westminstercollege.edu,2.0,Not Pursuing,--,--,--,--,--
Wilfrid Laurier University,2015-12-22,2015-12-22 11:31:02,cbennett@wlu.ca,2.0,In Progress,--,--,--,--,--
Williams College,2016-03-23,2016-03-23 08:24:26,mae3@williams.edu,2.0,Pursuing,--,--,,--,--
Worcester Polytechnic Institute,2016-03-21,2016-03-21 14:52:54,ltomasz@wpi.edu,2.0,In Progress,--,--,--,--,--
